chr	start	end	interval_id	num_peaks	num_samples	DFAM71927V3_1_750_R1.bool	MV411_1_590_R1.bool	MV411_4_717_R1.bool	DFAM71927V3_1_750_R1.fc	MV411_1_590_R1.fc	MV411_4_717_R1.fc	DFAM71927V3_1_750_R1.qval	MV411_1_590_R1.qval	MV411_4_717_R1.qval	DFAM71927V3_1_750_R1.pval	MV411_1_590_R1.pval	MV411_4_717_R1.pval	DFAM71927V3_1_750_R1.start	MV411_1_590_R1.start	MV411_4_717_R1.start	DFAM71927V3_1_750_R1.end	MV411_1_590_R1.end	MV411_4_717_R1.end	DFAM71927V3_1_750_R1.summit	MV411_1_590_R1.summit	MV411_4_717_R1.summit
chr1	6359681	6360188	Interval_39	2	2	TRUE	FALSE	TRUE	11.39941	NA	33.83338	15.5109	NA	75.79153	20.01818	NA	80.04926	6359681	NA	6359778	6360146	NA	6360188	265	NA	174
chr1	6582025	6582196	Interval_40	1	1	FALSE	FALSE	TRUE	NA	NA	7.52528	NA	NA	8.23951	NA	NA	11.51941	NA	NA	6582025	NA	NA	6582196	NA	NA	51
chr1	6623339	6623509	Interval_41	1	1	FALSE	FALSE	TRUE	NA	NA	6.92921	NA	NA	7.15315	NA	NA	10.39734	NA	NA	6623339	NA	NA	6623509	NA	NA	118
chr1	6688421	6688602	Interval_42	1	1	FALSE	FALSE	TRUE	NA	NA	5.0072	NA	NA	3.58733	NA	NA	6.62361	NA	NA	6688421	NA	NA	6688602	NA	NA	89
chr1	6784954	6785462	Interval_43	1	1	FALSE	TRUE	FALSE	NA	11.5492	NA	NA	25.61155	NA	NA	30.73775	NA	NA	6784954	NA	NA	6785462	NA	NA	195	NA
chr1	6794327	6794518	Interval_44	1	1	FALSE	FALSE	TRUE	NA	NA	9.23895	NA	NA	11.68062	NA	NA	15.09462	NA	NA	6794327	NA	NA	6794518	NA	NA	83
chr1	6800732	6801064	Interval_45	1	1	FALSE	FALSE	TRUE	NA	NA	41.57527	NA	NA	95.42381	NA	NA	99.81633	NA	NA	6800732	NA	NA	6801064	NA	NA	206
chr1	6815739	6815970	Interval_46	1	1	FALSE	FALSE	TRUE	NA	NA	8.16443	NA	NA	9.47147	NA	NA	12.80557	NA	NA	6815739	NA	NA	6815970	NA	NA	118
chr1	7106689	7107116	Interval_47	1	1	FALSE	FALSE	TRUE	NA	NA	41.78298	NA	NA	110.72881	NA	NA	115.21276	NA	NA	7106689	NA	NA	7107116	NA	NA	195
chr1	7109511	7109738	Interval_48	1	1	FALSE	FALSE	TRUE	NA	NA	19.03755	NA	NA	34.07708	NA	NA	37.92607	NA	NA	7109511	NA	NA	7109738	NA	NA	101
chr1	7111126	7111412	Interval_49	1	1	FALSE	FALSE	TRUE	NA	NA	16.57145	NA	NA	28.5737	NA	NA	32.3425	NA	NA	7111126	NA	NA	7111412	NA	NA	97
chr1	7753769	7753941	Interval_50	1	1	FALSE	FALSE	TRUE	NA	NA	5.6331	NA	NA	4.70285	NA	NA	7.80439	NA	NA	7753769	NA	NA	7753941	NA	NA	54
chr1	7831479	7831717	Interval_51	1	1	FALSE	FALSE	TRUE	NA	NA	14.39687	NA	NA	23.06004	NA	NA	26.73785	NA	NA	7831479	NA	NA	7831717	NA	NA	130
chr1	7889266	7889487	Interval_52	1	1	FALSE	FALSE	TRUE	NA	NA	13.08851	NA	NA	19.97056	NA	NA	23.59091	NA	NA	7889266	NA	NA	7889487	NA	NA	129
chr1	7911949	7912167	Interval_53	1	1	FALSE	FALSE	TRUE	NA	NA	13.85842	NA	NA	21.71756	NA	NA	25.37111	NA	NA	7911949	NA	NA	7912167	NA	NA	110
chr1	8014925	8015422	Interval_54	2	2	TRUE	FALSE	TRUE	15.42903	NA	59.46054	24.45245	NA	164.71191	29.25605	NA	169.50517	8014925	NA	8015009	8015422	NA	8015328	236	NA	155
chr1	8120751	8120991	Interval_55	1	1	FALSE	FALSE	TRUE	NA	NA	16.32885	NA	NA	28.102	NA	NA	31.86279	NA	NA	8120751	NA	NA	8120991	NA	NA	111
chr1	8182450	8182726	Interval_56	1	1	FALSE	FALSE	TRUE	NA	NA	14.30924	NA	NA	24.95613	NA	NA	28.66767	NA	NA	8182450	NA	NA	8182726	NA	NA	175
chr1	8211308	8211582	Interval_57	1	1	FALSE	FALSE	TRUE	NA	NA	29.05603	NA	NA	61.38534	NA	NA	65.52826	NA	NA	8211308	NA	NA	8211582	NA	NA	112
chr1	8404523	8404716	Interval_58	1	1	FALSE	FALSE	TRUE	NA	NA	9.23895	NA	NA	11.68062	NA	NA	15.09462	NA	NA	8404523	NA	NA	8404716	NA	NA	106
chr1	8670373	8670525	Interval_59	1	1	FALSE	FALSE	TRUE	NA	NA	5.51642	NA	NA	4.47304	NA	NA	7.55151	NA	NA	8670373	NA	NA	8670525	NA	NA	41
chr1	8701374	8701590	Interval_60	1	1	FALSE	FALSE	TRUE	NA	NA	9.66668	NA	NA	12.55348	NA	NA	16.00033	NA	NA	8701374	NA	NA	8701590	NA	NA	111
chr1	8858122	8858382	Interval_61	1	1	FALSE	FALSE	TRUE	NA	NA	20.71432	NA	NA	39.14775	NA	NA	43.06572	NA	NA	8858122	NA	NA	8858382	NA	NA	130
chr1	8868181	8868321	Interval_62	1	1	FALSE	FALSE	TRUE	NA	NA	8.09886	NA	NA	9.32573	NA	NA	12.64801	NA	NA	8868181	NA	NA	8868321	NA	NA	75
chr1	8879252	8879374	Interval_63	1	1	FALSE	TRUE	FALSE	NA	7.64935	NA	NA	7.804	NA	NA	12.09373	NA	NA	8879252	NA	NA	8879374	NA	NA	73	NA
chr1	8939529	8939840	Interval_64	1	1	FALSE	FALSE	TRUE	NA	NA	12.59213	NA	NA	20.51479	NA	NA	24.14629	NA	NA	8939529	NA	NA	8939840	NA	NA	116
chr1	8989686	8989973	Interval_65	1	1	FALSE	FALSE	TRUE	NA	NA	13.50572	NA	NA	20.90891	NA	NA	24.54463	NA	NA	8989686	NA	NA	8989973	NA	NA	153
chr1	9029881	9030144	Interval_66	1	1	FALSE	FALSE	TRUE	NA	NA	19.82861	NA	NA	36.04015	NA	NA	39.9154	NA	NA	9029881	NA	NA	9030144	NA	NA	119
chr1	9089081	9089318	Interval_67	1	1	FALSE	FALSE	TRUE	NA	NA	11.72239	NA	NA	17.07333	NA	NA	20.62745	NA	NA	9089081	NA	NA	9089318	NA	NA	112
chr1	9196180	9196411	Interval_68	1	1	FALSE	FALSE	TRUE	NA	NA	6.09202	NA	NA	5.61373	NA	NA	8.75971	NA	NA	9196180	NA	NA	9196411	NA	NA	111
chr1	9242388	9242574	Interval_69	1	1	FALSE	FALSE	TRUE	NA	NA	9.92157	NA	NA	13.05816	NA	NA	16.51211	NA	NA	9242388	NA	NA	9242574	NA	NA	87
chr1	9410873	9411192	Interval_70	1	1	FALSE	FALSE	TRUE	NA	NA	38.92113	NA	NA	100.89811	NA	NA	105.32354	NA	NA	9410873	NA	NA	9411192	NA	NA	192
chr1	9525684	9525983	Interval_71	1	1	TRUE	FALSE	FALSE	6.18007	NA	NA	5.93167	NA	NA	9.89332	NA	NA	9525684	NA	NA	9525983	NA	NA	28	NA	NA
chr1	9565013	9565145	Interval_72	1	1	FALSE	FALSE	TRUE	NA	NA	6.30829	NA	NA	6.09804	NA	NA	9.28158	NA	NA	9565013	NA	NA	9565145	NA	NA	49
chr1	9800061	9800489	Interval_73	2	2	TRUE	FALSE	TRUE	6.68987	NA	41.57527	6.35585	NA	95.42381	10.34586	NA	99.81633	9800061	NA	9800072	9800376	NA	9800489	254	NA	228
chr1	9805255	9805421	Interval_74	1	1	FALSE	FALSE	TRUE	NA	NA	8.46904	NA	NA	10.12659	NA	NA	13.49004	NA	NA	9805255	NA	NA	9805421	NA	NA	79
chr1	9827910	9828041	Interval_75	1	1	FALSE	FALSE	TRUE	NA	NA	6.25998	NA	NA	5.98169	NA	NA	9.1608	NA	NA	9827910	NA	NA	9828041	NA	NA	69
chr1	9910431	9910657	Interval_76	1	1	FALSE	TRUE	FALSE	NA	7.88105	NA	NA	8.16871	NA	NA	12.49205	NA	NA	9910431	NA	NA	9910657	NA	NA	63	NA
chr1	10032761	10032917	Interval_77	1	1	FALSE	TRUE	FALSE	NA	9.25004	NA	NA	13.44245	NA	NA	18.05251	NA	NA	10032761	NA	NA	10032917	NA	NA	67	NA
chr1	10058893	10059024	Interval_78	1	1	FALSE	FALSE	TRUE	NA	NA	5.38939	NA	NA	4.41286	NA	NA	7.48759	NA	NA	10058893	NA	NA	10059024	NA	NA	66
chr1	10067179	10067489	Interval_79	1	1	FALSE	FALSE	TRUE	NA	NA	8.43638	NA	NA	11.05371	NA	NA	14.44536	NA	NA	10067179	NA	NA	10067489	NA	NA	121
chr1	10078635	10078787	Interval_80	1	1	FALSE	FALSE	TRUE	NA	NA	8.54205	NA	NA	10.30039	NA	NA	13.66648	NA	NA	10078635	NA	NA	10078787	NA	NA	83
chr1	10210370	10210490	Interval_81	1	1	FALSE	TRUE	FALSE	NA	7.92861	NA	NA	10.0302	NA	NA	14.458	NA	NA	10210370	NA	NA	10210490	NA	NA	71	NA
chr1	10253900	10254188	Interval_82	1	1	FALSE	FALSE	TRUE	NA	NA	11.60003	NA	NA	18.86832	NA	NA	22.46628	NA	NA	10253900	NA	NA	10254188	NA	NA	94
chr1	10360253	10360424	Interval_83	1	1	FALSE	FALSE	TRUE	NA	NA	6.92921	NA	NA	7.15315	NA	NA	10.39734	NA	NA	10360253	NA	NA	10360424	NA	NA	84
chr1	10378223	10378481	Interval_84	1	1	FALSE	FALSE	TRUE	NA	NA	8.41415	NA	NA	10.00533	NA	NA	13.35986	NA	NA	10378223	NA	NA	10378481	NA	NA	58
chr1	10400641	10400827	Interval_85	1	1	FALSE	FALSE	TRUE	NA	NA	9.61295	NA	NA	12.39529	NA	NA	15.82569	NA	NA	10400641	NA	NA	10400827	NA	NA	78
chr1	10510976	10511140	Interval_86	1	1	FALSE	FALSE	TRUE	NA	NA	8.5681	NA	NA	10.36283	NA	NA	13.73037	NA	NA	10510976	NA	NA	10511140	NA	NA	80
chr1	10831049	10831213	Interval_87	1	1	FALSE	FALSE	TRUE	NA	NA	9.66668	NA	NA	12.55348	NA	NA	16.00033	NA	NA	10831049	NA	NA	10831213	NA	NA	63
chr1	10892227	10892425	Interval_88	1	1	FALSE	FALSE	TRUE	NA	NA	9.66668	NA	NA	12.55348	NA	NA	16.00033	NA	NA	10892227	NA	NA	10892425	NA	NA	83
chr1	11099793	11099997	Interval_89	1	1	FALSE	TRUE	FALSE	NA	11.89587	NA	NA	18.14121	NA	NA	22.96308	NA	NA	11099793	NA	NA	11099997	NA	NA	112	NA
chr1	11173773	11173913	Interval_90	1	1	FALSE	FALSE	TRUE	NA	NA	6.92921	NA	NA	7.15315	NA	NA	10.39734	NA	NA	11173773	NA	NA	11173913	NA	NA	40
chr1	11670820	11671054	Interval_91	1	1	FALSE	FALSE	TRUE	NA	NA	19.05033	NA	NA	35.00536	NA	NA	38.86775	NA	NA	11670820	NA	NA	11671054	NA	NA	126
chr1	11740713	11741219	Interval_92	1	1	FALSE	FALSE	TRUE	NA	NA	96.82602	NA	NA	294.14597	NA	NA	299.62314	NA	NA	11740713	NA	NA	11741219	NA	NA	292
chr1	11805852	11806058	Interval_93	1	1	FALSE	TRUE	FALSE	NA	5.90012	NA	NA	4.58037	NA	NA	8.64058	NA	NA	11805852	NA	NA	11806058	NA	NA	114	NA
chr1	11863779	11864081	Interval_94	1	1	TRUE	FALSE	FALSE	7.06294	NA	NA	7.57244	NA	NA	11.67444	NA	NA	11863779	NA	NA	11864081	NA	NA	183	NA	NA
chr1	11909767	11909907	Interval_95	1	1	FALSE	FALSE	TRUE	NA	NA	5.25222	NA	NA	4.12195	NA	NA	7.17359	NA	NA	11909767	NA	NA	11909907	NA	NA	83
chr1	12019254	12019484	Interval_96	1	1	FALSE	TRUE	FALSE	NA	4.49135	NA	NA	3.27644	NA	NA	7.2341	NA	NA	12019254	NA	NA	12019484	NA	NA	112	NA
chr1	12065936	12066067	Interval_97	1	1	FALSE	FALSE	TRUE	NA	NA	6.92921	NA	NA	7.15315	NA	NA	10.39734	NA	NA	12065936	NA	NA	12066067	NA	NA	73
chr1	12161953	12162166	Interval_98	1	1	FALSE	FALSE	TRUE	NA	NA	12.51801	NA	NA	19.49153	NA	NA	23.10354	NA	NA	12161953	NA	NA	12162166	NA	NA	101
chr1	12183527	12184084	Interval_99	1	1	FALSE	FALSE	TRUE	NA	NA	7.53638	NA	NA	8.26451	NA	NA	11.54457	NA	NA	12183527	NA	NA	12184084	NA	NA	107
chr1	12529545	12529676	Interval_100	1	1	FALSE	FALSE	TRUE	NA	NA	5.6331	NA	NA	4.70285	NA	NA	7.80439	NA	NA	12529545	NA	NA	12529676	NA	NA	51
chr1	12604432	12604706	Interval_101	1	1	FALSE	FALSE	TRUE	NA	NA	17.23881	NA	NA	30.25312	NA	NA	34.04306	NA	NA	12604432	NA	NA	12604706	NA	NA	156
chr1	12606139	12606270	Interval_102	1	1	FALSE	FALSE	TRUE	NA	NA	5.6331	NA	NA	4.70285	NA	NA	7.80439	NA	NA	12606139	NA	NA	12606270	NA	NA	58
chr1	13749243	13749368	Interval_103	1	1	FALSE	TRUE	FALSE	NA	6.84447	NA	NA	6.54432	NA	NA	10.75512	NA	NA	13749243	NA	NA	13749368	NA	NA	104	NA
chr1	13781314	13781547	Interval_104	1	1	FALSE	FALSE	TRUE	NA	NA	18.16437	NA	NA	31.92709	NA	NA	35.74293	NA	NA	13781314	NA	NA	13781547	NA	NA	120
chr1	13860606	13860906	Interval_105	1	1	TRUE	FALSE	FALSE	7.06294	NA	NA	7.57244	NA	NA	11.67444	NA	NA	13860606	NA	NA	13860906	NA	NA	130	NA	NA
chr1	14010859	14011209	Interval_106	1	1	FALSE	FALSE	TRUE	NA	NA	28.09938	NA	NA	57.97001	NA	NA	62.0829	NA	NA	14010859	NA	NA	14011209	NA	NA	118
chr1	14321198	14321496	Interval_107	2	2	TRUE	FALSE	TRUE	5.0808	NA	5.38939	3.72594	NA	4.41286	7.37972	NA	7.48759	14321198	NA	14321297	14321496	NA	14321428	216	NA	50
chr1	14597864	14598091	Interval_108	1	1	FALSE	FALSE	TRUE	NA	NA	10.09515	NA	NA	13.47901	NA	NA	16.9431	NA	NA	14597864	NA	NA	14598091	NA	NA	121
chr1	14741155	14741392	Interval_109	1	1	FALSE	FALSE	TRUE	NA	NA	22.38385	NA	NA	42.46684	NA	NA	46.42117	NA	NA	14741155	NA	NA	14741392	NA	NA	110
chr1	14776629	14776876	Interval_110	1	1	FALSE	FALSE	TRUE	NA	NA	15.46146	NA	NA	25.49729	NA	NA	29.21976	NA	NA	14776629	NA	NA	14776876	NA	NA	130
chr1	14779217	14779362	Interval_111	1	1	FALSE	FALSE	TRUE	NA	NA	4.21819	NA	NA	2.41162	NA	NA	5.32924	NA	NA	14779217	NA	NA	14779362	NA	NA	23
chr1	14998118	14998344	Interval_112	1	1	FALSE	FALSE	TRUE	NA	NA	8.9762	NA	NA	11.10633	NA	NA	14.5048	NA	NA	14998118	NA	NA	14998344	NA	NA	139
chr1	15139368	15139913	Interval_113	1	1	TRUE	FALSE	FALSE	6.18007	NA	NA	5.93167	NA	NA	9.89332	NA	NA	15139368	NA	NA	15139913	NA	NA	274	NA	NA
chr1	15177734	15177865	Interval_114	1	1	FALSE	FALSE	TRUE	NA	NA	5.10235	NA	NA	3.80907	NA	NA	6.85026	NA	NA	15177734	NA	NA	15177865	NA	NA	71
chr1	15218517	15218727	Interval_115	1	1	FALSE	FALSE	TRUE	NA	NA	9.2763	NA	NA	11.7689	NA	NA	15.18453	NA	NA	15218517	NA	NA	15218727	NA	NA	85
chr1	15277718	15277853	Interval_116	1	1	FALSE	FALSE	TRUE	NA	NA	6.46788	NA	NA	6.1902	NA	NA	9.378	NA	NA	15277718	NA	NA	15277853	NA	NA	31
chr1	15335478	15335776	Interval_117	1	1	TRUE	FALSE	FALSE	5.2972	NA	NA	4.37549	NA	NA	8.16997	NA	NA	15335478	NA	NA	15335776	NA	NA	112	NA	NA
chr1	15406672	15407033	Interval_118	1	1	FALSE	FALSE	TRUE	NA	NA	15.88097	NA	NA	26.86794	NA	NA	30.6135	NA	NA	15406672	NA	NA	15407033	NA	NA	146
chr1	15412175	15412470	Interval_119	1	1	FALSE	FALSE	TRUE	NA	NA	20.68657	NA	NA	39.09558	NA	NA	43.0102	NA	NA	15412175	NA	NA	15412470	NA	NA	138
chr1	15417490	15417836	Interval_120	1	1	FALSE	FALSE	TRUE	NA	NA	52.57563	NA	NA	140.89	NA	NA	145.55241	NA	NA	15417490	NA	NA	15417836	NA	NA	133
chr1	15461303	15461434	Interval_121	1	1	FALSE	FALSE	TRUE	NA	NA	4.63815	NA	NA	3.18604	NA	NA	6.15963	NA	NA	15461303	NA	NA	15461434	NA	NA	45
chr1	15524924	15525185	Interval_122	1	1	FALSE	TRUE	FALSE	NA	8.0025	NA	NA	8.65116	NA	NA	12.99728	NA	NA	15524924	NA	NA	15525185	NA	NA	102	NA
chr1	15830062	15830271	Interval_123	1	1	FALSE	FALSE	TRUE	NA	NA	8.46904	NA	NA	10.12659	NA	NA	13.49004	NA	NA	15830062	NA	NA	15830271	NA	NA	82
chr1	15835823	15836217	Interval_124	1	1	FALSE	TRUE	FALSE	NA	12.10944	NA	NA	18.98044	NA	NA	23.84622	NA	NA	15835823	NA	NA	15836217	NA	NA	205	NA
chr1	15847513	15847906	Interval_125	1	1	FALSE	TRUE	FALSE	NA	9.25004	NA	NA	13.44245	NA	NA	18.05251	NA	NA	15847513	NA	NA	15847906	NA	NA	281	NA
chr1	15976036	15976233	Interval_126	1	1	FALSE	TRUE	FALSE	NA	17.29641	NA	NA	31.42715	NA	NA	36.75311	NA	NA	15976036	NA	NA	15976233	NA	NA	98	NA
chr1	16151387	16151705	Interval_127	1	1	FALSE	FALSE	TRUE	NA	NA	22.78575	NA	NA	44.64157	NA	NA	48.62668	NA	NA	16151387	NA	NA	16151705	NA	NA	215
chr1	16237095	16237280	Interval_128	1	1	FALSE	TRUE	FALSE	NA	11.46489	NA	NA	16.50883	NA	NA	21.257	NA	NA	16237095	NA	NA	16237280	NA	NA	111	NA
chr1	16267850	16268026	Interval_129	1	1	FALSE	FALSE	TRUE	NA	NA	6.92921	NA	NA	7.15315	NA	NA	10.39734	NA	NA	16267850	NA	NA	16268026	NA	NA	83
chr1	16352404	16352643	Interval_130	1	1	FALSE	TRUE	FALSE	NA	12.86205	NA	NA	22.37598	NA	NA	27.38794	NA	NA	16352404	NA	NA	16352643	NA	NA	115	NA
chr1	16367108	16367240	Interval_131	1	1	FALSE	TRUE	FALSE	NA	8.95046	NA	NA	11.20566	NA	NA	15.70271	NA	NA	16367108	NA	NA	16367240	NA	NA	76	NA
chr1	16503600	16503765	Interval_132	1	1	FALSE	FALSE	TRUE	NA	NA	8.63392	NA	NA	10.52398	NA	NA	13.89412	NA	NA	16503600	NA	NA	16503765	NA	NA	97
chr1	16613508	16613656	Interval_133	1	1	FALSE	TRUE	FALSE	NA	7.06575	NA	NA	14.26611	NA	NA	18.91202	NA	NA	16613508	NA	NA	16613656	NA	NA	88	NA
chr1	16644678	16644847	Interval_134	1	1	FALSE	TRUE	FALSE	NA	6.236	NA	NA	12.06022	NA	NA	16.59154	NA	NA	16644678	NA	NA	16644847	NA	NA	55	NA
chr1	16889779	16889910	Interval_135	1	1	FALSE	FALSE	TRUE	NA	NA	5.52382	NA	NA	4.47664	NA	NA	7.56579	NA	NA	16889779	NA	NA	16889910	NA	NA	29
