GENE,mr359-MV411-MYB-dTAG-DMSO_1h-r1_tcount,mr360-MV411-MYB-dTAG-DMSO_1h-r2_tcount,mr361-MV411-MYB-dTAG-DMSO_1h-r3_tcount,mr362-MV411-MYB-dTAG-DMSO_1h-r4_tcount,mr363-MV411-MYB-dTAG-DMSO_1h-r5_tcount,mr364-MV411-MYB-dTAG-DMSO_1h-r6_tcount,mr365-MV411-MYB-dTAG-VHL_1h-r1_tcount,mr366-MV411-MYB-dTAG-VHL_1h-r2_tcount,mr367-MV411-MYB-dTAG-VHL_1h-r3_tcount,mr368-MV411-MYB-dTAG-VHL_1h-r4_tcount,mr369-MV411-MYB-dTAG-VHL_1h-r5_tcount,mr370-MV411-MYB-dTAG-VHL_1h-r6_tcount
AP2A2,3,5,7,6,1,9,5,8,11,11,1,6
AP1B1,3,7,14,19,4,13,16,20,15,23,6,11
AP2B1,37,40,56,83,25,30,52,64,31,44,20,35
AP1G1,118,85,150,179,85,169,134,257,127,115,34,147
TLE5,2,0,0,0,0,0,2,4,2,0,1,0
CRISP1,0,0,0,0,0,0,0,0,0,0,0,0
AFG3L1P,35,35,48,52,13,34,49,73,40,53,12,56
AGA,5,2,3,10,2,8,2,3,8,5,2,4
AGER,7,4,3,7,2,10,9,14,4,10,2,11
AGL,1,1,5,0,4,4,3,3,0,1,2,1
JAG1,4,0,6,6,2,4,3,6,7,4,1,2
AGT,0,0,0,1,0,2,1,1,1,0,1,3
AHCY,13,19,28,28,15,34,30,46,16,18,8,26
AHR,50,55,46,74,33,79,47,55,22,27,14,28
AIF1,10,3,9,10,4,8,26,13,11,13,4,12
CRYBG1,8,6,7,14,6,5,2,3,1,1,1,1
AK1,0,1,0,0,0,0,0,0,1,1,0,1
AK2,142,129,220,254,103,202,161,246,141,152,46,135
AK4,1,0,0,2,2,0,3,0,0,0,0,1
AKT1,19,15,30,31,10,15,32,31,24,22,5,31
AKT2,23,22,30,41,13,21,24,40,19,27,4,27
ALAD,17,9,14,25,9,15,18,33,17,9,5,14
ALAS1,4,6,0,2,0,4,5,7,4,3,1,3
ALCAM,0,2,3,3,0,3,2,7,1,2,1,7
ABCD1,8,8,7,12,4,7,8,6,9,7,5,5
ALDH2,2,1,0,3,0,0,1,2,2,2,0,0
ALDH1B1,30,27,60,63,19,32,68,96,53,62,26,59
ALDH1A3,0,0,1,0,0,0,0,0,1,0,0,0
ALDH3B1,11,13,11,21,4,10,16,36,20,27,6,10
ALDH9A1,20,19,38,29,18,19,22,34,14,23,7,21
ALDH3A2,5,1,5,8,6,3,8,9,5,4,1,5
ABCD2,2,2,2,2,1,7,5,10,3,4,2,2
ALDOA,46,40,62,61,33,41,53,80,38,70,31,63
ALDOB,0,0,0,0,0,0,0,0,0,0,0,0
ALDOC,0,0,1,2,0,0,2,1,1,2,2,2
AKR1B1,3,3,1,1,1,4,1,2,2,0,1,3
ALOX12,0,0,2,0,0,0,0,0,0,0,0,0
ALOX5AP,5,2,5,3,2,8,11,18,10,8,0,15
ALOX12B,0,0,0,0,0,0,0,0,0,0,0,0
ALOX15B,0,0,1,0,0,0,0,0,0,0,0,0
ALPP,0,0,0,0,0,0,0,0,0,0,0,0
ALX3,0,0,0,0,0,0,0,0,0,0,0,0
AMD1,121,76,156,184,110,224,166,297,116,122,64,124
AMFR,11,9,4,14,9,8,12,23,9,10,2,11
AMH,0,0,0,0,0,0,0,0,0,0,0,0
AMPD2,6,7,28,24,8,6,27,16,16,20,6,19
AMPD3,0,1,2,1,0,1,0,8,1,2,1,2
AMPH,0,0,0,0,0,0,0,0,0,0,0,0
BIN1,0,0,0,0,0,0,0,0,0,0,0,0
AMT,2,1,4,1,0,2,5,1,1,0,0,1
AMY2B,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT1,0,1,0,0,3,0,1,1,1,0,1,0
ANGPT2,0,0,0,0,0,0,0,0,0,0,0,0
ANK1,0,0,0,0,0,0,0,0,0,0,0,0
ANK2,7,4,7,4,3,6,8,7,6,1,1,5
ANK3,0,1,0,0,0,0,0,0,0,0,0,0
ANPEP,0,0,0,0,0,0,1,0,0,0,0,0
SLC25A4,0,1,0,0,0,0,0,0,0,0,0,0
SLC25A5,13,18,26,24,14,24,34,36,20,9,5,27
SLC25A6,69,59,81,107,41,59,77,120,102,96,26,104
ANXA1,5,11,8,6,2,2,3,7,3,4,0,7
ANXA2,7,15,12,17,8,14,19,23,19,17,2,20
303,0,0,0,0,0,0,1,1,0,0,0,0
ANXA3,0,0,0,0,0,0,0,0,0,0,0,0
ANXA4,0,1,0,3,1,0,0,2,0,0,0,0
ANXA5,4,10,9,30,6,8,9,19,13,9,4,7
ANXA6,1,0,2,3,1,0,0,2,0,1,0,1
ANXA7,7,4,5,7,2,4,3,4,0,2,3,3
ANXA11,8,3,15,7,5,11,16,18,11,10,0,6
AOAH,0,1,0,0,0,0,0,0,0,0,0,0
AOC2,0,0,0,0,0,0,0,0,0,1,0,0
APAF1,21,6,8,17,9,16,8,15,9,14,0,17
NUDT2,2,1,1,2,0,0,0,2,1,0,0,3
APOF,0,0,0,0,0,0,0,0,0,0,0,0
APBA1,12,17,19,22,11,23,12,21,26,18,9,18
APBA2,0,1,0,0,0,0,0,0,1,0,0,0
APBB1,0,0,0,0,0,0,0,0,0,0,0,0
APBB2,3,0,1,3,2,0,3,2,3,1,2,4
APC,5,2,9,11,4,13,3,10,8,6,4,6
AIRE,0,0,0,0,0,0,0,0,0,0,0,0
APEH,3,2,3,4,4,4,7,0,2,5,0,3
APEX1,24,21,35,48,20,27,40,55,35,24,11,30
BIRC2,0,0,1,5,0,4,4,9,2,0,0,3
BIRC3,0,0,0,1,0,1,0,0,2,0,0,0
XIAP,25,36,48,59,15,58,58,93,44,48,16,54
BIRC5,38,20,40,42,25,28,49,47,30,34,5,51
APLP1,0,0,0,0,1,1,1,0,0,0,0,0
APLP2,28,25,23,38,15,28,28,55,33,19,11,27
APOA2,0,0,0,0,0,0,0,0,0,0,0,0
APOC1,0,0,0,0,0,0,0,1,0,0,0,1
APOC2,18,19,28,28,10,18,32,38,16,24,6,15
APOC4,0,0,0,2,0,1,0,0,0,0,0,0
APP,2,3,3,5,4,2,7,8,2,4,0,3
APRT,2,4,7,5,0,3,11,2,4,9,4,5
FAS,0,0,0,0,0,0,1,0,0,0,0,0
AQP1,3,4,1,1,2,1,5,9,9,4,6,6
AQP3,8,3,7,15,3,7,7,6,1,4,3,5
AR,1,0,0,0,0,0,1,0,0,0,1,0
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0
ARAF,15,9,30,23,11,13,25,17,25,16,4,25
ARCN1,138,107,179,235,120,216,227,282,166,153,62,164
TRIM23,4,4,3,5,1,14,5,9,9,3,0,5
AREG,0,0,0,0,0,0,0,0,0,0,0,0
ARF1,199,136,266,299,112,168,263,299,201,173,83,199
ARF3,66,62,108,110,40,72,94,123,75,84,28,100
ARF4,33,30,45,66,37,71,63,89,60,48,22,43
ARL4D,0,0,1,2,0,1,3,1,0,2,0,1
ARF5,3,1,3,6,2,1,6,11,4,7,2,9
ARF6,236,213,295,325,170,329,296,454,265,240,117,349
ARG2,3,0,0,0,0,0,0,0,0,1,0,0
RHOA,183,135,187,223,112,219,233,304,179,176,91,204
RHOB,20,20,18,22,14,14,38,39,18,29,18,18
RHOC,1,1,0,2,2,0,6,2,4,3,0,1
RND3,0,0,0,0,0,0,0,0,0,0,0,0
RHOG,63,45,97,99,26,55,74,97,77,76,39,76
ARHGAP1,74,52,59,91,27,45,45,50,41,31,9,42
ARHGAP4,1,5,3,1,1,0,3,2,3,2,0,5
ARHGAP5,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP6,0,0,1,0,0,0,0,0,0,0,0,0
ARHGDIA,189,121,222,268,101,149,237,289,245,222,93,196
ARHGDIB,99,85,139,179,65,124,89,115,65,67,17,71
RHOH,7,2,7,11,7,4,8,9,5,2,3,5
ARL1,17,17,21,27,11,26,38,37,19,17,7,39
PHOX2A,0,0,0,0,0,0,0,0,0,0,0,0
ARL2,1,0,3,0,2,1,4,8,4,0,0,3
ARL3,0,1,2,5,3,4,1,4,2,2,1,8
ARNT,14,9,16,28,5,18,34,42,12,15,3,28
ARNTL,3,2,4,8,2,1,2,3,3,1,2,2
ARRB1,58,39,83,93,34,50,56,60,38,46,15,56
ARRB2,12,10,20,37,12,26,47,54,18,34,15,36
ARSA,2,5,1,0,1,2,7,6,3,6,0,4
ARSB,24,16,19,29,10,29,23,33,18,25,4,24
STS,4,3,9,11,4,12,7,9,12,15,1,11
ARSD,11,13,18,18,10,11,18,36,14,20,4,16
ARSL,0,0,0,0,0,0,0,0,0,0,0,0
ARVCF,1,0,1,1,1,0,1,1,0,2,0,1
ASAH1,6,11,14,7,4,15,8,15,8,6,0,7
ASCL1,0,0,0,0,0,0,0,0,0,0,0,0
ASGR1,0,0,0,0,0,0,0,0,0,0,0,1
ASGR2,0,0,0,0,0,0,0,1,0,1,0,0
ASL,1,1,1,0,1,0,0,1,0,0,0,0
GET3,2,3,6,5,2,3,7,6,3,4,1,3
ASNS,0,0,2,3,2,1,0,4,0,0,0,2
ASPH,23,11,20,20,12,42,26,29,23,15,2,22
ASS1,1,3,1,3,1,1,2,7,3,3,0,4
ASTN1,0,0,0,0,0,0,0,0,0,0,0,0
ZFHX3,1,0,0,1,1,0,2,3,0,2,1,0
ATF1,14,9,24,14,7,16,16,16,9,11,6,13
ATF3,33,32,34,40,21,26,46,49,37,43,20,47
ATF4,39,28,44,74,25,45,77,82,54,37,37,76
ATIC,2,3,3,2,3,0,3,7,3,3,1,2
ATM,8,16,27,24,7,32,16,31,15,24,2,21
RERE,20,18,22,30,11,24,22,35,19,33,13,18
ATOX1,1,1,0,2,0,4,1,2,1,7,0,1
ATP1A1,10,8,13,15,5,8,9,16,13,8,1,11
ATP1A2,0,0,0,0,0,0,1,1,0,0,1,0
ATP1A3,1,0,0,0,0,0,0,0,0,0,0,0
ATP1B1,0,0,0,1,0,1,2,0,0,2,0,2
ATP1B2,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B3,22,22,30,31,19,24,30,46,31,26,8,22
ATP2A1,0,1,0,0,0,0,1,1,1,2,0,1
ATP2A2,189,144,194,268,106,183,203,277,156,188,57,207
ATP2A3,19,10,21,30,14,20,13,21,10,22,3,9
ATP2B1,33,45,71,82,37,76,52,80,34,57,10,55
ATP2B2,1,1,0,3,0,1,1,1,0,1,0,0
ATP2B3,0,4,1,3,1,2,2,1,0,1,1,1
ATP2B4,67,65,70,96,39,60,34,65,32,39,15,32
ATP4B,0,0,0,0,0,0,0,0,0,0,0,0
ATP5F1A,3,1,8,10,4,4,7,7,6,3,1,4
ALDH7A1,0,0,0,0,0,0,0,0,0,0,0,0
ATP5F1B,13,16,27,26,9,13,23,29,14,8,4,14
ATP5F1C,2,0,2,5,4,2,6,6,1,6,0,7
ATP5F1D,5,2,12,10,0,0,15,8,6,3,3,10
ATP5F1E,8,8,10,16,4,4,10,7,8,6,4,10
ATP5PB,11,4,11,19,8,9,13,30,18,11,5,11
ATP5MC1,2,0,2,1,3,2,4,1,0,3,0,0
ATP5MC2,13,9,14,12,3,10,17,14,5,7,3,11
ATP5MC3,20,20,31,49,21,45,35,69,34,33,9,42
ATP5ME,7,5,4,6,3,8,16,4,10,6,1,10
ATP5PF,1,0,1,2,0,1,4,1,2,1,0,0
ATP6V1A,12,18,18,23,10,30,34,52,23,28,3,23
ATP6V1B2,62,57,70,104,41,92,91,111,79,60,31,73
ATP6V0C,16,25,35,43,13,26,37,49,55,28,14,40
ATP6V1C1,23,29,36,35,22,35,41,61,18,43,14,30
ATP6V1E1,14,12,25,31,14,24,23,24,10,21,7,17
ATP6V0B,48,36,72,72,30,42,52,81,31,34,15,46
ATP6V1G2,2,0,1,3,2,0,2,4,0,2,0,2
ATP6V0A1,9,7,15,9,2,6,14,24,15,17,0,18
ATP6AP1,2,7,10,7,7,12,13,6,5,8,3,13
ATP7A,0,1,0,2,1,2,1,2,0,0,2,0
ATP5PO,4,0,0,3,6,5,4,1,1,1,1,0
ATP7B,0,0,0,0,0,0,0,1,0,0,0,0
ATR,0,0,1,2,0,1,0,1,0,0,0,0
ATRX,14,12,15,22,12,20,16,20,22,12,4,12
KIF1A,0,0,0,0,0,1,0,0,0,0,0,0
AUH,0,0,0,0,0,0,0,0,0,0,0,0
AUP1,148,114,203,247,115,146,224,263,149,169,76,181
AVPR2,0,0,0,0,0,0,0,0,0,0,0,0
AXL,1,3,1,2,0,1,2,7,2,5,0,1
AZU1,3,1,7,6,1,2,1,0,1,0,0,0
B2M,29,29,46,49,35,62,44,60,30,40,25,61
BAAT,0,1,0,0,0,0,0,1,0,0,0,1
BACH1,69,61,85,111,43,103,96,149,65,70,26,87
BAD,1,0,0,1,1,0,2,1,1,2,1,3
BAG1,29,17,31,48,23,25,49,47,21,30,7,39
574,0,1,1,1,1,0,2,0,0,1,0,3
ADGRB1,0,0,0,0,0,0,0,0,1,0,0,0
BAK1,9,12,18,23,9,7,15,22,9,11,6,11
NKX3-2,0,0,0,0,1,0,1,1,0,2,0,3
BARD1,53,48,47,57,36,77,54,91,40,48,9,42
BAX,14,9,9,13,3,7,9,21,8,8,4,5
BBS1,1,1,5,4,8,5,2,7,5,4,0,3
BBS2,1,0,0,1,0,1,1,1,2,2,0,1
BBS4,3,0,3,5,2,4,7,1,3,2,1,5
BCAT1,71,72,78,134,47,147,112,173,106,87,16,101
BCAT2,5,1,2,4,0,3,5,1,2,4,0,1
BCKDHA,1,3,2,5,3,2,4,3,5,2,2,6
BCKDHB,2,0,1,3,1,7,2,5,0,0,2,4
CCND1,0,0,0,4,1,0,2,1,2,6,0,2
BCL2,146,114,190,231,109,198,214,258,158,178,49,187
BCL2A1,0,1,0,0,0,0,0,0,0,4,0,0
BCL2L1,19,22,33,44,17,25,39,35,37,28,7,31
BCL2L2,38,17,34,38,13,35,36,42,25,34,14,39
BCL3,26,11,21,33,13,22,52,59,30,42,14,47
BCL6,1,0,3,2,0,0,2,2,2,0,0,1
BCL7A,61,46,79,138,56,57,80,116,64,88,20,86
BCL9,0,1,2,1,0,1,0,4,4,0,0,2
OPN1SW,0,0,0,0,0,0,0,0,0,0,0,0
BCR,0,1,4,4,3,1,2,4,2,2,0,4
BCS1L,0,2,0,0,0,0,1,0,0,1,0,2
BDH1,2,3,0,5,4,3,1,6,8,8,3,3
BDKRB2,0,0,0,0,0,0,0,0,0,0,0,0
BDNF,0,0,2,2,0,0,0,0,0,0,0,0
BFSP1,0,0,0,0,0,0,0,0,0,0,0,1
BGLAP,1,1,1,1,0,2,1,0,0,0,1,1
CEACAM1,0,0,0,0,0,0,0,0,0,0,0,0
BICD1,0,0,0,1,0,0,0,0,1,0,0,2
BID,48,35,43,47,27,47,44,77,43,31,9,30
BIK,5,2,3,1,0,4,1,2,0,1,1,0
PRDM1,9,2,8,16,4,7,14,34,19,21,10,23
BLK,0,0,0,0,0,0,0,2,0,0,0,0
BLM,0,0,3,3,0,1,1,0,1,2,0,0
BLMH,8,5,11,23,1,13,13,25,9,6,7,10
CXCR5,0,0,0,0,0,0,0,0,0,0,0,0
BLVRB,0,1,3,0,2,2,1,6,2,1,0,2
BNC1,0,0,0,0,0,0,0,0,0,0,0,0
BMI1,16,15,18,24,18,19,24,42,17,10,5,22
BMP1,9,3,17,14,8,7,10,15,5,12,3,7
BMP2,0,0,0,0,0,0,0,0,2,0,0,0
BMP3,0,0,0,0,0,0,0,0,0,0,0,0
BMP4,0,0,0,0,0,0,0,0,0,0,0,0
BMP6,0,0,0,0,0,0,0,0,0,0,0,0
BMP8B,2,0,1,3,0,5,6,7,5,9,1,4
BMPR1A,10,10,9,8,7,4,18,12,8,5,2,9
BMPR1B,0,0,0,0,0,0,0,0,0,0,0,0
BMPR2,4,7,9,9,6,11,6,11,4,7,2,4
POLR3D,31,12,34,28,9,20,27,34,26,24,12,25
BNIP1,5,3,13,11,3,2,5,7,10,10,3,6
BNIP2,100,91,108,136,75,135,87,167,89,70,24,103
BNIP3,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3L,3,5,9,7,5,10,11,31,14,14,6,13
BOK,0,0,0,0,0,0,0,0,0,0,0,0
DST,4,0,1,3,0,0,0,1,3,0,0,1
FOXL2,0,0,0,0,0,0,0,0,0,0,0,0
BPGM,2,2,5,3,2,1,4,6,3,2,0,6
BPHL,0,0,2,1,0,0,1,1,0,2,0,0
BRCA1,26,13,20,48,17,24,38,49,16,40,5,27
BRAF,0,0,0,0,0,0,0,0,1,0,0,0
BRCA2,12,12,23,37,12,36,19,32,22,18,2,23
ZFP36L1,52,44,61,74,38,72,73,107,51,38,15,65
ZFP36L2,833,754,1180,1470,722,1392,805,1164,632,592,246,754
BSG,29,19,40,63,8,29,54,54,35,35,9,43
BST1,0,0,0,0,0,0,0,0,0,0,0,0
BST2,1,3,2,3,0,3,3,5,3,1,1,3
BTD,1,0,3,0,0,2,1,1,1,0,0,1
KLF9,57,39,82,84,43,91,87,146,62,58,28,84
KLF5,10,1,4,8,0,5,8,9,7,2,2,4
BTF3,20,13,25,19,15,25,21,30,16,21,4,13
BTG1,18,21,26,34,17,33,23,32,12,13,7,21
BTK,2,1,10,15,0,6,4,12,7,6,4,6
BUB1,0,0,2,3,1,2,5,4,0,0,1,0
BUB1B,10,2,8,10,7,6,9,11,6,7,1,17
BYSL,14,17,28,28,7,14,21,33,20,21,9,20
TSPO,5,2,3,3,2,2,0,1,1,1,0,8
C1QBP,13,11,37,25,12,26,25,28,15,18,5,26
SERPING1,0,0,0,0,0,0,0,0,0,0,0,0
ERC2-IT1,0,0,0,0,0,0,0,0,0,0,0,0
C1QA,0,0,0,0,0,0,0,0,0,0,0,0
C1QC,0,0,0,0,0,0,0,0,0,0,0,0
C1R,1,0,0,2,0,0,0,1,0,0,0,0
C1S,1,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,1,0,0,0,0,0,0
C3AR1,0,0,3,1,3,0,1,0,0,0,0,0
CAPN5,0,0,0,0,0,0,2,2,4,0,0,0
C5,0,2,0,0,0,0,0,1,2,0,0,2
C5AR1,0,0,0,1,1,0,1,0,3,0,0,0
OSGIN2,27,13,21,26,22,40,28,37,13,20,3,25
C9,0,0,0,0,0,0,0,0,0,0,0,0
VPS51,0,0,0,0,0,0,0,0,0,0,0,0
MRPL49,27,23,33,49,19,34,42,40,38,28,10,29
ZNHIT2,1,1,0,3,0,1,1,4,1,0,1,1
MPPED2,0,0,0,0,0,0,0,0,0,0,0,0
MYRF,0,1,1,0,0,0,1,2,1,3,0,0
TMEM258,7,3,3,4,1,4,5,4,4,6,2,5
DAGLA,1,0,3,8,1,0,7,4,5,2,3,1
GAS8-AS1,0,0,0,0,0,0,0,0,0,0,0,0
FMNL1,10,7,17,18,4,9,8,4,7,8,3,3
LDLRAD4,17,10,18,22,8,22,17,12,4,9,4,18
PTTG1IP,61,51,69,54,42,52,66,118,43,73,21,61
CFAP410,1,5,6,7,2,6,7,6,4,1,0,2
TMEM50B,10,10,10,10,6,8,17,14,10,12,2,5
MPPED1,0,1,0,0,0,0,3,0,0,1,0,0
CA7,0,0,0,1,0,0,1,1,0,0,0,0
CA8,0,0,0,0,0,0,0,0,0,0,0,0
CA11,2,0,0,1,2,1,1,3,1,3,1,0
CA12,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1A,0,0,1,1,0,1,0,0,1,1,0,0
CACNA1B,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1C,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1D,0,0,2,0,1,0,0,0,0,0,0,0
CACNA1E,0,0,2,1,0,1,1,0,0,2,0,1
DDR1,0,0,0,0,0,0,0,0,0,0,0,0
CACNA2D1,0,0,0,0,0,0,0,0,0,0,0,0
CACNB1,0,0,0,0,0,0,0,0,0,0,0,0
CACNB2,0,0,0,0,0,0,0,0,0,0,0,0
CACNB3,2,3,2,1,0,2,2,2,0,1,0,4
CACNB4,0,0,0,0,0,0,1,0,0,0,0,0
SLC25A20,6,2,5,4,4,3,3,8,7,3,3,3
CAD,4,1,7,5,2,5,5,5,3,1,3,4
CALD1,0,0,0,0,0,0,0,0,0,0,0,0
CALM1,72,68,116,134,59,139,121,192,99,88,37,111
CALM2,47,45,70,80,47,100,88,141,60,67,21,68
CALM3,98,85,91,135,58,84,70,101,55,68,24,69
CALR,162,108,182,249,91,172,284,275,200,195,87,239
CALU,116,91,121,176,70,141,153,208,114,121,41,131
CAMK2A,0,0,0,0,0,0,0,0,0,0,0,0
CAMK2B,3,0,4,6,1,1,2,2,2,2,0,1
CAMK2D,9,5,8,16,6,10,7,17,8,4,0,8
CAMK2G,33,20,36,40,23,33,43,32,29,23,5,18
CAMLG,2,2,1,3,0,2,5,3,3,1,1,3
CANX,125,133,178,229,109,211,207,317,156,159,58,185
CAPG,1,1,2,5,1,1,2,3,4,2,3,1
CAPN1,7,3,5,8,2,8,7,8,4,7,0,4
CAPN2,13,4,10,9,4,10,22,34,14,17,1,9
CAPN3,2,0,0,3,2,0,1,1,1,4,0,2
CAPNS1,19,18,36,35,6,25,25,20,24,20,5,29
CAPN6,0,0,0,0,0,0,0,0,0,0,0,0
CAPS,0,0,2,1,0,0,0,2,1,4,3,1
CAPZA1,78,63,94,115,62,110,91,137,64,49,15,92
CAPZA2,14,19,24,23,18,27,21,44,29,18,7,22
CAST,0,2,2,7,1,4,3,9,2,2,2,5
CAPZB,23,9,19,35,11,18,33,42,24,24,9,16
CARS1,26,22,52,37,17,52,57,70,46,54,20,46
CASP1,3,2,3,3,2,3,6,3,2,8,1,2
CASP2,130,121,199,226,114,138,120,193,117,105,32,89
CASP3,46,30,37,56,32,51,47,88,45,33,16,37
CASP4,1,0,2,3,0,5,3,2,4,1,2,4
CASP6,1,2,1,6,3,4,1,7,0,3,1,3
CASP7,9,3,12,11,11,6,14,20,13,11,3,8
