chr	start	end	interval_id	num_peaks	num_samples	MV411_1_430_R1.bool	MV411_2_431_R1.bool	MV411_3_575_R1.bool	MV411_9_718_R1.bool	MV411_1_430_R1.fc	MV411_2_431_R1.fc	MV411_3_575_R1.fc	MV411_9_718_R1.fc	MV411_1_430_R1.qval	MV411_2_431_R1.qval	MV411_3_575_R1.qval	MV411_9_718_R1.qval	MV411_1_430_R1.pval	MV411_2_431_R1.pval	MV411_3_575_R1.pval	MV411_9_718_R1.pval	MV411_1_430_R1.start	MV411_2_431_R1.start	MV411_3_575_R1.start	MV411_9_718_R1.start	MV411_1_430_R1.end	MV411_2_431_R1.end	MV411_3_575_R1.end	MV411_9_718_R1.end	MV411_1_430_R1.summit	MV411_2_431_R1.summit	MV411_3_575_R1.summit	MV411_9_718_R1.summit	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	6602905	6603106	Interval_43	2	2	FALSE	TRUE	FALSE	TRUE	NA	4.66627	NA	5.42048	NA	3.85791	NA	5.72035	NA	7.8349	NA	9.46884	NA	6602905	NA	6602960	NA	6603097	NA	6603106	NA	87	NA	37	NA	promoter-TSS (KLHL21)	NA	-108	KLHL21								
chr1	6603580	6603787	Interval_44	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.45645	NA	NA	NA	7.3228	NA	NA	NA	11.20783	NA	NA	NA	6603580	NA	NA	NA	6603787	NA	NA	NA	94	NA	promoter-TSS (KLHL21)	NA	-786	KLHL21								
chr1	6613312	6613444	Interval_45	1	1	TRUE	FALSE	FALSE	FALSE	4.98825	NA	NA	NA	3.83879	NA	NA	NA	7.76423	NA	NA	NA	6613312	NA	NA	NA	6613444	NA	NA	NA	106	NA	NA	NA	NA	promoter-TSS (PHF13)	NA	-318	PHF13								
chr1	6613457	6613601	Interval_46	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.45645	NA	NA	NA	7.3228	NA	NA	NA	11.20783	NA	NA	NA	6613457	NA	NA	NA	6613601	NA	NA	NA	38	NA	promoter-TSS (PHF13)	NA	-167	PHF13								
chr1	6701913	6702125	Interval_47	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.26306	NA	NA	NA	6.67503	NA	NA	NA	10.51436	NA	NA	NA	6701913	NA	NA	NA	6702125	NA	NA	NA	102	NA	promoter-TSS (DNAJC11)	NA	-113	DNAJC11								
chr1	6784499	6784745	Interval_48	2	2	TRUE	TRUE	FALSE	FALSE	5.62566	7.40467	NA	NA	5.32678	8.65066	NA	NA	9.46626	13.16811	NA	NA	6784546	6784499	NA	NA	6784686	6784745	NA	NA	58	131	NA	NA	NA	promoter-TSS (CAMTA1)	NA	-840	CAMTA1								
chr1	6784844	6785025	Interval_49	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.96144	NA	NA	NA	2.0823	NA	NA	NA	5.32708	NA	NA	NA	6784844	NA	NA	NA	6785025	NA	NA	NA	122	NA	promoter-TSS (CAMTA1)	NA	-527	CAMTA1								
chr1	7108374	7108545	Interval_50	1	1	FALSE	TRUE	FALSE	FALSE	NA	6.256	NA	NA	NA	6.9248	NA	NA	NA	11.26085	NA	NA	NA	7108374	NA	NA	NA	7108545	NA	NA	NA	59	NA	NA	NA	intron (CAMTA1, intron 4 of 22)	NA	-56689	LOC100129476								
chr1	8106923	8107065	Interval_51	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.47019	NA	NA	NA	4.88613	NA	NA	NA	8.54332	NA	NA	NA	8106923	NA	NA	NA	8107065	NA	NA	NA	71	NA	Intergenic	NA	-84585	ERRFI1								
chr1	8211992	8212172	Interval_52	2	2	TRUE	FALSE	FALSE	TRUE	5.41377	NA	NA	3.82131	6.27837	NA	NA	2.49153	10.52479	NA	NA	5.80948	8211992	NA	NA	8211995	8212172	NA	NA	8212167	118	NA	NA	52	NA	intron (LOC102724539, intron 3 of 3)	NA	9318	LOC102724539								
chr1	8224995	8225143	Interval_53	1	1	TRUE	FALSE	FALSE	FALSE	4.60454	NA	NA	NA	3.05132	NA	NA	NA	6.85184	NA	NA	NA	8224995	NA	NA	NA	8225143	NA	NA	NA	34	NA	NA	NA	NA	Intergenic	NA	22305	LOC102724539								
chr1	8283335	8283597	Interval_54	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.45316	NA	NA	NA	11.31042	NA	NA	NA	15.47062	NA	NA	NA	8283335	NA	NA	NA	8283597	NA	NA	NA	148	NA	Intergenic	NA	-34645	SLC45A1								
chr1	8525956	8526271	Interval_55	3	3	TRUE	TRUE	FALSE	TRUE	7.18351	6.01614	NA	14.38929	8.72004	5.55395	NA	28.91184	13.22507	9.75624	NA	33.79669	8526012	8525956	NA	8525998	8526190	8526237	NA	8526271	97	93	NA	156	NA	promoter-TSS (RERE)	NA	102547	LOC102724552								
chr1	8703030	8703261	Interval_56	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.73037	NA	NA	NA	7.38637	NA	NA	NA	11.27388	NA	NA	NA	8703030	NA	NA	NA	8703261	NA	NA	NA	98	NA	promoter-TSS (RERE)	NA	68	RERE								
chr1	8703339	8703634	Interval_57	2	2	TRUE	FALSE	FALSE	TRUE	6.42373	NA	NA	9.42252	6.51046	NA	NA	14.03627	10.77603	NA	NA	18.33868	8703405	NA	NA	8703339	8703537	NA	NA	8703634	56	NA	NA	156	NA	promoter-TSS (RERE)	NA	-273	RERE								
chr1	8873614	8873901	Interval_58	3	3	TRUE	TRUE	FALSE	TRUE	8.49804	7.0682	NA	4.74292	12.95022	8.13847	NA	4.09588	17.78321	12.61496	NA	7.6621	8873676	8873614	NA	8873686	8873901	8873792	NA	8873841	103	85	NA	90	NA	intron (ENO1, intron 2 of 11)	NA	-5077	ENO1-AS1								
chr1	8877925	8878160	Interval_59	3	3	TRUE	TRUE	FALSE	TRUE	6.08374	5.6082	NA	5.06911	6.00743	4.41371	NA	4.04466	10.22135	8.45415	NA	7.596	8877989	8877958	NA	8877925	8878159	8878160	NA	8878152	80	119	NA	71	NA	promoter-TSS (ENO1-AS1)	NA	-792	ENO1-AS1								
chr1	8878273	8878610	Interval_60	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	6.96238	6.05576	NA	NA	6.01559	6.04529	NA	NA	10.65619	9.82026	NA	NA	8878273	8878341	NA	NA	8878570	8878610	NA	NA	267	108	NA	promoter-TSS (ENO1-AS1)	NA	-393	ENO1-AS1								
chr1	8878692	8878861	Interval_61	1	1	TRUE	FALSE	FALSE	FALSE	4.98886	NA	NA	NA	3.58818	NA	NA	NA	7.46799	NA	NA	NA	8878692	NA	NA	NA	8878861	NA	NA	NA	43	NA	NA	NA	NA	promoter-TSS (ENO1)	NA	-58	ENO1-AS1								
chr1	8879154	8879373	Interval_62	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.15413	NA	NA	NA	6.19208	NA	NA	NA	9.9791	NA	NA	NA	8879154	NA	NA	NA	8879373	NA	NA	NA	105	NA	promoter-TSS (ENO1)	NA	-172	ENO1								
chr1	9029549	9029725	Interval_63	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.976	NA	NA	NA	2.10369	NA	NA	NA	5.34988	NA	NA	NA	9029549	NA	NA	NA	9029725	NA	NA	NA	37	NA	Intergenic	NA	-3292	SLC2A7								
chr1	9067246	9067501	Interval_64	2	2	TRUE	FALSE	FALSE	TRUE	5.3309	NA	NA	6.43247	4.60512	NA	NA	7.28696	8.64078	NA	NA	11.16829	9067314	NA	NA	9067246	9067446	NA	NA	9067501	63	NA	NA	115	NA	intron (SLC2A5, intron 1 of 11)	NA	1952	SLC2A5								
chr1	9069631	9069920	Interval_65	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	8.12117	NA	NA	NA	11.08428	NA	NA	NA	15.22455	NA	NA	NA	9069631	NA	NA	NA	9069920	NA	NA	NA	191	NA	promoter-TSS (SLC2A5)	NA	-450	SLC2A5								
chr1	9078146	9078309	Interval_66	1	1	TRUE	FALSE	FALSE	FALSE	4.87593	NA	NA	NA	4.4887	NA	NA	NA	8.51811	NA	NA	NA	9078146	NA	NA	NA	9078309	NA	NA	NA	74	NA	NA	NA	NA	Intergenic	NA	-8902	SLC2A5								
chr1	9083428	9083570	Interval_67	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.77119	NA	NA	NA	3.61728	NA	NA	NA	7.11977	NA	NA	NA	9083428	NA	NA	NA	9083570	NA	NA	NA	103	NA	Intergenic	NA	-14173	SLC2A5								
chr1	9143348	9143572	Interval_68	1	1	TRUE	FALSE	FALSE	FALSE	6.48933	NA	NA	NA	6.93226	NA	NA	NA	11.26198	NA	NA	NA	9143348	NA	NA	NA	9143572	NA	NA	NA	97	NA	NA	NA	NA	Intergenic	NA	8296	MIR34A								
chr1	9164075	9164231	Interval_69	1	1	TRUE	FALSE	FALSE	FALSE	6.34671	NA	NA	NA	8.55954	NA	NA	NA	13.03203	NA	NA	NA	9164075	NA	NA	NA	9164231	NA	NA	NA	62	NA	NA	NA	NA	Intergenic	NA	-12397	MIR34A								
chr1	9275507	9275914	Interval_70	3	3	TRUE	TRUE	FALSE	TRUE	11.45388	8.13746	NA	18.28421	22.09116	10.55309	NA	45.52997	27.43705	15.25153	NA	50.86621	9275579	9275594	NA	9275507	9275863	9275914	NA	9275902	171	103	NA	214	NA	Intergenic	NA	-17171	SPSB1								
chr1	9280491	9280632	Interval_71	1	1	FALSE	TRUE	FALSE	FALSE	NA	5.46605	NA	NA	NA	4.76237	NA	NA	NA	8.86241	NA	NA	NA	9280491	NA	NA	NA	9280632	NA	NA	NA	45	NA	NA	NA	Intergenic	NA	-12320	SPSB1								
chr1	9426411	9426575	Interval_72	2	2	TRUE	FALSE	FALSE	TRUE	4.67659	NA	NA	6.96383	3.14355	NA	NA	8.46716	6.96784	NA	NA	12.44265	9426439	NA	NA	9426411	9426571	NA	NA	9426575	124	NA	NA	138	NA	exon (LOC100506022, exon 2 of 2)	NA	2423	LOC100506022								
chr1	9428895	9429065	Interval_73	1	1	TRUE	FALSE	FALSE	FALSE	5.29856	NA	NA	NA	5.45877	NA	NA	NA	9.60437	NA	NA	NA	9428895	NA	NA	NA	9429065	NA	NA	NA	71	NA	NA	NA	NA	promoter-TSS (LOC100506022)	NA	-64	LOC100506022								
chr1	9539174	9539596	Interval_74	4	4	TRUE	TRUE	TRUE	TRUE	3.74815	4.24606	4.85	5.64314	3.10013	3.4665	3.56902	8.85034	6.92101	7.37136	7.8424	12.85061	9539282	9539179	9539283	9539174	9539513	9539546	9539489	9539596	101	190	104	201	NA	promoter-TSS (SLC25A33)	NA	-14343	SLC25A33								
chr1	9588587	9588749	Interval_75	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.62842	NA	NA	NA	5.42191	NA	NA	NA	9.12744	NA	NA	NA	9588587	NA	NA	NA	9588749	NA	NA	NA	97	NA	promoter-TSS (TMEM201)	NA	-209	TMEM201								
chr1	9719158	9719405	Interval_76	4	4	TRUE	TRUE	TRUE	TRUE	5.18068	11.17283	7.97388	9.82462	5.2598	18.70265	9.14864	18.81982	9.39398	23.96484	14.09944	23.34261	9719162	9719176	9719208	9719158	9719334	9719405	9719395	9719380	91	130	81	103	NA	intron (PIK3CD, intron 9 of 23)	NA	29737	PIK3CD								
chr1	10378203	10378747	Interval_77	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.30229	NA	NA	NA	8.85436	NA	NA	NA	12.8556	NA	NA	NA	10378203	NA	NA	NA	10378747	NA	NA	NA	399	NA	exon (KIF1B, exon 47 of 47)	NA	-20553	PGD								
chr1	10388119	10388330	Interval_78	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.76181	NA	NA	NA	4.12508	NA	NA	NA	7.69398	NA	NA	NA	10388119	NA	NA	NA	10388330	NA	NA	NA	123	NA	Intergenic	NA	-10803	PGD								
chr1	10398669	10399174	Interval_79	3	3	TRUE	FALSE	TRUE	TRUE	5.19558	NA	6.90911	6.3847	6.54708	NA	6.50857	9.8691	10.81923	NA	11.19759	13.93964	10398728	NA	10398784	10398669	10398920	NA	10398977	10399174	63	NA	69	92	NA	promoter-TSS (PGD)	NA	-106	PGD								
chr1	10400360	10400893	Interval_80	4	4	TRUE	TRUE	TRUE	TRUE	10.05661	9.39525	7.03578	26.42483	20.78784	15.30791	7.0178	87.05463	26.07859	20.37467	11.76892	93.23737	10400472	10400479	10400566	10400360	10400775	10400795	10400718	10400893	122	122	45	281	NA	intron (PGD, intron 3 of 12)	NA	1599	PGD								
chr1	10430253	10430566	Interval_81	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.57862	NA	NA	NA	5.04045	NA	NA	NA	8.71753	NA	NA	NA	10430253	NA	NA	NA	10430566	NA	NA	NA	205	NA	promoter-TSS (APITD1)	NA	308	APITD1-CORT								
chr1	10511081	10511223	Interval_82	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.3878	NA	NA	NA	1.35496	NA	NA	NA	4.41986	NA	NA	NA	10511081	NA	NA	NA	10511223	NA	NA	NA	75	NA	intron (PEX14, intron 2 of 8)	NA	-13286	PEX14								
