GENE,MV411-DMSO,MV411-Mebendazole
ABCD2,1.0,2.0
ALDOA,36.0,35.0
ALDOB,0.0,0.0
ALDOC,0.0,1.0
AKR1B1,2.0,2.0
ALOX12,0.0,0.0
ALOX5AP,2.0,3.0
ALOX15,0.0,0.0
ALX3,0.0,0.0
AMD1,198.0,250.0
AMFR,8.0,5.0
AMH,0.0,0.0
AMPD2,4.0,2.0
AMPD3,0.0,1.0
AMPH,0.0,0.0
BIN1,0.0,0.0
AMT,0.0,0.0
AMY1A,0.0,0.0
AMY1B,0.0,0.0
AMY1C,0.0,0.0
AMY2B,0.0,0.0
ANGPT1,0.0,0.0
ANGPT2,0.0,0.0
ANK2,1.0,2.0
SLC25A4,0.0,0.0
SLC25A5,26.0,22.0
SLC25A6,56.0,50.0
ANXA1,14.0,21.0
ANXA2,14.0,21.0
303,0.0,1.0
ANXA4,2.0,3.0
ANXA5,4.0,10.0
ANXA6,2.0,1.0
ANXA7,7.0,5.0
ANXA11,7.0,7.0
AOC2,0.0,0.0
APAF1,11.0,16.0
NUDT2,2.0,1.0
APBA1,7.0,9.0
APBA2,0.0,0.0
APBB1,0.0,0.0
APBB2,1.0,3.0
APC,11.0,14.0
APEH,2.0,1.0
APEX1,42.0,43.0
BIRC2,3.0,6.0
BIRC3,0.0,4.0
XIAP,28.0,34.0
BIRC5,36.0,34.0
APLP1,0.0,0.0
APLP2,29.0,24.0
APOA1,0.0,0.0
APOC1,0.0,0.0
APOC2,17.0,17.0
APOD,0.0,0.0
APP,9.0,8.0
APRT,7.0,4.0
FAS,0.0,0.0
AQP1,5.0,5.0
AQP3,1.0,3.0
AQP6,0.0,0.0
AR,0.0,0.0
ARAF,8.0,5.0
ARCN1,100.0,102.0
TRIM23,6.0,8.0
ARF1,70.0,97.0
ARF3,40.0,37.0
ARF4,30.0,56.0
ARF5,2.0,4.0
ARF6,135.0,173.0
ARG2,1.0,0.0
RHOA,94.0,119.0
RHOB,6.0,13.0
RHOC,0.0,1.0
RHOG,16.0,18.0
ARHGAP1,11.0,13.0
ARHGAP4,0.0,0.0
ARHGAP6,0.0,0.0
ARHGDIA,44.0,49.0
ARHGDIB,150.0,226.0
RHOH,3.0,3.0
ARL1,13.0,19.0
ARL2,1.0,3.0
ARL3,1.0,2.0
ARNT,13.0,16.0
ARNTL,1.0,5.0
ARRB1,23.0,33.0
ARRB2,6.0,12.0
ARSA,1.0,1.0
ARSB,12.0,18.0
STS,5.0,6.0
ARSD,3.0,7.0
ARSL,0.0,0.0
ARVCF,0.0,0.0
ASAH1,9.0,8.0
ASGR2,0.0,0.0
ASL,0.0,0.0
GET3,4.0,5.0
ASNS,1.0,4.0
ASPH,28.0,35.0
ASS1,1.0,1.0
ZFHX3,1.0,0.0
ATF1,16.0,20.0
ATF3,21.0,33.0
ATF4,53.0,60.0
ATIC,4.0,3.0
ATM,18.0,15.0
RERE,11.0,14.0
ATOX1,2.0,2.0
ATP1A1,7.0,7.0
ATP1A3,1.0,0.0
ATP1B1,0.0,1.0
ATP1B3,21.0,22.0
ATP2A1,0.0,0.0
ATP2A2,75.0,74.0
ATP2A3,5.0,6.0
ATP2B1,49.0,72.0
ATP2B2,0.0,0.0
ATP2B3,0.0,0.0
ATP2B4,22.0,29.0
ATP5F1A,11.0,7.0
ATP5F1B,21.0,23.0
ATP5F1C,5.0,8.0
ATP5F1D,2.0,3.0
ATP5F1E,15.0,10.0
ATP5PB,20.0,17.0
ATP5MC1,1.0,1.0
ATP5MC2,11.0,11.0
ATP5MC3,62.0,50.0
ATP5ME,6.0,8.0
ATP5PF,3.0,4.0
ATP6V1A,17.0,25.0
ATP6V1B2,103.0,120.0
ATP6V0C,10.0,10.0
ATP6V1C1,43.0,41.0
ATP6V1E1,21.0,22.0
ATP6V0B,20.0,20.0
ATP6V1G2,1.0,0.0
ATP6V0A1,2.0,8.0
ATP6AP1,2.0,2.0
ATP7A,1.0,2.0
ATP5PO,7.0,5.0
ATP7B,0.0,0.0
ATR,2.0,0.0
ATRX,16.0,21.0
AUH,0.0,2.0
AUP1,88.0,89.0
AVPR2,0.0,0.0
AXL,2.0,1.0
AZU1,1.0,1.0
B2M,70.0,71.0
BAAT,0.0,0.0
BACH1,87.0,108.0
BAD,1.0,0.0
BAG1,27.0,21.0
BAK1,8.0,9.0
NKX3-2,1.0,3.0
BARD1,51.0,57.0
BAX,5.0,3.0
BBS1,2.0,3.0
BBS2,3.0,2.0
BBS4,4.0,3.0
BCAT1,92.0,106.0
BCAT2,2.0,3.0
BCKDHA,3.0,1.0
BCKDHB,2.0,3.0
CCND1,0.0,0.0
BCL2,57.0,92.0
BCL2A1,0.0,0.0
BCL2L1,7.0,12.0
BCL2L2,12.0,20.0
BCL3,1.0,5.0
BCL6,0.0,0.0
BCL7A,36.0,27.0
BCL9,0.0,0.0
OPN1SW,0.0,0.0
BCR,0.0,2.0
BCS1L,1.0,0.0
BDH1,5.0,9.0
BDNF,0.0,0.0
BFSP1,0.0,0.0
BGLAP,0.0,0.0
BICD1,0.0,0.0
BID,43.0,47.0
BIK,1.0,0.0
PRDM1,6.0,5.0
BLM,2.0,6.0
BLMH,11.0,9.0
BLVRB,0.0,1.0
BMI1,17.0,18.0
BMP1,4.0,4.0
BMP6,0.0,0.0
BMP8B,2.0,1.0
BMPR1A,7.0,10.0
BMPR2,3.0,3.0
POLR3D,14.0,10.0
BNIP1,12.0,13.0
BNIP2,86.0,100.0
BNIP3,0.0,0.0
BNIP3L,9.0,12.0
DST,3.0,3.0
BPGM,8.0,4.0
BPHL,0.0,1.0
BRCA1,49.0,44.0
BRAF,0.0,0.0
BRCA2,25.0,34.0
ZFP36L1,3.0,3.0
ZFP36L2,226.0,154.0
BSG,19.0,21.0
BST1,0.0,0.0
BST2,1.0,1.0
BTD,0.0,0.0
KLF9,31.0,59.0
KLF5,2.0,2.0
BTF3,29.0,29.0
BTG1,22.0,34.0
BTK,5.0,10.0
BUB1,4.0,2.0
BUB1B,11.0,14.0
BYSL,14.0,16.0
TSPO,1.0,2.0
C1QBP,23.0,28.0
C3,0.0,0.0
C3AR1,5.0,5.0
CAPN5,0.0,0.0
C5,0.0,2.0
C5AR1,0.0,0.0
OSGIN2,28.0,32.0
VPS51,1.0,0.0
MRPL49,16.0,24.0
ZNHIT2,0.0,1.0
MYRF,0.0,0.0
TMEM258,5.0,7.0
DAGLA,1.0,1.0
FMNL1,3.0,3.0
LDLRAD4,14.0,16.0
PTTG1IP,32.0,38.0
CFAP410,0.0,1.0
TMEM50B,11.0,8.0
CA7,0.0,0.0
CA11,0.0,1.0
CACNA1A,0.0,0.0
CACNA1D,0.0,0.0
CACNA1E,0.0,0.0
CACNB1,0.0,0.0
CACNB2,0.0,0.0
CACNB3,1.0,1.0
CACNB4,1.0,1.0
SLC25A20,5.0,3.0
CAD,4.0,2.0
CALB1,0.0,0.0
CALM1,84.0,145.0
CALM2,66.0,76.0
CALM3,37.0,27.0
CALR,131.0,115.0
CALU,96.0,111.0
CAMK2B,0.0,0.0
CAMK2D,7.0,7.0
CAMK2G,15.0,16.0
CAMLG,6.0,7.0
CANX,169.0,214.0
CAPG,1.0,1.0
CAPN1,1.0,2.0
CAPN2,15.0,22.0
CAPN3,0.0,1.0
CAPNS1,7.0,14.0
CAPS,0.0,1.0
CAPZA1,114.0,170.0
CAPZA2,24.0,31.0
CAST,5.0,5.0
CAPZB,11.0,22.0
CARS1,35.0,36.0
CASP1,6.0,4.0
CASP2,77.0,84.0
CASP3,59.0,59.0
CASP4,1.0,4.0
CASP6,4.0,2.0
CASP7,4.0,15.0
CASP8,8.0,8.0
CASP9,4.0,4.0
CASP10,11.0,16.0
CASQ1,0.0,0.0
CAT,11.0,16.0
CAV1,0.0,0.0
CAV3,0.0,0.0
RUNX2,81.0,96.0
RUNX1,141.0,174.0
CBFA2T3,11.0,13.0
RUNX3,37.0,51.0
CBFB,54.0,60.0
CBL,57.0,58.0
CBLB,8.0,6.0
CBLN1,0.0,0.0
SERPINH1,4.0,7.0
CBR1,1.0,1.0
CBS,0.0,0.0
KYAT1,2.0,1.0
KRIT1,4.0,4.0
CCNA2,20.0,23.0
CCNB1,20.0,14.0
CCNC,17.0,19.0
CCND2,26.0,44.0
CCND3,27.0,32.0
CCNE1,9.0,11.0
CCNF,21.0,19.0
CCNG1,59.0,58.0
CCNG2,7.0,7.0
CCNH,3.0,1.0
CCNT1,249.0,293.0
CCNT2,83.0,85.0
CCT6A,55.0,65.0
CD1D,1.0,1.0
CD4,14.0,18.0
CD9,0.0,0.0
MS4A3,12.0,8.0
CD27,0.0,0.0
CD28,0.0,0.0
CD80,0.0,0.0
CD86,1.0,2.0
TNFRSF8,0.0,0.0
CD33,17.0,16.0
SIGLEC6,0.0,2.0
CD36,7.0,4.0
SCARB1,5.0,6.0
SCARB2,3.0,7.0
CD37,1.0,1.0
CD38,0.0,0.0
ENTPD1,0.0,0.0
ENTPD6,2.0,4.0
ENTPD5,10.0,12.0
CD44,70.0,92.0
CD47,33.0,49.0
CD53,13.0,24.0
CD58,12.0,15.0
CD63,2.0,4.0
CD68,5.0,6.0
CD70,0.0,0.0
CD72,0.0,1.0
CD74,11.0,9.0
CD79A,0.0,0.0
CD79B,0.0,0.0
CD81,5.0,5.0
ADGRE5,13.0,16.0
CD151,4.0,7.0
CDA,0.0,0.0
CDK1,18.0,18.0
CDK11B,0.0,1.0
LRBA,3.0,4.0
CDC5L,32.0,34.0
SEPTIN7,25.0,19.0
CDC6,21.0,23.0
CDC20,2.0,3.0
CDC25A,73.0,51.0
CDC25B,9.0,4.0
CDC25C,3.0,2.0
CDC27,63.0,75.0
CDC34,4.0,8.0
CDC42,76.0,104.0
CDK2,32.0,21.0
CDK3,1.0,1.0
CDK4,19.0,22.0
CDK5,0.0,0.0
CDK6,417.0,564.0
CDK7,2.0,3.0
CDK8,13.0,15.0
CDK9,15.0,14.0
CDKN1A,4.0,10.0
CDKN1B,103.0,96.0
CDKN1C,0.0,0.0
CDKN2A,13.0,15.0
CDKN2B,3.0,9.0
CDKN2C,6.0,8.0
CDKN2D,5.0,10.0
CDKN3,3.0,1.0
CDR2,15.0,16.0
CD52,0.0,0.0
CDX2,0.0,0.0
CEBPA,163.0,123.0
CEBPB,14.0,15.0
CEBPD,14.0,12.0
CEBPE,0.0,0.0
CEBPG,192.0,198.0
CENPA,36.0,26.0
CENPB,14.0,12.0
CENPC,0.0,1.0
CENPE,5.0,2.0
CENPF,10.0,16.0
CES1,0.0,0.0
CETN2,5.0,2.0
CETN3,2.0,2.0
CFL1,46.0,78.0
CFL2,32.0,31.0
CTSC,37.0,43.0
CEACAM4,0.0,0.0
RCBTB2,11.0,11.0
RCC1,46.0,39.0
CHD1,39.0,38.0
CHD2,84.0,91.0
CHD3,4.0,5.0
CHD4,6.0,7.0
CHEK1,37.0,47.0
FOXN3,69.0,95.0
CHGB,0.0,0.0
CHI3L1,2.0,6.0
CHKA,7.0,11.0
CHKB,1.0,2.0
CHM,19.0,22.0
CHML,139.0,196.0
CHN1,0.0,0.0
LYST,147.0,184.0
CHRM5,0.0,1.0
CHRNA3,0.0,0.0
CHRNA5,0.0,0.0
CHRNB1,7.0,7.0
CHRNB2,0.0,0.0
CHRNE,0.0,0.0
CHRNG,0.0,0.0
CHUK,26.0,26.0
CKB,0.0,0.0
CIRBP,93.0,70.0
CISH,43.0,45.0
TBCB,3.0,6.0
CKM,0.0,0.0
ERCC8,2.0,1.0
CKS1B,4.0,5.0
CKS2,36.0,42.0
AP2M1,5.0,6.0
AP1S1,9.0,8.0
AP2S1,7.0,6.0
AP3S1,6.0,6.0
CLCN2,0.0,0.0
CLCN3,12.0,21.0
CLCN4,14.0,9.0
CLCN5,8.0,10.0
CLCN6,13.0,12.0
CLCN7,3.0,1.0
CLU,1.0,1.0
CLIC1,24.0,44.0
CLIC2,0.0,1.0
CLK1,261.0,416.0
CLK2,21.0,14.0
1197,19.0,15.0
CLK3,6.0,7.0
TPP1,21.0,36.0
CLN3,0.0,0.0
CLN5,4.0,10.0
CLNS1A,27.0,20.0
CLPTM1,3.0,3.0
CLTA,22.0,19.0
CLTB,8.0,7.0
CLTC,51.0,59.0
CCR1,41.0,46.0
CCR3,0.0,0.0
CCR5,0.0,0.0
CCR6,0.0,1.0
CCR7,0.0,0.0
ACKR2,0.0,0.0
LTB4R,6.0,10.0
ABCC2,1.0,2.0
PLK3,2.0,2.0
CNN2,16.0,65.0
CNP,14.0,12.0
CNR2,1.0,1.0
CNTF,5.0,7.0
COL4A2,0.0,0.0
COL4A4,0.0,0.0
COL6A1,0.0,0.0
COL7A1,0.0,1.0
COL8A2,0.0,0.0
COL9A2,2.0,3.0
COL9A3,0.0,1.0
COL11A2,0.0,0.0
COL15A1,0.0,0.0
COMT,3.0,5.0
COPA,16.0,21.0
COPB1,5.0,4.0
KLF6,95.0,158.0
SLC31A1,18.0,37.0
SLC31A2,16.0,15.0
CORT,0.0,0.0
MAP3K8,3.0,2.0
COX4I1,33.0,23.0
COX5B,6.0,4.0
COX6A1,25.0,18.0
COX6B1,15.0,12.0
COX6C,6.0,7.0
COX7A2,20.0,25.0
COX7B,11.0,13.0
COX7C,10.0,10.0
COX8A,21.0,13.0
COX10,18.0,22.0
COX11,12.0,12.0
COX15,14.0,16.0
CP,0.0,0.0
CPB2,0.0,0.0
CPD,22.0,23.0
CLDN7,0.0,0.0
CPM,7.0,8.0
CPOX,8.0,11.0
CPS1,0.0,0.0
CPT1A,33.0,37.0
CPT1B,2.0,1.0
CPT2,6.0,9.0
CRABP2,0.0,0.0
CRAT,0.0,0.0
CREB1,68.0,97.0
ATF2,49.0,65.0
CREBBP,5.0,5.0
ATF6B,2.0,1.0
CREBL2,5.0,8.0
CREM,4.0,6.0
CRIP1,1.0,3.0
CRIP2,0.0,0.0
CRK,84.0,88.0
CRKL,117.0,102.0
CRY1,0.0,1.0
CRY2,11.0,9.0
CRYBB1,0.0,0.0
CRYGS,0.0,1.0
CRYZ,0.0,0.0
CS,84.0,68.0
MAPK14,33.0,50.0
CSE1L,9.0,17.0
CSF1R,10.0,20.0
CSF2RA,6.0,10.0
CSF2RB,3.0,12.0
CSF3R,0.0,0.0
CSK,7.0,9.0
CSNK1A1,43.0,57.0
CSNK1D,37.0,40.0
CSNK1E,13.0,21.0
CSNK1G2,12.0,12.0
CSNK1G3,29.0,20.0
CSNK2A1,39.0,55.0
CSNK2A2,6.0,7.0
CSNK2B,4.0,2.0
CSPG4,5.0,3.0
CSRP1,16.0,25.0
SLC25A10,2.0,2.0
CST3,7.0,8.0
CSTA,4.0,8.0
CSTB,5.0,13.0
CSTF1,14.0,18.0
CSTF2,5.0,3.0
CSTF3,29.0,29.0
CTBS,5.0,5.0
CTBP1,6.0,9.0
CTBP2,21.0,27.0
CTF1,0.0,0.0
CTH,0.0,0.0
CTNNA1,17.0,19.0
CTNS,4.0,5.0
CTNNB1,46.0,49.0
CTNND1,12.0,24.0
CTPS1,27.0,28.0
CTRL,1.0,0.0
CTSB,22.0,27.0
CTSD,2.0,4.0
CTSG,2.0,2.0
CTSH,1.0,3.0
CTSK,0.0,2.0
CTSV,0.0,0.0
CTSO,1.0,2.0
CTSS,11.0,12.0
CTSW,0.0,0.0
CTSZ,8.0,6.0
CUX1,11.0,19.0
CX3CR1,2.0,2.0
CXADR,0.0,0.0
CYB5A,2.0,0.0
CYB561,5.0,6.0
CYBA,6.0,22.0
CYBB,0.0,0.0
CYC1,16.0,12.0
CYLD,23.0,34.0
CYP1B1,0.0,0.0
CYP2B7P,0.0,0.0
CYP2D7,0.0,0.0
CYP2E1,0.0,0.0
CYP3A5,0.0,0.0
CYP27B1,5.0,5.0
CYP51A1,29.0,29.0
DAB2,0.0,0.0
DAD1,10.0,17.0
CD55,3.0,6.0
DAG1,7.0,9.0
DGKA,0.0,1.0
DGKG,18.0,25.0
DGKQ,4.0,2.0
DAP,29.0,40.0
DAPK3,0.0,1.0
DARS1,7.0,12.0
DAXX,2.0,2.0
DBI,39.0,15.0
DBN1,1.0,3.0
DBP,0.0,1.0
DBT,20.0,28.0
ECI1,0.0,1.0
DCK,12.0,15.0
DCTD,29.0,29.0
DCTN1,10.0,11.0
DDB1,10.0,9.0
DDB2,2.0,0.0
AKR1C1,0.0,0.0
AKR1C2,0.0,0.0
GADD45A,4.0,7.0
DDIT3,43.0,42.0
DDOST,11.0,7.0
DDT,7.0,6.0
DDX1,5.0,3.0
DDX3X,209.0,253.0
DDX5,73.0,89.0
DDX6,171.0,188.0
DMXL1,5.0,6.0
DHX8,13.0,12.0
DHX9,14.0,15.0
DDX10,15.0,15.0
DDX11,14.0,11.0
DHX15,41.0,41.0
DECR1,1.0,0.0
DES,0.0,0.0
CFD,1.0,0.0
DFFA,12.0,10.0
DFFB,7.0,2.0
TIMM8A,23.0,22.0
GSDME,0.0,0.0
DGUOK,7.0,6.0
DHCR7,1.0,1.0
DHCR24,64.0,63.0
DHFR,48.0,64.0
DHODH,8.0,2.0
DHPS,16.0,19.0
CYB5R3,8.0,7.0
NQO1,10.0,14.0
DIAPH1,41.0,34.0
DIAPH2,2.0,4.0
SEPTIN1,0.0,0.0
DIO1,0.0,0.0
DIO2,0.0,0.0
DKC1,83.0,87.0
DLAT,23.0,24.0
DLD,12.0,15.0
DLG1,13.0,10.0
DLG4,3.0,4.0
DLST,39.0,38.0
1744,5.0,9.0
DLX1,43.0,35.0
DLX2,0.0,1.0
DLX4,1.0,3.0
SARDH,0.0,0.0
DNM1,0.0,1.0
DMPK,0.0,0.0
DMWD,0.0,0.0
DNA2,31.0,33.0
DNASE1,0.0,0.0
DNASE1L1,1.0,1.0
DNASE2,2.0,2.0
DYNC1H1,3.0,5.0
DYNC1I2,11.0,7.0
DYNC1LI2,68.0,97.0
DNM2,7.0,6.0
DNMT1,6.0,5.0
TRDMT1,4.0,9.0
DNMT3A,22.0,16.0
DNMT3B,5.0,5.0
DOCK2,13.0,11.0
DOCK3,0.0,0.0
DOK1,23.0,23.0
DXO,0.0,0.0
DPAGT1,2.0,5.0
DPH1,21.0,23.0
DPH2,11.0,12.0
DPP4,0.0,0.0
DPYD,5.0,4.0
DPYSL2,58.0,62.0
DPYSL3,1.0,2.0
DR1,37.0,37.0
DRG2,4.0,5.0
ARID3A,12.0,9.0
DRP2,0.0,0.0
ATN1,0.0,1.0
RCAN1,20.0,14.0
TSC22D3,64.0,68.0
SLC26A2,30.0,32.0
DTNA,24.0,34.0
HBEGF,10.0,34.0
DTYMK,10.0,10.0
ECM2,0.0,0.0
DUSP1,4.0,9.0
DUSP2,16.0,13.0
DUSP3,121.0,135.0
DUSP4,0.0,0.0
DUSP5,12.0,22.0
DUSP6,24.0,36.0
DUSP7,38.0,38.0
DUSP8,0.0,2.0
DUT,9.0,9.0
DVL1,1.0,3.0
DVL2,1.0,1.0
DVL3,9.0,7.0
DYRK1A,112.0,118.0
TOR1A,21.0,30.0
E2F1,22.0,22.0
E2F2,23.0,16.0
E2F3,68.0,73.0
E2F4,13.0,9.0
E2F5,4.0,2.0
E2F6,31.0,37.0
E4F1,3.0,3.0
GPR183,50.0,68.0
ECE1,1.0,1.0
TYMP,0.0,0.0
ECH1,2.0,6.0
ECHS1,6.0,5.0
ECM1,0.0,0.0
ECT2,13.0,16.0
LPAR1,3.0,1.0
S1PR3,48.0,66.0
PHC1,0.0,0.0
PHC2,15.0,16.0
EEF1A1,162.0,208.0
EEF1A2,0.0,0.0
EEF1B2,17.0,19.0
EEF1D,1.0,1.0
EEF1G,22.0,12.0
EEF2,93.0,90.0
EIF2D,0.0,1.0
EFNA3,3.0,2.0
EFNA4,2.0,2.0
EFNB1,3.0,1.0
CELSR3,2.0,2.0
CELSR2,0.0,0.0
MEGF8,4.0,3.0
MEGF9,7.0,5.0
EGR1,8.0,23.0
EGR2,1.0,1.0
EGR3,2.0,17.0
EHHADH,0.0,0.0
EIF1AX,55.0,57.0
EIF2S1,96.0,105.0
EIF2B1,23.0,22.0
EIF2S3,52.0,49.0
EIF4A1,222.0,234.0
EIF4A2,306.0,251.0
EIF4B,139.0,149.0
EIF4E,29.0,35.0
EIF4EBP1,19.0,30.0
EIF4EBP2,75.0,88.0
EIF4G1,12.0,9.0
EIF4G2,103.0,135.0
EIF5,324.0,355.0
EIF5A,69.0,55.0
CELA1,0.0,0.0
ELANE,2.0,1.0
SERPINB1,38.0,57.0
ELAVL1,48.0,51.0
ELAVL3,0.0,0.0
ELF1,179.0,194.0
ELF2,39.0,47.0
ELF4,20.0,26.0
ELK1,5.0,11.0
ELK3,9.0,14.0
ELK4,61.0,62.0
EMD,0.0,1.0
MARK2,8.0,9.0
EMP1,35.0,43.0
EMP2,0.0,0.0
EMP3,3.0,4.0
ADGRE1,0.0,0.0
CTTN,0.0,0.0
ENDOG,2.0,0.0
ENG,5.0,4.0
ENO1,87.0,66.0
ENO2,0.0,0.0
ENSA,62.0,81.0
SLC29A1,8.0,5.0
EP300,7.0,9.0
EPAS1,0.0,0.0
EPB41,27.0,29.0
EPB41L2,3.0,3.0
STOM,64.0,47.0
EPHB4,0.0,0.0
EPHX1,0.0,0.0
STX2,7.0,8.0
CLN8,10.0,21.0
EPOR,16.0,19.0
EPRS1,8.0,6.0
EPS8,1.0,1.0
EPS15,19.0,16.0
NR2F6,12.0,11.0
ERBB2,0.0,0.0
ERCC1,19.0,29.0
ERCC2,1.0,1.0
ERCC3,5.0,6.0
ERCC4,9.0,8.0
ERCC5,4.0,2.0
ERCC6,3.0,4.0
ERF,9.0,15.0
ERH,31.0,27.0
ERN1,3.0,4.0
ERV3-1,0.0,2.0
FBL,4.0,5.0
ESD,3.0,6.0
ESR2,0.0,0.0
ESRRA,7.0,8.0
ETF1,125.0,175.0
ETFA,4.0,5.0
ETFB,1.0,0.0
ETFDH,0.0,0.0
ETS1,4.0,6.0
ETS2,73.0,126.0
ETV1,0.0,0.0
ETV2,0.0,0.0
ETV3,5.0,2.0
ETV4,1.0,0.0
ETV5,9.0,12.0
ETV6,119.0,159.0
EVI2A,25.0,41.0
EVI2B,15.0,14.0
EWSR1,33.0,37.0
EXT2,3.0,3.0
EXTL2,7.0,10.0
EXTL3,8.0,5.0
EYA3,43.0,50.0
EZH1,16.0,15.0
EZH2,14.0,11.0
F2R,0.0,1.0
F3,22.0,48.0
F8,0.0,0.0
F12,0.0,0.0
F13A1,0.0,0.0
FAAH,0.0,0.0
FABP3,0.0,0.0
FABP5,2.0,2.0
FANCA,2.0,4.0
FANCC,5.0,7.0
FANCD2,5.0,5.0
FANCE,4.0,5.0
ACSL1,30.0,26.0
ACSL3,13.0,13.0
ACSL4,36.0,37.0
FAH,1.0,1.0
PTK2B,17.0,20.0
BPTF,9.0,16.0
FANCB,0.0,0.0
FANCF,4.0,1.0
FANCG,3.0,3.0
FARSA,9.0,11.0
FASN,2.0,2.0
FAU,10.0,11.0
FBN1,1.0,0.0
FBP1,0.0,0.0
MS4A2,0.0,1.0
FCER1G,4.0,5.0
FCER2,1.0,0.0
FCGR1A,4.0,14.0
2210,6.0,7.0
FCGR2A,8.0,14.0
FCGR2B,0.0,0.0
FCGRT,0.0,0.0
FKTN,28.0,28.0
FDFT1,16.0,16.0
FDPS,1.0,0.0
FDX1,8.0,6.0
FDXR,1.0,1.0
FECH,5.0,5.0
FEN1,76.0,76.0
FER,10.0,16.0
FES,1.0,1.0
FGD1,0.0,0.0
FGF2,0.0,0.0
FGF11,0.0,0.0
FGFR1,0.0,1.0
FGFR3,0.0,0.0
FGR,0.0,1.0
FH,3.0,3.0
FHL1,2.0,4.0
FHL2,0.0,0.0
FHL3,2.0,2.0
FKBP1A,34.0,33.0
2282,0.0,0.0
FKBP2,0.0,1.0
FKBP3,10.0,8.0
FKBP4,10.0,18.0
FKBP5,79.0,93.0
FOXD4,1.0,1.0
FOXM1,9.0,8.0
FOXD2,2.0,1.0
FOXO3,23.0,21.0
FOXO3B,22.0,22.0
FLI1,32.0,57.0
FLII,1.0,3.0
MLANA,0.0,0.0
FLNA,4.0,5.0
FLNB,5.0,6.0
FLOT2,3.0,5.0
FLT1,1.0,0.0
FLT3,304.0,250.0
FLT3LG,0.0,0.0
FMO4,0.0,0.0
FMO5,1.0,0.0
FMR1,7.0,11.0
FN1,0.0,0.0
FNTA,32.0,41.0
FNTB,16.0,16.0
FOS,14.0,18.0
FOSB,40.0,37.0
FOSL2,45.0,47.0
FPGS,3.0,2.0
FXN,10.0,12.0
MTOR,19.0,14.0
FRG1,2.0,0.0
CENPI,2.0,1.0
NR5A2,0.0,0.0
FTH1,81.0,100.0
2498,1.0,1.0
FTL,308.0,323.0
FUCA1,2.0,0.0
FUCA2,4.0,2.0
FUS,20.0,17.0
FUT2,0.0,0.0
FUT4,185.0,168.0
FUT7,3.0,2.0
FUT8,4.0,3.0
KDSR,13.0,16.0
FYB1,4.0,6.0
FYN,0.0,0.0
FZD2,3.0,2.0
IFI6,0.0,0.0
G6PD,2.0,2.0
