GENE,mr522-MV411-DMSO-r1_tcount,mr523-MV411-DMSO-r2_tcount,mr524-MV411-DMSO-r3_tcount,mr525-MV411-DMSO-r4_tcount,mr526-MV411-DMSO-r5_tcount,mr527-MV411-Mebendazole-r1_tcount,mr528-MV411-Mebendazole-r2_tcount,mr529-MV411-Mebendazole-r3_tcount,mr530-MV411-Mebendazole-r4_tcount,mr531-MV411-Mebendazole-r5_tcount
AMY1C,0,0,0,0,0,0,0,0,0,0
AMY2B,0,0,0,0,0,0,0,0,0,0
ANGPT1,0,0,0,0,1,0,0,0,0,0
ANGPT2,0,0,0,0,0,0,0,0,0,0
ANK2,0,0,1,8,2,1,2,0,4,2
SLC25A4,0,0,0,0,0,0,0,0,0,0
SLC25A5,22,26,18,67,29,22,35,16,31,20
SLC25A6,26,53,83,116,56,50,79,39,72,35
ANXA1,14,10,11,32,21,20,29,21,23,20
ANXA2,18,12,14,33,14,23,22,20,18,21
303,0,1,0,0,0,1,0,2,0,2
ANXA4,3,2,1,5,1,7,3,1,4,1
ANXA5,4,3,9,14,4,10,15,8,19,8
ANXA6,0,2,2,5,2,0,1,3,1,0
ANXA7,3,4,8,10,7,10,9,5,5,3
ANXA11,7,5,8,18,4,5,10,7,13,3
AOC2,1,0,1,0,0,0,0,0,0,0
APAF1,7,11,12,22,7,19,12,16,17,14
NUDT2,3,1,3,1,2,1,1,4,1,3
APBA1,4,5,8,8,7,10,8,7,10,9
APBA2,0,0,0,0,0,0,0,0,0,0
APBB1,0,0,0,0,0,0,0,0,0,0
APBB2,0,3,3,1,1,3,5,1,3,3
APC,11,13,11,36,7,13,16,14,17,7
APEH,3,2,1,3,1,0,6,1,2,1
APEX1,34,28,42,127,51,49,48,33,43,22
BIRC2,2,3,4,10,1,6,17,7,6,3
BIRC3,3,0,1,0,0,2,0,4,5,7
XIAP,28,26,21,75,32,32,34,35,38,24
BIRC5,24,51,36,82,27,28,40,34,40,18
APLP1,0,0,0,1,0,0,1,0,0,0
APLP2,15,29,21,54,31,24,24,37,42,19
APOA1,1,1,0,0,0,2,0,0,1,0
APOC1,0,0,2,1,0,0,0,0,0,0
APOC2,11,13,19,17,18,22,16,17,25,17
APOD,0,0,0,0,0,0,0,0,0,0
APP,2,2,10,14,9,5,10,5,10,8
APRT,2,6,7,15,9,6,4,2,8,2
FAS,0,2,0,0,0,0,0,0,0,0
AQP1,3,6,9,5,3,1,7,5,12,2
AQP3,1,1,0,5,0,1,3,4,1,4
AQP6,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,6,0,0,0,0,0,0
ARAF,4,5,8,9,10,4,5,6,3,8
ARCN1,89,111,92,248,100,102,130,95,117,57
TRIM23,5,9,3,24,6,10,4,7,8,15
ARF1,43,70,61,218,98,102,97,89,106,67
ARF3,23,40,44,63,32,23,44,37,40,20
ARF4,30,30,30,89,38,42,63,56,56,36
ARF5,3,1,2,5,1,4,4,1,7,0
ARF6,135,145,133,287,135,160,186,173,184,118
ARG2,1,0,2,3,1,0,1,0,1,0
RHOA,85,83,94,218,132,77,145,119,144,105
RHOB,6,15,3,13,6,16,13,13,19,9
RHOC,0,0,3,2,0,2,1,1,2,1
RHOG,14,17,16,25,15,16,26,18,32,18
ARHGAP1,1,11,8,31,13,11,13,17,16,10
ARHGAP4,0,0,1,2,0,0,0,0,1,3
ARHGAP6,0,0,0,0,0,0,0,0,0,0
ARHGDIA,27,33,50,78,44,48,70,42,57,49
ARHGDIB,86,107,150,336,162,226,272,208,309,169
RHOH,4,1,1,3,3,6,5,3,2,2
ARL1,8,13,12,43,21,26,19,17,22,9
ARL2,4,1,0,4,1,3,3,1,0,5
ARL3,1,1,2,8,0,2,4,0,0,2
ARNT,11,9,13,32,13,18,16,14,18,11
ARNTL,1,4,0,10,1,5,9,3,5,1
ARRB1,14,28,22,28,23,29,40,33,36,23
ARRB2,6,5,9,22,3,9,12,16,20,11
ARSA,1,1,0,6,0,2,1,0,1,0
ARSB,11,16,9,32,12,18,28,15,24,15
STS,2,5,7,12,2,2,4,6,7,6
ARSD,1,3,0,16,7,8,7,6,17,5
ARSL,0,0,0,0,0,0,0,0,0,0
ARVCF,0,0,0,0,0,0,0,0,0,0
ASAH1,8,5,9,21,10,12,8,7,10,6
ASGR2,0,0,0,0,0,0,0,0,0,0
ASL,0,0,0,2,0,0,0,0,0,0
GET3,1,4,6,5,1,4,7,6,4,5
ASNS,0,1,0,15,3,4,0,5,1,4
ASPH,22,33,13,58,28,35,37,28,43,18
ASS1,1,1,1,0,0,6,1,1,3,0
ZFHX3,1,0,0,1,1,0,0,1,1,0
ATF1,17,14,15,25,16,16,20,25,28,11
ATF3,21,20,31,57,12,34,43,33,33,20
ATF4,28,41,53,122,59,60,89,55,107,60
ATIC,2,4,3,14,7,4,2,3,8,3
ATM,12,18,16,37,19,14,30,15,24,11
RERE,11,4,11,21,8,14,15,7,15,14
ATOX1,0,1,7,2,3,3,2,1,4,0
ATP1A1,5,11,7,14,7,11,7,2,7,6
ATP1A3,1,0,2,3,0,1,0,1,0,0
ATP1B1,0,0,0,3,0,1,3,0,0,2
ATP1B3,12,20,29,40,21,20,24,22,22,17
ATP2A1,0,0,0,1,1,1,0,0,0,0
ATP2A2,45,58,78,155,75,74,87,51,89,44
ATP2A3,3,2,6,7,5,4,6,7,14,2
ATP2B1,30,60,26,125,49,69,88,72,77,54
ATP2B2,0,0,1,0,0,0,0,1,0,0
ATP2B3,0,0,0,0,0,0,0,0,0,0
ATP2B4,8,17,23,54,22,29,33,22,33,22
ATP5F1A,4,11,11,30,13,11,7,4,10,4
ATP5F1B,14,21,22,43,19,23,21,23,25,19
ATP5F1C,3,10,5,15,3,9,8,3,3,10
ATP5F1D,1,2,0,4,5,3,3,2,2,7
ATP5F1E,6,15,19,39,11,10,15,10,13,4
ATP5PB,19,20,19,44,26,14,25,17,29,13
ATP5MC1,1,3,0,6,1,0,1,1,1,1
ATP5MC2,11,11,11,11,15,12,11,10,14,7
ATP5MC3,61,62,61,158,63,50,85,56,48,34
ATP5ME,6,6,4,15,5,3,10,5,9,8
ATP5PF,3,2,2,16,5,2,6,4,5,4
ATP6V1A,17,26,17,47,14,22,25,28,30,17
ATP6V1B2,68,83,103,277,110,120,134,104,141,62
ATP6V0C,7,7,21,16,10,4,13,10,20,8
ATP6V1C1,43,33,42,108,43,37,69,39,64,41
ATP6V1E1,12,20,31,82,21,21,33,22,41,20
ATP6V0B,16,20,20,29,14,17,20,25,21,13
ATP6V1G2,1,1,2,0,0,0,0,0,1,0
ATP6V0A1,0,2,1,9,7,6,8,9,8,0
ATP6AP1,3,1,2,5,2,2,6,1,3,0
ATP7A,0,3,1,2,1,2,3,1,0,2
ATP5PO,1,4,7,11,7,5,4,5,6,1
ATP7B,1,0,0,0,0,0,0,0,0,0
ATR,2,0,8,0,3,0,3,0,1,0
ATRX,18,16,6,44,11,22,21,16,23,11
AUH,0,0,1,1,0,0,6,2,2,1
AUP1,56,95,83,160,88,86,98,89,108,58
AVPR2,0,0,0,0,0,0,0,0,0,0
AXL,1,2,0,4,2,3,0,1,2,1
AZU1,1,1,3,0,1,1,1,1,0,2
B2M,70,59,62,202,76,71,85,64,95,43
BAAT,0,0,0,1,0,0,0,1,0,0
BACH1,81,90,73,223,87,104,126,108,127,70
BAD,1,0,6,5,1,0,0,0,1,1
BAG1,12,27,18,44,31,13,25,21,23,19
BAK1,5,11,6,25,8,9,9,9,14,4
NKX3-2,1,1,3,0,1,3,3,0,3,4
BARD1,51,65,40,116,47,42,61,57,68,36
BAX,6,3,1,7,5,3,3,2,5,6
BBS1,1,0,2,4,3,1,3,5,1,6
BBS2,1,2,3,5,3,3,3,1,0,2
BBS4,4,4,2,9,3,2,6,5,3,0
BCAT1,97,92,54,283,84,106,127,103,161,82
BCAT2,1,1,2,3,2,2,3,0,5,3
BCKDHA,3,3,1,6,4,0,1,0,4,3
BCKDHB,1,2,2,7,0,7,3,3,5,1
CCND1,0,1,0,0,0,0,0,0,0,0
BCL2,70,57,54,186,51,91,121,92,117,66
BCL2A1,0,0,0,0,0,0,2,1,0,0
BCL2L1,7,8,6,29,5,11,16,12,14,5
BCL2L2,8,15,10,52,12,21,20,8,24,16
BCL3,1,1,0,3,0,4,7,6,5,5
BCL6,0,0,0,1,0,1,0,0,1,0
BCL7A,13,24,36,96,40,23,38,23,42,27
BCL9,0,0,0,1,0,0,0,0,1,0
OPN1SW,0,0,0,0,0,0,0,0,0,0
BCR,0,0,0,1,1,3,2,2,1,2
BCS1L,0,0,1,1,3,0,1,0,0,0
BDH1,3,2,5,19,9,7,16,9,9,7
BDNF,0,0,0,1,0,0,0,0,0,0
BFSP1,0,0,1,0,0,1,0,0,0,0
BGLAP,0,1,0,3,0,0,0,0,1,0
BICD1,0,0,1,0,0,1,0,0,0,0
BID,39,34,43,92,54,47,67,41,62,33
BIK,3,1,0,2,0,0,1,0,0,2
PRDM1,3,6,8,6,6,5,9,4,5,1
BLM,0,4,2,5,2,5,6,3,12,7
BLMH,5,14,11,28,11,7,13,9,12,5
BLVRB,0,0,0,1,0,3,0,1,1,0
BMI1,13,17,11,45,26,22,19,18,16,5
BMP1,2,4,2,13,4,7,4,3,4,4
BMP6,0,1,0,1,0,0,1,1,0,0
BMP8B,1,2,2,5,3,1,0,1,1,1
BMPR1A,7,9,1,7,2,10,10,10,9,10
BMPR2,4,3,2,7,0,3,5,2,2,4
POLR3D,17,8,14,25,13,13,9,10,24,3
BNIP1,6,9,14,16,12,13,8,14,13,7
BNIP2,80,109,86,249,75,100,117,100,167,63
BNIP3,0,0,0,0,0,0,0,0,0,0
BNIP3L,9,11,7,27,9,16,11,12,19,7
DST,2,5,1,3,4,4,4,3,2,3
BPGM,9,0,4,8,10,4,8,3,5,2
BPHL,0,0,0,5,0,3,1,0,1,0
BRCA1,43,49,67,97,42,55,44,43,61,33
BRAF,1,0,0,0,0,0,1,0,0,0
BRCA2,17,25,23,83,30,24,38,34,41,17
ZFP36L1,2,3,4,3,2,3,6,2,4,2
ZFP36L2,139,173,226,380,226,132,185,140,197,154
BSG,12,18,19,48,23,21,25,14,25,11
BST1,0,0,0,0,0,0,0,1,0,0
BST2,1,1,7,1,3,1,0,1,0,1
BTD,0,0,2,0,2,2,0,0,1,0
KLF9,24,42,26,60,31,59,71,40,59,42
KLF5,1,4,0,4,2,3,6,2,2,0
BTF3,20,20,29,84,37,32,47,23,29,12
BTG1,22,18,19,62,31,31,34,37,47,30
BTK,4,7,5,20,3,2,10,10,10,6
BUB1,2,10,0,7,4,5,7,2,2,2
BUB1B,7,8,11,31,11,24,19,8,14,9
BYSL,7,11,18,30,14,22,16,11,18,12
TSPO,0,1,1,2,0,1,2,3,3,0
C1QBP,15,20,44,69,23,24,30,29,28,23
C3,0,0,0,0,0,0,0,1,0,0
C3AR1,4,5,3,12,7,3,11,5,8,5
CAPN5,0,0,0,0,0,0,0,0,0,0
C5,0,2,0,3,0,1,2,2,1,6
C5AR1,0,0,1,0,1,0,0,0,1,0
OSGIN2,28,38,19,80,22,32,33,21,39,19
VPS51,0,1,1,5,0,0,0,0,0,0
MRPL49,16,14,15,66,22,24,31,23,36,20
ZNHIT2,0,1,0,4,0,0,1,4,1,1
MYRF,0,0,0,0,0,0,1,0,0,0
TMEM258,4,5,1,5,5,9,10,3,7,3
DAGLA,0,2,1,6,1,0,2,1,1,1
FMNL1,2,3,2,4,7,2,4,3,3,2
LDLRAD4,10,14,13,19,16,21,16,16,22,12
PTTG1IP,20,35,32,71,28,42,46,30,38,21
CFAP410,0,1,0,0,1,0,0,2,2,1
TMEM50B,11,13,9,35,8,8,10,9,6,8
CA7,0,0,0,0,0,0,0,0,0,0
CA11,0,0,1,1,0,0,6,1,2,0
CACNA1A,0,0,0,0,0,0,0,0,0,0
CACNA1D,0,0,0,0,0,0,0,0,0,0
CACNA1E,0,0,0,0,0,1,0,0,0,0
CACNB1,0,0,0,0,0,0,0,0,1,0
CACNB2,0,0,0,0,0,0,0,0,0,0
CACNB3,1,1,4,0,1,4,5,1,0,1
CACNB4,1,0,1,0,1,2,1,0,1,0
SLC25A20,2,5,8,9,3,2,4,2,6,3
CAD,3,4,1,4,5,4,1,0,4,2
CALB1,0,0,0,0,0,0,0,0,0,0
CALM1,73,84,60,223,91,135,154,145,196,86
CALM2,61,66,60,217,102,62,91,76,100,47
CALM3,26,39,37,76,37,27,28,22,45,19
CALR,87,123,131,358,144,105,115,129,142,93
CALU,77,96,79,269,104,109,142,111,144,77
CAMK2B,1,0,0,0,0,0,0,0,0,0
CAMK2D,5,10,5,21,7,12,6,7,10,7
CAMK2G,9,13,15,40,16,18,14,16,35,16
CAMLG,6,6,5,12,4,7,8,4,6,8
CANX,164,169,126,446,172,226,214,180,246,117
CAPG,1,1,0,3,1,0,0,1,1,2
CAPN1,0,1,5,1,1,1,2,3,3,2
CAPN2,15,15,10,28,19,29,33,14,22,19
CAPN3,0,1,0,3,0,0,2,3,0,1
CAPNS1,3,9,4,29,7,21,14,12,18,10
CAPS,0,1,0,0,0,1,0,0,2,1
CAPZA1,97,114,117,327,105,170,179,133,193,101
CAPZA2,33,22,18,74,24,27,31,32,45,21
CAST,6,3,5,5,1,3,5,5,5,5
CAPZB,11,9,17,21,11,22,25,19,28,11
CARS1,16,35,36,57,27,43,34,36,56,33
CASP1,3,1,6,8,6,3,6,4,9,2
CASP2,54,76,89,205,77,84,110,61,90,68
CASP3,59,57,45,239,65,57,88,59,88,38
CASP4,1,0,0,13,3,4,4,4,3,3
CASP6,8,4,4,3,6,1,9,2,6,2
CASP7,3,2,16,39,4,16,18,11,15,10
CASP8,4,4,8,31,8,12,18,8,5,8
CASP9,3,1,7,8,4,4,5,1,6,3
CASP10,6,11,11,24,19,16,14,21,19,11
CASQ1,0,0,0,0,0,0,0,0,0,0
CAT,10,15,9,25,11,16,10,18,24,14
CAV1,0,0,0,0,0,0,0,0,0,0
CAV3,0,0,0,0,0,0,0,0,0,0
RUNX2,57,81,73,182,100,89,115,96,97,64
RUNX1,119,150,130,335,141,174,250,171,227,117
CBFA2T3,6,6,14,13,11,13,19,9,24,11
RUNX3,14,33,37,64,37,51,75,32,58,40
CBFB,52,54,36,157,64,60,78,56,75,28
CBL,47,49,57,150,70,58,73,51,61,39
CBLB,1,8,8,14,2,6,12,8,6,2
CBLN1,0,1,0,0,0,0,0,0,0,0
SERPINH1,6,4,3,9,3,5,12,7,10,7
CBR1,0,0,3,6,1,1,0,1,2,0
CBS,0,0,1,0,1,0,0,0,0,1
KYAT1,1,2,3,2,3,0,3,1,0,1
KRIT1,2,7,4,13,2,3,5,4,7,2
CCNA2,20,20,17,88,41,23,36,16,29,18
CCNB1,15,23,12,53,20,14,23,13,17,14
CCNC,11,18,17,36,12,26,23,19,18,18
CCND2,21,25,29,46,26,46,44,37,45,34
CCND3,10,27,22,58,27,42,32,28,31,33
CCNE1,8,9,8,25,17,7,11,13,14,4
CCNF,11,21,27,40,20,19,22,12,26,16
CCNG1,51,66,50,161,59,31,58,70,71,19
CCNG2,9,6,5,10,7,1,7,6,13,8
CCNH,2,3,3,1,4,3,0,1,1,0
CCNT1,223,249,207,646,274,251,340,293,359,193
CCNT2,83,87,52,188,67,91,84,85,105,39
CCT6A,51,55,55,139,67,65,73,62,93,50
CD1D,1,1,1,9,1,0,0,1,1,1
CD4,11,14,9,33,17,18,19,15,26,12
CD9,0,0,0,0,0,0,0,0,0,0
MS4A3,12,8,5,28,19,11,8,8,8,10
CD27,0,0,0,0,0,0,0,0,0,0
CD28,0,1,0,0,0,0,0,0,0,0
CD80,0,0,0,2,0,1,1,0,0,0
CD86,1,2,1,0,2,7,3,0,2,1
TNFRSF8,0,0,0,1,0,0,0,0,0,0
CD33,11,15,17,36,28,16,17,16,18,15
SIGLEC6,2,1,0,0,0,0,0,2,2,3
CD36,7,3,8,22,6,3,8,4,11,3
SCARB1,2,5,2,8,11,5,6,11,8,3
SCARB2,6,3,2,2,8,7,7,8,7,4
CD37,0,0,1,1,5,3,0,0,1,1
CD38,0,1,0,0,0,1,0,1,0,0
ENTPD1,0,1,0,0,2,3,0,1,0,0
ENTPD6,4,0,0,14,2,1,3,8,7,4
ENTPD5,10,6,4,30,12,6,12,12,15,4
CD44,60,61,70,181,71,91,116,92,97,56
CD47,30,42,30,77,33,38,61,49,58,26
CD53,5,11,14,53,13,29,24,22,26,22
CD58,15,6,8,28,12,18,11,15,15,12
CD63,1,0,2,12,3,4,4,6,3,3
CD68,0,2,5,6,5,5,6,6,6,2
CD70,0,0,0,0,1,0,0,1,0,0
CD72,1,0,0,0,0,1,2,1,1,1
CD74,4,14,11,18,4,7,14,5,15,9
CD79A,0,0,0,0,0,0,0,0,0,0
CD79B,1,0,0,0,0,0,0,1,0,0
CD81,5,5,7,19,3,5,2,7,10,5
ADGRE5,11,7,13,21,17,19,8,16,19,13
CD151,4,6,1,7,2,8,6,12,4,7
CDA,0,0,0,0,0,0,0,0,0,0
CDK1,24,15,8,52,18,15,29,18,26,15
CDK11B,3,0,0,3,0,2,4,1,1,0
LRBA,4,3,1,8,1,4,4,1,6,1
CDC5L,32,27,20,89,39,34,32,41,48,18
SEPTIN7,14,27,20,61,25,19,37,12,51,11
CDC6,19,21,29,55,16,18,32,23,36,23
CDC20,3,2,2,2,2,3,0,3,5,1
CDC25A,51,66,73,146,88,51,64,48,76,46
CDC25B,9,8,7,15,14,1,4,4,11,3
CDC25C,2,3,5,5,2,4,2,2,2,0
CDC27,59,63,51,153,91,59,89,75,106,57
CDC34,3,5,4,6,2,8,4,1,9,8
CDC42,76,94,59,181,72,104,134,85,120,102
CDK2,22,32,29,66,33,34,21,20,39,21
CDK3,0,2,0,1,2,0,2,1,1,0
CDK4,10,16,22,38,19,22,26,21,28,20
CDK5,0,2,0,3,0,0,1,0,0,0
CDK6,358,455,333,959,417,564,630,541,658,341
CDK7,0,2,2,6,3,3,6,0,5,2
CDK8,6,13,11,21,14,15,9,15,27,10
CDK9,6,15,14,32,18,14,21,8,15,9
CDKN1A,4,4,4,8,1,11,10,11,10,6
CDKN1B,103,119,90,256,87,96,125,96,124,64
CDKN1C,0,1,1,0,0,0,0,0,0,1
CDKN2A,13,7,10,33,13,16,15,16,15,8
CDKN2B,1,7,3,10,2,2,9,6,13,9
CDKN2C,2,5,11,20,6,9,9,6,8,5
CDKN2D,2,5,11,27,4,14,10,7,15,7
CDKN3,0,1,3,6,3,1,1,2,4,0
CDR2,15,18,15,36,9,9,16,21,29,15
CD52,0,0,0,0,0,0,1,0,0,2
CDX2,0,0,0,0,0,0,0,1,0,3
CEBPA,103,157,204,305,163,123,178,120,195,108
CEBPB,7,14,10,33,14,11,27,15,21,10
CEBPD,9,10,21,30,14,10,21,12,22,12
CEBPE,0,1,0,0,0,0,0,0,0,0
CEBPG,123,173,200,387,192,198,269,193,261,132
CENPA,27,37,36,94,31,26,37,12,40,12
CENPB,13,14,15,29,10,17,12,15,11,8
CENPC,1,0,0,2,0,2,1,0,4,0
CENPE,2,6,1,5,7,4,1,2,2,1
CENPF,9,10,12,23,7,14,17,17,16,15
CES1,0,0,0,0,0,0,0,0,0,0
CETN2,4,5,2,11,6,2,6,2,8,0
CETN3,2,2,0,9,0,3,5,2,2,0
CFL1,37,46,30,117,49,78,87,78,100,57
CFL2,19,28,32,81,34,31,57,20,36,21
CTSC,33,37,27,111,46,43,49,39,50,22
CEACAM4,0,0,0,0,0,0,0,0,0,0
RCBTB2,14,11,10,23,8,10,18,11,16,11
RCC1,26,44,47,96,46,39,46,35,62,33
CHD1,40,39,23,104,32,36,51,47,38,17
CHD2,50,59,84,206,88,91,102,75,96,68
CHD3,2,14,3,12,4,5,6,2,9,1
CHD4,4,11,6,14,6,7,10,2,8,4
CHEK1,45,19,28,99,37,48,45,47,61,35
FOXN3,49,84,59,149,69,95,131,93,120,93
CHGB,0,0,0,0,0,0,0,0,0,0
CHI3L1,3,2,2,15,1,4,7,6,3,6
CHKA,7,5,7,17,13,12,14,6,11,5
CHKB,0,2,1,5,1,1,2,3,2,4
CHM,9,22,12,28,19,12,22,16,24,22
CHML,121,139,106,385,160,196,273,171,240,148
CHN1,0,0,0,0,0,0,1,0,0,0
LYST,141,136,155,391,147,184,223,167,235,117
CHRM5,0,0,0,0,0,0,0,1,1,1
CHRNA3,0,0,0,0,0,0,0,0,0,0
CHRNA5,0,0,0,2,1,0,0,2,0,0
CHRNB1,7,7,11,23,3,14,13,5,7,3
CHRNB2,0,0,0,0,0,0,0,0,0,0
CHRNE,0,0,0,0,0,0,0,0,0,0
CHRNG,0,0,0,0,0,0,0,0,0,0
CHUK,19,26,27,65,23,31,26,26,33,19
CKB,0,0,0,0,0,1,0,0,0,2
CIRBP,37,76,93,232,99,55,109,70,91,63
CISH,20,29,71,99,43,45,67,30,58,41
TBCB,5,3,3,13,2,4,12,4,7,6
CKM,0,0,0,0,0,0,0,0,0,0
ERCC8,0,3,0,6,2,6,1,0,2,1
CKS1B,4,7,2,1,6,4,5,8,3,5
CKS2,36,35,33,95,42,31,42,54,44,21
AP2M1,5,5,1,16,4,4,9,6,7,3
AP1S1,9,9,10,3,1,8,9,9,2,2
AP2S1,7,4,5,19,12,9,6,5,11,6
