GENE,MV411-DMSO,MV411-Mebendazole
RUNX1,175.0,187.8
CBFA2T3,10.0,15.2
RUNX3,37.0,51.2
CBFB,72.6,59.4
CBL,74.6,56.4
CBLB,6.6,6.8
CBLN1,0.2,0.0
SERPINH1,5.0,8.2
CBR1,2.0,0.8
CBS,0.4,0.2
KYAT1,2.2,1.0
KRIT1,5.6,4.2
CCNA2,37.2,24.4
CCNB1,24.6,16.2
CCNC,18.8,20.8
CCND2,29.4,41.2
CCND3,28.8,33.2
CCNE1,13.4,9.8
CCNF,23.8,19.0
CCNG1,77.4,49.8
CCNG2,7.4,7.0
CCNH,2.6,1.0
CCNT1,319.8,287.2
CCNT2,95.4,80.8
CCT6A,73.4,68.6
CD1D,2.6,0.6
CD4,16.8,18.0
CD9,0.0,0.0
MS4A3,14.4,9.0
CD27,0.0,0.0
CD28,0.2,0.0
CD80,0.4,0.4
CD86,1.2,2.6
TNFRSF8,0.2,0.0
CD33,21.4,16.4
SIGLEC6,0.6,1.4
CD36,9.2,5.8
SCARB1,5.6,6.6
SCARB2,4.2,6.6
CD37,1.4,1.0
CD38,0.2,0.4
ENTPD1,0.6,0.8
ENTPD6,4.0,4.6
ENTPD5,12.4,9.8
CD44,88.6,90.4
CD47,42.4,46.4
CD53,19.2,24.6
CD58,13.8,14.2
CD63,3.6,4.0
CD68,3.6,5.0
CD70,0.2,0.2
CD72,0.2,1.2
CD74,10.2,10.0
CD79A,0.0,0.0
CD79B,0.2,0.2
CD81,7.8,5.8
ADGRE5,13.8,15.0
CD151,4.0,7.4
CDA,0.0,0.0
CDK1,23.4,20.6
CDK11B,1.2,1.6
LRBA,3.4,3.2
CDC5L,41.4,34.6
SEPTIN7,29.4,26.0
CDC6,28.0,26.4
CDC20,2.2,2.4
CDC25A,84.8,57.0
CDC25B,10.6,4.6
CDC25C,3.4,2.0
CDC27,83.4,77.2
CDC34,4.0,6.0
CDC42,96.4,109.0
CDK2,36.4,27.0
CDK3,1.0,0.8
CDK4,21.0,23.4
CDK5,1.0,0.2
CDK6,504.4,546.8
CDK7,2.6,3.2
CDK8,13.0,15.2
CDK9,17.0,13.4
CDKN1A,4.2,9.6
CDKN1B,131.0,101.0
CDKN1C,0.4,0.2
CDKN2A,15.2,14.0
CDKN2B,4.6,7.8
CDKN2C,8.8,7.4
CDKN2D,9.8,10.6
CDKN3,2.6,1.6
CDR2,18.6,18.0
CD52,0.0,0.6
CDX2,0.0,0.8
CEBPA,186.4,144.8
CEBPB,15.6,16.8
CEBPD,16.8,15.4
CEBPE,0.2,0.0
CEBPG,215.0,210.6
CENPA,45.0,25.4
CENPB,16.2,12.6
CENPC,0.6,1.4
CENPE,4.2,2.0
CENPF,12.2,15.8
CES1,0.0,0.0
CETN2,5.6,3.6
CETN3,2.6,2.4
CFL1,55.8,80.0
CFL2,38.8,33.0
CTSC,50.8,40.6
CEACAM4,0.0,0.0
RCBTB2,13.2,13.2
RCC1,51.8,43.0
CHD1,47.6,37.8
CHD2,97.4,86.4
CHD3,7.0,4.6
CHD4,8.2,6.2
CHEK1,45.6,47.2
FOXN3,82.0,106.4
CHGB,0.0,0.0
CHI3L1,4.6,5.2
CHKA,9.8,9.6
CHKB,1.8,2.4
CHM,18.0,19.2
CHML,182.2,205.6
CHN1,0.0,0.2
LYST,194.0,185.2
CHRM5,0.0,0.6
CHRNA3,0.0,0.0
CHRNA5,0.6,0.4
CHRNB1,10.2,8.4
CHRNB2,0.0,0.0
CHRNE,0.0,0.0
CHRNG,0.0,0.0
CHUK,32.0,27.0
CKB,0.0,0.6
CIRBP,107.4,77.6
CISH,52.4,48.2
TBCB,5.2,6.6
CKM,0.0,0.0
ERCC8,2.2,2.0
CKS1B,4.0,5.0
CKS2,48.2,38.4
AP2M1,6.2,5.8
AP1S1,6.4,6.0
AP2S1,9.4,7.4
AP3S1,9.0,6.8
CLCN2,0.0,0.8
CLCN3,14.4,19.8
CLCN4,19.6,8.4
CLCN5,7.6,8.2
CLCN6,19.2,11.6
CLCN7,4.6,1.6
CLU,2.6,1.4
CLIC1,35.0,51.6
CLIC2,0.4,0.6
CLK1,363.2,415.8
CLK2,22.8,15.0
1197,21.4,17.0
CLK3,6.0,7.0
TPP1,28.0,32.0
CLN3,0.8,0.4
CLN5,12.4,11.0
CLNS1A,30.6,22.0
CLPTM1,3.8,3.8
CLTA,23.0,17.6
CLTB,7.4,6.4
CLTC,59.0,55.0
CCR1,57.0,48.4
CCR3,0.0,0.0
CCR5,0.0,0.2
CCR6,0.2,1.8
CCR7,0.2,0.2
ACKR2,0.2,0.2
LTB4R,8.2,10.0
ABCC2,1.0,2.8
PLK3,1.4,1.6
CNN2,15.0,62.4
CNP,14.8,13.6
CNR2,1.8,1.0
CNTF,6.0,6.4
COL4A2,0.4,0.2
COL4A4,0.0,0.0
COL6A1,0.0,0.0
COL7A1,0.0,0.8
COL8A2,0.0,0.0
COL9A2,2.2,2.8
COL9A3,0.2,0.6
COL11A2,0.0,0.0
COL15A1,0.0,0.4
COMT,3.6,5.6
COPA,18.8,21.4
COPB1,5.8,4.2
KLF6,106.0,168.6
SLC31A1,26.0,37.4
SLC31A2,17.6,14.6
CORT,0.0,0.6
MAP3K8,2.8,2.2
COX4I1,35.4,26.4
COX5B,8.0,4.2
COX6A1,27.0,19.6
COX6B1,16.8,13.0
COX6C,8.8,6.6
COX7A2,31.4,22.6
COX7B,13.8,12.8
COX7C,14.4,10.2
COX8A,22.6,17.0
COX10,23.8,21.8
COX11,16.2,13.2
COX15,13.0,13.2
CP,0.0,0.0
CPB2,0.0,0.0
CPD,29.6,26.0
CLDN7,0.2,0.2
CPM,5.0,10.0
CPOX,9.6,10.4
CPS1,0.0,0.0
CPT1A,42.4,36.6
CPT1B,1.6,1.2
CPT2,7.4,9.0
CRABP2,0.8,0.0
CRAT,0.0,0.0
CREB1,93.8,96.6
ATF2,70.0,64.2
CREBBP,4.2,5.4
ATF6B,2.4,1.0
CREBL2,7.4,9.2
CREM,4.0,5.6
CRIP1,1.8,3.0
CRIP2,0.8,0.0
CRK,94.6,93.4
CRKL,140.4,101.4
CRY1,0.8,1.4
CRY2,13.4,8.6
CRYBB1,0.0,0.0
CRYGS,0.4,1.0
CRYZ,2.4,0.2
CS,86.8,74.0
MAPK14,39.4,48.4
CSE1L,12.4,15.4
CSF1R,12.4,19.6
CSF2RA,5.6,9.6
CSF2RB,3.4,13.2
CSF3R,0.0,0.2
CSK,10.2,9.6
CSNK1A1,55.8,54.2
CSNK1D,39.4,41.8
CSNK1E,12.0,19.8
CSNK1G2,11.8,11.4
CSNK1G3,33.0,26.0
CSNK2A1,50.2,53.0
CSNK2A2,8.2,8.2
CSNK2B,5.2,2.6
CSPG4,5.8,3.2
CSRP1,17.2,24.0
SLC25A10,2.2,2.6
CST3,7.6,8.8
CSTA,4.8,8.0
CSTB,10.0,11.2
CSTF1,20.4,16.2
CSTF2,5.0,4.8
CSTF3,36.0,29.4
CTBS,4.8,6.6
CTBP1,6.6,10.2
CTBP2,23.6,26.2
CTF1,0.6,0.0
CTH,0.6,0.4
CTNNA1,21.0,16.2
CTNS,5.4,4.4
CTNNB1,61.8,48.0
CTNND1,11.6,23.0
CTPS1,36.4,27.8
CTRL,0.8,0.8
CTSB,22.8,26.8
CTSD,2.4,3.6
CTSG,4.4,3.0
CTSH,1.6,2.6
CTSK,0.4,1.8
CTSV,0.0,0.0
CTSO,1.8,2.2
CTSS,12.4,10.0
CTSW,0.2,0.0
CTSZ,9.6,5.6
CUX1,16.4,20.6
CX3CR1,3.8,3.0
CXADR,0.4,0.0
CYB5A,1.4,1.2
CYB561,5.8,4.8
CYBA,8.8,21.8
CYBB,0.4,0.8
CYC1,16.6,11.6
CYLD,31.4,34.0
CYP1B1,0.0,0.2
CYP2B7P,0.0,0.0
CYP2D7,0.0,0.0
CYP2E1,0.0,0.2
CYP3A5,0.0,0.0
CYP27B1,7.4,5.4
CYP51A1,33.2,29.4
DAB2,0.0,0.0
DAD1,13.4,16.4
CD55,5.0,7.4
DAG1,9.4,9.8
DGKA,0.6,1.2
DGKG,22.0,25.6
DGKQ,4.4,3.2
DAP,28.4,35.6
DAPK3,0.2,1.0
DARS1,12.0,12.0
DAXX,2.6,2.6
DBI,36.0,22.4
DBN1,1.4,3.4
DBP,0.6,1.0
DBT,28.2,28.6
ECI1,0.2,1.2
DCK,17.2,13.6
DCTD,35.0,29.2
DCTN1,13.8,9.6
DDB1,12.0,10.4
DDB2,3.2,0.6
AKR1C1,0.6,0.4
AKR1C2,0.6,0.8
GADD45A,6.0,7.8
DDIT3,39.0,42.4
DDOST,12.6,7.2
DDT,9.4,7.8
DDX1,5.4,3.2
DDX3X,280.0,247.8
DDX5,92.0,97.6
DDX6,208.8,192.4
DMXL1,4.2,5.8
DHX8,13.2,11.4
DHX9,17.0,14.6
DDX10,15.2,15.6
DDX11,14.2,12.6
DHX15,43.2,37.8
DECR1,1.2,0.6
DES,0.4,0.0
CFD,1.8,0.8
DFFA,15.8,11.8
DFFB,6.6,2.4
TIMM8A,31.2,21.6
GSDME,0.4,0.0
DGUOK,7.8,6.6
DHCR7,1.8,1.6
DHCR24,87.6,64.2
DHFR,62.4,54.2
DHODH,7.6,3.0
DHPS,21.2,17.8
CYB5R3,7.4,7.4
NQO1,17.2,12.6
DIAPH1,46.4,35.2
DIAPH2,3.0,4.4
SEPTIN1,0.2,0.0
DIO1,0.0,0.2
DIO2,0.0,0.0
DKC1,101.8,89.4
DLAT,29.0,23.0
DLD,16.8,17.4
DLG1,15.6,13.8
DLG4,4.6,4.2
DLST,45.2,37.4
1744,7.8,9.0
DLX1,42.8,40.4
DLX2,1.0,1.0
DLX4,1.6,3.0
SARDH,0.0,0.0
DNM1,0.4,1.2
DMPK,0.4,1.0
DMWD,0.4,0.6
DNA2,37.6,32.4
DNASE1,0.0,0.4
DNASE1L1,2.6,1.2
DNASE2,1.4,1.6
DYNC1H1,2.8,5.4
DYNC1I2,10.8,7.8
DYNC1LI2,90.2,88.0
DNM2,7.2,6.6
DNMT1,8.6,5.8
TRDMT1,9.2,9.0
DNMT3A,21.2,13.6
DNMT3B,6.0,4.8
DOCK2,14.0,13.6
DOCK3,0.0,0.0
DOK1,27.0,22.8
DXO,0.6,0.8
DPAGT1,2.4,5.0
DPH1,24.2,22.6
DPH2,13.0,12.4
DPP4,0.0,0.0
DPYD,5.6,5.0
DPYSL2,77.2,62.2
DPYSL3,2.6,2.2
DR1,39.6,38.2
DRG2,5.4,5.4
ARID3A,10.8,9.6
DRP2,0.0,0.4
ATN1,0.2,1.2
RCAN1,23.8,16.0
TSC22D3,92.8,66.2
SLC26A2,38.8,32.4
DTNA,26.0,36.2
HBEGF,15.2,35.6
DTYMK,12.0,10.2
ECM2,0.0,0.0
DUSP1,8.2,8.4
DUSP2,15.8,14.4
DUSP3,136.8,138.2
DUSP4,0.2,0.4
DUSP5,15.6,20.0
DUSP6,28.4,34.0
DUSP7,41.2,33.4
DUSP8,0.2,2.0
DUT,11.4,9.8
DVL1,2.4,3.2
DVL2,1.0,1.2
DVL3,10.4,8.6
DYRK1A,133.4,126.4
TOR1A,29.2,28.2
E2F1,22.2,20.8
E2F2,22.0,17.2
E2F3,81.2,72.4
E2F4,13.6,10.8
E2F5,3.2,2.6
E2F6,36.8,41.6
E4F1,2.8,3.4
GPR183,54.8,64.2
ECE1,2.4,3.6
TYMP,0.0,0.2
ECH1,3.4,5.2
ECHS1,8.4,4.8
ECM1,0.0,0.2
ECT2,18.8,14.8
LPAR1,2.2,1.8
S1PR3,51.6,63.8
PHC1,0.2,0.6
PHC2,16.4,19.0
EEF1A1,211.2,199.0
EEF1A2,0.0,0.4
EEF1B2,21.2,18.4
EEF1D,1.0,0.6
EEF1G,21.6,12.4
EEF2,105.0,97.2
EIF2D,0.2,1.2
EFNA3,2.6,2.6
EFNA4,1.6,2.4
EFNB1,2.8,1.4
CELSR3,1.8,1.6
CELSR2,0.0,0.6
MEGF8,3.2,3.8
MEGF9,7.8,6.0
EGR1,9.8,24.2
EGR2,1.4,1.8
EGR3,2.6,16.8
EHHADH,0.4,0.0
EIF1AX,67.8,56.8
EIF2S1,109.6,105.0
EIF2B1,26.0,25.0
EIF2S3,63.0,54.2
EIF4A1,262.8,226.8
EIF4A2,373.4,267.0
EIF4B,161.6,145.0
EIF4E,31.6,37.2
EIF4EBP1,24.0,35.6
EIF4EBP2,89.8,92.6
EIF4G1,13.2,9.8
EIF4G2,129.4,138.2
EIF5,435.2,359.6
EIF5A,61.0,57.6
CELA1,0.0,0.0
ELANE,2.0,1.0
SERPINB1,53.2,56.8
ELAVL1,57.6,49.6
ELAVL3,0.0,0.0
ELF1,204.4,188.6
ELF2,57.0,46.4
ELF4,23.2,25.6
ELK1,9.6,11.0
ELK3,12.0,12.6
ELK4,78.2,58.8
EMD,0.6,1.8
MARK2,9.2,9.0
EMP1,41.8,47.0
EMP2,0.0,0.0
EMP3,3.0,4.4
ADGRE1,0.0,0.8
CTTN,0.2,0.2
ENDOG,1.6,0.6
ENG,6.2,4.4
ENO1,86.0,70.0
ENO2,1.8,0.8
ENSA,78.6,79.0
SLC29A1,7.4,3.8
EP300,10.4,9.8
EPAS1,1.2,0.2
EPB41,27.4,27.8
EPB41L2,6.0,3.4
STOM,72.6,46.6
EPHB4,0.0,0.4
EPHX1,0.2,0.2
STX2,10.6,9.6
CLN8,15.2,20.4
EPOR,15.6,17.6
EPRS1,8.6,5.0
EPS8,1.0,0.8
EPS15,21.4,18.2
NR2F6,13.4,13.0
ERBB2,0.0,0.0
ERCC1,23.4,28.6
ERCC2,2.0,1.8
ERCC3,6.0,6.0
ERCC4,10.2,9.4
ERCC5,4.6,2.4
ERCC6,3.6,4.4
ERF,9.4,16.2
ERH,35.4,31.8
ERN1,3.6,4.2
ERV3-1,2.0,2.4
FBL,5.2,3.4
ESD,4.2,5.2
ESR2,0.2,0.6
ESRRA,10.0,8.4
ETF1,148.2,164.4
ETFA,3.6,5.4
ETFB,0.6,0.4
ETFDH,0.4,0.2
ETS1,5.2,6.2
ETS2,86.4,126.4
ETV1,0.0,0.4
ETV2,0.2,0.4
ETV3,3.8,2.6
ETV4,0.8,0.4
ETV5,10.8,13.0
ETV6,151.2,190.4
EVI2A,33.4,37.0
EVI2B,15.8,15.2
EWSR1,34.0,37.4
EXT2,5.2,3.6
EXTL2,8.0,9.8
EXTL3,7.6,5.8
EYA3,60.8,50.6
EZH1,20.0,13.2
EZH2,20.4,11.2
F2R,1.4,1.4
F3,30.8,55.0
F8,0.4,0.4
F12,0.0,0.0
F13A1,0.6,0.2
FAAH,0.2,0.2
FABP3,0.0,0.0
FABP5,1.4,3.0
FANCA,2.4,4.0
FANCC,10.6,9.4
FANCD2,5.2,5.6
FANCE,4.2,4.4
ACSL1,36.8,32.0
ACSL3,18.2,13.6
ACSL4,50.4,40.0
FAH,1.8,0.8
PTK2B,18.4,18.2
BPTF,14.2,15.6
FANCB,0.2,0.6
FANCF,5.4,1.8
FANCG,3.2,2.8
FARSA,11.8,11.0
FASN,2.2,2.4
FAU,10.8,14.0
FBN1,1.0,0.2
FBP1,0.0,0.0
MS4A2,0.6,0.8
FCER1G,5.2,5.8
FCER2,0.6,0.6
FCGR1A,9.2,12.4
2210,5.4,8.0
FCGR2A,8.6,14.8
FCGR2B,0.0,0.0
FCGRT,0.0,0.0
FKTN,34.4,26.6
FDFT1,23.4,14.4
FDPS,1.0,0.8
FDX1,9.2,5.2
FDXR,1.6,1.4
FECH,6.6,6.2
FEN1,89.2,79.4
FER,13.6,16.6
FES,1.0,0.8
FGD1,0.0,0.0
FGF2,0.0,0.0
FGF11,0.2,0.6
FGFR1,0.0,0.6
FGFR3,0.0,0.2
FGR,0.2,0.8
FH,3.4,3.0
FHL1,7.2,4.6
FHL2,0.0,0.4
FHL3,3.6,2.8
FKBP1A,33.0,30.4
2282,0.4,0.0
FKBP2,0.6,1.0
FKBP3,10.6,8.6
FKBP4,15.4,15.4
FKBP5,106.2,93.6
FOXD4,1.2,1.2
FOXM1,9.8,7.6
FOXD2,1.8,1.0
FOXO3,21.6,25.2
FOXO3B,21.6,21.4
FLI1,44.0,56.0
FLII,0.8,2.4
MLANA,0.0,0.0
FLNA,3.8,6.0
FLNB,5.8,6.4
FLOT2,3.8,5.4
FLT1,0.8,0.0
FLT3,370.2,231.6
FLT3LG,0.0,0.0
FMO4,0.0,0.0
FMO5,1.2,0.4
FMR1,12.0,11.0
FN1,0.0,0.2
FNTA,45.6,39.4
FNTB,20.0,15.6
FOS,13.8,18.0
FOSB,36.8,36.4
FOSL2,46.6,46.2
FPGS,3.0,2.8
FXN,11.2,11.8
MTOR,23.8,14.4
FRG1,3.4,0.2
CENPI,2.4,2.2
NR5A2,0.0,0.2
FTH1,80.0,102.6
2498,2.4,1.2
FTL,318.0,337.2
FUCA1,2.4,0.8
FUCA2,4.6,3.0
FUS,23.8,15.4
FUT2,0.0,0.0
FUT4,225.8,158.2
FUT7,4.0,1.6
FUT8,3.2,3.6
KDSR,17.4,13.6
FYB1,5.4,6.4
FYN,0.2,0.4
FZD2,3.2,2.2
IFI6,0.4,0.2
G6PD,2.0,1.6
