,DMSO,YLK
ALOX5AP,462.25,316.25
ALX3,24.0,15.5
AMD1,3914.75,2682.75
AMFR,736.75,541.5
AMPD2,451.25,333.25
AMPD3,109.75,77.75
BIN1,3.5,2.25
AMT,73.5,56.0
ANG,3.75,0.75
ANGPT1,15.5,11.5
ANGPT2,18.5,14.5
ANK1,2.75,1.75
ANK2,13.75,12.25
SLC25A4,25.25,23.0
SLC25A5,4128.75,3059.0
SLC25A6,12286.25,8289.0
ANXA1,296.0,241.5
ANXA2,698.0,503.25
ANXA2P1,5.25,3.0
ANXA4,418.0,329.5
ANXA5,674.75,534.75
ANXA6,654.0,438.75
ANXA7,396.25,347.25
ANXA11,1496.0,1067.75
AOAH,5.75,4.25
AOX1,4.0,2.0
APAF1,1488.75,1124.75
NUDT2,110.25,98.75
APBA2,6.25,3.5
APBB1,947.75,552.25
APBB2,33.75,19.0
APC,131.0,100.25
APEH,390.5,305.5
APEX1,3423.5,2523.5
BIRC2,141.25,126.25
BIRC3,1.25,4.25
XIAP,1570.25,1076.0
BIRC5,4678.75,3276.25
APLP1,35.25,24.5
APLP2,8665.0,6355.5
APOA1,5.5,5.0
APOC1,27.75,25.25
APOC2,3271.75,2498.75
APP,959.5,702.25
APRT,2324.75,1725.75
FAS,83.25,54.75
AQP1,9.75,13.25
AQP3,202.0,122.5
AR,15.25,8.25
ARAF,640.0,436.5
ARCN1,6896.0,4981.0
TRIM23,63.25,47.25
ARF1,12476.25,8804.5
ARF3,22901.75,14253.75
ARF4,2629.5,2088.25
ARL4D,6.0,6.0
ARF5,1028.25,674.75
ARF6,5797.25,4356.25
ARG2,933.0,757.25
RHOA,26526.0,20516.75
RHOB,62.0,100.5
RHOC,166.25,123.5
RHOG,2772.5,1708.0
ARHGAP1,3821.75,2203.5
ARHGAP4,668.5,459.0
ARHGAP6,27.75,16.5
ARHGDIA,24417.25,16192.75
ARHGDIB,39828.5,28172.5
RHOH,26.5,17.75
ARL1,1356.25,1045.75
PHOX2A,6.75,2.25
ARL2,622.5,430.25
ARL3,129.25,86.5
ARNT,1600.25,1247.5
ARNTL,31.0,16.25
ARRB1,8125.25,4705.75
ARRB2,1732.25,1197.0
ARSA,191.5,115.5
ARSB,1816.75,1218.25
STS,795.5,558.0
ARSD,1461.5,1054.0
ARVCF,29.5,23.0
ASAH1,1563.0,1312.25
ASCL2,43.5,33.0
ASGR1,8.25,3.25
ASGR2,36.25,28.5
ASL,39.75,35.75
GET3,433.5,302.0
ASNS,61.0,57.5
ASPH,1094.5,873.0
ASS1,547.0,414.25
ZFHX3,26.5,23.25
ATF1,507.25,363.75
ATF3,102.75,143.25
ATF4,604.5,483.75
ATIC,260.75,210.0
ATM,1736.5,1421.5
RERE,736.0,416.25
ATOX1,308.25,241.5
ATP1A1,1358.0,1031.5
ATP1A3,172.0,111.75
ATP1B1,76.25,69.25
ATP1B3,2843.75,2387.75
ATP2A1,39.25,22.5
ATP2A2,4433.0,3290.5
ATP2A3,3353.0,2293.75
ATP2B1,988.0,940.25
ATP2B2,2.25,2.0
ATP2B3,40.5,29.75
ATP2B4,4244.75,2914.25
ATP5F1A,1376.0,985.75
ATP5F1B,2602.75,2065.5
ATP5F1C,493.75,336.75
ATP5F1D,1663.25,1310.0
ATP5F1E,1579.0,1200.75
ATP5PB,1597.75,1351.75
ATP5MC1,302.75,242.5
ATP5MC2,2202.5,1596.0
ATP5MC3,3844.0,2980.0
ATP5ME,1793.75,1223.5
ATP5PF,549.75,393.75
ATP6V1A,2517.25,1943.0
ATP6V1B2,6654.5,5339.75
ATP6V0C,4133.25,2730.75
ATP6V1C1,3088.5,2213.0
ATP6V1E1,1804.75,1329.5
ATP6V0B,1171.5,899.75
ATP6V0A1,450.75,312.75
ATP6AP1,1686.5,1183.75
ATP7A,67.25,49.25
ATP5PO,663.25,506.0
ATP7B,9.5,7.5
ATR,21.5,15.0
ATRX,984.5,893.5
KIF1A,5.75,3.75
AUH,63.0,51.75
AUP1,7475.5,5263.75
AVPR2,27.5,13.5
AXL,69.25,60.0
AZU1,3.25,2.25
B2M,3453.25,2791.25
BACH1,871.0,524.25
BAD,233.75,170.0
BAG1,1340.5,1012.25
ADGRB1,6.0,6.25
BAK1,688.75,420.5
NKX3-2,7.75,3.75
BARD1,1535.75,921.75
BAX,1136.25,780.25
BBS1,178.25,127.75
BBS2,110.25,88.5
BBS4,172.75,116.0
BCAT1,4070.75,3165.0
BCAT2,423.5,277.75
BCKDHA,877.0,623.5
BCKDHB,352.5,270.5
CCND1,147.0,104.5
BCL2,6757.75,4213.25
BCL2A1,2.25,5.75
BCL2L1,1335.75,753.5
BCL2L2,713.5,447.25
BCL3,61.25,54.75
BCL6,7.0,8.5
BCL7A,1066.0,653.0
BCL9,62.5,43.0
HCN2,3.75,2.0
OPN1SW,21.75,19.5
BCR,157.75,100.0
BCS1L,40.5,27.25
BDH1,6.0,2.75
BDNF,15.5,24.75
BFSP1,8.5,5.25
BGLAP,23.5,15.25
BICD1,6.25,6.25
BID,1995.5,1680.25
BIK,167.25,124.5
PRDM1,22.75,33.5
BLK,6.25,4.0
BLM,80.25,56.25
BLMH,849.0,627.0
CXCR5,9.5,6.0
BLVRA,3.5,2.0
BLVRB,154.25,101.75
BMI1,932.75,722.0
BMP1,368.5,222.75
BMP2,20.75,19.5
BMP6,1532.5,1288.0
BMP8B,490.0,308.75
BMPR1A,111.0,71.0
BMPR2,279.5,216.25
POLR3D,505.5,305.75
BNIP1,147.0,88.0
BNIP2,3872.75,2820.25
BNIP3,285.0,233.0
BNIP3L,2552.25,2066.0
BOK,7.5,4.5
DST,8.5,5.0
BPGM,164.5,121.25
BPHL,96.5,67.5
BPI,3.25,2.25
BRCA1,6635.5,4536.0
BRAF,10.25,7.5
BRCA2,256.25,201.5
ZFP36L1,87.75,57.5
ZFP36L2,9173.25,4321.25
BSG,17529.5,11574.25
BST1,55.25,46.75
BST2,3452.75,2204.25
BTD,87.25,67.25
KLF9,942.75,654.25
KLF5,57.0,30.75
BTF3,5070.5,3708.75
BTG1,852.0,747.75
BTK,1111.75,799.0
BUB1,213.0,183.0
BUB1B,445.5,367.0
BYSL,403.5,259.75
TSPO,1124.0,845.75
C1QBP,2535.5,1937.5
C1S,2.25,2.75
C3AR1,45.5,204.25
CAPN5,26.5,15.0
C5,142.25,117.0
C5AR1,4.0,3.75
OSGIN2,543.25,461.75
VPS51,103.75,84.75
MRPL49,1782.25,1189.25
ZNHIT2,14.0,11.5
MYRF,56.75,34.75
TMEM258,537.25,450.0
DAGLA,92.75,60.5
GAS8-AS1,2.0,2.0
FMNL1,511.75,361.5
LDLRAD4,439.5,270.0
PTTG1IP,7619.0,5442.5
CFAP410,409.25,281.75
TMEM50B,35.25,28.5
MPPED1,17.25,9.25
CA7,21.5,13.5
CA11,106.25,74.75
CACNA1A,28.0,16.25
CACNA1D,5.75,5.0
CACNA1E,8.25,7.25
CACNB1,20.25,11.5
CACNB2,24.0,22.75
CACNB3,120.25,81.25
CACNB4,15.5,12.75
SLC25A20,295.75,211.25
CAD,250.5,202.5
CALM1,6103.5,5221.5
CALM2,8650.5,6963.0
CALM3,22245.0,13688.5
CALR,21108.25,15735.0
CALU,4922.25,3602.75
CAMK2B,28.0,17.75
CAMK2D,804.75,611.0
CAMK2G,752.0,531.75
CAMLG,249.0,178.5
CANX,27093.0,21124.75
CAPG,322.75,246.0
CAPN1,2095.0,1407.25
CAPN2,1761.25,1518.5
CAPN3,60.5,44.75
CAPNS1,7672.0,5052.5
CAPN6,4.0,4.75
CAPS,62.0,44.5
CAPZA1,15253.25,12274.75
CAPZA2,1705.5,1354.25
CAST,939.5,773.75
CAPZB,6609.5,4712.5
CARS1,124.75,79.75
CASP1,244.0,191.25
CASP2,3794.0,2523.25
CASP3,2394.25,1767.75
CASP4,108.0,83.0
CASP6,618.25,460.25
CASP7,304.5,242.5
CASP8,293.75,180.0
CASP9,605.75,428.0
CASP10,432.5,318.75
CASQ1,4.0,3.0
CAT,5246.75,3846.25
CAV1,42.75,38.5
RUNX2,3220.75,1976.0
RUNX1,8748.5,5131.25
CBFA2T3,2719.0,1698.5
RUNX3,4851.75,3613.25
CBFB,5143.5,3980.5
CBL,4186.5,2507.25
CBLB,223.5,162.75
CBLN1,3.5,3.75
SERPINH1,944.0,627.0
CBR1,745.75,507.5
CBR3,5.0,2.5
KYAT1,174.5,119.0
KRIT1,272.25,241.5
CCNA2,3079.5,2279.25
CCNB1,620.0,482.75
CCNC,1800.0,1601.5
CCND2,3525.5,2532.75
CCND3,5136.5,3539.5
CCNE1,313.75,183.75
CCNF,1683.25,949.0
CCNG1,7439.5,6679.75
CCNG2,193.5,103.0
CCNH,63.75,65.0
CCNT1,2575.0,2043.75
CCNT2,549.75,399.0
CCT6A,4544.5,3699.5
CD1D,279.75,216.75
CD4,7936.25,5233.25
CD5,5.0,5.0
CD7,4.25,3.0
CD8A,4.25,3.0
CD9,4.75,3.0
CD19,4.25,5.5
MS4A3,14265.25,11410.5
CD22,2.5,1.0
CD27,6.0,4.25
CD28,4.25,3.75
CD80,2.75,1.5
CD86,34.5,65.0
TNFRSF8,4.5,3.5
CD33,1106.5,810.75
SIGLEC6,61.75,40.5
CD36,467.5,345.5
SCARB1,1529.5,1064.75
SCARB2,525.0,371.5
CD37,1007.25,724.0
CD38,1120.0,804.5
ENTPD1,1355.0,948.25
ENTPD6,596.75,401.75
ENTPD5,394.5,287.25
CD40,3.25,3.5
CD44,8998.0,6739.25
CD47,1674.25,1209.5
CD48,11.5,8.75
CD53,3883.5,3017.75
CD58,488.0,416.25
CD59,35.25,25.75
CD63,825.0,597.0
CD68,1320.5,1026.75
CD70,234.5,187.75
CD72,68.75,44.5
CD74,4962.25,3396.75
CD79A,8.75,6.75
CD79B,10.0,5.0
CD81,3717.0,2492.75
ADGRE5,1725.25,1244.25
CD151,1031.75,711.75
CDA,16.25,10.5
CDK1,1532.0,1206.0
LRBA,309.0,281.5
CDC5L,970.25,745.5
SEPTIN7,2574.5,1959.5
CDC6,562.25,384.75
CDC20,154.25,116.5
CDC25A,1285.0,853.5
CDC25B,1462.75,938.75
CDC25C,100.25,73.25
CDC27,2024.25,1514.5
CDC34,615.5,410.5
CDC42,9497.25,7168.75
CDK2,1915.0,1468.25
CDK3,51.5,35.0
CDK4,2521.75,1828.0
CDK5,63.5,54.25
CDK6,23529.5,16381.0
CDK7,3.25,4.0
CDK8,288.0,240.75
CDK9,1085.0,750.25
CDKN1A,3622.25,2691.25
CDKN1B,997.5,554.25
CDKN2A,2751.25,1915.0
CDKN2B,87.25,53.25
CDKN2C,293.75,206.5
CDKN2D,534.25,297.5
CDKN3,143.25,94.5
CDR2,227.0,162.75
CD52,38.5,19.0
CDX2,3.75,3.75
CEBPA,9168.75,4441.0
CEBPB,419.75,282.75
CEBPD,538.75,289.25
CEBPE,3.75,4.25
CEBPG,3843.25,2690.5
CENPA,1173.25,702.5
CENPB,3552.75,2186.75
CENPC,11.25,8.0
CENPE,145.5,101.75
CENPF,611.0,518.5
CETN2,524.25,432.25
CETN3,100.25,65.5
CFL1,21253.75,14753.5
CFL2,203.25,123.0
CTSC,2055.5,1535.0
RCBTB2,241.5,187.25
RCC1,4561.0,3131.5
CHD1,481.25,351.5
CHD2,1084.5,747.5
CHD3,2015.75,1381.0
CHD4,1894.0,1367.75
CHEK1,1045.75,845.25
FOXN3,7911.25,5276.75
CHGB,7.75,3.75
CHI3L1,917.5,640.75
CHKA,1037.5,748.25
CHKB,112.75,84.0
CHM,541.25,380.75
CHML,3604.0,3402.25
CHN1,4.75,5.75
LYST,4062.5,3286.0
CHRM4,3.5,0.25
CHRM5,4.5,3.75
CHRNA2,2.0,2.0
CHRNA3,13.5,11.25
CHRNA5,24.75,19.0
CHRNB1,255.5,166.25
CHRND,3.75,1.5
CHRNE,205.25,132.75
CHRNG,5.0,5.25
CHUK,599.75,505.75
CKB,12.25,9.5
CIRBP,5667.25,4021.25
CISH,1151.25,408.5
TBCB,574.5,430.25
CKM,6.0,3.25
ERCC8,123.5,95.0
CKS1B,68.0,49.75
CKS2,427.75,286.5
AP2M1,2248.5,1523.75
AP1S1,2018.5,1322.0
AP2S1,2471.25,1784.75
AP3S1,1215.0,925.0
CLCN2,18.0,8.75
CLCN3,627.0,448.5
CLCN4,489.25,329.25
CLCN5,456.25,315.0
CLCN6,454.25,314.0
CLCN7,1802.0,1121.0
CLU,231.25,161.25
CLIC2,14.25,12.75
CLK1,1887.0,1479.5
CLK2P1,327.5,245.5
CLK3,183.5,115.0
TPP1,12585.25,9445.0
CLN3,98.25,68.75
CLN5,456.5,349.5
CLNS1A,4510.75,3574.25
CLPTM1,870.75,599.75
CLTA,2791.5,2081.0
CLTB,2733.0,1791.75
CLTC,5478.75,4801.75
CCR1,1018.75,517.75
CCR3,8.0,5.5
CCR5,105.0,53.25
CCR6,90.25,60.25
ACKR2,38.0,24.25
LTB4R,485.0,353.0
ABCC2,14.0,14.25
PLK3,28.0,23.5
CNN2,9132.75,6202.5
CNP,4521.0,3058.5
CNR2,9.75,2.5
CNTF,78.75,52.25
COL4A2,22.0,18.5
COL4A4,8.25,5.0
COL6A1,11.5,8.75
COL7A1,10.0,9.0
COL8A2,55.25,32.0
COL9A2,396.5,282.75
COL9A3,97.75,73.5
COL11A1,3.5,3.25
COL15A1,22.25,14.5
COMT,1848.75,1354.25
COPA,2428.25,1799.75
COPB1,298.25,210.5
KLF6,537.0,540.5
SLC31A1,1645.75,1219.25
SLC31A2,221.25,158.25
CORT,10.5,11.0
MAP3K8,13.0,11.75
COX4I1,4454.0,3421.75
COX5B,508.75,362.0
COX6A1,594.0,449.75
COX6B1,2360.75,1750.5
COX6C,1243.75,966.5
COX7A2,5267.25,3347.25
COX7B,1283.5,954.75
COX7C,1412.5,1072.0
COX8A,3691.5,2729.75
COX10,713.0,443.5
COX11,1092.5,887.5
COX15,2183.0,1670.75
CP,385.0,352.5
CPB2,2.75,2.0
CPD,3876.5,3081.75
CLDN7,43.25,30.25
CPM,1980.25,1418.0
CPOX,624.25,481.25
CPS1,35.5,32.25
CPT1A,8443.25,5864.25
CPT1B,24.5,24.0
CPT2,655.5,503.75
CRABP2,3.75,2.0
CRAT,206.0,141.25
CREB1,1755.75,1320.75
ATF2,2295.5,1630.75
CREBBP,424.75,280.25
CREBL2,795.0,606.5
CREM,137.75,133.0
CRIP1,213.75,183.5
CRIP2,4.25,3.25
CRK,75.5,36.0
CRKL,3616.25,2536.25
CRMP1,8.0,4.75
CRY1,73.5,61.0
CRY2,328.5,220.75
CRYBB1,3.0,3.5
CRYZ,145.75,115.0
CS,10517.5,7543.75
MAPK14,2215.75,1598.0
CSE1L,865.75,710.25
CSF1,11.25,18.0
CSF1R,2798.5,2013.75
CSF2RA,434.0,303.75
CSF2RB,706.0,486.25
CSF3R,171.5,130.0
CSK,3251.5,2071.75
CSNK1A1,2544.25,2171.75
CSNK1D,4601.5,2989.0
CSNK1E,1787.25,1245.25
CSNK1G2,2717.5,1658.5
CSNK1G3,445.5,360.25
CSNK2A1,3607.75,2523.5
CSNK2A2,295.25,190.25
CSPG4,1780.75,1155.5
CSRP1,3732.5,2596.25
SLC25A10,1260.75,801.5
CST3,2650.25,1850.75
CSTA,535.0,436.0
CSTB,675.5,473.75
CSTF1,257.75,197.0
CSTF2,177.5,136.0
CSTF3,715.25,559.25
CTBS,440.5,366.75
CTBP1,3057.0,2157.75
CTBP2,1290.5,979.0
CTF1,9.0,9.0
CCN2,7.5,5.0
CTH,20.5,19.25
CTNNA1,2071.75,1572.5
CTNS,877.0,613.25
CTNNB1,2444.5,1903.75
CTNND1,319.5,215.75
CTPS1,1499.75,1127.5
CTRL,39.75,31.25
CTSB,4023.5,2948.75
CTSD,4173.75,2735.75
CTSG,680.5,532.5
CTSH,101.25,70.75
CTSK,17.25,16.0
CTSV,5.5,2.25
CTSO,6.75,3.75
CTSS,1878.0,1474.75
CTSW,24.5,24.25
CTSZ,3708.0,2621.25
CUX1,2100.25,1210.5
CX3CR1,208.0,111.25
CYB5A,201.0,160.75
CYB561,477.25,331.5
CYBA,954.25,800.75
CYBB,234.75,153.25
CYC1,1571.5,1136.75
CYLD,903.5,645.25
CYP1A1,5.0,4.0
CYP1B1,130.25,91.25
CYP2B7P,20.25,9.75
CYP2E1,7.25,6.25
CYP3A5,9.5,10.0
CYP27B1,18.75,17.25
CYP51A1,2245.0,1954.75
DAD1,1571.25,1249.25
CD55,107.25,137.75
DAG1,1206.0,652.5
DGKA,39.0,21.5
DGKG,328.0,198.5
DGKQ,436.75,301.0
DAP,5890.0,4105.25
DAPK3,195.25,128.0
DARS1,1777.75,1408.5
DAXX,12.75,17.0
DBH,8.5,4.0
DBI,3625.75,2759.0
DBN1,736.25,483.25
DBP,56.5,40.75
DBT,804.25,578.25
ECI1,130.75,101.75
DCK,1593.5,1361.75
DCTD,2787.0,2043.75
DCTN1,6179.5,3694.75
DDB1,2996.5,2042.25
DDB2,704.25,479.25
AKR1C2,15.75,8.75
GADD45A,149.0,76.0
DDIT3,261.75,197.5
DDOST,5952.75,3976.25
DDT,4.75,2.0
DDX1,212.75,149.75
DDX3X,9385.25,8441.0
DDX5,2059.25,1684.5
DDX6,9263.75,6517.25
DMXL1,171.25,153.0
DHX8,515.25,341.75
DHX9,1383.25,1023.75
DDX10,384.5,284.75
DDX11,469.75,322.25
DHX15,1072.0,895.5
DECR1,217.75,187.0
DEFB1,6.75,5.25
CFD,10.0,8.75
DFFA,793.5,522.25
DFFB,454.25,319.25
TIMM8A,474.75,342.25
GSDME,10.0,10.25
COCH,11.25,10.5
DGUOK,393.25,305.0
DHCR7,672.25,453.5
DHCR24,9094.5,5919.75
DHFR,3592.25,2786.75
DHODH,365.5,265.5
DHPS,3422.0,2371.25
CYB5R3,2869.5,1834.25
NQO1,295.5,240.5
DIAPH1,10250.5,6818.75
DIAPH2,199.25,131.75
SEPTIN1,34.25,24.75
DIO1,10.5,5.75
DKC1,5283.75,3847.25
DLAT,1762.75,1417.5
DLD,1606.5,1290.75
DLG1,843.5,703.25
DLG3,2.5,3.25
DLG4,1062.0,656.75
DLST,2661.0,1897.75
DLSTP1,1287.5,839.25
DLX1,1038.25,682.75
DLX2,39.75,36.75
DLX4,110.0,81.0
SARDH,59.5,49.0
DNM1,421.25,312.75
DMPK,72.75,51.5
DMRT1,1.75,2.5
DMWD,260.5,172.0
DNA2,1229.5,904.25
DNASE1,109.75,86.5
DNASE1L1,385.0,260.25
DNASE1L2,5.75,5.5
DNASE2,28.0,18.25
DYNC1H1,480.5,359.0
DYNC1I2,306.0,248.0
DYNC1LI2,2121.75,1632.0
DNM2,2245.25,1376.25
DNMT1,992.5,750.75
TRDMT1,354.25,275.75
DNMT3A,928.0,619.25
DNMT3B,225.25,160.5
DOCK1,2.0,1.5
DOCK2,1455.75,1115.5
DOCK3,8.75,10.25
DOK1,1181.25,723.0
DPAGT1,623.0,407.5
DPH1,2084.5,1430.0
DPH2,1179.5,875.5
DPP4,53.75,34.5
DPYD,413.0,356.5
DPYSL2,7585.25,5890.0
DPYSL3,103.5,64.0
DR1,2572.25,1969.75
DRG2,677.0,472.0
ARID3A,1230.0,711.5
DRP2,10.5,8.0
ATN1,379.5,260.25
DSC2,22.5,17.0
RCAN1,1441.75,1192.5
TSC22D3,914.0,1305.5
SLC26A2,1494.5,1058.25
DTNA,514.25,426.75
HBEGF,346.0,1003.0
DTYMK,3439.75,2274.25
ECM2,2.0,3.0
DUSP1,10.75,16.25
DUSP2,226.0,174.0
DUSP3,7006.25,4644.0
DUSP4,31.5,20.0
DUSP5,84.5,55.25
DUSP6,602.0,263.25
DUSP7,3422.5,2299.5
DUT,3302.5,2850.75
DVL1,563.0,400.75
DVL2,321.5,215.5
DVL3,1948.5,1366.25
DYRK1A,2516.25,1654.75
TOR1A,1232.0,892.5
E2F1,1466.25,931.5
E2F2,692.75,378.0
E2F3,1419.25,888.5
E2F4,1918.25,1191.25
E2F5,67.0,65.75
E2F6,452.75,288.25
E4F1,193.5,139.0
GPR183,129.0,176.0
ECE1,516.75,326.75
TYMP,17.75,14.0
ECH1,1176.0,837.75
ECHS1,1557.75,1125.75
ECM1,24.0,17.5
ECT2,450.75,334.5
LPAR1,94.0,73.75
S1PR3,509.0,327.5
PHC1,2029.75,1697.0
PHC2,1766.5,1100.75
EEF1A1,1699.25,1335.75
EEF1A2,404.5,273.25
EEF1B2,902.5,709.75
EEF1D,48.0,37.0
EEF1G,2119.25,1635.75
EEF2,39047.75,27483.5
EIF2D,68.75,60.0
EFNA3,69.25,33.25
EFNA4,25.0,13.75
EFNB1,178.5,105.0
CELSR3,67.25,58.5
CELSR2,92.0,64.0
MEGF6,65.25,50.0
MEGF8,1879.0,1251.0
MEGF9,524.25,323.75
EGR1,574.0,947.25
EGR2,6.25,70.75
EGR3,325.5,3968.25
EGR4,3.5,8.0
EHHADH,96.5,78.75
EIF1AX,3468.75,2973.25
EIF2S1,4054.75,3142.75
EIF2B1,1573.25,1317.25
EIF2S3,13355.0,10420.0
EIF4A1,6583.5,4781.25
EIF4A2,2267.0,1696.25
EIF4B,19202.0,13875.0
EIF4E,1016.5,730.0
EIF4EBP1,3956.5,2751.5
EIF4EBP2,13869.25,9377.25
EIF4G1,2063.75,1415.25
EIF4G2,8321.75,7210.25
EIF5,5628.25,3877.75
EIF5A,11725.0,7928.0
CELA1,3.5,2.75
ELANE,12.0,10.25
SERPINB1,5033.75,3796.75
ELAVL1,5334.75,3876.25
ELAVL3,4.25,5.25
ELF1,4117.0,3017.75
ELF2,390.5,261.75
ELF4,2835.5,1589.25
ELK1,1627.0,986.5
ELK3,325.0,241.75
ELK4,1997.5,1387.25
EMD,277.25,210.0
MARK2,1003.0,631.0
EMP1,114.25,156.0
EMP2,508.5,344.5
EMP3,236.0,187.5
CTTN,19.0,14.0
ENDOG,300.5,211.25
ENG,1374.0,1033.5
ENO1,17539.25,12659.5
ENO2,109.75,78.0
ENO3,3.25,3.0
ENSA,5380.75,3969.75
SLC29A1,1245.0,826.5
EP300,947.0,683.75
EPAS1,40.25,33.5
EPB41,3329.75,2219.0
EPB41L1,5.5,5.5
EPB41L2,1317.75,1028.75
STOM,6329.25,4325.75
EPHA1,26.75,14.5
EPHB3,12.0,7.25
EPHB4,72.5,56.25
EPHB6,22.5,14.5
EPHX1,50.0,33.75
STX2,238.0,181.75
CLN8,14.25,8.0
EPOR,596.25,379.0
EPRS1,417.5,350.75
EPS8,62.75,56.0
EPS15,990.75,834.5
NR2F6,529.0,320.5
ERBB2,18.5,13.0
ERCC1,4714.25,2888.25
ERCC2,175.25,107.75
ERCC3,170.5,106.0
ERCC4,211.5,133.25
ERCC5,76.75,51.5
ERCC6,145.25,108.0
ERF,1610.75,976.5
ERG,2.5,0.5
ERH,6762.75,4808.0
ERN1,78.0,35.75
ERV3-1,166.0,144.0
FBL,1132.5,881.5
ESD,271.75,157.5
ESR2,3.0,3.25
ESRRA,1003.5,662.0
ETF1,7342.25,6004.0
ETFA,860.5,600.5
ETFB,143.25,108.5
ETFDH,38.0,29.5
ETS1,160.0,106.75
ETS2,2884.0,1906.25
ETV1,25.25,16.25
ETV2,6.25,4.75
ETV3,35.0,22.25
ETV4,72.0,54.0
ETV5,828.5,566.5
ETV6,4454.0,3057.25
EVI2A,1025.0,1000.25
EVI2B,640.5,519.25
EWSR1,1557.75,1293.0
EXT1,7.0,6.0
EXT2,615.5,473.0
EXTL2,818.0,558.0
EXTL3,802.75,502.5
EYA3,2131.0,1401.5
EZH1,259.5,180.5
EZH2,275.0,231.25
F2R,388.75,300.25
F3,170.5,147.25
F8,138.75,106.75
F12,7.75,8.75
F13A1,272.75,189.75
FAAH,10.5,16.0
FABP3,24.75,15.0
FABP5,6.5,5.5
FANCA,836.75,573.0
FANCC,631.75,430.75
FANCD2,331.75,243.75
FANCE,311.75,224.25
ACSL1,4463.75,3349.75
ACSL3,716.75,587.25
ACSL4,3238.25,2586.25
FAH,225.0,160.0
PTK2B,3443.75,2279.75
BPTF,443.25,380.5
FANCB,7.5,4.5
FANCF,181.0,105.0
FANCG,231.5,174.75
FAP,2.0,1.75
FARSA,1004.75,774.75
FASN,1589.0,1042.5
FAT2,5.0,1.75
FAU,1302.0,1090.0
FBN1,10.25,10.5
FBP1,123.75,88.0
FCER1A,32.5,23.25
MS4A2,55.75,42.75
FCER1G,593.5,453.75
FCER2,400.75,273.5
FCGR1A,111.0,102.0
FCGR1B,61.5,50.25
FCGR2A,703.25,637.0
FCGR2B,4.25,2.0
FCGRT,218.0,168.75
