,DMSO,YLK
AOX1,0.0,0.0
APAF1,46.0,31.0
NUDT2,6.5,2.5
APBA2,0.0,0.0
APBB1,13.5,4.5
APBB2,3.0,2.0
APC,12.0,9.5
APEH,4.0,4.5
APEX1,66.0,43.0
BIRC2,12.0,2.5
BIRC3,0.0,0.5
XIAP,96.5,66.0
BIRC5,143.5,81.5
APLP1,0.0,0.0
APLP2,68.0,38.0
APOA1,0.0,0.0
APOC1,0.0,0.0
APOC2,17.0,15.5
APP,8.0,7.0
APRT,16.0,9.5
FAS,4.5,3.0
AQP1,1.0,1.5
AQP3,5.0,1.5
AR,1.0,0.0
ARAF,16.0,12.5
ARCN1,348.5,219.5
TRIM23,11.5,9.0
ARF1,370.0,270.0
ARF3,194.0,86.5
ARF4,68.0,61.5
ARL4D,1.0,2.5
ARF5,7.0,7.0
ARF6,540.5,356.5
ARG2,0.0,0.0
RHOA,323.5,244.5
RHOB,13.0,22.5
RHOC,1.5,1.0
RHOG,176.5,77.5
ARHGAP1,96.0,44.0
ARHGAP4,1.0,1.0
ARHGAP6,0.5,0.0
ARHGDIA,369.5,228.0
ARHGDIB,406.0,223.5
RHOH,10.5,3.5
ARL1,33.0,26.0
PHOX2A,0.0,0.0
ARL2,5.0,2.5
ARL3,1.0,1.5
ARNT,47.0,51.0
ARNTL,2.5,2.0
ARRB1,125.5,56.0
ARRB2,18.5,21.0
ARSA,4.0,2.0
ARSB,38.0,18.0
STS,19.5,9.5
ARSD,20.5,11.5
ARVCF,0.0,0.0
ASAH1,16.5,12.0
ASCL2,1.5,2.0
ASGR1,0.0,0.0
ASGR2,0.0,0.0
ASL,1.0,1.0
GET3,4.5,2.0
ASNS,0.0,0.5
ASPH,40.5,29.5
ASS1,1.5,1.0
ZFHX3,1.5,0.0
ATF1,33.0,23.0
ATF3,31.5,48.5
ATF4,51.0,41.5
ATIC,5.5,2.5
ATM,40.5,31.5
RERE,52.5,34.0
ATOX1,1.5,0.5
ATP1A1,17.0,16.5
ATP1A3,3.0,0.5
ATP1B1,0.5,0.5
ATP1B3,29.0,30.0
ATP2A1,0.0,0.0
ATP2A2,237.5,180.0
ATP2A3,29.0,16.5
ATP2B1,91.0,131.0
ATP2B2,0.0,0.0
ATP2B3,1.0,0.0
ATP2B4,93.0,66.0
ATP5F1A,11.5,12.5
ATP5F1B,33.0,22.0
ATP5F1C,7.0,5.5
ATP5F1D,10.5,7.5
ATP5F1E,10.5,5.0
ATP5PB,19.5,16.5
ATP5MC1,2.0,0.5
ATP5MC2,20.0,16.5
ATP5MC3,99.5,59.5
ATP5ME,7.5,6.0
ATP5PF,3.0,1.5
ATP6V1A,42.5,29.5
ATP6V1B2,163.5,164.5
ATP6V0C,102.5,69.0
ATP6V1C1,78.0,53.0
ATP6V1E1,65.5,50.0
ATP6V0B,76.5,33.5
ATP6V0A1,15.5,12.0
ATP6AP1,22.0,15.0
ATP7A,1.5,0.0
ATP5PO,3.0,2.5
ATP7B,0.0,0.0
ATR,1.0,0.5
ATRX,25.0,18.5
KIF1A,0.0,0.0
AUH,0.5,0.0
AUP1,220.0,144.5
AVPR2,0.0,0.0
AXL,1.5,1.5
AZU1,0.0,0.0
B2M,21.5,12.5
BACH1,184.0,119.5
BAD,1.5,1.5
BAG1,87.5,56.5
ADGRB1,0.0,0.0
BAK1,51.0,31.5
NKX3-2,1.0,0.0
BARD1,140.5,94.5
BAX,25.5,18.5
BBS1,4.0,1.5
BBS2,1.5,1.0
BBS4,0.5,2.0
BCAT1,63.5,43.5
BCAT2,4.0,1.5
BCKDHA,9.5,5.0
BCKDHB,3.5,3.0
CCND1,11.5,8.5
BCL2,560.5,346.0
BCL2A1,0.0,1.5
BCL2L1,70.0,38.5
BCL2L2,60.0,32.0
BCL3,7.5,8.5
BCL6,2.0,4.5
BCL7A,156.5,91.5
BCL9,4.5,3.5
HCN2,0.0,0.0
OPN1SW,0.0,0.0
BCR,4.0,5.0
BCS1L,0.5,0.0
BDH1,0.0,0.0
BDNF,6.0,10.0
BFSP1,0.0,0.0
BGLAP,1.0,0.0
BICD1,1.0,0.0
BID,87.0,101.5
BIK,4.5,2.5
PRDM1,7.0,13.0
BLK,0.0,0.0
BLM,4.5,4.5
BLMH,17.5,10.5
CXCR5,0.0,0.0
BLVRA,0.0,0.0
BLVRB,0.0,0.0
BMI1,22.5,19.5
BMP1,7.0,2.5
BMP2,6.5,6.0
BMP6,0.0,0.0
BMP8B,17.0,11.5
BMPR1A,11.5,6.0
BMPR2,6.0,5.5
POLR3D,51.0,32.5
BNIP1,24.5,10.0
BNIP2,249.5,167.0
BNIP3,1.0,2.0
BNIP3L,22.0,11.5
BOK,0.0,0.0
DST,0.0,0.0
BPGM,7.0,3.5
BPHL,1.0,1.0
BPI,0.0,0.0
BRCA1,54.5,47.0
BRAF,0.5,0.0
BRCA2,33.5,23.5
ZFP36L1,35.0,21.0
ZFP36L2,3153.0,1467.0
BSG,111.0,60.5
BST1,0.5,0.0
BST2,2.0,2.0
BTD,1.5,1.5
KLF9,175.0,110.0
KLF5,11.0,7.0
BTF3,52.5,37.5
BTG1,63.5,73.5
BTK,11.5,4.5
BUB1,1.0,1.0
BUB1B,14.0,15.5
BYSL,54.5,32.5
TSPO,1.5,3.5
C1QBP,40.5,28.0
C1S,0.0,0.0
C3AR1,5.5,35.5
CAPN5,0.0,0.0
C5,0.5,0.5
C5AR1,0.0,0.0
OSGIN2,50.5,35.0
VPS51,0.0,0.0
MRPL49,99.0,58.0
ZNHIT2,2.0,2.0
MYRF,0.5,0.0
TMEM258,3.0,2.5
DAGLA,5.0,4.5
GAS8-AS1,0.0,0.0
FMNL1,4.5,3.5
LDLRAD4,38.5,23.5
PTTG1IP,146.5,100.0
CFAP410,3.0,2.5
TMEM50B,0.5,0.0
MPPED1,0.0,1.0
CA7,0.0,0.0
CA11,1.5,0.0
CACNA1A,1.0,0.0
CACNA1D,0.0,0.0
CACNA1E,0.0,0.0
CACNB1,0.0,0.0
CACNB2,0.0,0.0
CACNB3,3.0,2.5
CACNB4,1.5,0.0
SLC25A20,5.0,5.5
CAD,10.0,5.5
CALM1,143.0,140.0
CALM2,171.5,120.5
CALM3,223.5,129.0
CALR,282.0,154.0
CALU,176.5,130.0
CAMK2B,0.0,0.0
CAMK2D,28.0,16.5
CAMK2G,39.5,24.5
CAMLG,4.5,3.5
CANX,317.5,239.5
CAPG,1.0,0.0
CAPN1,11.5,5.5
CAPN2,17.5,10.5
CAPN3,0.5,1.5
CAPNS1,62.5,28.0
CAPN6,0.0,0.0
CAPS,1.5,0.5
CAPZA1,188.5,147.0
CAPZA2,40.5,31.0
CAST,4.5,3.5
CAPZB,48.0,40.0
CARS1,1.5,1.5
CASP1,8.5,6.0
CASP2,288.0,173.5
CASP3,169.0,105.5
CASP4,1.0,2.0
CASP6,7.5,4.5
CASP7,21.0,10.0
CASP8,17.0,14.0
CASP9,9.5,14.0
CASP10,27.5,26.0
CASQ1,0.0,0.0
CAT,28.0,30.0
CAV1,0.0,0.0
RUNX2,568.5,345.5
RUNX1,1327.0,714.0
CBFA2T3,164.0,74.0
RUNX3,466.5,372.0
CBFB,151.0,90.5
CBL,197.5,124.0
CBLB,14.0,12.0
CBLN1,0.0,0.0
SERPINH1,16.0,7.0
CBR1,23.5,8.5
CBR3,0.0,0.0
KYAT1,1.0,2.5
KRIT1,5.5,3.0
CCNA2,65.5,42.5
CCNB1,17.5,16.5
CCNC,16.5,16.5
CCND2,244.5,137.0
CCND3,283.5,140.0
CCNE1,39.5,26.5
CCNF,202.5,86.0
CCNG1,123.5,92.5
CCNG2,25.5,10.5
CCNH,2.5,3.0
CCNT1,577.0,554.5
CCNT2,120.0,105.0
CCT6A,114.5,93.5
CD1D,19.5,7.0
CD4,69.0,44.0
CD5,0.0,0.0
CD7,0.0,0.0
CD8A,0.0,0.0
CD9,0.0,0.0
CD19,0.0,0.0
MS4A3,104.5,43.5
CD22,0.0,0.0
CD27,0.0,0.0
CD28,0.0,0.0
CD80,0.0,0.0
CD86,1.0,11.0
TNFRSF8,0.5,0.0
CD33,30.0,23.0
SIGLEC6,1.5,0.0
CD36,5.0,4.5
SCARB1,24.0,13.5
SCARB2,14.0,5.5
CD37,5.5,4.5
CD38,24.0,10.0
ENTPD1,0.0,0.0
ENTPD6,10.5,10.5
ENTPD5,9.5,6.0
CD40,0.0,0.0
CD44,379.0,247.0
CD47,37.5,24.0
CD48,0.0,0.5
CD53,49.5,39.0
CD58,15.0,9.5
CD59,0.5,1.0
CD63,9.0,2.0
CD68,10.5,6.5
CD70,4.0,4.0
CD72,0.5,0.5
CD74,38.0,20.0
CD79A,0.0,0.0
CD79B,0.0,0.0
CD81,36.5,21.0
ADGRE5,92.0,62.0
CD151,11.0,7.0
CDA,0.5,0.0
CDK1,33.0,29.0
LRBA,7.0,5.0
CDC5L,49.0,35.0
SEPTIN7,18.5,16.5
CDC6,39.5,26.5
CDC20,3.0,2.0
CDC25A,263.5,162.0
CDC25B,32.0,18.0
CDC25C,3.0,2.5
CDC27,103.5,74.5
CDC34,18.0,17.5
CDC42,146.5,118.5
CDK2,50.5,42.0
CDK3,2.5,2.0
CDK4,57.5,38.5
CDK5,0.0,1.0
CDK6,1477.0,992.5
CDK7,0.0,0.0
CDK8,10.0,11.0
CDK9,118.5,75.0
CDKN1A,704.5,509.0
CDKN1B,332.0,222.0
CDKN2A,32.0,20.0
CDKN2B,12.5,3.5
CDKN2C,11.0,7.5
CDKN2D,83.5,37.0
CDKN3,1.5,0.5
CDR2,40.5,30.0
CD52,1.0,0.0
CDX2,0.0,0.0
CEBPA,1446.0,641.0
CEBPB,108.0,74.0
CEBPD,79.0,35.5
CEBPE,0.0,0.0
CEBPG,519.0,331.5
CENPA,112.5,58.0
CENPB,169.5,98.5
CENPC,1.5,0.5
CENPE,5.0,2.0
CENPF,21.0,18.0
CETN2,6.5,3.5
CETN3,4.0,1.0
CFL1,215.5,133.0
CFL2,45.5,28.0
CTSC,60.5,42.5
RCBTB2,7.5,5.5
RCC1,117.5,92.0
CHD1,51.5,48.5
CHD2,246.5,142.5
CHD3,16.5,11.0
CHD4,23.5,22.0
CHEK1,54.0,39.5
FOXN3,333.5,182.5
CHGB,0.0,0.0
CHI3L1,5.5,2.5
CHKA,46.5,34.0
CHKB,2.0,1.5
CHM,20.5,17.5
CHML,150.0,171.5
CHN1,0.0,0.0
LYST,311.0,274.0
CHRM4,0.0,0.0
CHRM5,0.0,1.5
CHRNA2,0.0,0.0
CHRNA3,0.0,0.0
CHRNA5,0.5,0.0
CHRNB1,26.5,11.5
CHRND,0.0,0.0
CHRNE,0.0,0.0
CHRNG,0.0,0.0
CHUK,36.5,27.5
CKB,0.0,0.0
CIRBP,230.5,126.0
CISH,400.5,120.0
TBCB,11.0,9.5
CKM,0.0,0.0
ERCC8,2.0,1.0
CKS1B,1.5,2.5
CKS2,34.0,20.0
AP2M1,15.0,12.0
AP1S1,21.0,11.5
AP2S1,16.5,12.5
AP3S1,9.0,4.5
CLCN2,0.5,0.0
CLCN3,13.5,9.0
CLCN4,57.0,36.5
CLCN5,7.5,5.5
CLCN6,41.5,39.0
CLCN7,13.5,5.5
CLU,2.5,1.0
CLIC2,2.0,0.0
CLK1,495.5,421.0
CLK2P1,22.0,16.0
CLK3,14.5,5.5
TPP1,71.5,35.0
CLN3,2.0,1.5
CLN5,12.5,10.5
CLNS1A,52.5,27.5
CLPTM1,19.0,12.0
CLTA,52.0,33.5
CLTB,19.0,16.0
CLTC,111.0,107.0
CCR1,232.0,126.0
CCR3,0.0,0.0
CCR5,5.5,2.0
CCR6,5.0,1.5
ACKR2,1.5,1.5
LTB4R,35.5,25.0
ABCC2,1.0,0.0
PLK3,9.5,5.5
CNN2,103.5,71.0
CNP,84.5,43.5
CNR2,0.0,0.0
CNTF,10.0,7.0
COL4A2,0.0,1.0
COL4A4,0.0,0.0
COL6A1,0.0,0.0
COL7A1,0.0,0.0
COL8A2,1.0,0.0
COL9A2,5.0,1.5
COL9A3,0.0,0.5
COL11A1,0.0,0.0
COL15A1,0.5,0.0
COMT,14.0,8.5
COPA,28.0,17.5
COPB1,4.5,5.0
KLF6,163.5,150.5
SLC31A1,53.5,55.0
SLC31A2,38.5,19.5
CORT,0.0,0.0
MAP3K8,3.0,7.0
COX4I1,37.5,29.5
COX5B,3.5,1.0
COX6A1,5.5,3.0
COX6B1,18.5,18.5
COX6C,5.5,2.5
COX7A2,46.5,33.5
COX7B,12.5,6.0
COX7C,10.0,6.0
COX8A,47.5,37.0
COX10,67.0,39.0
COX11,15.0,9.0
COX15,28.0,20.5
CP,0.0,0.0
CPB2,0.0,0.0
CPD,56.5,41.0
CLDN7,0.5,0.5
CPM,43.5,23.5
CPOX,20.5,14.5
CPS1,0.0,0.0
CPT1A,146.0,91.0
CPT1B,1.0,3.5
CPT2,21.5,12.0
CRABP2,0.0,0.0
CRAT,4.0,2.0
CREB1,151.0,136.5
ATF2,86.5,71.5
CREBBP,29.5,19.0
CREBL2,19.0,9.5
CREM,2.0,7.0
CRIP1,3.0,1.5
CRIP2,1.0,0.0
CRK,12.5,10.5
CRKL,512.0,351.5
CRMP1,0.0,0.0
CRY1,1.5,0.5
CRY2,53.0,36.0
CRYBB1,0.0,0.0
CRYZ,0.0,0.0
CS,139.0,102.0
MAPK14,102.5,76.0
CSE1L,18.0,14.5
CSF1,2.5,3.5
CSF1R,62.5,93.5
CSF2RA,18.5,18.5
CSF2RB,25.0,13.5
CSF3R,0.5,1.0
CSK,90.5,54.0
CSNK1A1,107.0,96.5
CSNK1D,257.5,157.0
CSNK1E,56.5,52.5
CSNK1G2,33.5,19.5
CSNK1G3,30.5,34.5
CSNK2A1,121.0,92.5
CSNK2A2,15.0,13.0
CSPG4,42.5,28.5
CSRP1,48.5,33.0
SLC25A10,12.5,5.0
CST3,18.5,9.0
CSTA,3.5,4.5
CSTB,10.5,5.5
CSTF1,36.0,31.0
CSTF2,4.5,3.5
CSTF3,32.5,22.0
CTBS,5.0,3.5
CTBP1,47.5,25.5
CTBP2,55.0,30.5
CTF1,2.0,1.5
CCN2,3.5,2.0
CTH,0.0,0.0
CTNNA1,20.5,16.5
CTNS,13.0,17.0
CTNNB1,93.5,68.5
CTNND1,15.0,6.5
CTPS1,52.0,36.0
CTRL,2.0,1.5
CTSB,44.5,55.0
CTSD,30.0,13.5
CTSG,6.5,1.0
CTSH,0.5,0.0
CTSK,1.0,0.0
CTSV,0.0,0.0
CTSO,0.0,0.0
CTSS,32.0,16.5
CTSW,0.0,0.0
CTSZ,45.5,18.0
CUX1,195.5,90.5
CX3CR1,10.0,3.0
CYB5A,0.5,1.5
CYB561,19.0,14.5
CYBA,3.0,1.5
CYBB,2.0,1.5
CYC1,28.5,20.5
CYLD,30.5,22.5
CYP1A1,0.0,0.5
CYP1B1,20.0,14.5
CYP2B7P,0.0,0.0
CYP2E1,0.0,0.0
CYP3A5,0.0,0.0
CYP27B1,3.5,2.0
CYP51A1,57.0,69.0
DAD1,11.5,19.0
CD55,5.5,17.0
DAG1,102.0,32.5
DGKA,0.5,0.0
DGKG,37.5,25.5
DGKQ,18.0,12.0
DAP,154.5,107.0
DAPK3,9.0,6.5
DARS1,19.0,9.5
DAXX,1.0,0.5
DBH,0.0,0.0
DBI,58.0,45.0
DBN1,18.0,10.0
DBP,3.0,0.5
DBT,65.0,41.0
ECI1,1.5,0.5
DCK,44.5,25.0
DCTD,86.0,51.0
DCTN1,24.5,12.0
DDB1,25.0,20.5
DDB2,10.5,3.5
AKR1C2,0.0,0.0
GADD45A,43.5,19.0
DDIT3,17.5,12.0
DDOST,35.0,18.5
DDT,0.0,0.0
DDX1,3.0,1.0
DDX3X,333.0,363.5
DDX5,46.0,35.5
DDX6,484.0,284.5
DMXL1,3.5,1.5
DHX8,38.0,22.0
DHX9,34.0,26.0
DDX10,28.0,18.5
DDX11,28.5,16.0
DHX15,39.5,27.0
DECR1,0.0,1.0
DEFB1,0.5,0.0
CFD,0.0,0.0
DFFA,28.5,17.0
DFFB,14.5,10.5
TIMM8A,49.5,33.5
GSDME,0.0,0.0
COCH,0.0,0.0
DGUOK,8.0,10.0
DHCR7,19.0,11.5
DHCR24,369.5,217.0
DHFR,44.5,25.0
DHODH,19.5,16.0
DHPS,53.5,36.5
CYB5R3,19.0,17.0
NQO1,4.0,1.5
DIAPH1,173.5,100.5
DIAPH2,7.0,3.5
SEPTIN1,0.5,0.0
DIO1,0.0,0.0
DKC1,165.5,111.0
DLAT,50.5,21.0
DLD,21.5,16.0
DLG1,23.5,18.0
DLG3,0.0,0.5
DLG4,17.0,8.0
DLST,62.5,52.0
DLSTP1,11.5,10.5
DLX1,151.0,85.5
DLX2,10.5,12.5
DLX4,4.0,1.5
SARDH,0.0,0.0
DNM1,5.5,1.5
DMPK,3.0,2.0
DMRT1,0.0,0.0
DMWD,3.0,4.5
DNA2,35.0,30.0
DNASE1,0.0,0.0
DNASE1L1,4.5,4.0
DNASE1L2,0.5,0.5
DNASE2,0.0,0.0
DYNC1H1,12.0,8.5
DYNC1I2,6.0,6.5
DYNC1LI2,125.5,79.5
DNM2,22.0,9.5
DNMT1,25.5,18.5
TRDMT1,8.0,8.5
DNMT3A,23.0,18.0
DNMT3B,6.0,3.0
DOCK1,0.0,0.0
DOCK2,19.0,23.0
DOCK3,0.0,0.0
DOK1,105.0,63.5
DPAGT1,13.0,4.5
DPH1,103.0,60.0
DPH2,39.5,29.0
DPP4,0.5,0.0
DPYD,8.0,6.0
DPYSL2,233.5,137.0
DPYSL3,1.5,1.0
DR1,117.0,84.5
DRG2,14.0,11.5
ARID3A,92.5,40.0
DRP2,0.0,0.0
ATN1,5.5,2.0
DSC2,0.5,0.5
RCAN1,47.0,51.5
TSC22D3,140.5,256.0
SLC26A2,72.0,55.5
DTNA,28.5,23.0
HBEGF,125.0,383.5
DTYMK,29.5,19.5
ECM2,0.0,0.0
DUSP1,4.5,8.0
DUSP2,89.0,62.0
DUSP3,348.0,206.0
DUSP4,6.0,1.5
DUSP5,25.0,18.5
DUSP6,193.5,88.0
DUSP7,628.5,459.5
DUT,22.0,13.5
DVL1,10.5,15.0
DVL2,5.0,3.0
DVL3,39.5,21.0
DYRK1A,479.0,369.0
TOR1A,59.0,53.5
E2F1,81.5,50.5
E2F2,148.5,83.0
E2F3,274.0,171.5
E2F4,58.5,31.5
E2F5,0.0,0.5
E2F6,58.0,36.5
E4F1,5.5,7.0
GPR183,17.5,41.0
ECE1,11.5,6.5
TYMP,0.0,0.0
ECH1,7.0,4.5
ECHS1,11.0,9.5
ECM1,0.0,0.0
ECT2,17.5,12.0
LPAR1,20.5,20.0
S1PR3,98.5,80.0
PHC1,0.0,0.0
PHC2,161.0,93.0
EEF1A1,124.0,108.0
EEF1A2,1.0,1.0
EEF1B2,4.0,4.5
EEF1D,0.0,0.5
EEF1G,17.5,14.0
EEF2,447.0,288.5
EIF2D,0.5,0.0
EFNA3,11.5,3.5
EFNA4,5.0,2.5
EFNB1,11.0,4.0
CELSR3,2.5,2.0
CELSR2,1.0,0.5
MEGF6,0.5,0.0
MEGF8,16.5,11.5
MEGF9,31.5,16.5
EGR1,191.5,315.5
EGR2,3.0,31.0
EGR3,89.5,918.5
EGR4,0.5,1.5
EHHADH,2.5,0.5
EIF1AX,83.0,60.0
EIF2S1,171.5,127.5
EIF2B1,27.5,23.0
EIF2S3,93.0,91.0
EIF4A1,420.5,283.5
EIF4A2,311.0,228.0
EIF4B,259.5,181.5
EIF4E,30.0,19.0
EIF4EBP1,77.5,29.5
EIF4EBP2,265.0,151.5
EIF4G1,54.5,42.0
EIF4G2,197.0,159.0
EIF5,621.5,471.0
EIF5A,158.0,94.0
CELA1,0.0,0.0
ELANE,0.0,0.0
SERPINB1,90.5,65.0
ELAVL1,194.0,120.5
ELAVL3,0.0,0.0
ELF1,377.0,300.5
ELF2,78.5,64.5
ELF4,283.5,126.5
ELK1,75.5,39.0
ELK3,37.0,27.0
ELK4,141.5,95.0
EMD,1.5,3.0
MARK2,94.5,49.5
EMP1,22.5,32.5
EMP2,8.5,3.0
EMP3,0.5,1.0
CTTN,1.0,0.0
ENDOG,1.0,0.5
ENG,21.0,35.0
ENO1,196.5,155.5
ENO2,1.0,0.0
ENO3,0.5,0.0
ENSA,112.0,81.0
SLC29A1,21.0,11.0
EP300,82.5,46.0
EPAS1,1.0,0.0
EPB41,53.5,32.0
EPB41L1,0.5,0.5
EPB41L2,11.0,10.0
STOM,183.0,122.5
EPHA1,2.0,0.0
EPHB3,0.5,1.0
EPHB4,2.0,1.5
EPHB6,0.0,0.0
EPHX1,0.0,0.0
STX2,9.5,6.0
CLN8,1.0,0.0
EPOR,59.5,32.5
EPRS1,6.0,3.5
EPS8,2.0,0.5
EPS15,18.5,13.5
NR2F6,42.0,23.0
ERBB2,0.0,0.0
ERCC1,46.5,36.5
ERCC2,4.0,2.0
ERCC3,12.0,4.5
ERCC4,22.5,13.5
ERCC5,4.0,4.0
ERCC6,8.0,6.0
ERF,112.0,57.0
ERG,0.0,0.0
ERH,55.5,40.0
ERN1,12.5,7.5
ERV3-1,2.0,2.5
FBL,7.5,7.5
ESD,1.5,1.5
ESR2,0.5,0.0
ESRRA,54.5,27.5
ETF1,294.5,296.5
ETFA,6.5,3.5
ETFB,0.0,0.5
ETFDH,2.0,0.0
ETS1,6.5,3.0
ETS2,457.5,311.5
ETV1,1.0,0.0
ETV2,0.0,0.0
ETV3,6.5,6.5
ETV4,2.5,1.0
ETV5,73.5,27.0
ETV6,578.0,330.5
EVI2A,87.0,81.0
EVI2B,44.5,26.0
EWSR1,28.5,25.0
EXT1,0.0,0.0
EXT2,8.0,7.5
EXTL2,8.5,7.0
EXTL3,58.0,33.5
EYA3,108.0,53.5
EZH1,21.0,11.5
EZH2,8.0,9.5
F2R,9.5,4.0
F3,55.5,43.5
F8,1.5,0.0
F12,0.0,0.0
F13A1,3.0,1.0
FAAH,0.0,0.5
FABP3,0.0,0.0
FABP5,0.5,0.0
FANCA,8.5,6.5
FANCC,21.0,11.5
FANCD2,5.5,4.5
FANCE,24.5,21.5
ACSL1,123.5,89.5
ACSL3,27.5,24.0
ACSL4,84.0,91.0
FAH,0.5,1.0
PTK2B,72.5,56.5
BPTF,24.0,18.0
FANCB,0.0,0.0
FANCF,37.0,15.5
FANCG,10.5,4.5
FAP,0.0,0.0
FARSA,32.0,23.0
FASN,36.5,14.5
FAT2,0.0,0.0
FAU,10.0,7.5
FBN1,0.0,2.0
FBP1,0.0,0.5
FCER1A,0.0,0.0
MS4A2,3.5,2.0
FCER1G,8.5,5.5
FCER2,0.5,2.0
FCGR1A,2.5,4.0
FCGR1B,4.5,6.5
FCGR2A,19.0,27.0
FCGR2B,0.0,0.0
FCGRT,0.0,0.0
FKTN,23.5,20.0
FDFT1,43.5,25.5
FDPS,0.0,0.0
FDX1,14.5,13.5
FDXR,6.0,4.0
FECH,14.0,14.0
FEN1,221.5,153.5
GPC4,0.5,0.0
FER,20.5,13.0
FES,4.0,1.5
FGD1,0.0,0.0
FGF2,0.0,0.0
FGF11,2.5,1.5
FGFR1,3.5,1.0
FGFR3,0.5,0.0
FGFR4,0.0,0.0
FGR,11.0,2.5
FH,1.5,1.0
FHL1,6.5,5.0
FHL3,16.0,10.0
FKBP1A,60.5,40.5
FKBP1AP1,0.0,0.0
FKBP2,3.0,1.5
FKBP3,5.5,3.5
FKBP4,56.0,36.5
FKBP5,160.5,80.5
FOXD4,0.0,1.0
FOXJ1,0.5,0.0
FOXM1,37.5,24.0
FOXD2,11.5,8.0
FOXO1,0.5,0.0
FOXO3,69.0,46.5
FOXO3B,32.0,22.0
FLI1,168.0,130.0
FLII,4.0,1.5
MLANA,0.0,0.0
FLNA,10.0,7.0
FLNB,15.5,10.5
FLOT2,18.5,9.5
FLT1,0.0,0.0
FLT3,503.0,404.0
FLT3LG,1.0,1.5
FMO4,0.0,0.0
FMO5,1.0,1.0
FMOD,0.0,1.0
FMR1,15.0,13.0
FN1,0.0,0.0
