,DMSO,YLK
BCKDHA,869.5,539.5
BCKDHB,344.0,286.0
CCND1,144.5,97.5
BCL2,6548.5,4389.5
BCL2A1,1.5,6.0
BCL2L1,1324.5,662.0
BCL2L2,705.0,434.5
BCL3,57.5,44.5
BCL6,7.0,9.0
BCL7A,1037.5,562.0
BCL9,62.5,44.5
HCN2,4.5,1.5
OPN1SW,20.5,20.0
BCR,159.5,86.5
BCS1L,39.0,24.5
BDH1,6.5,2.0
BDNF,15.5,24.0
BFSP1,9.0,5.5
BGLAP,23.0,14.0
BICD1,6.5,5.5
BID,1909.5,1729.5
BIK,160.0,111.5
PRDM1,24.5,31.5
BLK,7.5,2.0
BLM,81.5,52.0
BLMH,846.5,575.5
CXCR5,10.0,5.0
BLVRA,4.0,2.0
BLVRB,149.5,99.0
BMI1,857.0,773.5
BMP1,365.5,177.5
BMP2,20.5,20.5
BMP6,1509.0,1273.5
BMP8B,476.0,298.5
BMPR1A,100.5,79.5
BMPR2,261.0,246.5
POLR3D,507.5,288.0
BNIP1,148.0,70.0
BNIP2,3551.0,3037.0
BNIP3,256.0,251.5
BNIP3L,2424.5,2162.0
BOK,7.5,4.0
DST,8.5,5.0
BPGM,159.0,118.5
BPHL,99.0,64.5
BPI,3.0,2.0
BRCA1,6523.0,4899.0
BRAF,10.5,7.0
BRCA2,250.5,218.5
ZFP36L1,83.0,64.0
ZFP36L2,8446.5,4245.0
BSG,17144.0,9983.5
BST1,46.5,44.5
BST2,3463.0,1886.0
BTD,85.0,63.5
KLF9,879.5,692.0
KLF5,57.0,32.0
BTF3,4858.5,3669.0
BTG1,784.5,744.0
BTK,1161.5,731.5
BUB1,196.0,187.5
BUB1B,417.0,385.5
BYSL,386.5,239.5
TSPO,1106.5,761.5
C1QBP,2491.0,1909.0
C1S,2.5,2.5
C3AR1,49.5,195.5
CAPN5,25.5,14.0
C5,146.5,104.5
C5AR1,4.5,3.5
OSGIN2,498.5,481.0
VPS51,103.0,77.0
MRPL49,1738.5,1051.5
ZNHIT2,15.0,12.5
MYRF,54.5,28.0
TMEM258,533.5,437.0
DAGLA,94.5,45.5
GAS8-AS1,1.5,1.5
FMNL1,512.0,312.5
LDLRAD4,418.5,288.0
PTTG1IP,7411.0,5303.0
CFAP410,413.0,250.5
TMEM50B,36.0,33.0
MPPED1,13.5,8.5
CA7,23.0,12.5
CA11,108.0,64.0
CACNA1A,26.0,16.5
CACNA1D,6.5,5.0
CACNA1E,9.0,7.0
CACNB1,20.5,9.5
CACNB2,24.5,21.0
CACNB3,119.0,66.0
CACNB4,16.0,13.5
SLC25A20,294.0,204.0
CAD,243.0,168.0
CALM1,5988.5,5452.0
CALM2,8308.5,7378.0
CALM3,21554.5,11408.0
CALR,20982.0,14374.0
CALU,4827.0,3738.0
CAMK2B,29.0,16.5
CAMK2D,749.5,639.5
CAMK2G,763.5,458.0
CAMLG,230.0,168.5
CANX,25779.5,22563.5
CAPG,316.5,207.0
CAPN1,2073.0,1179.5
CAPN2,1803.0,1595.0
CAPN3,63.0,37.0
CAPNS1,7653.0,4261.0
CAPN6,3.0,5.5
CAPS,62.5,36.5
CAPZA1,14507.5,13003.0
CAPZA2,1601.5,1429.5
CAST,897.5,834.0
CAPZB,6455.5,4194.5
CARS1,124.0,74.5
CASP1,233.0,195.5
CASP2,3716.5,2391.0
CASP3,2249.0,1866.0
CASP4,107.0,81.0
CASP6,604.0,471.0
CASP7,289.0,253.5
CASP8,289.5,179.0
CASP9,636.0,397.0
CASP10,417.0,289.0
CASQ1,3.0,2.5
CAT,4838.0,4045.5
CAV1,42.5,37.5
RUNX2,3034.5,2007.0
RUNX1,8445.0,5205.5
CBFA2T3,2689.0,1576.5
RUNX3,4764.0,3155.5
CBFB,4774.0,4240.0
CBL,4123.5,2520.5
CBLB,223.0,171.5
CBLN1,3.5,4.0
SERPINH1,922.5,557.5
CBR1,751.0,447.5
CBR3,5.5,2.5
KYAT1,180.0,121.0
KRIT1,268.0,238.0
CCNA2,2708.5,2471.0
CCNB1,598.0,480.5
CCNC,1675.0,1683.5
CCND2,3449.0,2330.0
CCND3,5016.5,3161.0
CCNE1,321.0,173.0
CCNF,1650.0,838.0
CCNG1,7013.5,6960.0
CCNG2,180.0,107.5
CCNH,62.0,66.5
CCNT1,2467.0,2164.5
CCNT2,501.0,442.0
CCT6A,4326.5,3790.0
CD1D,279.0,218.5
CD4,7966.0,4594.0
CD5,5.0,4.5
CD7,3.5,3.5
CD8A,4.0,3.0
CD9,5.0,3.0
CD19,4.0,4.0
MS4A3,13970.5,11884.5
CD22,2.0,1.0
CD27,6.0,3.0
CD28,4.5,3.5
CD80,2.5,1.5
CD86,33.5,62.0
TNFRSF8,4.5,3.5
CD33,1109.5,768.0
SIGLEC6,62.5,42.5
CD36,426.0,358.5
SCARB1,1524.0,918.0
SCARB2,502.5,375.0
CD37,997.5,630.5
CD38,1127.5,849.0
ENTPD1,1338.0,987.5
ENTPD6,592.0,351.0
ENTPD5,400.0,282.5
CD40,3.0,3.5
CD44,8879.0,6838.5
CD47,1566.0,1320.0
CD48,13.0,7.5
CD53,3902.5,2965.5
CD58,490.5,420.0
CD59,36.5,25.0
CD63,812.0,551.0
CD68,1326.0,955.0
CD70,234.5,172.0
CD72,71.5,35.5
CD74,4982.5,2912.5
CD79A,8.0,6.0
CD79B,10.5,3.5
CD81,3667.5,2095.5
ADGRE5,1753.5,1059.0
CD151,1030.0,608.0
CDA,15.0,10.5
CDK1,1364.0,1331.5
LRBA,317.0,301.0
CDC5L,887.5,823.0
SEPTIN7,2342.0,2137.5
CDC6,549.0,344.5
CDC20,149.5,109.0
CDC25A,1233.0,755.0
CDC25B,1425.0,835.5
CDC25C,99.0,63.0
CDC27,1937.0,1637.0
CDC34,621.5,352.5
CDC42,9232.0,7162.5
CDK2,1916.5,1392.5
CDK3,50.0,32.0
CDK4,2519.0,1570.0
CDK5,64.5,45.5
CDK6,22818.5,17351.5
CDK7,3.5,4.0
CDK8,267.0,243.0
CDK9,1068.5,630.5
CDKN1A,3511.0,2285.0
CDKN1B,856.5,590.0
CDKN2A,2746.5,1714.5
CDKN2B,87.5,55.0
CDKN2C,274.0,210.5
CDKN2D,520.5,270.0
CDKN3,133.5,89.0
CDR2,210.5,159.5
CD52,41.0,19.5
CDX2,4.0,2.5
CEBPA,8874.5,3722.0
CEBPB,411.5,244.0
CEBPD,504.5,263.5
CEBPE,4.5,4.0
CEBPG,3648.0,2748.5
CENPA,1131.5,678.0
CENPB,3448.5,1819.0
CENPC,10.0,7.5
CENPE,137.0,97.0
CENPF,577.5,500.5
CETN2,508.0,448.0
CETN3,95.5,63.5
CFL1,20972.0,11896.0
CFL2,190.0,135.0
CTSC,1899.5,1559.0
RCBTB2,236.5,189.0
RCC1,4525.5,2902.5
CHD1,425.5,384.0
CHD2,1082.0,663.5
CHD3,2012.5,1240.5
CHD4,1919.0,1162.5
CHEK1,1013.0,881.5
FOXN3,7664.5,5462.5
CHGB,7.5,4.0
CHI3L1,915.5,588.5
CHKA,1030.0,679.0
CHKB,111.0,71.5
CHM,513.5,416.0
CHML,3396.5,3819.0
CHN1,4.0,4.5
LYST,3855.0,3538.0
CHRM4,3.5,0.0
CHRM5,5.0,3.0
CHRNA2,2.0,1.5
CHRNA3,14.5,10.0
CHRNA5,23.0,18.5
CHRNB1,245.0,160.0
CHRND,3.0,1.5
CHRNE,203.0,116.0
CHRNG,5.5,4.5
CHUK,547.5,547.0
CKB,11.0,8.0
CIRBP,5468.5,3586.0
CISH,1143.5,336.5
TBCB,572.5,387.5
CKM,5.0,3.5
ERCC8,126.0,104.5
CKS1B,67.0,46.5
CKS2,416.5,278.5
AP2M1,2252.5,1306.0
AP1S1,1977.0,1133.5
AP2S1,2497.0,1542.5
AP3S1,1143.0,949.5
CLCN2,19.0,8.5
CLCN3,606.0,464.5
CLCN4,462.0,315.0
CLCN5,455.5,328.5
CLCN6,455.0,269.5
CLCN7,1790.5,919.0
CLU,231.5,140.0
CLIC2,13.5,14.5
CLK1,1856.5,1539.0
CLK2P1,320.5,229.5
CLK3,182.0,102.5
TPP1,12695.0,9354.5
CLN3,90.5,63.0
CLN5,432.5,363.5
CLNS1A,4517.5,3518.0
CLPTM1,881.5,516.5
CLTA,2788.0,1970.5
CLTB,2689.5,1540.5
CLTC,5356.0,5001.5
CCR1,958.5,507.5
CCR3,8.0,5.5
CCR5,104.5,56.0
CCR6,90.5,58.0
ACKR2,38.0,24.0
LTB4R,486.0,330.0
ABCC2,13.0,12.0
PLK3,27.0,17.0
CNN2,9057.5,5332.5
CNP,4486.5,2724.0
CNR2,11.0,1.5
CNTF,84.0,58.5
COL4A2,22.0,19.0
COL4A4,7.5,5.0
COL6A1,11.5,8.5
COL7A1,8.5,8.0
COL8A2,52.5,28.0
COL9A2,401.5,244.0
COL9A3,100.5,71.0
COL11A1,3.5,3.0
COL15A1,23.5,13.0
COMT,1818.5,1247.5
COPA,2395.5,1704.0
COPB1,286.5,216.0
KLF6,509.0,511.0
SLC31A1,1612.0,1212.0
SLC31A2,223.0,144.0
CORT,9.5,11.5
MAP3K8,12.5,11.5
COX4I1,4514.0,3068.5
COX5B,492.0,346.5
COX6A1,574.0,434.0
COX6B1,2394.0,1523.0
COX6C,1171.5,951.5
COX7A2,5250.5,3166.5
COX7B,1302.0,915.5
COX7C,1393.0,1020.5
COX8A,3682.0,2387.5
COX10,684.5,399.0
COX11,1026.5,968.0
COX15,2157.5,1685.0
CP,367.5,370.5
CPB2,2.5,2.0
CPD,3691.5,3323.5
CLDN7,42.5,26.0
CPM,1934.5,1401.5
CPOX,596.5,491.0
CPS1,33.5,32.5
CPT1A,8400.5,5820.0
CPT1B,23.0,25.5
CPT2,643.0,470.0
CRABP2,3.0,2.0
CRAT,216.0,123.0
CREB1,1637.5,1455.0
ATF2,2185.0,1760.0
CREBBP,408.0,266.0
CREBL2,765.0,633.5
CREM,127.5,143.0
CRIP1,209.5,166.0
CRIP2,3.0,3.0
CRK,71.0,34.5
CRKL,3557.5,2530.5
CRMP1,8.5,5.0
CRY1,65.5,67.5
CRY2,328.0,192.0
CRYBB1,3.0,2.5
CRYZ,135.5,107.5
CS,10544.0,7075.5
MAPK14,2213.0,1567.5
CSE1L,838.0,689.0
CSF1,12.0,16.5
CSF1R,2748.5,1834.0
CSF2RA,428.0,267.5
CSF2RB,680.5,471.5
CSF3R,171.0,113.0
CSK,3251.0,1734.0
CSNK1A1,2378.5,2354.5
CSNK1D,4622.0,2591.5
CSNK1E,1730.0,1070.0
CSNK1G2,2720.0,1326.0
CSNK1G3,400.5,399.5
CSNK2A1,3550.5,2581.0
CSNK2A2,300.0,176.5
CSPG4,1772.5,994.0
CSRP1,3695.5,2276.0
SLC25A10,1255.0,665.0
CST3,2622.5,1624.0
CSTA,546.5,437.5
CSTB,668.0,438.0
CSTF1,254.5,194.0
CSTF2,176.5,135.5
CSTF3,717.0,579.5
CTBS,393.5,403.0
CTBP1,2998.0,1942.5
CTBP2,1236.5,1023.5
CTF1,9.0,10.0
CCN2,7.5,5.0
CTH,21.0,16.0
CTNNA1,2118.5,1539.5
CTNS,845.0,535.0
CTNNB1,2287.0,1899.0
CTNND1,314.5,192.5
CTPS1,1486.0,1031.0
CTRL,40.0,30.0
CTSB,3968.5,2766.5
CTSD,4123.5,2294.5
CTSG,667.0,503.0
CTSH,100.5,67.0
CTSK,15.5,14.0
CTSV,5.0,2.0
CTSO,6.0,4.0
CTSS,1825.5,1545.0
CTSW,25.0,24.5
CTSZ,3633.0,2369.5
CUX1,2045.5,1114.5
CX3CR1,202.5,110.0
CYB5A,195.5,156.0
CYB561,481.5,285.5
CYBA,942.0,737.0
CYBB,234.0,153.0
CYC1,1559.0,989.5
CYLD,858.5,688.0
CYP1A1,4.5,4.5
CYP1B1,115.0,95.5
CYP2B7P,18.5,10.5
CYP2E1,7.0,5.0
CYP3A5,9.0,8.0
CYP27B1,21.0,15.0
CYP51A1,2194.5,2043.5
DAD1,1529.0,1204.5
CD55,107.5,145.5
DAG1,1180.0,587.5
DGKA,41.5,22.5
DGKG,326.0,189.0
DGKQ,428.5,245.0
DAP,5900.0,3865.5
DAPK3,192.0,117.0
DARS1,1622.0,1439.5
DAXX,13.0,17.5
DBH,7.5,4.0
DBI,3626.5,2615.0
DBN1,738.0,403.0
DBP,56.0,42.5
DBT,782.5,604.5
ECI1,126.5,95.0
DCK,1467.5,1440.5
DCTD,2699.5,1893.0
DCTN1,6085.5,3384.0
DDB1,3037.0,1835.5
DDB2,702.0,428.0
AKR1C2,15.5,9.5
GADD45A,140.5,76.0
DDIT3,269.5,178.5
DDOST,5900.5,3460.0
DDT,4.5,2.0
DDX1,188.5,150.0
DDX3X,8994.0,9119.5
DDX5,1987.5,1716.0
DDX6,9201.0,6696.5
DMXL1,163.0,166.5
DHX8,538.5,306.5
DHX9,1310.0,977.0
DDX10,393.5,260.5
DDX11,457.5,277.0
DHX15,1013.0,918.5
DECR1,216.5,178.5
DEFB1,6.5,4.5
CFD,8.0,8.0
DFFA,788.5,470.5
DFFB,455.5,293.0
TIMM8A,472.0,357.0
GSDME,10.0,9.0
COCH,12.5,8.5
DGUOK,405.5,268.0
DHCR7,679.0,395.5
DHCR24,9006.5,5297.0
DHFR,3523.0,2911.5
DHODH,355.0,246.5
DHPS,3450.5,2182.5
CYB5R3,2837.5,1467.5
NQO1,287.0,242.0
DIAPH1,10218.5,6116.5
DIAPH2,182.5,149.5
SEPTIN1,37.5,22.5
DIO1,10.5,5.5
DKC1,5165.0,3546.5
DLAT,1645.5,1535.0
DLD,1482.0,1408.0
DLG1,806.0,743.0
DLG3,2.5,2.0
DLG4,1068.0,555.0
DLST,2650.5,1692.0
DLSTP1,1322.0,851.5
DLX1,1019.0,612.5
DLX2,38.5,31.5
DLX4,110.0,81.5
SARDH,55.5,45.0
DNM1,407.0,258.0
DMPK,71.5,42.0
DMRT1,2.0,2.0
DMWD,261.5,145.0
DNA2,1209.0,987.0
DNASE1,111.5,77.5
DNASE1L1,384.0,259.0
DNASE1L2,6.0,6.0
DNASE2,28.0,17.5
DYNC1H1,498.5,322.5
DYNC1I2,287.0,260.5
DYNC1LI2,2098.5,1673.5
DNM2,2227.5,1166.5
DNMT1,1009.0,681.0
TRDMT1,355.5,294.5
DNMT3A,914.0,571.5
DNMT3B,219.0,154.0
DOCK1,1.0,1.0
DOCK2,1498.0,1064.0
DOCK3,8.5,10.5
DOK1,1191.0,635.0
DPAGT1,626.5,347.0
DPH1,2067.0,1269.5
DPH2,1172.5,805.5
DPP4,53.0,33.5
DPYD,390.0,365.0
DPYSL2,7432.0,5433.0
DPYSL3,106.0,63.5
DR1,2330.0,2066.5
DRG2,673.5,428.0
ARID3A,1174.5,637.0
DRP2,10.5,6.0
ATN1,373.5,215.5
DSC2,21.5,16.0
RCAN1,1412.0,1212.5
TSC22D3,917.0,1263.0
SLC26A2,1428.5,1143.0
DTNA,518.0,427.0
HBEGF,334.0,919.5
DTYMK,3513.0,2038.5
ECM2,2.5,3.0
DUSP1,11.5,18.0
DUSP2,236.0,149.5
DUSP3,6941.5,4480.5
DUSP4,35.5,18.5
DUSP5,88.0,52.5
DUSP6,538.5,261.0
DUSP7,3357.5,2038.5
DUT,3077.0,3043.5
DVL1,560.5,337.5
DVL2,328.0,203.0
DVL3,1929.0,1302.5
DYRK1A,2355.5,1699.0
TOR1A,1206.0,883.0
E2F1,1467.0,797.0
E2F2,676.5,325.0
E2F3,1360.0,882.5
E2F4,1921.0,1034.5
E2F5,68.5,66.0
E2F6,425.5,283.0
E4F1,190.0,122.0
GPR183,114.5,192.5
ECE1,515.0,292.5
TYMP,17.5,12.0
ECH1,1182.0,742.5
ECHS1,1574.0,1002.5
ECM1,24.5,18.5
ECT2,405.0,368.5
LPAR1,90.0,77.0
S1PR3,478.0,353.0
PHC1,1977.5,1809.5
PHC2,1759.5,965.5
EEF1A1,1639.5,1397.0
EEF1A2,407.0,265.0
EEF1B2,844.5,688.5
EEF1D,49.0,36.0
EEF1G,2108.5,1416.0
EEF2,38218.5,23975.0
EIF2D,68.0,52.0
EFNA3,75.0,30.0
EFNA4,24.5,13.5
EFNB1,172.0,88.0
CELSR3,64.0,54.0
CELSR2,96.0,59.5
MEGF6,66.0,43.0
MEGF8,1902.5,1097.5
MEGF9,509.5,346.0
EGR1,535.0,841.5
EGR2,6.0,74.0
EGR3,311.5,4107.0
EGR4,3.5,7.5
EHHADH,100.5,78.5
EIF1AX,3234.0,3258.5
EIF2S1,3978.5,3289.5
EIF2B1,1536.0,1334.5
EIF2S3,13219.5,10326.5
EIF4A1,6651.0,4271.0
EIF4A2,2137.5,1704.5
EIF4B,19009.5,13301.0
EIF4E,946.0,771.0
EIF4EBP1,3896.0,2360.0
EIF4EBP2,13608.0,9454.5
EIF4G1,2065.5,1195.0
EIF4G2,7879.0,7451.5
EIF5,5391.0,4063.5
EIF5A,11477.0,6594.5
CELA1,3.5,3.0
ELANE,12.0,9.5
SERPINB1,4921.0,3769.0
ELAVL1,5237.5,3777.0
ELAVL3,3.0,2.5
ELF1,3827.0,3301.0
ELF2,376.5,272.0
ELF4,2779.0,1461.0
ELK1,1605.5,888.0
ELK3,337.5,250.5
ELK4,1911.0,1510.0
EMD,268.0,191.0
MARK2,990.5,535.0
EMP1,117.5,166.5
EMP2,514.5,341.5
EMP3,223.0,178.0
CTTN,17.0,11.0
ENDOG,301.5,189.5
ENG,1389.0,879.5
ENO1,17300.0,11094.0
ENO2,108.5,75.0
ENO3,3.0,3.0
ENSA,5247.0,3682.5
SLC29A1,1251.5,691.0
EP300,936.5,696.0
EPAS1,41.0,33.0
EPB41,3264.5,2094.0
EPB41L1,5.5,5.0
EPB41L2,1316.5,1064.0
STOM,6129.5,4505.5
EPHA1,25.0,12.5
EPHB3,9.5,6.5
EPHB4,73.0,44.5
EPHB6,23.0,13.5
EPHX1,45.0,28.5
STX2,247.5,173.5
CLN8,14.0,5.5
EPOR,595.5,348.5
EPRS1,403.5,342.5
EPS8,59.5,57.0
EPS15,955.0,906.5
NR2F6,537.5,267.0
ERBB2,18.5,11.0
ERCC1,4706.5,2421.0
ERCC2,174.5,95.0
ERCC3,170.0,91.5
ERCC4,203.0,138.0
ERCC5,78.5,43.0
ERCC6,133.0,107.5
ERF,1572.5,781.5
ERG,2.0,0.5
ERH,6411.0,4327.5
ERN1,79.5,32.5
ERV3-1,175.5,141.0
FBL,1087.5,829.5
ESD,253.0,159.0
ESR2,2.5,3.0
ESRRA,998.0,558.0
ETF1,7167.5,6163.0
ETFA,801.5,631.5
ETFB,137.0,90.5
ETFDH,39.5,29.5
ETS1,159.0,106.5
ETS2,2737.5,1830.5
ETV1,22.0,15.0
ETV2,6.0,4.0
ETV3,35.0,21.0
ETV4,73.5,42.0
ETV5,810.0,571.0
ETV6,4485.5,2826.0
EVI2A,994.5,1073.5
EVI2B,559.0,565.0
EWSR1,1515.0,1271.0
EXT1,7.0,4.5
EXT2,622.0,445.5
EXTL2,766.5,585.5
EXTL3,795.5,444.5
EYA3,2109.5,1358.5
EZH1,254.5,149.5
EZH2,270.0,228.5
F2R,358.5,321.0
F3,165.5,145.5
F8,135.5,110.5
F12,7.0,9.0
F13A1,274.5,186.5
FAAH,10.5,13.5
FABP3,24.0,14.5
FABP5,6.5,6.0
FANCA,805.5,506.5
FANCC,612.0,406.0
FANCD2,344.5,209.5
FANCE,307.5,199.5
ACSL1,4386.0,3479.0
ACSL3,677.0,622.0
ACSL4,2979.0,2823.5
FAH,225.0,147.5
PTK2B,3394.0,1938.5
BPTF,437.5,410.5
FANCB,7.5,4.5
FANCF,176.5,105.0
FANCG,234.0,152.5
FAP,2.5,1.0
FARSA,1025.5,685.5
FASN,1621.0,862.5
FAT2,5.0,1.0
FAU,1273.0,1076.0
FBN1,10.0,10.0
FBP1,128.5,78.0
FCER1A,33.5,23.5
MS4A2,56.0,43.5
FCER1G,584.0,403.0
FCER2,411.0,218.5
FCGR1A,111.0,89.5
FCGR1B,60.5,47.0
FCGR2A,717.0,643.5
FCGR2B,2.5,1.5
FCGRT,217.0,142.0
FKTN,938.0,771.5
