,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
MYRF,0,3,0,0,0,1,0,0
TMEM258,0,1,3,3,2,3,3,5
DAGLA,4,4,9,5,2,4,6,10
GAS8-AS1,0,0,0,0,0,0,0,0
FMNL1,4,2,8,3,3,5,4,18
LDLRAD4,20,37,40,8,27,50,24,33
PTTG1IP,105,144,149,81,95,168,126,153
CFAP410,2,3,3,0,4,1,5,3
TMEM50B,0,0,1,0,0,2,0,1
MPPED1,1,0,0,1,0,7,0,4
CA7,1,1,0,0,0,0,0,0
CA11,0,2,0,2,0,4,1,0
CACNA1A,0,1,0,0,0,1,2,2
CACNA1D,1,1,0,0,0,0,0,0
CACNA1E,0,0,0,0,0,0,0,0
CACNB1,0,0,0,0,0,0,0,0
CACNB2,0,0,0,0,0,0,0,0
CACNB3,2,1,5,1,3,2,4,3
CACNB4,0,2,2,0,0,1,1,0
SLC25A20,3,5,3,4,7,5,5,7
CAD,6,11,9,2,5,8,15,10
CALM1,147,122,142,91,133,144,144,208
CALM2,122,145,169,54,119,257,174,197
CALM3,111,210,237,111,147,265,202,224
CALR,156,261,295,147,152,289,275,275
CALU,129,148,194,67,131,192,161,171
CAMK2B,0,0,0,0,0,0,1,0
CAMK2D,18,27,21,8,15,33,29,24
CAMK2G,28,48,34,17,21,37,42,50
CAMLG,4,3,0,1,3,6,9,11
CANX,242,299,316,116,237,518,319,338
CAPG,0,0,0,0,1,2,2,0
CAPN1,8,11,6,2,5,12,12,6
CAPN2,11,17,19,3,10,18,17,16
CAPN3,3,1,1,0,0,0,0,5
CAPNS1,20,44,73,26,30,68,57,55
CAPN6,0,0,0,0,0,0,0,0
CAPS,0,1,2,1,0,3,1,2
CAPZA1,138,183,184,63,156,246,193,288
CAPZA2,31,31,35,13,31,63,46,36
CAST,7,3,3,0,1,8,6,6
CAPZB,33,49,36,26,47,47,55,66
CARS1,2,0,3,3,1,2,1,1
CASP1,4,12,7,1,9,10,5,8
CASP2,153,276,276,91,194,300,309,325
CASP3,106,157,146,61,105,208,181,145
CASP4,0,4,1,2,2,0,1,7
CASP6,1,9,9,5,4,5,6,8
CASP7,11,23,15,9,9,28,19,24
CASP8,8,25,19,10,18,15,10,18
CASP9,11,9,8,11,17,15,10,24
CASP10,39,25,30,18,20,33,18,32
CASQ1,0,0,0,0,0,0,0,0
CAT,27,26,27,18,33,34,29,56
CAV1,0,0,0,0,0,3,0,3
RUNX2,346,571,565,189,345,797,566,466
RUNX1,734,1260,1177,364,694,1678,1394,955
CBFA2T3,70,148,175,56,78,227,153,135
RUNX3,337,378,458,323,407,565,475,645
CBFB,88,136,132,48,93,195,166,126
CBL,117,187,185,45,131,226,208,165
CBLB,12,19,9,3,12,13,15,21
CBLN1,0,0,0,0,0,0,0,0
SERPINH1,10,20,13,8,4,12,19,6
CBR1,8,18,29,3,9,32,18,24
CBR3,0,0,0,0,0,0,0,0
KYAT1,3,0,1,2,1,5,1,5
KRIT1,4,5,9,0,2,6,4,4
CCNA2,58,70,55,13,40,128,61,45
CCNB1,12,17,18,4,21,22,15,24
CCNC,24,13,14,9,14,27,19,19
CCND2,123,212,252,83,151,296,237,233
CCND3,120,255,290,120,160,311,277,250
CCNE1,27,39,66,26,24,40,38,40
CCNF,91,181,198,79,81,217,207,170
CCNG1,104,120,118,52,81,193,127,143
CCNG2,12,25,24,2,9,59,26,20
CCNH,9,5,3,2,2,1,2,4
CCNT1,544,591,551,241,565,746,563,746
CCNT2,105,129,109,51,108,161,111,105
CCT6A,104,95,113,52,83,151,116,142
CD1D,7,23,20,7,6,17,19,11
CD4,49,66,72,33,39,77,62,76
CD5,0,0,0,0,0,0,0,0
CD7,0,0,0,0,0,0,0,0
CD8A,0,0,0,0,0,0,0,0
CD9,0,0,0,0,0,0,0,0
CD19,0,0,0,0,0,0,0,0
MS4A3,38,104,105,22,53,132,99,49
CD22,0,0,0,0,0,0,0,0
CD27,0,0,0,0,0,0,0,1
CD28,0,0,0,1,0,0,0,0
CD80,0,0,0,0,0,0,0,0
CD86,10,3,1,10,12,1,1,19
TNFRSF8,0,1,0,0,0,2,0,1
CD33,24,33,34,16,22,23,27,25
SIGLEC6,0,0,2,0,0,3,1,2
CD36,5,5,4,3,8,7,5,4
SCARB1,9,23,25,11,16,25,19,28
SCARB2,5,9,12,3,6,16,16,11
CD37,2,2,4,3,6,9,7,12
CD38,8,19,24,8,12,24,35,25
ENTPD1,0,0,0,0,0,0,1,1
ENTPD6,5,14,17,11,10,7,6,16
ENTPD5,6,12,4,6,2,8,11,9
CD40,0,0,0,0,0,0,0,0
CD44,259,367,377,151,235,422,381,359
CD47,26,38,35,9,22,50,37,46
CD48,0,0,0,1,0,0,1,1
CD53,35,39,53,33,43,56,46,55
CD58,8,16,12,8,11,15,15,16
CD59,0,1,0,2,1,1,0,1
CD63,2,8,11,2,1,8,10,15
CD68,6,6,15,5,7,16,6,16
CD70,3,1,6,3,5,6,2,10
CD72,0,1,0,0,1,1,0,3
CD74,17,37,39,15,23,46,30,24
CD79A,0,0,0,0,0,0,0,0
CD79B,0,2,0,0,0,0,0,0
CD81,13,37,34,18,24,36,37,40
ADGRE5,54,98,76,62,62,96,88,118
CD151,7,10,13,7,7,12,7,14
CDA,0,1,1,0,0,0,0,0
CDK1,34,35,22,9,24,57,31,35
LRBA,3,4,4,0,7,10,11,8
CDC5L,37,48,41,13,33,75,50,56
SEPTIN7,17,19,13,9,16,39,18,25
CDC6,28,35,28,11,25,45,44,37
CDC20,1,3,3,3,1,5,2,10
CDC25A,162,230,263,125,162,319,264,291
CDC25B,19,20,32,17,13,34,32,30
CDC25C,3,1,1,1,2,5,6,8
CDC27,82,90,99,30,67,134,108,83
CDC34,17,13,30,12,18,16,20,19
CDC42,122,148,138,87,115,220,145,164
CDK2,40,50,51,19,47,51,42,44
CDK3,2,2,3,2,4,3,2,2
CDK4,41,33,60,20,36,67,55,58
CDK5,0,0,0,1,2,0,0,1
CDK6,1013,1357,1288,421,972,1967,1597,1570
CDK7,0,0,0,0,2,0,1,0
CDK8,9,5,10,6,13,16,10,20
CDK9,67,109,126,72,78,134,111,121
CDKN1A,468,675,690,431,550,813,719,955
CDKN1B,239,331,327,101,205,598,333,278
CDKN2A,16,28,36,10,24,38,28,47
CDKN2B,1,13,12,3,10,16,11,4
CDKN2C,7,10,11,6,8,17,11,8
CDKN2D,36,84,89,27,38,83,64,50
CDKN3,0,1,3,0,2,1,2,1
CDR2,36,46,32,9,25,60,35,35
CD52,0,1,1,0,0,1,0,0
CDX2,0,0,0,0,0,0,0,4
CEBPA,607,1292,1533,533,675,1841,1359,1176
CEBPB,69,107,97,53,79,142,109,113
CEBPD,37,83,75,21,34,115,69,51
CEBPE,0,0,0,0,1,0,1,0
CEBPG,329,459,489,224,334,705,549,439
CENPA,66,98,116,35,50,155,109,95
CENPB,70,154,185,101,96,191,153,173
CENPC,0,2,1,0,1,2,1,1
CENPE,2,6,6,3,0,4,3,2
CENPF,16,18,22,13,20,31,20,41
CETN2,2,4,6,4,5,8,7,3
CETN3,2,6,3,0,0,5,3,2
CFL1,118,185,235,97,148,249,196,264
CFL2,44,43,42,14,27,66,48,29
CTSC,39,54,49,28,46,94,67,70
RCBTB2,6,8,5,5,5,11,7,9
RCC1,84,110,152,51,100,119,116,160
CHD1,48,50,48,25,49,83,53,55
CHD2,117,213,249,100,168,281,244,258
CHD3,5,29,19,10,12,12,14,20
CHD4,21,22,25,23,16,22,32,43
CHEK1,41,34,47,19,38,67,61,58
FOXN3,163,299,290,135,202,443,368,331
CHGB,0,0,0,0,0,0,0,0
CHI3L1,2,5,6,3,3,3,6,2
CHKA,38,33,48,27,30,45,48,66
CHKB,1,3,2,1,2,2,2,4
CHM,20,15,18,5,15,27,23,23
CHML,180,157,143,51,163,217,139,234
CHN1,0,0,2,0,1,0,0,0
LYST,283,311,287,127,265,432,311,369
CHRM4,0,0,0,0,0,0,1,0
CHRM5,3,1,0,0,2,0,0,1
CHRNA2,0,0,0,0,0,0,0,0
CHRNA3,0,0,0,0,0,0,0,0
CHRNA5,0,0,1,1,0,1,0,0
CHRNB1,11,25,34,11,12,28,12,26
CHRND,0,0,0,0,0,0,0,0
CHRNE,0,0,0,0,0,0,0,1
CHRNG,0,0,0,0,0,0,0,0
CHUK,29,35,38,12,26,58,25,35
CKB,0,0,1,0,0,0,0,1
CIRBP,106,236,225,111,141,250,221,238
CISH,104,361,436,112,128,473,365,259
TBCB,7,18,15,8,11,6,7,15
CKM,0,0,0,0,0,0,0,0
ERCC8,0,3,1,2,0,4,1,2
CKS1B,2,1,0,0,3,5,2,4
CKS2,24,35,26,15,16,51,33,30
AP2M1,12,25,15,12,8,15,13,14
AP1S1,10,22,26,9,13,20,20,22
AP2S1,10,14,23,15,8,18,15,24
AP3S1,5,11,10,0,4,7,8,15
CLCN2,0,0,1,0,0,0,2,1
CLCN3,18,12,14,4,9,15,13,9
CLCN4,38,56,48,17,35,58,66,56
CLCN5,9,8,5,1,8,11,7,3
CLCN6,42,42,50,19,36,41,39,70
CLCN7,6,14,26,5,1,9,13,15
CLU,1,2,3,0,1,1,5,4
CLIC2,0,2,0,0,0,2,4,2
CLK1,418,443,508,192,424,638,483,611
CLK2P1,12,21,32,13,19,23,19,24
CLK3,4,13,16,6,5,16,7,13
TPP1,32,82,69,20,38,73,70,90
CLN3,1,1,1,2,1,3,5,4
CLN5,9,8,13,8,16,18,12,12
CLNS1A,23,49,59,23,32,50,55,47
CLPTM1,11,18,25,13,10,6,20,35
CLTA,29,50,59,38,26,54,45,58
CLTB,7,20,19,12,20,19,12,24
CLTC,107,93,95,50,107,164,127,124
CCR1,124,246,204,77,128,321,218,170
CCR3,0,1,0,0,0,0,0,0
CCR5,0,6,12,2,4,5,4,2
CCR6,1,1,4,0,3,7,6,2
ACKR2,1,2,1,0,5,2,1,2
LTB4R,21,32,35,11,29,36,43,53
ABCC2,0,0,1,0,0,1,2,3
PLK3,3,6,10,7,4,10,9,15
CNN2,63,99,116,61,79,108,91,110
CNP,51,98,71,36,36,100,62,69
CNR2,0,0,0,0,0,5,0,0
CNTF,13,17,8,2,5,12,5,9
COL4A2,0,0,1,0,2,0,0,5
COL4A4,0,0,0,0,0,0,0,0
COL6A1,0,0,0,0,0,0,0,0
COL7A1,0,0,1,1,0,0,0,0
COL8A2,0,1,3,0,0,0,1,0
COL9A2,2,3,6,4,1,5,5,0
COL9A3,0,0,1,0,5,0,0,1
COL11A1,1,0,0,0,0,0,0,0
COL15A1,0,1,0,0,0,1,0,0
COMT,10,14,10,7,7,22,14,23
COPA,21,32,20,13,14,24,39,40
COPB1,7,4,3,4,3,9,5,6
KLF6,146,152,167,105,155,204,160,255
SLC31A1,49,42,59,21,61,52,55,86
SLC31A2,11,23,38,23,16,40,39,37
CORT,0,1,0,0,0,0,0,0
MAP3K8,7,3,2,2,7,9,3,8
COX4I1,25,33,40,28,31,35,50,44
COX5B,1,2,5,1,5,7,1,1
COX6A1,3,1,2,2,3,9,10,7
COX6B1,18,17,23,12,19,14,20,27
COX6C,3,5,6,0,2,4,6,5
COX7A2,31,40,47,17,43,47,46,36
COX7B,6,9,13,4,6,12,14,14
COX7C,5,9,12,5,7,11,4,13
COX8A,32,36,56,35,39,43,52,44
COX10,42,66,63,31,36,88,68,78
COX11,6,15,18,7,11,15,10,15
COX15,23,24,31,9,19,34,25,22
CP,0,0,0,0,0,0,0,0
CPB2,0,0,0,0,0,0,0,0
CPD,42,50,63,22,40,99,47,68
CLDN7,0,0,3,0,3,0,1,1
CPM,16,39,28,17,30,48,50,45
CPOX,15,14,22,4,14,19,25,18
CPS1,0,0,1,0,0,0,0,0
CPT1A,90,140,144,54,92,179,148,138
CPT1B,4,4,2,2,3,0,0,4
CPT2,7,18,31,10,14,25,17,20
CRABP2,0,0,0,0,0,1,0,0
CRAT,3,5,1,0,1,3,5,4
CREB1,154,141,133,68,119,229,161,158
ATF2,71,77,83,33,72,134,90,88
CREBBP,18,26,33,20,20,45,26,18
CREBL2,7,15,22,7,14,26,16,12
CREM,7,0,4,4,12,3,1,7
CRIP1,5,3,0,0,1,3,3,2
CRIP2,1,0,4,0,0,1,1,0
CRK,6,12,14,10,12,13,9,11
CRKL,349,502,508,200,354,637,516,482
CRMP1,0,0,0,0,0,0,0,0
CRY1,3,2,0,1,0,2,1,0
CRY2,32,61,51,20,40,48,55,53
CRYBB1,0,0,0,0,0,0,0,0
CRYZ,0,0,0,0,1,0,0,0
CS,81,140,139,70,123,139,132,163
MAPK14,67,82,98,43,85,115,107,157
