,DMSO,YLK
ASS1,2.0,1.25
ZFHX3,1.5,0.25
ATF1,31.75,20.25
ATF3,36.25,47.25
ATF4,50.75,41.0
ATIC,5.75,2.75
ATM,40.75,31.0
RERE,53.75,35.75
ATOX1,1.5,1.0
ATP1A1,21.0,18.5
ATP1A3,2.5,1.25
ATP1B1,0.75,0.75
ATP1B3,29.5,29.0
ATP2A1,0.0,0.0
ATP2A2,243.0,170.75
ATP2A3,30.0,19.25
ATP2B1,94.5,131.25
ATP2B2,0.0,0.0
ATP2B3,0.75,0.25
ATP2B4,96.75,68.0
ATP5F1A,12.25,12.0
ATP5F1B,33.25,23.5
ATP5F1C,7.5,5.0
ATP5F1D,10.5,8.75
ATP5F1E,10.5,5.0
ATP5PB,19.5,17.5
ATP5MC1,2.5,0.75
ATP5MC2,20.25,16.0
ATP5MC3,104.75,59.0
ATP5ME,7.5,5.75
ATP5PF,4.0,2.25
ATP6V1A,43.75,29.5
ATP6V1B2,177.5,171.75
ATP6V0C,102.75,79.25
ATP6V1C1,81.0,53.0
ATP6V1E1,65.75,56.75
ATP6V0B,76.75,45.25
ATP6V0A1,15.25,13.0
ATP6AP1,21.75,15.5
ATP7A,1.5,0.25
ATP5PO,3.25,2.75
ATP7B,0.0,0.25
ATR,1.0,0.75
ATRX,23.25,20.75
KIF1A,0.0,0.0
AUH,0.5,0.0
AUP1,223.75,162.25
AVPR2,0.0,0.0
AXL,1.75,1.75
AZU1,0.0,0.0
B2M,23.75,12.25
BACH1,201.25,116.75
BAD,2.5,2.0
BAG1,83.25,61.75
ADGRB1,0.25,0.0
BAK1,49.25,29.75
NKX3-2,1.0,0.5
BARD1,147.0,84.0
BAX,25.75,18.25
BBS1,5.0,2.0
BBS2,1.5,0.75
BBS4,0.75,2.75
BCAT1,71.25,43.25
BCAT2,3.75,2.25
BCKDHA,9.5,4.75
BCKDHB,3.5,3.0
CCND1,12.5,8.25
BCL2,587.25,328.25
BCL2A1,0.25,1.25
BCL2L1,73.75,44.25
BCL2L2,60.0,37.25
BCL3,8.0,14.75
BCL6,2.0,4.75
BCL7A,154.25,111.5
BCL9,4.75,3.25
HCN2,0.0,0.0
OPN1SW,0.0,0.0
BCR,4.0,4.75
BCS1L,0.5,0.25
BDH1,0.0,0.0
BDNF,5.5,9.0
BFSP1,0.25,0.0
BGLAP,0.75,0.25
BICD1,0.75,0.5
BID,96.75,100.75
BIK,5.25,2.25
PRDM1,7.25,13.5
BLK,0.25,0.0
BLM,4.5,5.5
BLMH,17.5,13.0
CXCR5,0.5,0.25
BLVRA,0.0,0.0
BLVRB,0.0,0.0
BMI1,27.5,20.25
BMP1,6.5,3.0
BMP2,7.0,5.5
BMP6,0.5,0.25
BMP8B,17.0,13.0
BMPR1A,11.75,6.75
BMPR2,6.25,5.25
POLR3D,52.0,36.5
BNIP1,26.0,11.0
BNIP2,256.0,159.5
BNIP3,1.0,2.0
BNIP3L,22.5,12.5
BOK,0.0,0.0
DST,0.25,0.25
BPGM,8.0,4.25
BPHL,1.0,0.75
BPI,0.0,0.0
BRCA1,52.25,52.5
BRAF,0.5,0.25
BRCA2,33.5,25.75
ZFP36L1,34.5,19.0
ZFP36L2,3477.75,1513.0
BSG,107.5,73.5
BST1,0.5,0.0
BST2,3.25,1.5
BTD,2.0,1.75
KLF9,180.25,110.25
KLF5,10.75,7.25
BTF3,56.0,40.25
BTG1,75.0,74.75
BTK,12.5,4.0
BUB1,1.5,2.0
BUB1B,15.5,13.5
BYSL,53.0,36.5
TSPO,2.5,3.75
C1QBP,40.5,30.25
C1S,0.0,0.0
C3AR1,7.5,39.5
CAPN5,0.25,0.5
C5,0.75,0.5
C5AR1,0.0,0.0
OSGIN2,54.5,38.25
VPS51,0.25,0.5
MRPL49,99.75,64.25
ZNHIT2,2.25,2.0
MYRF,1.0,0.0
TMEM258,2.5,2.5
DAGLA,5.75,5.25
GAS8-AS1,0.0,0.0
FMNL1,4.75,7.0
LDLRAD4,37.75,22.0
PTTG1IP,146.75,108.5
CFAP410,3.0,2.25
TMEM50B,0.75,0.25
MPPED1,1.75,1.5
CA7,0.25,0.25
CA11,1.75,0.5
CACNA1A,1.0,0.5
CACNA1D,0.25,0.25
CACNA1E,0.0,0.0
CACNB1,0.0,0.0
CACNB2,0.0,0.0
CACNB3,3.0,2.25
CACNB4,1.5,0.0
SLC25A20,4.5,5.25
CAD,10.75,5.75
CALM1,138.0,144.75
CALM2,186.25,123.0
CALM3,228.5,148.25
CALR,280.0,182.5
CALU,173.75,124.5
CAMK2B,0.25,0.0
CAMK2D,27.5,16.25
CAMK2G,40.25,29.0
CAMLG,4.5,4.75
CANX,363.0,233.25
CAPG,1.0,0.25
CAPN1,10.25,5.25
CAPN2,17.75,10.0
CAPN3,0.5,2.0
CAPNS1,60.5,32.75
CAPN6,0.0,0.0
CAPS,1.75,0.75
CAPZA1,201.5,161.25
CAPZA2,43.75,27.75
CAST,5.0,3.5
CAPZB,46.75,43.0
CARS1,1.5,1.75
CASP1,8.5,5.5
CASP2,290.25,190.75
CASP3,173.0,104.25
CASP4,1.5,2.75
CASP6,7.25,4.5
CASP7,21.25,13.25
CASP8,17.25,13.5
CASP9,10.5,15.75
CASP10,26.5,27.25
CASQ1,0.0,0.0
CAT,29.0,33.5
CAV1,0.75,0.75
RUNX2,624.75,336.5
RUNX1,1377.25,686.75
CBFA2T3,175.75,84.75
RUNX3,469.0,428.0
CBFB,157.25,88.75
CBL,201.5,114.5
CBLB,14.0,12.0
CBLN1,0.0,0.0
SERPINH1,16.0,7.0
CBR1,24.25,11.0
CBR3,0.0,0.0
KYAT1,1.75,2.75
KRIT1,6.0,2.5
CCNA2,78.5,39.0
CCNB1,18.0,15.25
CCNC,18.25,16.5
CCND2,249.25,147.5
CCND3,283.25,162.5
CCNE1,45.75,29.25
CCNF,200.75,105.25
CCNG1,139.5,95.0
CCNG2,33.5,10.75
CCNH,2.75,4.25
CCNT1,612.75,524.0
CCNT2,127.5,92.25
CCT6A,118.75,95.25
CD1D,19.75,7.75
CD4,69.25,49.25
CD5,0.0,0.0
CD7,0.0,0.0
CD8A,0.0,0.0
CD9,0.0,0.0
CD19,0.0,0.0
MS4A3,110.0,40.5
CD22,0.0,0.0
CD27,0.0,0.25
CD28,0.0,0.25
CD80,0.0,0.0
CD86,1.5,12.75
TNFRSF8,0.75,0.25
CD33,29.25,21.75
SIGLEC6,1.5,0.5
CD36,5.25,5.0
SCARB1,23.0,16.0
SCARB2,13.25,6.25
CD37,5.5,5.75
CD38,25.5,13.25
ENTPD1,0.25,0.25
ENTPD6,11.0,10.5
ENTPD5,8.75,5.75
CD40,0.0,0.0
CD44,386.75,251.0
CD47,40.0,25.75
CD48,0.25,0.5
CD53,48.5,41.5
CD58,14.5,10.75
CD59,0.5,1.0
CD63,9.25,5.0
CD68,10.75,8.5
CD70,3.75,5.25
CD72,0.5,1.0
CD74,38.0,19.75
CD79A,0.0,0.0
CD79B,0.5,0.0
CD81,36.0,23.75
ADGRE5,89.5,74.0
CD151,10.5,8.75
CDA,0.5,0.0
CDK1,36.25,25.5
LRBA,7.25,4.5
CDC5L,53.5,34.75
SEPTIN7,22.25,16.75
CDC6,38.0,25.25
CDC20,3.25,3.75
CDC25A,269.0,185.0
CDC25B,29.5,19.75
CDC25C,3.25,3.5
CDC27,107.75,65.5
CDC34,19.75,16.5
CDC42,162.75,122.0
CDK2,48.5,37.5
CDK3,2.5,2.5
CDK4,53.75,38.75
CDK5,0.0,1.0
CDK6,1552.25,994.0
CDK7,0.25,0.5
CDK8,10.25,12.0
CDK9,120.0,84.5
CDKN1A,724.25,601.0
CDKN1B,397.25,205.75
CDKN2A,32.5,24.25
CDKN2B,13.0,4.5
CDKN2C,12.25,7.25
CDKN2D,80.0,37.75
CDKN3,1.75,0.75
CDR2,43.25,26.25
CD52,0.75,0.0
CDX2,0.0,1.0
CEBPA,1506.25,747.75
CEBPB,113.75,78.5
CEBPD,85.5,35.75
CEBPE,0.25,0.25
CEBPG,550.5,331.5
CENPA,119.5,61.5
CENPB,170.75,110.0
CENPC,1.5,0.5
CENPE,4.75,1.75
CENPF,22.75,22.5
CETN2,6.25,3.5
CETN3,4.25,1.0
CFL1,216.25,156.75
CFL2,49.75,28.5
CTSC,66.0,45.75
RCBTB2,7.75,6.25
RCC1,124.25,98.75
CHD1,58.5,44.25
CHD2,246.75,160.75
CHD3,18.5,11.75
CHD4,25.25,25.75
CHEK1,52.25,39.0
FOXN3,350.0,207.75
CHGB,0.0,0.0
CHI3L1,5.0,2.5
CHKA,43.5,40.25
CHKB,2.25,2.0
CHM,20.75,15.75
CHML,164.0,157.0
CHN1,0.5,0.25
LYST,335.25,261.0
CHRM4,0.25,0.0
CHRM5,0.25,1.5
CHRNA2,0.0,0.0
CHRNA3,0.0,0.0
CHRNA5,0.5,0.25
CHRNB1,24.75,15.0
CHRND,0.0,0.0
CHRNE,0.0,0.25
CHRNG,0.0,0.0
CHUK,39.0,25.5
CKB,0.25,0.25
CIRBP,233.0,149.0
CISH,408.75,150.75
TBCB,11.5,10.25
CKM,0.0,0.0
ERCC8,2.25,1.0
CKS1B,2.0,2.25
CKS2,36.25,21.25
AP2M1,17.0,11.5
AP1S1,22.0,13.5
AP2S1,17.5,14.25
AP3S1,9.0,6.0
CLCN2,0.75,0.25
CLCN3,13.5,10.0
CLCN4,57.0,36.5
CLCN5,7.75,5.25
CLCN6,43.0,41.75
CLCN7,15.5,6.75
CLU,2.75,1.5
CLIC2,2.0,0.5
CLK1,518.0,411.25
CLK2P1,23.75,17.0
CLK3,13.0,7.0
TPP1,73.5,45.0
CLN3,2.5,2.0
CLN5,12.75,11.25
CLNS1A,53.25,31.25
CLPTM1,17.25,17.25
CLTA,52.0,37.75
CLTB,17.5,15.75
CLTC,119.75,97.0
CCR1,247.25,124.75
CCR3,0.25,0.0
CCR5,6.75,2.0
CCR6,4.5,1.5
ACKR2,1.5,2.0
LTB4R,36.5,28.5
ABCC2,1.0,0.75
PLK3,8.75,7.25
CNN2,103.5,78.25
CNP,82.75,48.0
CNR2,1.25,0.0
CNTF,10.5,7.25
COL4A2,0.25,1.75
COL4A4,0.0,0.0
COL6A1,0.0,0.0
COL7A1,0.25,0.25
COL8A2,1.25,0.0
COL9A2,4.75,1.75
COL9A3,0.25,1.5
COL11A1,0.0,0.25
COL15A1,0.5,0.0
COMT,15.0,11.75
COPA,28.75,22.0
COPB1,5.25,5.0
KLF6,170.75,165.25
SLC31A1,52.0,54.25
SLC31A2,35.0,21.75
CORT,0.25,0.0
MAP3K8,4.25,6.0
COX4I1,39.5,32.0
COX5B,3.75,2.0
COX6A1,5.5,3.75
COX6B1,18.5,19.0
COX6C,5.25,2.5
COX7A2,45.0,31.75
COX7B,12.0,7.5
COX7C,9.0,7.5
COX8A,46.75,37.5
COX10,71.25,46.75
COX11,14.5,9.75
COX15,28.5,18.25
CP,0.0,0.0
CPB2,0.0,0.0
CPD,64.75,43.0
CLDN7,1.0,1.0
CPM,41.25,27.0
CPOX,20.0,12.75
CPS1,0.25,0.0
CPT1A,152.75,93.5
CPT1B,1.5,3.25
CPT2,22.75,12.75
CRABP2,0.25,0.0
CRAT,3.5,2.0
CREB1,166.0,124.75
ATF2,96.0,66.0
CREBBP,32.5,19.0
CREBL2,19.75,10.0
CREM,2.0,7.5
CRIP1,2.25,2.0
CRIP2,1.5,0.25
CRK,12.0,9.75
CRKL,540.75,346.25
CRMP1,0.0,0.0
CRY1,1.25,1.0
CRY2,53.75,36.25
CRYBB1,0.0,0.0
CRYZ,0.0,0.25
CS,137.5,109.25
MAPK14,100.5,88.0
CSE1L,18.75,14.0
CSF1,2.5,3.25
CSF1R,62.0,100.0
CSF2RA,17.5,17.75
CSF2RB,26.25,16.25
CSF3R,0.75,1.0
CSK,90.75,59.0
CSNK1A1,111.0,95.0
CSNK1D,259.25,191.25
CSNK1E,56.75,53.0
CSNK1G2,32.25,24.75
CSNK1G3,35.0,29.5
CSNK2A1,128.75,90.75
CSNK2A2,15.25,13.75
CSPG4,41.25,32.5
CSRP1,48.75,35.25
SLC25A10,13.0,5.0
CST3,19.0,8.5
CSTA,4.5,4.25
CSTB,11.25,6.25
CSTF1,38.25,28.75
CSTF2,4.25,3.5
CSTF3,30.75,21.25
CTBS,5.0,4.0
CTBP1,49.75,31.25
CTBP2,55.5,34.0
CTF1,2.25,2.0
CCN2,3.5,2.0
CTH,0.25,0.25
CTNNA1,20.25,17.5
CTNS,13.25,17.25
CTNNB1,98.25,69.5
CTNND1,14.25,6.0
CTPS1,52.75,46.25
CTRL,2.5,1.75
CTSB,47.5,54.5
CTSD,32.0,17.75
CTSG,6.75,1.25
CTSH,0.5,0.0
CTSK,1.25,1.25
CTSV,0.0,0.0
CTSO,0.25,0.0
CTSS,34.25,18.25
CTSW,0.0,0.0
CTSZ,43.0,21.75
CUX1,203.0,107.5
CX3CR1,13.0,4.0
CYB5A,0.75,2.5
CYB561,19.75,16.25
CYBA,4.0,1.5
CYBB,3.5,1.5
CYC1,28.0,20.5
CYLD,31.5,24.75
CYP1A1,0.5,0.75
CYP1B1,19.25,12.75
CYP2B7P,0.0,0.25
CYP2E1,0.0,0.0
CYP3A5,0.0,0.0
CYP27B1,2.75,1.75
CYP51A1,56.75,63.0
DAD1,12.0,19.25
CD55,6.75,16.25
DAG1,97.75,41.75
DGKA,0.75,0.0
DGKG,37.75,27.25
DGKQ,17.75,12.75
DAP,155.0,120.25
DAPK3,8.75,5.5
DARS1,19.25,10.75
DAXX,1.0,0.5
DBH,0.0,0.0
DBI,60.5,44.25
DBN1,18.0,11.25
DBP,2.5,0.5
DBT,69.5,39.5
ECI1,1.5,1.0
DCK,51.75,25.5
DCTD,88.0,60.5
DCTN1,24.0,14.0
DDB1,25.75,22.25
DDB2,11.5,6.25
AKR1C2,0.0,0.5
GADD45A,46.0,23.5
DDIT3,17.5,12.25
DDOST,34.75,20.5
DDT,0.0,0.0
DDX1,3.0,1.25
DDX3X,367.5,340.25
DDX5,49.75,38.75
DDX6,491.5,281.5
DMXL1,3.75,1.5
DHX8,36.25,23.75
DHX9,34.5,27.0
DDX10,27.5,20.75
DDX11,25.25,18.25
DHX15,41.5,32.25
DECR1,0.5,1.25
DEFB1,0.5,0.0
CFD,0.0,0.0
DFFA,28.5,17.5
DFFB,14.25,11.25
TIMM8A,51.25,30.25
GSDME,0.25,0.25
COCH,0.5,0.0
DGUOK,9.25,10.25
DHCR7,19.0,12.0
DHCR24,363.5,246.75
DHFR,45.5,25.5
DHODH,17.75,14.5
DHPS,53.25,39.25
CYB5R3,18.25,16.25
NQO1,3.0,2.0
DIAPH1,177.5,108.5
DIAPH2,7.0,3.0
SEPTIN1,0.5,0.25
DIO1,0.0,0.0
DKC1,166.0,130.0
DLAT,53.5,21.75
DLD,25.25,14.5
DLG1,27.25,18.0
DLG3,0.25,1.0
DLG4,17.0,10.5
DLST,63.25,58.75
DLSTP1,12.5,11.0
DLX1,151.75,99.75
DLX2,12.0,12.25
DLX4,4.25,1.5
SARDH,0.25,0.25
DNM1,5.0,2.25
DMPK,2.75,2.25
DMRT1,0.0,0.0
DMWD,3.25,4.25
DNA2,34.75,27.0
DNASE1,0.0,0.25
DNASE1L1,4.5,4.75
DNASE1L2,1.0,0.5
DNASE2,0.5,0.25
DYNC1H1,11.25,8.75
DYNC1I2,6.0,6.25
DYNC1LI2,125.0,84.75
DNM2,21.75,12.75
DNMT1,25.0,18.25
TRDMT1,8.5,9.75
DNMT3A,23.75,17.0
DNMT3B,7.0,3.25
DOCK1,0.0,0.0
DOCK2,19.5,22.0
DOCK3,0.0,0.0
DOK1,107.5,68.5
DPAGT1,12.0,6.25
DPH1,102.75,67.5
DPH2,41.0,31.0
DPP4,0.5,0.0
DPYD,8.25,6.0
DPYSL2,229.0,151.0
DPYSL3,2.25,1.5
DR1,134.75,76.75
DRG2,14.0,11.25
ARID3A,93.75,47.25
DRP2,0.0,0.0
ATN1,5.75,1.75
DSC2,0.75,0.75
RCAN1,52.75,56.5
TSC22D3,145.75,255.5
SLC26A2,71.0,52.5
DTNA,29.75,27.5
HBEGF,133.0,415.25
DTYMK,28.25,18.5
ECM2,0.0,0.0
DUSP1,4.5,7.25
DUSP2,85.0,70.25
DUSP3,354.5,214.0
DUSP4,5.25,2.0
DUSP5,22.25,18.75
DUSP6,223.0,89.75
DUSP7,664.25,504.75
DUT,22.75,14.5
DVL1,10.75,14.75
DVL2,6.0,2.5
DVL3,38.5,22.5
DYRK1A,519.25,337.75
TOR1A,57.25,52.75
E2F1,79.0,55.5
E2F2,151.75,85.5
E2F3,284.75,174.75
E2F4,57.0,37.75
E2F5,0.5,0.5
E2F6,62.75,38.75
E4F1,6.0,8.0
GPR183,25.5,36.0
ECE1,11.75,5.75
TYMP,0.0,0.25
ECH1,6.75,4.75
ECHS1,12.75,10.5
ECM1,0.0,0.0
ECT2,22.0,11.5
LPAR1,21.0,17.75
S1PR3,108.5,77.0
PHC1,0.0,0.0
PHC2,160.25,101.25
EEF1A1,138.75,101.75
EEF1A2,0.75,0.75
EEF1B2,4.75,4.25
EEF1D,0.0,0.5
EEF1G,18.5,16.0
EEF2,459.25,352.0
EIF2D,1.0,0.5
EFNA3,11.75,3.75
EFNA4,4.75,2.0
EFNB1,11.5,4.0
CELSR3,3.25,2.25
CELSR2,0.75,0.5
MEGF6,0.5,0.25
MEGF8,18.0,12.0
MEGF9,34.75,18.5
EGR1,206.75,367.75
EGR2,2.75,31.25
EGR3,97.0,902.25
EGR4,0.5,1.75
EHHADH,2.5,1.0
EIF1AX,92.25,60.5
EIF2S1,176.5,130.0
EIF2B1,29.25,23.0
EIF2S3,93.0,96.5
EIF4A1,416.5,310.25
EIF4A2,346.0,231.5
EIF4B,263.75,181.75
EIF4E,31.75,18.25
EIF4EBP1,77.0,40.0
EIF4EBP2,274.5,162.0
EIF4G1,57.0,47.5
EIF4G2,212.25,156.5
EIF5,672.0,456.75
EIF5A,164.75,119.0
CELA1,0.25,0.0
ELANE,0.25,0.0
SERPINB1,100.75,68.25
ELAVL1,204.75,132.5
ELAVL3,0.0,0.25
ELF1,408.75,283.75
ELF2,78.5,54.5
ELF4,287.5,135.5
ELK1,76.25,50.25
ELK3,36.75,26.75
ELK4,154.0,89.75
EMD,1.5,3.0
MARK2,97.25,58.5
EMP1,22.75,32.5
EMP2,7.5,3.75
EMP3,0.75,1.25
CTTN,0.75,0.0
ENDOG,1.0,1.0
ENG,20.25,42.25
ENO1,203.0,165.5
ENO2,1.25,0.0
ENO3,0.5,0.0
ENSA,110.5,86.75
SLC29A1,20.5,14.5
EP300,80.75,50.0
EPAS1,1.0,0.5
EPB41,55.75,38.25
EPB41L1,0.5,0.5
EPB41L2,9.5,9.5
STOM,189.75,121.0
EPHA1,2.0,0.25
EPHB3,0.75,0.75
EPHB4,1.75,1.5
EPHB6,0.0,0.0
EPHX1,0.75,0.0
STX2,10.0,6.25
CLN8,1.0,0.0
EPOR,59.25,37.75
EPRS1,5.75,3.75
EPS8,2.5,1.0
EPS15,18.25,12.75
NR2F6,40.5,25.75
ERBB2,0.25,0.0
ERCC1,48.5,42.5
ERCC2,4.0,2.0
ERCC3,11.75,6.25
ERCC4,23.25,14.75
ERCC5,3.75,3.75
ERCC6,9.0,6.0
ERF,113.5,69.75
ERG,0.25,0.0
ERH,58.25,41.75
ERN1,11.75,7.75
ERV3-1,3.0,2.25
FBL,7.5,7.25
ESD,2.0,1.5
ESR2,0.5,0.0
ESRRA,53.75,33.5
ETF1,304.25,292.5
ETFA,7.0,3.75
ETFB,0.25,0.5
ETFDH,1.75,0.0
ETS1,5.75,3.0
ETS2,459.25,321.5
ETV1,0.75,0.25
ETV2,0.0,0.0
ETV3,7.5,7.75
ETV4,2.25,1.0
ETV5,70.25,27.25
ETV6,588.75,370.5
EVI2A,92.75,81.0
EVI2B,52.0,27.5
EWSR1,29.0,23.0
EXT1,0.25,0.25
EXT2,8.25,6.25
EXTL2,9.75,6.0
EXTL3,58.0,36.5
EYA3,107.0,62.25
EZH1,19.75,12.75
EZH2,8.25,11.5
F2R,9.5,4.25
F3,60.5,43.25
F8,1.75,0.0
F12,0.0,0.0
F13A1,2.75,1.5
FAAH,0.0,0.75
FABP3,0.0,0.0
FABP5,0.5,0.0
FANCA,10.0,6.5
FANCC,21.0,14.0
FANCD2,5.5,5.75
FANCE,25.0,24.5
ACSL1,124.0,89.25
ACSL3,28.75,23.75
ACSL4,87.5,84.25
FAH,0.75,1.0
PTK2B,71.25,71.0
BPTF,23.0,18.25
FANCB,0.0,0.25
FANCF,37.5,18.5
FANCG,10.75,5.0
FAP,0.0,0.0
FARSA,33.0,28.0
FASN,35.75,18.25
FAT2,0.0,0.0
FAU,10.0,8.75
FBN1,1.25,2.25
FBP1,0.5,0.5
FCER1A,0.25,0.25
MS4A2,3.5,2.0
FCER1G,9.0,6.0
FCER2,1.25,2.25
FCGR1A,2.5,3.5
FCGR1B,4.25,6.25
FCGR2A,19.5,25.75
FCGR2B,0.0,0.0
FCGRT,0.0,0.5
FKTN,24.25,17.5
FDFT1,48.5,27.5
FDPS,0.0,0.25
FDX1,15.25,13.5
FDXR,5.75,4.5
FECH,14.0,13.75
FEN1,231.5,163.25
GPC4,0.5,0.0
FER,23.75,14.0
FES,4.25,2.0
FGD1,0.0,0.0
FGF2,0.0,0.0
FGF11,2.75,1.25
FGFR1,3.0,1.0
FGFR3,0.75,0.0
FGFR4,0.0,0.0
FGR,10.5,2.5
FH,2.0,1.0
FHL1,6.0,4.5
FHL3,17.25,13.0
FKBP1A,60.0,44.25
FKBP1AP1,0.5,0.5
FKBP2,2.75,1.5
FKBP3,6.25,4.75
FKBP4,55.75,41.5
FKBP5,172.25,85.75
FOXD4,0.25,1.25
FOXJ1,0.5,0.25
FOXM1,37.0,30.0
FOXD2,10.75,7.75
FOXO1,0.75,0.25
FOXO3,66.5,42.5
FOXO3B,34.0,25.75
FLI1,173.0,123.0
FLII,3.75,2.25
MLANA,0.0,0.0
FLNA,9.0,9.5
FLNB,15.5,16.75
FLOT2,19.0,9.25
FLT1,0.25,0.25
FLT3,508.75,417.75
FLT3LG,1.0,1.75
FMO4,0.0,0.0
FMO5,1.0,0.75
FMOD,0.0,1.25
FMR1,15.5,15.0
FN1,0.0,0.0
