PeakID (cmd=annotatePeaks.pl M6_1_125_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_125_R1_peak_1800	chr5	6378196	6378793	+	1474	NA	promoter-TSS (MED10)	NA	32	MED10								
M6_1_125_R1_peak_1519	chr22	26672525	26673177	+	1441	NA	exon (MIAT, exon 4 of 4)	NA	15369	MIAT								
M6_1_125_R1_peak_1217	chr19	58305033	58305564	+	1413	NA	Intergenic	NA	-21744	ZSCAN22								
M6_1_125_R1_peak_2138	chr8	11284113	11284891	+	1405	NA	promoter-TSS (MTMR9)	NA	11	MTMR9								
M6_1_125_R1_peak_2141	chr8	22604411	22605126	+	1401	NA	promoter-TSS (CCAR2)	NA	136	CCAR2								
M6_1_125_R1_peak_898	chr17	7484211	7484943	+	1382	NA	promoter-TSS (ZBTB4)	NA	198	POLR2A								
M6_1_125_R1_peak_1909	chr5	181223005	181223956	+	1362	NA	promoter-TSS (MIR4638)	NA	189	TRIM41								
M6_1_125_R1_peak_1202	chr19	55005909	55006369	+	1308	NA	Intergenic	NA	32125	GP6								
M6_1_125_R1_peak_505	chr12	55829438	55829898	+	1272	NA	promoter-TSS (DNAJC14)	NA	-32	DNAJC14								
M6_1_125_R1_peak_1280	chr2	73737215	73737714	+	1248	NA	promoter-TSS (TPRKB)	NA	-129	TPRKB								
M6_1_125_R1_peak_1184	chr19	49580378	49580861	+	1247	NA	promoter-TSS (PRRG2)	NA	-47	NOSIP								
M6_1_125_R1_peak_583	chr13	28658841	28659467	+	1233	NA	exon (POMP, exon 1 of 6)	NA	150	POMP								
M6_1_125_R1_peak_1150	chr19	41327314	41327996	+	1232	NA	Intergenic	NA	17186	CCDC97								
M6_1_125_R1_peak_1665	chr3	157174703	157175397	+	1232	NA	exon (LOC101928236, exon 2 of 4)	NA	653	LOC101928236								
M6_1_125_R1_peak_352	chr11	61429735	61430341	+	1228	NA	promoter-TSS (SDHAF2)	NA	-46	CPSF7								
M6_1_125_R1_peak_483	chr12	49018584	49019150	+	1228	NA	promoter-TSS (PRKAG1)	NA	-119	PRKAG1								
M6_1_125_R1_peak_319	chr11	8688768	8689204	+	1220	NA	exon (RPL27A, exon 5 of 5)	NA	3547	SNORA45								
M6_1_125_R1_peak_1212	chr19	55674945	55675406	+	1209	NA	promoter-TSS (EPN1)	NA	-1450	EPN1								
M6_1_125_R1_peak_988	chr17	77088453	77088882	+	1192	NA	promoter-TSS (SEC14L1)	NA	24	LINC00338								
M6_1_125_R1_peak_450	chr12	6970563	6971122	+	1153	NA	promoter-TSS (PHB2)	NA	61	EMG1								
M6_1_125_R1_peak_674	chr14	93206808	93207392	+	1152	NA	promoter-TSS (C14orf142)	NA	14	C14orf142								
M6_1_125_R1_peak_1418	chr20	5950279	5950792	+	1136	NA	promoter-TSS (MCM8)	NA	-117	MCM8								
M6_1_125_R1_peak_234	chr10	18651480	18651802	+	1118	NA	promoter-TSS (NSUN6)	NA	-20	NSUN6								
M6_1_125_R1_peak_2228	chr9	37784830	37785347	+	1114	NA	promoter-TSS (EXOSC3)	NA	4	EXOSC3								
M6_1_125_R1_peak_1954	chr6	31958852	31959361	+	1110	NA	promoter-TSS (SKIV2L)	NA	-16	SKIV2L								
M6_1_125_R1_peak_822	chr16	30354985	30355822	+	1110	NA	promoter-TSS (CD2BP2)	NA	26	LOC101928707								
M6_1_125_R1_peak_739	chr15	74540822	74541369	+	1081	NA	promoter-TSS (ARID3B)	NA	-112	ARID3B								
M6_1_125_R1_peak_1803	chr5	16465420	16465981	+	1077	NA	promoter-TSS (ZNF622)	NA	85	ZNF622								
M6_1_125_R1_peak_546	chr12	105236022	105236562	+	1072	NA	promoter-TSS (APPL2)	NA	-143	APPL2								
M6_1_125_R1_peak_999	chr17	82450524	82451065	+	1070	NA	promoter-TSS (C17orf62)	NA	37	C17orf62								
M6_1_125_R1_peak_1882	chr5	149345161	149345702	+	1059	NA	promoter-TSS (GRPEL2)	NA	17	GRPEL2								
M6_1_125_R1_peak_570	chr12	124913736	124915116	+	1044	NA	intron (UBC, intron 1 of 1)	NA	615	UBC								
M6_1_125_R1_peak_551	chr12	110449719	110450584	+	1044	NA	intron (ARPC3, intron 1 of 6)	NA	260	ARPC3								
M6_1_125_R1_peak_2287	chr9	134164617	134165151	+	1040	NA	promoter-TSS (RNU6ATAC)	NA	-320	RNU6ATAC								
M6_1_125_R1_peak_1386	chr2	233251270	233251829	+	1040	NA	promoter-TSS (ATG16L1)	NA	-85	ATG16L1								
M6_1_125_R1_peak_2025	chr6	151451977	151452588	+	1036	NA	promoter-TSS (RMND1)	NA	24	C6orf211								
M6_1_125_R1_peak_962	chr17	58352069	58352507	+	1036	NA	promoter-TSS (SUPT4H1)	NA	-50	SUPT4H1								
M6_1_125_R1_peak_289	chr10	102393918	102394555	+	1033	NA	promoter-TSS (NFKB2)	NA	-1360	NFKB2								
M6_1_125_R1_peak_2154	chr8	30743713	30744557	+	1030	NA	promoter-TSS (UBXN8)	NA	-30	UBXN8								
M6_1_125_R1_peak_1743	chr4	70688074	70688688	+	1017	NA	promoter-TSS (UTP3)	NA	-98	UTP3								
M6_1_125_R1_peak_1444	chr20	44885297	44886089	+	998	NA	promoter-TSS (YWHAB)	NA	94	YWHAB								
M6_1_125_R1_peak_507	chr12	56118016	56118513	+	981	NA	promoter-TSS (ZC3H10)	NA	18	ZC3H10								
M6_1_125_R1_peak_689	chr15	34101717	34102180	+	980	NA	promoter-TSS (EMC7)	NA	-96	EMC7								
M6_1_125_R1_peak_1938	chr6	26596567	26597119	+	966	NA	promoter-TSS (ABT1)	NA	-100	ABT1								
M6_1_125_R1_peak_616	chr13	113296697	113297296	+	960	NA	promoter-TSS (LAMP1)	NA	-158	LAMP1								
M6_1_125_R1_peak_1307	chr2	112584210	112584834	+	941	NA	promoter-TSS (LOC101927330)	NA	-71	LOC101927330								
M6_1_125_R1_peak_457	chr12	11798783	11799240	+	932	NA	intron (ETV6, intron 2 of 7)	NA	111495	LOC101928186								
M6_1_125_R1_peak_1741	chr4	55853414	55853952	+	930	NA	promoter-TSS (EXOC1)	NA	35	EXOC1								
M6_1_125_R1_peak_1538	chr22	37484450	37484866	+	927	NA	intron (MFNG, intron 1 of 7)	NA	1782	MFNG								
M6_1_125_R1_peak_1343	chr2	190319738	190320154	+	918	NA	promoter-TSS (HIBCH)	NA	99	HIBCH								
M6_1_125_R1_peak_821	chr16	30075568	30076145	+	912	NA	promoter-TSS (PPP4C)	NA	-208	PPP4C								
M6_1_125_R1_peak_1002	chr18	813231	813671	+	901	NA	Intergenic	NA	-1180	YES1								
M6_1_125_R1_peak_1880	chr5	148383643	148384266	+	891	NA	promoter-TSS (LOC102546294)	NA	8	FBXO38								
M6_1_125_R1_peak_1292	chr2	96305245	96305921	+	884	NA	promoter-TSS (SNRNP200)	NA	-14	SNRNP200								
M6_1_125_R1_peak_1361	chr2	216108939	216109691	+	853	NA	promoter-TSS (XRCC5)	NA	18	XRCC5								
M6_1_125_R1_peak_826	chr16	31032985	31033658	+	850	NA	promoter-TSS (STX4)	NA	-170	STX4								
M6_1_125_R1_peak_928	chr17	35578460	35578799	+	845	NA	promoter-TSS (PEX12)	NA	8	PEX12								
M6_1_125_R1_peak_1429	chr20	31674905	31675679	+	840	NA	intron (BCL2L1, intron 2 of 2)	NA	37410	COX4I2								
M6_1_125_R1_peak_230	chr10	15860112	15860771	+	833	NA	promoter-TSS (FAM188A)	NA	66	FAM188A								
M6_1_125_R1_peak_502	chr12	54188763	54189215	+	832	NA	promoter-TSS (SMUG1)	NA	5	SMUG1								
M6_1_125_R1_peak_1967	chr6	36885732	36886110	+	830	NA	promoter-TSS (C6orf89)	NA	57	C6orf89								
M6_1_125_R1_peak_2181	chr8	103415096	103415516	+	827	NA	promoter-TSS (SLC25A32)	NA	29	SLC25A32								
M6_1_125_R1_peak_1188	chr19	50376257	50376573	+	822	NA	promoter-TSS (NR1H2)	NA	-8	NR1H2								
M6_1_125_R1_peak_2018	chr6	142147039	142147475	+	818	NA	promoter-TSS (VTA1)	NA	95	VTA1								
M6_1_125_R1_peak_1309	chr2	112811915	112812220	+	809	NA	Intergenic	NA	24712	IL1B								
M6_1_125_R1_peak_1940	chr6	30066708	30067468	+	800	NA	promoter-TSS (PPP1R11)	NA	394	PPP1R11								
M6_1_125_R1_peak_427	chr11	124622583	124623094	+	793	NA	promoter-TSS (TBRG1)	NA	-8	TBRG1								
M6_1_125_R1_peak_1578	chr3	19946807	19947379	+	790	NA	promoter-TSS (RAB5A)	NA	13	RAB5A								
M6_1_125_R1_peak_692	chr15	34342954	34343429	+	790	NA	promoter-TSS (NUTM1)	NA	-30	NOP10								
M6_1_125_R1_peak_843	chr16	67191717	67192376	+	790	NA	promoter-TSS (E2F4)	NA	-119	E2F4								
M6_1_125_R1_peak_1647	chr3	129160926	129161762	+	786	NA	promoter-TSS (ISY1-RAB43)	NA	-114	ISY1-RAB43								
M6_1_125_R1_peak_1527	chr22	31630267	31630721	+	786	NA	promoter-TSS (PISD)	NA	8008	PISD								
M6_1_125_R1_peak_2064	chr7	32891334	32892326	+	784	NA	promoter-TSS (KBTBD2)	NA	26	KBTBD2								
M6_1_125_R1_peak_363	chr11	64269665	64270564	+	775	NA	TTS (PLCB3)	NA	14590	BAD								
M6_1_125_R1_peak_1696	chr3	194255297	194255787	+	769	NA	intron (RP11-513G11.3, intron 3 of 3)	NA	7894	RP11-513G11.3								
M6_1_125_R1_peak_168	chr1	165768757	165769058	+	769	NA	promoter-TSS (RP11-466F5.8)	NA	15	TMCO1								
M6_1_125_R1_peak_105	chr1	100132804	100133329	+	761	NA	promoter-TSS (TRMT13)	NA	-84	TRMT13								
M6_1_125_R1_peak_1589	chr3	43389662	43390047	+	760	NA	intron (ANO10, intron 11 of 12)	NA	-37892	SNRK-AS1								
M6_1_125_R1_peak_1233	chr2	10689764	10690127	+	760	NA	promoter-TSS (NOL10)	NA	42	NOL10								
M6_1_125_R1_peak_1408	chr20	2664097	2664395	+	751	NA	promoter-TSS (IDH3B)	NA	-27	IDH3B								
M6_1_125_R1_peak_40	chr1	27321861	27322452	+	737	NA	promoter-TSS (TMEM222)	NA	11	TMEM222								
M6_1_125_R1_peak_2162	chr8	42843222	42843622	+	736	NA	promoter-TSS (THAP1)	NA	-91	THAP1								
M6_1_125_R1_peak_1794	chr5	271313	271768	+	736	NA	promoter-TSS (PDCD6)	NA	-16	LOC102467073								
M6_1_125_R1_peak_2200	chr8	143281481	143282012	+	729	NA	promoter-TSS (LOC100507316)	NA	-70	LOC100507316								
M6_1_125_R1_peak_829	chr16	31074149	31074580	+	726	NA	promoter-TSS (ZNF668)	NA	104	ZNF646								
M6_1_125_R1_peak_2276	chr9	130579283	130579823	+	716	NA	promoter-TSS (FUBP3)	NA	-20	FUBP3								
M6_1_125_R1_peak_656	chr14	74713016	74713256	+	716	NA	promoter-TSS (FCF1)	NA	-32	AREL1								
M6_1_125_R1_peak_155	chr1	160031773	160032233	+	699	NA	promoter-TSS (PIGM)	NA	-10	PIGM								
M6_1_125_R1_peak_1227	chr2	3574999	3575472	+	699	NA	promoter-TSS (RPS7)	NA	-28	RPS7								
M6_1_125_R1_peak_910	chr17	18314898	18315402	+	699	NA	promoter-TSS (TOP3A)	NA	-130	SMCR8								
M6_1_125_R1_peak_1415	chr20	5112936	5113272	+	699	NA	promoter-TSS (TMEM230)	NA	-17	TMEM230								
M6_1_125_R1_peak_2071	chr7	44044426	44044779	+	699	NA	promoter-TSS (DBNL)	NA	-38	DBNL								
M6_1_125_R1_peak_1815	chr5	40834986	40835426	+	696	NA	promoter-TSS (RPL37)	NA	79	RPL37								
M6_1_125_R1_peak_2118	chr7	135977185	135977582	+	685	NA	promoter-TSS (MTPN)	NA	73	LUZP6								
M6_1_125_R1_peak_1368	chr2	218406273	218406905	+	684	NA	TTS (CTDSP1)	NA	3943	MIR26B								
M6_1_125_R1_peak_1449	chr20	46364091	46364589	+	682	NA	intron (SLC35C2, intron 1 of 10)	NA	118	SLC35C2								
M6_1_125_R1_peak_644	chr14	67359757	67360082	+	682	NA	promoter-TSS (EIF2S1)	NA	84	ATP6V1D								
M6_1_125_R1_peak_541	chr12	98619046	98619328	+	681	NA	intron (IKBIP, intron 1 of 1)	NA	19552	SNORA53								
M6_1_125_R1_peak_1622	chr3	101573890	101574308	+	675	NA	promoter-TSS (PCNP)	NA	-99	PCNP								
M6_1_125_R1_peak_2172	chr8	86508636	86508915	+	673	NA	promoter-TSS (RMDN1)	NA	5563	RMDN1								
M6_1_125_R1_peak_937	chr17	40818693	40819368	+	668	NA	promoter-TSS (TMEM99)	NA	-155	TMEM99								
M6_1_125_R1_peak_402	chr11	77994554	77995067	+	664	NA	promoter-TSS (INTS4)	NA	-139	INTS4								
M6_1_125_R1_peak_1373	chr2	219597658	219598210	+	660	NA	promoter-TSS (STK11IP)	NA	60	STK11IP								
M6_1_125_R1_peak_775	chr16	1971826	1972115	+	660	NA	promoter-TSS (TBL3)	NA	-93	TBL3								
M6_1_125_R1_peak_2041	chr6	170584319	170584863	+	656	NA	promoter-TSS (PDCD2)	NA	101	PDCD2								
M6_1_125_R1_peak_2036	chr6	166342396	166342728	+	652	NA	promoter-TSS (LOC100289495)	NA	-59	SFT2D1								
M6_1_125_R1_peak_2009	chr6	133952906	133953355	+	647	NA	promoter-TSS (TBPL1)	NA	-33	TBPL1								
M6_1_125_R1_peak_1872	chr5	140691207	140691700	+	647	NA	promoter-TSS (HARS2)	NA	27	HARS2								
M6_1_125_R1_peak_267	chr10	72297200	72297588	+	647	NA	Intergenic	NA	23475	DDIT4								
M6_1_125_R1_peak_1123	chr19	19663521	19664085	+	642	NA	promoter-TSS (ATP13A1)	NA	-100	ATP13A1								
M6_1_125_R1_peak_1889	chr5	159263055	159263415	+	642	NA	exon (UBLCP1, exon 1 of 11)	NA	154	UBLCP1								
M6_1_125_R1_peak_1316	chr2	117814444	117814835	+	639	NA	promoter-TSS (DDX18)	NA	-40	DDX18								
M6_1_125_R1_peak_1137	chr19	38317106	38317425	+	631	NA	Intergenic	NA	-1516	YIF1B								
M6_1_125_R1_peak_1276	chr2	69893802	69894240	+	630	NA	promoter-TSS (SNRNP27)	NA	78	SNRNP27								
M6_1_125_R1_peak_654	chr14	73886516	73887062	+	630	NA	exon (ZNF410, exon 1 of 11)	NA	174	ZNF410								
M6_1_125_R1_peak_1479	chr21	28992609	28993290	+	630	NA	promoter-TSS (LTN1)	NA	7	LTN1								
M6_1_125_R1_peak_192	chr1	209784456	209784898	+	630	NA	promoter-TSS (C1orf74)	NA	-132	C1orf74								
M6_1_125_R1_peak_1565	chr3	9362811	9363210	+	630	NA	promoter-TSS (THUMPD3)	NA	-38	THUMPD3								
M6_1_125_R1_peak_1587	chr3	41962049	41962571	+	628	NA	promoter-TSS (ULK4)	NA	189	ULK4								
M6_1_125_R1_peak_1682	chr3	180601843	180602584	+	628	NA	promoter-TSS (TTC14)	NA	83	TTC14								
M6_1_125_R1_peak_1893	chr5	168486234	168486690	+	628	NA	promoter-TSS (RARS)	NA	-7780	RARS								
M6_1_125_R1_peak_524	chr12	71839451	71839955	+	624	NA	promoter-TSS (TBC1D15)	NA	11280	MRS2P2								
M6_1_125_R1_peak_2077	chr7	45111544	45112027	+	622	NA	promoter-TSS (TBRG4)	NA	-38	TBRG4								
M6_1_125_R1_peak_119	chr1	117929531	117929883	+	613	NA	promoter-TSS (GDAP2)	NA	-28	GDAP2								
M6_1_125_R1_peak_276	chr10	88986368	88986925	+	610	NA	intron (FAS, intron 1 of 9)	NA	-3885	FAS								
M6_1_125_R1_peak_2261	chr9	120793146	120793619	+	610	NA	promoter-TSS (FBXW2)	NA	40	FBXW2								
M6_1_125_R1_peak_774	chr16	1420658	1421239	+	610	NA	promoter-TSS (C16orf91)	NA	-148	C16orf91								
M6_1_125_R1_peak_481	chr12	48716650	48717078	+	608	NA	exon (CCNT1, exon 1 of 8)	NA	134	CCNT1								
M6_1_125_R1_peak_6	chr1	2391531	2391962	+	600	NA	promoter-TSS (MORN1)	NA	-192	MORN1								
M6_1_125_R1_peak_1256	chr2	45611144	45611545	+	598	NA	promoter-TSS (SRBD1)	NA	-49	SRBD1								
M6_1_125_R1_peak_1850	chr5	109656886	109657224	+	597	NA	Intergenic	NA	-32872	MAN2A1								
M6_1_125_R1_peak_1567	chr3	9649199	9649707	+	595	NA	promoter-TSS (MTMR14)	NA	-7	MTMR14								
M6_1_125_R1_peak_341	chr11	47578713	47579210	+	595	NA	promoter-TSS (KBTBD4)	NA	9	KBTBD4								
M6_1_125_R1_peak_1461	chr20	56468414	56468853	+	594	NA	promoter-TSS (RTFDC1)	NA	48	RTFDC1								
M6_1_125_R1_peak_2112	chr7	117792205	117792614	+	589	NA	exon (CTTNBP2, exon 4 of 23)	NA	79582	CTTNBP2								
M6_1_125_R1_peak_1871	chr5	140664400	140664935	+	586	NA	promoter-TSS (WDR55)	NA	-132	WDR55								
M6_1_125_R1_peak_1736	chr4	41934904	41935514	+	581	NA	promoter-TSS (TMEM33)	NA	80	TMEM33								
M6_1_125_R1_peak_877	chr16	89240838	89241492	+	580	NA	Intergenic	NA	23455	ZNF778								
M6_1_125_R1_peak_2169	chr8	66428767	66429188	+	580	NA	promoter-TSS (RP11-346I3.4)	NA	0	RP11-346I3.4								
M6_1_125_R1_peak_1812	chr5	37370925	37371303	+	579	NA	promoter-TSS (NUP155)	NA	12	NUP155								
M6_1_125_R1_peak_153	chr1	156741014	156741458	+	576	NA	promoter-TSS (MRPL24)	NA	-105	MRPL24								
M6_1_125_R1_peak_1363	chr2	218216881	218217249	+	566	NA	promoter-TSS (ARPC2)	NA	28	LOC101928487								
M6_1_125_R1_peak_108	chr1	109075908	109076225	+	564	NA	promoter-TSS (TAF13)	NA	-64	TAF13								
M6_1_125_R1_peak_1766	chr4	99894371	99894645	+	563	NA	promoter-TSS (LAMTOR3)	NA	38	LAMTOR3								
M6_1_125_R1_peak_217	chr10	1056564	1056904	+	563	NA	promoter-TSS (WDR37)	NA	-102	WDR37								
M6_1_125_R1_peak_1534	chr22	36528966	36529643	+	563	NA	promoter-TSS (EIF3D)	NA	-74	EIF3D								
M6_1_125_R1_peak_848	chr16	68079622	68080262	+	563	NA	TTS (DUS2)	NA	-5424	NFATC3								
M6_1_125_R1_peak_1945	chr6	30682546	30683095	+	563	NA	intron (PPP1R18, intron 1 of 2)	NA	5075	PPP1R18								
M6_1_125_R1_peak_1333	chr2	148020650	148021110	+	554	NA	promoter-TSS (ORC4)	NA	-131	MBD5								
M6_1_125_R1_peak_150	chr1	156020807	156021066	+	551	NA	promoter-TSS (SSR2)	NA	31	SSR2								
M6_1_125_R1_peak_919	chr17	28357446	28357797	+	551	NA	promoter-TSS (POLDIP2)	NA	-41	POLDIP2								
M6_1_125_R1_peak_1943	chr6	30516114	30516831	+	551	NA	Intergenic	NA	27066	HLA-E								
M6_1_125_R1_peak_2216	chr9	33264727	33265098	+	547	NA	promoter-TSS (BAG1)	NA	33	CHMP5								
M6_1_125_R1_peak_67	chr1	40059456	40059846	+	547	NA	intron (CAP1, intron 2 of 12)	NA	19068	CAP1								
M6_1_125_R1_peak_737	chr15	74461043	74461384	+	547	NA	promoter-TSS (UBL7-AS1)	NA	-25	UBL7								
M6_1_125_R1_peak_58	chr1	36088710	36089051	+	543	NA	promoter-TSS (ADPRHL2)	NA	28	ADPRHL2								
M6_1_125_R1_peak_905	chr17	10697369	10697753	+	540	NA	promoter-TSS (ADPRM)	NA	-29	SCO1								
M6_1_125_R1_peak_1139	chr19	38618949	38619345	+	540	NA	promoter-TSS (EIF3K)	NA	65	EIF3K								
M6_1_125_R1_peak_2291	chr9	136511883	136512238	+	540	NA	intron (NOTCH1, intron 15 of 33)	NA	7566	MIR4673								
M6_1_125_R1_peak_922	chr17	28982344	28982675	+	540	NA	intron (SEZ6, intron 1 of 16)	NA	23554	SEZ6								
M6_1_125_R1_peak_1543	chr22	39532616	39533087	+	538	NA	promoter-TSS (RPS19BP1)	NA	4	RPS19BP1								
M6_1_125_R1_peak_2179	chr8	102653638	102654423	+	537	NA	promoter-TSS (KLF10)	NA	1872	KLF10								
M6_1_125_R1_peak_4	chr1	2255374	2256370	+	537	NA	intron (SKI, intron 1 of 6)	NA	15370	SKI								
M6_1_125_R1_peak_1112	chr19	18318245	18318569	+	537	NA	intron (LSM4, intron 1 of 4)	NA	4784	LSM4								
M6_1_125_R1_peak_555	chr12	112409428	112409945	+	532	NA	promoter-TSS (RPL6)	NA	-408	RPL6								
M6_1_125_R1_peak_2076	chr7	44885338	44885989	+	532	NA	promoter-TSS (PURB)	NA	-278	PURB								
M6_1_125_R1_peak_27	chr1	23790992	23791273	+	532	NA	promoter-TSS (LYPLA2)	NA	-24	LYPLA2								
M6_1_125_R1_peak_446	chr12	6723832	6724312	+	531	NA	promoter-TSS (COPS7A)	NA	-7	COPS7A								
M6_1_125_R1_peak_1488	chr21	37221268	37221629	+	530	NA	exon (DSCR9, exon 3 of 3)	NA	12945	DSCR9								
M6_1_125_R1_peak_1884	chr5	150449536	150450207	+	530	NA	promoter-TSS (RPS14)	NA	-115	RPS14								
M6_1_125_R1_peak_1799	chr5	1633893	1634172	+	530	NA	promoter-TSS (LOC728613)	NA	-27	LOC728613								
M6_1_125_R1_peak_2126	chr7	148838904	148839285	+	524	NA	intron (EZH2, intron 3 of 20)	NA	45255	EZH2								
M6_1_125_R1_peak_1352	chr2	200888938	200889560	+	524	NA	promoter-TSS (NIF3L1)	NA	-123	PPIL3								
M6_1_125_R1_peak_1232	chr2	9843248	9843922	+	524	NA	intron (TAF1B, intron 1 of 14)	NA	143	TAF1B								
M6_1_125_R1_peak_1019	chr18	47150225	47150643	+	524	NA	promoter-TSS (HDHD2)	NA	66	HDHD2								
M6_1_125_R1_peak_1178	chr19	47256247	47257386	+	523	NA	promoter-TSS (CCDC9)	NA	-847	CCDC9								
M6_1_125_R1_peak_2090	chr7	91880513	91881006	+	523	NA	promoter-TSS (MTERF)	NA	-57	MTERF								
M6_1_125_R1_peak_1780	chr4	152536041	152536490	+	520	NA	promoter-TSS (DKFZP434I0714)	NA	1	DKFZP434I0714								
M6_1_125_R1_peak_356	chr11	62591482	62591836	+	514	NA	promoter-TSS (TUT1)	NA	-22	TUT1								
M6_1_125_R1_peak_23	chr1	20507995	20508428	+	514	NA	promoter-TSS (MUL1)	NA	-30	MUL1								
M6_1_125_R1_peak_82	chr1	51433686	51433937	+	514	NA	intron (EPS15, intron 4 of 16)	NA	85512	EPS15								
M6_1_125_R1_peak_377	chr11	65574197	65574690	+	514	NA	TTS (FAM89B)	NA	-1601	EHBP1L1								
M6_1_125_R1_peak_187	chr1	203861388	203861804	+	514	NA	promoter-TSS (SNRPE)	NA	-16	SNRPE								
M6_1_125_R1_peak_1296	chr2	99180897	99181337	+	514	NA	promoter-TSS (MITD1)	NA	38	MRPL30								
M6_1_125_R1_peak_1313	chr2	113583932	113584193	+	511	NA	promoter-TSS (MIR1302-3)	NA	409	WASH2P								
M6_1_125_R1_peak_1796	chr5	443000	443552	+	511	NA	promoter-TSS (C5orf55)	NA	-133	C5orf55								
M6_1_125_R1_peak_1403	chr20	1393050	1393376	+	508	NA	promoter-TSS (MIR6869)	NA	-41	FKBP1A								
M6_1_125_R1_peak_1949	chr6	31547331	31547739	+	507	NA	promoter-TSS (ATP6V1G2)	NA	-41	NFKBIL1								
M6_1_125_R1_peak_885	chr17	2041787	2042195	+	507	NA	promoter-TSS (OVCA2)	NA	8	OVCA2								
M6_1_125_R1_peak_1657	chr3	141498898	141499140	+	506	NA	intron (RASA2, intron 1 of 23)	NA	11970	RASA2								
M6_1_125_R1_peak_1864	chr5	134367081	134367350	+	506	NA	promoter-TSS (CDKL3)	NA	146	CDKL3								
M6_1_125_R1_peak_1356	chr2	206159303	206159706	+	506	NA	promoter-TSS (NDUFS1)	NA	15	NDUFS1								
M6_1_125_R1_peak_2188	chr8	124538921	124539356	+	500	NA	promoter-TSS (TATDN1)	NA	36	NDUFB9								
M6_1_125_R1_peak_1377	chr2	229921249	229921639	+	495	NA	promoter-TSS (TRIP12)	NA	565	TRIP12								
M6_1_125_R1_peak_711	chr15	55196748	55197175	+	494	NA	promoter-TSS (RSL24D1)	NA	72	RSL24D1								
M6_1_125_R1_peak_64	chr1	38012445	38012808	+	494	NA	promoter-TSS (UTP11L)	NA	-86	UTP11L								
M6_1_125_R1_peak_262	chr10	68955821	68956395	+	487	NA	promoter-TSS (DDX21)	NA	-15	DDX21								
M6_1_125_R1_peak_804	chr16	11915961	11916324	+	485	NA	promoter-TSS (GSPT1)	NA	-945	GSPT1								
M6_1_125_R1_peak_1709	chr3	196632110	196632927	+	485	NA	exon (LINC01063, exon 1 of 2)	NA	120	LINC01063								
M6_1_125_R1_peak_1406	chr20	2470543	2471026	+	484	NA	promoter-TSS (SNRPB)	NA	69	SNRPB								
M6_1_125_R1_peak_586	chr13	33367906	33368190	+	483	NA	intron (STARD13, intron 2 of 14)	NA	17475	LOC102723425								
M6_1_125_R1_peak_1133	chr19	35803657	35804047	+	481	NA	intron (PRODH2, intron 8 of 10)	NA	-5943	AC002398.5								
M6_1_125_R1_peak_2027	chr6	153002662	153003024	+	481	NA	promoter-TSS (MTRF1L)	NA	-59	MTRF1L								
M6_1_125_R1_peak_844	chr16	67226949	67227241	+	481	NA	promoter-TSS (LRRC29)	NA	-18	TMEM208								
