PeakID (cmd=annotatePeaks.pl D0_1_7_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D0_1_7_R1_peak_1346	chr1	180227441	180241395	+	3239	NA	intron (LHX4, intron 1 of 5)	NA	4120	LHX4								
D0_1_7_R1_peak_4717	chr14	74236361	74247799	+	3220	NA	intron (VSX2, intron 2 of 4)	NA	2608	VSX2								
D0_1_7_R1_peak_13768	chr7	23465022	23475762	+	3186	NA	promoter-TSS (IGF2BP3)	NA	99	IGF2BP3								
D0_1_7_R1_peak_368	chr1	18623608	18655016	+	3170	NA	intron (PAX7, intron 4 of 7)	NA	8306	PAX7								
D0_1_7_R1_peak_14368	chr7	156996112	157027275	+	3165	NA	intron (MNX1-AS1, intron 1 of 1)	NA	836	MNX1-AS1								
D0_1_7_R1_peak_1096	chr1	143496668	143498952	+	3150	NA	Intergenic	NA	-11508	LOC101927452								
D0_1_7_R1_peak_800	chr1	46482050	46496377	+	3149	NA	promoter-TSS (DMBX1)	NA	-17783	DMBX1								
D0_1_7_R1_peak_10131	chr21	36687215	36714060	+	3136	NA	intron (SIM2, intron 1 of 10)	NA	946	SIM2								
D0_1_7_R1_peak_11225	chr4	1398641	1414420	+	3134	NA	Intergenic	NA	14978	CRIPAK								
D0_1_7_R1_peak_2811	chr11	31794331	31830078	+	3133	NA	promoter-TSS (PAX6)	NA	-4362	DKFZp686K1684								
D0_1_7_R1_peak_14750	chr8	54451834	54472494	+	3131	NA	Intergenic	NA	4229	SOX17								
D0_1_7_R1_peak_15725	chr9	132574927	132594195	+	3103	NA	intron (BARHL1, intron 1 of 2)	NA	1955	BARHL1								
D0_1_7_R1_peak_2268	chr10	117128320	117144606	+	3096	NA	intron (VAX1, intron 2 of 2)	NA	1838	VAX1								
D0_1_7_R1_peak_8167	chr19	50662016	50670889	+	3095	NA	exon (SHANK1, exon 23 of 24)	NA	17007	C19orf81								
D0_1_7_R1_peak_7036	chr17	80467225	80483625	+	3068	NA	intron (NPTX1, intron 2 of 4)	NA	1179	NPTX1								
D0_1_7_R1_peak_2139	chr10	101118864	101150253	+	3035	NA	intron (TLX1, intron 2 of 2)	NA	3254	TLX1								
D0_1_7_R1_peak_13804	chr7	27233725	27255674	+	3025	NA	intron (EVX1, intron 2 of 3)	NA	1999	EVX1								
D0_1_7_R1_peak_5270	chr15	74126804	74139667	+	3024	NA	exon (ISLR2, exon 4 of 4)	NA	2833	ISLR2								
D0_1_7_R1_peak_14176	chr7	129773997	129788271	+	3021	NA	Intergenic	NA	-6120	MIR183								
D0_1_7_R1_peak_12292	chr5	135023911	135046204	+	3004	NA	promoter-TSS (PITX1)	NA	-783	PITX1								
D0_1_7_R1_peak_6071	chr16	86490653	86520426	+	2985	NA	intron (FENDRR, intron 1 of 3)	NA	2634	LOC102724331								
D0_1_7_R1_peak_575	chr1	29120255	29126799	+	2979	NA	intron (TMEM200B, intron 1 of 1)	NA	382	TMEM200B								
D0_1_7_R1_peak_15322	chr9	77011672	77026542	+	2972	NA	promoter-TSS (FOXB2)	NA	-548	FOXB2								
D0_1_7_R1_peak_2453	chr10	132780435	132791972	+	2930	NA	promoter-TSS (NKX6-2)	NA	-170	NKX6-2								
D0_1_7_R1_peak_14665	chr8	37692491	37702998	+	2930	NA	exon (ZNF703, exon 2 of 2)	NA	1961	ZNF703								
D0_1_7_R1_peak_15392	chr9	93942506	93963145	+	2912	NA	intron (BARX1, intron 2 of 3)	NA	2501	BARX1								
D0_1_7_R1_peak_6745	chr17	49961551	49977869	+	2895	NA	exon (DLX4, exon 1 of 3)	NA	512	DLX4								
D0_1_7_R1_peak_5358	chr15	83280295	83288086	+	2875	NA	promoter-TSS (BNC1)	NA	526	BNC1								
D0_1_7_R1_peak_3653	chr12	49338962	49348039	+	2871	NA	Intergenic	NA	-4460	DNAJC22								
D0_1_7_R1_peak_8713	chr2	104841461	104874364	+	2858	NA	TTS (POU3F3)	NA	2401	POU3F3								
D0_1_7_R1_peak_2343	chr10	123131782	123153022	+	2856	NA	promoter-TSS (HMX2)	NA	-19	HMX2								
D0_1_7_R1_peak_15576	chr9	126607796	126646403	+	2849	NA	intron (LMX1B, intron 2 of 7)	NA	12656	LMX1B								
D0_1_7_R1_peak_8987	chr2	172079856	172103672	+	2845	NA	Intergenic	NA	6284	DLX1								
D0_1_7_R1_peak_1673	chr10	8031347	8059127	+	2845	NA	promoter-TSS (GATA3)	NA	7258	GATA3-AS1								
D0_1_7_R1_peak_12805	chr6	5992352	6010331	+	2831	NA	intron (NRN1, intron 3 of 3)	NA	2716	NRN1								
D0_1_7_R1_peak_7730	chr19	18601227	18617869	+	2828	NA	intron (TMEM59L, intron 1 of 8)	NA	-3324	TMEM59L								
D0_1_7_R1_peak_7496	chr19	1743564	1770557	+	2827	NA	intron (ONECUT3, intron 1 of 1)	NA	3397	ONECUT3								
D0_1_7_R1_peak_6037	chr16	86283819	86292727	+	2817	NA	intron (RP11-514D23.1, intron 1 of 2)	NA	1842	RP11-514D23.1								
D0_1_7_R1_peak_1018	chr1	110065496	110073934	+	2815	NA	intron (ALX3, intron 1 of 3)	NA	985	ALX3								
D0_1_7_R1_peak_2989	chr11	65783813	65791803	+	2814	NA	promoter-TSS (OVOL1)	NA	774	OVOL1								
D0_1_7_R1_peak_4000	chr12	113461444	113481645	+	2802	NA	exon (LHX5, exon 1 of 5)	NA	528	LHX5								
D0_1_7_R1_peak_14149	chr7	128162379	128172602	+	2795	NA	Intergenic	NA	-39320	LOC101928423								
D0_1_7_R1_peak_6801	chr17	61448554	61464806	+	2776	NA	intron (TBX4, intron 2 of 8)	NA	4907	TBX4								
D0_1_7_R1_peak_13799	chr7	27181808	27217802	+	2757	NA	promoter-TSS (HOTTIP)	NA	301	HOXA13								
D0_1_7_R1_peak_7448	chr19	1464315	1473779	+	2756	NA	exon (APC2, exon 15 of 15)	NA	10136	C19orf25								
D0_1_7_R1_peak_14813	chr8	70067489	70075232	+	2756	NA	promoter-TSS (PRDM14)	NA	-33	PRDM14								
D0_1_7_R1_peak_9950	chr20	63002165	63011063	+	2753	NA	exon (BHLHE23, exon 1 of 1)	NA	421	BHLHE23								
D0_1_7_R1_peak_6797	chr17	61391085	61414485	+	2750	NA	intron (TBX2, intron 2 of 6)	NA	2889	TBX2								
D0_1_7_R1_peak_9512	chr20	22559678	22589054	+	2732	NA	intron (LINC00261, intron 1 of 3)	NA	4276	LINC00261								
D0_1_7_R1_peak_1090	chr1	118977381	119009623	+	2732	NA	Intergenic	NA	-3946	TBX15								
D0_1_7_R1_peak_12774	chr6	1374007	1397351	+	2726	NA	Intergenic	NA	-4155	FOXF2								
D0_1_7_R1_peak_12161	chr5	77625624	77647749	+	2720	NA	intron (OTP, intron 2 of 2)	NA	2011	OTP								
D0_1_7_R1_peak_7160	chr18	22162497	22178929	+	2678	NA	promoter-TSS (GATA6)	NA	3	GATA6								
D0_1_7_R1_peak_921	chr1	63315708	63332101	+	2678	NA	exon (FOXD3, exon 1 of 1)	NA	845	FOXD3								
D0_1_7_R1_peak_15137	chr9	966270	984097	+	2662	NA	Intergenic	NA	-1785	DMRT3								
D0_1_7_R1_peak_9498	chr20	21390649	21400593	+	2660	NA	exon (NKX2-4, exon 2 of 2)	NA	1788	NKX2-4								
D0_1_7_R1_peak_5804	chr16	51146102	51158459	+	2658	NA	promoter-TSS (SALL1)	NA	-1008	SALL1								
D0_1_7_R1_peak_1382	chr1	197902939	197923557	+	2648	NA	intron (LHX9, intron 1 of 5)	NA	-3979	LHX9								
D0_1_7_R1_peak_130	chr1	3650069	3657146	+	2648	NA	intron (TP73, intron 1 of 12)	NA	-3505	WRAP73								
D0_1_7_R1_peak_15047	chr8	143416490	143433116	+	2631	NA	Intergenic	NA	5629	MAFA								
D0_1_7_R1_peak_8491	chr2	44924541	44956383	+	2625	NA	exon (SIX3-AS1, exon 2 of 2)	NA	1416	SIX3-AS1								
D0_1_7_R1_peak_9123	chr2	218956198	218964703	+	2612	NA	exon (CDK5R2, exon 1 of 1)	NA	822	CDK5R2								
D0_1_7_R1_peak_2621	chr11	2132256	2150969	+	2596	NA	promoter-TSS (IGF2)	NA	1084	IGF2-AS								
D0_1_7_R1_peak_4301	chr13	27952640	27983411	+	2594	NA	intron (CDX2, intron 1 of 2)	NA	1343	CDX2								
D0_1_7_R1_peak_5831	chr16	54929287	54942876	+	2589	NA	Intergenic	NA	4882	IRX5								
D0_1_7_R1_peak_12500	chr5	154469922	154488304	+	2582	NA	promoter-TSS (HAND1)	NA	-904	HAND1								
D0_1_7_R1_peak_12825	chr6	10405974	10429225	+	2572	NA	intron (TFAP2A, intron 1 of 6)	NA	-2362	TFAP2A								
D0_1_7_R1_peak_13271	chr6	98822530	98850031	+	2553	NA	exon (POU3F2, exon 1 of 1)	NA	1576	POU3F2								
D0_1_7_R1_peak_15830	chr9	136187837	136206402	+	2551	NA	exon (LHX3, exon 6 of 6)	NA	7990	LHX3								
D0_1_7_R1_peak_2372	chr10	124444459	124454409	+	2549	NA	intron (NKX1-2, intron 1 of 1)	NA	547	NKX1-2								
D0_1_7_R1_peak_8482	chr2	44796725	44807965	+	2542	NA	Intergenic	NA	97014	CAMKMT								
D0_1_7_R1_peak_8307	chr1_KI270712v1_random	28173	31972	+	2535	NA	Intergenic	NA	29457	LOC102724503								
D0_1_7_R1_peak_8778	chr2	118830331	118863278	+	2535	NA	exon (EN1, exon 1 of 2)	NA	1379	EN1								
D0_1_7_R1_peak_2278	chr10	117159066	117172183	+	2523	NA	intron (LOC101927704, intron 1 of 2)	NA	2130	MIR3663								
D0_1_7_R1_peak_14474	chr8	10725183	10735897	+	2520	NA	promoter-TSS (SOX7)	NA	34	SOX7								
D0_1_7_R1_peak_7074	chr17	81799522	81810945	+	2508	NA	exon (GCGR, exon 1 of 14)	NA	1099	GCGR								
D0_1_7_R1_peak_12	chr1	934948	944914	+	2507	NA	intron (SAMD11, intron 7 of 13)	NA	14190	SAMD11								
D0_1_7_R1_peak_10239	chr22	17365590	17372965	+	2496	NA	promoter-TSS (CECR2)	NA	-453	CECR2								
D0_1_7_R1_peak_6673	chr17	48715894	48756772	+	2492	NA	Intergenic	NA	-7584	HOXB13								
D0_1_7_R1_peak_3137	chr11	72238431	72248174	+	2486	NA	intron (PHOX2A, intron 1 of 2)	NA	874	PHOX2A								
D0_1_7_R1_peak_8427	chr2	26845226	26853283	+	2483	NA	intron (DPYSL5, intron 1 of 12)	NA	965	DPYSL5								
D0_1_7_R1_peak_4294	chr13	27913480	27931453	+	2478	NA	intron (PDX1, intron 1 of 1)	NA	-1062	PDX1-AS1								
D0_1_7_R1_peak_11145	chr3	184376824	184384505	+	2473	NA	intron (CHRD, intron 1 of 22)	NA	444	CHRD								
D0_1_7_R1_peak_2405	chr10	129955660	129975501	+	2465	NA	Intergenic	NA	-1298	EBF3								
D0_1_7_R1_peak_170	chr1	6237703	6252713	+	2461	NA	exon (HES3, exon 4 of 4)	NA	1016	HES3								
D0_1_7_R1_peak_12570	chr5	173225810	173250976	+	2452	NA	Intergenic	NA	-3081	NKX2-5								
D0_1_7_R1_peak_10115	chr21	33017490	33034851	+	2444	NA	exon (OLIG2, exon 1 of 2)	NA	235	OLIG2								
D0_1_7_R1_peak_4599	chr14	36651654	36668730	+	2441	NA	intron (PAX9, intron 1 of 4)	NA	2624	PAX9								
D0_1_7_R1_peak_7056	chr17	81337467	81346809	+	2440	NA	Intergenic	NA	-11464	TMEM105								
D0_1_7_R1_peak_11051	chr3	137757600	137775193	+	2424	NA	TTS (SOX14)	NA	2104	SOX14								
D0_1_7_R1_peak_3191	chr11	79435005	79443137	+	2414	NA	promoter-TSS (TENM4)	NA	-69	TENM4								
D0_1_7_R1_peak_6688	chr17	48993142	49007563	+	2412	NA	intron (IGF2BP1, intron 2 of 12)	NA	2940	IGF2BP1								
D0_1_7_R1_peak_7019	chr17	79839846	79845190	+	2411	NA	Intergenic	NA	-3104	CBX4								
D0_1_7_R1_peak_9345	chr2	240448482	240459989	+	2408	NA	TTS (LOC102723995)	NA	-1780	MIR149								
D0_1_7_R1_peak_9491	chr20	20360972	20374742	+	2407	NA	promoter-TSS (INSM1)	NA	-264	INSM1								
D0_1_7_R1_peak_4657	chr14	60503784	60518344	+	2404	NA	intron (SIX6, intron 1 of 1)	NA	1844	SIX6								
D0_1_7_R1_peak_2188	chr10	101768798	101779771	+	2401	NA	intron (FGF8, intron 3 of 4)	NA	1718	FGF8								
D0_1_7_R1_peak_711	chr1	38041891	38049863	+	2401	NA	exon (POU3F1, exon 1 of 1)	NA	901	POU3F1								
D0_1_7_R1_peak_11056	chr3	138935729	138952454	+	2401	NA	TTS (FOXL2)	NA	3049	FOXL2								
D0_1_7_R1_peak_9055	chr2	199454002	199473162	+	2399	NA	intron (SATB2, intron 1 of 11)	NA	1526	SATB2								
D0_1_7_R1_peak_12780	chr6	1598529	1626711	+	2397	NA	exon (FOXC1, exon 1 of 1)	NA	2174	FOXC1								
D0_1_7_R1_peak_13338	chr6	108155638	108179034	+	2397	NA	promoter-TSS (NR2E1)	NA	1278	NR2E1								
D0_1_7_R1_peak_5261	chr15	73747644	73755330	+	2394	NA	promoter-TSS (C15orf59)	NA	-12	C15orf59								
D0_1_7_R1_peak_11962	chr5	1870420	1890834	+	2394	NA	intron (IRX4, intron 4 of 6)	NA	-2766	LOC101929056								
D0_1_7_R1_peak_11493	chr4	13519796	13549594	+	2377	NA	Intergenic	NA	-3278	LINC01097								
D0_1_7_R1_peak_8981	chr2	170709737	170719165	+	2377	NA	promoter-TSS (SP5)	NA	116	LINC01124								
D0_1_7_R1_peak_7791	chr19	31347689	31357434	+	2377	NA	Intergenic	NA	-3277	TSHZ3								
D0_1_7_R1_peak_11999	chr5	3587878	3608630	+	2368	NA	intron (IRX1, intron 1 of 3)	NA	2200	IRX1								
D0_1_7_R1_peak_820	chr1	47437741	47452487	+	2366	NA	Intergenic	NA	9097	FOXD2								
D0_1_7_R1_peak_9504	chr20	21505283	21527657	+	2359	NA	Intergenic	NA	-2444	NKX2-2								
D0_1_7_R1_peak_8838	chr2	127215743	127221786	+	2359	NA	Intergenic	NA	-12588	CYP27C1								
D0_1_7_R1_peak_10272	chr22	19750196	19769144	+	2356	NA	exon (TBX1, exon 2 of 9)	NA	898	TBX1								
D0_1_7_R1_peak_11576	chr4	54091026	54111278	+	2352	NA	intron (GSX2, intron 1 of 1)	NA	1071	GSX2								
D0_1_7_R1_peak_6884	chr17	74856991	74864358	+	2342	NA	promoter-TSS (GRIN2C)	NA	-5232	GRIN2C								
D0_1_7_R1_peak_14622	chr8	26035951	26053448	+	2337	NA	intron (EBF2, intron 1 of 15)	NA	425	EBF2								
D0_1_7_R1_peak_8499	chr2	44996015	45017117	+	2337	NA	intron (SIX2, intron 1 of 1)	NA	2837	SIX2								
D0_1_7_R1_peak_9038	chr2	181677765	181688074	+	2333	NA	Intergenic	NA	-2254	NEUROD1								
D0_1_7_R1_peak_13602	chr6	170285104	170299474	+	2324	NA	intron (FAM120B, intron 1 of 10)	NA	-1680	DLL1								
D0_1_7_R1_peak_2980	chr11	64288195	64301360	+	2324	NA	intron (KCNK4, intron 2 of 6)	NA	3456	KCNK4								
D0_1_7_R1_peak_14390	chr7	157677442	157695263	+	2324	NA	intron (PTPRN2, intron 12 of 22)	NA	-111982	MIR153-2								
D0_1_7_R1_peak_11133	chr3	181708397	181731575	+	2324	NA	intron (SOX2-OT, intron 7 of 7)	NA	8062	SOX2								
D0_1_7_R1_peak_5297	chr15	76333746	76349569	+	2319	NA	intron (ISL2, intron 5 of 5)	NA	4851	ISL2								
D0_1_7_R1_peak_7324	chr18	57424955	57444299	+	2317	NA	Intergenic	NA	-1058	ONECUT2								
D0_1_7_R1_peak_11987	chr5	2735827	2760614	+	2307	NA	intron (IRX2, intron 3 of 3)	NA	3435	IRX2								
D0_1_7_R1_peak_6838	chr17	68194249	68201317	+	2306	NA	promoter-TSS (LOC440461)	NA	-877	LOC440461								
D0_1_7_R1_peak_450	chr1	20478985	20491138	+	2289	NA	intron (CAMK2N1, intron 1 of 1)	NA	1174	CAMK2N1								
D0_1_7_R1_peak_15099	chr8	144330939	144341657	+	2289	NA	promoter-TSS (SCRT1)	NA	-17	SCRT1								
D0_1_7_R1_peak_1463	chr1	205451786	205460850	+	2287	NA	promoter-TSS (BLACAT1)	NA	-232	BLACAT1								
D0_1_7_R1_peak_7017	chr17	79797381	79819659	+	2284	NA	Intergenic	NA	-9351	LOC102723961								
D0_1_7_R1_peak_14565	chr8	21784569	21793048	+	2283	NA	promoter-TSS (GFRA2)	NA	1295	GFRA2								
D0_1_7_R1_peak_14267	chr7	151406354	151413535	+	2282	NA	promoter-TSS (WDR86)	NA	94	WDR86								
D0_1_7_R1_peak_1221	chr1	156418234	156443929	+	2280	NA	promoter-TSS (C1orf61)	NA	-10667	MIR9-1								
D0_1_7_R1_peak_11580	chr4	54224322	54233613	+	2273	NA	promoter-TSS (PDGFRA)	NA	-130	PDGFRA								
D0_1_7_R1_peak_864	chr1	50412832	50433774	+	2273	NA	exon (DMRTA2, exon 1 of 3)	NA	144	DMRTA2								
D0_1_7_R1_peak_8396	chr2	20662354	20674683	+	2265	NA	intron (GDF7, intron 1 of 1)	NA	1854	GDF7								
D0_1_7_R1_peak_1722	chr10	26208920	26222246	+	2259	NA	promoter-TSS (GAD2)	NA	-724	GAD2								
D0_1_7_R1_peak_8572	chr2	72139438	72151884	+	2255	NA	intron (CYP26B1, intron 1 of 5)	NA	2201	CYP26B1								
D0_1_7_R1_peak_3388	chr11	125163065	125170861	+	2251	NA	intron (PKNOX2, intron 1 of 11)	NA	2260	PKNOX2								
D0_1_7_R1_peak_9911	chr20	62470389	62483266	+	2250	NA	promoter-TSS (GATA5)	NA	-1042	GATA5								
D0_1_7_R1_peak_15566	chr9	124499472	124508788	+	2250	NA	intron (NR5A1, intron 1 of 6)	NA	3027	NR5A1								
D0_1_7_R1_peak_1044	chr1	110603840	110610932	+	2248	NA	intron (KCNA2, intron 1 of 4)	NA	24088	KCNA2								
D0_1_7_R1_peak_15122	chr9	112247	118787	+	2243	NA	TTS (FOXD4)	NA	2900	FOXD4								
D0_1_7_R1_peak_15372	chr9	92804535	92812383	+	2243	NA	promoter-TSS (LOC101929748)	NA	-92	LOC101929748								
D0_1_7_R1_peak_13415	chr6	137484476	137500849	+	2242	NA	exon (OLIG3, exon 1 of 1)	NA	1732	OLIG3								
D0_1_7_R1_peak_7368	chr18	78970047	78986533	+	2237	NA	exon (LOC645321, exon 1 of 2)	NA	158	LOC645321								
D0_1_7_R1_peak_12452	chr5	141871229	141879653	+	2237	NA	intron (PCDH1, intron 1 of 4)	NA	-5685	PCDH1								
D0_1_7_R1_peak_13520	chr6	165658200	165666993	+	2237	NA	promoter-TSS (PDE10A)	NA	-496	PDE10A								
D0_1_7_R1_peak_26	chr1	994521	1002311	+	2237	NA	TTS (HES4)	NA	1756	HES4								
D0_1_7_R1_peak_5407	chr15	89397168	89419536	+	2237	NA	Intergenic	NA	30310	LINC00925								
D0_1_7_R1_peak_9130	chr2	218979597	219007031	+	2236	NA	promoter-TSS (CRYBA2)	NA	91	CRYBA2								
D0_1_7_R1_peak_5883	chr16	58460266	58468690	+	2234	NA	promoter-TSS (NDRG4)	NA	755	NDRG4								
D0_1_7_R1_peak_6397	chr17	34576494	34585545	+	2222	NA	exon (TMEM132E, exon 1 of 10)	NA	270	TMEM132E								
D0_1_7_R1_peak_2036	chr10	100651867	100663290	+	2222	NA	Intergenic	NA	-72806	LOC102724225								
D0_1_7_R1_peak_9497	chr20	21097895	21109676	+	2219	NA	Intergenic	NA	-22198	PLK1S1								
D0_1_7_R1_peak_2096	chr10	100822639	100834961	+	2211	NA	exon (PAX2, exon 10 of 10)	NA	83089	PAX2								
D0_1_7_R1_peak_11773	chr4	173499615	173540139	+	2209	NA	exon (LOC101928439, exon 3 of 3)	NA	2449	LOC101928439								
D0_1_7_R1_peak_3910	chr12	95786329	95794448	+	2208	NA	exon (NTN4, exon 1 of 10)	NA	370	NTN4								
D0_1_7_R1_peak_11632	chr4	84489534	84504539	+	2200	NA	intron (NKX6-1, intron 1 of 2)	NA	1198	NKX6-1								
D0_1_7_R1_peak_5654	chr16	3028575	3040259	+	2200	NA	intron (RP11-473M20.5, intron 2 of 7)	NA	1936	RP11-473M20.5								
D0_1_7_R1_peak_5521	chr16	690818	711147	+	2190	NA	intron (FBXL16, intron 1 of 5)	NA	-1448	FBXL16								
D0_1_7_R1_peak_11137	chr3	184227506	184234510	+	2189	NA	intron (VWA5B2, intron 2 of 18)	NA	-2574	VWA5B2								
D0_1_7_R1_peak_15853	chr9	137156361	137173317	+	2185	NA	intron (GRIN1, intron 18 of 18)	NA	4416	MIR3621								
D0_1_7_R1_peak_9483	chr20	18054473	18061335	+	2185	NA	promoter-TSS (OVOL2)	NA	-27	OVOL2								
D0_1_7_R1_peak_12559	chr5	171304643	171320861	+	2168	NA	TTS (TLX3)	NA	3468	TLX3								
D0_1_7_R1_peak_4796	chr14	94764445	94778319	+	2168	NA	Intergenic	NA	-1220	GSC								
D0_1_7_R1_peak_4026	chr12	114390776	114418744	+	2168	NA	intron (TBX5, intron 1 of 8)	NA	-3435	TBX5-AS1								
D0_1_7_R1_peak_8389	chr2	19348725	19365860	+	2165	NA	promoter-TSS (OSR1)	NA	84	OSR1								
D0_1_7_R1_peak_6508	chr17	39592796	39614271	+	2165	NA	TTS (NEUROD2)	NA	4141	NEUROD2								
D0_1_7_R1_peak_10687	chr3	13874231	13882688	+	2165	NA	intron (WNT7A, intron 1 of 3)	NA	1662	WNT7A								
D0_1_7_R1_peak_8339	chr2	5688680	5699097	+	2165	NA	exon (SOX11, exon 1 of 1)	NA	1221	SOX11								
D0_1_7_R1_peak_13059	chr6	34140919	34153371	+	2165	NA	intron (GRM4, intron 1 of 8)	NA	-36382	GRM4								
D0_1_7_R1_peak_2209	chr10	104636203	104646166	+	2163	NA	promoter-TSS (SORCS3)	NA	83	SORCS3								
D0_1_7_R1_peak_10429	chr22	39232359	39247514	+	2161	NA	intron (PDGFB, intron 1 of 6)	NA	5016	PDGFB								
D0_1_7_R1_peak_2963	chr11	62920554	62930943	+	2161	NA	Intergenic	NA	-4208	CHRM1								
D0_1_7_R1_peak_8592	chr2	73290371	73294739	+	2157	NA	exon (EGR4, exon 2 of 2)	NA	1146	EGR4								
D0_1_7_R1_peak_1814	chr10	49393039	49399832	+	2153	NA	promoter-TSS (DRGX)	NA	-419	DRGX								
D0_1_7_R1_peak_11787	chr4	182138787	182147215	+	2152	NA	exon (MGC45800, exon 4 of 4)	NA	1514	MGC45800								
D0_1_7_R1_peak_5147	chr15	52782518	52810132	+	2150	NA	Intergenic	NA	-6313	ONECUT1								
D0_1_7_R1_peak_15006	chr8	142447641	142453827	+	2150	NA	promoter-TSS (TSNARE1)	NA	-394	TSNARE1								
D0_1_7_R1_peak_14871	chr8	96147903	96163913	+	2150	NA	intron (GDF6, intron 1 of 1)	NA	4884	GDF6								
D0_1_7_R1_peak_8401	chr2	23382044	23390098	+	2148	NA	intron (KLHL29, intron 1 of 13)	NA	-137846	KLHL29								
D0_1_7_R1_peak_10558	chr22	45966811	45979420	+	2145	NA	intron (WNT7B, intron 1 of 3)	NA	4013	WNT7B								
D0_1_7_R1_peak_14589	chr8	22687754	22695615	+	2145	NA	intron (EGR3, intron 1 of 1)	NA	705	EGR3								
D0_1_7_R1_peak_10472	chr22	41907711	41918483	+	2143	NA	intron (SHISA8, intron 1 of 3)	NA	1604	SHISA8								
D0_1_7_R1_peak_2849	chr11	44301332	44324972	+	2138	NA	Intergenic	NA	-2986	ALX4								
D0_1_7_R1_peak_6074	chr16	86563923	86573218	+	2137	NA	exon (FOXC2, exon 1 of 1)	NA	1319	FOXC2								
D0_1_7_R1_peak_4640	chr14	56792682	56819331	+	2135	NA	promoter-TSS (OTX2)	NA	4470	OTX2								
D0_1_7_R1_peak_7957	chr19	41909673	41919337	+	2129	NA	intron (LOC390937, intron 1 of 5)	NA	13589	LOC390937								
D0_1_7_R1_peak_8998	chr2	174325615	174345590	+	2129	NA	intron (SP9, intron 1 of 1)	NA	509	SP9								
D0_1_7_R1_peak_8590	chr2	73200251	73205052	+	2123	NA	exon (NOTO, exon 1 of 3)	NA	393	NOTO								
D0_1_7_R1_peak_3489	chr12	1526288	1534472	+	2121	NA	Intergenic	NA	29889	LINC00942								
D0_1_7_R1_peak_4660	chr14	60635355	60660169	+	2115	NA	intron (SIX1, intron 1 of 1)	NA	1675	SIX1								
D0_1_7_R1_peak_15436	chr9	97845058	97861354	+	2115	NA	promoter-TSS (RP11-23B15.1)	NA	-49	FOXE1								
