PeakID (cmd=annotatePeaks.pl M6_1_128_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_128_R1_peak_276	chr17	4939919	4940593	+	2141	NA	promoter-TSS (RNF167)	NA	-89	SLC25A11								
M6_1_128_R1_peak_26	chr1	45521639	45522276	+	2140	NA	promoter-TSS (PRDX1)	NA	-19	PRDX1								
M6_1_128_R1_peak_592	chr6	44387242	44387867	+	2140	NA	promoter-TSS (CDC5L)	NA	-138	CDC5L								
M6_1_128_R1_peak_633	chr7	130205175	130205783	+	2056	NA	promoter-TSS (TMEM209)	NA	-46	SSMEM1								
M6_1_128_R1_peak_333	chr19	4402275	4402875	+	2056	NA	promoter-TSS (CHAF1A)	NA	-88	CHAF1A								
M6_1_128_R1_peak_5	chr1	6554261	6554814	+	2011	NA	promoter-TSS (NOL9)	NA	61	NOL9								
M6_1_128_R1_peak_517	chr4	17810648	17811282	+	2002	NA	promoter-TSS (DCAF16)	NA	36	NCAPG								
M6_1_128_R1_peak_585	chr6	36027384	36028025	+	1994	NA	promoter-TSS (MAPK14)	NA	27	MAPK14								
M6_1_128_R1_peak_623	chr7	76047756	76048344	+	1947	NA	promoter-TSS (STYXL1)	NA	31	MDH2								
M6_1_128_R1_peak_671	chr9	85940724	85941325	+	1925	NA	promoter-TSS (NAA35)	NA	-505	NAA35								
M6_1_128_R1_peak_142	chr12	48957238	48957780	+	1882	NA	promoter-TSS (ARF3)	NA	-40	ARF3								
M6_1_128_R1_peak_179	chr13	42271735	42272275	+	1874	NA	promoter-TSS (AKAP11)	NA	-120	AKAP11								
M6_1_128_R1_peak_30	chr1	77682442	77682966	+	1774	NA	promoter-TSS (ZZZ3)	NA	727	ZZZ3								
M6_1_128_R1_peak_225	chr15	66356461	66356967	+	1727	NA	promoter-TSS (TIPIN)	NA	1	TIPIN								
M6_1_128_R1_peak_516	chr4	15681358	15681929	+	1702	NA	promoter-TSS (LOC102723602)	NA	-27	LOC102723602								
M6_1_128_R1_peak_211	chr14	103333625	103334319	+	1666	NA	promoter-TSS (EIF5)	NA	-889	EIF5								
M6_1_128_R1_peak_81	chr10	68331691	68332479	+	1630	NA	promoter-TSS (HNRNPH3)	NA	55	HNRNPH3								
M6_1_128_R1_peak_277	chr17	7857318	7857814	+	1626	NA	promoter-TSS (CYB5D1)	NA	-180	CYB5D1								
M6_1_128_R1_peak_659	chr8	143829084	143829694	+	1606	NA	promoter-TSS (PUF60)	NA	-280	PUF60								
M6_1_128_R1_peak_272	chr16	90022400	90022844	+	1595	NA	promoter-TSS (GAS8)	NA	22	GAS8								
M6_1_128_R1_peak_215	chr15	23039350	23039884	+	1558	NA	promoter-TSS (TUBGCP5)	NA	56	TUBGCP5								
M6_1_128_R1_peak_238	chr15	84654094	84654580	+	1527	NA	promoter-TSS (WDR73)	NA	-47	WDR73								
M6_1_128_R1_peak_98	chr10	133373226	133373707	+	1524	NA	promoter-TSS (ECHS1)	NA	-62	ECHS1								
M6_1_128_R1_peak_615	chr7	2232648	2233244	+	1479	NA	promoter-TSS (MAD1L1)	NA	2	MAD1L1								
M6_1_128_R1_peak_682	chr9	127451204	127451745	+	1453	NA	promoter-TSS (LRSAM1)	NA	-42	RPL12								
M6_1_128_R1_peak_224	chr15	63833758	63834459	+	1445	NA	promoter-TSS (HERC1)	NA	36902	MIR422A								
M6_1_128_R1_peak_78	chr10	46030352	46030906	+	1442	NA	promoter-TSS (NCOA4)	NA	85	NCOA4								
M6_1_128_R1_peak_415	chr2	175167939	175168481	+	1425	NA	promoter-TSS (ATF2)	NA	-4	ATF2								
M6_1_128_R1_peak_240	chr15	99251052	99251626	+	1425	NA	promoter-TSS (LRRC28)	NA	-23	LRRC28								
M6_1_128_R1_peak_608	chr6	151390395	151390829	+	1420	NA	intron (ZBTB2, intron 1 of 2)	NA	930	ZBTB2								
M6_1_128_R1_peak_637	chr7	139359482	139360154	+	1388	NA	promoter-TSS (LUC7L2)	NA	18686	C7orf55-LUC7L2								
M6_1_128_R1_peak_269	chr16	87951142	87951930	+	1376	NA	promoter-TSS (BANP)	NA	-316	BANP								
M6_1_128_R1_peak_403	chr2	119759424	119759947	+	1372	NA	promoter-TSS (LOC101927764)	NA	4	LOC101927764								
M6_1_128_R1_peak_322	chr18	62186955	62187527	+	1361	NA	promoter-TSS (KIAA1468)	NA	-32	KIAA1468								
M6_1_128_R1_peak_37	chr1	110338663	110339175	+	1360	NA	promoter-TSS (RBM15)	NA	252	RP5-1074L1.1								
M6_1_128_R1_peak_231	chr15	74995234	74995655	+	1355	NA	promoter-TSS (SCAMP5)	NA	-579	SCAMP5								
M6_1_128_R1_peak_321	chr18	49492241	49492768	+	1352	NA	promoter-TSS (RPL17-C18orf32)	NA	61	RPL17								
M6_1_128_R1_peak_482	chr3	14178589	14179090	+	1349	NA	promoter-TSS (XPC)	NA	111	LSM3								
M6_1_128_R1_peak_351	chr19	19320474	19321121	+	1310	NA	promoter-TSS (SUGP1)	NA	110	MAU2								
M6_1_128_R1_peak_561	chr5	140113828	140114339	+	1290	NA	promoter-TSS (PURA)	NA	-40	PURA								
M6_1_128_R1_peak_166	chr12	128823864	128824290	+	1271	NA	promoter-TSS (SLC15A4)	NA	-134	SLC15A4								
M6_1_128_R1_peak_150	chr12	67268931	67269404	+	1248	NA	promoter-TSS (CAND1)	NA	-114	CAND1								
M6_1_128_R1_peak_559	chr5	139293469	139294250	+	1214	NA	exon (MATR3, exon 1 of 15)	NA	215	MATR3								
M6_1_128_R1_peak_363	chr19	41859602	41860504	+	1214	NA	exon (RPS19, exon 1 of 6)	NA	135	RPS19								
M6_1_128_R1_peak_109	chr11	58578426	58579507	+	1194	NA	promoter-TSS (ZFP91)	NA	-148	ZFP91-CNTF								
M6_1_128_R1_peak_259	chr16	57447216	57447660	+	1189	NA	promoter-TSS (CIAPIN1)	NA	13	COQ9								
M6_1_128_R1_peak_440	chr20	17968470	17969081	+	1181	NA	promoter-TSS (MGME1)	NA	19	SNX5								
M6_1_128_R1_peak_515	chr4	2963094	2963654	+	1164	NA	promoter-TSS (GRK4)	NA	17	NOP14								
M6_1_128_R1_peak_59	chr1	232805126	232805567	+	1164	NA	exon (MAP10, exon 1 of 1)	NA	454	MAP10								
M6_1_128_R1_peak_266	chr16	83807749	83808206	+	1153	NA	promoter-TSS (HSBP1)	NA	74	HSBP1								
M6_1_128_R1_peak_498	chr3	138174720	138175175	+	1125	NA	promoter-TSS (DBR1)	NA	2	DBR1								
M6_1_128_R1_peak_80	chr10	67849324	67849740	+	1125	NA	Intergenic	NA	-11353	DNAJC12								
M6_1_128_R1_peak_45	chr1	156282603	156283133	+	1121	NA	promoter-TSS (TMEM79)	NA	17	SMG5								
M6_1_128_R1_peak_90	chr10	101060618	101061099	+	1105	NA	promoter-TSS (KAZALD1)	NA	-384	KAZALD1								
M6_1_128_R1_peak_639	chr7	158704569	158705186	+	1100	NA	promoter-TSS (NCAPG2)	NA	-48	NCAPG2								
M6_1_128_R1_peak_313	chr17	76557340	76558041	+	1081	NA	promoter-TSS (SNHG16)	NA	-74	SNHG16								
M6_1_128_R1_peak_140	chr12	29381013	29381504	+	1081	NA	promoter-TSS (ERGIC2)	NA	-48	ERGIC2								
M6_1_128_R1_peak_134	chr12	11171357	11171862	+	1048	NA	promoter-TSS (PRH1-PRR4)	NA	16	PRH1-PRR4								
M6_1_128_R1_peak_597	chr6	97283121	97283478	+	1040	NA	promoter-TSS (MMS22L)	NA	-51	MMS22L								
M6_1_128_R1_peak_337	chr19	8513930	8514353	+	1010	NA	promoter-TSS (ZNF414)	NA	23	ZNF414								
M6_1_128_R1_peak_169	chr12	132687116	132687616	+	1006	NA	promoter-TSS (PXMP2)	NA	158	POLE								
M6_1_128_R1_peak_71	chr10	7787818	7788330	+	984	NA	promoter-TSS (ATP5C1)	NA	-47	KIN								
M6_1_128_R1_peak_268	chr16	87492855	87493293	+	971	NA	promoter-TSS (ZCCHC14)	NA	-812	ZCCHC14								
M6_1_128_R1_peak_301	chr17	57084761	57085279	+	969	NA	promoter-TSS (AKAP1)	NA	-736	AKAP1								
M6_1_128_R1_peak_441	chr20	25623895	25624338	+	952	NA	promoter-TSS (NANP)	NA	-104	NANP								
M6_1_128_R1_peak_158	chr12	118016523	118016869	+	951	NA	promoter-TSS (RFC5)	NA	-5	RFC5								
M6_1_128_R1_peak_256	chr16	30697993	30698291	+	950	NA	promoter-TSS (SRCAP)	NA	347	LOC730183								
M6_1_128_R1_peak_298	chr17	41966504	41966840	+	945	NA	promoter-TSS (CNP)	NA	-69	CNP								
M6_1_128_R1_peak_385	chr2	24971900	24972321	+	933	NA	promoter-TSS (DNAJC27)	NA	-2	DNAJC27-AS1								
M6_1_128_R1_peak_500	chr3	139389464	139389934	+	932	NA	promoter-TSS (COPB2)	NA	-19	COPB2								
M6_1_128_R1_peak_175	chr13	31162203	31162702	+	928	NA	promoter-TSS (HSPH1)	NA	-431	HSPH1								
M6_1_128_R1_peak_531	chr4	102827820	102828218	+	922	NA	promoter-TSS (UBE2D3)	NA	40874	UBE2D3								
M6_1_128_R1_peak_584	chr6	35468194	35468927	+	918	NA	intron (RPL10A, intron 1 of 5)	NA	159	RPL10A								
M6_1_128_R1_peak_594	chr6	52420030	52420403	+	914	NA	promoter-TSS (EFHC1)	NA	20	EFHC1								
M6_1_128_R1_peak_187	chr13	113296957	113297572	+	914	NA	exon (LAMP1, exon 1 of 9)	NA	110	LAMP1								
M6_1_128_R1_peak_481	chr3	9792735	9793324	+	887	NA	promoter-TSS (TADA3)	NA	-18	TADA3								
M6_1_128_R1_peak_642	chr8	33484883	33485260	+	887	NA	promoter-TSS (MAK16)	NA	-96	MAK16								
M6_1_128_R1_peak_4	chr1	6235896	6236222	+	878	NA	promoter-TSS (ICMT)	NA	-181	LINC00337								
M6_1_128_R1_peak_148	chr12	57547038	57547389	+	864	NA	exon (DCTN2, exon 1 of 15)	NA	118	DCTN2								
M6_1_128_R1_peak_644	chr8	38231352	38231833	+	855	NA	promoter-TSS (DDHD2)	NA	249	DDHD2								
M6_1_128_R1_peak_666	chr9	19380051	19380493	+	855	NA	promoter-TSS (RPS6)	NA	-35	RPS6								
M6_1_128_R1_peak_267	chr16	84116569	84117120	+	846	NA	promoter-TSS (MBTPS1)	NA	68	MBTPS1								
M6_1_128_R1_peak_547	chr5	57173803	57174351	+	839	NA	promoter-TSS (GPBP1)	NA	-1371	GPBP1								
M6_1_128_R1_peak_405	chr2	135985234	135985840	+	839	NA	exon (DARS, exon 1 of 16)	NA	115	DARS								
M6_1_128_R1_peak_222	chr15	48178184	48178579	+	825	NA	promoter-TSS (MYEF2)	NA	136	MYEF2								
M6_1_128_R1_peak_309	chr17	67717699	67718129	+	820	NA	promoter-TSS (NOL11)	NA	-31	NOL11								
M6_1_128_R1_peak_621	chr7	35800710	35801212	+	820	NA	promoter-TSS (SEPT7)	NA	-30	SEPT7								
M6_1_128_R1_peak_286	chr17	29390103	29390577	+	815	NA	promoter-TSS (TAOK1)	NA	-328	MIR4523								
M6_1_128_R1_peak_432	chr2	224585142	224585745	+	808	NA	promoter-TSS (CUL3)	NA	-15618	CUL3								
M6_1_128_R1_peak_537	chr4	139453465	139454022	+	788	NA	promoter-TSS (RAB33B)	NA	-64	RAB33B								
M6_1_128_R1_peak_613	chr6	169701902	169702267	+	788	NA	promoter-TSS (WDR27)	NA	-21	WDR27								
M6_1_128_R1_peak_251	chr16	25257731	25258273	+	788	NA	promoter-TSS (ZKSCAN2)	NA	-468	ZKSCAN2								
M6_1_128_R1_peak_230	chr15	73633286	73633679	+	780	NA	promoter-TSS (NPTN)	NA	-70	NPTN								
M6_1_128_R1_peak_485	chr3	42600244	42600818	+	775	NA	promoter-TSS (NKTR)	NA	-144	NKTR								
M6_1_128_R1_peak_99	chr11	8682482	8682943	+	767	NA	exon (RPL27A, exon 1 of 5)	NA	264	RPL27A								
M6_1_128_R1_peak_564	chr5	169583536	169583988	+	753	NA	promoter-TSS (SPDL1)	NA	-26	SPDL1								
M6_1_128_R1_peak_336	chr19	8321274	8321687	+	739	NA	promoter-TSS (RPS28)	NA	-20	RPS28								
M6_1_128_R1_peak_219	chr15	39782695	39783066	+	736	NA	promoter-TSS (FSIP1)	NA	-42	FSIP1								
M6_1_128_R1_peak_316	chr17	80454602	80455033	+	735	NA	Intergenic	NA	21787	NPTX1								
M6_1_128_R1_peak_545	chr5	39074106	39074657	+	731	NA	promoter-TSS (RICTOR)	NA	27	RICTOR								
M6_1_128_R1_peak_377	chr19	54200845	54201258	+	722	NA	intron (RPS9, intron 1 of 4)	NA	193	RPS9								
M6_1_128_R1_peak_645	chr8	42391408	42391849	+	720	NA	promoter-TSS (VDAC3)	NA	-133	VDAC3								
M6_1_128_R1_peak_492	chr3	94062791	94063423	+	718	NA	promoter-TSS (NSUN3)	NA	96	NSUN3								
M6_1_128_R1_peak_58	chr1	231338056	231338401	+	708	NA	promoter-TSS (EXOC8)	NA	292	SPRTN								
M6_1_128_R1_peak_677	chr9	109120048	109120360	+	704	NA	promoter-TSS (TMEM245)	NA	-259	TMEM245								
M6_1_128_R1_peak_362	chr19	39445381	39445729	+	702	NA	promoter-TSS (SUPT5H)	NA	-65	SUPT5H								
M6_1_128_R1_peak_6	chr1	11012168	11012566	+	685	NA	promoter-TSS (TARDBP)	NA	-255	TARDBP								
M6_1_128_R1_peak_315	chr17	80147170	80147530	+	682	NA	promoter-TSS (EIF4A3)	NA	-167	EIF4A3								
M6_1_128_R1_peak_430	chr2	218908871	218909275	+	679	NA	intron (AC073128.10, intron 3 of 4)	NA	21564	AC073128.10								
M6_1_128_R1_peak_334	chr19	5828109	5828543	+	675	NA	TTS (NRTN)	NA	4519	NRTN								
M6_1_128_R1_peak_232	chr15	75023411	75023721	+	658	NA	promoter-TSS (PPCDC)	NA	-26	PPCDC								
M6_1_128_R1_peak_220	chr15	44288209	44288865	+	655	NA	promoter-TSS (CASC4)	NA	-174	CASC4								
M6_1_128_R1_peak_620	chr7	35694765	35695155	+	654	NA	exon (HERPUD2, exon 1 of 7)	NA	202	HERPUD2								
M6_1_128_R1_peak_48	chr1	165768757	165769278	+	649	NA	promoter-TSS (TMCO1)	NA	88	RP11-466F5.8								
M6_1_128_R1_peak_24	chr1	43358665	43359057	+	641	NA	promoter-TSS (CDC20)	NA	-94	CDC20								
M6_1_128_R1_peak_520	chr4	26320699	26321159	+	640	NA	promoter-TSS (RBPJ)	NA	122	RBPJ								
M6_1_128_R1_peak_311	chr17	75261371	75261849	+	640	NA	promoter-TSS (GGA3)	NA	25	GGA3								
M6_1_128_R1_peak_574	chr6	7313135	7313518	+	636	NA	promoter-TSS (SSR1)	NA	-18	SSR1								
M6_1_128_R1_peak_13	chr1	23980134	23980714	+	631	NA	promoter-TSS (SRSF10)	NA	-1607	SRSF10								
M6_1_128_R1_peak_34	chr1	103525759	103526109	+	629	NA	promoter-TSS (RNPC3)	NA	-22	RNPC3								
M6_1_128_R1_peak_579	chr6	28895523	28895884	+	625	NA	promoter-TSS (HCG14)	NA	625	TRNAL-CAA								
M6_1_128_R1_peak_475	chr22	42614781	42615221	+	615	NA	promoter-TSS (RNU12)	NA	-39	POLDIP3								
M6_1_128_R1_peak_694	chrX	71254027	71254391	+	604	NA	promoter-TSS (ZMYM3)	NA	-21	ZMYM3								
M6_1_128_R1_peak_398	chr2	85327773	85328273	+	604	NA	exon (TGOLN2, exon 1 of 5)	NA	273	TGOLN2								
M6_1_128_R1_peak_290	chr17	36544577	36544996	+	601	NA	promoter-TSS (GGNBP2)	NA	-126	GGNBP2								
M6_1_128_R1_peak_295	chr17	39451121	39451502	+	601	NA	promoter-TSS (MED1)	NA	-40	MED1								
M6_1_128_R1_peak_501	chr3	146160847	146161223	+	589	NA	promoter-TSS (PLOD2)	NA	460	PLOD2								
M6_1_128_R1_peak_21	chr1	28505656	28506023	+	587	NA	promoter-TSS (RCC1)	NA	-104	SNHG3								
M6_1_128_R1_peak_352	chr19	34172184	34172560	+	584	NA	promoter-TSS (LSM14A)	NA	-75	LSM14A								
M6_1_128_R1_peak_568	chr5	176361666	176362000	+	581	NA	promoter-TSS (KIAA1191)	NA	-26	KIAA1191								
M6_1_128_R1_peak_96	chr10	123008650	123009032	+	581	NA	promoter-TSS (IKZF5)	NA	9	IKZF5								
M6_1_128_R1_peak_203	chr14	71320095	71320486	+	581	NA	Intergenic	NA	-9699	LOC102724015								
M6_1_128_R1_peak_328	chr19	1438219	1438551	+	569	NA	promoter-TSS (RPS15)	NA	21	RPS15								
M6_1_128_R1_peak_593	chr6	47477595	47477898	+	562	NA	promoter-TSS (CD2AP)	NA	0	CD2AP								
M6_1_128_R1_peak_255	chr16	30400535	30400905	+	537	NA	TTS (ZNF48)	NA	5608	ZNF48								
M6_1_128_R1_peak_83	chr10	73358558	73359021	+	537	NA	promoter-TSS (TTC18)	NA	-31	TTC18								
M6_1_128_R1_peak_209	chr14	100238527	100239004	+	537	NA	promoter-TSS (YY1)	NA	0	YY1								
M6_1_128_R1_peak_151	chr12	71663655	71664187	+	534	NA	promoter-TSS (ZFC3H1)	NA	24	THAP2								
M6_1_128_R1_peak_657	chr8	103298691	103299006	+	531	NA	promoter-TSS (FZD6)	NA	17	FZD6								
M6_1_128_R1_peak_234	chr15	76311276	76311696	+	521	NA	promoter-TSS (ETFA)	NA	-17	ETFA								
M6_1_128_R1_peak_260	chr16	67833814	67834106	+	514	NA	promoter-TSS (CENPT)	NA	-17	CENPT								
M6_1_128_R1_peak_49	chr1	167936326	167936715	+	509	NA	promoter-TSS (MPC2)	NA	-39	DCAF6								
M6_1_128_R1_peak_188	chr13	113815420	113815696	+	509	NA	promoter-TSS (GAS6-AS1)	NA	-52	GAS6-AS1								
M6_1_128_R1_peak_643	chr8	38105320	38105798	+	509	NA	promoter-TSS (ASH2L)	NA	594	ASH2L								
M6_1_128_R1_peak_113	chr11	64878608	64879124	+	507	NA	promoter-TSS (EHD1)	NA	847	EHD1								
M6_1_128_R1_peak_228	chr15	69160407	69160688	+	504	NA	promoter-TSS (GLCE)	NA	-87	GLCE								
M6_1_128_R1_peak_412	chr2	169827254	169827563	+	500	NA	promoter-TSS (UBR3)	NA	-100	UBR3								
M6_1_128_R1_peak_686	chrX	13734468	13734856	+	500	NA	promoter-TSS (OFD1)	NA	-27	TRAPPC2								
M6_1_128_R1_peak_264	chr16	75623208	75623527	+	500	NA	promoter-TSS (ADAT1)	NA	-44	ADAT1								
M6_1_128_R1_peak_378	chr19	56393478	56393819	+	498	NA	promoter-TSS (ZNF582-AS1)	NA	-28	ZNF582-AS1								
M6_1_128_R1_peak_519	chr4	26319444	26319788	+	498	NA	promoter-TSS (RBPJ)	NA	-1191	RBPJ								
M6_1_128_R1_peak_452	chr20	50931496	50931857	+	484	NA	promoter-TSS (ADNP)	NA	-686	ADNP								
M6_1_128_R1_peak_558	chr5	138543301	138543839	+	484	NA	promoter-TSS (ETF1)	NA	-635	ETF1								
M6_1_128_R1_peak_598	chr6	99568675	99569055	+	480	NA	promoter-TSS (CCNC)	NA	-51	CCNC								
M6_1_128_R1_peak_70	chr10	5813439	5813820	+	476	NA	promoter-TSS (GDI2)	NA	-80	GDI2								
M6_1_128_R1_peak_431	chr2	219498685	219498984	+	474	NA	promoter-TSS (GMPPA)	NA	-57	GMPPA								
M6_1_128_R1_peak_502	chr3	150703707	150704183	+	466	NA	promoter-TSS (FAM194A)	NA	45	FAM194A								
M6_1_128_R1_peak_605	chr6	145964352	145964615	+	465	NA	promoter-TSS (SHPRH)	NA	-386	SHPRH								
M6_1_128_R1_peak_599	chr6	107958051	107958387	+	457	NA	promoter-TSS (SEC63)	NA	59	SEC63								
M6_1_128_R1_peak_56	chr1	207052786	207053138	+	452	NA	promoter-TSS (YOD1)	NA	-313	PFKFB2								
M6_1_128_R1_peak_103	chr11	27506725	27507028	+	448	NA	promoter-TSS (BDNF-AS)	NA	24	BDNF-AS								
M6_1_128_R1_peak_23	chr1	40691500	40691979	+	446	NA	promoter-TSS (NFYC)	NA	522	NFYC-AS1								
M6_1_128_R1_peak_391	chr2	60495027	60495504	+	444	NA	intron (BCL11A, intron 2 of 4)	NA	32430	LOC102724155								
M6_1_128_R1_peak_312	chr17	75405437	75405915	+	439	NA	promoter-TSS (GRB2)	NA	32	GRB2								
M6_1_128_R1_peak_555	chr5	133051721	133052131	+	433	NA	promoter-TSS (HSPA4)	NA	-44	HSPA4								
M6_1_128_R1_peak_338	chr19	9140231	9140550	+	433	NA	promoter-TSS (ZNF317)	NA	10	ZNF317								
M6_1_128_R1_peak_693	chrX	53683869	53684565	+	433	NA	promoter-TSS (HUWE1)	NA	-71	HUWE1								
M6_1_128_R1_peak_538	chr4	143513298	143513699	+	433	NA	promoter-TSS (SMARCA5)	NA	35	SMARCA5								
M6_1_128_R1_peak_10	chr1	19596793	19597196	+	431	NA	promoter-TSS (MINOS1)	NA	17	MINOS1								
M6_1_128_R1_peak_29	chr1	70354593	70355026	+	425	NA	promoter-TSS (ANKRD13C)	NA	-1	HHLA3								
M6_1_128_R1_peak_138	chr12	26938172	26938710	+	425	NA	promoter-TSS (FGFR1OP2)	NA	69	FGFR1OP2								
M6_1_128_R1_peak_57	chr1	209784477	209784831	+	417	NA	promoter-TSS (C1orf74)	NA	-109	C1orf74								
M6_1_128_R1_peak_630	chr7	112450793	112451164	+	417	NA	intron (IFRD1, intron 1 of 11)	NA	27834	IFRD1								
M6_1_128_R1_peak_84	chr10	73625870	73626201	+	417	NA	Intergenic	NA	15722	MYOZ1								
M6_1_128_R1_peak_635	chr7	134986308	134986765	+	416	NA	promoter-TSS (AGBL3)	NA	28	AGBL3								
M6_1_128_R1_peak_556	chr5	134845732	134846055	+	416	NA	promoter-TSS (C5orf24)	NA	-75	C5orf24								
M6_1_128_R1_peak_374	chr19	50511281	50511633	+	408	NA	promoter-TSS (JOSD2)	NA	-298	JOSD2								
M6_1_128_R1_peak_145	chr12	53626269	53626548	+	402	NA	promoter-TSS (ATF7)	NA	-1699	ATF7								
M6_1_128_R1_peak_471	chr22	39519950	39520475	+	402	NA	promoter-TSS (ATF4)	NA	-352	ATF4								
M6_1_128_R1_peak_429	chr2	213284190	213284547	+	402	NA	promoter-TSS (SPAG16)	NA	-60	SPAG16								
M6_1_128_R1_peak_691	chrX	48696582	48696948	+	400	NA	promoter-TSS (SUV39H1)	NA	32	SUV39H1								
M6_1_128_R1_peak_505	chr3	169764928	169765360	+	398	NA	promoter-TSS (TERC)	NA	-84	TERC								
M6_1_128_R1_peak_685	chr9	133347989	133348392	+	398	NA	promoter-TSS (MED22)	NA	-24	RPL7A								
M6_1_128_R1_peak_603	chr6	143843080	143843390	+	398	NA	promoter-TSS (LTV1)	NA	-136	LTV1								
M6_1_128_R1_peak_665	chr9	19049217	19049488	+	388	NA	promoter-TSS (FAM154A)	NA	2	FAM154A								
M6_1_128_R1_peak_190	chr14	21103796	21104156	+	388	NA	promoter-TSS (ZNF219)	NA	728	ZNF219								
M6_1_128_R1_peak_583	chr6	33200737	33201094	+	388	NA	promoter-TSS (RXRB)	NA	89	SLC39A7								
M6_1_128_R1_peak_581	chr6	32130118	32130455	+	386	NA	promoter-TSS (FKBPL)	NA	4	FKBPL								
M6_1_128_R1_peak_40	chr1	114757680	114758147	+	380	NA	intron (CSDE1, intron 1 of 19)	NA	137	CSDE1								
M6_1_128_R1_peak_510	chr3	186784030	186784378	+	373	NA	promoter-TSS (SNORD2)	NA	-592	SNORD2								
M6_1_128_R1_peak_444	chr20	31951848	31952162	+	371	NA	promoter-TSS (PDRG1)	NA	75	PDRG1								
M6_1_128_R1_peak_454	chr20	62937823	62938219	+	370	NA	promoter-TSS (DIDO1)	NA	-68	GID8								
M6_1_128_R1_peak_688	chrX	30889270	30889591	+	370	NA	promoter-TSS (TAB3)	NA	-39	TAB3								
M6_1_128_R1_peak_261	chr16	68085128	68085408	+	368	NA	promoter-TSS (NFATC3)	NA	-98	NFATC3								
M6_1_128_R1_peak_423	chr2	200811634	200811997	+	365	NA	promoter-TSS (BZW1)	NA	269	BZW1								
M6_1_128_R1_peak_2	chr1	1511545	1512040	+	358	NA	promoter-TSS (ATAD3A)	NA	-351	ATAD3A								
M6_1_128_R1_peak_299	chr17	42561920	42562315	+	357	NA	promoter-TSS (COASY)	NA	-13	COASY								
M6_1_128_R1_peak_364	chr19	44955047	44955476	+	357	NA	promoter-TSS (CLPTM1)	NA	37	CLPTM1								
