PeakID (cmd=annotatePeaks.pl OCIAML3_1_195_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OCIAML3_1_195_R1_peak_6214	chr11	123062215	123064341	+	1481	NA	promoter-TSS (HSPA8)	NA	925	LOC101929289								
OCIAML3_1_195_R1_peak_24036	chr5	32172068	32175298	+	1470	NA	intron (GOLPH3, intron 1 of 3)	NA	636	GOLPH3								
OCIAML3_1_195_R1_peak_17196	chr2	112274909	112276762	+	1463	NA	exon (ZC3H6, exon 1 of 12)	NA	241	ZC3H6								
OCIAML3_1_195_R1_peak_4755	chr11	841801	843968	+	1456	NA	promoter-TSS (TSPAN4)	NA	-355	POLR2L								
OCIAML3_1_195_R1_peak_7896	chr12	124913810	124915500	+	1454	NA	promoter-TSS (MIR5188)	NA	386	UBC								
OCIAML3_1_195_R1_peak_24940	chr5	138541772	138543254	+	1448	NA	promoter-TSS (ETF1)	NA	720	ETF1								
OCIAML3_1_195_R1_peak_10808	chr16	2776337	2778588	+	1445	NA	promoter-TSS (TCEB2)	NA	-197	TCEB2								
OCIAML3_1_195_R1_peak_28719	chr7	129053669	129055730	+	1442	NA	promoter-TSS (TPI1P2)	NA	474	TNPO3								
OCIAML3_1_195_R1_peak_6384	chr12	4537595	4538859	+	1441	NA	promoter-TSS (RAD51AP1)	NA	244	C12orf4								
OCIAML3_1_195_R1_peak_682	chr1	36155221	36157224	+	1441	NA	promoter-TSS (TRAPPC3)	NA	72	MAP7D1								
OCIAML3_1_195_R1_peak_3074	chr1	234978902	234982761	+	1440	NA	Intergenic	NA	88987	LOC731656								
OCIAML3_1_195_R1_peak_16554	chr2	47174128	47176906	+	1434	NA	intron (CALM2, intron 1 of 5)	NA	1084	CALM2								
OCIAML3_1_195_R1_peak_10205	chr15	65295525	65296163	+	1424	NA	promoter-TSS (RNU5A-1)	NA	-207	RNU5A-1								
OCIAML3_1_195_R1_peak_28827	chr7	139340464	139342605	+	1413	NA	TTS (TRNAR27)	NA	402	C7orf55-LUC7L2								
OCIAML3_1_195_R1_peak_4732	chr11	505386	507371	+	1407	NA	intron (RNH1, intron 1 of 10)	NA	905	RNH1								
OCIAML3_1_195_R1_peak_2743	chr1	217630492	217631538	+	1405	NA	promoter-TSS (GPATCH2)	NA	69	GPATCH2								
OCIAML3_1_195_R1_peak_206	chr1	11011915	11013416	+	1398	NA	promoter-TSS (TARDBP)	NA	43	TARDBP								
OCIAML3_1_195_R1_peak_10731	chr16	1308646	1311153	+	1398	NA	promoter-TSS (UBE2I)	NA	272	UBE2I								
OCIAML3_1_195_R1_peak_4354	chr10	97318353	97320469	+	1398	NA	exon (FRAT1, exon 1 of 1)	NA	146	FRAT1								
OCIAML3_1_195_R1_peak_19126	chr20	44885594	44887270	+	1394	NA	intron (YWHAB, intron 1 of 5)	NA	833	YWHAB								
OCIAML3_1_195_R1_peak_31050	chr9	94166136	94168400	+	1388	NA	Intergenic	NA	-8689	MIRLET7A1								
OCIAML3_1_195_R1_peak_28828	chr7	139358291	139362518	+	1386	NA	intron (LUC7L2, intron 1 of 9)	NA	558	LUC7L2								
OCIAML3_1_195_R1_peak_1821	chr1	154220818	154222438	+	1386	NA	promoter-TSS (C1orf43)	NA	779	UBAP2L								
OCIAML3_1_195_R1_peak_10454	chr15	78437187	78439862	+	1381	NA	intron (IREB2, intron 1 of 21)	NA	348	IREB2								
OCIAML3_1_195_R1_peak_21845	chr3	129181197	129184712	+	1378	NA	intron (CNBP, intron 1 of 4)	NA	1013	CNBP								
OCIAML3_1_195_R1_peak_30476	chr8	143827889	143830267	+	1371	NA	promoter-TSS (PUF60)	NA	308	PUF60								
OCIAML3_1_195_R1_peak_7965	chr12	132827928	132829497	+	1369	NA	promoter-TSS (GOLGA3)	NA	149	GOLGA3								
OCIAML3_1_195_R1_peak_13085	chr17	58631751	58632777	+	1364	NA	intron (TEX14, intron 2 of 31)	NA	27083	TEX14								
OCIAML3_1_195_R1_peak_18171	chr2	222654702	222657055	+	1362	NA	intron (FARSB, intron 1 of 17)	NA	230	FARSB								
OCIAML3_1_195_R1_peak_1820	chr1	154219272	154220703	+	1356	NA	promoter-TSS (UBAP2L)	NA	805	C1orf43								
OCIAML3_1_195_R1_peak_9991	chr15	50353492	50356844	+	1347	NA	promoter-TSS (GABPB1)	NA	240	GABPB1								
OCIAML3_1_195_R1_peak_15466	chr19	45091792	45094232	+	1342	NA	promoter-TSS (PPP1R37)	NA	-161	PPP1R37								
OCIAML3_1_195_R1_peak_17792	chr2	177212604	177214544	+	1336	NA	TTS (MIR4444-1)	NA	848	MIR4444-1								
OCIAML3_1_195_R1_peak_27529	chr7	5527551	5532035	+	1334	NA	promoter-TSS (ACTB)	NA	808	ACTB								
OCIAML3_1_195_R1_peak_31643	chr9	133347042	133349722	+	1333	NA	promoter-TSS (MED22)	NA	168	RPL7A								
OCIAML3_1_195_R1_peak_5528	chr11	65497671	65505830	+	1333	NA	exon (MALAT1, exon 1 of 1)	NA	3988	MALAT1								
OCIAML3_1_195_R1_peak_9159	chr14	69767072	69768664	+	1332	NA	promoter-TSS (LOC100289511)	NA	-155	LOC100289511								
OCIAML3_1_195_R1_peak_790	chr1	40691082	40693096	+	1328	NA	promoter-TSS (NFYC)	NA	172	NFYC-AS1								
OCIAML3_1_195_R1_peak_28964	chr7	155002226	155004003	+	1326	NA	promoter-TSS (PAXIP1)	NA	-319	PAXIP1-AS1								
OCIAML3_1_195_R1_peak_29520	chr8	48007719	48009435	+	1325	NA	intron (UBE2V2, intron 1 of 3)	NA	142	UBE2V2								
OCIAML3_1_195_R1_peak_3008	chr1	234773319	234779837	+	1323	NA	Intergenic	NA	-16528	PP2672								
OCIAML3_1_195_R1_peak_29160	chr8	18083790	18085215	+	1322	NA	promoter-TSS (ASAH1)	NA	496	ASAH1								
OCIAML3_1_195_R1_peak_12199	chr17	7572725	7575097	+	1320	NA	promoter-TSS (SNORA48)	NA	-802	SNORA48								
OCIAML3_1_195_R1_peak_12903	chr17	46191083	46195136	+	1320	NA	promoter-TSS (KANSL1-AS1)	NA	-464	KANSL1-AS1								
OCIAML3_1_195_R1_peak_2894	chr1	228486318	228488640	+	1313	NA	exon (RNF187, exon 1 of 4)	NA	112	RNF187								
OCIAML3_1_195_R1_peak_20705	chr3	9731388	9732921	+	1312	NA	intron (BRPF1, intron 1 of 12)	NA	425	BRPF1								
OCIAML3_1_195_R1_peak_11277	chr16	30697883	30699738	+	1312	NA	promoter-TSS (SRCAP)	NA	-321	LOC730183								
OCIAML3_1_195_R1_peak_30061	chr8	106657443	106658649	+	1311	NA	exon (OXR1, exon 1 of 16)	NA	40050	OXR1								
OCIAML3_1_195_R1_peak_1891	chr1	155687882	155689747	+	1310	NA	promoter-TSS (DAP3)	NA	214	YY1AP1								
OCIAML3_1_195_R1_peak_30539	chr8	145052420	145053544	+	1308	NA	intron (C8orf33, intron 2 of 4)	NA	544	C8orf33								
OCIAML3_1_195_R1_peak_7758	chr12	120291724	120292511	+	1305	NA	promoter-TSS (RNU4-2)	NA	177	SIRT4								
OCIAML3_1_195_R1_peak_7554	chr12	106302050	106303600	+	1304	NA	promoter-TSS (TCP11L2)	NA	31	TCP11L2								
OCIAML3_1_195_R1_peak_1541	chr1	114756641	114758149	+	1304	NA	intron (CSDE1, intron 1 of 20)	NA	655	CSDE1								
OCIAML3_1_195_R1_peak_24115	chr5	39073153	39075782	+	1304	NA	promoter-TSS (RICTOR)	NA	-59	RICTOR								
OCIAML3_1_195_R1_peak_29643	chr8	63167245	63170357	+	1300	NA	promoter-TSS (YTHDF3-AS1)	NA	248	YTHDF3								
OCIAML3_1_195_R1_peak_20338	chr22	38504655	38507292	+	1300	NA	exon (DDX17, exon 1 of 13)	NA	367	DDX17								
OCIAML3_1_195_R1_peak_19996	chr22	19478384	19480593	+	1299	NA	promoter-TSS (UFD1L)	NA	9	CDC45								
OCIAML3_1_195_R1_peak_1198	chr1	77977833	77980350	+	1296	NA	promoter-TSS (FUBP1)	NA	2	FUBP1								
OCIAML3_1_195_R1_peak_31677	chr9	134370305	134376780	+	1296	NA	intron (RXRA, intron 1 of 9)	NA	-5753	RXRA								
OCIAML3_1_195_R1_peak_31633	chr9	132943949	132945321	+	1295	NA	promoter-TSS (TSC1)	NA	-2	TSC1								
OCIAML3_1_195_R1_peak_888	chr1	44819759	44820513	+	1292	NA	exon (PTCH2, exon 23 of 23)	NA	12431	BTBD19								
OCIAML3_1_195_R1_peak_19344	chr20	54207756	54208703	+	1290	NA	intron (PFDN4, intron 1 of 3)	NA	266	PFDN4								
OCIAML3_1_195_R1_peak_16238	chr2	28894575	28896055	+	1289	NA	intron (WDR43, intron 1 of 17)	NA	648	WDR43								
OCIAML3_1_195_R1_peak_2619	chr1	205120962	205122755	+	1287	NA	promoter-TSS (RBBP5)	NA	-5570	RBBP5								
OCIAML3_1_195_R1_peak_3153	chr1	235938878	235946270	+	1287	NA	Intergenic	NA	-58900	LYST								
OCIAML3_1_195_R1_peak_12176	chr17	7307542	7308844	+	1281	NA	promoter-TSS (EIF5A)	NA	-182	EIF5A								
OCIAML3_1_195_R1_peak_12885	chr17	45160271	45161630	+	1277	NA	promoter-TSS (HEXIM2)	NA	-881	HEXIM2								
OCIAML3_1_195_R1_peak_12350	chr17	17236160	17238223	+	1277	NA	promoter-TSS (FLCN)	NA	-3	FLCN								
OCIAML3_1_195_R1_peak_1661	chr1	148334672	148335389	+	1276	NA	promoter-TSS (MIR5087)	NA	-486	MIR5087								
OCIAML3_1_195_R1_peak_3411	chr10	7405994	7415072	+	1272	NA	intron (SFMBT2, intron 1 of 20)	NA	-1192	SFMBT2								
OCIAML3_1_195_R1_peak_9115	chr14	67674268	67675503	+	1272	NA	promoter-TSS (VTI1B)	NA	0	VTI1B								
OCIAML3_1_195_R1_peak_24930	chr5	138337404	138339536	+	1272	NA	promoter-TSS (CDC25C)	NA	935	FAM53C								
OCIAML3_1_195_R1_peak_29692	chr8	67060965	67063192	+	1271	NA	promoter-TSS (CSPP1)	NA	249	COPS5								
OCIAML3_1_195_R1_peak_22413	chr3	194671697	194673069	+	1268	NA	promoter-TSS (LSG1)	NA	94	LSG1								
OCIAML3_1_195_R1_peak_28505	chr7	105011138	105016051	+	1265	NA	promoter-TSS (KMT2E)	NA	547	KMT2E-AS1								
OCIAML3_1_195_R1_peak_28393	chr7	100015356	100016754	+	1258	NA	intron (ZKSCAN1, intron 1 of 3)	NA	483	ZKSCAN1								
OCIAML3_1_195_R1_peak_4137	chr10	75209875	75212095	+	1256	NA	intron (VDAC2, intron 1 of 10)	NA	443	VDAC2								
OCIAML3_1_195_R1_peak_24155	chr5	40832900	40836564	+	1253	NA	intron (RPL37, intron 1 of 3)	NA	553	RPL37								
OCIAML3_1_195_R1_peak_5202	chr11	47425271	47426625	+	1253	NA	exon (PSMC3, exon 2 of 12)	NA	525	PSMC3								
OCIAML3_1_195_R1_peak_15699	chr19	52189967	52191470	+	1250	NA	intron (PPP2R1A, intron 1 of 14)	NA	916	PPP2R1A								
OCIAML3_1_195_R1_peak_2161	chr1	169892988	169894686	+	1241	NA	promoter-TSS (SCYL3)	NA	122	SCYL3								
OCIAML3_1_195_R1_peak_18282	chr2	231463430	231465507	+	1239	NA	promoter-TSS (NCL)	NA	26	NCL								
OCIAML3_1_195_R1_peak_24877	chr5	134175790	134177914	+	1238	NA	intron (SKP1, intron 1 of 5)	NA	181	SKP1								
OCIAML3_1_195_R1_peak_12704	chr17	39199883	39201249	+	1237	NA	exon (RPL19, exon 1 of 6)	NA	283	RPL19								
OCIAML3_1_195_R1_peak_28799	chr7	135557562	135558691	+	1237	NA	intron (NUP205, intron 1 of 42)	NA	-20735	NUP205								
OCIAML3_1_195_R1_peak_8079	chr13	29594358	29595776	+	1236	NA	intron (LOC102724249, intron 3 of 3)	NA	621	SLC7A1								
OCIAML3_1_195_R1_peak_17647	chr2	161159596	161161941	+	1233	NA	exon (TANK, exon 1 of 8)	NA	340	TANK								
OCIAML3_1_195_R1_peak_227	chr1	11907823	11908269	+	1232	NA	promoter-TSS (RNU5E-1)	NA	-108	RNU5E-1								
OCIAML3_1_195_R1_peak_24942	chr5	138574000	138576329	+	1231	NA	intron (HSPA9, intron 1 of 16)	NA	465	HSPA9								
OCIAML3_1_195_R1_peak_3335	chr10	1055419	1057426	+	1226	NA	promoter-TSS (WDR37)	NA	-414	WDR37								
OCIAML3_1_195_R1_peak_864	chr1	43946231	43947609	+	1224	NA	promoter-TSS (LOC101929609)	NA	114	IPO13								
OCIAML3_1_195_R1_peak_17379	chr2	135983498	135986473	+	1224	NA	promoter-TSS (AC093391.2)	NA	-191	AC093391.2								
OCIAML3_1_195_R1_peak_2626	chr1	205748118	205750956	+	1223	NA	intron (NUCKS1, intron 1 of 6)	NA	707	NUCKS1								
OCIAML3_1_195_R1_peak_18042	chr2	207166221	207167294	+	1222	NA	promoter-TSS (KLF7)	NA	99	KLF7								
OCIAML3_1_195_R1_peak_21882	chr3	131501895	131503392	+	1218	NA	intron (MRPL3, intron 1 of 9)	NA	373	MRPL3								
OCIAML3_1_195_R1_peak_3246	chr1	244862009	244865221	+	1218	NA	intron (HNRNPU, intron 1 of 13)	NA	910	HNRNPU								
OCIAML3_1_195_R1_peak_29911	chr8	96261026	96262832	+	1217	NA	promoter-TSS (PTDSS1)	NA	-10	PTDSS1								
OCIAML3_1_195_R1_peak_4743	chr11	695245	696629	+	1212	NA	promoter-TSS (DEAF1)	NA	-197	DEAF1								
OCIAML3_1_195_R1_peak_11756	chr16	81006126	81007484	+	1212	NA	promoter-TSS (CENPN)	NA	214	CMC2								
OCIAML3_1_195_R1_peak_18899	chr20	32109362	32110549	+	1211	NA	promoter-TSS (TM9SF4)	NA	-67	TM9SF4								
OCIAML3_1_195_R1_peak_21275	chr3	50320923	50321987	+	1209	NA	promoter-TSS (HYAL2)	NA	1313	HYAL2								
OCIAML3_1_195_R1_peak_20292	chr22	37018577	37020226	+	1209	NA	promoter-TSS (MPST)	NA	-349	MPST								
OCIAML3_1_195_R1_peak_23807	chr4	185425339	185426365	+	1205	NA	promoter-TSS (C4orf47)	NA	133	UFSP2								
OCIAML3_1_195_R1_peak_1735	chr1	150926173	150927241	+	1200	NA	intron (SETDB1, intron 1 of 21)	NA	368	SETDB1								
OCIAML3_1_195_R1_peak_13241	chr17	64504714	64507669	+	1199	NA	promoter-TSS (CEP95)	NA	733	DDX5								
OCIAML3_1_195_R1_peak_2028	chr1	161044508	161048135	+	1191	NA	promoter-TSS (USF1)	NA	-342	USF1								
OCIAML3_1_195_R1_peak_15700	chr19	52269490	52270720	+	1191	NA	intron (ZNF766, intron 1 of 3)	NA	563	ZNF766								
OCIAML3_1_195_R1_peak_19957	chr22	17638066	17639981	+	1189	NA	intron (BCL2L13, intron 1 of 5)	NA	439	BCL2L13								
OCIAML3_1_195_R1_peak_19089	chr20	41028758	41030257	+	1189	NA	intron (TOP1, intron 2 of 20)	NA	685	TOP1								
OCIAML3_1_195_R1_peak_23899	chr5	10352445	10355160	+	1188	NA	exon (MARCH6, exon 1 of 25)	NA	163	MARCH6								
OCIAML3_1_195_R1_peak_18300	chr2	231705817	231708221	+	1188	NA	Intergenic	NA	-1506	PTMA								
OCIAML3_1_195_R1_peak_2609	chr1	204409320	204411862	+	1184	NA	exon (PPP1R15B, exon 1 of 2)	NA	1226	PPP1R15B								
OCIAML3_1_195_R1_peak_27019	chr6	136288215	136291112	+	1181	NA	intron (BCLAF1, intron 1 of 12)	NA	188	BCLAF1								
OCIAML3_1_195_R1_peak_4358	chr10	97332327	97335535	+	1179	NA	exon (FRAT2, exon 1 of 1)	NA	770	FRAT2								
OCIAML3_1_195_R1_peak_30632	chr9	15510439	15511336	+	1179	NA	promoter-TSS (PSIP1)	NA	118	PSIP1								
OCIAML3_1_195_R1_peak_5213	chr11	47767569	47768775	+	1175	NA	promoter-TSS (FNBP4)	NA	-712	FNBP4								
OCIAML3_1_195_R1_peak_7195	chr12	62601807	62604212	+	1174	NA	promoter-TSS (MIRLET7I)	NA	425	C12orf61								
OCIAML3_1_195_R1_peak_878	chr1	44730989	44731525	+	1173	NA	promoter-TSS (RNU5D-1)	NA	-89	RNU5D-1								
OCIAML3_1_195_R1_peak_24388	chr5	73497837	73500445	+	1173	NA	exon (BTF3, exon 2 of 6)	NA	716	BTF3								
OCIAML3_1_195_R1_peak_13831	chr18	12701714	12703807	+	1171	NA	promoter-TSS (CEP76)	NA	17	CEP76								
OCIAML3_1_195_R1_peak_24941	chr5	138543363	138545009	+	1168	NA	promoter-TSS (ETF1)	NA	-953	ETF1								
OCIAML3_1_195_R1_peak_30531	chr8	144827447	144828785	+	1166	NA	promoter-TSS (ZNF7)	NA	-2844	ZNF7								
OCIAML3_1_195_R1_peak_30138	chr8	120444324	120445806	+	1166	NA	promoter-TSS (MTBP)	NA	25	MRPL13								
OCIAML3_1_195_R1_peak_12753	chr17	41688801	41690476	+	1164	NA	intron (EIF1, intron 1 of 3)	NA	763	EIF1								
OCIAML3_1_195_R1_peak_22541	chr4	1711271	1712721	+	1164	NA	intron (SLBP, intron 1 of 7)	NA	307	SLBP								
OCIAML3_1_195_R1_peak_11584	chr16	66750968	66751959	+	1164	NA	promoter-TSS (LOC101927792)	NA	159	DYNC1LI2								
OCIAML3_1_195_R1_peak_29983	chr8	100720165	100722118	+	1163	NA	intron (PABPC1, intron 1 of 14)	NA	946	PABPC1								
OCIAML3_1_195_R1_peak_31494	chr9	128656233	128657503	+	1163	NA	promoter-TSS (WDR34)	NA	-18	WDR34								
OCIAML3_1_195_R1_peak_9251	chr14	75278415	75280362	+	1160	NA	intron (FOS, intron 1 of 3)	NA	610	FOS								
OCIAML3_1_195_R1_peak_20451	chr22	42613906	42615414	+	1160	NA	promoter-TSS (RNU12)	NA	302	POLDIP3								
OCIAML3_1_195_R1_peak_2981	chr1	234601920	234613669	+	1157	NA	exon (IRF2BP2, exon 2 of 2)	NA	1731	IRF2BP2								
OCIAML3_1_195_R1_peak_19101	chr20	43457178	43458958	+	1156	NA	exon (SRSF6, exon 1 of 7)	NA	204	SRSF6								
OCIAML3_1_195_R1_peak_26298	chr6	42781559	42784315	+	1155	NA	promoter-TSS (FLJ38717)	NA	10	FLJ38717								
OCIAML3_1_195_R1_peak_29946	chr8	98043888	98045686	+	1154	NA	intron (RPL30, intron 3 of 4)	NA	803	RPL30								
OCIAML3_1_195_R1_peak_7603	chr12	109998820	110000140	+	1152	NA	promoter-TSS (ANKRD13A)	NA	50	ANKRD13A								
OCIAML3_1_195_R1_peak_4979	chr11	17076332	17079060	+	1152	NA	promoter-TSS (RPS13)	NA	-23	RPS13								
OCIAML3_1_195_R1_peak_568	chr1	29180023	29181963	+	1151	NA	intron (SRSF4, intron 1 of 7)	NA	1004	SRSF4								
OCIAML3_1_195_R1_peak_20942	chr3	28346179	28350437	+	1151	NA	promoter-TSS (ZCWPW2)	NA	-640	ZCWPW2								
OCIAML3_1_195_R1_peak_15744	chr19	54137664	54138938	+	1150	NA	intron (CNOT3, intron 1 of 17)	NA	581	CNOT3								
OCIAML3_1_195_R1_peak_26486	chr6	67882107	67892007	+	1150	NA	Intergenic	NA	-153866	LOC102723883								
OCIAML3_1_195_R1_peak_494	chr1	27489496	27490852	+	1150	NA	promoter-TSS (WASF2)	NA	-7	WASF2								
OCIAML3_1_195_R1_peak_2209	chr1	174998612	174999822	+	1150	NA	promoter-TSS (CACYBP)	NA	-218	CACYBP								
OCIAML3_1_195_R1_peak_30568	chr9	3525926	3527820	+	1149	NA	promoter-TSS (RFX3)	NA	-36528	RFX3								
OCIAML3_1_195_R1_peak_28125	chr7	73556290	73558174	+	1148	NA	promoter-TSS (BCL7B)	NA	40	BCL7B								
OCIAML3_1_195_R1_peak_11051	chr16	21952675	21954237	+	1148	NA	exon (UQCRC2, exon 1 of 14)	NA	168	UQCRC2								
OCIAML3_1_195_R1_peak_27975	chr7	44489646	44491302	+	1147	NA	exon (NUDCD3, exon 1 of 6)	NA	312	NUDCD3								
OCIAML3_1_195_R1_peak_10331	chr15	72782539	72784481	+	1145	NA	exon (ADPGK, exon 1 of 7)	NA	675	ADPGK-AS1								
OCIAML3_1_195_R1_peak_7207	chr12	64404393	64406249	+	1140	NA	intron (XPOT, intron 1 of 24)	NA	948	XPOT								
OCIAML3_1_195_R1_peak_15899	chr1_KI270713v1_random	21907	22402	+	1136	NA	Intergenic	NA	6674	TRNAN-GUU-7								
OCIAML3_1_195_R1_peak_375	chr1	22052583	22054202	+	1134	NA	intron (CDC42, intron 1 of 5)	NA	765	CDC42								
OCIAML3_1_195_R1_peak_10458	chr15	78872883	78874722	+	1134	NA	intron (MORF4L1, intron 1 of 11)	NA	1021	MORF4L1								
OCIAML3_1_195_R1_peak_5662	chr11	68212429	68214433	+	1133	NA	promoter-TSS (SUV420H1)	NA	199	SUV420H1								
OCIAML3_1_195_R1_peak_9841	chr15	41115099	41117291	+	1131	NA	promoter-TSS (INO80)	NA	51	INO80								
OCIAML3_1_195_R1_peak_9165	chr14	70880985	70883318	+	1127	NA	Intergenic	NA	-25682	PCNX								
OCIAML3_1_195_R1_peak_31660	chr9	134163378	134164918	+	1126	NA	TTS (RNU6ATAC)	NA	416	RNU6ATAC								
OCIAML3_1_195_R1_peak_30358	chr8	134712404	134713676	+	1124	NA	promoter-TSS (ZFAT)	NA	-16482	ZFAT								
OCIAML3_1_195_R1_peak_1506	chr1	112617521	112622109	+	1121	NA	promoter-TSS (ST7L)	NA	362	CAPZA1								
OCIAML3_1_195_R1_peak_1644	chr1	147084456	147085379	+	1120	NA	Intergenic	NA	11692	TRNAH10								
OCIAML3_1_195_R1_peak_3321	chr1	248838212	248839247	+	1120	NA	intron (ZNF672, intron 1 of 3)	NA	398	ZNF672								
OCIAML3_1_195_R1_peak_28697	chr7	128530368	128532606	+	1119	NA	promoter-TSS (LOC101928451)	NA	-704	LOC101928451								
OCIAML3_1_195_R1_peak_13394	chr17	75181160	75183659	+	1117	NA	intron (SUMO2, intron 1 of 2)	NA	594	SUMO2								
OCIAML3_1_195_R1_peak_30281	chr8	129543954	129553283	+	1108	NA	Intergenic	NA	-64476	MIR3686								
OCIAML3_1_195_R1_peak_25080	chr5	146447197	146448367	+	1106	NA	intron (TCERG1, intron 1 of 20)	NA	471	TCERG1								
