PeakID (cmd=annotatePeaks.pl D9_2_304_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_2_304_R1_peak_10821	chr14	89720567	89721288	+	2297	NA	Intergenic	NA	-87098	LOC102723683								
D9_2_304_R1_peak_5367	chr10	133013154	133013925	+	2294	NA	promoter-TSS (LOC102723337)	NA	-186	LOC102723337								
D9_2_304_R1_peak_21293	chr20	31674821	31675611	+	2287	NA	intron (BCL2L1, intron 2 of 2)	NA	37334	COX4I2								
D9_2_304_R1_peak_6102	chr11	59772010	59772721	+	2287	NA	intron (STX3, intron 1 of 9)	NA	17359	STX3								
D9_2_304_R1_peak_9058	chr12	122081698	122082303	+	2279	NA	intron (MLXIP, intron 1 of 16)	NA	3237	MLXIP								
D9_2_304_R1_peak_12799	chr16	19493631	19494177	+	2274	NA	intron (TMC5, intron 19 of 21)	NA	28209	GDE1								
D9_2_304_R1_peak_33098	chr8	55885375	55886073	+	2261	NA	intron (LYN, intron 1 of 12)	NA	5897	LYN								
D9_2_304_R1_peak_33379	chr8	90005579	90006275	+	2215	NA	intron (DECR1, intron 1 of 8)	NA	4468	DECR1								
D9_2_304_R1_peak_17586	chr19	47324352	47324841	+	2213	NA	intron (LOC102723962, intron 2 of 2)	NA	-7551	C5AR2								
D9_2_304_R1_peak_32086	chr7	106864904	106865589	+	2206	NA	promoter-TSS (PIK3CG)	NA	-50	PIK3CG								
D9_2_304_R1_peak_13141	chr16	50281785	50282616	+	2198	NA	intron (ADCY7, intron 1 of 22)	NA	-10421	MIR6771								
D9_2_304_R1_peak_11997	chr15	75042831	75043618	+	2197	NA	intron (PPCDC, intron 2 of 3)	NA	19632	PPCDC								
D9_2_304_R1_peak_19529	chr2	121610176	121612427	+	2193	NA	intron (CLASP1, intron 1 of 39)	NA	38146	CLASP1								
D9_2_304_R1_peak_21340	chr20	33267588	33268149	+	2187	NA	Intergenic	NA	-15267	BPIFB1								
D9_2_304_R1_peak_11166	chr14	106844431	106845236	+	2173	NA	Intergenic	NA	362394	LINC00221								
D9_2_304_R1_peak_16714	chr19	12785549	12786520	+	2162	NA	Intergenic	NA	-1098	MIR5684								
D9_2_304_R1_peak_17104	chr19	34269872	34270439	+	2162	NA	intron (KIAA0355, intron 1 of 13)	NA	15604	KIAA0355								
D9_2_304_R1_peak_32398	chr7	141960633	141961325	+	2156	NA	intron (MGAM, intron 1 of 70)	NA	12794	TAS2R38								
D9_2_304_R1_peak_9903	chr13	110536230	110536725	+	2154	NA	intron (RAB20, intron 1 of 1)	NA	25247	RAB20								
D9_2_304_R1_peak_11925	chr15	72685846	72686426	+	2153	NA	promoter-TSS (BBS4)	NA	13	HIGD2B								
D9_2_304_R1_peak_25897	chr4	40553885	40554598	+	2145	NA	intron (RBM47, intron 1 of 6)	NA	-39483	RBM47								
D9_2_304_R1_peak_34703	chr9	90801434	90802046	+	2142	NA	promoter-TSS (SYK)	NA	-175	SYK								
D9_2_304_R1_peak_22821	chr22	37284316	37285408	+	2114	NA	intron (CYTH4, intron 1 of 12)	NA	2408	CYTH4								
D9_2_304_R1_peak_7110	chr11	121448310	121449588	+	2098	NA	Intergenic	NA	-3254	SORL1								
D9_2_304_R1_peak_21183	chr20	20261076	20261599	+	2097	NA	intron (C20orf26, intron 20 of 26)	NA	-2945	LOC101929575								
D9_2_304_R1_peak_27535	chr5	78483593	78484286	+	2081	NA	Intergenic	NA	-123398	LOC728769								
D9_2_304_R1_peak_33124	chr8	58172595	58173373	+	2069	NA	Intergenic	NA	99117	LOC101929528								
D9_2_304_R1_peak_34778	chr9	93119755	93120419	+	2059	NA	Intergenic	NA	14201	NINJ1								
D9_2_304_R1_peak_18626	chr2	54115572	54116212	+	2059	NA	intron (ACYP2, intron 1 of 3)	NA	619	ACYP2								
D9_2_304_R1_peak_10598	chr14	71597822	71598404	+	2053	NA	intron (SIPA1L1, intron 1 of 20)	NA	85370	SIPA1L1								
D9_2_304_R1_peak_26905	chr4	184474225	184474971	+	2044	NA	promoter-TSS (LOC102723779)	NA	-204	LOC102723779								
D9_2_304_R1_peak_12364	chr15	92899571	92900273	+	2043	NA	promoter-TSS (CHD2)	NA	-399	CHD2								
D9_2_304_R1_peak_13785	chr17	1627050	1627577	+	2040	NA	intron (SLC43A2, intron 2 of 13)	NA	18476	SCARF1								
D9_2_304_R1_peak_33069	chr8	47734593	47735504	+	2034	NA	intron (SPIDR, intron 15 of 15)	NA	3116	CEBPD								
D9_2_304_R1_peak_18356	chr2	32264660	32265160	+	2023	NA	promoter-TSS (NLRC4)	NA	833	NLRC4								
D9_2_304_R1_peak_33827	chr8	129418540	129419008	+	2015	NA	Intergenic	NA	65368	MIR3686								
D9_2_304_R1_peak_24724	chr3	141690234	141690827	+	2013	NA	intron (LOC646730, intron 5 of 5)	NA	27438	LOC646730								
D9_2_304_R1_peak_11857	chr15	69721366	69721836	+	2008	NA	Intergenic	NA	-113633	LINC00593								
D9_2_304_R1_peak_34561	chr9	78022878	78023661	+	2007	NA	intron (GNAQ, intron 1 of 6)	NA	8180	GNAQ								
D9_2_304_R1_peak_16282	chr19	1252128	1253469	+	2006	NA	intron (MIDN, intron 4 of 7)	NA	4240	MIDN								
D9_2_304_R1_peak_27361	chr5	61275749	61276419	+	1993	NA	Intergenic	NA	-113609	SMIM15								
D9_2_304_R1_peak_237	chr1	12183965	12184748	+	1993	NA	intron (TNFRSF1B, intron 1 of 9)	NA	-7357	MIR4632								
D9_2_304_R1_peak_12877	chr16	23863459	23864159	+	1973	NA	intron (PRKCB, intron 2 of 16)	NA	27830	PRKCB								
D9_2_304_R1_peak_2914	chr1	198776439	198777121	+	1971	NA	Intergenic	NA	82202	MIR181B1								
D9_2_304_R1_peak_6399	chr11	66443372	66444165	+	1969	NA	Intergenic	NA	-4929	MRPL11								
D9_2_304_R1_peak_19508	chr2	120109143	120109727	+	1968	NA	intron (EPB41L5, intron 16 of 24)	NA	96407	EPB41L5								
D9_2_304_R1_peak_21419	chr20	36757652	36758308	+	1965	NA	intron (DSN1, intron 7 of 9)	NA	-11842	NDRG3								
D9_2_304_R1_peak_16216	chr18	79819920	79820546	+	1964	NA	Intergenic	NA	-43435	KCNG2								
D9_2_304_R1_peak_22355	chr21	44920630	44921249	+	1962	NA	promoter-TSS (ITGB2-AS1)	NA	3	ITGB2								
D9_2_304_R1_peak_7022	chr11	118010850	118011378	+	1954	NA	Intergenic	NA	24723	IL10RA								
D9_2_304_R1_peak_7235	chr11	128726683	128727244	+	1951	NA	intron (FLI1, intron 1 of 8)	NA	-30940	SENCR								
D9_2_304_R1_peak_32752	chr8	23074195	23074826	+	1918	NA	intron (RP11-875O11.2, intron 1 of 2)	NA	-5323	TNFRSF10B								
D9_2_304_R1_peak_20855	chr20	1376405	1377140	+	1911	NA	intron (FKBP1A, intron 2 of 3)	NA	16189	MIR6869								
D9_2_304_R1_peak_28697	chr5	177509196	177509951	+	1907	NA	exon (DOK3, exon 2 of 6)	NA	284	DOK3								
D9_2_304_R1_peak_4129	chr10	30459318	30459818	+	1903	NA	intron (MAP3K8, intron 7 of 7)	NA	22967	MAP3K8								
D9_2_304_R1_peak_20923	chr20	2301039	2301691	+	1897	NA	intron (TGM3, intron 1 of 12)	NA	5398	TGM3								
D9_2_304_R1_peak_30745	chr6	146543080	146543841	+	1897	NA	promoter-TSS (RAB32)	NA	-232	RAB32								
D9_2_304_R1_peak_11860	chr15	69725915	69726492	+	1896	NA	Intergenic	NA	-109031	LINC00593								
D9_2_304_R1_peak_17872	chr19	54875376	54875944	+	1888	NA	intron (FCAR, intron 2 of 4)	NA	1567	FCAR								
D9_2_304_R1_peak_21486	chr20	40498064	40498850	+	1885	NA	Intergenic	NA	120728	LOC102724968								
D9_2_304_R1_peak_28621	chr5	175690970	175691424	+	1883	NA	intron (HRH2, intron 4 of 4)	NA	33353	HRH2								
D9_2_304_R1_peak_11831	chr15	68818827	68819562	+	1878	NA	intron (ANP32A, intron 1 of 5)	NA	1728	ANP32A								
D9_2_304_R1_peak_27939	chr5	131209328	131209938	+	1871	NA	Intergenic	NA	38685	LYRM7								
D9_2_304_R1_peak_6069	chr11	58575416	58576214	+	1870	NA	exon (LPXN, exon 1 of 9)	NA	2424	LPXN								
D9_2_304_R1_peak_23694	chr3	43389525	43390187	+	1870	NA	intron (ANO10, intron 11 of 12)	NA	-37894	SNRK-AS1								
D9_2_304_R1_peak_8522	chr12	89346386	89347090	+	1869	NA	Intergenic	NA	5781	DUSP6								
D9_2_304_R1_peak_11870	chr15	69803595	69804126	+	1867	NA	Intergenic	NA	-31374	LINC00593								
D9_2_304_R1_peak_21538	chr20	44885363	44885971	+	1850	NA	promoter-TSS (YWHAB)	NA	68	YWHAB								
D9_2_304_R1_peak_27066	chr5	17118521	17119181	+	1841	NA	Intergenic	NA	98571	AC091878.1								
D9_2_304_R1_peak_26673	chr4	152535956	152536554	+	1835	NA	promoter-TSS (MIR4453)	NA	-9	DKFZP434I0714								
D9_2_304_R1_peak_15118	chr17	68491347	68491848	+	1831	NA	Intergenic	NA	-18266	LOC102724296								
D9_2_304_R1_peak_2138	chr1	153540714	153541225	+	1827	NA	intron (S100A5, intron 2 of 3)	NA	2327	S100A5								
D9_2_304_R1_peak_10792	chr14	88002362	88003174	+	1819	NA	Intergenic	NA	-2356	GPR65								
D9_2_304_R1_peak_152	chr1	9629468	9630154	+	1815	NA	promoter-TSS (PIK3CD)	NA	-21920	PIK3CD								
D9_2_304_R1_peak_9256	chr13	28527446	28528099	+	1815	NA	Intergenic	NA	-32644	FLT1								
D9_2_304_R1_peak_30523	chr6	134235868	134236421	+	1815	NA	intron (SGK1, intron 2 of 13)	NA	81914	SGK1								
D9_2_304_R1_peak_18997	chr2	73926559	73927084	+	1814	NA	promoter-TSS (DGUOK)	NA	-111	DGUOK								
D9_2_304_R1_peak_1205	chr1	53838321	53838857	+	1811	NA	promoter-TSS (NDC1)	NA	-37	NDC1								
D9_2_304_R1_peak_16505	chr19	6802368	6802851	+	1803	NA	intron (VAV1, intron 1 of 25)	NA	29941	VAV1								
D9_2_304_R1_peak_17830	chr19	54207901	54208696	+	1801	NA	TTS (RPS9)	NA	7440	RPS9								
D9_2_304_R1_peak_22350	chr21	44880741	44881475	+	1797	NA	Intergenic	NA	-7205	PTTG1IP								
D9_2_304_R1_peak_34809	chr9	97906207	97906707	+	1797	NA	intron (C9orf156, intron 3 of 3)	NA	-12705	LOC101928360								
D9_2_304_R1_peak_8091	chr12	53324107	53324946	+	1797	NA	Intergenic	NA	-2898	AAAS								
D9_2_304_R1_peak_6236	chr11	64207394	64208153	+	1795	NA	promoter-TSS (FERMT3)	NA	-428	FERMT3								
D9_2_304_R1_peak_22710	chr22	31490397	31490902	+	1787	NA	promoter-TSS (EIF4ENIF1)	NA	-761	EIF4ENIF1								
D9_2_304_R1_peak_9619	chr13	51836644	51837544	+	1779	NA	intron (LINC00282, intron 2 of 4)	NA	8056	LINC00282								
D9_2_304_R1_peak_8806	chr12	109827991	109828966	+	1778	NA	intron (TRPV4, intron 1 of 15)	NA	-4870	MIR4497								
D9_2_304_R1_peak_22785	chr22	36860675	36861295	+	1765	NA	promoter-TSS (NCF4)	NA	-3	NCF4								
D9_2_304_R1_peak_16834	chr19	16149694	16150267	+	1764	NA	intron (HSH2D, intron 4 of 7)	NA	15952	HSH2D								
D9_2_304_R1_peak_21629	chr20	48761191	48761891	+	1764	NA	intron (PREX1, intron 1 of 39)	NA	-104946	PREX1								
D9_2_304_R1_peak_32693	chr8	19696164	19696777	+	1760	NA	intron (CSGALNACT1, intron 1 of 8)	NA	60775	CSGALNACT1								
D9_2_304_R1_peak_25627	chr4	8198883	8199526	+	1760	NA	promoter-TSS (SH3TC1)	NA	-17912	SH3TC1								
D9_2_304_R1_peak_17866	chr19	54837354	54837953	+	1756	NA	exon (KIR2DS4, exon 3 of 8)	NA	4977	KIR2DS4								
D9_2_304_R1_peak_20003	chr2	172280772	172281282	+	1755	NA	Intergenic	NA	-146559	ITGA6								
D9_2_304_R1_peak_25350	chr3	193716036	193716611	+	1751	NA	Intergenic	NA	-33261	LOC102724808								
D9_2_304_R1_peak_19515	chr2	120252569	120253735	+	1746	NA	promoter-TSS (RALB)	NA	313	RALB								
D9_2_304_R1_peak_12264	chr15	90059382	90060088	+	1743	NA	intron (ZNF710, intron 1 of 3)	NA	42741	IDH2								
D9_2_304_R1_peak_35411	chr9	131515483	131516792	+	1742	NA	intron (POMT1, intron 11 of 17)	NA	13121	POMT1								
D9_2_304_R1_peak_33737	chr8	124840228	124840807	+	1737	NA	Intergenic	NA	18490	MIR4662A								
D9_2_304_R1_peak_20664	chr2	230712233	230712943	+	1733	NA	promoter-TSS (CAB39)	NA	-254	CAB39								
D9_2_304_R1_peak_21484	chr20	40494025	40494718	+	1732	NA	Intergenic	NA	124814	LOC102724968								
D9_2_304_R1_peak_3942	chr10	14608396	14608891	+	1728	NA	intron (FAM107B, intron 2 of 5)	NA	166254	FAM107B								
D9_2_304_R1_peak_4497	chr10	71775203	71775832	+	1727	NA	intron (CDH23, intron 37 of 68)	NA	-1937	C10orf54								
D9_2_304_R1_peak_21302	chr20	32039970	32040955	+	1727	NA	Intergenic	NA	-8887	LOC101929636								
D9_2_304_R1_peak_13213	chr16	57039119	57039928	+	1724	NA	intron (NLRC5, intron 14 of 47)	NA	49966	NLRC5								
D9_2_304_R1_peak_24576	chr3	129233415	129233956	+	1724	NA	Intergenic	NA	-15925	COPG1								
D9_2_304_R1_peak_30296	chr6	109872987	109873491	+	1718	NA	Intergenic	NA	-105017	GPR6								
D9_2_304_R1_peak_12995	chr16	30166221	30166611	+	1715	NA	Intergenic	NA	-16994	CORO1A								
D9_2_304_R1_peak_6651	chr11	75399282	75399942	+	1713	NA	promoter-TSS (SNORD15A)	NA	121	RPS3								
D9_2_304_R1_peak_26655	chr4	147809125	147809774	+	1711	NA	intron (ARHGAP10, intron 1 of 21)	NA	26810	MIR4799								
D9_2_304_R1_peak_19202	chr2	98757956	98758550	+	1711	NA	Intergenic	NA	13983	LOC101927070								
D9_2_304_R1_peak_35047	chr9	114340249	114340995	+	1710	NA	intron (AKNA, intron 20 of 20)	NA	10833	ORM2								
D9_2_304_R1_peak_23185	chr3	4830893	4831644	+	1708	NA	intron (ITPR1, intron 57 of 58)	NA	75233	BHLHE40-AS1								
D9_2_304_R1_peak_31738	chr7	77238639	77239268	+	1699	NA	intron (CCDC146, intron 3 of 18)	NA	-39120	FGL2								
D9_2_304_R1_peak_17588	chr19	47336667	47337297	+	1699	NA	promoter-TSS (C5AR2)	NA	4835	C5AR2								
D9_2_304_R1_peak_27108	chr5	34047708	34048208	+	1698	NA	intron (C1QTNF3-AMACR, intron 1 of 8)	NA	-4692	C1QTNF3								
D9_2_304_R1_peak_17221	chr19	38877858	38878517	+	1693	NA	promoter-TSS (RINL)	NA	92	RINL								
D9_2_304_R1_peak_20473	chr2	218216832	218217303	+	1693	NA	promoter-TSS (ARPC2)	NA	26	LOC101928487								
D9_2_304_R1_peak_5336	chr10	128221060	128221902	+	1687	NA	Intergenic	NA	-64467	LINC01163								
D9_2_304_R1_peak_18948	chr2	71071721	71072631	+	1686	NA	intron (NAGK, intron 3 of 8)	NA	3899	NAGK								
D9_2_304_R1_peak_22582	chr22	26428520	26429097	+	1686	NA	promoter-TSS (ASPHD2)	NA	-506	ASPHD2								
D9_2_304_R1_peak_20239	chr2	196239683	196240725	+	1685	NA	intron (HECW2, intron 21 of 28)	NA	-19820	AC020571.3								
D9_2_304_R1_peak_7713	chr12	25051947	25052842	+	1683	NA	promoter-TSS (LRMP)	NA	147	LRMP								
D9_2_304_R1_peak_13128	chr16	48621204	48621660	+	1681	NA	Intergenic	NA	-11223	N4BP1								
D9_2_304_R1_peak_32765	chr8	23224949	23225485	+	1681	NA	promoter-TSS (LOC389641)	NA	-4	LOC389641								
D9_2_304_R1_peak_34738	chr9	92325235	92325902	+	1679	NA	promoter-TSS (NOL8)	NA	100	CENPP								
D9_2_304_R1_peak_30156	chr6	96917064	96917510	+	1677	NA	Intergenic	NA	-7333	KLHL32								
D9_2_304_R1_peak_16646	chr19	10784125	10784735	+	1676	NA	intron (DNM2, intron 6 of 20)	NA	4176	MIR4748								
D9_2_304_R1_peak_20048	chr2	174634276	174634935	+	1674	NA	promoter-TSS (WIPF1)	NA	48294	WIPF1								
D9_2_304_R1_peak_3380	chr1	226042603	226043058	+	1668	NA	Intergenic	NA	-19877	H3F3A								
D9_2_304_R1_peak_32577	chr7	158696025	158696573	+	1667	NA	intron (NCAPG2, intron 4 of 30)	NA	8532	NCAPG2								
D9_2_304_R1_peak_742	chr1	32066427	32066987	+	1662	NA	Intergenic	NA	-6192	TMEM39B								
D9_2_304_R1_peak_34507	chr9	75142129	75142812	+	1661	NA	intron (OSTF1, intron 9 of 9)	NA	53988	OSTF1								
D9_2_304_R1_peak_24199	chr3	72523270	72523795	+	1661	NA	Intergenic	NA	-76909	RYBP								
D9_2_304_R1_peak_8939	chr12	117063047	117063800	+	1653	NA	intron (TESC, intron 2 of 7)	NA	36023	TESC								
D9_2_304_R1_peak_16274	chr19	1180417	1180919	+	1650	NA	Intergenic	NA	-6385	SBNO2								
D9_2_304_R1_peak_3603	chr1	235160988	235161666	+	1645	NA	promoter-TSS (RBM34)	NA	-71	RBM34								
D9_2_304_R1_peak_14968	chr17	60371807	60372349	+	1642	NA	intron (USP32, intron 1 of 33)	NA	20147	USP32								
D9_2_304_R1_peak_5332	chr10	128062926	128063582	+	1641	NA	intron (PTPRE, intron 9 of 19)	NA	46618	MKI67								
