PeakID (cmd=annotatePeaks.pl SKNO1_1_230_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_230_R1_peak_3706	chr10	71797228	71798407	+	3812	NA	intron (CDH23, intron 2 of 22)	NA	7036	MIR7152								
SKNO1_1_230_R1_peak_22304	chr4	59559871	59560871	+	3787	NA	Intergenic	NA	-1362248	MIR548AG1								
SKNO1_1_230_R1_peak_29700	chr9	136529306	136531035	+	3769	NA	intron (NOTCH1, intron 2 of 33)	NA	-10545	MIR4673								
SKNO1_1_230_R1_peak_12434	chr17	58280851	58282264	+	3746	NA	promoter-TSS (MPO)	NA	-622	MPO								
SKNO1_1_230_R1_peak_21033	chr3	128603165	128604701	+	3682	NA	Intergenic	NA	-27847	C3orf27								
SKNO1_1_230_R1_peak_11158	chr16	75074858	75076057	+	3672	NA	intron (ZNRF1, intron 1 of 4)	NA	41315	LDHD								
SKNO1_1_230_R1_peak_6093	chr12	6335515	6337768	+	3659	NA	intron (TNFRSF1A, intron 1 of 9)	NA	5476	TNFRSF1A								
SKNO1_1_230_R1_peak_10716	chr16	29662495	29664270	+	3636	NA	intron (SPN, intron 1 of 1)	NA	163	SPN								
SKNO1_1_230_R1_peak_10941	chr16	57689359	57690526	+	3626	NA	TTS (GPR97)	NA	-4859	CCDC135								
SKNO1_1_230_R1_peak_6591	chr12	51368564	51369573	+	3560	NA	intron (GALNT6, intron 3 of 10)	NA	22348	GALNT6								
SKNO1_1_230_R1_peak_2714	chr1	224502605	224504102	+	3552	NA	Intergenic	NA	-69190	WDR26								
SKNO1_1_230_R1_peak_15439	chr19	55258762	55259779	+	3551	NA	promoter-TSS (PPP6R1)	NA	-240	PPP6R1								
SKNO1_1_230_R1_peak_26777	chr7	92754580	92755718	+	3532	NA	intron (CDK6, intron 3 of 7)	NA	-53335	RNU6-10P								
SKNO1_1_230_R1_peak_24843	chr6	30682163	30683086	+	3512	NA	intron (PPP1R18, intron 1 of 2)	NA	4692	PPP1R18								
SKNO1_1_230_R1_peak_6838	chr12	68364609	68365810	+	3502	NA	Intergenic	NA	-16562	LOC100507195								
SKNO1_1_230_R1_peak_14494	chr19	16086166	16087131	+	3450	NA	intron (TPM4, intron 4 of 8)	NA	19141	TPM4								
SKNO1_1_230_R1_peak_22241	chr4	54818813	54819799	+	3437	NA	Intergenic	NA	161349	KIT								
SKNO1_1_230_R1_peak_18815	chr21	34908208	34908915	+	3423	NA	intron (RUNX1, intron 2 of 8)	NA	24905	LOC101928240								
SKNO1_1_230_R1_peak_13103	chr17	81424281	81431212	+	3403	NA	intron (BAHCC1, intron 2 of 27)	NA	23427	MIR3186								
SKNO1_1_230_R1_peak_28172	chr8	129581592	129582641	+	3351	NA	Intergenic	NA	-98028	MIR3686								
SKNO1_1_230_R1_peak_18993	chr21	44854313	44855447	+	3341	NA	intron (PTTG1IP, intron 2 of 2)	NA	19023	PTTG1IP								
SKNO1_1_230_R1_peak_11439	chr16	88976347	88977715	+	3310	NA	promoter-TSS (CBFA2T3)	NA	65	CBFA2T3								
SKNO1_1_230_R1_peak_1485	chr1	108050627	108051654	+	3301	NA	Intergenic	NA	-86224	VAV3								
SKNO1_1_230_R1_peak_14382	chr19	13102232	13104997	+	3276	NA	promoter-TSS (LYL1)	NA	-1696	LYL1								
SKNO1_1_230_R1_peak_23772	chr5	132465914	132467242	+	3250	NA	intron (C5orf56, intron 3 of 3)	NA	24195	IRF1								
SKNO1_1_230_R1_peak_29169	chr9	112180896	112181705	+	3249	NA	Intergenic	NA	-6003	SUSD1								
SKNO1_1_230_R1_peak_24883	chr6	31586014	31587344	+	3237	NA	promoter-TSS (LST1)	NA	470	LST1								
SKNO1_1_230_R1_peak_6243	chr12	11798595	11799351	+	3224	NA	intron (ETV6, intron 2 of 7)	NA	111457	LOC101928186								
SKNO1_1_230_R1_peak_16768	chr2	128472751	128473834	+	3214	NA	Intergenic	NA	-154695	HS6ST1								
SKNO1_1_230_R1_peak_29204	chr9	114371939	114373603	+	3212	NA	intron (AKNA, intron 6 of 23)	NA	25701	AKNA								
SKNO1_1_230_R1_peak_25815	chr6	146770672	146771579	+	3212	NA	intron (ADGB, intron 29 of 35)	NA	32699	KATNBL1P6								
SKNO1_1_230_R1_peak_5253	chr11	67276591	67278041	+	3208	NA	exon (ADRBK1, exon 2 of 21)	NA	10882	ADRBK1								
SKNO1_1_230_R1_peak_25661	chr6	135322762	135323818	+	3184	NA	exon (AHI1, exon 23 of 27)	NA	84070	MIR548A2								
SKNO1_1_230_R1_peak_12713	chr17	74779795	74781159	+	3170	NA	intron (TMEM104, intron 2 of 9)	NA	3968	TMEM104								
SKNO1_1_230_R1_peak_2015	chr1	160539990	160540709	+	3157	NA	TTS (CD84)	NA	-17087	SLAMF6								
SKNO1_1_230_R1_peak_15585	chr2	8543463	8545667	+	3156	NA	Intergenic	NA	39227	AC011747.4								
SKNO1_1_230_R1_peak_20000	chr3	14761189	14761962	+	3155	NA	TTS (C3orf20)	NA	-49165	FGD5								
SKNO1_1_230_R1_peak_15408	chr19	54387788	54388966	+	3148	NA	Intergenic	NA	-23263	LAIR1								
SKNO1_1_230_R1_peak_25134	chr6	41935656	41936951	+	3148	NA	intron (CCND3, intron 4 of 4)	NA	15076	BYSL								
SKNO1_1_230_R1_peak_13697	chr18	63099671	63100942	+	3147	NA	Intergenic	NA	219074	BCL2								
SKNO1_1_230_R1_peak_18860	chr21	37357990	37358867	+	3146	NA	Intergenic	NA	-9129	DYRK1A								
SKNO1_1_230_R1_peak_7161	chr12	110353892	110354694	+	3137	NA	Intergenic	NA	49444	ANAPC7								
SKNO1_1_230_R1_peak_5802	chr11	121416875	121417709	+	3129	NA	Intergenic	NA	-34911	SORL1								
SKNO1_1_230_R1_peak_10182	chr15	90034148	90035326	+	3114	NA	intron (ZNF710, intron 1 of 3)	NA	27973	MIR3174								
SKNO1_1_230_R1_peak_2226	chr1	181152785	181153785	+	3102	NA	Intergenic	NA	-21199	RP11-540K16.1								
SKNO1_1_230_R1_peak_28125	chr8	124637145	124638188	+	3077	NA	intron (MTSS1, intron 3 of 13)	NA	90841	MTSS1								
SKNO1_1_230_R1_peak_3950	chr10	92689022	92691299	+	3074	NA	exon (HHEX, exon 1 of 4)	NA	236	HHEX								
SKNO1_1_230_R1_peak_22298	chr4	57109395	57111429	+	3069	NA	promoter-TSS (IGFBP7)	NA	-27	IGFBP7								
SKNO1_1_230_R1_peak_29474	chr9	129458131	129460019	+	3067	NA	Intergenic	NA	-29585	LINC00963								
SKNO1_1_230_R1_peak_29022	chr9	95462427	95463349	+	3062	NA	promoter-TSS (LOC100507346)	NA	-721	LOC100507346								
SKNO1_1_230_R1_peak_25825	chr6	147203077	147204838	+	3053	NA	promoter-TSS (STXBP5)	NA	-439	STXBP5								
SKNO1_1_230_R1_peak_15397	chr19	54207610	54208859	+	3042	NA	TTS (RPS9)	NA	7402	RPS9								
SKNO1_1_230_R1_peak_15061	chr19	44753089	44754013	+	3041	NA	intron (BCL3, intron 5 of 11)	NA	4830	BCL3								
SKNO1_1_230_R1_peak_13016	chr17	79942515	79943491	+	3034	NA	TTS (TBC1D16)	NA	7854	TBC1D16								
SKNO1_1_230_R1_peak_564	chr1	26541512	26542726	+	3033	NA	promoter-TSS (RPS6KA1)	NA	11374	RPS6KA1								
SKNO1_1_230_R1_peak_18872	chr21	38476088	38476942	+	3016	NA	intron (ERG, intron 3 of 11)	NA	-143175	LOC102724678								
SKNO1_1_230_R1_peak_2436	chr1	203320604	203321624	+	3000	NA	Intergenic	NA	15578	BTG2								
SKNO1_1_230_R1_peak_5930	chr11	130314033	130315082	+	2997	NA	exon (ZBTB44, exon 1 of 6)	NA	208	ZBTB44								
SKNO1_1_230_R1_peak_18920	chr21	42118359	42119622	+	2996	NA	intron (UMODL1, intron 14 of 22)	NA	-10456	C21orf128								
SKNO1_1_230_R1_peak_9914	chr15	73696748	73697636	+	2994	NA	intron (CD276, intron 1 of 9)	NA	10905	CD276								
SKNO1_1_230_R1_peak_20528	chr3	51378900	51379971	+	2993	NA	intron (DOCK3, intron 51 of 51)	NA	-5826	MANF								
SKNO1_1_230_R1_peak_18820	chr21	35026441	35027520	+	2993	NA	intron (RUNX1, intron 2 of 8)	NA	12446	RUNX1-IT1								
SKNO1_1_230_R1_peak_29231	chr9	120896856	120897627	+	2982	NA	Intergenic	NA	-18605	PHF19								
SKNO1_1_230_R1_peak_21035	chr3	128616391	128618167	+	2945	NA	Intergenic	NA	33597	RPN1								
SKNO1_1_230_R1_peak_22268	chr4	55948381	55949726	+	2942	NA	exon (CEP135, exon 1 of 26)	NA	-16725	CEP135								
SKNO1_1_230_R1_peak_5820	chr11	122671136	122672067	+	2890	NA	intron (UBASH3B, intron 1 of 13)	NA	15911	UBASH3B								
SKNO1_1_230_R1_peak_17116	chr2	178404209	178404907	+	2887	NA	Intergenic	NA	-9101	AC009948.5								
SKNO1_1_230_R1_peak_12860	chr17	77083415	77084290	+	2883	NA	Intergenic	NA	-4791	LINC00338								
SKNO1_1_230_R1_peak_21345	chr3	170356503	170358350	+	2880	NA	promoter-TSS (SKIL)	NA	-252	SKIL								
SKNO1_1_230_R1_peak_12662	chr17	73010907	73011632	+	2871	NA	intron (SLC39A11, intron 4 of 9)	NA	81445	SLC39A11								
SKNO1_1_230_R1_peak_5895	chr11	127733465	127734173	+	2867	NA	Intergenic	NA	462752	RP11-480C22.1								
SKNO1_1_230_R1_peak_18883	chr21	38984798	38986293	+	2845	NA	Intergenic	NA	-7771	AF064858.7								
SKNO1_1_230_R1_peak_28819	chr9	76456053	76456866	+	2838	NA	intron (GCNT1, intron 1 of 2)	NA	-21882	GCNT1								
SKNO1_1_230_R1_peak_14739	chr19	33260396	33261334	+	2800	NA	Intergenic	NA	-35143	SLC7A10								
SKNO1_1_230_R1_peak_5330	chr11	68750989	68751850	+	2799	NA	promoter-TSS (MTL5)	NA	101	MTL5								
SKNO1_1_230_R1_peak_29396	chr9	127782862	127784051	+	2780	NA	Intergenic	NA	-2423	MIR3960								
SKNO1_1_230_R1_peak_2347	chr1	199041371	199042062	+	2780	NA	Intergenic	NA	-104287	MIR181A1HG								
SKNO1_1_230_R1_peak_13167	chr17	81966384	81968272	+	2764	NA	Intergenic	NA	-6147	NOTUM								
SKNO1_1_230_R1_peak_26127	chr7	5396506	5398086	+	2757	NA	intron (TNRC18, intron 1 of 28)	NA	26250	TNRC18								
SKNO1_1_230_R1_peak_1997	chr1	159910136	159910961	+	2746	NA	Intergenic	NA	-10432	CCDC19								
SKNO1_1_230_R1_peak_21613	chr3	194255203	194255961	+	2741	NA	intron (RP11-513G11.3, intron 3 of 3)	NA	7934	RP11-513G11.3								
SKNO1_1_230_R1_peak_14536	chr19	16888458	16889532	+	2741	NA	promoter-TSS (F2RL3)	NA	-20	F2RL3								
SKNO1_1_230_R1_peak_24618	chr6	15299198	15300119	+	2737	NA	intron (JARID2, intron 1 of 16)	NA	-50962	JARID2-AS1								
SKNO1_1_230_R1_peak_9204	chr14	104393775	104394822	+	2733	NA	Intergenic	NA	-186843	C14orf180								
SKNO1_1_230_R1_peak_12974	chr17	78879240	78880411	+	2715	NA	intron (TIMP2, intron 1 of 4)	NA	23392	LOC100653515								
SKNO1_1_230_R1_peak_13222	chr17	82591299	82592133	+	2713	NA	intron (FOXK2, intron 7 of 7)	NA	-1706	LOC102723820								
SKNO1_1_230_R1_peak_16066	chr2	55419456	55420442	+	2708	NA	promoter-TSS (CCDC88A)	NA	-45	CCDC88A								
SKNO1_1_230_R1_peak_24603	chr6	14452366	14453404	+	2702	NA	intron (LOC101928331, intron 1 of 2)	NA	20956	LOC101928331								
SKNO1_1_230_R1_peak_5141	chr11	65497191	65497955	+	2702	NA	promoter-TSS (MALAT1)	NA	-189	MALAT1								
SKNO1_1_230_R1_peak_19528	chr22	38751054	38752554	+	2696	NA	intron (SUN2, intron 3 of 18)	NA	3978	SUN2								
SKNO1_1_230_R1_peak_11142	chr16	73396384	73397219	+	2693	NA	intron (RP11-140I24.1, intron 1 of 2)	NA	9996	RP11-140I24.1								
SKNO1_1_230_R1_peak_20161	chr3	32401257	32402439	+	2672	NA	intron (CMTM7, intron 1 of 3)	NA	10177	CMTM7								
SKNO1_1_230_R1_peak_12788	chr17	75827232	75828763	+	2670	NA	TTS (UNC13D)	NA	-6113	LOC100507191								
SKNO1_1_230_R1_peak_4819	chr11	47359351	47360354	+	2668	NA	intron (SPI1, intron 3 of 4)	NA	-7150	MYBPC3								
SKNO1_1_230_R1_peak_2876	chr1	234522489	234523439	+	2651	NA	Intergenic	NA	8815	RP5-855F14.1								
SKNO1_1_230_R1_peak_23872	chr5	139262166	139263105	+	2648	NA	Intergenic	NA	-11117	MATR3								
SKNO1_1_230_R1_peak_4759	chr11	44568256	44569672	+	2644	NA	intron (CD82, intron 1 of 9)	NA	3373	CD82								
SKNO1_1_230_R1_peak_12705	chr17	74737405	74738947	+	2631	NA	intron (RAB37, intron 1 of 7)	NA	1356	RAB37								
SKNO1_1_230_R1_peak_5413	chr11	73153901	73154816	+	2620	NA	Intergenic	NA	-12260	FCHSD2								
SKNO1_1_230_R1_peak_15192	chr19	47243848	47244566	+	2619	NA	Intergenic	NA	-11441	BBC3								
SKNO1_1_230_R1_peak_2879	chr1	234558269	234558925	+	2613	NA	Intergenic	NA	-26818	RP5-855F14.1								
SKNO1_1_230_R1_peak_26926	chr7	105012315	105013729	+	2602	NA	exon (KMT2E-AS1, exon 1 of 1)	NA	1119	KMT2E-AS1								
SKNO1_1_230_R1_peak_7453	chr12	131229540	131230554	+	2577	NA	Intergenic	NA	65036	RP11-638F5.1								
SKNO1_1_230_R1_peak_26258	chr7	20219537	20220438	+	2567	NA	intron (LOC100506098, intron 4 of 4)	NA	2528	LOC100506098								
SKNO1_1_230_R1_peak_29284	chr9	122218090	122219810	+	2551	NA	intron (LHX6, intron 4 of 5)	NA	9928	LHX6								
SKNO1_1_230_R1_peak_26498	chr7	44978577	44979571	+	2551	NA	promoter-TSS (MYO1G)	NA	31	MYO1G								
SKNO1_1_230_R1_peak_10096	chr15	82017900	82018784	+	2545	NA	Intergenic	NA	27801	MEX3B								
SKNO1_1_230_R1_peak_12805	chr17	75904614	75905344	+	2543	NA	exon (MRPL38, exon 1 of 9)	NA	121	MRPL38								
SKNO1_1_230_R1_peak_6032	chr12	2616374	2617425	+	2538	NA	intron (CACNA1C, intron 29 of 45)	NA	74258	CACNA1C-AS1								
SKNO1_1_230_R1_peak_22915	chr5	963599	964562	+	2534	NA	Intergenic	NA	33260	LOC100506688								
SKNO1_1_230_R1_peak_20453	chr3	49021286	49022296	+	2532	NA	promoter-TSS (DALRD3)	NA	-1139	MIR191								
SKNO1_1_230_R1_peak_2890	chr1	234772283	234773140	+	2530	NA	Intergenic	NA	-12661	PP2672								
SKNO1_1_230_R1_peak_10351	chr15	101451043	101451937	+	2528	NA	intron (PCSK6, intron 1 of 13)	NA	38494	PCSK6								
SKNO1_1_230_R1_peak_3022	chr1	247547959	247549173	+	2528	NA	promoter-TSS (GCSAML)	NA	-14727	OR2C3								
SKNO1_1_230_R1_peak_3493	chr10	45470111	45471051	+	2519	NA	intron (MARCH8, intron 3 of 8)	NA	-17448	LOC102724323								
SKNO1_1_230_R1_peak_12184	chr17	44389574	44390337	+	2518	NA	promoter-TSS (ITGA2B)	NA	-450	ITGA2B								
SKNO1_1_230_R1_peak_5904	chr11	128677896	128678605	+	2505	NA	Intergenic	NA	8697	LOC101929538								
SKNO1_1_230_R1_peak_18299	chr20	44645705	44646943	+	2494	NA	intron (ADA, intron 1 of 10)	NA	5337	ADA								
SKNO1_1_230_R1_peak_19214	chr22	23579959	23581194	+	2488	NA	promoter-TSS (IGLL1)	NA	-268	IGLL1								
SKNO1_1_230_R1_peak_8826	chr14	73753131	73754573	+	2484	NA	intron (ELMSAN1, intron 2 of 13)	NA	-4897	MIR4505								
SKNO1_1_230_R1_peak_12710	chr17	74758843	74759882	+	2483	NA	intron (SLC9A3R1, intron 1 of 5)	NA	10749	MIR3615								
SKNO1_1_230_R1_peak_12241	chr17	47067207	47067844	+	2478	NA	intron (LOC101927060, intron 2 of 2)	NA	32740	LOC101927060								
SKNO1_1_230_R1_peak_8373	chr14	23112577	23113216	+	2475	NA	Intergenic	NA	6715	CEBPE								
SKNO1_1_230_R1_peak_22551	chr4	86961136	86962198	+	2472	NA	intron (AFF1, intron 2 of 20)	NA	-26817	LOC100506746								
SKNO1_1_230_R1_peak_26101	chr7	2734463	2735641	+	2457	NA	intron (GNA12, intron 2 of 3)	NA	55530	AMZ1								
SKNO1_1_230_R1_peak_3066	chr10	1425590	1426378	+	2455	NA	intron (ADARB2, intron 1 of 9)	NA	-100646	ADARB2-AS1								
SKNO1_1_230_R1_peak_9787	chr15	66630579	66631744	+	2438	NA	Intergenic	NA	-65182	LCTL								
SKNO1_1_230_R1_peak_29495	chr9	129862961	129863629	+	2438	NA	exon (USP20, exon 9 of 26)	NA	-6315	MIR6855								
SKNO1_1_230_R1_peak_19990	chr3	14232491	14233248	+	2436	NA	Intergenic	NA	54141	LSM3								
SKNO1_1_230_R1_peak_16081	chr2	60099895	60100667	+	2436	NA	Intergenic	NA	287164	MIR4432								
SKNO1_1_230_R1_peak_28837	chr9	77909107	77909955	+	2434	NA	intron (GNAQ, intron 2 of 6)	NA	121918	GNAQ								
SKNO1_1_230_R1_peak_20485	chr3	49805283	49806789	+	2418	NA	TTS (MIR5193)	NA	150	MIR5193								
SKNO1_1_230_R1_peak_13752	chr18	77114465	77115728	+	2416	NA	intron (MBP, intron 1 of 7)	NA	-97997	MBP								
SKNO1_1_230_R1_peak_8824	chr14	73741417	73742602	+	2415	NA	intron (ELMSAN1, intron 2 of 13)	NA	-16740	MIR4505								
SKNO1_1_230_R1_peak_3723	chr10	72297110	72297967	+	2404	NA	Intergenic	NA	23619	DDIT4								
SKNO1_1_230_R1_peak_23825	chr5	135372592	135373478	+	2401	NA	intron (H2AFY, intron 2 of 8)	NA	26581	H2AFY								
SKNO1_1_230_R1_peak_2568	chr1	207923165	207924191	+	2398	NA	Intergenic	NA	-12340	CD34								
SKNO1_1_230_R1_peak_19069	chr22	17980158	17981154	+	2398	NA	TTS (MIR648)	NA	305	MIR648								
SKNO1_1_230_R1_peak_17130	chr2	181305558	181306289	+	2397	NA	promoter-TSS (MIR4437)	NA	-271	MIR4437								
SKNO1_1_230_R1_peak_19768	chr22	46604010	46604833	+	2396	NA	intron (GRAMD4, intron 1 of 17)	NA	-9513	GRAMD4								
SKNO1_1_230_R1_peak_16168	chr2	65081083	65081810	+	2384	NA	TTS (CEP68)	NA	-16304	LOC102724243								
SKNO1_1_230_R1_peak_22224	chr4	54064066	54065015	+	2368	NA	exon (CHIC2, exon 1 of 6)	NA	838	CHIC2								
SKNO1_1_230_R1_peak_24334	chr5	178182034	178182745	+	2366	NA	Intergenic	NA	5043	GMCL1P1								
SKNO1_1_230_R1_peak_10870	chr16	53098765	53100202	+	2363	NA	intron (CHD9, intron 1 of 38)	NA	44490	CHD9								
SKNO1_1_230_R1_peak_19034	chr21	46320326	46321178	+	2359	NA	promoter-TSS (C21orf58)	NA	-1870	C21orf58								
SKNO1_1_230_R1_peak_21847	chr4	2811545	2813386	+	2358	NA	exon (SH3BP2, exon 1 of 13)	NA	-10932	SH3BP2								
SKNO1_1_230_R1_peak_2357	chr1	200154016	200154732	+	2339	NA	intron (NR5A2, intron 6 of 6)	NA	126772	NR5A2								
SKNO1_1_230_R1_peak_20842	chr3	108125252	108126141	+	2325	NA	promoter-TSS (RP11-861A13.4)	NA	-125	RP11-861A13.4								
SKNO1_1_230_R1_peak_17876	chr20	4154831	4155468	+	2322	NA	promoter-TSS (SMOX)	NA	6370	SMOX								
SKNO1_1_230_R1_peak_3577	chr10	61765257	61766209	+	2322	NA	intron (C10orf107, intron 7 of 7)	NA	102772	C10orf107								
SKNO1_1_230_R1_peak_19125	chr22	20158768	20159579	+	2322	NA	Intergenic	NA	-9265	LOC388849								
SKNO1_1_230_R1_peak_14620	chr19	18317856	18318783	+	2321	NA	intron (LSM4, intron 1 of 4)	NA	4872	LSM4								
SKNO1_1_230_R1_peak_12066	chr17	41308199	41309450	+	2320	NA	exon (KRTAP16-1, exon 1 of 1)	NA	429	KRTAP16-1								
SKNO1_1_230_R1_peak_30023	chrX	40127026	40127619	+	2312	NA	intron (BCOR, intron 1 of 14)	NA	-31487	BCOR								
SKNO1_1_230_R1_peak_12038	chr17	40338716	40339912	+	2311	NA	intron (RARA, intron 2 of 6)	NA	3376	RARA-AS1								
SKNO1_1_230_R1_peak_23122	chr5	40678901	40680288	+	2309	NA	promoter-TSS (PTGER4)	NA	-1357	PTGER4								
SKNO1_1_230_R1_peak_18007	chr20	20232789	20233683	+	2302	NA	intron (C20orf26, intron 17 of 25)	NA	25156	LOC101929575								
SKNO1_1_230_R1_peak_17346	chr2	207959914	207960815	+	2299	NA	intron (PLEKHM3, intron 3 of 7)	NA	65171	PLEKHM3								
SKNO1_1_230_R1_peak_23540	chr5	96934641	96936684	+	2286	NA	promoter-TSS (LNPEP)	NA	20	LNPEP								
SKNO1_1_230_R1_peak_12412	chr17	57867794	57869348	+	2283	NA	intron (CUEDC1, intron 7 of 10)	NA	-18499	MRPS23								
SKNO1_1_230_R1_peak_18227	chr20	37336449	37337082	+	2283	NA	Intergenic	NA	-7920	SRC								
SKNO1_1_230_R1_peak_28409	chr8	143941734	143944276	+	2283	NA	promoter-TSS (PLEC)	NA	-490	PLEC								
SKNO1_1_230_R1_peak_4823	chr11	47394414	47395379	+	2281	NA	Intergenic	NA	-6127	MIR4487								
SKNO1_1_230_R1_peak_12205	chr17	45225307	45226676	+	2280	NA	intron (FMNL1, intron 1 of 25)	NA	4085	FMNL1								
SKNO1_1_230_R1_peak_1396	chr1	93816756	93817670	+	2280	NA	intron (BCAR3, intron 2 of 13)	NA	-29619	MIR760								
SKNO1_1_230_R1_peak_3068	chr10	1488966	1489698	+	2280	NA	intron (ADARB2, intron 1 of 9)	NA	-37298	ADARB2-AS1								
SKNO1_1_230_R1_peak_27516	chr8	29773154	29774580	+	2279	NA	Intergenic	NA	16432	LOC102723484								
SKNO1_1_230_R1_peak_21984	chr4	11099912	11100709	+	2272	NA	Intergenic	NA	-268517	MIR572								
SKNO1_1_230_R1_peak_3001	chr1	246782015	246783029	+	2268	NA	intron (KIF28P, intron 16 of 22)	NA	-7095	LOC149134								
SKNO1_1_230_R1_peak_15702	chr2	17122605	17123485	+	2260	NA	Intergenic	NA	-391347	LOC101928149								
SKNO1_1_230_R1_peak_15302	chr19	49987071	49987660	+	2260	NA	intron (VRK3, intron 12 of 12)	NA	17710	SIGLEC16								
SKNO1_1_230_R1_peak_9115	chr14	100068176	100069194	+	2257	NA	intron (EVL, intron 1 of 13)	NA	40829	MIR151B								
SKNO1_1_230_R1_peak_7364	chr12	123033708	123034683	+	2249	NA	intron (PITPNM2, intron 2 of 25)	NA	-23467	MIR4304								
SKNO1_1_230_R1_peak_498	chr1	25033432	25034740	+	2245	NA	Intergenic	NA	10534	MIR4425								
SKNO1_1_230_R1_peak_12388	chr17	56779741	56780745	+	2245	NA	Intergenic	NA	52668	C17orf67								
SKNO1_1_230_R1_peak_19390	chr22	32880752	32881805	+	2240	NA	intron (SYN3, intron 3 of 12)	NA	80462	TIMP3								
SKNO1_1_230_R1_peak_11345	chr16	87780098	87781309	+	2240	NA	Intergenic	NA	-1555	LOC102724467								
SKNO1_1_230_R1_peak_26772	chr7	92639328	92640433	+	2239	NA	intron (CDK6, intron 5 of 7)	NA	-49486	FAM133B								
SKNO1_1_230_R1_peak_28233	chr8	134682987	134683847	+	2235	NA	intron (ZFAT, intron 1 of 16)	NA	29620	ZFAT								
SKNO1_1_230_R1_peak_195	chr1	8858033	8858691	+	2212	NA	Intergenic	NA	8228	MIR6728								
SKNO1_1_230_R1_peak_6489	chr12	47206773	47208264	+	2209	NA	TTS (PCED1B-AS1)	NA	8925	PCED1B-AS1								
SKNO1_1_230_R1_peak_20315	chr3	44439578	44440366	+	2205	NA	exon (ZNF445, exon 8 of 8)	NA	12270	LOC100506319								
