PeakID (cmd=annotatePeaks.pl SKNO1_1_233_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_233_R1_peak_10832	chr3	46987724	46988174	+	619	NA	promoter-TSS (NBEAL2)	NA	-11086	NBEAL2								
SKNO1_1_233_R1_peak_3337	chr12	10673699	10674452	+	619	NA	exon (STYK1, exon 1 of 11)	NA	243	STYK1								
SKNO1_1_233_R1_peak_1042	chr1	155688348	155689263	+	619	NA	promoter-TSS (YY1AP1)	NA	-28	YY1AP1								
SKNO1_1_233_R1_peak_8119	chr19	48321766	48322447	+	615	NA	promoter-TSS (CCDC114)	NA	-212	CCDC114								
SKNO1_1_233_R1_peak_14022	chr7	30028115	30028895	+	615	NA	promoter-TSS (PLEKHA8)	NA	144	PLEKHA8								
SKNO1_1_233_R1_peak_5097	chr15	41230692	41231326	+	615	NA	promoter-TSS (EXD1)	NA	-134	CHP1								
SKNO1_1_233_R1_peak_1366	chr1	205211210	205211963	+	611	NA	promoter-TSS (DSTYK)	NA	13	DSTYK								
SKNO1_1_233_R1_peak_10498	chr22	43187080	43187976	+	609	NA	promoter-TSS (TTLL12)	NA	-397	TTLL12								
SKNO1_1_233_R1_peak_109	chr1	8858094	8858740	+	608	NA	Intergenic	NA	8105	MIR6728								
SKNO1_1_233_R1_peak_971	chr1	151281051	151282692	+	608	NA	promoter-TSS (ZNF687)	NA	58	LOC100507670								
SKNO1_1_233_R1_peak_6936	chr17	81453685	81454234	+	605	NA	intron (BAHCC1, intron 14 of 27)	NA	-2786	MIR3186								
SKNO1_1_233_R1_peak_5254	chr15	64841367	64841950	+	605	NA	promoter-TSS (PLEKHO2)	NA	-225	PLEKHO2								
SKNO1_1_233_R1_peak_8019	chr19	44753262	44753819	+	604	NA	intron (BCL3, intron 5 of 11)	NA	4819	BCL3								
SKNO1_1_233_R1_peak_4506	chr14	22556088	22556785	+	604	NA	Intergenic	NA	32801	DAD1								
