PeakID (cmd=annotatePeaks.pl SKNO1_1_308_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_308_R1_peak_11319	chr3	128603434	128604296	+	2447	NA	Intergenic	NA	-27779	C3orf27								
SKNO1_1_308_R1_peak_10087	chr21	17454450	17455060	+	2439	NA	TTS (TRNAG27)	NA	104	TRNAG27								
SKNO1_1_308_R1_peak_5726	chr16	22296899	22297572	+	2428	NA	promoter-TSS (TRNAL27)	NA	95	TRNAL27								
SKNO1_1_308_R1_peak_13223	chr6	27795641	27796143	+	2414	NA	promoter-TSS (TRNAQ10)	NA	40	TRNAQ10								
SKNO1_1_308_R1_peak_13198	chr6	27176949	27177900	+	2406	NA	promoter-TSS (TRNAI20)	NA	-136	TRNAI20								
SKNO1_1_308_R1_peak_13269	chr6	28940843	28941890	+	2394	NA	TTS (TRNAL22)	NA	306	TRNAQ11								
SKNO1_1_308_R1_peak_1765	chr10	22229212	22229831	+	2392	NA	promoter-TSS (TRNAN11)	NA	61	TRNAN11								
SKNO1_1_308_R1_peak_1132	chr1	167714394	167715012	+	2391	NA	promoter-TSS (TRNAP11)	NA	-22	TRNAP11								
SKNO1_1_308_R1_peak_2631	chr11	59550372	59552050	+	2386	NA	promoter-TSS (TRNAL23)	NA	-83	TRNAR14								
SKNO1_1_308_R1_peak_14885	chr8	101136918	101137680	+	2372	NA	Intergenic	NA	68433	ZNF706								
SKNO1_1_308_R1_peak_1099	chr1	161523702	161524249	+	2356	NA	promoter-TSS (HSPA6)	NA	-58	TRNAG31								
SKNO1_1_308_R1_peak_4903	chr14	102316796	102317413	+	2353	NA	promoter-TSS (ZNF839)	NA	12	TRNAI15								
SKNO1_1_308_R1_peak_13185	chr6	26553260	26554485	+	2347	NA	promoter-TSS (TRNAI9)	NA	-250	TRNAI9								
SKNO1_1_308_R1_peak_2602	chr11	47407828	47408634	+	2327	NA	promoter-TSS (SLC39A13)	NA	-385	SLC39A13								
SKNO1_1_308_R1_peak_2899	chr11	68459917	68460529	+	2315	NA	promoter-TSS (PPP6R3)	NA	-44922	PPP6R3								
SKNO1_1_308_R1_peak_6368	chr17	19507933	19508516	+	2306	NA	promoter-TSS (TRNAW7)	NA	43	TRNAW7								
SKNO1_1_308_R1_peak_15454	chr9	95462408	95463236	+	2294	NA	promoter-TSS (LOC100507346)	NA	-787	LOC100507346								
SKNO1_1_308_R1_peak_13219	chr6	27687948	27688645	+	2266	NA	TTS (TRNAI4)	NA	108	TRNAI4								
SKNO1_1_308_R1_peak_6168	chr16	88978500	88979412	+	2259	NA	Intergenic	NA	-1860	CBFA2T3								
SKNO1_1_308_R1_peak_6009	chr16	75075090	75075756	+	2256	NA	intron (ZNRF1, intron 1 of 4)	NA	41349	LDHD								
SKNO1_1_308_R1_peak_308	chr1	25033683	25034484	+	2244	NA	Intergenic	NA	10531	MIR4425								
SKNO1_1_308_R1_peak_11749	chr4	2412960	2413714	+	2239	NA	intron (ZFYVE28, intron 1 of 11)	NA	5337	ZFYVE28								
SKNO1_1_308_R1_peak_5723	chr16	22195476	22195992	+	2226	NA	promoter-TSS (TRNAL7)	NA	58	TRNAL7								
SKNO1_1_308_R1_peak_11476	chr3	169771950	169772604	+	2226	NA	promoter-TSS (TRNAV24)	NA	47	TRNAV24								
SKNO1_1_308_R1_peak_11121	chr3	52253236	52253755	+	2222	NA	TTS (WDR82)	NA	7325	PPM1M								
SKNO1_1_308_R1_peak_13178	chr6	26322634	26323154	+	2205	NA	promoter-TSS (TRNAR28)	NA	76	TRNAR28								
SKNO1_1_308_R1_peak_1133	chr1	167715228	167715788	+	2205	NA	promoter-TSS (TRNAP4)	NA	51	TRNAP4								
SKNO1_1_308_R1_peak_8116	chr19	35909222	35909784	+	2205	NA	promoter-TSS (TYROBP)	NA	-1194	TYROBP								
SKNO1_1_308_R1_peak_13263	chr6	28838198	28838787	+	2191	NA	promoter-TSS (TRNAA13)	NA	23	TRNAA13								
SKNO1_1_308_R1_peak_4460	chr14	22556109	22556960	+	2187	NA	Intergenic	NA	32703	DAD1								
SKNO1_1_308_R1_peak_13015	chr5	181217987	181218572	+	2185	NA	promoter-TSS (TRNAV1)	NA	63	TRNAV1								
SKNO1_1_308_R1_peak_13182	chr6	26520882	26521524	+	2174	NA	promoter-TSS (TRNAL26)	NA	-5	TRNAL26								
SKNO1_1_308_R1_peak_3687	chr12	68364757	68365763	+	2165	NA	Intergenic	NA	-16613	LOC100507195								
SKNO1_1_308_R1_peak_915	chr1	146039207	146039640	+	2164	NA	promoter-TSS (TRNAK20)	NA	22	TRNAK20								
SKNO1_1_308_R1_peak_13016	chr5	181221664	181222741	+	2161	NA	promoter-TSS (TRNAK2)	NA	-151	TRNAK2								
SKNO1_1_308_R1_peak_723	chr1	77683153	77683828	+	2156	NA	promoter-TSS (ZZZ3)	NA	-59	ZZZ3								
SKNO1_1_308_R1_peak_13228	chr6	27902292	27903216	+	2147	NA	promoter-TSS (TRNAM17)	NA	-190	TRNAM17								
SKNO1_1_308_R1_peak_6449	chr17	38751541	38752074	+	2145	NA	promoter-TSS (PSMB3)	NA	47	TRNAN17								
SKNO1_1_308_R1_peak_13176	chr6	26312423	26313416	+	2145	NA	promoter-TSS (TRNAS27)	NA	-242	TRNAS27								
SKNO1_1_308_R1_peak_13014	chr5	181207529	181208059	+	2144	NA	promoter-TSS (TRNAK33)	NA	39	TRNAK33								
SKNO1_1_308_R1_peak_12768	chr5	140711066	140711590	+	2137	NA	promoter-TSS (VTRNA1-1)	NA	52	VTRNA1-1								
SKNO1_1_308_R1_peak_13183	chr6	26532657	26533204	+	2129	NA	promoter-TSS (TRNAT14)	NA	60	TRNAT14								
SKNO1_1_308_R1_peak_6632	chr17	49192193	49192880	+	2119	NA	promoter-TSS (TRNAQ2)	NA	8	TRNAQ2								
SKNO1_1_308_R1_peak_13240	chr6	28542776	28543417	+	2110	NA	promoter-TSS (TRNAR7)	NA	90	TRNAR7								
SKNO1_1_308_R1_peak_7990	chr19	17305312	17305901	+	2108	NA	promoter-TSS (MRPL34)	NA	-62	MRPL34								
SKNO1_1_308_R1_peak_2635	chr11	59565862	59566688	+	2108	NA	TTS (TRNAF1)	NA	177	TRNAF1								
SKNO1_1_308_R1_peak_2634	chr11	59560113	59560708	+	2107	NA	promoter-TSS (TRNAK3)	NA	-3	TRNAK3								
SKNO1_1_308_R1_peak_3771	chr12	98503226	98503881	+	2090	NA	promoter-TSS (TRNAD10)	NA	50	TRNAD10								
SKNO1_1_308_R1_peak_5822	chr16	50281873	50282471	+	2088	NA	intron (ADCY7, intron 1 of 22)	NA	-5740	ADCY7								
SKNO1_1_308_R1_peak_8073	chr19	33260461	33261327	+	2087	NA	Intergenic	NA	-35172	SLC7A10								
SKNO1_1_308_R1_peak_8410	chr19	54207852	54208774	+	2082	NA	TTS (RPS9)	NA	7486	RPS9								
SKNO1_1_308_R1_peak_8194	chr19	41327119	41328117	+	2078	NA	Intergenic	NA	17429	CCDC97								
SKNO1_1_308_R1_peak_11976	chr4	55948640	55949700	+	2073	NA	intron (CEP135, intron 1 of 25)	NA	362	CEP135								
SKNO1_1_308_R1_peak_13230	chr6	28212817	28213380	+	2073	NA	promoter-TSS (TRNAS13)	NA	61	TRNAS13								
SKNO1_1_308_R1_peak_4435	chr14	20625132	20625722	+	2068	NA	promoter-TSS (TRNAL15)	NA	57	TRNAL15								
SKNO1_1_308_R1_peak_11954	chr4	54064257	54065000	+	2058	NA	promoter-TSS (CHIC2)	NA	20	CHIC2								
SKNO1_1_308_R1_peak_1987	chr10	71797370	71798353	+	2054	NA	intron (CDH23, intron 2 of 22)	NA	7114	MIR7152								
SKNO1_1_308_R1_peak_11170	chr3	58491675	58492518	+	2045	NA	promoter-TSS (KCTD6)	NA	-1819	KCTD6								
SKNO1_1_308_R1_peak_8230	chr19	44753171	44753768	+	2031	NA	intron (BCL3, intron 5 of 11)	NA	4748	BCL3								
SKNO1_1_308_R1_peak_11484	chr3	170356693	170358412	+	2030	NA	promoter-TSS (SKIL)	NA	-2071	SKIL								
SKNO1_1_308_R1_peak_6106	chr16	87779033	87779679	+	2019	NA	promoter-TSS (LOC102724467)	NA	-208	LOC102724467								
SKNO1_1_308_R1_peak_6958	chr17	75827357	75828422	+	2017	NA	TTS (UNC13D)	NA	-6005	LOC100507191								
SKNO1_1_308_R1_peak_5124	chr15	45200181	45200756	+	2001	NA	promoter-TSS (TRNAH2)	NA	16	TRNAH2								
SKNO1_1_308_R1_peak_13248	chr6	28673629	28674187	+	1994	NA	promoter-TSS (TRNAA40)	NA	-1	TRNAA40								
SKNO1_1_308_R1_peak_2864	chr11	67317414	67317935	+	1979	NA	promoter-TSS (LOC100130987)	NA	-165	LOC100130987								
SKNO1_1_308_R1_peak_4433	chr14	20609897	20610411	+	1938	NA	promoter-TSS (TRNAP1)	NA	22	TRNAL1								
SKNO1_1_308_R1_peak_6096	chr16	87383635	87384346	+	1936	NA	promoter-TSS (FBXO31)	NA	104	TRNAM13								
SKNO1_1_308_R1_peak_223	chr1	16677983	16678514	+	1910	NA	promoter-TSS (TRNAG-CCC)	NA	93	TRNAG-CCC								
SKNO1_1_308_R1_peak_10433	chr22	29202470	29203236	+	1908	NA	intron (LOC101929638, intron 2 of 2)	NA	2953	LOC101929638								
SKNO1_1_308_R1_peak_1447	chr1	224503361	224504079	+	1903	NA	Intergenic	NA	-43141	CNIH3								
SKNO1_1_308_R1_peak_11321	chr3	128616467	128617078	+	1901	NA	Intergenic	NA	34104	RPN1								
SKNO1_1_308_R1_peak_3188	chr11	122671161	122672007	+	1900	NA	intron (UBASH3B, intron 1 of 13)	NA	15894	UBASH3B								
SKNO1_1_308_R1_peak_13197	chr6	27162076	27162561	+	1889	NA	promoter-TSS (TRNAT7)	NA	47	TRNAT7								
SKNO1_1_308_R1_peak_13309	chr6	31586210	31587091	+	1887	NA	promoter-TSS (LST1)	NA	441	LST1								
SKNO1_1_308_R1_peak_3310	chr12	2616594	2617266	+	1881	NA	intron (CACNA1C, intron 29 of 45)	NA	74227	CACNA1C-AS1								
SKNO1_1_308_R1_peak_1302	chr1	203320769	203321557	+	1876	NA	Intergenic	NA	15627	BTG2								
SKNO1_1_308_R1_peak_3897	chr12	117063044	117063964	+	1874	NA	intron (TESC, intron 2 of 7)	NA	35942	TESC								
SKNO1_1_308_R1_peak_6107	chr16	87780356	87781084	+	1871	NA	Intergenic	NA	-1572	LOC102724467								
SKNO1_1_308_R1_peak_15650	chr9	127782888	127783694	+	1841	NA	Intergenic	NA	-2588	MIR3960								
SKNO1_1_308_R1_peak_4440	chr14	20681451	20681993	+	1824	NA	promoter-TSS (TRNAT12)	NA	32	TRNAT12								
SKNO1_1_308_R1_peak_13173	chr6	26305234	26305780	+	1824	NA	promoter-TSS (TRNAS16)	NA	66	TRNAS16								
SKNO1_1_308_R1_peak_15553	chr9	114372724	114373478	+	1816	NA	intron (AKNA, intron 4 of 21)	NA	21304	AKNA								
SKNO1_1_308_R1_peak_15977	chrX	18674669	18675209	+	1816	NA	promoter-TSS (TRNAV19)	NA	42	TRNAV19								
SKNO1_1_308_R1_peak_1101	chr1	161530801	161531390	+	1809	NA	promoter-TSS (TRNAG8)	NA	-18	TRNAG8								
SKNO1_1_308_R1_peak_9866	chr20	43950073	43950709	+	1798	NA	intron (TOX2, intron 1 of 7)	NA	34249	TOX2								
SKNO1_1_308_R1_peak_13242	chr6	28589181	28589875	+	1792	NA	TTS (TRNAQ12)	NA	149	TRNAQ12								
SKNO1_1_308_R1_peak_13244	chr6	28606930	28607461	+	1790	NA	promoter-TSS (TRNAA28)	NA	39	TRNAA28								
SKNO1_1_308_R1_peak_2065	chr10	79286216	79287059	+	1773	NA	intron (ZMIZ1, intron 8 of 23)	NA	-60827	PPIF								
SKNO1_1_308_R1_peak_1462	chr1	225999289	226000060	+	1770	NA	promoter-TSS (SDE2)	NA	-309	SDE2								
SKNO1_1_308_R1_peak_11631	chr3	195259352	195260564	+	1764	NA	promoter-TSS (XXYLT1)	NA	-319	XXYLT1								
SKNO1_1_308_R1_peak_3179	chr11	121416993	121417676	+	1739	NA	Intergenic	NA	-34869	SORL1								
SKNO1_1_308_R1_peak_13713	chr6	135323096	135323660	+	1722	NA	intron (AHI1, intron 21 of 25)	NA	84218	MIR548A2								
SKNO1_1_308_R1_peak_5870	chr16	57544067	57544695	+	1719	NA	intron (GPR114, intron 1 of 11)	NA	1960	GPR114								
SKNO1_1_308_R1_peak_10768	chr3	9749622	9750336	+	1718	NA	promoter-TSS (OGG1)	NA	35	OGG1								
SKNO1_1_308_R1_peak_13213	chr6	27650740	27651189	+	1713	NA	promoter-TSS (TRNAV8)	NA	36	TRNAV8								
SKNO1_1_308_R1_peak_14388	chr7	105012352	105012924	+	1711	NA	exon (KMT2E-AS1, exon 1 of 1)	NA	1503	KMT2E-AS1								
SKNO1_1_308_R1_peak_5125	chr15	45200924	45201493	+	1708	NA	promoter-TSS (SHF)	NA	-33	SHF								
SKNO1_1_308_R1_peak_10253	chr21	44854704	44855437	+	1704	NA	intron (PTTG1IP, intron 2 of 2)	NA	18833	PTTG1IP								
SKNO1_1_308_R1_peak_11973	chr4	55346069	55346898	+	1702	NA	exon (SRD5A3, exon 1 of 4)	NA	241	SRD5A3								
SKNO1_1_308_R1_peak_2880	chr11	67613908	67614568	+	1692	NA	intron (DOC2GP, intron 4 of 4)	NA	1426	DOC2GP								
SKNO1_1_308_R1_peak_7751	chr19	8487184	8487868	+	1678	NA	intron (HNRNPM, intron 15 of 15)	NA	15128	PRAM1								
SKNO1_1_308_R1_peak_13258	chr6	28795717	28796199	+	1674	NA	promoter-TSS (TRNAA34)	NA	77	TRNAA34								
SKNO1_1_308_R1_peak_1429	chr1	222464805	222465279	+	1672	NA	promoter-TSS (TRNAT19)	NA	37	TRNAT19								
SKNO1_1_308_R1_peak_6452	chr17	38867472	38867960	+	1671	NA	promoter-TSS (TRNAC5)	NA	71	TRNAC5								
SKNO1_1_308_R1_peak_15139	chr8	143942048	143943116	+	1657	NA	promoter-TSS (PLEC)	NA	2169	PLEC								
SKNO1_1_308_R1_peak_6328	chr17	8226049	8227226	+	1654	NA	promoter-TSS (TRNAS14)	NA	54	TRNAS14								
SKNO1_1_308_R1_peak_11998	chr4	57109539	57111160	+	1647	NA	promoter-TSS (IGFBP7)	NA	36	IGFBP7								
SKNO1_1_308_R1_peak_14240	chr7	74272472	74272976	+	1637	NA	Intergenic	NA	-16751	CLIP2								
SKNO1_1_308_R1_peak_1189	chr1	181152919	181153535	+	1636	NA	Intergenic	NA	-21257	RP11-540K16.1								
SKNO1_1_308_R1_peak_13108	chr6	14452382	14453146	+	1636	NA	intron (LOC101928331, intron 1 of 2)	NA	20835	LOC101928331								
SKNO1_1_308_R1_peak_14462	chr7	139340468	139341021	+	1636	NA	promoter-TSS (C7orf55-LUC7L2)	NA	44	TRNAR27								
SKNO1_1_308_R1_peak_5646	chr16	3152673	3153190	+	1634	NA	promoter-TSS (TRNAR18)	NA	31	TRNAR18								
SKNO1_1_308_R1_peak_13010	chr5	181188277	181189182	+	1621	NA	promoter-TSS (TRNAV10)	NA	196	TRNAP3								
SKNO1_1_308_R1_peak_4432	chr14	20609118	20609625	+	1619	NA	promoter-TSS (TRNAP1)	NA	36	TRNAP1								
SKNO1_1_308_R1_peak_5727	chr16	22298178	22298807	+	1584	NA	promoter-TSS (POLR3E)	NA	1117	POLR3E								
SKNO1_1_308_R1_peak_2599	chr11	47394667	47395211	+	1582	NA	Intergenic	NA	-6084	MIR4487								
SKNO1_1_308_R1_peak_1104	chr1	161612392	161612955	+	1580	NA	promoter-TSS (TRNAL3)	NA	-644	TRNAL3								
SKNO1_1_308_R1_peak_6323	chr17	8186639	8187919	+	1575	NA	promoter-TSS (TRNAI23)	NA	119	TRNAT8								
SKNO1_1_308_R1_peak_14364	chr7	101390836	101391253	+	1565	NA	intron (COL26A1, intron 1 of 12)	NA	28224	COL26A1								
SKNO1_1_308_R1_peak_5306	chr15	70447849	70448372	+	1565	NA	Intergenic	NA	138496	LOC101929151								
SKNO1_1_308_R1_peak_13200	chr6	27235253	27235718	+	1559	NA	promoter-TSS (TRNAV12)	NA	-24	TRNAV12								
SKNO1_1_308_R1_peak_10731	chr22	50469503	50470369	+	1558	NA	intron (SBF1, intron 1 of 39)	NA	5102	SBF1								
SKNO1_1_308_R1_peak_5943	chr16	67984820	67985229	+	1556	NA	Intergenic	NA	-4475	DPEP3								
SKNO1_1_308_R1_peak_3661	chr12	59595799	59597112	+	1555	NA	intron (SLC16A7, intron 1 of 5)	NA	415	SLC16A7								
SKNO1_1_308_R1_peak_7240	chr17	82591415	82592005	+	1549	NA	intron (FOXK2, intron 8 of 8)	NA	-1712	LOC102723820								
SKNO1_1_308_R1_peak_2562	chr11	44568590	44569583	+	1548	NA	intron (CD82, intron 1 of 9)	NA	4659	CD82								
SKNO1_1_308_R1_peak_7012	chr17	77140214	77141176	+	1548	NA	promoter-TSS (SEC14L1)	NA	51278	MIR6516								
SKNO1_1_308_R1_peak_10901	chr3	32401480	32402029	+	1548	NA	intron (CMTM7, intron 1 of 3)	NA	10083	CMTM7								
SKNO1_1_308_R1_peak_13262	chr6	28816913	28817449	+	1548	NA	TTS (TRNAA10)	NA	125	TRNAA10								
SKNO1_1_308_R1_peak_15848	chr9	136529535	136530712	+	1547	NA	intron (NOTCH1, intron 2 of 33)	NA	-10498	MIR4673								
SKNO1_1_308_R1_peak_11660	chr3	196183381	196183981	+	1544	NA	Intergenic	NA	-26304	LOC102723473								
SKNO1_1_308_R1_peak_5877	chr16	57689581	57690418	+	1543	NA	TTS (GPR97)	NA	-4802	CCDC135								
SKNO1_1_308_R1_peak_6461	chr17	39153526	39154007	+	1540	NA	promoter-TSS (PLXDC1)	NA	39	TRNAC9								
SKNO1_1_308_R1_peak_13179	chr6	26327387	26328478	+	1536	NA	promoter-TSS (TRNAR26)	NA	-208	TRNAR26								
SKNO1_1_308_R1_peak_1997	chr10	72297152	72297673	+	1536	NA	Intergenic	NA	23493	DDIT4								
SKNO1_1_308_R1_peak_1390	chr1	211515341	211515818	+	1534	NA	Intergenic	NA	-22662	RD3								
SKNO1_1_308_R1_peak_1024	chr1	156096976	156097445	+	1534	NA	intron (LMNA, intron 3 of 12)	NA	-15212	MEX3A								
SKNO1_1_308_R1_peak_6312	chr17	8118902	8119413	+	1530	NA	promoter-TSS (ALOXE3)	NA	2	TRNAK1								
