PeakID (cmd=annotatePeaks.pl OCIAML2_1_168_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OCIAML2_1_168_R1_peak_2163	chr12	108313768	108314178	+	1207	NA	intron (CMKLR1, intron 1 of 2)	NA	6689	CMKLR1								
OCIAML2_1_168_R1_peak_5682	chr3	44439787	44440166	+	1203	NA	exon (ZNF445, exon 8 of 8)	NA	12274	LOC100506319								
OCIAML2_1_168_R1_peak_7331	chr6	41186221	41186583	+	1200	NA	Intergenic	NA	14785	TREML2								
OCIAML2_1_168_R1_peak_5187	chr20	53751361	53751727	+	1196	NA	Intergenic	NA	124165	SUMO1P1								
OCIAML2_1_168_R1_peak_3618	chr17	59533772	59534104	+	1185	NA	Intergenic	NA	-7099	RP11-567L7.6								
OCIAML2_1_168_R1_peak_1632	chr11	72807246	72807601	+	1178	NA	Intergenic	NA	-6983	ATG16L2								
OCIAML2_1_168_R1_peak_7829	chr7	25895302	25895650	+	1166	NA	Intergenic	NA	54510	MIR148A								
OCIAML2_1_168_R1_peak_1027	chr10	13831813	13832183	+	1163	NA	intron (FRMD4A, intron 2 of 24)	NA	20585	LOC102723887								
OCIAML2_1_168_R1_peak_2574	chr14	24673053	24673392	+	1158	NA	Intergenic	NA	-38996	GZMB								
OCIAML2_1_168_R1_peak_3485	chr17	28728639	28729086	+	1148	NA	promoter-TSS (TLCD1)	NA	48	NEK8								
OCIAML2_1_168_R1_peak_6628	chr5	10632064	10632556	+	1135	NA	intron (ANKRD33B, intron 1 of 2)	NA	67533	ANKRD33B								
OCIAML2_1_168_R1_peak_6015	chr3	159950557	159950906	+	1135	NA	intron (IL12A-AS1, intron 9 of 9)	NA	-38105	IL12A								
OCIAML2_1_168_R1_peak_954	chr1	244834824	244835172	+	1134	NA	promoter-TSS (COX20)	NA	-339	COX20								
OCIAML2_1_168_R1_peak_4447	chr2	60439430	60439804	+	1133	NA	Intergenic	NA	-37500	LOC102724142								
OCIAML2_1_168_R1_peak_7954	chr7	77192999	77193345	+	1122	NA	TTS (FGL2)	NA	6661	FGL2								
OCIAML2_1_168_R1_peak_1323	chr10	113094051	113094480	+	1120	NA	intron (TCF7L2, intron 6 of 15)	NA	144046	TCF7L2								
OCIAML2_1_168_R1_peak_3856	chr18	51211487	51212005	+	1109	NA	Intergenic	NA	-14065	MEX3C								
OCIAML2_1_168_R1_peak_4300	chr2	8303558	8304001	+	1108	NA	intron (LINC00299, intron 2 of 8)	NA	24640	LINC00299								
OCIAML2_1_168_R1_peak_2336	chr13	30713150	30713499	+	1107	NA	promoter-TSS (ALOX5AP)	NA	-22184	ALOX5AP								
OCIAML2_1_168_R1_peak_1743	chr11	116348225	116348554	+	1106	NA	Intergenic	NA	-291033	LOC101929011								
OCIAML2_1_168_R1_peak_7518	chr6	109282780	109283112	+	1105	NA	Intergenic	NA	-11357	CCDC162P								
OCIAML2_1_168_R1_peak_1951	chr12	42056192	42056557	+	1104	NA	Intergenic	NA	88497	GXYLT1								
OCIAML2_1_168_R1_peak_3243	chr16	55226120	55226499	+	1104	NA	Intergenic	NA	-98185	IRX6								
OCIAML2_1_168_R1_peak_334	chr1	97164265	97164628	+	1102	NA	intron (DPYD, intron 19 of 21)	NA	68523	DPYD-AS1								
OCIAML2_1_168_R1_peak_3036	chr15	89441379	89441803	+	1102	NA	Intergenic	NA	55022	RHCG								
OCIAML2_1_168_R1_peak_912	chr1	235161145	235161451	+	1102	NA	promoter-TSS (RBM34)	NA	-42	RBM34								
OCIAML2_1_168_R1_peak_3882	chr18	62815401	62815764	+	1100	NA	intron (PHLPP1, intron 1 of 16)	NA	100143	PHLPP1								
OCIAML2_1_168_R1_peak_8506	chr8	96645544	96645899	+	1096	NA	intron (CPQ, intron 1 of 8)	NA	494	CPQ								
OCIAML2_1_168_R1_peak_7201	chr6	24574867	24575169	+	1093	NA	intron (KIAA0319, intron 9 of 19)	NA	26274	KIAA0319								
OCIAML2_1_168_R1_peak_615	chr1	183590409	183590772	+	1092	NA	promoter-TSS (NCF2)	NA	-57	NCF2								
OCIAML2_1_168_R1_peak_5802	chr3	72756910	72757358	+	1090	NA	intron (SHQ1, intron 10 of 10)	NA	-65005	LOC101927225								
OCIAML2_1_168_R1_peak_886	chr1	232655425	232655804	+	1086	NA	Intergenic	NA	-25532	SIPA1L2								
OCIAML2_1_168_R1_peak_5179	chr20	51828840	51829149	+	1083	NA	Intergenic	NA	-27828	SALL4								
OCIAML2_1_168_R1_peak_452	chr1	153805422	153805783	+	1079	NA	exon (GATAD2B, exon 11 of 11)	NA	31248	SLC27A3								
OCIAML2_1_168_R1_peak_1365	chr10	124523419	124523770	+	1075	NA	intron (LHPP, intron 6 of 6)	NA	61771	LHPP								
OCIAML2_1_168_R1_peak_5457	chr22	37284862	37285372	+	1074	NA	intron (CYTH4, intron 1 of 12)	NA	2663	CYTH4								
OCIAML2_1_168_R1_peak_482	chr1	157106448	157106778	+	1067	NA	Intergenic	NA	-6805	ETV3L								
OCIAML2_1_168_R1_peak_4840	chr2	217398878	217399263	+	1064	NA	intron (DIRC3, intron 8 of 12)	NA	357523	DIRC3								
OCIAML2_1_168_R1_peak_31	chr1	12510336	12510707	+	1060	NA	exon (VPS13D, exon 70 of 70)	NA	3275	SNORA59A								
OCIAML2_1_168_R1_peak_5480	chr22	40436547	40437055	+	1059	NA	intron (MKL1, intron 4 of 14)	NA	66217	SGSM3								
OCIAML2_1_168_R1_peak_6032	chr3	167843911	167844265	+	1058	NA	Intergenic	NA	-51860	RP11-298O21.5								
OCIAML2_1_168_R1_peak_7261	chr6	31586491	31586804	+	1058	NA	promoter-TSS (LST1)	NA	468	LST1								
OCIAML2_1_168_R1_peak_7491	chr6	105601565	105601906	+	1056	NA	Intergenic	NA	122849	LOC102724460								
OCIAML2_1_168_R1_peak_4518	chr2	73926670	73926997	+	1045	NA	promoter-TSS (DGUOK)	NA	7	DGUOK								
OCIAML2_1_168_R1_peak_1862	chr12	8037079	8037394	+	1045	NA	intron (FOXJ2, intron 1 of 10)	NA	3161	FOXJ2								
OCIAML2_1_168_R1_peak_4080	chr19	18291562	18291885	+	1042	NA	Intergenic	NA	9646	MIR3188								
OCIAML2_1_168_R1_peak_4881	chr2	226136807	226137273	+	1036	NA	Intergenic	NA	-5754	LOC646736								
OCIAML2_1_168_R1_peak_3222	chr16	46658945	46659298	+	1031	NA	TTS (VPS35)	NA	30111	VPS35								
OCIAML2_1_168_R1_peak_8770	chr9	27352472	27352826	+	1029	NA	intron (MOB3B, intron 3 of 3)	NA	-55510	EQTN								
OCIAML2_1_168_R1_peak_3000	chr15	77187853	77188165	+	1021	NA	intron (PEAK1, intron 6 of 9)	NA	-5548	PEAK1								
OCIAML2_1_168_R1_peak_8465	chr8	79443673	79444011	+	1019	NA	Intergenic	NA	-177116	STMN2								
OCIAML2_1_168_R1_peak_2570	chr14	24274126	24274499	+	1019	NA	Intergenic	NA	-2701	RABGGTA								
OCIAML2_1_168_R1_peak_597	chr1	180934608	180934884	+	1019	NA	intron (KIAA1614, intron 4 of 8)	NA	20141	LOC102724791								
OCIAML2_1_168_R1_peak_3263	chr16	61887912	61888213	+	1018	NA	intron (CDH8, intron 3 of 11)	NA	148973	CDH8								
OCIAML2_1_168_R1_peak_4869	chr2	223836050	223836404	+	1017	NA	intron (AP1S3, intron 1 of 4)	NA	1375	AP1S3								
OCIAML2_1_168_R1_peak_5073	chr20	24148364	24148817	+	1015	NA	Intergenic	NA	-51177	FLJ33581								
OCIAML2_1_168_R1_peak_7226	chr6	26596683	26597005	+	1015	NA	promoter-TSS (ABT1)	NA	-99	ABT1								
OCIAML2_1_168_R1_peak_4684	chr2	144686816	144687186	+	1009	NA	intron (TEX41, intron 1 of 4)	NA	19034	TEX41								
OCIAML2_1_168_R1_peak_794	chr1	220882622	220882991	+	1006	NA	intron (HLX, intron 3 of 3)	NA	-2666	HLX-AS1								
OCIAML2_1_168_R1_peak_2097	chr12	89856424	89856806	+	1005	NA	Intergenic	NA	147660	LINC00936								
OCIAML2_1_168_R1_peak_5055	chr20	20303694	20304150	+	1002	NA	intron (C20orf26, intron 25 of 26)	NA	-45530	LOC101929575								
OCIAML2_1_168_R1_peak_785	chr1	219460769	219461074	+	1000	NA	Intergenic	NA	19550	LOC101929713								
OCIAML2_1_168_R1_peak_7136	chr6	11519591	11519917	+	991	NA	Intergenic	NA	-18473	TMEM170B								
OCIAML2_1_168_R1_peak_8420	chr8	63168385	63168795	+	991	NA	promoter-TSS (YTHDF3)	NA	37	YTHDF3								
OCIAML2_1_168_R1_peak_6599	chr4	186980263	186980594	+	989	NA	Intergenic	NA	-79584	LOC102723906								
OCIAML2_1_168_R1_peak_1595	chr11	66443569	66443918	+	987	NA	Intergenic	NA	-4904	MRPL11								
OCIAML2_1_168_R1_peak_4155	chr19	41575990	41576321	+	982	NA	promoter-TSS (CEACAM21)	NA	-24	CEACAM21								
OCIAML2_1_168_R1_peak_7996	chr7	99380163	99380517	+	981	NA	intron (ARPC1B, intron 1 of 9)	NA	3002	ARPC1B								
OCIAML2_1_168_R1_peak_2199	chr12	112014554	112014913	+	978	NA	intron (ERP29, intron 1 of 1)	NA	1385	ERP29								
OCIAML2_1_168_R1_peak_4071	chr19	17717402	17717738	+	978	NA	Intergenic	NA	-1924	MAP1S								
OCIAML2_1_168_R1_peak_3173	chr16	23863704	23864069	+	978	NA	intron (PRKCB, intron 2 of 16)	NA	27907	PRKCB								
OCIAML2_1_168_R1_peak_2933	chr15	66866066	66866454	+	978	NA	Intergenic	NA	75894	LOC102723481								
OCIAML2_1_168_R1_peak_733	chr1	206967517	206967807	+	972	NA	intron (FCAMR, intron 1 of 6)	NA	2860	FCAMR								
OCIAML2_1_168_R1_peak_8681	chr8	140169484	140169800	+	971	NA	intron (TRAPPC9, intron 17 of 22)	NA	287195	TRAPPC9								
OCIAML2_1_168_R1_peak_1843	chr12	6141016	6141360	+	965	NA	Intergenic	NA	-16518	VWF								
OCIAML2_1_168_R1_peak_8004	chr7	100887654	100887988	+	964	NA	TTS (UFSP1)	NA	1897	UFSP1								
OCIAML2_1_168_R1_peak_6772	chr5	78483767	78484169	+	964	NA	Intergenic	NA	-123427	LOC728769								
OCIAML2_1_168_R1_peak_2498	chr13	99258933	99259284	+	964	NA	promoter-TSS (GPR18)	NA	-680	GPR18								
OCIAML2_1_168_R1_peak_142	chr1	31396934	31397218	+	964	NA	Intergenic	NA	-13098	SERINC2								
OCIAML2_1_168_R1_peak_8257	chr8	26572071	26572484	+	963	NA	intron (DPYSL2, intron 1 of 13)	NA	-6128	DPYSL2								
OCIAML2_1_168_R1_peak_382	chr1	111505812	111506191	+	959	NA	promoter-TSS (ADORA3)	NA	-1880	ADORA3								
OCIAML2_1_168_R1_peak_7444	chr6	83767095	83767444	+	956	NA	Intergenic	NA	-58497	SNAP91								
OCIAML2_1_168_R1_peak_4046	chr19	14383942	14384301	+	936	NA	intron (CD97, intron 1 of 19)	NA	3530	CD97								
OCIAML2_1_168_R1_peak_5512	chr22	44182531	44182864	+	932	NA	intron (PARVG, intron 2 of 13)	NA	1807	PARVG								
OCIAML2_1_168_R1_peak_8229	chr8	22580050	22580546	+	932	NA	promoter-TSS (PDLIM2)	NA	-176	PDLIM2								
OCIAML2_1_168_R1_peak_292	chr1	80639729	80640179	+	928	NA	Intergenic	NA	-1276	RP5-887A10.1								
OCIAML2_1_168_R1_peak_3900	chr18	75173087	75173352	+	928	NA	Intergenic	NA	35292	ZADH2								
OCIAML2_1_168_R1_peak_1370	chr10	127926513	127926847	+	928	NA	intron (PTPRE, intron 1 of 20)	NA	-33733	CLRN3								
OCIAML2_1_168_R1_peak_3580	chr17	46193987	46194311	+	926	NA	intron (KANSL1-AS1, intron 1 of 1)	NA	576	KANSL1-AS1								
OCIAML2_1_168_R1_peak_7406	chr6	56370894	56371192	+	925	NA	Intergenic	NA	-123297	COL21A1								
OCIAML2_1_168_R1_peak_2315	chr13	28527627	28528035	+	925	NA	Intergenic	NA	-32703	FLT1								
OCIAML2_1_168_R1_peak_6225	chr4	7744140	7744524	+	925	NA	Intergenic	NA	-9758	AFAP1-AS1								
OCIAML2_1_168_R1_peak_6152	chr3	195040047	195040363	+	924	NA	Intergenic	NA	-54383	XXYLT1-AS1								
OCIAML2_1_168_R1_peak_8709	chr8	144012010	144012330	+	918	NA	promoter-TSS (SPATC1)	NA	-244	SPATC1								
OCIAML2_1_168_R1_peak_2862	chr15	49706785	49707260	+	918	NA	Intergenic	NA	85466	DTWD1								
OCIAML2_1_168_R1_peak_1317	chr10	110867524	110867853	+	914	NA	Intergenic	NA	3216	PDCD4-AS1								
OCIAML2_1_168_R1_peak_2036	chr12	56766540	56766829	+	911	NA	intron (HSD17B6, intron 2 of 5)	NA	14231	HSD17B6								
OCIAML2_1_168_R1_peak_4069	chr19	17523199	17523599	+	907	NA	promoter-TSS (FAM129C)	NA	-3864	FAM129C								
OCIAML2_1_168_R1_peak_7881	chr7	41881633	41882103	+	903	NA	Intergenic	NA	-178760	INHBA								
OCIAML2_1_168_R1_peak_4608	chr2	111906472	111906780	+	901	NA	intron (MERTK, intron 1 of 16)	NA	8147	MERTK								
OCIAML2_1_168_R1_peak_1173	chr10	71694583	71694905	+	900	NA	intron (CDH23, intron 21 of 69)	NA	25077	C10orf105								
OCIAML2_1_168_R1_peak_521	chr1	161195176	161195499	+	900	NA	intron (ADAMTS4, intron 4 of 8)	NA	3718	ADAMTS4								
OCIAML2_1_168_R1_peak_7539	chr6	113873222	113873559	+	897	NA	promoter-TSS (RP1-249H1.4)	NA	-43	RP1-249H1.4								
OCIAML2_1_168_R1_peak_2892	chr15	55829782	55830132	+	895	NA	exon (NEDD4, exon 29 of 29)	NA	87174	NEDD4								
OCIAML2_1_168_R1_peak_2997	chr15	76339122	76339492	+	894	NA	intron (ISL2, intron 3 of 5)	NA	2501	ISL2								
OCIAML2_1_168_R1_peak_7209	chr6	25138080	25138470	+	894	NA	promoter-TSS (CMAHP)	NA	-452	CMAHP								
OCIAML2_1_168_R1_peak_833	chr1	225866056	225866363	+	889	NA	intron (TMEM63A, intron 7 of 22)	NA	16511	TMEM63A								
OCIAML2_1_168_R1_peak_3317	chr16	81451691	81452034	+	887	NA	intron (CMIP, intron 1 of 20)	NA	66799	MIR4720								
OCIAML2_1_168_R1_peak_3686	chr17	73271096	73271413	+	886	NA	Intergenic	NA	-9374	CPSF4L								
OCIAML2_1_168_R1_peak_5125	chr20	44646084	44646515	+	884	NA	intron (ADA, intron 1 of 10)	NA	5362	ADA								
OCIAML2_1_168_R1_peak_493	chr1	159068061	159068567	+	884	NA	intron (AIM2, intron 1 of 3)	NA	3578	LOC102724240								
OCIAML2_1_168_R1_peak_2952	chr15	69666905	69667230	+	876	NA	Intergenic	NA	105347	RP11-279F6.1								
OCIAML2_1_168_R1_peak_5519	chr22	45591648	45592113	+	870	NA	intron (FBLN1, intron 16 of 16)	NA	14135	LOC100506737								
OCIAML2_1_168_R1_peak_5380	chr22	22714991	22715337	+	870	NA	Intergenic	NA	68852	GGTLC2								
OCIAML2_1_168_R1_peak_4844	chr2	218046332	218046649	+	870	NA	intron (RUFY4, intron 2 of 13)	NA	14800	CXCR2P1								
OCIAML2_1_168_R1_peak_3567	chr17	44079957	44080247	+	869	NA	intron (HDAC5, intron 23 of 26)	NA	9361	G6PC3								
OCIAML2_1_168_R1_peak_698	chr1	203289455	203289814	+	868	NA	TTS (RP11-134P9.3)	NA	2358	RP11-134P9.3								
OCIAML2_1_168_R1_peak_3118	chr16	10876878	10877142	+	865	NA	promoter-TSS (CIITA)	NA	-192	CIITA								
OCIAML2_1_168_R1_peak_5201	chr20	57432904	57433306	+	865	NA	Intergenic	NA	41707	RBM38								
OCIAML2_1_168_R1_peak_3986	chr19	6802418	6802727	+	864	NA	intron (VAV1, intron 1 of 25)	NA	29904	VAV1								
OCIAML2_1_168_R1_peak_7150	chr6	13261633	13261913	+	863	NA	intron (PHACTR1, intron 7 of 11)	NA	33813	RP1-257A7.4								
OCIAML2_1_168_R1_peak_7613	chr6	136783850	136784211	+	858	NA	promoter-TSS (LOC101928429)	NA	-86	LOC101928429								
OCIAML2_1_168_R1_peak_8242	chr8	23559072	23559498	+	856	NA	intron (SLC25A37, intron 1 of 3)	NA	2313	SLC25A37								
OCIAML2_1_168_R1_peak_4101	chr19	33249284	33249566	+	855	NA	Intergenic	NA	-23627	SLC7A10								
OCIAML2_1_168_R1_peak_8408	chr8	60026444	60026819	+	852	NA	Intergenic	NA	254764	CA8								
OCIAML2_1_168_R1_peak_7513	chr6	108837504	108837855	+	851	NA	Intergenic	NA	-10737	ARMC2								
OCIAML2_1_168_R1_peak_8341	chr8	42284602	42284868	+	851	NA	intron (IKBKB, intron 2 of 17)	NA	13412	IKBKB								
OCIAML2_1_168_R1_peak_9234	chrX	119685438	119685777	+	851	NA	intron (SEPT6, intron 1 of 10)	NA	7763	SEPT6								
OCIAML2_1_168_R1_peak_151	chr1	32066537	32066894	+	848	NA	Intergenic	NA	-6184	TMEM39B								
OCIAML2_1_168_R1_peak_8925	chr9	105385393	105385736	+	848	NA	exon (SLC44A1, exon 15 of 15)	NA	-62475	FSD1L								
OCIAML2_1_168_R1_peak_721	chr1	206556946	206557293	+	848	NA	promoter-TSS (RASSF5)	NA	-45	RASSF5								
OCIAML2_1_168_R1_peak_3004	chr15	78361245	78361699	+	845	NA	Intergenic	NA	21148	CRABP1								
OCIAML2_1_168_R1_peak_8235	chr8	23074343	23074657	+	844	NA	intron (RP11-875O11.2, intron 1 of 2)	NA	-5313	TNFRSF10B								
OCIAML2_1_168_R1_peak_8095	chr7	141960641	141961311	+	842	NA	intron (MGAM, intron 1 of 70)	NA	12797	TAS2R38								
OCIAML2_1_168_R1_peak_3637	chr17	63191713	63192017	+	842	NA	intron (TANC2, intron 5 of 26)	NA	225313	TANC2								
OCIAML2_1_168_R1_peak_1854	chr12	6745645	6745980	+	835	NA	Intergenic	NA	7104	MLF2								
OCIAML2_1_168_R1_peak_1331	chr10	117237277	117237692	+	834	NA	Intergenic	NA	-3589	SLC18A2								
OCIAML2_1_168_R1_peak_1114	chr10	44968066	44968492	+	833	NA	intron (RASSF4, intron 1 of 10)	NA	8477	RASSF4								
OCIAML2_1_168_R1_peak_6040	chr3	170523330	170523639	+	832	NA	intron (SLC7A14, intron 1 of 6)	NA	62590	SLC7A14								
OCIAML2_1_168_R1_peak_1540	chr11	58575606	58576050	+	832	NA	promoter-TSS (LPXN)	NA	2411	LPXN								
OCIAML2_1_168_R1_peak_8231	chr8	22704936	22705332	+	832	NA	Intergenic	NA	-12291	EGR3								
OCIAML2_1_168_R1_peak_4438	chr2	55871623	55871954	+	831	NA	intron (EFEMP1, intron 7 of 9)	NA	52375	EFEMP1								
OCIAML2_1_168_R1_peak_1351	chr10	121069049	121069384	+	823	NA	Intergenic	NA	-109484	LINC01153								
OCIAML2_1_168_R1_peak_2273	chr12	128810912	128811232	+	823	NA	intron (SLC15A4, intron 2 of 7)	NA	12924	SLC15A4								
OCIAML2_1_168_R1_peak_3583	chr17	47200036	47200356	+	822	NA	intron (MYL4, intron 1 of 7)	NA	-8866	MYL4								
OCIAML2_1_168_R1_peak_2481	chr13	88718440	88718754	+	822	NA	Intergenic	NA	91744	LINC00560								
OCIAML2_1_168_R1_peak_3820	chr18	34483253	34483548	+	820	NA	Intergenic	NA	-109918	DTNA								
OCIAML2_1_168_R1_peak_1428	chr11	9017860	9018205	+	820	NA	Intergenic	NA	-13983	NRIP3								
OCIAML2_1_168_R1_peak_543	chr1	165857015	165857301	+	815	NA	intron (UCK2, intron 1 of 6)	NA	29663	UCK2								
OCIAML2_1_168_R1_peak_8879	chr9	90801608	90801944	+	813	NA	promoter-TSS (SYK)	NA	46	SYK								
OCIAML2_1_168_R1_peak_5986	chr3	151347395	151347835	+	811	NA	intron (P2RY12, intron 1 of 2)	NA	-18066	P2RY13								
