PeakID (cmd=annotatePeaks.pl D9_2_27_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_2_27_R1_peak_279	chr21	43725693	43725851	+	73	NA	intron (PDXK, intron 1 of 10)	NA	-3108	PDXK								
D9_2_27_R1_peak_69	chr10	107616861	107616965	+	73	NA	Intergenic	NA	-86609	LOC101927573								
D9_2_27_R1_peak_426	chr9	137355643	137355702	+	72	NA	intron (EXD3, intron 6 of 18)	NA	-53421	NRARP								
D9_2_27_R1_peak_386	chr7	128217313	128217419	+	72	NA	intron (LOC101928423, intron 1 of 1)	NA	9494	MIR129-1								
D9_2_27_R1_peak_61	chr10	42066807	42066870	+	72	NA	Intergenic	NA	-175685	LOC101929373								
D9_2_27_R1_peak_276	chr21	34908491	34908584	+	71	NA	intron (RUNX1, intron 2 of 8)	NA	-19847	RUNX1								
D9_2_27_R1_peak_169	chr16	3857511	3857606	+	71	NA	intron (CREBBP, intron 1 of 30)	NA	22562	CREBBP								
D9_2_27_R1_peak_437	chrX	49339927	49339985	+	71	NA	TTS (GAGE2C)	NA	-1254	GAGE12I								
D9_2_27_R1_peak_92	chr11	52790321	52790379	+	71	NA	Intergenic	NA	1813648	OR4C46								
D9_2_27_R1_peak_105	chr12	6342051	6342109	+	71	NA	promoter-TSS (TNFRSF1A)	NA	37	TNFRSF1A								
D9_2_27_R1_peak_328	chr4	15690157	15690228	+	71	NA	exon (FAM200B, exon 2 of 2)	NA	8463	FAM200B								
D9_2_27_R1_peak_199	chr19	10805578	10805640	+	71	NA	intron (DNM2, intron 12 of 19)	NA	11887	MIR199A1								
D9_2_27_R1_peak_17	chr1	123301957	123302100	+	71	NA	Intergenic	NA	1782916	EMBP1								
D9_2_27_R1_peak_172	chr16	21609068	21609221	+	71	NA	intron (METTL9, intron 1 of 4)	NA	9668	METTL9								
D9_2_27_R1_peak_95	chr11	54258121	54258179	+	71	NA	Intergenic	NA	345848	OR4C46								
D9_2_27_R1_peak_148	chr14	61569941	61570008	+	71	NA	promoter-TSS (FLJ22447)	NA	557	RP11-47I22.2								
D9_2_27_R1_peak_91	chr11	52588817	52588884	+	71	NA	Intergenic	NA	2015148	OR4C46								
D9_2_27_R1_peak_422	chr9	110303322	110303431	+	71	NA	TTS (TXNDC8)	NA	34508	TXNDC8								
D9_2_27_R1_peak_401	chr8	66129884	66130017	+	71	NA	intron (TRIM55, intron 2 of 10)	NA	2907	TRIM55								
D9_2_27_R1_peak_32	chr1	125180139	125180262	+	70	NA	Intergenic	NA	3661088	EMBP1								
D9_2_27_R1_peak_27	chr1	124618280	124618338	+	70	NA	Intergenic	NA	3099197	EMBP1								
D9_2_27_R1_peak_100	chr11	72273263	72273327	+	70	NA	Intergenic	NA	-29119	PHOX2A								
D9_2_27_R1_peak_410	chr8	130206473	130206601	+	68	NA	intron (ASAP1, intron 5 of 29)	NA	89996	ASAP1-IT1								
D9_2_27_R1_peak_366	chr6	46125795	46125860	+	68	NA	Intergenic	NA	-4137	ENPP4								
D9_2_27_R1_peak_145	chr14	35403850	35403911	+	67	NA	intron (NFKBIA, intron 1 of 5)	NA	874	NFKBIA								
D9_2_27_R1_peak_371	chr6	122770937	122770999	+	67	NA	Intergenic	NA	-8582	FABP7								
D9_2_27_R1_peak_354	chr5	169875549	169875641	+	66	NA	intron (FAM196B, intron 3 of 3)	NA	105145	FAM196B								
D9_2_27_R1_peak_282	chr22	17675768	17675831	+	66	NA	intron (BCL2L13, intron 2 of 4)	NA	37687	BCL2L13								
D9_2_27_R1_peak_158	chr15	20341395	20341661	+	65	NA	Intergenic	NA	58784	CHEK2P2								
D9_2_27_R1_peak_123	chr13	16091256	16091321	+	65	NA	Intergenic	NA	-2104009	FAM230C								
D9_2_27_R1_peak_255	chr20	4961917	4961985	+	65	NA	intron (LOC102724905, intron 4 of 4)	NA	48342	SLC23A2								
D9_2_27_R1_peak_271	chr21	29404254	29404317	+	64	NA	intron (BACH1, intron 5 of 5)	NA	104869	BACH1								
D9_2_27_R1_peak_81	chr11	13638575	13638644	+	64	NA	Intergenic	NA	-30050	FAR1								
D9_2_27_R1_peak_160	chr15	31293794	31293881	+	64	NA	Intergenic	NA	-33043	KLF13								
D9_2_27_R1_peak_222	chr2	70043661	70043746	+	64	NA	intron (PCBP1-AS1, intron 6 of 10)	NA	43312	PCBP1-AS1								
D9_2_27_R1_peak_200	chr19	18089237	18089317	+	64	NA	Intergenic	NA	-2281	IL12RB1								
D9_2_27_R1_peak_83	chr11	35228125	35228203	+	63	NA	intron (CD44, intron 16 of 16)	NA	-89108	RP4-607I7.1								
D9_2_27_R1_peak_427	chrUn_GL000214v1	65074	65133	+	63	NA	intron (LOC100289026, intron 3 of 5)	NA	6650	LOC100289026								
D9_2_27_R1_peak_237	chr2	151325714	151325812	+	63	NA	Intergenic	NA	-31829	TNFAIP6								
D9_2_27_R1_peak_54	chr1	244224614	244224675	+	63	NA	Intergenic	NA	-127991	C1orf100								
D9_2_27_R1_peak_166	chr15	91943150	91943230	+	63	NA	intron (SLCO3A1, intron 2 of 9)	NA	89482	SLCO3A1								
D9_2_27_R1_peak_113	chr12	92071173	92071316	+	63	NA	intron (C12orf79, intron 1 of 4)	NA	71427	C12orf79								
D9_2_27_R1_peak_254	chr20	4667023	4667081	+	63	NA	Intergenic	NA	-19099	PRNP								
D9_2_27_R1_peak_139	chr13	99484515	99484574	+	62	NA	Intergenic	NA	-16830	TM9SF2								
D9_2_27_R1_peak_150	chr14	73943229	73943294	+	61	NA	intron (FAM161B, intron 3 of 8)	NA	-7019	COQ6								
D9_2_27_R1_peak_436	chrX	9463229	9463287	+	60	NA	promoter-TSS (TBL1X)	NA	-37	TBL1X								
D9_2_27_R1_peak_28	chr1	124700695	124700819	+	60	NA	Intergenic	NA	3181645	EMBP1								
D9_2_27_R1_peak_93	chr11	52826742	52826800	+	60	NA	Intergenic	NA	1777227	OR4C46								
D9_2_27_R1_peak_440	chrX	49590248	49590309	+	60	NA	intron (GAGE2A, intron 1 of 4)	NA	763	GAGE2A								
D9_2_27_R1_peak_96	chr11	54259746	54259813	+	60	NA	Intergenic	NA	344219	OR4C46								
D9_2_27_R1_peak_442	chrX	72101040	72101110	+	60	NA	intron (NHSL2, intron 4 of 10)	NA	30826	RGAG4								
D9_2_27_R1_peak_180	chr17	3065396	3065462	+	60	NA	Intergenic	NA	-1822	OR1D5								
D9_2_27_R1_peak_122	chr13	16050229	16050287	+	60	NA	Intergenic	NA	-2145039	FAM230C								
D9_2_27_R1_peak_231	chr2	109238702	109238816	+	60	NA	intron (SH3RF3, intron 1 of 7)	NA	33768	LOC102724819								
D9_2_27_R1_peak_340	chr5	3276322	3276380	+	59	NA	Intergenic	NA	98516	LOC102467074								
D9_2_27_R1_peak_278	chr21	38930989	38931064	+	59	NA	Intergenic	NA	46748	AF064858.7								
D9_2_27_R1_peak_262	chr20	38168423	38168502	+	59	NA	Intergenic	NA	-3164	TGM2								
D9_2_27_R1_peak_2	chr1	27943563	27943621	+	59	NA	intron (SMPDL3B, intron 1 of 7)	NA	8599	SMPDL3B								
D9_2_27_R1_peak_383	chr7	88279022	88279080	+	59	NA	exon (STEAP4, exon 6 of 6)	NA	27862	STEAP4								
D9_2_27_R1_peak_124	chr13	16098288	16098347	+	59	NA	Intergenic	NA	-2096980	FAM230C								
D9_2_27_R1_peak_411	chr8	144233362	144233454	+	59	NA	intron (MROH1, intron 14 of 39)	NA	29329	MIR7112-2								
D9_2_27_R1_peak_274	chr21	33577604	33577662	+	59	NA	TTS (DONSON)	NA	11075	DONSON								
D9_2_27_R1_peak_42	chr1	174942958	174943016	+	58	NA	intron (RABGAP1L, intron 2 of 3)	NA	-4356	RP1-102G20.5								
D9_2_27_R1_peak_74	chr10	128048378	128048436	+	58	NA	intron (PTPRE, intron 5 of 20)	NA	48873	PTPRE								
D9_2_27_R1_peak_85	chr11	46321887	46321948	+	57	NA	TTS (CREB3L1)	NA	-25489	DGKZ								
D9_2_27_R1_peak_196	chr18	76554052	76554141	+	57	NA	intron (LINC00908, intron 2 of 2)	NA	-11313	LOC102723325								
D9_2_27_R1_peak_133	chr13	32001179	32001250	+	57	NA	Intergenic	NA	30425	FRY-AS1								
D9_2_27_R1_peak_343	chr5	80399879	80399937	+	56	NA	Intergenic	NA	-8105	ZFYVE16								
D9_2_27_R1_peak_234	chr2	136214500	136214558	+	56	NA	Intergenic	NA	-96374	CXCR4								
D9_2_27_R1_peak_146	chr14	39472228	39472288	+	56	NA	Intergenic	NA	-39758	FBXO33								
D9_2_27_R1_peak_208	chr19	54269093	54269158	+	56	NA	Intergenic	NA	-11821	LILRB5								
D9_2_27_R1_peak_118	chr12	121143952	121144087	+	56	NA	intron (P2RX7, intron 1 of 10)	NA	11191	P2RX7								
D9_2_27_R1_peak_82	chr11	34416966	34417038	+	55	NA	Intergenic	NA	-21923	CAT								
D9_2_27_R1_peak_115	chr12	104671787	104671860	+	55	NA	intron (CHST11, intron 2 of 2)	NA	80129	MIR3922								
D9_2_27_R1_peak_215	chr2	43018460	43018521	+	55	NA	Intergenic	NA	21057	LOC102723854								
D9_2_27_R1_peak_228	chr2	101736999	101737057	+	55	NA	intron (MAP4K4, intron 2 of 29)	NA	39325	MAP4K4								
D9_2_27_R1_peak_121	chr12	127270429	127270563	+	55	NA	Intergenic	NA	69576	RP11-955H22.3								
D9_2_27_R1_peak_369	chr6	108635673	108635746	+	55	NA	intron (FOXO3, intron 2 of 3)	NA	-20621	FOXO3								
D9_2_27_R1_peak_119	chr12	122904894	122904970	+	55	NA	Intergenic	NA	-8916	VPS37B								
