PeakID (cmd=annotatePeaks.pl M6_1_171_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_171_R1_peak_7127	chr7	106865111	106865450	+	630	NA	promoter-TSS (PIK3CG)	NA	2	PIK3CG								
M6_1_171_R1_peak_1863	chr12	89346362	89346961	+	624	NA	Intergenic	NA	5858	DUSP6								
M6_1_171_R1_peak_4689	chr20	38168840	38169268	+	623	NA	Intergenic	NA	-3756	TGM2								
M6_1_171_R1_peak_4384	chr2	196240139	196240578	+	621	NA	intron (HECW2, intron 20 of 27)	NA	-19666	AC020571.3								
M6_1_171_R1_peak_4250	chr2	136238793	136239128	+	621	NA	Intergenic	NA	-122717	CXCR4								
M6_1_171_R1_peak_6539	chr6	31586040	31586811	+	608	NA	promoter-TSS (LST1)	NA	-775	LST1								
M6_1_171_R1_peak_2160	chr13	80036811	80037296	+	607	NA	Intergenic	NA	13277	LOC101927216								
M6_1_171_R1_peak_4521	chr2	230712449	230712875	+	606	NA	promoter-TSS (CAB39)	NA	-886	CAB39								
M6_1_171_R1_peak_1596	chr12	6745666	6745983	+	604	NA	Intergenic	NA	7092	MLF2								
M6_1_171_R1_peak_2917	chr16	50281864	50282336	+	604	NA	intron (ADCY7, intron 1 of 22)	NA	2584	ADCY7								
M6_1_171_R1_peak_3473	chr18	51211562	51211958	+	604	NA	Intergenic	NA	-14079	MEX3C								
M6_1_171_R1_peak_6552	chr6	32794475	32794934	+	602	NA	Intergenic	NA	22344	HLA-DOB								
M6_1_171_R1_peak_4015	chr2	60439438	60439781	+	599	NA	Intergenic	NA	-37492	LOC102724142								
M6_1_171_R1_peak_6416	chr6	6659720	6660102	+	599	NA	Intergenic	NA	-37085	LY86-AS1								
M6_1_171_R1_peak_1590	chr12	6140998	6141395	+	589	NA	Intergenic	NA	-16526	VWF								
M6_1_171_R1_peak_6587	chr6	37183161	37183678	+	589	NA	Intergenic	NA	13273	PIM1								
M6_1_171_R1_peak_1106	chr10	117237266	117237708	+	588	NA	Intergenic	NA	-3586	SLC18A2								
M6_1_171_R1_peak_1928	chr12	108313727	108314154	+	573	NA	intron (CMKLR1, intron 1 of 2)	NA	6722	CMKLR1								
M6_1_171_R1_peak_736	chr1	234841788	234842344	+	568	NA	Intergenic	NA	-82016	PP2672								
M6_1_171_R1_peak_2944	chr16	66524795	66525150	+	555	NA	intron (TK2, intron 5 of 8)	NA	25319	TK2								
M6_1_171_R1_peak_5033	chr22	42931393	42931761	+	554	NA	intron (PACSIN2, intron 1 of 10)	NA	28301	PACSIN2								
M6_1_171_R1_peak_7007	chr7	41881691	41882115	+	551	NA	Intergenic	NA	-178795	INHBA								
M6_1_171_R1_peak_9	chr1	4007555	4007899	+	544	NA	Intergenic	NA	22136	LOC102724415								
M6_1_171_R1_peak_4721	chr20	47727379	47728043	+	536	NA	intron (SULF2, intron 3 of 20)	NA	57776	SULF2								
M6_1_171_R1_peak_2044	chr13	30713165	30713479	+	530	NA	promoter-TSS (ALOX5AP)	NA	-156	ALOX5AP								
M6_1_171_R1_peak_7570	chr9	272737	273140	+	527	NA	promoter-TSS (DOCK8)	NA	-110	DOCK8								
M6_1_171_R1_peak_6780	chr6	136783844	136784210	+	523	NA	promoter-TSS (LOC101928429)	NA	-89	LOC101928429								
M6_1_171_R1_peak_3576	chr19	7544599	7545012	+	523	NA	intron (PNPLA6, intron 13 of 31)	NA	10653	PNPLA6								
M6_1_171_R1_peak_661	chr1	212414928	212415277	+	523	NA	promoter-TSS (TMEM206)	NA	-209	TMEM206								
M6_1_171_R1_peak_7815	chr9	125649324	125649652	+	523	NA	intron (MAPKAP1, intron 4 of 10)	NA	57746	MAPKAP1								
M6_1_171_R1_peak_4003	chr2	55050549	55050850	+	522	NA	promoter-TSS (RTN4)	NA	-101	RTN4								
M6_1_171_R1_peak_6434	chr6	10643097	10643529	+	516	NA	Intergenic	NA	51268	C6orf52								
M6_1_171_R1_peak_4968	chr22	31490457	31490861	+	516	NA	promoter-TSS (EIF4ENIF1)	NA	-1098	EIF4ENIF1								
M6_1_171_R1_peak_4149	chr2	98758090	98758481	+	511	NA	Intergenic	NA	14632	LOC101927070								
M6_1_171_R1_peak_544	chr1	183590416	183590829	+	496	NA	promoter-TSS (NCF2)	NA	-18	NCF2								
M6_1_171_R1_peak_762	chr1	243459027	243459397	+	496	NA	intron (SDCCAG8, intron 10 of 11)	NA	-12813	LOC102724256								
M6_1_171_R1_peak_7854	chr9	131656408	131656837	+	493	NA	intron (RAPGEF1, intron 1 of 26)	NA	83355	RAPGEF1								
M6_1_171_R1_peak_10	chr1	6028077	6028382	+	490	NA	intron (KCNAB2, intron 1 of 14)	NA	35603	KCNAB2								
M6_1_171_R1_peak_7012	chr7	43649733	43650051	+	486	NA	promoter-TSS (COA1)	NA	-15006	LOC101928860								
M6_1_171_R1_peak_7648	chr9	70607958	70608423	+	484	NA	TTS (LOC101927086)	NA	6444	LOC101927086								
M6_1_171_R1_peak_5880	chr4	147809220	147809600	+	481	NA	intron (ARHGAP10, intron 1 of 14)	NA	26771	MIR4799								
M6_1_171_R1_peak_2416	chr14	89720827	89721154	+	479	NA	Intergenic	NA	-87161	LOC102723683								
M6_1_171_R1_peak_1147	chr11	1839822	1840233	+	476	NA	promoter-TSS (TNNI2)	NA	1024	TNNI2								
M6_1_171_R1_peak_1013	chr10	79938716	79939251	+	475	NA	intron (SFTPD, intron 7 of 7)	NA	10122	SFTPD								
M6_1_171_R1_peak_3401	chr18	3177879	3178308	+	474	NA	intron (MYOM1, intron 5 of 37)	NA	42015	MYOM1								
M6_1_171_R1_peak_2905	chr16	46658968	46659336	+	474	NA	TTS (VPS35)	NA	30080	VPS35								
M6_1_171_R1_peak_6063	chr5	60820729	60820981	+	473	NA	intron (ELOVL7, intron 1 of 9)	NA	22688	ELOVL7								
M6_1_171_R1_peak_2254	chr14	24277841	24278255	+	473	NA	Intergenic	NA	-6421	RABGGTA								
M6_1_171_R1_peak_1285	chr11	58575777	58576057	+	469	NA	promoter-TSS (LPXN)	NA	2249	LPXN								
M6_1_171_R1_peak_4160	chr2	101328445	101328848	+	468	NA	Intergenic	NA	19193	MIR5696								
M6_1_171_R1_peak_2038	chr13	28527681	28528036	+	468	NA	Intergenic	NA	-32730	FLT1								
M6_1_171_R1_peak_6442	chr6	11525751	11526123	+	464	NA	Intergenic	NA	-12290	TMEM170B								
M6_1_171_R1_peak_5905	chr4	158209280	158209587	+	464	NA	promoter-TSS (TMEM144)	NA	-919	TMEM144								
M6_1_171_R1_peak_3926	chr2	32264667	32265103	+	464	NA	promoter-TSS (NLRC4)	NA	-5	NLRC4								
M6_1_171_R1_peak_2855	chr16	23863707	23864132	+	460	NA	intron (PRKCB, intron 2 of 16)	NA	27940	PRKCB								
M6_1_171_R1_peak_4874	chr21	44375179	44375494	+	460	NA	intron (TRPM2, intron 6 of 32)	NA	21765	TRPM2								
M6_1_171_R1_peak_3643	chr19	17717402	17717767	+	460	NA	Intergenic	NA	-1910	MAP1S								
M6_1_171_R1_peak_2575	chr15	58484653	58485075	+	460	NA	intron (RP11-355N15.1, intron 2 of 2)	NA	13871	RP11-355N15.1								
M6_1_171_R1_peak_3572	chr19	6802457	6802744	+	459	NA	intron (VAV1, intron 1 of 25)	NA	29932	VAV1								
M6_1_171_R1_peak_6892	chr7	5693448	5693759	+	458	NA	intron (RNF216, intron 12 of 12)	NA	-3197	LOC101927301								
M6_1_171_R1_peak_2786	chr16	2687221	2687531	+	458	NA	intron (KCTD5, intron 1 of 5)	NA	4882	KCTD5								
M6_1_171_R1_peak_4556	chr20	1376738	1377100	+	447	NA	exon (SDCBP2-AS1, exon 4 of 4)	NA	16005	MIR6869								
M6_1_171_R1_peak_2585	chr15	59976551	59976886	+	447	NA	Intergenic	NA	-27504	FOXB1								
M6_1_171_R1_peak_3722	chr19	41575976	41576292	+	444	NA	promoter-TSS (CEACAM21)	NA	-45	CEACAM21								
M6_1_171_R1_peak_6106	chr5	78483753	78484136	+	443	NA	Intergenic	NA	-123403	LOC728769								
M6_1_171_R1_peak_1703	chr12	32761616	32762044	+	443	NA	Intergenic	NA	-5869	YARS2								
M6_1_171_R1_peak_2970	chr16	70404477	70404757	+	435	NA	intron (ST3GAL2, intron 1 of 6)	NA	34471	ST3GAL2								
M6_1_171_R1_peak_4378	chr2	195580035	195580433	+	434	NA	Intergenic	NA	-76949	SLC39A10								
M6_1_171_R1_peak_3824	chr19	55005898	55006316	+	434	NA	Intergenic	NA	32157	GP6								
M6_1_171_R1_peak_4676	chr20	36843383	36843840	+	434	NA	intron (SOGA1, intron 1 of 14)	NA	20073	SOGA1								
M6_1_171_R1_peak_1774	chr12	55642203	55642675	+	434	NA	Intergenic	NA	5547	OR10P1								
M6_1_171_R1_peak_3613	chr19	14383919	14384375	+	433	NA	intron (CD97, intron 2 of 18)	NA	3003	CD97								
M6_1_171_R1_peak_5441	chr3	141483566	141483866	+	433	NA	Intergenic	NA	-3333	RASA2								
M6_1_171_R1_peak_7101	chr7	99380164	99380571	+	433	NA	intron (ARPC1B, intron 1 of 9)	NA	3029	ARPC1B								
M6_1_171_R1_peak_3515	chr18	79820073	79820413	+	431	NA	Intergenic	NA	-43425	KCNG2								
M6_1_171_R1_peak_5400	chr3	124941763	124942133	+	431	NA	Intergenic	NA	-7197	MUC13								
M6_1_171_R1_peak_7782	chr9	117704128	117704450	+	431	NA	exon (TLR4, exon 1 of 4)	NA	114	TLR4								
M6_1_171_R1_peak_2261	chr14	27826083	27826580	+	431	NA	Intergenic	NA	-153112	LOC728755								
M6_1_171_R1_peak_2829	chr16	15590844	15591309	+	427	NA	Intergenic	NA	19976	MIR6506								
M6_1_171_R1_peak_6159	chr5	100313686	100314041	+	427	NA	Intergenic	NA	74391	LOC100133050								
M6_1_171_R1_peak_5769	chr4	86908282	86908621	+	427	NA	intron (C4orf36, intron 1 of 3)	NA	-16029	C4orf36								
M6_1_171_R1_peak_5300	chr3	72102143	72102424	+	426	NA	Intergenic	NA	-1828	LINC00877								
M6_1_171_R1_peak_1732	chr12	47889006	47889327	+	426	NA	intron (VDR, intron 1 of 9)	NA	15865	VDR								
M6_1_171_R1_peak_6193	chr5	119308998	119309393	+	425	NA	intron (TNFAIP8, intron 1 of 1)	NA	40503	TNFAIP8								
M6_1_171_R1_peak_4844	chr21	36150182	36150553	+	420	NA	intron (CBR3-AS1, intron 1 of 2)	NA	5941	CBR3-AS1								
M6_1_171_R1_peak_1609	chr12	8037097	8037436	+	419	NA	intron (FOXJ2, intron 1 of 10)	NA	4564	FOXJ2								
M6_1_171_R1_peak_2915	chr16	48621243	48621536	+	419	NA	Intergenic	NA	-51186	N4BP1								
M6_1_171_R1_peak_94	chr1	27435830	27436198	+	419	NA	intron (WASF2, intron 1 of 8)	NA	43370	GPR3								
M6_1_171_R1_peak_5846	chr4	128916704	128917123	+	414	NA	intron (SCLT1, intron 8 of 10)	NA	53555	SCLT1								
M6_1_171_R1_peak_7271	chr8	22704948	22705346	+	412	NA	Intergenic	NA	-12758	EGR3								
M6_1_171_R1_peak_4996	chr22	37484483	37485037	+	412	NA	intron (MFNG, intron 1 of 7)	NA	1680	MFNG								
M6_1_171_R1_peak_1990	chr12	122081734	122082162	+	412	NA	intron (MLXIP, intron 1 of 16)	NA	3185	MLXIP								
M6_1_171_R1_peak_7365	chr8	55885562	55885948	+	412	NA	intron (LYN, intron 1 of 12)	NA	5928	LYN								
M6_1_171_R1_peak_4012	chr2	58039142	58039470	+	412	NA	intron (VRK2, intron 3 of 15)	NA	-7288	VRK2								
M6_1_171_R1_peak_1375	chr11	72736708	72737016	+	411	NA	intron (ARAP1, intron 1 of 34)	NA	-14504	ARAP1								
M6_1_171_R1_peak_4396	chr2	197307369	197307704	+	411	NA	intron (ANKRD44, intron 1 of 27)	NA	3251	ANKRD44								
M6_1_171_R1_peak_2145	chr13	75505272	75505695	+	404	NA	Intergenic	NA	-22837	TBC1D4								
M6_1_171_R1_peak_3384	chr17	80737390	80737744	+	403	NA	intron (RPTOR, intron 5 of 33)	NA	68065	RP11-28G8.1								
M6_1_171_R1_peak_812	chr10	7046147	7046585	+	400	NA	Intergenic	NA	266768	LINC00707								
M6_1_171_R1_peak_4600	chr20	5674323	5674644	+	400	NA	Intergenic	NA	-63927	GPCPD1								
M6_1_171_R1_peak_7299	chr8	27827629	27828030	+	398	NA	intron (PBK, intron 3 of 7)	NA	10266	PBK								
M6_1_171_R1_peak_2779	chr15	101003066	101003416	+	398	NA	intron (LRRK1, intron 6 of 33)	NA	-19191	LRRK1								
M6_1_171_R1_peak_3091	chr17	10018367	10018724	+	398	NA	intron (GAS7, intron 3 of 14)	NA	18206	GAS7								
M6_1_171_R1_peak_4376	chr2	195536268	195536600	+	396	NA	Intergenic	NA	-120749	SLC39A10								
M6_1_171_R1_peak_5690	chr4	40621700	40622068	+	396	NA	intron (RBM47, intron 1 of 6)	NA	-105911	RBM47								
M6_1_171_R1_peak_6183	chr5	115209277	115209650	+	396	NA	Intergenic	NA	-16685	LOC102723365								
M6_1_171_R1_peak_4382	chr2	196211246	196211627	+	396	NA	intron (HECW2, intron 27 of 27)	NA	-39824	STK17B								
M6_1_171_R1_peak_1379	chr11	72815633	72816020	+	396	NA	intron (ATG16L2, intron 1 of 10)	NA	1419	ATG16L2								
M6_1_171_R1_peak_5451	chr3	144028786	144029066	+	396	NA	Intergenic	NA	55601	C3orf58								
M6_1_171_R1_peak_5282	chr3	63934418	63934759	+	395	NA	intron (ATXN7, intron 3 of 12)	NA	36189	ATXN7								
M6_1_171_R1_peak_835	chr10	14608509	14608839	+	395	NA	intron (FAM107B, intron 2 of 5)	NA	-36485	FAM107B								
M6_1_171_R1_peak_3883	chr2	16625300	16625566	+	395	NA	intron (FAM49A, intron 1 of 11)	NA	40433	FAM49A								
M6_1_171_R1_peak_4097	chr2	73926667	73927014	+	395	NA	promoter-TSS (DGUOK)	NA	14	DGUOK								
M6_1_171_R1_peak_7806	chr9	124202429	124202923	+	393	NA	Intergenic	NA	-54930	NEK6								
M6_1_171_R1_peak_2259	chr14	24695268	24695559	+	389	NA	Intergenic	NA	-61187	GZMB								
M6_1_171_R1_peak_3808	chr19	51764342	51764688	+	389	NA	intron (FPR2, intron 1 of 1)	NA	1126	FPR2								
M6_1_171_R1_peak_1109	chr10	118729642	118729958	+	385	NA	intron (CACUL1, intron 2 of 8)	NA	25446	CACUL1								
M6_1_171_R1_peak_7060	chr7	77192938	77193378	+	385	NA	TTS (FGL2)	NA	6675	FGL2								
M6_1_171_R1_peak_5639	chr4	14125376	14125728	+	382	NA	intron (LINC01085, intron 1 of 2)	NA	13584	LINC01085								
M6_1_171_R1_peak_4201	chr2	112004220	112004548	+	382	NA	intron (MERTK, intron 13 of 18)	NA	-50882	TMEM87B								
M6_1_171_R1_peak_2654	chr15	72686030	72686319	+	381	NA	promoter-TSS (BBS4)	NA	-5	BBS4								
M6_1_171_R1_peak_7886	chrX	1239652	1239972	+	381	NA	Intergenic	NA	-25020	CSF2RA								
M6_1_171_R1_peak_5951	chr4	185265990	185266367	+	381	NA	intron (SNX25, intron 4 of 17)	NA	56557	SNX25								
M6_1_171_R1_peak_6765	chr6	134373458	134373780	+	381	NA	Intergenic	NA	-25088	LOC102723463								
M6_1_171_R1_peak_613	chr1	203289453	203289770	+	381	NA	TTS (RP11-134P9.3)	NA	2575	RP11-134P9.3								
M6_1_171_R1_peak_5809	chr4	105060599	105061031	+	381	NA	Intergenic	NA	83642	LOC101929491								
M6_1_171_R1_peak_1760	chr12	53324331	53324644	+	381	NA	Intergenic	NA	-2859	AAAS								
M6_1_171_R1_peak_342	chr1	113783521	113783870	+	381	NA	intron (RSBN1, intron 2 of 6)	NA	28753	RSBN1								
M6_1_171_R1_peak_72	chr1	25033982	25034316	+	380	NA	Intergenic	NA	10597	MIR4425								
M6_1_171_R1_peak_3501	chr18	77055030	77055474	+	372	NA	intron (MBP, intron 2 of 8)	NA	-38153	MBP								
M6_1_171_R1_peak_1890	chr12	95428485	95428792	+	371	NA	intron (LOC101928779, intron 3 of 3)	NA	13828	LOC101928779								
M6_1_171_R1_peak_5018	chr22	40463337	40463649	+	371	NA	promoter-TSS (MKL1)	NA	-53	MKL1								
M6_1_171_R1_peak_164	chr1	40713031	40713405	+	369	NA	intron (NFYC, intron 3 of 14)	NA	-20957	NFYC-AS1								
M6_1_171_R1_peak_7734	chr9	98045408	98045679	+	368	NA	intron (TRIM14, intron 6 of 6)	NA	-11134	NANS								
M6_1_171_R1_peak_1669	chr12	22539092	22539520	+	366	NA	intron (C2CD5, intron 2 of 27)	NA	5240	C2CD5								
M6_1_171_R1_peak_2396	chr14	79028310	79028699	+	365	NA	intron (NRXN3, intron 14 of 20)	NA	624773	NRXN3								
M6_1_171_R1_peak_3916	chr2	29000478	29000833	+	365	NA	intron (FAM179A, intron 4 of 19)	NA	5466	FAM179A								
M6_1_171_R1_peak_7185	chr7	139828896	139829337	+	365	NA	promoter-TSS (TBXAS1)	NA	-37	TBXAS1								
M6_1_171_R1_peak_5890	chr4	152536106	152536463	+	364	NA	promoter-TSS (MIR4453)	NA	20	DKFZP434I0714								
M6_1_171_R1_peak_4254	chr2	138689796	138690099	+	360	NA	intron (NXPH2, intron 1 of 1)	NA	90294	NXPH2								
M6_1_171_R1_peak_441	chr1	159315422	159315749	+	360	NA	promoter-TSS (OR10J3)	NA	-926	OR10J3								
M6_1_171_R1_peak_30	chr1	12184359	12184690	+	360	NA	intron (TNFRSF1B, intron 1 of 9)	NA	-7189	MIR4632								
M6_1_171_R1_peak_6135	chr5	91162466	91163031	+	360	NA	intron (GPR98, intron 89 of 89)	NA	39883	LOC102724662								
M6_1_171_R1_peak_7253	chr8	18209921	18210229	+	360	NA	promoter-TSS (NAT1)	NA	-34	NAT1								
M6_1_171_R1_peak_2339	chr14	67962163	67962536	+	358	NA	intron (RAD51B, intron 7 of 10)	NA	142570	RAD51B								
M6_1_171_R1_peak_3539	chr19	2270857	2271222	+	357	NA	intron (OAZ1, intron 1 of 4)	NA	1518	OAZ1								
M6_1_171_R1_peak_7555	chr8	141278593	141278853	+	353	NA	intron (SLC45A4, intron 1 of 7)	NA	-24094	SLC45A4								
M6_1_171_R1_peak_2594	chr15	63490382	63490747	+	352	NA	Intergenic	NA	-14020	USP3								
M6_1_171_R1_peak_6263	chr5	141923457	141923937	+	351	NA	promoter-TSS (KIAA0141)	NA	-88	KIAA0141								
M6_1_171_R1_peak_1989	chr12	121927337	121927815	+	351	NA	intron (WDR66, intron 3 of 21)	NA	9019	WDR66								
M6_1_171_R1_peak_4580	chr20	4037994	4038421	+	351	NA	Intergenic	NA	-22800	RNF24								
M6_1_171_R1_peak_1560	chr12	180376	180734	+	351	NA	Intergenic	NA	-23090	LOC101929384								
M6_1_171_R1_peak_4654	chr20	32040298	32040642	+	351	NA	Intergenic	NA	-8895	LOC101929636								
M6_1_171_R1_peak_5914	chr4	163591665	163592019	+	351	NA	intron (MARCH1, intron 5 of 7)	NA	21782	MARCH1								
M6_1_171_R1_peak_5982	chr5	17118566	17118911	+	351	NA	Intergenic	NA	-98085	BASP1								
M6_1_171_R1_peak_4506	chr2	230125079	230125404	+	351	NA	Intergenic	NA	-56242	SLC16A14								
M6_1_171_R1_peak_1867	chr12	89862790	89863122	+	350	NA	Intergenic	NA	154001	LINC00936								
M6_1_171_R1_peak_4985	chr22	36860717	36861101	+	350	NA	promoter-TSS (NCF4)	NA	-79	NCF4								
M6_1_171_R1_peak_2671	chr15	75042975	75043444	+	350	NA	intron (PPCDC, intron 2 of 3)	NA	19617	PPCDC								
M6_1_171_R1_peak_7000	chr7	39070231	39070521	+	350	NA	intron (POU6F2, intron 2 of 10)	NA	-56809	POU6F2-AS2								
M6_1_171_R1_peak_2638	chr15	69721459	69721810	+	350	NA	Intergenic	NA	-113600	LINC00593								
M6_1_171_R1_peak_4016	chr2	60796606	60796921	+	349	NA	intron (PAPOLG, intron 21 of 21)	NA	40533	PAPOLG								
M6_1_171_R1_peak_7688	chr9	85715652	85715980	+	349	NA	intron (AGTPBP1, intron 1 of 25)	NA	26129	AGTPBP1								
M6_1_171_R1_peak_7895	chrX	3663639	3663957	+	349	NA	intron (PRKX, intron 2 of 7)	NA	49836	PRKX								
M6_1_171_R1_peak_4065	chr2	68423981	68424317	+	349	NA	Intergenic	NA	43167	FBXO48								
M6_1_171_R1_peak_4026	chr2	62039257	62039641	+	345	NA	intron (COMMD1, intron 2 of 2)	NA	150614	COMMD1								
M6_1_171_R1_peak_3602	chr19	12785686	12785992	+	345	NA	Intergenic	NA	-1293	MIR5684								
M6_1_171_R1_peak_1433	chr11	86193272	86193614	+	342	NA	Intergenic	NA	-51321	EED								
M6_1_171_R1_peak_5042	chr22	44182555	44182849	+	342	NA	intron (PARVG, intron 2 of 13)	NA	1812	PARVG								
M6_1_171_R1_peak_4532	chr2	233331619	233331992	+	342	NA	intron (SAG, intron 11 of 15)	NA	-22698	DGKD								
M6_1_171_R1_peak_90	chr1	27116719	27117039	+	341	NA	intron (SLC9A1, intron 1 of 11)	NA	38251	SLC9A1								
M6_1_171_R1_peak_7171	chr7	135254172	135254465	+	339	NA	intron (STRA8, intron 7 of 8)	NA	22339	STRA8								
M6_1_171_R1_peak_1181	chr11	9716726	9717152	+	337	NA	intron (SWAP70, intron 3 of 11)	NA	-10543	LOC101927955								
M6_1_171_R1_peak_3853	chr2	8058697	8058981	+	336	NA	intron (LINC00299, intron 8 of 8)	NA	-82025	LINC00298								
M6_1_171_R1_peak_2135	chr13	67493812	67494222	+	336	NA	Intergenic	NA	-263681	PCDH9								
M6_1_171_R1_peak_1201	chr11	13674297	13674584	+	336	NA	intron (FAR1, intron 1 of 11)	NA	5781	FAR1								
M6_1_171_R1_peak_6353	chr5	172114867	172115233	+	336	NA	intron (STK10, intron 4 of 18)	NA	73292	STK10								
M6_1_171_R1_peak_3807	chr19	51621242	51621562	+	336	NA	intron (SIGLEC5, intron 8 of 8)	NA	9072	SIGLEC5								
M6_1_171_R1_peak_7797	chr9	121485720	121486008	+	335	NA	intron (GGTA1P, intron 1 of 6)	NA	14163	GGTA1P								
M6_1_171_R1_peak_6242	chr5	136620099	136620388	+	335	NA	Intergenic	NA	-262858	TRPC7								
M6_1_171_R1_peak_3565	chr19	6516039	6516366	+	335	NA	Intergenic	NA	-13354	TUBB4A								
M6_1_171_R1_peak_7420	chr8	79443690	79443977	+	334	NA	Intergenic	NA	-177125	STMN2								
M6_1_171_R1_peak_3642	chr19	17523281	17523614	+	333	NA	exon (FAM129C, exon 1 of 16)	NA	-3816	FAM129C								
M6_1_171_R1_peak_5802	chr4	102743412	102743724	+	333	NA	intron (MANBA, intron 1 of 16)	NA	17426	MANBA								
M6_1_171_R1_peak_6746	chr6	125798747	125799006	+	333	NA	intron (NCOA7, intron 3 of 17)	NA	8113	NCOA7								
M6_1_171_R1_peak_5711	chr4	55330207	55330566	+	333	NA	Intergenic	NA	-15856	SRD5A3								
M6_1_171_R1_peak_4390	chr2	197145687	197146103	+	333	NA	intron (ANKRD44, intron 3 of 27)	NA	-52059	LOC101927596								
M6_1_171_R1_peak_4508	chr2	230144385	230144669	+	333	NA	Intergenic	NA	-58213	LOC101928789								
M6_1_171_R1_peak_6981	chr7	36283644	36284104	+	331	NA	intron (EEPD1, intron 4 of 7)	NA	83031	KIAA0895								
M6_1_171_R1_peak_4289	chr2	157469431	157469732	+	331	NA	Intergenic	NA	-25489	CYTIP								
M6_1_171_R1_peak_7672	chr9	78023203	78023450	+	331	NA	intron (GNAQ, intron 1 of 6)	NA	8123	GNAQ								
M6_1_171_R1_peak_2875	chr16	30166261	30166630	+	330	NA	Intergenic	NA	-16965	CORO1A								
M6_1_171_R1_peak_1523	chr11	121448668	121448946	+	329	NA	Intergenic	NA	-3396	SORL1								
M6_1_171_R1_peak_4877	chr21	44880810	44881247	+	328	NA	Intergenic	NA	-7125	PTTG1IP								
M6_1_171_R1_peak_2556	chr15	52780195	52780587	+	328	NA	intron (ONECUT1, intron 1 of 1)	NA	9621	ONECUT1								
