PeakID (cmd=annotatePeaks.pl D9_1_156_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_1_156_R1_peak_2070	chr7	2314344	2314736	+	664	NA	promoter-TSS (SNX8)	NA	-76	SNX8								
D9_1_156_R1_peak_550	chr13	113725747	113726033	+	652	NA	intron (GRK1-2, intron 1 of 3)	NA	2817	GRK1-2								
D9_1_156_R1_peak_1406	chr19	52962799	52963100	+	632	NA	promoter-TSS (ZNF816)	NA	-38	ZNF816								
D9_1_156_R1_peak_1408	chr19	53196841	53197230	+	629	NA	Intergenic	NA	-3669	ZNF665								
D9_1_156_R1_peak_1402	chr19	52786675	52787076	+	628	NA	promoter-TSS (ZNF600)	NA	-3035	ZNF600								
D9_1_156_R1_peak_1535	chr2	219387846	219388686	+	611	NA	promoter-TSS (DNPEP)	NA	-470	DNPEP								
D9_1_156_R1_peak_708	chr16	1992063	1992576	+	590	NA	intron (SYNGR3, intron 2 of 3)	NA	2374	SYNGR3								
D9_1_156_R1_peak_221	chr10	15168491	15169166	+	543	NA	promoter-TSS (NMT2)	NA	-124	NMT2								
D9_1_156_R1_peak_1428	chr19	55624100	55624768	+	525	NA	intron (ZNF784, intron 1 of 1)	NA	141	ZNF784								
D9_1_156_R1_peak_867	chr17	979635	980103	+	522	NA	promoter-TSS (NXN)	NA	-17248	TIMM22								
D9_1_156_R1_peak_1256	chr19	18636265	18637158	+	520	NA	promoter-TSS (KLHL26)	NA	-317	KLHL26								
D9_1_156_R1_peak_2334	chr9	135990646	135990893	+	516	NA	Intergenic	NA	-29389	UBAC1								
D9_1_156_R1_peak_522	chr12	132489563	132490201	+	513	NA	promoter-TSS (FBRSL1)	NA	-573	FBRSL1								
D9_1_156_R1_peak_1816	chr3	129121635	129122321	+	496	NA	promoter-TSS (RAB43)	NA	-174	RAB43								
D9_1_156_R1_peak_994	chr17	64130077	64130583	+	481	NA	promoter-TSS (ERN1)	NA	469	ERN1								
D9_1_156_R1_peak_1099	chr19	1249585	1249886	+	471	NA	intron (MIDN, intron 1 of 8)	NA	1182	MIDN								
D9_1_156_R1_peak_1651	chr21	42974119	42974634	+	459	NA	promoter-TSS (PKNOX1)	NA	-134	PKNOX1								
D9_1_156_R1_peak_2213	chr8	123416351	123416826	+	451	NA	promoter-TSS (WDYHV1)	NA	-169	WDYHV1								
D9_1_156_R1_peak_225	chr10	28302879	28303293	+	449	NA	promoter-TSS (MPP7)	NA	-62	MPP7								
D9_1_156_R1_peak_2372	chrM	10520	16569	+	420	NA	Intergenic	NA	1198	TRNE								
D9_1_156_R1_peak_721	chr16	2905389	2906083	+	414	NA	Intergenic	NA	-6206	FLYWCH1								
D9_1_156_R1_peak_1353	chr19	47608637	47608955	+	413	NA	promoter-TSS (GLTSCR1)	NA	600	GLTSCR1								
D9_1_156_R1_peak_1921	chr4	184649383	184649780	+	402	NA	promoter-TSS (PRIMPOL)	NA	-106	CASP3								
D9_1_156_R1_peak_2050	chr6	109483140	109483739	+	392	NA	promoter-TSS (ZBTB24)	NA	-202	ZBTB24								
D9_1_156_R1_peak_1852	chr4	1580455	1580913	+	392	NA	promoter-TSS (LOC100507054)	NA	-168	LOC100507054								
D9_1_156_R1_peak_2101	chr7	44999787	45000318	+	386	NA	promoter-TSS (LOC102723334)	NA	-296	LOC102723334								
D9_1_156_R1_peak_1614	chr20	58309298	58309823	+	386	NA	promoter-TSS (RAB22A)	NA	-121	PPP4R1L								
D9_1_156_R1_peak_11	chr1	1909025	1909426	+	381	NA	Intergenic	NA	-6112	CALML6								
D9_1_156_R1_peak_1661	chr21	45642828	45643746	+	380	NA	Intergenic	NA	-100847	SLC19A1								
D9_1_156_R1_peak_474	chr12	103841151	103841510	+	368	NA	promoter-TSS (LOC102723501)	NA	-98	LOC102723501								
D9_1_156_R1_peak_303	chr11	560645	561100	+	367	NA	promoter-TSS (RASSF7)	NA	-72	RASSF7								
D9_1_156_R1_peak_952	chr17	41918978	41919283	+	367	NA	promoter-TSS (ACLY)	NA	-111	ACLY								
D9_1_156_R1_peak_1174	chr19	9791715	9792861	+	366	NA	intron (LOC100505555, intron 1 of 1)	NA	898	LOC100505555								
D9_1_156_R1_peak_2363	chrM	1621	4115	+	366	NA	promoter-TSS (TRNL1)	NA	-362	TRNL1								
D9_1_156_R1_peak_18	chr1	2586386	2586834	+	365	NA	promoter-TSS (FAM213B)	NA	-140	FAM213B								
D9_1_156_R1_peak_38	chr1	11272825	11273503	+	363	NA	promoter-TSS (UBIAD1)	NA	0	UBIAD1								
D9_1_156_R1_peak_178	chr1	206203058	206203360	+	359	NA	promoter-TSS (SRGAP2)	NA	-790	FAM72A								
D9_1_156_R1_peak_1620	chr20	62238125	62238602	+	356	NA	promoter-TSS (OSBPL2)	NA	6403	FLJ44790								
D9_1_156_R1_peak_1657	chr21	44817607	44817977	+	346	NA	intron (SUMO3, intron 1 of 3)	NA	337	SUMO3								
D9_1_156_R1_peak_2068	chr7	1459210	1459957	+	345	NA	promoter-TSS (MICALL2)	NA	-81	MICALL2								
D9_1_156_R1_peak_1035	chr17	82022802	82023296	+	344	NA	promoter-TSS (STRA13)	NA	-140	STRA13								
D9_1_156_R1_peak_1079	chr18	80033660	80034493	+	341	NA	promoter-TSS (RBFA)	NA	-270	RBFA								
D9_1_156_R1_peak_15	chr1	2204733	2205462	+	336	NA	promoter-TSS (C1orf86)	NA	-10322	C1orf86								
D9_1_156_R1_peak_2187	chr8	28622377	28622758	+	334	NA	Intergenic	NA	78897	EXTL3-AS1								
D9_1_156_R1_peak_615	chr14	104826538	104826805	+	331	NA	Intergenic	NA	5470	LINC00638								
D9_1_156_R1_peak_1084	chr19	663243	663552	+	329	NA	promoter-TSS (RNF126)	NA	-84	RNF126								
D9_1_156_R1_peak_1743	chr22	50507611	50508312	+	328	NA	promoter-TSS (LMF2)	NA	-242	LMF2								
D9_1_156_R1_peak_1087	chr19	703737	704310	+	325	NA	Intergenic	NA	-4930	PALM								
D9_1_156_R1_peak_1361	chr19	48492819	48493712	+	323	NA	intron (LMTK3, intron 13 of 15)	NA	18530	LMTK3								
D9_1_156_R1_peak_869	chr17	1203218	1203557	+	315	NA	intron (ABR, intron 1 of 22)	NA	-67177	BHLHA9								
D9_1_156_R1_peak_2366	chrM	6184	6694	+	312	NA	promoter-TSS (TRNY)	NA	-548	TRNY								
D9_1_156_R1_peak_84	chr1	33181956	33182302	+	311	NA	promoter-TSS (TRIM62)	NA	-65	TRIM62								
D9_1_156_R1_peak_497	chr12	120710194	120710449	+	311	NA	promoter-TSS (UNC119B)	NA	-114	UNC119B								
D9_1_156_R1_peak_2239	chr8	144465518	144466178	+	310	NA	promoter-TSS (CYHR1)	NA	-170	CYHR1								
D9_1_156_R1_peak_1158	chr19	7636861	7637245	+	310	NA	promoter-TSS (PCP2)	NA	-48	STXBP2								
D9_1_156_R1_peak_191	chr1	227788037	227788642	+	310	NA	Intergenic	NA	-27378	PRSS38								
D9_1_156_R1_peak_1489	chr2	101151329	101151673	+	310	NA	promoter-TSS (TBC1D8)	NA	-159	LOC100506286								
D9_1_156_R1_peak_26	chr1	6785033	6785516	+	310	NA	promoter-TSS (CAMTA1)	NA	-50	CAMTA1								
D9_1_156_R1_peak_2021	chr6	33633648	33633975	+	310	NA	promoter-TSS (LOC101929188)	NA	-175	LOC101929188								
D9_1_156_R1_peak_390	chr11	67805197	67805612	+	306	NA	promoter-TSS (FAM86C2P)	NA	-68	FAM86C2P								
D9_1_156_R1_peak_2376	chrUn_KI270438v1	109318	109837	+	303	NA	NA	NA	NA	NA								
D9_1_156_R1_peak_2371	chrM	9714	10415	+	303	NA	promoter-TSS (TRNR)	NA	73	TRNG								
D9_1_156_R1_peak_115	chr1	51616914	51617176	+	302	NA	promoter-TSS (OSBPL9)	NA	171	OSBPL9								
D9_1_156_R1_peak_2335	chr9	136245769	136246103	+	301	NA	promoter-TSS (QSOX2)	NA	-95	QSOX2								
D9_1_156_R1_peak_1644	chr21	36320029	36320330	+	299	NA	promoter-TSS (MORC3)	NA	-10	MORC3								
D9_1_156_R1_peak_1172	chr19	8832225	8833107	+	298	NA	promoter-TSS (ZNF558)	NA	-9927	MBD3L1								
D9_1_156_R1_peak_1544	chr2	237691711	237692232	+	297	NA	promoter-TSS (LRRFIP1)	NA	-221	LRRFIP1								
D9_1_156_R1_peak_737	chr16	8868876	8869267	+	297	NA	promoter-TSS (CARHSP1)	NA	-1643	CARHSP1								
D9_1_156_R1_peak_2362	chrM	1	1048	+	296	NA	promoter-TSS (RNR1)	NA	-53	TRNF								
D9_1_156_R1_peak_1347	chr19	47256693	47257391	+	296	NA	promoter-TSS (CCDC9)	NA	-621	CCDC9								
D9_1_156_R1_peak_1023	chr17	81034707	81035336	+	290	NA	promoter-TSS (BAIAP2-AS1)	NA	-126	BAIAP2								
D9_1_156_R1_peak_1643	chr21	36156302	36156791	+	285	NA	promoter-TSS (CBR3-AS1)	NA	-238	CBR3-AS1								
D9_1_156_R1_peak_2329	chr9	134025062	134025459	+	282	NA	promoter-TSS (LINC00094)	NA	-179	LINC00094								
D9_1_156_R1_peak_1190	chr19	11090271	11090613	+	282	NA	intron (LDLR, intron 1 of 15)	NA	1080	LDLR								
D9_1_156_R1_peak_2245	chr8	145052290	145052550	+	279	NA	promoter-TSS (C8orf33)	NA	-18	C8orf33								
D9_1_156_R1_peak_2218	chr8	141308278	141308736	+	278	NA	Intergenic	NA	-32042	LOC731779								
D9_1_156_R1_peak_298	chr11	407073	407470	+	278	NA	intron (SIGIRR, intron 6 of 8)	NA	7733	SIGIRR								
D9_1_156_R1_peak_1034	chr17	81977408	81977974	+	271	NA	exon (ASPSCR1, exon 1 of 15)	NA	141	ASPSCR1								
D9_1_156_R1_peak_977	chr17	49789010	49789396	+	271	NA	intron (KAT7, intron 1 of 13)	NA	584	KAT7								
D9_1_156_R1_peak_1849	chr4	1009558	1010045	+	270	NA	Intergenic	NA	-2663	FGFRL1								
D9_1_156_R1_peak_707	chr16	1943183	1943563	+	269	NA	promoter-TSS (MSRB1)	NA	-80	MSRB1								
D9_1_156_R1_peak_611	chr14	104724012	104724285	+	268	NA	promoter-TSS (ADSSL1)	NA	-53	ADSSL1								
D9_1_156_R1_peak_1380	chr19	49766446	49767065	+	268	NA	promoter-TSS (AP2A1)	NA	-168	AP2A1								
D9_1_156_R1_peak_1326	chr19	44890731	44891286	+	266	NA	promoter-TSS (TOMM40)	NA	-212	TOMM40								
D9_1_156_R1_peak_1552	chr2	241064066	241064348	+	266	NA	intron (SNED1, intron 19 of 31)	NA	38080	MTERFD2								
D9_1_156_R1_peak_652	chr15	72118105	72118510	+	265	NA	promoter-TSS (MYO9A)	NA	-208	MYO9A								
D9_1_156_R1_peak_2368	chrM	7660	8214	+	264	NA	promoter-TSS (TRNK)	NA	-358	TRNK								
D9_1_156_R1_peak_29	chr1	8878636	8878915	+	264	NA	promoter-TSS (ENO1-AS1)	NA	-60	ENO1-AS1								
D9_1_156_R1_peak_551	chr13	113726373	113726637	+	263	NA	intron (GRK1-2, intron 1 of 3)	NA	3432	GRK1-2								
D9_1_156_R1_peak_2289	chr9	120868653	120869186	+	262	NA	promoter-TSS (PHF19)	NA	945	PHF19								
D9_1_156_R1_peak_914	chr17	17972335	17972823	+	261	NA	promoter-TSS (TOM1L2)	NA	-109	TOM1L2								
D9_1_156_R1_peak_948	chr17	39952618	39953360	+	258	NA	Intergenic	NA	11515	LRRC3C								
D9_1_156_R1_peak_277	chr10	122980588	122980884	+	254	NA	intron (PSTK, intron 1 of 5)	NA	696	PSTK								
D9_1_156_R1_peak_2364	chrM	4804	5076	+	254	NA	promoter-TSS (TRNW)	NA	538	TRNM								
D9_1_156_R1_peak_1249	chr19	18192758	18193231	+	254	NA	promoter-TSS (MPV17L2)	NA	-236	MPV17L2								
D9_1_156_R1_peak_843	chr16	85688930	85689277	+	253	NA	promoter-TSS (GINS2)	NA	-121	GINS2								
D9_1_156_R1_peak_305	chr11	575805	576262	+	249	NA	promoter-TSS (PHRF1)	NA	-148	LOC143666								
D9_1_156_R1_peak_389	chr11	67630129	67630532	+	247	NA	promoter-TSS (NUDT8)	NA	-393	NUDT8								
D9_1_156_R1_peak_1147	chr19	6110510	6110888	+	247	NA	promoter-TSS (RFX2)	NA	-46	RFX2								
D9_1_156_R1_peak_12	chr1	1919111	1919669	+	244	NA	promoter-TSS (TMEM52)	NA	-89	TMEM52								
D9_1_156_R1_peak_1982	chr5	177426263	177426751	+	244	NA	promoter-TSS (GRK6)	NA	-179	GRK6								
D9_1_156_R1_peak_1278	chr19	36014224	36014675	+	243	NA	promoter-TSS (ALKBH6)	NA	-24	AC002116.7								
D9_1_156_R1_peak_218	chr10	11742183	11742514	+	243	NA	promoter-TSS (ECHDC3)	NA	-9	ECHDC3								
D9_1_156_R1_peak_1625	chr20	62861744	62862212	+	243	NA	promoter-TSS (TCFL5)	NA	-302	TCFL5								
D9_1_156_R1_peak_36	chr1	9910250	9910693	+	241	NA	promoter-TSS (CTNNBIP1)	NA	-113	CTNNBIP1								
D9_1_156_R1_peak_435	chr12	8242892	8243220	+	241	NA	promoter-TSS (FAM86FP)	NA	-110	FAM86FP								
D9_1_156_R1_peak_483	chr12	110742836	110743209	+	240	NA	promoter-TSS (PPP1CC)	NA	-44	PPP1CC								
D9_1_156_R1_peak_107	chr1	45303514	45303845	+	240	NA	promoter-TSS (LINC01144)	NA	-231	LINC01144								
D9_1_156_R1_peak_688	chr16	352625	353277	+	240	NA	promoter-TSS (AXIN1)	NA	-269	AXIN1								
D9_1_156_R1_peak_1746	chr22	50628067	50628364	+	238	NA	promoter-TSS (ARSA)	NA	-42	ARSA								
D9_1_156_R1_peak_989	chr17	59155171	59155518	+	237	NA	promoter-TSS (SKA2)	NA	95	SKA2								
D9_1_156_R1_peak_697	chr16	788263	788714	+	235	NA	promoter-TSS (CHTF18)	NA	-105	RPUSD1								
D9_1_156_R1_peak_1422	chr19	55461632	55462029	+	234	NA	promoter-TSS (ISOC2)	NA	-136	ISOC2								
D9_1_156_R1_peak_1145	chr19	5686963	5687349	+	234	NA	intron (HSD11B1L, intron 3 of 5)	NA	-3105	RPL36								
D9_1_156_R1_peak_1699	chr22	36387977	36388382	+	234	NA	promoter-TSS (MYH9)	NA	-161	MYH9								
D9_1_156_R1_peak_797	chr16	46388560	46388917	+	233	NA	Intergenic	NA	180359	ANKRD26P1								
D9_1_156_R1_peak_2378	chrX	318078	318441	+	232	NA	promoter-TSS (LINC00685)	NA	-741	GTPBP6								
D9_1_156_R1_peak_1450	chr2	27211852	27212123	+	231	NA	promoter-TSS (SLC5A6)	NA	-194	SLC5A6								
D9_1_156_R1_peak_432	chr12	6891062	6891295	+	231	NA	Intergenic	NA	6496	DSTNP2								
D9_1_156_R1_peak_2165	chr7	156893082	156893457	+	229	NA	promoter-TSS (LMBR1)	NA	-187	LOC102723795								
D9_1_156_R1_peak_1149	chr19	6373077	6373622	+	229	NA	promoter-TSS (ALKBH7)	NA	916	ALKBH7								
D9_1_156_R1_peak_602	chr14	101760376	101760976	+	228	NA	promoter-TSS (PPP2R5C)	NA	-1193	PPP2R5C								
D9_1_156_R1_peak_2120	chr7	75914942	75915198	+	228	NA	promoter-TSS (POR)	NA	-32	POR								
D9_1_156_R1_peak_1165	chr19	7920396	7921095	+	228	NA	promoter-TSS (SNAPC2)	NA	-237	SNAPC2								
D9_1_156_R1_peak_108	chr1	45491074	45491404	+	227	NA	promoter-TSS (TESK2)	NA	-71	TESK2								
D9_1_156_R1_peak_700	chr16	1342985	1343360	+	227	NA	intron (BAIAP3, intron 13 of 32)	NA	4847	LOC102724592								
D9_1_156_R1_peak_1987	chr5	179698745	179698992	+	225	NA	promoter-TSS (CANX)	NA	-61	CANX								
D9_1_156_R1_peak_1175	chr19	9818996	9819712	+	225	NA	promoter-TSS (FBXL12)	NA	71	FBXL12								
D9_1_156_R1_peak_2272	chr9	93134194	93134483	+	224	NA	promoter-TSS (NINJ1)	NA	-50	NINJ1								
D9_1_156_R1_peak_962	chr17	44200019	44200473	+	223	NA	promoter-TSS (ATXN7L3)	NA	1778	LOC101926967								
D9_1_156_R1_peak_1656	chr21	44455153	44455567	+	223	NA	promoter-TSS (LRRC3)	NA	-76	LRRC3-AS1								
D9_1_156_R1_peak_1442	chr2	11155059	11155524	+	223	NA	promoter-TSS (PQLC3)	NA	-81	PQLC3								
D9_1_156_R1_peak_1268	chr19	29844534	29845241	+	222	NA	Intergenic	NA	32989	CCNE1								
D9_1_156_R1_peak_370	chr11	65570230	65570475	+	221	NA	promoter-TSS (SSSCA1)	NA	61	SSSCA1-AS1								
D9_1_156_R1_peak_1085	chr19	680429	680818	+	221	NA	intron (FSTL3, intron 3 of 4)	NA	4234	FSTL3								
D9_1_156_R1_peak_1587	chr20	34876266	34876686	+	219	NA	promoter-TSS (ACSS2)	NA	1513	ACSS2								
D9_1_156_R1_peak_1048	chr17	83051746	83052052	+	219	NA	promoter-TSS (B3GNTL1)	NA	-113	B3GNTL1								
D9_1_156_R1_peak_520	chr12	131894285	131894661	+	217	NA	promoter-TSS (ULK1)	NA	-261	ULK1								
D9_1_156_R1_peak_1328	chr19	45001836	45002249	+	217	NA	intron (RELB, intron 1 of 11)	NA	557	RELB								
D9_1_156_R1_peak_1581	chr20	32621240	32621420	+	216	NA	Intergenic	NA	30651	C20orf203								
D9_1_156_R1_peak_1863	chr4	3292833	3293433	+	215	NA	intron (RGS12, intron 1 of 10)	NA	-21014	RGS12								
D9_1_156_R1_peak_330	chr11	44565199	44565638	+	214	NA	promoter-TSS (CD82)	NA	-173	CD82								
D9_1_156_R1_peak_913	chr17	17823570	17823895	+	214	NA	promoter-TSS (SREBF1)	NA	-9854	MIR33B								
D9_1_156_R1_peak_696	chr16	679721	680181	+	214	NA	promoter-TSS (STUB1)	NA	-164	STUB1								
D9_1_156_R1_peak_2	chr1	959205	959456	+	214	NA	promoter-TSS (NOC2L)	NA	-31	NOC2L								
D9_1_156_R1_peak_609	chr14	103715427	103715810	+	214	NA	promoter-TSS (ZFYVE21)	NA	-126	ZFYVE21								
D9_1_156_R1_peak_488	chr12	113335074	113335375	+	214	NA	promoter-TSS (SLC8B1)	NA	-104	SLC8B1								
D9_1_156_R1_peak_1160	chr19	7829457	7830232	+	214	NA	promoter-TSS (EVI5L)	NA	-431	EVI5L								
D9_1_156_R1_peak_1062	chr18	24397799	24398058	+	213	NA	promoter-TSS (OSBPL1A)	NA	-46	OSBPL1A								
D9_1_156_R1_peak_1111	chr19	1863641	1864410	+	213	NA	promoter-TSS (KLF16)	NA	-460	KLF16								
D9_1_156_R1_peak_2223	chr8	143569043	143569566	+	213	NA	intron (MROH6, intron 9 of 13)	NA	3454	MROH6								
D9_1_156_R1_peak_1554	chr2	241355874	241356290	+	213	NA	promoter-TSS (FARP2)	NA	-167	FARP2								
D9_1_156_R1_peak_2235	chr8	144412900	144413387	+	213	NA	intron (SLC39A4, intron 9 of 10)	NA	448	SLC39A4								
D9_1_156_R1_peak_1757	chr3	12967594	12968059	+	213	NA	promoter-TSS (IQSEC1)	NA	-366	IQSEC1								
D9_1_156_R1_peak_1412	chr19	53867618	53867893	+	213	NA	promoter-TSS (MYADM)	NA	1398	MYADM								
D9_1_156_R1_peak_1556	chr2	241701813	241702143	+	212	NA	promoter-TSS (ING5)	NA	-68	ING5								
D9_1_156_R1_peak_1019	chr17	78840851	78841155	+	212	NA	promoter-TSS (USP36)	NA	-116	USP36								
D9_1_156_R1_peak_1665	chr21	46324434	46324745	+	208	NA	promoter-TSS (C21orf58)	NA	467	PCNT								
D9_1_156_R1_peak_282	chr10	129466955	129467259	+	205	NA	promoter-TSS (MGMT)	NA	-185	MGMT								
D9_1_156_R1_peak_2359	chr9	137459287	137459526	+	205	NA	promoter-TSS (NSMF)	NA	-72	NSMF								
D9_1_156_R1_peak_127	chr1	109042048	109042493	+	203	NA	promoter-TSS (WDR47)	NA	-118	WDR47								
D9_1_156_R1_peak_884	chr17	2853283	2853830	+	202	NA	promoter-TSS (RAP1GAP2)	NA	57118	RAP1GAP2								
D9_1_156_R1_peak_1259	chr19	19385432	19385787	+	202	NA	promoter-TSS (GATAD2A)	NA	-341	GATAD2A								
D9_1_156_R1_peak_1765	chr3	33440136	33440609	+	201	NA	promoter-TSS (UBP1)	NA	-362	UBP1								
D9_1_156_R1_peak_2238	chr8	144462779	144463166	+	201	NA	promoter-TSS (CYHR1)	NA	2706	CYHR1								
D9_1_156_R1_peak_437	chr12	13000193	13000535	+	201	NA	promoter-TSS (HEBP1)	NA	-55	HEBP1								
D9_1_156_R1_peak_2265	chr9	79571417	79571929	+	200	NA	promoter-TSS (TLE4)	NA	-927	TLE4								
D9_1_156_R1_peak_395	chr11	70270399	70270761	+	200	NA	promoter-TSS (PPFIA1)	NA	-1124	PPFIA1								
D9_1_156_R1_peak_563	chr14	39432397	39432728	+	200	NA	promoter-TSS (FBXO33)	NA	-62	FBXO33								
D9_1_156_R1_peak_2118	chr7	75738983	75739406	+	200	NA	promoter-TSS (HIP1)	NA	-35582	LOC102723662								
D9_1_156_R1_peak_2202	chr8	86514265	86514526	+	200	NA	promoter-TSS (CPNE3)	NA	-42	CPNE3								
D9_1_156_R1_peak_578	chr14	69611417	69611658	+	200	NA	promoter-TSS (KIAA0247)	NA	-56	KIAA0247								
D9_1_156_R1_peak_2308	chr9	128218755	128219093	+	200	NA	intron (DNM1, intron 3 of 11)	NA	15569	DNM1								
D9_1_156_R1_peak_685	chr15	99928392	99928693	+	200	NA	Intergenic	NA	-32777	LOC102724973								
D9_1_156_R1_peak_216	chr10	5889859	5890215	+	200	NA	promoter-TSS (ANKRD16)	NA	-140	ANKRD16								
D9_1_156_R1_peak_1176	chr19	9835034	9835348	+	200	NA	promoter-TSS (LOC100996288)	NA	-16	PIN1								
D9_1_156_R1_peak_1456	chr2	30146642	30146980	+	198	NA	promoter-TSS (LOC101929418)	NA	-58	LOC101929418								
D9_1_156_R1_peak_1106	chr19	1490638	1491108	+	198	NA	promoter-TSS (PCSK4)	NA	-293	REEP6								
D9_1_156_R1_peak_1115	chr19	2096178	2096949	+	198	NA	promoter-TSS (MOB3A)	NA	-293	MOB3A								
D9_1_156_R1_peak_265	chr10	102917979	102918343	+	196	NA	promoter-TSS (CNNM2)	NA	-157	CNNM2								
D9_1_156_R1_peak_195	chr1	228165504	228166319	+	196	NA	promoter-TSS (IBA57)	NA	183	IBA57								
D9_1_156_R1_peak_434	chr12	7018430	7018904	+	194	NA	promoter-TSS (LPCAT3)	NA	-129	LPCAT3								
D9_1_156_R1_peak_2194	chr8	41529013	41529283	+	193	NA	promoter-TSS (GINS4)	NA	-82	GINS4								
D9_1_156_R1_peak_529	chr13	23375517	23375812	+	193	NA	promoter-TSS (SACS)	NA	-121	SACS								
D9_1_156_R1_peak_718	chr16	2682362	2682647	+	193	NA	promoter-TSS (KCTD5)	NA	10	KCTD5								
D9_1_156_R1_peak_135	chr1	117605846	117606136	+	192	NA	promoter-TSS (FAM46C)	NA	9	FAM46C								
D9_1_156_R1_peak_1862	chr4	3073891	3074724	+	192	NA	promoter-TSS (HTT)	NA	207	HTT-AS								
D9_1_156_R1_peak_368	chr11	65524904	65525206	+	191	NA	promoter-TSS (SCYL1)	NA	-11	SCYL1								
