PeakID (cmd=annotatePeaks.pl D9_1_155_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_1_155_R1_peak_22080	chr7	106071375	106072148	+	5392	NA	Intergenic	NA	40886	SYPL1								
D9_1_155_R1_peak_511	chr1	33055533	33056307	+	5389	NA	Intergenic	NA	-19009	AK2								
D9_1_155_R1_peak_6020	chr12	122646553	122647354	+	5364	NA	Intergenic	NA	56404	HCAR2								
D9_1_155_R1_peak_11702	chr19	43950767	43951747	+	5347	NA	promoter-TSS (ZNF221)	NA	12	ZNF221								
D9_1_155_R1_peak_11348	chr19	15869037	15869866	+	5344	NA	Intergenic	NA	-4551	LOC102724299								
D9_1_155_R1_peak_1206	chr1	112619309	112620972	+	5317	NA	promoter-TSS (ST7L)	NA	687	CAPZA1								
D9_1_155_R1_peak_1492	chr1	156748452	156749226	+	5267	NA	intron (HDGF, intron 1 of 3)	NA	3585	HDGF								
D9_1_155_R1_peak_4320	chr11	73204381	73205224	+	5249	NA	intron (LOC102724472, intron 2 of 2)	NA	4322	LOC102724472								
D9_1_155_R1_peak_21029	chr6	139626285	139627378	+	5244	NA	Intergenic	NA	-144242	LOC100132735								
D9_1_155_R1_peak_10034	chr17	58281444	58282198	+	5242	NA	promoter-TSS (MPO)	NA	-886	MPO								
D9_1_155_R1_peak_13672	chr2	197239094	197240052	+	5233	NA	intron (ANKRD44, intron 1 of 27)	NA	-8997	LOC101927567								
D9_1_155_R1_peak_17073	chr3	184637529	184638453	+	5225	NA	Intergenic	NA	74057	MAGEF1								
D9_1_155_R1_peak_20533	chr6	73461612	73462303	+	5210	NA	promoter-TSS (MTO1)	NA	226	MTO1								
D9_1_155_R1_peak_1891	chr1	199041278	199042057	+	5209	NA	Intergenic	NA	-104238	MIR181A1HG								
D9_1_155_R1_peak_10289	chr17	75784518	75785614	+	5207	NA	promoter-TSS (MIR4738)	NA	227	UNK								
D9_1_155_R1_peak_11302	chr19	13835481	13836314	+	5202	NA	TTS (MIR23A)	NA	392	LOC284454								
D9_1_155_R1_peak_19934	chr6	14910417	14911331	+	5202	NA	Intergenic	NA	249421	LOC102724463								
D9_1_155_R1_peak_2197	chr1	229027397	229028189	+	5186	NA	Intergenic	NA	228511	LOC102723935								
D9_1_155_R1_peak_10134	chr17	64179987	64181024	+	5185	NA	intron (TEX2, intron 5 of 11)	NA	34166	SNORA76								
D9_1_155_R1_peak_19091	chr5	119308598	119309434	+	5161	NA	intron (TNFAIP8, intron 1 of 1)	NA	40324	TNFAIP8								
D9_1_155_R1_peak_4164	chr11	65497031	65497957	+	5156	NA	promoter-TSS (MALAT1)	NA	-268	MALAT1								
D9_1_155_R1_peak_22464	chr8	2005804	2006746	+	5149	NA	exon (KBTBD11, exon 2 of 2)	NA	9007	KBTBD11								
D9_1_155_R1_peak_19738	chr6	2820210	2821019	+	5119	NA	Intergenic	NA	20856	SERPINB1								
D9_1_155_R1_peak_7759	chr15	50065106	50065865	+	5118	NA	intron (ATP8B4, intron 3 of 28)	NA	45032	ATP8B4								
D9_1_155_R1_peak_2293	chr1	234962404	234963796	+	5109	NA	Intergenic	NA	106718	LOC731656								
D9_1_155_R1_peak_16045	chr3	49021227	49022346	+	5109	NA	promoter-TSS (DALRD3)	NA	145	NDUFAF3								
D9_1_155_R1_peak_5987	chr12	121425097	121425774	+	5086	NA	Intergenic	NA	18912	MIR7107								
D9_1_155_R1_peak_17193	chr3	195164448	195165375	+	5076	NA	intron (XXYLT1, intron 2 of 3)	NA	17040	XXYLT1-AS2								
D9_1_155_R1_peak_10355	chr17	78383804	78385001	+	5069	NA	intron (PGS1, intron 1 of 9)	NA	5778	PGS1								
D9_1_155_R1_peak_3039	chr10	72694827	72695646	+	5050	NA	intron (MCU, intron 1 of 7)	NA	3105	MCU								
D9_1_155_R1_peak_3106	chr10	78250002	78250845	+	5049	NA	exon (LINC00856, exon 2 of 2)	NA	1798	LINC00856								
D9_1_155_R1_peak_10856	chr18	63099841	63100651	+	5049	NA	Intergenic	NA	219532	BCL2								
D9_1_155_R1_peak_22276	chr7	139339922	139342286	+	5035	NA	promoter-TSS (C7orf55-LUC7L2)	NA	-28	C7orf55-LUC7L2								
D9_1_155_R1_peak_8798	chr16	30052740	30053442	+	5020	NA	promoter-TSS (LOC102723572)	NA	-99	LOC102723572								
D9_1_155_R1_peak_7262	chr14	75458704	75459879	+	5016	NA	intron (JDP2, intron 3 of 4)	NA	23583	JDP2								
D9_1_155_R1_peak_1669	chr1	172473091	172473954	+	4981	NA	Intergenic	NA	29381	C1orf105								
D9_1_155_R1_peak_18432	chr5	14587739	14588639	+	4975	NA	intron (FAM105A, intron 1 of 7)	NA	6407	FAM105A								
D9_1_155_R1_peak_5906	chr12	116559471	116560188	+	4970	NA	intron (MAP1LC3B2, intron 1 of 1)	NA	448	MAP1LC3B2								
D9_1_155_R1_peak_1216	chr1	113811875	113813038	+	4960	NA	promoter-TSS (RSBN1)	NA	-8	RSBN1								
D9_1_155_R1_peak_17771	chr4	80127276	80127952	+	4958	NA	Intergenic	NA	-54291	ANTXR2								
D9_1_155_R1_peak_4256	chr11	68751078	68751862	+	4954	NA	promoter-TSS (MTL5)	NA	50	MTL5								
D9_1_155_R1_peak_6311	chr13	41004646	41005563	+	4934	NA	intron (ELF1, intron 1 of 8)	NA	55705	TRNAE20								
D9_1_155_R1_peak_16948	chr3	171975269	171976245	+	4930	NA	Intergenic	NA	-64797	FNDC3B								
D9_1_155_R1_peak_20568	chr6	81940952	81941788	+	4926	NA	Intergenic	NA	-2949	LOC102724168								
D9_1_155_R1_peak_16561	chr3	128845577	128846577	+	4923	NA	Intergenic	NA	25464	RP11-723O4.2								
D9_1_155_R1_peak_4458	chr11	95256164	95257019	+	4890	NA	Intergenic	NA	-25509	SESN3								
D9_1_155_R1_peak_10035	chr17	58284555	58285476	+	4872	NA	Intergenic	NA	-4080	MPO								
D9_1_155_R1_peak_4182	chr11	65766424	65767158	+	4872	NA	Intergenic	NA	13800	AP5B1								
D9_1_155_R1_peak_2296	chr1	234980648	234981472	+	4868	NA	Intergenic	NA	88758	LOC731656								
D9_1_155_R1_peak_6595	chr13	79866895	79867903	+	4856	NA	Intergenic	NA	-5187	RP11-501G7.1								
D9_1_155_R1_peak_14487	chr20	38293846	38294700	+	4834	NA	Intergenic	NA	-9910	BPI								
D9_1_155_R1_peak_13928	chr2	226325301	226325994	+	4810	NA	Intergenic	NA	182853	LOC646736								
D9_1_155_R1_peak_21249	chr6	166998922	166999881	+	4793	NA	promoter-TSS (FGFR1OP)	NA	84	FGFR1OP								
D9_1_155_R1_peak_5010	chr12	14365264	14366218	+	4791	NA	exon (ATF7IP, exon 1 of 13)	NA	109	ATF7IP								
D9_1_155_R1_peak_5629	chr12	92070898	92071615	+	4779	NA	intron (C12orf79, intron 1 of 5)	NA	71415	C12orf79								
D9_1_155_R1_peak_17460	chr4	26287964	26288917	+	4777	NA	intron (RBPJ, intron 1 of 11)	NA	-32367	RBPJ								
D9_1_155_R1_peak_23451	chr8	141129641	141130509	+	4773	NA	promoter-TSS (LOC101927963)	NA	1441	DENND3								
D9_1_155_R1_peak_16900	chr3	167161911	167162733	+	4762	NA	Intergenic	NA	218083	ZBBX								
D9_1_155_R1_peak_16099	chr3	52185373	52186372	+	4755	NA	Intergenic	NA	-12241	ALAS1								
D9_1_155_R1_peak_15276	chr22	31917260	31918361	+	4750	NA	Intergenic	NA	-26683	YWHAH								
D9_1_155_R1_peak_19897	chr6	13407408	13408275	+	4737	NA	intron (GFOD1, intron 1 of 1)	NA	296	GFOD1								
D9_1_155_R1_peak_2963	chr10	69068421	69069217	+	4731	NA	Intergenic	NA	-19253	SRGN								
D9_1_155_R1_peak_23365	chr8	130206205	130207046	+	4729	NA	intron (ASAP1, intron 3 of 28)	NA	83456	ASAP1								
D9_1_155_R1_peak_1039	chr1	92583856	92584721	+	4724	NA	intron (EVI5, intron 18 of 19)	NA	-99336	GFI1								
D9_1_155_R1_peak_5528	chr12	69337692	69338791	+	4704	NA	Intergenic	NA	-10113	LYZ								
D9_1_155_R1_peak_2819	chr10	43326903	43327701	+	4703	NA	Intergenic	NA	-44342	FXYD4								
D9_1_155_R1_peak_2965	chr10	69075325	69076064	+	4702	NA	Intergenic	NA	-12378	SRGN								
D9_1_155_R1_peak_23712	chr9	34665686	34666532	+	4695	NA	intron (LOC101929761, intron 1 of 4)	NA	-3417	CCL27								
D9_1_155_R1_peak_22381	chr7	150367798	150369209	+	4690	NA	promoter-TSS (REPIN1)	NA	-281	REPIN1								
D9_1_155_R1_peak_2087	chr1	215145990	215146781	+	4676	NA	intron (KCNK2, intron 3 of 5)	NA	63168	KCNK2								
D9_1_155_R1_peak_782	chr1	58524220	58525042	+	4666	NA	intron (OMA1, intron 7 of 8)	NA	22143	OMA1								
D9_1_155_R1_peak_13692	chr2	199738503	199739338	+	4666	NA	Intergenic	NA	-71504	LOC101927665								
D9_1_155_R1_peak_11652	chr19	41784129	41785117	+	4661	NA	Intergenic	NA	-11967	CEACAM3								
D9_1_155_R1_peak_4797	chr12	2358346	2359082	+	4628	NA	intron (CACNA1C, intron 3 of 45)	NA	88938	CACNA1C-IT3								
D9_1_155_R1_peak_24333	chr9	124380939	124381906	+	4627	NA	intron (PSMB7, intron 6 of 7)	NA	27949	LOC100129034								
D9_1_155_R1_peak_14612	chr20	49768125	49769187	+	4617	NA	Intergenic	NA	-54772	B4GALT5								
D9_1_155_R1_peak_6411	chr13	48862413	48862995	+	4614	NA	Intergenic	NA	155889	CYSLTR2								
D9_1_155_R1_peak_13230	chr2	136136213	136137215	+	4607	NA	Intergenic	NA	-18559	CXCR4								
D9_1_155_R1_peak_2118	chr1	221707930	221708658	+	4587	NA	intron (DUSP10, intron 1 of 2)	NA	33880	DUSP10								
D9_1_155_R1_peak_23579	chr9	6412544	6413497	+	4585	NA	promoter-TSS (UHRF2)	NA	-207	UHRF2								
D9_1_155_R1_peak_15522	chr22	49853090	49853829	+	4577	NA	promoter-TSS (ZBED4)	NA	-390	ZBED4								
D9_1_155_R1_peak_20803	chr6	113695428	113696078	+	4576	NA	Intergenic	NA	-41232	LOC101927686								
D9_1_155_R1_peak_24177	chr9	110156560	110157506	+	4576	NA	intron (AKAP2, intron 3 of 3)	NA	-41490	TRNAR6								
D9_1_155_R1_peak_14961	chr21	38419913	38420914	+	4571	NA	intron (ERG, intron 5 of 10)	NA	-87073	LOC102724678								
D9_1_155_R1_peak_2964	chr10	69072864	69074315	+	4565	NA	Intergenic	NA	-14483	SRGN								
D9_1_155_R1_peak_16956	chr3	172074204	172075128	+	4557	NA	intron (FNDC3B, intron 1 of 25)	NA	34112	FNDC3B								
D9_1_155_R1_peak_3823	chr11	33211007	33212072	+	4557	NA	Intergenic	NA	-45783	HIPK3								
D9_1_155_R1_peak_10426	chr17	81837527	81838318	+	4551	NA	Intergenic	NA	-2872	PPP1R27								
D9_1_155_R1_peak_6245	chr13	32116104	32116818	+	4548	NA	intron (FRY, intron 3 of 62)	NA	-84822	FRY-AS1								
D9_1_155_R1_peak_12383	chr2	43013894	43015090	+	4542	NA	Intergenic	NA	25055	LOC102723854								
D9_1_155_R1_peak_5022	chr12	14961165	14962111	+	4538	NA	promoter-TSS (ARHGDIB)	NA	-10	ARHGDIB								
D9_1_155_R1_peak_10254	chr17	74737947	74738745	+	4536	NA	intron (RAB37, intron 1 of 7)	NA	-10266	SLC9A3R1								
D9_1_155_R1_peak_18602	chr5	43042097	43043457	+	4529	NA	exon (LOC153684, exon 1 of 2)	NA	643	LOC153684								
D9_1_155_R1_peak_3292	chr10	100185578	100186425	+	4526	NA	promoter-TSS (ERLIN1)	NA	28	ERLIN1								
D9_1_155_R1_peak_23030	chr8	92956641	92957460	+	4496	NA	intron (TRIQK, intron 1 of 5)	NA	8539	TRIQK								
D9_1_155_R1_peak_9960	chr17	50372679	50373637	+	4493	NA	promoter-TSS (EME1)	NA	43	MRPL27								
D9_1_155_R1_peak_17174	chr3	194255332	194256003	+	4488	NA	intron (RP11-513G11.3, intron 3 of 3)	NA	8019	RP11-513G11.3								
D9_1_155_R1_peak_23994	chr9	90799283	90799826	+	4481	NA	Intergenic	NA	-2176	SYK								
D9_1_155_R1_peak_13278	chr2	144703665	144704710	+	4472	NA	intron (TEX41, intron 1 of 4)	NA	36220	TEX41								
D9_1_155_R1_peak_8450	chr16	339567	340292	+	4460	NA	intron (AXIN1, intron 2 of 5)	NA	12753	AXIN1								
D9_1_155_R1_peak_10649	chr18	22831187	22832018	+	4457	NA	Intergenic	NA	-40429	LOC101927571								
D9_1_155_R1_peak_7133	chr14	65054502	65055229	+	4457	NA	intron (CHURC1-FNTB, intron 13 of 13)	NA	10177	MIR4706								
D9_1_155_R1_peak_2544	chr10	11178549	11179253	+	4457	NA	intron (CELF2, intron 1 of 11)	NA	-73413	CELF2-AS2								
D9_1_155_R1_peak_10972	chr19	827431	828282	+	4455	NA	promoter-TSS (AZU1)	NA	25	AZU1								
D9_1_155_R1_peak_8678	chr16	19523454	19524195	+	4445	NA	promoter-TSS (CCP110)	NA	-50	CCP110								
D9_1_155_R1_peak_806	chr1	59549662	59550527	+	4444	NA	intron (FGGY, intron 7 of 15)	NA	-4030	FGGY								
D9_1_155_R1_peak_9097	chr16	74666488	74667340	+	4441	NA	promoter-TSS (RFWD3)	NA	-22	RFWD3								
D9_1_155_R1_peak_4224	chr11	67277160	67278089	+	4439	NA	intron (ADRBK1, intron 2 of 20)	NA	11190	ADRBK1								
D9_1_155_R1_peak_738	chr1	52636999	52637905	+	4438	NA	intron (FAM159A, intron 1 of 2)	NA	4108	FAM159A								
D9_1_155_R1_peak_6820	chr14	22460257	22461030	+	4438	NA	intron (LOC102724753, intron 1 of 2)	NA	18251	LOC102724753								
D9_1_155_R1_peak_20208	chr6	31737710	31738428	+	4418	NA	promoter-TSS (CLIC1)	NA	-751	CLIC1								
D9_1_155_R1_peak_16582	chr3	129439737	129440705	+	4418	NA	promoter-TSS (MBD4)	NA	-42	MBD4								
D9_1_155_R1_peak_5769	chr12	104687527	104688419	+	4412	NA	intron (CHST11, intron 2 of 2)	NA	96328	MIR3922								
D9_1_155_R1_peak_16346	chr3	100072215	100073044	+	4411	NA	intron (FILIP1L, intron 1 of 4)	NA	-42301	CMSS1								
D9_1_155_R1_peak_14489	chr20	38298559	38299343	+	4408	NA	Intergenic	NA	-5232	BPI								
D9_1_155_R1_peak_11436	chr19	18967440	18968124	+	4404	NA	Intergenic	NA	21582	LOC102724360								
D9_1_155_R1_peak_2268	chr1	234522458	234523922	+	4400	NA	Intergenic	NA	8589	RP5-855F14.1								
D9_1_155_R1_peak_11328	chr19	14517843	14518930	+	4398	NA	promoter-TSS (DNAJB1)	NA	-524	DNAJB1								
D9_1_155_R1_peak_2282	chr1	234723345	234724920	+	4381	NA	promoter-TSS (LINC01132)	NA	90	LINC01132								
D9_1_155_R1_peak_23061	chr8	95235486	95236359	+	4371	NA	Intergenic	NA	-19548	C8orf69								
D9_1_155_R1_peak_11596	chr19	39390704	39391598	+	4368	NA	promoter-TSS (PAF1)	NA	44	PAF1								
D9_1_155_R1_peak_1961	chr1	203769249	203770003	+	4350	NA	promoter-TSS (LAX1)	NA	4470	LAX1								
D9_1_155_R1_peak_16109	chr3	52409896	52411118	+	4347	NA	promoter-TSS (PHF7)	NA	-101	PHF7								
D9_1_155_R1_peak_6663	chr13	99277616	99278798	+	4346	NA	intron (UBAC2, intron 4 of 5)	NA	-19779	GPR18								
D9_1_155_R1_peak_12950	chr2	101474790	101475535	+	4343	NA	promoter-TSS (RFX8)	NA	-459	RFX8								
D9_1_155_R1_peak_9202	chr16	85733023	85733801	+	4342	NA	intron (C16orf74, intron 2 of 3)	NA	2895	C16orf74								
D9_1_155_R1_peak_7544	chr14	103317128	103317846	+	4335	NA	Intergenic	NA	-16515	EIF5								
D9_1_155_R1_peak_10224	chr17	73061089	73061821	+	4323	NA	intron (SLC39A11, intron 3 of 6)	NA	31259	SLC39A11								
D9_1_155_R1_peak_276	chr1	21552485	21553161	+	4308	NA	intron (ALPL, intron 1 of 11)	NA	1509	ALPL								
D9_1_155_R1_peak_22077	chr7	105677571	105678375	+	4297	NA	promoter-TSS (ATXN7L1)	NA	1189	ATXN7L1								
D9_1_155_R1_peak_17643	chr4	57110411	57111588	+	4294	NA	promoter-TSS (IGFBP7)	NA	-614	IGFBP7								
D9_1_155_R1_peak_17291	chr4	2933769	2934480	+	4287	NA	exon (MFSD10, exon 1 of 12)	NA	729	MFSD10								
D9_1_155_R1_peak_3057	chr10	73908834	73909530	+	4286	NA	TTS (C10orf55)	NA	-1950	PLAU								
D9_1_155_R1_peak_647	chr1	43707275	43708211	+	4281	NA	promoter-TSS (KDM4A-AS1)	NA	210	ST3GAL3								
D9_1_155_R1_peak_20815	chr6	113880878	113881687	+	4277	NA	Intergenic	NA	-7935	RP1-249H1.4								
D9_1_155_R1_peak_14265	chr20	17648151	17648866	+	4274	NA	intron (RRBP1, intron 3 of 24)	NA	33775	RRBP1								
D9_1_155_R1_peak_16607	chr3	132242663	132243443	+	4272	NA	Intergenic	NA	-11184	TRNAC18								
D9_1_155_R1_peak_17459	chr4	26272677	26274107	+	4267	NA	intron (RBPJ, intron 1 of 11)	NA	-47415	RBPJ								
D9_1_155_R1_peak_21946	chr7	92754919	92755845	+	4264	NA	intron (CDK6, intron 3 of 7)	NA	-53568	RNU6-10P								
D9_1_155_R1_peak_23406	chr8	133245306	133246469	+	4262	NA	intron (NDRG1, intron 13 of 15)	NA	-32973	LOC102723635								
D9_1_155_R1_peak_9197	chr16	85571486	85572258	+	4256	NA	intron (GSE1, intron 1 of 14)	NA	117110	GINS2								
D9_1_155_R1_peak_5414	chr12	57520521	57521306	+	4228	NA	promoter-TSS (DDIT3)	NA	-396	DDIT3								
D9_1_155_R1_peak_22318	chr7	142104624	142105445	+	4221	NA	intron (MGAM, intron 70 of 70)	NA	-6715	LOC93432								
D9_1_155_R1_peak_11199	chr19	10194129	10195218	+	4216	NA	promoter-TSS (DNMT1)	NA	406	DNMT1								
D9_1_155_R1_peak_3795	chr11	27422979	27423625	+	4214	NA	intron (LGR4, intron 1 of 17)	NA	18621	LOC101928289								
D9_1_155_R1_peak_24980	chrX	65997844	65998622	+	4212	NA	Intergenic	NA	-20704	MIR223								
D9_1_155_R1_peak_4186	chr11	65776076	65776776	+	4198	NA	exon (AP5B1, exon 2 of 2)	NA	4165	AP5B1								
D9_1_155_R1_peak_8386	chr15	96494338	96495075	+	4194	NA	Intergenic	NA	102001	LOC101927263								
D9_1_155_R1_peak_23859	chr9	76629419	76630057	+	4188	NA	intron (PRUNE2, intron 15 of 19)	NA	-134700	PCA3								
D9_1_155_R1_peak_25021	chrX	73943759	73944512	+	4187	NA	promoter-TSS (JPX)	NA	-189	JPX								
D9_1_155_R1_peak_3139	chr10	80580272	80581365	+	4175	NA	intron (SH2D4B, intron 3 of 6)	NA	39999	SH2D4B								
D9_1_155_R1_peak_15593	chr3	5126431	5127268	+	4173	NA	intron (ARL8B, intron 1 of 4)	NA	4557	ARL8B								
D9_1_155_R1_peak_13982	chr2	231545224	231545993	+	4169	NA	Intergenic	NA	-15163	NMUR1								
D9_1_155_R1_peak_4951	chr12	11171068	11171932	+	4166	NA	exon (PRH1-PRR4, exon 1 of 11)	NA	125	PRH1-PRR4								
D9_1_155_R1_peak_6700	chr13	108266097	108266924	+	4166	NA	Intergenic	NA	-3119	TNFSF13B								
D9_1_155_R1_peak_281	chr1	21768102	21768875	+	4164	NA	intron (USP48, intron 1 of 26)	NA	14687	USP48								
D9_1_155_R1_peak_22361	chr7	148884328	148885337	+	4162	NA	promoter-TSS (EZH2)	NA	-511	EZH2								
D9_1_155_R1_peak_3334	chr10	102853916	102854683	+	4161	NA	promoter-TSS (C10orf32-ASMT)	NA	89	C10orf32-ASMT								
D9_1_155_R1_peak_10770	chr18	46204351	46205083	+	4141	NA	intron (C18orf25, intron 1 of 3)	NA	30695	C18orf25								
D9_1_155_R1_peak_14638	chr20	50338400	50339219	+	4135	NA	Intergenic	NA	-17467	RP11-290F20.2								
D9_1_155_R1_peak_7787	chr15	51585793	51586550	+	4128	NA	intron (DMXL2, intron 1 of 33)	NA	36662	DMXL2								
D9_1_155_R1_peak_358	chr1	26126187	26126985	+	4123	NA	Intergenic	NA	15421	PDIK1L								
D9_1_155_R1_peak_5723	chr12	101891319	101892063	+	4107	NA	intron (DRAM1, intron 1 of 5)	NA	14364	DRAM1								
D9_1_155_R1_peak_23234	chr8	120065529	120066427	+	4103	NA	Intergenic	NA	-59130	COL14A1								
D9_1_155_R1_peak_2778	chr10	31000711	31001409	+	4101	NA	intron (ZNF438, intron 1 of 7)	NA	-1543	ZNF438								
D9_1_155_R1_peak_15582	chr3	4976969	4977639	+	4097	NA	Intergenic	NA	-2108	BHLHE40								
D9_1_155_R1_peak_10678	chr18	24386452	24387030	+	4091	NA	intron (OSBPL1A, intron 1 of 27)	NA	-10165	LOC100289533								
D9_1_155_R1_peak_13645	chr2	195486867	195487728	+	4083	NA	Intergenic	NA	-169831	SLC39A10								
