PeakID (cmd=annotatePeaks.pl SKNO1_2_636_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_2_636_R1_peak_21389	chr9	37119921	37121030	+	1786	NA	promoter-TSS (ZCCHC7)	NA	3	ZCCHC7								
SKNO1_2_636_R1_peak_17986	chr5	154754630	154755579	+	1783	NA	promoter-TSS (LARP1)	NA	69328	MIR1303								
SKNO1_2_636_R1_peak_17238	chr5	14249999	14250661	+	1772	NA	intron (TRIO, intron 1 of 56)	NA	106610	TRIO								
SKNO1_2_636_R1_peak_1566	chr1	159015260	159015811	+	1690	NA	intron (IFI16, intron 2 of 9)	NA	5643	IFI16								
SKNO1_2_636_R1_peak_9088	chr17	42833009	42833621	+	1689	NA	exon (PSME3, exon 1 of 13)	NA	173	PSME3								
SKNO1_2_636_R1_peak_15777	chr3	119468734	119469456	+	1640	NA	exon (POGLUT1, exon 1 of 11)	NA	-5461	TMEM39A								
SKNO1_2_636_R1_peak_14502	chr22	21629033	21629686	+	1637	NA	exon (YDJC, exon 4 of 5)	NA	-3438	CCDC116								
SKNO1_2_636_R1_peak_582	chr1	32817061	32817714	+	1622	NA	promoter-TSS (S100PBP)	NA	645	YARS								
SKNO1_2_636_R1_peak_8278	chr16	69132070	69132975	+	1622	NA	promoter-TSS (CHTF8)	NA	-354	CHTF8								
SKNO1_2_636_R1_peak_21183	chr8	144508151	144509993	+	1606	NA	promoter-TSS (MFSD3)	NA	-97	MFSD3								
SKNO1_2_636_R1_peak_15415	chr3	47475434	47476217	+	1587	NA	promoter-TSS (SCAP)	NA	288	SCAP								
SKNO1_2_636_R1_peak_14650	chr22	30591702	30592288	+	1581	NA	promoter-TSS (PES1)	NA	-99	PES1								
SKNO1_2_636_R1_peak_18959	chr6	85641883	85644329	+	1574	NA	promoter-TSS (SYNCRIP)	NA	744	SYNCRIP								
SKNO1_2_636_R1_peak_13454	chr20	324230	324805	+	1570	NA	intron (RP5-1103G7.4, intron 1 of 2)	NA	735	RP5-1103G7.4								
SKNO1_2_636_R1_peak_8719	chr17	7572320	7573000	+	1568	NA	promoter-TSS (EIF4A1)	NA	-46	EIF4A1								
SKNO1_2_636_R1_peak_20950	chr8	127794056	127794886	+	1563	NA	Intergenic	NA	-1491	MIR1204								
SKNO1_2_636_R1_peak_11228	chr19	36214876	36215464	+	1543	NA	promoter-TSS (ZNF565)	NA	-86	ZNF565								
SKNO1_2_636_R1_peak_2985	chr10	102132823	102133953	+	1520	NA	intron (PPRC1, intron 1 of 13)	NA	394	PPRC1								
SKNO1_2_636_R1_peak_9421	chr17	63699209	63701302	+	1499	NA	promoter-TSS (LIMD2)	NA	-83	LOC729683								
SKNO1_2_636_R1_peak_11635	chr19	49495832	49496505	+	1490	NA	promoter-TSS (RPS11)	NA	-197	RPS11								
SKNO1_2_636_R1_peak_13817	chr20	41028288	41028910	+	1460	NA	promoter-TSS (TOP1)	NA	-223	TOP1								
SKNO1_2_636_R1_peak_16173	chr3	184249199	184249837	+	1456	NA	promoter-TSS (ALG3)	NA	-547	ALG3								
SKNO1_2_636_R1_peak_15870	chr3	128584481	128584986	+	1443	NA	Intergenic	NA	-8647	C3orf27								
SKNO1_2_636_R1_peak_4977	chr12	56468312	56468905	+	1442	NA	promoter-TSS (SPRYD4)	NA	91	SPRYD4								
SKNO1_2_636_R1_peak_8947	chr17	38296852	38297317	+	1440	NA	promoter-TSS (MRPL45)	NA	61	MRPL45								
SKNO1_2_636_R1_peak_14164	chr21	28884565	28885558	+	1431	NA	intron (N6AMT1, intron 1 of 5)	NA	312	N6AMT1								
SKNO1_2_636_R1_peak_18356	chr6	13614894	13615534	+	1425	NA	promoter-TSS (NOL7)	NA	-113	NOL7								
SKNO1_2_636_R1_peak_20006	chr7	100429115	100429941	+	1409	NA	promoter-TSS (ZCWPW1)	NA	-114	ZCWPW1								
SKNO1_2_636_R1_peak_9281	chr17	51166127	51167320	+	1405	NA	promoter-TSS (NME2)	NA	1	NME2								
SKNO1_2_636_R1_peak_14467	chr22	20116845	20117967	+	1400	NA	promoter-TSS (TRMT2A)	NA	-111	TRMT2A								
SKNO1_2_636_R1_peak_12383	chr2	70086063	70087858	+	1371	NA	promoter-TSS (PCBP1-AS1)	NA	55	PCBP1-AS1								
SKNO1_2_636_R1_peak_16360	chr3	196942245	196942775	+	1370	NA	promoter-TSS (NCBP2-AS2)	NA	83	NCBP2								
SKNO1_2_636_R1_peak_7384	chr15	74842997	74843642	+	1362	NA	promoter-TSS (ULK3)	NA	-327	ULK3								
SKNO1_2_636_R1_peak_12422	chr2	73984398	73985318	+	1350	NA	promoter-TSS (TET3)	NA	-1546	TET3								
SKNO1_2_636_R1_peak_5562	chr12	130826278	130826777	+	1346	NA	intron (STX2, intron 2 of 10)	NA	12747	STX2								
SKNO1_2_636_R1_peak_22376	chrX	48574566	48575018	+	1346	NA	intron (RBM3, intron 1 of 6)	NA	439	RBM3								
SKNO1_2_636_R1_peak_10553	chr19	5790469	5791431	+	1339	NA	intron (DUS3L, intron 1 of 11)	NA	260	DUS3L								
SKNO1_2_636_R1_peak_525	chr1	28884920	28885401	+	1338	NA	Intergenic	NA	-29414	EPB41								
SKNO1_2_636_R1_peak_9643	chr17	76182172	76182630	+	1338	NA	intron (RNF157, intron 2 of 19)	NA	-41102	FOXJ1								
SKNO1_2_636_R1_peak_14846	chr22	41381078	41382301	+	1337	NA	promoter-TSS (TEF)	NA	12607	LOC100996598								
SKNO1_2_636_R1_peak_1172	chr1	109619407	109620308	+	1335	NA	promoter-TSS (AMPD2)	NA	-724	AMPD2								
SKNO1_2_636_R1_peak_10667	chr19	10106194	10106712	+	1322	NA	intron (PPAN-P2RY11, intron 1 of 12)	NA	230	PPAN-P2RY11								
SKNO1_2_636_R1_peak_5050	chr12	64221970	64222548	+	1320	NA	promoter-TSS (C12orf66)	NA	12	C12orf66								
SKNO1_2_636_R1_peak_15000	chr22	49970674	49971428	+	1311	NA	Intergenic	NA	8185	MIR6821								
SKNO1_2_636_R1_peak_16090	chr3	168095286	168096741	+	1306	NA	promoter-TSS (GOLIM4)	NA	-89	GOLIM4								
SKNO1_2_636_R1_peak_13071	chr2	191020191	191020796	+	1302	NA	Intergenic	NA	-6243	STAT1								
SKNO1_2_636_R1_peak_5983	chr13	91347218	91349560	+	1300	NA	intron (MIR17HG, intron 1 of 3)	NA	569	MIR17HG								
SKNO1_2_636_R1_peak_19992	chr7	100081509	100082269	+	1300	NA	promoter-TSS (ZNF3)	NA	-133	ZNF3								
SKNO1_2_636_R1_peak_17332	chr5	43120516	43121596	+	1299	NA	promoter-TSS (ZNF131)	NA	-550	ZNF131								
SKNO1_2_636_R1_peak_9656	chr17	76385827	76386852	+	1294	NA	intron (SPHK1, intron 3 of 4)	NA	1730	SPHK1								
SKNO1_2_636_R1_peak_13313	chr2	231463595	231464862	+	1293	NA	intron (NCL, intron 1 of 13)	NA	266	NCL								
SKNO1_2_636_R1_peak_18121	chr5	176536392	176537490	+	1290	NA	promoter-TSS (RNF44)	NA	484	RNF44								
SKNO1_2_636_R1_peak_10422	chr19	1863675	1864632	+	1272	NA	promoter-TSS (KLF16)	NA	-588	KLF16								
SKNO1_2_636_R1_peak_1230	chr1	114716659	114717021	+	1272	NA	promoter-TSS (NRAS)	NA	54	NRAS								
SKNO1_2_636_R1_peak_21610	chr9	97982870	97983559	+	1265	NA	promoter-TSS (ANP32B)	NA	7	ANP32B								
SKNO1_2_636_R1_peak_2011	chr1	222465348	222465964	+	1265	NA	TTS (TRNAT19)	NA	651	TRNAT19								
SKNO1_2_636_R1_peak_16771	chr4	56544557	56545039	+	1264	NA	intron (THEGL, intron 1 of 8)	NA	14189	THEGL								
SKNO1_2_636_R1_peak_11602	chr19	48637313	48638322	+	1260	NA	promoter-TSS (DBP)	NA	-222	SEC1P								
SKNO1_2_636_R1_peak_14855	chr22	41543871	41544715	+	1249	NA	exon (POLR3H, exon 1 of 5)	NA	165	POLR3H								
SKNO1_2_636_R1_peak_21867	chr9	128322311	128322948	+	1249	NA	promoter-TSS (TRUB2)	NA	117	COQ4								
SKNO1_2_636_R1_peak_20374	chr8	10839613	10840232	+	1248	NA	promoter-TSS (LOC101929229)	NA	-19	LOC101929229								
SKNO1_2_636_R1_peak_441	chr1	26431904	26432474	+	1248	NA	promoter-TSS (DHDDS)	NA	-194	DHDDS								
SKNO1_2_636_R1_peak_11961	chr2	10447681	10449163	+	1241	NA	promoter-TSS (ODC1)	NA	-304	LOC101929715								
SKNO1_2_636_R1_peak_3563	chr11	60841878	60842318	+	1239	NA	exon (CCDC86, exon 1 of 4)	NA	142	CCDC86								
SKNO1_2_636_R1_peak_9677	chr17	77088472	77088977	+	1239	NA	promoter-TSS (MIR6516)	NA	81	SEC14L1								
SKNO1_2_636_R1_peak_17412	chr5	62403462	62404059	+	1232	NA	exon (DIMT1, exon 1 of 12)	NA	141	DIMT1								
SKNO1_2_636_R1_peak_8596	chr16	89917852	89918317	+	1231	NA	exon (MC1R, exon 1 of 1)	NA	205	MC1R								
SKNO1_2_636_R1_peak_15219	chr3	23945164	23946485	+	1231	NA	promoter-TSS (NR1D2)	NA	564	NR1D2								
SKNO1_2_636_R1_peak_21560	chr9	92293485	92294126	+	1225	NA	promoter-TSS (IARS)	NA	-49	IARS								
SKNO1_2_636_R1_peak_12352	chr2	68157501	68158262	+	1225	NA	promoter-TSS (WDR92)	NA	8	PNO1								
SKNO1_2_636_R1_peak_10566	chr19	6279932	6280433	+	1225	NA	promoter-TSS (MLLT1)	NA	-348	MLLT1								
SKNO1_2_636_R1_peak_13747	chr20	35092602	35093325	+	1217	NA	promoter-TSS (TRPC4AP)	NA	-148	TRPC4AP								
SKNO1_2_636_R1_peak_7973	chr16	29613386	29614220	+	1216	NA	promoter-TSS (SLC7A5P1)	NA	-86	SLC7A5P1								
SKNO1_2_636_R1_peak_18115	chr5	176388162	176388803	+	1208	NA	promoter-TSS (HIGD2A)	NA	280	NOP16								
SKNO1_2_636_R1_peak_3404	chr11	35662660	35663436	+	1202	NA	exon (TRIM44, exon 1 of 5)	NA	356	TRIM44								
SKNO1_2_636_R1_peak_10067	chr18	12947381	12948940	+	1199	NA	exon (SEH1L, exon 1 of 8)	NA	172	SEH1L								
SKNO1_2_636_R1_peak_3644	chr11	63671161	63671961	+	1196	NA	promoter-TSS (ATL3)	NA	51	ATL3								
SKNO1_2_636_R1_peak_10725	chr19	10960491	10961597	+	1185	NA	promoter-TSS (SMARCA4)	NA	45	SMARCA4								
SKNO1_2_636_R1_peak_11055	chr19	18571524	18572256	+	1179	NA	promoter-TSS (UBA52)	NA	8124	UBA52								
SKNO1_2_636_R1_peak_19073	chr6	113971158	113971944	+	1178	NA	promoter-TSS (HDAC2)	NA	55	RP3-399L15.3								
SKNO1_2_636_R1_peak_9520	chr17	73092449	73092910	+	1176	NA	promoter-TSS (SLC39A11)	NA	-563	SLC39A11								
SKNO1_2_636_R1_peak_5948	chr13	75549243	75549829	+	1170	NA	promoter-TSS (UCHL3)	NA	-97	COMMD6								
SKNO1_2_636_R1_peak_12072	chr2	27217241	27217864	+	1168	NA	promoter-TSS (CAD)	NA	46	CAD								
SKNO1_2_636_R1_peak_559	chr1	32013305	32013962	+	1167	NA	promoter-TSS (KHDRBS1)	NA	-61	KHDRBS1								
SKNO1_2_636_R1_peak_12946	chr2	171999684	172000495	+	1162	NA	intron (METAP1D, intron 1 of 9)	NA	192	METAP1D								
SKNO1_2_636_R1_peak_9365	chr17	59565162	59565775	+	1162	NA	promoter-TSS (DHX40)	NA	-57	DHX40								
SKNO1_2_636_R1_peak_11650	chr19	49676946	49678111	+	1162	NA	intron (PRMT1, intron 1 of 9)	NA	261	PRMT1								
SKNO1_2_636_R1_peak_21163	chr8	144290991	144291988	+	1157	NA	promoter-TSS (HSF1)	NA	-51	BOP1								
SKNO1_2_636_R1_peak_2094	chr1	229270671	229271218	+	1157	NA	promoter-TSS (RAB4A)	NA	-118	RAB4A								
SKNO1_2_636_R1_peak_22298	chrX	23667219	23667695	+	1143	NA	promoter-TSS (PRDX4)	NA	-71	PRDX4								
SKNO1_2_636_R1_peak_21388	chr9	37079238	37080323	+	1140	NA	promoter-TSS (LOC100506710)	NA	-116	LOC100506710								
SKNO1_2_636_R1_peak_1553	chr1	156813711	156814613	+	1137	NA	intron (SH2D2A, intron 4 of 8)	NA	-1588	NTRK1								
SKNO1_2_636_R1_peak_16715	chr4	52714822	52715298	+	1136	NA	TTS (DANCR)	NA	1811	SNORA26								
SKNO1_2_636_R1_peak_1505	chr1	156054296	156054940	+	1130	NA	promoter-TSS (LAMTOR2)	NA	-108	LAMTOR2								
SKNO1_2_636_R1_peak_18424	chr6	24721134	24721903	+	1128	NA	promoter-TSS (C6orf62)	NA	-682	C6orf62								
SKNO1_2_636_R1_peak_17784	chr5	134738131	134738661	+	1128	NA	promoter-TSS (CAMLG)	NA	-84	CAMLG								
SKNO1_2_636_R1_peak_3386	chr11	34105409	34106124	+	1125	NA	exon (NAT10, exon 1 of 29)	NA	202	NAT10								
SKNO1_2_636_R1_peak_13769	chr20	35954258	35954825	+	1120	NA	promoter-TSS (SCAND1)	NA	85	SCAND1								
SKNO1_2_636_R1_peak_14282	chr21	39313438	39314384	+	1117	NA	promoter-TSS (BRWD1)	NA	-125	BRWD1								
SKNO1_2_636_R1_peak_16177	chr3	184314320	184315282	+	1114	NA	promoter-TSS (EIF4G1)	NA	306	EIF4G1								
SKNO1_2_636_R1_peak_1421	chr1	154220270	154221053	+	1114	NA	promoter-TSS (UBAP2L)	NA	131	C1orf43								
SKNO1_2_636_R1_peak_444	chr1	26500591	26501247	+	1111	NA	Intergenic	NA	28508	HMGN2								
SKNO1_2_636_R1_peak_4984	chr12	56687916	56688909	+	1111	NA	promoter-TSS (PTGES3)	NA	-4	PTGES3								
SKNO1_2_636_R1_peak_7815	chr16	4271116	4273269	+	1111	NA	intron (TFAP4, intron 1 of 6)	NA	808	TFAP4								
SKNO1_2_636_R1_peak_19086	chr6	117675082	117675614	+	1107	NA	promoter-TSS (LOC101927919)	NA	-64	LOC101927919								
SKNO1_2_636_R1_peak_14318	chr21	42878710	42879744	+	1107	NA	promoter-TSS (WDR4)	NA	356	WDR4								
SKNO1_2_636_R1_peak_6770	chr14	102088097	102088883	+	1102	NA	intron (HSP90AA1, intron 2 of 11)	NA	51259	HSP90AA1								
SKNO1_2_636_R1_peak_8498	chr16	88452275	88453203	+	1100	NA	promoter-TSS (ZFPM1)	NA	-867	ZFPM1								
SKNO1_2_636_R1_peak_21532	chr9	89318094	89318937	+	1098	NA	promoter-TSS (SECISBP2)	NA	-359	SECISBP2								
SKNO1_2_636_R1_peak_6099	chr13	114043507	114043898	+	1096	NA	intron (RASA3, intron 5 of 25)	NA	-69597	LOC102723545								
SKNO1_2_636_R1_peak_10616	chr19	7903335	7904217	+	1094	NA	promoter-TSS (MAP2K7)	NA	-104	MAP2K7								
SKNO1_2_636_R1_peak_11124	chr19	29941797	29943019	+	1094	NA	promoter-TSS (URI1)	NA	169	URI1								
SKNO1_2_636_R1_peak_2223	chr1	246565958	246567113	+	1093	NA	promoter-TSS (TFB2M)	NA	198	CNST								
SKNO1_2_636_R1_peak_8933	chr17	36534777	36535603	+	1089	NA	promoter-TSS (MYO19)	NA	217	PIGW								
SKNO1_2_636_R1_peak_20866	chr8	108443294	108443785	+	1088	NA	promoter-TSS (EMC2)	NA	-85	EMC2								
SKNO1_2_636_R1_peak_12098	chr2	28392521	28393135	+	1083	NA	promoter-TSS (FOSL2)	NA	-84	FOSL2								
SKNO1_2_636_R1_peak_704	chr1	40979223	40980386	+	1083	NA	promoter-TSS (CTPS1)	NA	-1082	CTPS1								
SKNO1_2_636_R1_peak_13458	chr20	326905	327511	+	1082	NA	exon (SOX12, exon 1 of 1)	NA	1637	SOX12								
SKNO1_2_636_R1_peak_4602	chr12	10721952	10722885	+	1080	NA	intron (YBX3, intron 1 of 8)	NA	936	YBX3								
SKNO1_2_636_R1_peak_2205	chr1	244862832	244863571	+	1080	NA	intron (HNRNPU, intron 1 of 13)	NA	1324	HNRNPU								
SKNO1_2_636_R1_peak_17893	chr5	141618725	141619524	+	1077	NA	promoter-TSS (DIAPH1)	NA	-69	DIAPH1								
SKNO1_2_636_R1_peak_3104	chr10	119165201	119165860	+	1074	NA	promoter-TSS (SFXN4)	NA	178	SFXN4								
SKNO1_2_636_R1_peak_2298	chr10	5813231	5814208	+	1069	NA	promoter-TSS (GDI2)	NA	-170	GDI2								
SKNO1_2_636_R1_peak_19383	chr7	726326	726824	+	1068	NA	promoter-TSS (HEATR2)	NA	-126	HEATR2								
SKNO1_2_636_R1_peak_11982	chr2	15591371	15592050	+	1066	NA	promoter-TSS (DDX1)	NA	89	DDX1								
SKNO1_2_636_R1_peak_14807	chr22	39502092	39502587	+	1061	NA	promoter-TSS (MIEF1)	NA	147	MIEF1								
SKNO1_2_636_R1_peak_2311	chr10	6163581	6164144	+	1060	NA	intron (PFKFB3, intron 1 of 14)	NA	-11636	MIR3155B								
SKNO1_2_636_R1_peak_11455	chr19	45078937	45079564	+	1060	NA	promoter-TSS (GEMIN7)	NA	-10	GEMIN7								
SKNO1_2_636_R1_peak_14329	chr21	43659205	43660141	+	1058	NA	promoter-TSS (HSF2BP)	NA	122	RRP1B								
SKNO1_2_636_R1_peak_10761	chr19	12664924	12665530	+	1058	NA	intron (MAN2B1, intron 3 of 23)	NA	1528	MAN2B1								
SKNO1_2_636_R1_peak_19239	chr6	143843079	143843984	+	1054	NA	intron (LTV1, intron 1 of 10)	NA	160	LTV1								
SKNO1_2_636_R1_peak_4248	chr11	119101417	119102309	+	1054	NA	exon (DPAGT1, exon 1 of 9)	NA	212	DPAGT1								
SKNO1_2_636_R1_peak_16839	chr4	75724192	75724764	+	1054	NA	promoter-TSS (USO1)	NA	-33	G3BP2								
SKNO1_2_636_R1_peak_15573	chr3	52891743	52892270	+	1052	NA	intron (TMEM110, intron 1 of 7)	NA	5575	TMEM110-MUSTN1								
SKNO1_2_636_R1_peak_3843	chr11	67276644	67277171	+	1051	NA	intron (ADRBK1, intron 1 of 20)	NA	10473	ADRBK1								
SKNO1_2_636_R1_peak_16010	chr3	149086185	149086930	+	1050	NA	promoter-TSS (HLTF)	NA	-3	HLTF								
SKNO1_2_636_R1_peak_5578	chr12	131928961	131929472	+	1050	NA	promoter-TSS (PUS1)	NA	-52	PUS1								
SKNO1_2_636_R1_peak_4078	chr11	88337518	88338085	+	1049	NA	promoter-TSS (CTSC)	NA	-28	CTSC								
SKNO1_2_636_R1_peak_14681	chr22	32723644	32724023	+	1044	NA	intron (SYN3, intron 5 of 11)	NA	-76983	TIMP3								
SKNO1_2_636_R1_peak_10055	chr18	12407659	12408417	+	1042	NA	intron (SLMO1, intron 1 of 6)	NA	142	SLMO1								
SKNO1_2_636_R1_peak_2996	chr10	102450262	102450894	+	1042	NA	exon (C10orf95, exon 2 of 2)	NA	761	LOC100505761								
SKNO1_2_636_R1_peak_5455	chr12	121888408	121889058	+	1041	NA	promoter-TSS (PSMD9)	NA	2	PSMD9								
SKNO1_2_636_R1_peak_9004	chr17	40100433	40100894	+	1040	NA	promoter-TSS (NR1D1)	NA	62	NR1D1								
SKNO1_2_636_R1_peak_4302	chr11	123741455	123741863	+	1040	NA	promoter-TSS (ZNF202)	NA	-4	ZNF202								
SKNO1_2_636_R1_peak_19381	chr7	604272	604885	+	1039	NA	intron (AC147651.4, intron 1 of 1)	NA	1180	AC147651.4								
SKNO1_2_636_R1_peak_1436	chr1	154558606	154559248	+	1036	NA	promoter-TSS (UBE2Q1)	NA	-283	UBE2Q1								
SKNO1_2_636_R1_peak_12813	chr2	135985019	135985767	+	1036	NA	exon (AC093391.2, exon 1 of 4)	NA	217	AC093391.2								
SKNO1_2_636_R1_peak_152	chr1	6603562	6604293	+	1033	NA	Intergenic	NA	-1058	KLHL21								
SKNO1_2_636_R1_peak_5622	chr12	133037167	133038002	+	1032	NA	promoter-TSS (ZNF84)	NA	190	ZNF84								
SKNO1_2_636_R1_peak_12432	chr2	74198289	74199405	+	1027	NA	intron (MTHFD2, intron 1 of 6)	NA	284	MTHFD2								
SKNO1_2_636_R1_peak_16139	chr3	179450937	179451902	+	1023	NA	promoter-TSS (GNB4)	NA	164	GNB4								
SKNO1_2_636_R1_peak_6678	chr14	92793844	92794444	+	1022	NA	promoter-TSS (GOLGA5)	NA	-87	GOLGA5								
SKNO1_2_636_R1_peak_16595	chr4	17577103	17577671	+	1021	NA	promoter-TSS (LAP3)	NA	83	LAP3								
SKNO1_2_636_R1_peak_17240	chr5	14264537	14264947	+	1021	NA	intron (TRIO, intron 1 of 56)	NA	121022	TRIO								
SKNO1_2_636_R1_peak_12731	chr2	121755310	121755775	+	1019	NA	promoter-TSS (TSN)	NA	-3	TSN								
SKNO1_2_636_R1_peak_9338	chr17	58249655	58250212	+	1018	NA	intron (LPO, intron 6 of 12)	NA	11507	LPO								
SKNO1_2_636_R1_peak_9903	chr17	82097928	82099482	+	1017	NA	promoter-TSS (FASN)	NA	-475	FASN								
SKNO1_2_636_R1_peak_541	chr1	31065284	31066161	+	1014	NA	promoter-TSS (PUM1)	NA	-5	PUM1								
SKNO1_2_636_R1_peak_788	chr1	44799729	44800598	+	1012	NA	promoter-TSS (PLK3)	NA	-201	PLK3								
SKNO1_2_636_R1_peak_5318	chr12	110468135	110469485	+	1010	NA	promoter-TSS (GPN3)	NA	383	FAM216A								
SKNO1_2_636_R1_peak_19575	chr7	22854093	22854704	+	1008	NA	exon (LOC101927841, exon 1 of 4)	NA	195	LOC101927841								
SKNO1_2_636_R1_peak_2662	chr10	70233253	70233912	+	1006	NA	promoter-TSS (PPA1)	NA	-148	PPA1								
SKNO1_2_636_R1_peak_12662	chr2	112254558	112255196	+	999	NA	promoter-TSS (ZC3H8)	NA	-778	ZC3H8								
SKNO1_2_636_R1_peak_16489	chr4	2962985	2963718	+	995	NA	promoter-TSS (GRK4)	NA	155	NOP14								
SKNO1_2_636_R1_peak_8291	chr16	69762064	69762789	+	993	NA	intron (WWP2, intron 1 of 8)	NA	142	WWP2								
SKNO1_2_636_R1_peak_216	chr1	11273103	11273984	+	993	NA	exon (UBIAD1, exon 1 of 3)	NA	379	UBIAD1								
SKNO1_2_636_R1_peak_20437	chr8	22244881	22245532	+	992	NA	promoter-TSS (MIR320A)	NA	100	POLR3D								
SKNO1_2_636_R1_peak_20998	chr8	134832203	134832809	+	991	NA	promoter-TSS (LOC102723694)	NA	-979	LOC102723694								
SKNO1_2_636_R1_peak_16733	chr4	54064321	54064963	+	987	NA	promoter-TSS (CHIC2)	NA	6	CHIC2								
SKNO1_2_636_R1_peak_14545	chr22	23838506	23839615	+	986	NA	promoter-TSS (DERL3)	NA	-48	DERL3								
SKNO1_2_636_R1_peak_13829	chr20	43457731	43458510	+	985	NA	exon (SRSF6, exon 1 of 7)	NA	256	SRSF6								
SKNO1_2_636_R1_peak_20829	chr8	102412641	102413101	+	985	NA	promoter-TSS (UBR5)	NA	-152	UBR5								
SKNO1_2_636_R1_peak_10531	chr19	4815618	4816181	+	983	NA	TTS (TICAM1)	NA	15843	TICAM1								
SKNO1_2_636_R1_peak_5890	chr13	49691099	49691796	+	982	NA	promoter-TSS (EBPL)	NA	40	EBPL								
SKNO1_2_636_R1_peak_22128	chr9	136727984	136728555	+	980	NA	promoter-TSS (SNHG7)	NA	-85	SNHG7								
SKNO1_2_636_R1_peak_8524	chr16	88781431	88782168	+	980	NA	intron (PIEZO1, intron 1 of 50)	NA	2144	PIEZO1								
SKNO1_2_636_R1_peak_11826	chr19	57279698	57280092	+	980	NA	promoter-TSS (ZNF460)	NA	487	ZNF460								
