PeakID (cmd=annotatePeaks.pl M6_1_124_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_124_R1_peak_962	chr17	74738189	74738564	+	611	NA	intron (RAB37, intron 1 of 7)	NA	-10236	SLC9A3R1								
M6_1_124_R1_peak_2156	chr9	77909283	77909807	+	606	NA	intron (GNAQ, intron 2 of 6)	NA	121904	GNAQ								
M6_1_124_R1_peak_1889	chr6	75243466	75243971	+	598	NA	exon (COX7A2, exon 1 of 3)	NA	112	COX7A2								
M6_1_124_R1_peak_1068	chr19	13102641	13103390	+	589	NA	exon (LYL1, exon 1 of 4)	NA	130	LYL1								
M6_1_124_R1_peak_1718	chr5	43042330	43042841	+	587	NA	exon (LOC153684, exon 1 of 2)	NA	451	LOC153684								
M6_1_124_R1_peak_1574	chr3	129440041	129440455	+	580	NA	promoter-TSS (MBD4)	NA	-69	MBD4								
M6_1_124_R1_peak_493	chr12	54304306	54304779	+	565	NA	intron (NFE2, intron 1 of 2)	NA	-8763	NFE2								
M6_1_124_R1_peak_166	chr1	199041479	199041978	+	565	NA	Intergenic	NA	-104299	MIR181A1HG								
M6_1_124_R1_peak_584	chr13	41004854	41005240	+	564	NA	intron (ELF1, intron 1 of 8)	NA	14325	ELF1								
M6_1_124_R1_peak_555	chr12	121425248	121425667	+	562	NA	Intergenic	NA	18895	MIR7107								
M6_1_124_R1_peak_460	chr12	14365474	14365870	+	558	NA	promoter-TSS (ATF7IP)	NA	-19392	ATF7IP								
M6_1_124_R1_peak_1085	chr19	16139691	16140202	+	558	NA	intron (HSH2D, intron 1 of 7)	NA	5918	HSH2D								
M6_1_124_R1_peak_1789	chr5	150764487	150764987	+	555	NA	Intergenic	NA	-5704	DCTN4								
M6_1_124_R1_peak_782	chr16	339818	340144	+	549	NA	intron (AXIN1, intron 2 of 10)	NA	12701	AXIN1								
M6_1_124_R1_peak_1963	chr7	44097405	44097839	+	549	NA	promoter-TSS (LOC102724964)	NA	-806	LOC102724964								
M6_1_124_R1_peak_2180	chr9	120580147	120580561	+	546	NA	promoter-TSS (CDK5RAP2)	NA	-184	CDK5RAP2								
M6_1_124_R1_peak_1137	chr19	43950949	43951366	+	544	NA	promoter-TSS (ZNF221)	NA	-88	ZNF221								
M6_1_124_R1_peak_1940	chr7	5457810	5458283	+	539	NA	Intergenic	NA	-34500	TNRC18								
M6_1_124_R1_peak_306	chr10	132551390	132551828	+	532	NA	intron (INPP5A, intron 1 of 15)	NA	13760	INPP5A								
M6_1_124_R1_peak_2198	chr9	129111081	129111479	+	530	NA	promoter-TSS (CRAT)	NA	-34	PPP2R4								
M6_1_124_R1_peak_621	chr13	109389794	109390185	+	526	NA	Intergenic	NA	-200498	LOC101927627								
M6_1_124_R1_peak_572	chr13	26982882	26983455	+	517	NA	Intergenic	NA	188642	USP12								
M6_1_124_R1_peak_1531	chr3	52185630	52186213	+	517	NA	Intergenic	NA	-12162	ALAS1								
M6_1_124_R1_peak_502	chr12	57520713	57521148	+	517	NA	promoter-TSS (DDIT3)	NA	-413	DDIT3								
M6_1_124_R1_peak_201	chr1	234723683	234724183	+	516	NA	promoter-TSS (LINC01132)	NA	-109	LINC01132								
M6_1_124_R1_peak_1408	chr21	35026745	35027127	+	516	NA	intron (RUNX1, intron 2 of 7)	NA	12490	RUNX1-IT1								
M6_1_124_R1_peak_136	chr1	160540110	160540665	+	515	NA	TTS (CD84)	NA	-17125	SLAMF6								
M6_1_124_R1_peak_1094	chr19	17305342	17305922	+	511	NA	promoter-TSS (MRPL34)	NA	-36	MRPL34								
M6_1_124_R1_peak_2015	chr7	129014755	129015103	+	507	NA	intron (TNPO3, intron 4 of 21)	NA	40215	TNPO3								
M6_1_124_R1_peak_1210	chr2	38643720	38644099	+	507	NA	Intergenic	NA	-22001	GALM								
M6_1_124_R1_peak_299	chr10	119131598	119132224	+	497	NA	intron (FAM45A, intron 8 of 9)	NA	27829	FAM45A								
M6_1_124_R1_peak_2034	chr7	150960286	150960780	+	494	NA	intron (KCNH2, intron 2 of 14)	NA	17781	KCNH2								
M6_1_124_R1_peak_967	chr17	75784956	75785377	+	491	NA	promoter-TSS (MIR4738)	NA	-559	MIR4738								
M6_1_124_R1_peak_581	chr13	32116269	32116618	+	491	NA	intron (FRY, intron 3 of 62)	NA	55557	FRY								
M6_1_124_R1_peak_225	chr10	11178622	11179126	+	488	NA	intron (CELF2, intron 2 of 12)	NA	-73386	CELF2-AS2								
M6_1_124_R1_peak_882	chr17	7483773	7484494	+	475	NA	promoter-TSS (POLR2A)	NA	-246	POLR2A								
M6_1_124_R1_peak_302	chr10	124791627	124792021	+	475	NA	promoter-TSS (METTL10)	NA	46	METTL10								
M6_1_124_R1_peak_1225	chr2	60100017	60100422	+	474	NA	Intergenic	NA	287162	MIR4432								
M6_1_124_R1_peak_2033	chr7	150367878	150368310	+	468	NA	promoter-TSS (REPIN1)	NA	-703	REPIN1								
M6_1_124_R1_peak_99	chr1	112619560	112619895	+	468	NA	promoter-TSS (ST7L)	NA	274	CAPZA1								
M6_1_124_R1_peak_193	chr1	225999308	225999779	+	465	NA	promoter-TSS (SDE2)	NA	-145	SDE2								
M6_1_124_R1_peak_73	chr1	71881563	71882113	+	464	NA	intron (NEGR1, intron 2 of 6)	NA	-44826	NEGR1-IT1								
M6_1_124_R1_peak_2197	chr9	129069362	129069711	+	453	NA	intron (FAM73B, intron 14 of 15)	NA	-11568	DOLPP1								
M6_1_124_R1_peak_38	chr1	30768877	30769309	+	453	NA	Intergenic	NA	-11257	LAPTM5								
M6_1_124_R1_peak_1444	chr22	25567230	25567589	+	453	NA	intron (ADRBK2, intron 1 of 19)	NA	2405	ADRBK2								
M6_1_124_R1_peak_412	chr11	114082706	114083263	+	451	NA	intron (ZBTB16, intron 2 of 6)	NA	23275	ZBTB16								
M6_1_124_R1_peak_1309	chr2	195486964	195487426	+	451	NA	Intergenic	NA	-169988	SLC39A10								
M6_1_124_R1_peak_227	chr10	12265768	12266291	+	450	NA	Intergenic	NA	69853	CDC123								
M6_1_124_R1_peak_1342	chr2	231545383	231545775	+	450	NA	Intergenic	NA	-15108	NMUR1								
M6_1_124_R1_peak_853	chr16	75075248	75075612	+	442	NA	intron (ZNRF1, intron 1 of 4)	NA	41342	LDHD								
M6_1_124_R1_peak_198	chr1	234522507	234523114	+	440	NA	Intergenic	NA	8969	RP5-855F14.1								
M6_1_124_R1_peak_866	chr16	88799893	88800359	+	433	NA	Intergenic	NA	-3652	CDT1								
M6_1_124_R1_peak_1912	chr6	139626693	139627095	+	433	NA	Intergenic	NA	-144179	LOC100132735								
M6_1_124_R1_peak_515	chr12	89733536	89733992	+	430	NA	Intergenic	NA	24809	LINC00936								
M6_1_124_R1_peak_1866	chr6	37183155	37183602	+	428	NA	Intergenic	NA	13232	PIM1								
M6_1_124_R1_peak_141	chr1	167297274	167297594	+	420	NA	intron (POU2F1, intron 1 of 14)	NA	76605	POU2F1								
M6_1_124_R1_peak_1572	chr3	128845711	128846231	+	420	NA	Intergenic	NA	25570	RP11-723O4.2								
M6_1_124_R1_peak_1359	chr20	4154948	4155368	+	416	NA	promoter-TSS (SMOX)	NA	-58	SMOX								
M6_1_124_R1_peak_1539	chr3	60856281	60856628	+	415	NA	intron (FHIT, intron 2 of 8)	NA	395005	FHIT								
M6_1_124_R1_peak_1128	chr19	39390927	39391312	+	408	NA	promoter-TSS (PAF1)	NA	76	PAF1								
M6_1_124_R1_peak_1532	chr3	52410371	52410732	+	406	NA	promoter-TSS (PHF7)	NA	-446	BAP1								
M6_1_124_R1_peak_432	chr11	130314489	130315002	+	406	NA	promoter-TSS (ZBTB44)	NA	18	ZBTB44								
M6_1_124_R1_peak_1421	chr21	41149174	41149613	+	406	NA	Intergenic	NA	-1329	LINC00323								
M6_1_124_R1_peak_664	chr14	69398216	69398837	+	406	NA	promoter-TSS (SLC39A9)	NA	-142	SLC39A9								
M6_1_124_R1_peak_583	chr13	32423624	32424021	+	406	NA	intron (N4BP2L1, intron 1 of 5)	NA	4356	N4BP2L1								
M6_1_124_R1_peak_1048	chr19	8418049	8418481	+	403	NA	promoter-TSS (MARCH2)	NA	4962	MARCH2								
M6_1_124_R1_peak_205	chr1	234963137	234963548	+	400	NA	Intergenic	NA	106476	LOC731656								
M6_1_124_R1_peak_676	chr14	75458960	75459363	+	398	NA	intron (JDP2, intron 2 of 3)	NA	27913	JDP2								
M6_1_124_R1_peak_1869	chr6	39114949	39115307	+	398	NA	promoter-TSS (SAYSD1)	NA	-39	SAYSD1								
M6_1_124_R1_peak_1288	chr2	144703965	144704412	+	393	NA	intron (TEX41, intron 1 of 4)	NA	36221	TEX41								
M6_1_124_R1_peak_1420	chr21	38985612	38985990	+	393	NA	Intergenic	NA	-8027	AF064858.7								
M6_1_124_R1_peak_742	chr15	74389514	74389848	+	393	NA	Intergenic	NA	21746	MIR6881								
M6_1_124_R1_peak_1568	chr3	128523615	128523934	+	391	NA	Intergenic	NA	15939	LOC90246								
M6_1_124_R1_peak_319	chr11	8206384	8206814	+	391	NA	Intergenic	NA	28225	LMO1								
M6_1_124_R1_peak_1316	chr2	200525969	200526383	+	386	NA	promoter-TSS (SGOL2)	NA	-6138	SGOL2								
M6_1_124_R1_peak_589	chr13	46295585	46296149	+	386	NA	TTS (LINC00563)	NA	1977	LINC00563								
M6_1_124_R1_peak_1167	chr19	54365003	54365344	+	385	NA	promoter-TSS (LAIR1)	NA	-59	LAIR1								
M6_1_124_R1_peak_799	chr16	15888362	15888865	+	382	NA	promoter-TSS (FOPNL)	NA	-23	FOPNL								
M6_1_124_R1_peak_923	chr17	47895867	47896352	+	381	NA	promoter-TSS (SP2)	NA	-122	SP2								
M6_1_124_R1_peak_1443	chr22	24728902	24729381	+	380	NA	intron (PIWIL3, intron 14 of 20)	NA	-35360	TOP1P2								
M6_1_124_R1_peak_101	chr1	113812387	113812823	+	377	NA	promoter-TSS (RSBN1)	NA	-157	RSBN1								
M6_1_124_R1_peak_1849	chr6	31620146	31620827	+	376	NA	promoter-TSS (PRRC2A)	NA	-2303	PRRC2A								
M6_1_124_R1_peak_246	chr10	45470600	45470912	+	376	NA	intron (MARCH8, intron 3 of 7)	NA	-17623	LOC102724323								
M6_1_124_R1_peak_1304	chr2	181305682	181306184	+	373	NA	promoter-TSS (MIR4437)	NA	-281	MIR4437								
M6_1_124_R1_peak_247	chr10	46079993	46080389	+	369	NA	Intergenic	NA	-29304	AGAP7								
M6_1_124_R1_peak_633	chr14	23112707	23113102	+	366	NA	Intergenic	NA	6707	CEBPE								
M6_1_124_R1_peak_651	chr14	55271162	55271525	+	366	NA	promoter-TSS (FBXO34)	NA	-61494	FBXO34								
M6_1_124_R1_peak_805	chr16	19523687	19524002	+	366	NA	promoter-TSS (CCP110)	NA	-30	CCP110								
M6_1_124_R1_peak_286	chr10	102854106	102854512	+	366	NA	promoter-TSS (C10orf32-ASMT)	NA	99	C10orf32								
M6_1_124_R1_peak_1049	chr19	10194315	10194922	+	366	NA	promoter-TSS (DNMT1)	NA	461	DNMT1								
M6_1_124_R1_peak_377	chr11	65776172	65776585	+	366	NA	exon (AP5B1, exon 2 of 2)	NA	4213	AP5B1								
M6_1_124_R1_peak_870	chr16	89004114	89004455	+	358	NA	Intergenic	NA	-27128	CBFA2T3								
M6_1_124_R1_peak_592	chr13	48862635	48862957	+	356	NA	Intergenic	NA	155981	CYSLTR2								
M6_1_124_R1_peak_722	chr15	50065304	50065643	+	355	NA	intron (ATP8B4, intron 3 of 27)	NA	-54556	ATP8B4								
M6_1_124_R1_peak_1891	chr6	81941199	81941626	+	353	NA	Intergenic	NA	-2991	LOC102724168								
M6_1_124_R1_peak_159	chr1	186195390	186195834	+	353	NA	Intergenic	NA	-100661	PRG4								
M6_1_124_R1_peak_2075	chr8	74295777	74296120	+	353	NA	intron (JPH1, intron 2 of 5)	NA	25538	JPH1								
M6_1_124_R1_peak_119	chr1	151945701	151946087	+	353	NA	Intergenic	NA	-36009	THEM4								
M6_1_124_R1_peak_1232	chr2	63856046	63856608	+	353	NA	exon (UGP2, exon 3 of 11)	NA	14437	UGP2								
M6_1_124_R1_peak_1637	chr4	2536259	2536699	+	351	NA	Intergenic	NA	-59524	FAM193A								
M6_1_124_R1_peak_309	chr11	2400162	2400647	+	351	NA	promoter-TSS (TSSC4)	NA	-154	TSSC4								
M6_1_124_R1_peak_939	chr17	58281660	58282098	+	350	NA	promoter-TSS (MPO)	NA	-944	MPO								
M6_1_124_R1_peak_1850	chr6	31737958	31738243	+	350	NA	promoter-TSS (CLIC1)	NA	-1536	CLIC1								
M6_1_124_R1_peak_1378	chr20	37712658	37713002	+	348	NA	intron (CTNNBL1, intron 1 of 15)	NA	18875	CTNNBL1								
M6_1_124_R1_peak_1178	chr2	3430152	3430484	+	346	NA	intron (TRAPPC12, intron 5 of 10)	NA	-17931	LOC101927578								
M6_1_124_R1_peak_212	chr1	244835146	244835567	+	343	NA	promoter-TSS (COX20)	NA	19	COX20								
M6_1_124_R1_peak_1264	chr2	112690889	112691175	+	341	NA	Intergenic	NA	14814	LOC102724955								
M6_1_124_R1_peak_942	chr17	58337912	58338288	+	341	NA	intron (BZRAP1-AS1, intron 3 of 4)	NA	898	BZRAP1-AS1								
M6_1_124_R1_peak_1651	chr4	26288254	26288622	+	340	NA	intron (RBPJ, intron 1 of 11)	NA	-31272	RBPJ								
M6_1_124_R1_peak_961	chr17	73061257	73061578	+	340	NA	intron (SLC39A11, intron 3 of 6)	NA	31297	SLC39A11								
M6_1_124_R1_peak_2068	chr8	66667011	66667342	+	340	NA	promoter-TSS (C8orf44)	NA	41	VCPIP1								
M6_1_124_R1_peak_872	chr17	534166	534470	+	340	NA	intron (VPS53, intron 18 of 21)	NA	-88378	FAM101B								
M6_1_124_R1_peak_18	chr1	21768333	21768631	+	339	NA	intron (USP48, intron 1 of 25)	NA	14693	USP48								
M6_1_124_R1_peak_979	chr17	81837730	81838116	+	338	NA	Intergenic	NA	-2873	PPP1R27								
M6_1_124_R1_peak_1434	chr22	17980620	17980964	+	336	NA	TTS (MIR648)	NA	154	MIR648								
M6_1_124_R1_peak_921	chr17	47067348	47067663	+	333	NA	intron (LOC101927060, intron 2 of 2)	NA	32760	LOC101927060								
M6_1_124_R1_peak_1080	chr19	15869238	15869610	+	330	NA	Intergenic	NA	-4524	LOC102724299								
M6_1_124_R1_peak_860	chr16	85733236	85733605	+	328	NA	intron (C16orf74, intron 2 of 3)	NA	2887	C16orf74								
M6_1_124_R1_peak_1144	chr19	46601042	46601474	+	328	NA	promoter-TSS (PPP5D1)	NA	3	CALM3								
M6_1_124_R1_peak_714	chr15	42491011	42491405	+	328	NA	promoter-TSS (ZNF106)	NA	-61	ZNF106								
M6_1_124_R1_peak_851	chr16	74666694	74667178	+	328	NA	promoter-TSS (RFWD3)	NA	-1294	RFWD3								
M6_1_124_R1_peak_1725	chr5	60578340	60578724	+	325	NA	Intergenic	NA	90819	PART1								
M6_1_124_R1_peak_142	chr1	167628028	167628423	+	325	NA	intron (LOC102724466, intron 2 of 2)	NA	-2012	RCSD1								
M6_1_124_R1_peak_1158	chr19	48993462	48994037	+	324	NA	promoter-TSS (GYS1)	NA	-149	RUVBL2								
M6_1_124_R1_peak_1312	chr2	197239532	197239829	+	323	NA	intron (ANKRD44, intron 1 of 27)	NA	-9104	LOC101927567								
M6_1_124_R1_peak_1947	chr7	19677219	19677561	+	323	NA	Intergenic	NA	27997	MIR3146								
M6_1_124_R1_peak_1775	chr5	138464937	138465545	+	321	NA	promoter-TSS (EGR1)	NA	-251	EGR1								
M6_1_124_R1_peak_1391	chr20	56392192	56392592	+	321	NA	promoter-TSS (AURKA)	NA	21	CSTF1								
M6_1_124_R1_peak_879	chr17	6948701	6949015	+	321	NA	Intergenic	NA	-47774	ALOX12								
M6_1_124_R1_peak_730	chr15	64095770	64096141	+	321	NA	promoter-TSS (SNX1)	NA	71	SNX1								
M6_1_124_R1_peak_1029	chr19	3133263	3133739	+	321	NA	Intergenic	NA	-2692	GNA15								
M6_1_124_R1_peak_1607	chr3	172074565	172074948	+	321	NA	intron (FNDC3B, intron 1 of 25)	NA	34202	FNDC3B								
M6_1_124_R1_peak_423	chr11	125514514	125514836	+	321	NA	Intergenic	NA	-19053	FEZ1								
M6_1_124_R1_peak_243	chr10	43327201	43327534	+	321	NA	Intergenic	NA	-44277	FXYD4								
M6_1_124_R1_peak_824	chr16	30052848	30053188	+	321	NA	promoter-TSS (FAM57B)	NA	-172	LOC102723572								
M6_1_124_R1_peak_544	chr12	116559533	116560083	+	318	NA	intron (MAP1LC3B2, intron 1 of 1)	NA	427	MAP1LC3B2								
M6_1_124_R1_peak_1073	chr19	14006243	14006815	+	318	NA	promoter-TSS (RFX1)	NA	-8389	RFX1								
M6_1_124_R1_peak_206	chr1	234981013	234981332	+	315	NA	Intergenic	NA	88646	LOC731656								
M6_1_124_R1_peak_36	chr1	28884937	28885248	+	314	NA	Intergenic	NA	-1999	EPB41								
M6_1_124_R1_peak_1939	chr7	5397214	5397579	+	309	NA	intron (TNRC18, intron 2 of 29)	NA	26150	TNRC18								
M6_1_124_R1_peak_1534	chr3	53249971	53250376	+	309	NA	intron (TKT, intron 1 of 14)	NA	5941	TKT								
M6_1_124_R1_peak_13	chr1	11012236	11012622	+	308	NA	promoter-TSS (TARDBP)	NA	-193	TARDBP								
M6_1_124_R1_peak_2243	chrX	65998036	65998446	+	307	NA	Intergenic	NA	-20654	MIR223								
M6_1_124_R1_peak_1418	chr21	38476357	38476855	+	307	NA	intron (ERG, intron 3 of 10)	NA	-143266	LOC102724678								
M6_1_124_R1_peak_658	chr14	64540227	64540777	+	306	NA	promoter-TSS (HSPA2)	NA	34	HSPA2								
M6_1_124_R1_peak_1840	chr6	28136669	28136985	+	306	NA	exon (ZSCAN16-AS1, exon 1 of 2)	NA	489	ZSCAN16-AS1								
M6_1_124_R1_peak_134	chr1	160046466	160046845	+	304	NA	intron (KCNJ10, intron 1 of 1)	NA	-14662	PIGM								
M6_1_124_R1_peak_1333	chr2	219279198	219279779	+	304	NA	exon (DNAJB2, exon 1 of 9)	NA	170	DNAJB2								
M6_1_124_R1_peak_685	chr14	92549898	92550234	+	302	NA	intron (RIN3, intron 1 of 9)	NA	36285	RIN3								
M6_1_124_R1_peak_999	chr18	45670304	45670676	+	302	NA	intron (SLC14A2, intron 17 of 20)	NA	-53633	SLC14A1								
M6_1_124_R1_peak_1498	chr3	15805733	15806083	+	302	NA	intron (ANKRD28, intron 1 of 27)	NA	-7957	ANKRD28								
M6_1_124_R1_peak_394	chr11	73204713	73205010	+	302	NA	intron (LOC102724472, intron 2 of 2)	NA	4381	LOC102724472								
M6_1_124_R1_peak_215	chr1	247548173	247548470	+	299	NA	promoter-TSS (GCSAML)	NA	-14482	OR2C3								
M6_1_124_R1_peak_528	chr12	104687759	104688100	+	299	NA	intron (CHST11, intron 2 of 2)	NA	96235	MIR3922								
M6_1_124_R1_peak_1614	chr3	180912762	180913053	+	296	NA	intron (FXR1, intron 1 of 15)	NA	461	FXR1								
M6_1_124_R1_peak_2203	chr9	129879157	129879466	+	296	NA	intron (USP20, intron 23 of 25)	NA	9661	MIR6855								
M6_1_124_R1_peak_938	chr17	58185403	58185684	+	295	NA	Intergenic	NA	-7304	EPX								
M6_1_124_R1_peak_1494	chr3	10137215	10137504	+	293	NA	Intergenic	NA	-4276	VHL								
M6_1_124_R1_peak_547	chr12	118330375	118330683	+	293	NA	intron (TAOK3, intron 1 of 20)	NA	42416	TAOK3								
M6_1_124_R1_peak_1181	chr2	8543668	8544064	+	293	NA	Intergenic	NA	39926	AC011747.4								
M6_1_124_R1_peak_382	chr11	66616311	66616622	+	293	NA	promoter-TSS (RBM14)	NA	-116	RBM14-RBM4								
M6_1_124_R1_peak_376	chr11	65766629	65767036	+	292	NA	Intergenic	NA	13759	AP5B1								
M6_1_124_R1_peak_1934	chr7	1882746	1883405	+	291	NA	intron (MAD1L1, intron 17 of 17)	NA	-38866	MIR4655								
M6_1_124_R1_peak_917	chr17	42319981	42320365	+	290	NA	intron (STAT3, intron 21 of 23)	NA	32626	STAT5A								
M6_1_124_R1_peak_1278	chr2	128710867	128711177	+	285	NA	Intergenic	NA	-153578	LOC101927881								
M6_1_124_R1_peak_1606	chr3	171975503	171975873	+	285	NA	Intergenic	NA	-64866	FNDC3B								
M6_1_124_R1_peak_1162	chr19	51546667	51547050	+	285	NA	Intergenic	NA	-15002	SIGLEC6								
M6_1_124_R1_peak_2010	chr7	113142245	113142719	+	285	NA	Intergenic	NA	-23900	LINC00998								
M6_1_124_R1_peak_347	chr11	47359548	47359910	+	284	NA	intron (SPI1, intron 3 of 4)	NA	-7027	MYBPC3								
M6_1_124_R1_peak_384	chr11	67268225	67268588	+	284	NA	intron (ADRBK1, intron 1 of 20)	NA	1972	ADRBK1								
M6_1_124_R1_peak_1358	chr20	4082500	4083088	+	279	NA	Intergenic	NA	-37148	LOC101929155								
M6_1_124_R1_peak_350	chr11	57383380	57383671	+	279	NA	Intergenic	NA	-2375	PRG3								
M6_1_124_R1_peak_971	chr17	76737291	76737737	+	279	NA	promoter-TSS (MFSD11)	NA	13	MFSD11								
M6_1_124_R1_peak_696	chr14	102592277	102592669	+	278	NA	promoter-TSS (RCOR1)	NA	-186	RCOR1								
M6_1_124_R1_peak_1975	chr7	73578486	73578791	+	278	NA	promoter-TSS (TBL2)	NA	-321	TBL2								
M6_1_124_R1_peak_895	chr17	28041393	28041779	+	278	NA	promoter-TSS (NLK)	NA	-1076	NLK								
M6_1_124_R1_peak_2249	chrX	78650846	78651145	+	278	NA	Intergenic	NA	8333	ZCCHC5								
M6_1_124_R1_peak_2260	chrX	148310452	148310787	+	278	NA	Intergenic	NA	-190000	AFF2								
M6_1_124_R1_peak_1315	chr2	199910993	199911510	+	278	NA	promoter-TSS (LOC101927687)	NA	-5	C2orf69								
M6_1_124_R1_peak_245	chr10	43418012	43418366	+	277	NA	Intergenic	NA	-9305	HNRNPF								
M6_1_124_R1_peak_1917	chr6	146770985	146771387	+	277	NA	intron (ADGB, intron 29 of 35)	NA	32638	KATNBL1P6								
M6_1_124_R1_peak_1332	chr2	219245294	219245582	+	277	NA	promoter-TSS (GLB1L)	NA	-9	GLB1L								
M6_1_124_R1_peak_453	chr12	11171416	11171750	+	277	NA	promoter-TSS (PRH1-PRR4)	NA	42	PRH1-PRR4								
M6_1_124_R1_peak_150	chr1	180154338	180154633	+	277	NA	promoter-TSS (QSOX1)	NA	-348	QSOX1								
M6_1_124_R1_peak_2246	chrX	73944038	73944377	+	277	NA	promoter-TSS (JPX)	NA	-117	JPX								
M6_1_124_R1_peak_1036	chr19	5790579	5790996	+	277	NA	intron (DUS3L, intron 1 of 12)	NA	451	DUS3L								
M6_1_124_R1_peak_1283	chr2	136233368	136233633	+	276	NA	Intergenic	NA	-115345	CXCR4								
M6_1_124_R1_peak_318	chr11	6200971	6201290	+	276	NA	TTS (OR52W1)	NA	1906	OR52W1								
M6_1_124_R1_peak_316	chr11	4441527	4441872	+	275	NA	Intergenic	NA	-7596	OR52K2								
M6_1_124_R1_peak_1257	chr2	101475051	101475423	+	273	NA	promoter-TSS (RFX8)	NA	-534	RFX8								
M6_1_124_R1_peak_1441	chr22	23216535	23216909	+	273	NA	intron (BCR, intron 1 of 22)	NA	36357	BCR								
M6_1_124_R1_peak_1223	chr2	55693797	55694107	+	271	NA	promoter-TSS (PNPT1)	NA	-42	PNPT1								
