GENE,MV411-DMSO_coculture_12h,MV411-VHL_coculture_12h,MV411-MYB-dTAG-DMSO_coculture_12h,MV411-MYB-dTAG-VHL_coculture_12h
FAS,7.6,22.4,94.75,114.0
SHROOM2,0.4,4.8,1.0,12.6
AQP1,14.4,25.4,16.25,16.6
AQP3,146.6,155.0,313.75,198.2
AQP6,0.4,2.2,2.0,2.8
AR,15.6,16.4,10.5,42.8
ABCC6,3.8,6.2,3.25,5.6
ARAF,215.0,225.8,208.75,234.2
ARCN1,5284.6,6699.4,6607.25,5917.8
TRIM23,173.0,175.2,191.5,210.4
ARF1,6177.6,6699.4,6482.0,5782.0
ARF3,7075.4,8880.6,7384.0,7518.0
ARF4,4423.6,4600.4,4628.5,4456.8
ARL4D,11.0,9.4,1.25,1.4
ARF5,467.0,458.6,485.0,600.6
ARF6,6199.4,6535.2,6521.25,7696.0
ARG2,1276.4,1294.0,1161.75,1061.8
RHOA,24276.4,26748.8,26165.75,26616.8
RHOB,109.2,121.0,21.5,68.0
RHOC,89.8,103.2,80.75,172.4
RHOG,880.6,917.8,799.0,921.8
ARHGAP1,461.0,548.0,641.75,456.0
ARHGAP4,137.4,126.8,139.25,145.4
ARHGAP6,6.6,9.2,2.5,3.6
ARHGDIA,3020.6,3516.4,3714.0,2826.6
ARHGDIB,30144.0,33688.0,32067.5,26730.0
RHOH,25.0,36.4,72.25,81.8
ARL1,2330.0,2428.6,2576.25,2122.0
PHOX2A,2.6,3.4,2.25,1.2
ARL2,273.0,289.0,249.5,204.4
ARL3,249.8,240.2,196.5,297.0
ARNT,1077.0,1277.0,1219.75,1320.0
ARNTL,164.8,152.6,133.5,182.2
ARRB1,1960.8,2442.2,2784.0,1982.6
ARRB2,1122.4,1230.8,935.0,1579.0
ARSA,76.6,102.6,110.5,144.4
ARSB,1399.0,1729.0,1748.5,1751.2
STS,349.0,459.8,1093.0,598.6
ARSD,467.8,538.4,505.75,600.8
ARVCF,10.4,12.0,7.0,7.0
ASAH1,2230.2,2374.2,2920.75,2482.6
ASGR1,1.8,2.0,2.0,2.2
ASGR2,36.2,41.0,33.0,84.8
ASL,17.8,18.4,13.25,17.8
GET3,244.8,268.0,246.75,249.0
ASNS,329.8,336.0,287.25,260.6
ASPH,3024.6,3148.2,2151.5,2308.0
ASS1,1578.6,1651.0,1288.5,1163.8
ZFHX3,76.4,79.6,60.0,84.0
ATF1,1483.6,1359.0,1382.0,1207.4
ATF3,117.4,143.2,109.75,173.0
ATF4,1379.6,1306.4,1121.75,1016.0
ATIC,564.8,536.4,622.25,395.2
ATM,2155.4,2742.6,2777.25,3057.6
RERE,151.2,199.6,223.5,284.2
ATOX1,608.4,539.8,506.75,517.2
ATP1A1,961.6,958.4,843.5,810.0
ATP1A2,1.0,7.4,8.25,40.2
ATP1A3,57.2,74.2,94.0,28.8
ATP1B1,230.4,211.6,153.75,156.6
ATP1B3,5354.4,5333.0,5687.0,4929.0
FXYD2,0.0,1.2,1.25,5.0
ATP2A1,8.4,11.8,9.75,16.0
ATP2A2,2000.6,2347.6,2284.0,2098.6
ATP2A3,371.0,398.6,450.5,448.6
ATP2B1,1512.6,1592.8,1433.5,1298.0
ATP2B2,6.2,8.4,5.25,9.0
ATP2B3,36.6,32.6,50.25,24.6
ATP2B4,1977.6,2428.4,2989.0,1557.6
ATP5F1A,4110.6,3354.6,3456.0,3387.6
ATP5F1B,3705.8,3387.2,3247.25,3105.4
ATP5F1C,1168.8,1043.4,1155.0,1044.8
ATP5F1D,855.8,717.4,569.0,524.2
ATP5F1E,3109.6,2831.8,3026.5,3336.8
ATP5PB,6284.4,5563.0,5285.0,5471.2
ATP5MC1,402.6,348.6,362.75,303.6
ATP5MC2,3351.4,3242.2,3005.5,3142.2
ATP5MC3,6551.8,6329.4,6148.25,5688.6
ATP5ME,2535.6,2353.4,2213.0,2133.4
ATP5PF,1541.0,1283.0,1382.0,1368.6
ATP6V1A,3324.6,3678.2,3422.75,4184.2
ATP6V1B2,7704.6,8001.0,8104.75,8061.8
ATP6V0C,709.8,776.0,709.75,720.8
ATP6V1C1,4013.2,4667.4,5151.25,4660.2
ATP6V1E1,1985.6,1939.8,1955.25,2049.8
ATP6V0B,717.6,678.0,638.75,664.4
ATP6V1G2,71.2,92.2,82.75,110.8
ATP6V0A1,158.4,194.4,121.5,334.4
ATP6AP1,410.2,437.2,323.0,433.8
ATP7A,141.2,176.8,192.75,264.6
ATP5PO,1978.6,1821.2,1641.25,1842.4
ATP7B,29.0,30.0,42.0,42.8
ATR,99.8,81.4,94.0,74.4
ATRX,2497.2,2534.6,2613.0,2770.6
AUH,265.8,244.6,238.5,205.4
AUP1,4014.2,4547.4,4113.0,3787.2
AVPR2,1.0,4.0,4.0,4.2
AXL,91.0,101.2,23.25,126.0
AZU1,336.2,310.4,432.5,157.4
B2M,36310.2,34766.0,31085.0,39585.8
BAAT,1.0,2.6,1.75,2.2
BACH1,1259.0,1326.0,1232.5,1185.2
BAD,167.0,168.6,195.5,221.6
BAG1,1288.4,1208.6,1171.75,875.2
ADGRB1,3.0,3.2,2.75,3.4
BAK1,357.2,382.4,309.0,323.6
NKX3-2,27.6,34.8,21.0,23.8
BARD1,1446.4,1904.0,2238.75,1998.4
BAX,440.2,474.8,382.0,394.4
BBS1,94.0,98.4,76.5,74.6
BBS2,234.8,228.6,143.25,155.8
BBS4,322.4,365.4,302.75,326.4
BCAT1,21280.4,23747.6,21877.0,16258.0
BCAT2,366.6,372.2,282.75,268.2
BCKDHA,234.8,260.8,205.0,202.8
BCKDHB,434.4,459.6,535.25,438.4
CCND1,6.6,8.8,6.0,7.8
BCL2,4156.6,4533.2,5763.25,2328.4
BCL2A1,13.8,17.6,6.5,42.4
BCL2L1,398.8,498.4,640.5,576.0
BCL2L2,626.2,730.0,652.25,634.4
BCL3,12.6,16.8,15.0,42.2
BCL6,5.0,6.4,4.5,10.8
BCL7A,694.4,907.8,1143.5,1083.8
BCL9,11.0,20.2,31.5,22.0
OPN1SW,60.6,69.4,65.75,57.0
BCR,38.6,40.0,38.25,19.2
BCS1L,48.0,43.6,49.5,32.6
BDH1,575.2,562.4,347.25,312.4
BDKRB2,0.8,0.8,0.25,2.4
BDNF,2.6,4.2,4.5,7.2
CFB,0.4,1.4,1.5,1.0
BFSP1,9.8,10.6,8.5,9.2
BGLAP,15.0,16.0,12.25,21.4
CEACAM1,0.6,0.8,3.0,3.8
BICD1,17.0,29.6,24.0,26.2
BID,2354.6,2567.6,2863.5,2125.0
BIK,102.8,107.4,129.75,61.4
PRDM1,20.0,59.4,41.5,258.8
BLM,243.2,223.8,256.5,209.6
BLMH,1392.2,1329.8,1157.5,981.8
CXCR5,0.6,1.4,1.75,3.4
BLVRB,205.8,197.6,144.75,252.8
BMI1,2029.4,2125.6,2448.25,2162.4
BMP1,119.0,152.6,202.5,180.6
BMP2,1.6,3.6,2.5,1.4
BMP6,2044.0,2035.8,1923.25,1286.0
BMP8B,80.0,115.6,104.5,84.0
BMPR1A,440.0,467.8,542.5,547.4
BMPR1B,0.4,1.0,1.0,2.4
BMPR2,385.8,501.4,557.25,732.2
POLR3D,358.8,400.0,357.25,238.8
BNIP1,183.0,165.6,108.0,135.0
BNIP2,4893.2,5044.6,5788.75,4733.4
BNIP3,37.4,26.2,4.5,9.6
BNIP3L,6493.2,7057.4,6111.75,10610.6
BOK,2.4,2.8,1.0,1.8
DST,178.0,193.4,112.25,158.4
FOXL2,1.6,0.2,0.25,0.6
BPGM,410.0,488.2,519.75,481.8
BPHL,187.6,201.8,187.0,157.6
BRCA1,8049.4,10791.0,10553.75,9727.0
BRAF,20.2,22.2,19.5,22.0
BRCA2,932.6,1059.6,1113.75,1094.0
ZFP36L1,49.4,106.4,118.5,395.6
ZFP36L2,2655.8,2640.6,2817.0,2146.8
BSG,4342.4,4608.6,4575.5,4222.0
BST1,43.8,33.2,11.75,16.6
BST2,1594.8,1551.8,1821.75,1754.8
BTD,109.0,129.6,122.5,143.2
KLF9,646.8,751.8,551.25,709.4
KLF5,46.4,40.8,38.75,33.4
BTF3,12390.8,11481.6,11374.25,10179.4
BTG1,1133.2,1084.8,1278.25,926.4
BTK,2157.8,2086.6,2037.75,1736.8
BUB1,602.4,620.4,642.0,608.8
BUB1B,1206.6,1180.4,1223.25,1361.8
BYSL,281.2,267.2,274.25,216.2
TSPO,587.0,562.0,604.0,494.0
C1QBP,5672.6,5404.8,4985.75,3958.0
C1R,2.8,2.6,1.5,4.2
C1S,6.4,8.0,1.25,4.2
C2,1.2,0.8,1.5,2.2
C3,7.6,11.2,2.75,7.2
C3AR1,116.6,108.8,21.25,69.8
CAPN5,9.6,8.2,14.75,27.2
C5,283.6,237.6,141.25,142.0
C5AR1,6.8,6.2,2.5,1.6
OSGIN2,1561.0,1524.4,1531.75,1294.6
VPS51,36.0,40.4,35.75,39.2
MRPL49,875.0,995.0,877.0,809.8
ZNHIT2,5.2,7.0,7.25,3.8
MYRF,15.6,16.6,20.25,14.6
TMEM258,1094.8,967.0,885.5,954.4
DAGLA,16.6,19.8,16.0,9.8
GAS8-AS1,0.6,2.0,1.75,3.4
FMNL1,100.6,103.2,134.25,98.4
LDLRAD4,394.2,455.8,278.25,300.2
PTTG1IP,3545.8,4086.8,3728.75,3936.8
CFAP410,87.2,96.8,98.0,114.8
TMEM50B,2357.6,2617.6,2637.25,2832.0
MPPED1,7.8,12.0,14.0,10.2
CA6,0.0,0.0,8.5,5.2
CA7,5.6,7.0,6.25,4.8
CA11,125.2,150.8,127.25,172.6
CACNA1A,7.8,8.8,6.25,12.2
CACNA1D,5.4,2.8,4.5,2.8
CACNA1E,9.4,10.4,5.5,4.6
CACNB1,1.4,3.0,2.0,5.8
CACNB2,89.2,120.0,127.0,89.0
CACNB3,66.6,80.6,92.75,80.8
CACNB4,40.6,38.4,20.25,39.2
SLC25A20,352.8,375.4,389.0,380.0
CAD,94.8,87.0,107.75,57.8
CALB1,0.8,3.4,4.25,5.0
CALM1,11471.8,12482.8,11811.0,14835.4
CALM2,15373.4,15062.4,14919.5,15929.2
CALM3,5190.8,5974.0,5950.5,5177.2
CALR,10511.2,11144.8,9780.0,7070.2
CALU,7048.4,8698.2,8118.75,7207.2
CAMK2A,1.6,2.6,1.75,1.8
CAMK2B,15.0,17.6,15.0,36.6
CAMK2D,535.4,662.2,596.75,1044.2
CAMK2G,660.6,657.2,573.75,553.2
CAMLG,823.6,739.2,758.75,766.2
CANX,38741.6,42889.6,41049.75,31071.2
CAPG,190.2,217.8,314.5,322.6
CAPN1,393.0,434.4,406.5,448.2
CAPN2,2078.8,2153.8,1035.0,2027.4
CAPN3,76.6,79.8,77.75,60.2
CAPNS1,1940.2,2164.2,2181.75,2239.2
CAPN6,2.0,25.6,192.75,122.6
CAPS,33.8,37.0,35.25,50.6
CAPZA1,24584.4,25555.4,24930.0,23293.2
CAPZA2,4597.8,4166.2,4226.5,4737.6
CAST,706.4,854.0,1061.25,1058.2
CAPZB,3134.2,3522.8,3341.0,3738.2
CARS1,3097.2,3595.0,3629.75,2844.4
CASP1,505.2,520.6,444.75,640.6
CASP2,1834.6,2360.0,2885.25,2049.8
CASP3,2777.0,3081.2,3994.75,3533.0
CASP4,320.6,338.6,348.0,360.6
CASP6,776.4,925.6,1064.5,960.2
CASP7,664.2,775.0,824.75,1026.4
CASP8,715.0,818.2,736.0,966.6
CASP9,236.8,277.6,292.0,255.2
CASP10,563.4,757.4,693.5,848.2
CASQ1,2.8,5.4,5.25,6.8
CAT,5408.0,4840.6,6676.5,3051.6
CAV1,5.0,5.4,54.75,6.4
RUNX2,1334.8,2008.0,2591.25,3951.4
RUNX1,3263.6,4135.6,4319.25,4484.6
CBFA2T3,302.6,328.2,371.0,353.6
RUNX3,778.0,869.2,1260.25,1348.0
CBFB,6067.4,6524.2,7113.0,6436.8
CBL,1369.6,1962.0,1886.75,1692.4
CBLB,201.2,308.0,340.0,385.4
CBLN1,7.6,5.2,0.0,0.4
SERPINH1,602.8,650.4,596.25,633.0
CBR1,173.0,255.8,1055.5,820.6
CBR3,3.0,1.8,1.5,2.8
CBS,36.0,32.4,18.0,15.0
KYAT1,257.4,284.0,305.25,234.0
KRIT1,642.0,670.0,640.5,628.0
CCNA2,6068.6,5683.2,5408.75,5871.2
CCNB1,1676.8,1615.8,1315.5,1665.2
CCNC,4218.2,4048.6,3824.5,3533.2
CCND2,2159.8,2419.2,2861.75,1909.6
CCND3,1334.6,1496.6,1908.25,2779.0
CCNE1,192.0,191.4,86.75,93.4
CCNF,480.4,536.0,531.0,633.0
CCNG1,9200.2,9576.0,8454.75,7943.8
CCNG2,379.6,420.4,470.75,544.4
CCNH,278.2,248.0,272.0,195.6
CCNT1,3281.8,3906.8,3808.5,3256.2
CCNT2,1232.6,1337.8,1434.25,1309.2
CCT6A,11029.4,10264.8,10705.25,8545.2
CD1A,0.2,1.0,0.75,10.6
CD1D,106.2,106.0,28.0,86.6
CD1E,0.6,0.2,1.0,3.8
CD4,1745.2,2215.8,1731.75,1899.4
CD5,2.0,3.0,2.25,2.6
CD6,0.6,4.2,1.0,16.2
CD9,6.2,6.4,2.75,5.6
CD19,7.6,4.0,1.5,5.6
MS4A3,4916.2,4203.8,2755.0,785.4
CD22,2.6,1.8,0.5,2.0
CD27,6.2,9.0,1.0,3.4
CD28,8.0,63.6,25.0,432.8
CD80,3.6,4.4,2.5,5.4
CD86,161.0,247.6,74.5,592.0
TNFRSF8,4.0,5.6,5.0,13.2
TNFSF8,1.2,3.6,7.0,15.8
CD33,1042.6,1073.4,1094.25,1082.6
SIGLEC6,65.2,152.0,92.25,418.8
CD34,1.0,1.8,0.25,1.0
CD36,825.0,1775.0,458.25,5858.0
SCARB1,425.2,424.2,398.25,316.0
SCARB2,510.2,714.4,917.25,1066.4
CD37,287.8,302.2,295.25,368.2
CD38,6.0,7.2,5.75,2.0
ENTPD1,2201.4,2658.8,2552.25,1787.8
ENTPD6,292.4,317.2,264.25,260.6
ENTPD5,396.0,483.0,547.75,419.4
CD40,2.0,3.8,1.25,6.2
CD44,3483.8,3875.0,6880.5,4506.8
CD47,3591.0,4178.6,4026.5,4392.4
CD48,6.0,12.4,3.25,17.4
CD53,3645.0,4285.6,5041.5,6639.2
CD58,1095.6,1256.2,1157.75,1263.0
CD59,2.6,32.4,234.25,197.4
CD63,949.4,982.6,888.5,1101.0
CD68,588.0,628.6,455.0,730.4
CD70,34.4,30.6,5.25,9.8
CD72,77.0,117.2,238.5,310.4
CD74,2017.2,2429.2,2292.25,2606.2
CD79A,9.6,11.0,22.0,28.0
CD79B,11.8,9.4,5.5,5.8
CD81,962.0,926.6,816.5,658.8
ADGRE5,277.0,296.2,292.75,407.2
CD151,681.0,679.6,554.5,439.0
CDA,3.2,4.0,4.5,1.8
CDK1,3985.4,3500.2,3554.5,4461.4
CDK11B,10.2,9.6,8.75,11.8
LRBA,436.8,471.6,494.0,542.8
CDC5L,1815.8,2047.8,2236.5,2292.6
SEPTIN7,5818.2,5773.6,6300.25,6555.0
CDC6,1035.2,1121.6,1191.5,1143.0
CDC20,89.0,103.0,90.25,101.0
CDC25A,1463.6,1429.4,1392.25,947.4
CDC25B,485.8,478.0,355.5,493.2
CDC25C,193.8,201.0,191.5,273.6
CDC27,4194.4,4786.6,4850.0,4738.2
CDC34,283.8,277.2,260.25,230.0
CDC42,13752.8,14490.6,14040.0,13822.8
CDH4,0.4,1.4,1.75,1.6
CDH13,3.4,4.0,3.5,3.2
CDK2,2211.0,2434.6,2986.5,2813.2
CDK3,60.8,60.6,45.0,61.0
CDK4,2498.6,2628.6,2753.25,2366.4
CDK5,61.8,67.6,51.25,60.0
CDK6,10617.4,13877.0,20941.75,11505.6
CDK7,204.6,172.6,187.25,161.0
CDK8,1003.0,885.8,943.0,724.8
CDK9,335.8,337.2,377.0,334.2
CDKN1A,67.0,90.8,38.25,85.0
CDKN1B,941.6,972.4,978.5,1234.8
CDKN1C,27.6,29.8,14.0,48.2
CDKN2A,2243.2,2511.4,2385.0,2539.6
CDKN2B,46.0,52.4,41.0,64.4
CDKN2C,454.0,534.4,851.25,1204.6
CDKN2D,201.2,218.0,211.5,333.2
CDKN3,555.6,465.6,496.5,606.6
CDO1,2.0,2.6,2.5,1.0
CDR2,268.8,323.2,357.25,319.4
CD52,69.2,95.2,88.75,247.2
CDX1,3.4,2.4,1.75,5.2
CDX2,9.4,8.8,14.75,13.4
CEBPA,2889.0,3150.0,2585.5,3102.8
CEBPB,175.8,177.6,106.25,147.0
CEBPD,371.6,325.2,247.75,182.2
CEBPE,4.4,5.2,4.0,2.0
CEBPG,6252.2,6867.6,6190.75,5364.8
CENPA,1446.0,1495.6,1400.5,1579.8
CENPB,550.4,554.0,482.0,475.4
CENPC,37.8,33.2,42.25,38.2
CENPE,282.4,297.2,283.0,422.0
CENPF,1192.4,1278.8,1505.0,1732.6
CES1,6.8,10.8,7.0,22.2
CETN2,958.4,992.8,929.25,788.6
CETN3,461.8,403.8,430.5,408.2
CETP,1.4,1.2,0.75,0.4
CFL1,7608.4,7847.0,7406.0,7674.2
CFL2,534.8,605.8,569.25,549.4
CTSC,4134.0,4424.4,4679.25,4659.8
CEACAM4,25.0,33.0,13.25,67.0
CHAD,4.6,4.6,3.25,5.0
RCBTB2,867.2,1042.6,843.75,2031.8
RCC1,3919.6,3938.0,3323.75,2600.0
CHD1,1060.4,1054.8,1169.25,954.8
CHD2,822.6,1116.2,1004.75,1331.8
CHD3,741.6,779.0,672.25,756.6
CHD4,697.0,683.0,741.75,826.4
AKR1C4,2.0,2.4,3.25,1.2
CHEK1,2834.2,2900.6,3305.5,2901.8
FOXN3,3277.8,3925.8,4654.75,3607.0
CHGB,12.2,13.2,7.75,12.4
CHI3L1,636.6,1435.8,963.0,4659.6
CHI3L2,1.6,2.2,0.0,5.4
CHIT1,0.6,2.2,1.25,4.0
CHKA,643.8,706.4,593.75,580.0
CHKB,102.0,128.0,131.25,165.8
CHM,864.0,1030.4,964.5,958.4
CHML,8045.2,10178.2,7649.75,13732.2
CHN1,16.4,18.0,17.5,22.0
LYST,5607.6,5811.4,5948.75,3398.4
CHRM4,1.6,1.2,0.0,0.6
CHRM5,1.8,2.2,4.0,3.2
CHRNA2,2.0,1.4,0.0,1.2
CHRNA3,127.2,128.2,155.75,92.0
CHRNA5,203.4,201.0,272.75,150.6
CHRNA7,2.2,2.2,0.75,2.0
CHRNB1,235.2,267.2,328.75,297.6
CHRNB2,2.6,1.2,2.0,3.2
CHRNE,57.8,61.6,63.5,56.6
CHRNG,11.6,8.0,7.5,15.8
CHUK,1537.2,1462.0,1560.75,1500.2
CKB,10.0,9.2,7.75,10.4
CIRBP,2918.2,2965.4,2535.0,2952.4
CISH,161.6,226.2,164.5,302.6
TBCB,813.2,829.8,856.0,929.2
CKM,1.8,6.2,0.75,0.2
ERCC8,275.2,309.0,299.0,253.6
CKS1B,913.4,817.4,694.5,715.8
CKS2,2039.6,1661.0,1516.0,1387.8
AP2M1,870.0,955.8,871.0,946.2
AP1S1,1582.4,1583.4,1904.5,1598.0
AP2S1,1383.2,1376.2,1090.25,1349.2
AP3S1,2909.8,2698.8,2306.75,2110.2
CLCN2,22.4,21.0,21.0,14.6
CLCN3,1304.0,1481.4,1327.25,1333.0
CLCN4,207.0,281.4,156.5,400.6
CLCN5,436.6,698.2,660.25,939.4
CLCN6,284.8,344.4,225.75,236.2
CLCN7,181.4,201.6,178.0,162.4
CLU,175.8,202.4,128.25,169.4
CLIC1,3458.8,3186.6,3184.25,2575.4
CLIC2,46.2,53.4,44.5,60.4
CLK1,1653.2,1982.0,1845.75,2361.8
CLK2,253.6,277.0,314.75,317.0
1197,476.2,567.6,570.0,540.2
CLK3,141.2,144.4,153.0,162.2
TPP1,2386.8,2985.0,2816.5,2680.0
CLN3,77.0,73.8,62.25,71.8
CLN5,722.2,770.4,669.25,798.8
