GENE,MV411-DMSO_coculture_12h,MV411-VHL_coculture_12h,MV411-MYB-dTAG-DMSO_coculture_12h,MV411-MYB-dTAG-VHL_coculture_12h
BMPR1A,22.8,20.8,29.5,39.4
BMPR1B,0.0,0.0,0.0,0.0
BMPR2,9.0,11.6,12.0,19.4
POLR3D,16.2,16.8,20.0,13.6
BNIP1,17.0,18.8,9.5,16.0
BNIP2,152.0,178.0,231.75,237.8
BNIP3,0.4,0.0,0.0,0.0
BNIP3L,45.4,61.2,52.25,106.6
BOK,0.0,0.0,0.0,0.0
DST,7.4,9.4,7.5,10.2
FOXL2,0.0,0.0,0.0,0.0
BPGM,8.2,11.0,14.25,15.8
BPHL,2.2,3.0,2.5,1.8
BRCA1,59.4,77.2,89.25,92.0
BRAF,0.0,0.2,0.0,0.0
BRCA2,31.4,49.0,48.0,55.6
ZFP36L1,13.4,38.8,52.25,146.2
ZFP36L2,565.8,624.6,896.75,695.6
BSG,28.2,26.2,24.5,27.4
BST1,0.0,0.0,0.0,0.0
BST2,1.6,2.2,4.0,4.8
BTD,2.0,3.0,1.75,2.8
KLF9,74.6,97.0,72.75,123.6
KLF5,2.8,4.8,4.0,5.4
BTF3,68.2,57.8,72.5,76.2
BTG1,71.8,64.4,85.75,78.8
BTK,15.2,16.0,19.75,18.4
BUB1,5.8,6.0,5.75,9.8
BUB1B,27.8,26.2,21.25,35.8
BYSL,35.4,42.2,38.25,32.6
TSPO,3.4,1.4,5.0,2.0
C1QBP,60.8,67.4,57.75,51.4
C1R,0.0,0.2,0.25,0.2
C1S,0.0,0.0,0.25,0.2
C2,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.2
C3AR1,43.0,38.4,4.75,13.2
CAPN5,0.2,0.0,0.5,2.6
C5,4.0,4.2,3.75,3.8
C5AR1,0.2,0.4,0.0,0.0
OSGIN2,49.0,56.6,49.25,77.6
VPS51,0.0,0.2,0.75,0.6
MRPL49,28.4,40.2,37.75,34.4
ZNHIT2,0.8,1.8,1.0,0.4
MYRF,0.0,0.0,0.5,0.2
TMEM258,3.0,4.4,5.0,5.2
DAGLA,2.4,4.6,1.5,1.0
GAS8-AS1,0.0,0.0,0.0,0.0
FMNL1,4.4,4.4,2.0,4.2
LDLRAD4,23.6,24.8,19.5,26.6
PTTG1IP,52.2,51.4,46.25,62.6
CFAP410,1.0,1.4,0.75,1.2
TMEM50B,16.2,17.8,20.25,26.2
MPPED1,1.0,1.8,2.25,2.0
CA6,0.0,0.0,0.25,0.0
CA7,0.6,0.0,0.0,0.0
CA11,3.0,3.2,0.25,2.8
CACNA1A,1.4,2.2,1.75,1.8
CACNA1D,0.2,0.4,0.25,0.0
CACNA1E,0.4,0.6,0.25,0.2
CACNB1,0.0,0.0,0.0,0.4
CACNB2,0.0,0.0,0.0,0.0
CACNB3,2.6,3.0,7.0,2.6
CACNB4,1.6,2.6,0.25,1.6
SLC25A20,6.2,7.2,9.0,8.4
CAD,4.6,6.4,5.75,3.8
CALB1,0.0,0.0,0.0,0.0
CALM1,147.6,187.0,159.25,308.8
CALM2,156.6,170.6,172.0,316.4
CALM3,37.0,49.8,45.0,55.0
CALR,146.4,183.0,178.75,137.0
CALU,131.2,167.4,182.25,205.2
CAMK2A,0.0,0.4,0.0,0.0
CAMK2B,0.8,0.6,1.25,0.4
CAMK2D,11.0,19.4,20.75,45.8
CAMK2G,27.6,41.0,30.0,35.4
CAMLG,10.4,5.8,5.0,8.4
CANX,177.6,233.6,232.5,248.8
CAPG,1.4,1.8,1.0,1.4
CAPN1,3.8,3.8,2.25,4.6
CAPN2,14.2,21.8,10.5,23.4
CAPN3,4.0,3.4,2.25,1.8
CAPNS1,17.4,10.2,10.75,13.0
CAPN6,0.0,0.0,2.5,0.4
CAPS,1.0,0.8,0.75,1.2
CAPZA1,194.8,191.0,182.0,240.6
CAPZA2,50.4,51.0,55.0,80.4
CAST,4.6,7.6,9.25,12.4
CAPZB,21.8,25.0,19.75,29.8
CARS1,56.4,62.0,61.0,44.2
CASP1,9.6,14.0,12.75,25.8
CASP2,83.6,119.6,165.5,131.6
CASP3,84.8,97.8,147.0,187.8
CASP4,6.8,9.0,8.5,13.4
CASP6,8.4,9.4,11.75,14.0
CASP7,19.6,39.2,28.25,54.8
CASP8,22.6,29.6,25.25,42.8
CASP9,6.6,4.2,4.75,5.4
CASP10,26.4,31.2,22.75,43.4
CASQ1,0.0,0.0,0.0,0.0
CAT,25.8,27.8,39.25,21.4
CAV1,0.0,0.0,1.0,0.2
RUNX2,94.4,193.0,287.25,485.4
RUNX1,246.6,381.6,402.25,566.8
CBFA2T3,26.8,31.4,42.5,44.6
RUNX3,64.4,80.4,122.5,151.4
CBFB,58.6,68.6,105.5,114.2
CBL,46.8,86.8,89.5,107.4
CBLB,12.2,18.0,14.75,22.0
CBLN1,0.4,0.2,0.0,0.0
SERPINH1,8.6,7.6,11.5,5.8
CBR1,2.4,7.4,22.75,13.6
CBR3,0.4,0.0,0.0,0.2
CBS,0.6,1.0,1.25,0.2
KYAT1,6.4,3.6,5.75,3.8
KRIT1,4.8,4.6,5.75,6.0
CCNA2,63.6,59.6,57.5,95.8
CCNB1,26.8,33.8,21.0,38.4
CCNC,31.0,34.0,37.75,47.6
CCND2,91.2,135.6,157.75,139.8
CCND3,59.6,75.8,99.5,166.2
CCNE1,25.6,26.4,10.25,10.2
CCNF,33.8,44.8,47.0,67.8
CCNG1,95.6,106.4,128.5,134.4
CCNG2,11.6,16.6,17.75,31.0
CCNH,5.8,4.4,10.25,5.6
CCNT1,304.4,465.4,458.0,525.2
CCNT2,125.0,158.2,156.25,172.6
CCT6A,166.6,163.6,135.75,170.2
CD1A,0.0,0.2,0.0,0.2
CD1D,3.6,5.6,2.0,6.2
CD1E,0.0,0.0,0.0,0.0
CD4,28.0,41.2,39.25,42.4
CD5,0.0,0.0,0.0,0.0
CD6,0.0,0.4,0.0,0.6
CD9,0.4,0.0,0.0,0.2
CD19,0.6,0.0,0.0,0.0
MS4A3,20.6,18.6,13.25,3.8
CD22,0.0,0.0,0.0,0.0
CD27,0.2,0.0,0.0,0.0
CD28,0.2,2.8,1.5,17.2
CD80,0.2,0.6,0.0,0.2
CD86,6.4,9.6,2.5,27.0
TNFRSF8,0.0,0.2,0.5,1.2
TNFSF8,0.4,0.2,1.5,2.8
CD33,23.0,32.2,41.5,47.8
SIGLEC6,0.8,4.2,2.5,11.4
CD34,0.0,0.0,0.0,0.0
CD36,8.2,34.0,4.5,130.6
SCARB1,8.2,7.8,11.0,9.8
SCARB2,8.0,14.8,17.0,28.6
CD37,3.8,3.0,4.25,4.0
CD38,0.0,0.0,0.75,0.0
ENTPD1,1.0,1.6,1.0,1.2
ENTPD6,7.0,9.4,8.75,9.8
ENTPD5,9.6,14.0,18.75,17.6
CD40,0.0,0.0,0.0,0.2
CD44,63.8,74.8,136.5,137.4
CD47,42.0,60.4,49.75,80.4
CD48,0.0,0.0,0.0,0.2
CD53,53.4,65.4,68.0,88.8
CD58,9.0,18.2,12.75,22.8
CD59,0.0,0.8,11.25,3.4
CD63,4.4,6.2,3.75,7.8
CD68,7.4,7.2,3.25,10.2
CD70,0.4,0.0,0.25,0.0
CD72,1.6,2.4,5.25,5.0
CD74,30.6,39.4,34.5,46.8
CD79A,0.0,0.2,0.0,0.2
CD79B,0.4,0.0,0.0,0.0
CD81,12.4,11.8,9.75,11.4
ADGRE5,31.2,29.2,21.75,48.0
CD151,6.6,8.0,5.0,3.4
CDA,0.0,0.2,0.0,0.0
CDK1,25.6,35.2,39.25,78.8
CDK11B,0.6,1.2,0.5,0.8
LRBA,4.6,7.0,7.75,7.0
CDC5L,46.4,53.8,62.0,82.0
SEPTIN7,50.2,47.8,63.75,76.8
CDC6,41.6,38.4,37.75,65.8
CDC20,2.6,2.2,2.0,2.2
CDC25A,110.6,128.2,119.75,121.2
CDC25B,7.8,12.4,8.25,18.0
CDC25C,6.2,5.8,5.25,6.6
CDC27,96.4,123.8,134.0,187.4
CDC34,4.2,4.8,4.0,6.4
CDC42,112.2,127.4,117.75,174.2
CDH4,0.0,0.0,0.0,0.0
CDH13,0.0,0.0,0.0,0.0
CDK2,32.4,50.8,63.0,68.6
CDK3,3.2,3.2,0.75,1.2
CDK4,37.4,39.4,41.75,37.4
CDK5,0.0,0.0,0.75,0.2
CDK6,349.4,507.2,802.75,682.2
CDK7,7.8,6.8,7.0,10.2
CDK8,24.4,34.4,37.75,40.6
CDK9,35.0,42.0,45.25,39.6
CDKN1A,10.2,10.8,3.75,14.4
CDKN1B,309.8,336.8,342.5,463.0
CDKN1C,0.4,0.0,0.25,2.2
CDKN2A,30.8,37.0,36.0,40.2
CDKN2B,5.8,3.6,2.75,6.6
CDKN2C,9.6,15.8,29.75,58.8
CDKN2D,17.8,16.0,18.75,36.6
CDKN3,4.6,5.0,5.0,15.0
CDO1,0.8,1.4,0.0,0.4
CDR2,20.0,30.0,38.0,36.0
CD52,0.0,0.4,0.0,1.4
CDX1,0.2,0.6,0.25,0.6
CDX2,1.0,1.8,1.0,2.0
CEBPA,258.0,310.2,239.75,353.4
CEBPB,20.4,22.4,15.5,19.2
CEBPD,45.2,42.4,36.75,28.0
CEBPE,0.0,0.4,0.0,0.0
CEBPG,298.2,340.2,318.75,382.2
CENPA,36.4,45.0,42.5,69.6
CENPB,34.6,38.8,26.0,30.2
CENPC,1.4,1.2,1.0,2.2
CENPE,4.8,7.4,3.75,14.2
CENPF,15.2,30.0,22.25,44.8
CES1,0.0,0.0,0.0,0.4
CETN2,6.8,7.0,6.5,8.6
CETN3,6.0,4.4,2.5,6.6
CETP,0.0,0.0,0.0,0.0
CFL1,83.6,94.0,84.75,92.8
CFL2,52.2,68.8,75.5,90.2
CTSC,68.0,91.2,105.0,126.6
CEACAM4,0.0,0.0,0.0,0.0
CHAD,0.2,0.0,0.0,0.0
RCBTB2,32.6,41.2,36.5,124.8
RCC1,83.0,84.4,68.75,51.6
CHD1,60.4,64.2,71.5,88.6
CHD2,154.4,226.4,210.0,318.2
CHD3,21.8,23.0,15.5,18.4
CHD4,11.0,8.6,12.75,13.6
AKR1C4,0.0,0.0,0.0,0.0
CHEK1,60.2,62.4,71.75,83.6
FOXN3,103.8,133.8,170.5,160.4
CHGB,0.6,0.6,0.25,1.0
CHI3L1,6.6,20.8,9.0,76.8
CHI3L2,0.0,0.0,0.0,0.0
CHIT1,0.0,0.0,0.25,0.0
CHKA,24.2,25.0,18.75,23.0
CHKB,3.8,3.6,5.0,3.0
CHM,24.8,34.6,33.5,45.4
CHML,250.2,386.8,227.0,695.8
CHN1,0.6,1.0,0.5,1.4
LYST,401.6,433.0,468.0,341.4
CHRM4,0.2,0.2,0.0,0.0
CHRM5,0.6,0.2,0.0,0.6
CHRNA2,0.0,0.0,0.0,0.0
CHRNA3,0.6,0.2,0.25,0.0
CHRNA5,0.8,1.6,3.75,1.8
CHRNA7,0.4,0.0,0.5,0.0
CHRNB1,10.6,15.4,19.5,18.2
CHRNB2,0.0,0.0,0.0,0.0
CHRNE,0.2,0.0,0.0,0.0
CHRNG,0.0,0.0,0.0,0.0
CHUK,43.6,47.4,52.0,60.8
CKB,0.2,0.0,0.0,0.6
CIRBP,169.8,190.2,187.0,211.2
CISH,54.0,82.2,63.5,113.4
TBCB,11.8,11.8,11.0,17.0
CKM,0.2,0.2,0.0,0.0
ERCC8,2.0,2.6,3.5,2.6
CKS1B,8.4,9.2,4.25,8.6
CKS2,72.8,70.0,70.5,91.4
AP2M1,7.4,5.6,4.75,6.4
AP1S1,10.4,6.8,9.0,11.0
AP2S1,10.4,10.0,11.5,12.4
AP3S1,12.0,15.2,12.0,14.6
CLCN2,2.0,0.2,1.5,0.0
CLCN3,28.0,31.2,33.25,37.2
CLCN4,11.4,18.6,12.0,32.2
CLCN5,8.2,15.0,21.25,29.6
CLCN6,29.2,35.8,23.5,30.6
CLCN7,5.4,3.6,2.5,2.8
CLU,0.4,0.6,3.25,1.0
CLIC1,76.0,82.4,62.75,49.6
CLIC2,4.6,3.0,1.75,4.4
CLK1,352.2,474.6,469.25,673.6
CLK2,29.0,30.8,32.5,35.0
1197,26.0,37.4,23.25,30.0
CLK3,21.6,20.0,19.25,16.6
TPP1,43.2,56.8,46.75,68.8
CLN3,2.0,2.0,2.5,3.0
CLN5,15.2,16.0,11.25,29.2
CLNS1A,44.6,34.2,47.75,39.6
CLPTM1,7.2,5.8,3.75,4.0
CLTA,33.0,35.4,31.5,32.0
CLTB,13.6,9.6,8.75,8.2
CLTC,101.8,101.6,115.5,132.8
CCR1,92.0,156.8,110.25,392.2
CCR3,0.0,0.0,0.0,0.0
CCR5,1.2,2.6,1.25,10.2
CCR6,0.8,15.6,18.0,82.4
CCR7,0.0,0.0,0.5,0.6
ACKR2,1.2,0.4,0.75,0.6
CMKLR1,0.0,2.6,0.5,12.2
LTB4R,22.0,19.0,25.5,22.8
ABCC2,4.0,4.0,3.25,3.8
CNGA4,0.0,0.0,0.25,1.0
PLK3,3.6,6.6,5.0,3.6
CNN2,57.4,54.0,52.0,55.6
CNP,18.4,22.8,23.25,31.8
CNR2,2.0,4.2,6.75,9.0
CNTF,5.0,8.0,8.75,12.2
COL1A1,0.0,0.0,0.0,0.0
COL4A2,0.2,0.4,0.0,0.0
COL4A4,0.0,0.0,0.0,0.0
COL4A6,0.0,0.0,0.0,0.0
COL5A2,0.2,0.0,0.0,0.4
COL6A1,0.0,0.0,0.0,0.0
COL6A3,0.0,0.0,0.0,0.0
COL7A1,0.6,0.4,2.0,1.6
COL8A2,0.0,0.0,0.0,0.0
COL9A2,1.8,3.8,2.5,4.4
COL9A3,2.8,2.2,2.0,2.2
COL11A1,0.0,0.0,0.0,0.0
COL11A2,0.0,0.2,0.0,0.0
COL15A1,0.0,1.4,1.0,0.8
COMT,10.2,14.6,4.0,8.4
COPA,23.4,34.4,31.0,39.0
