GENE,mr571-MV411-DMSO_coculture_12h-r1_tcount,mr572-MV411-DMSO_coculture_12h-r2_tcount,mr573-MV411-DMSO_coculture_12h-r3_tcount,mr574-MV411-DMSO_coculture_12h-r4_tcount,mr575-MV411-DMSO_coculture_12h-r5_tcount,mr576-MV411-VHL_coculture_12h-r1_tcount,mr577-MV411-VHL_coculture_12h-r2_tcount,mr578-MV411-VHL_coculture_12h-r3_tcount,mr579-MV411-VHL_coculture_12h-r4_tcount,mr580-MV411-VHL_coculture_12h-r5_tcount,mr581-MV411-MYB-dTAG-DMSO_coculture_12h-r1_tcount,mr582-MV411-MYB-dTAG-DMSO_coculture_12h-r2_tcount,mr583-MV411-MYB-dTAG-DMSO_coculture_12h-r3_tcount,mr584-MV411-MYB-dTAG-DMSO_coculture_12h-r4_tcount,mr585-MV411-MYB-dTAG-VHL_coculture_12h-r1_tcount,mr586-MV411-MYB-dTAG-VHL_coculture_12h-r2_tcount,mr587-MV411-MYB-dTAG-VHL_coculture_12h-r3_tcount,mr588-MV411-MYB-dTAG-VHL_coculture_12h-r4_tcount,mr589-MV411-MYB-dTAG-VHL_coculture_12h-r5_tcount
ADARB1,3,7,7,3,1,11,9,8,9,6,10,8,8,3,19,11,1,5,6
ADCY3,7,5,8,4,2,7,15,4,6,7,10,2,5,12,13,12,3,3,14
ADCY5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADCY7,62,38,20,38,29,67,72,30,44,41,50,62,89,46,129,88,71,38,139
ADCY9,36,80,11,37,25,78,81,29,44,64,96,77,117,102,92,71,61,27,88
ADCYAP1R1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD1,17,30,22,23,14,46,44,26,22,21,29,28,31,32,77,57,38,29,67
ADD2,11,16,10,12,17,11,25,13,10,21,18,23,37,20,12,13,11,4,10
ADD3,18,14,6,38,8,32,26,8,36,19,25,20,25,9,48,27,27,24,28
PLIN2,35,35,13,27,20,15,37,29,35,32,3,7,1,0,12,7,1,2,0
ADH5,36,16,15,33,9,28,28,9,18,23,16,22,30,10,45,25,16,26,32
ADK,15,10,11,20,10,22,22,11,6,19,15,16,27,16,39,18,12,22,15
ADM,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ADORA1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ADORA2A,4,2,0,6,2,4,0,0,1,0,2,2,2,5,9,6,10,6,2
ADORA2B,27,29,28,42,24,19,53,31,31,30,24,20,34,11,34,23,16,27,39
ADORA3,2,1,0,2,2,5,2,2,1,0,4,0,4,0,4,1,3,5,6
ADPRH,0,0,0,0,0,1,0,1,0,0,3,0,0,0,4,2,0,1,0
PARP1,28,19,32,21,7,23,32,16,17,16,31,12,30,18,39,19,14,35,29
PARP4,3,7,1,5,3,4,6,5,1,7,2,2,7,3,9,5,4,15,4
ADRA2C,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ADRB1,1,1,2,3,1,2,0,2,0,0,1,2,2,1,2,0,0,0,2
ADRB2,28,18,8,23,4,22,17,12,15,22,19,15,15,6,42,16,16,22,19
GRK2,22,26,34,24,24,25,34,34,38,22,35,39,35,26,40,27,13,15,21
GRK3,38,37,16,32,25,45,60,39,40,52,54,42,62,31,93,40,30,16,43
ADSL,10,9,7,12,3,3,4,3,1,5,9,5,5,0,4,3,1,10,5
ADSS2,19,27,8,13,22,20,25,10,13,19,13,12,24,7,38,15,15,17,24
AP2A1,5,2,2,0,1,1,1,0,2,2,1,2,1,6,1,1,0,4,2
AP2A2,6,7,9,7,4,4,11,5,3,7,7,6,8,0,12,5,6,9,2
AP1B1,8,12,12,6,4,3,8,7,7,14,13,3,9,14,10,13,14,6,4
AP2B1,83,66,50,88,55,125,125,81,76,95,102,82,122,72,159,84,91,62,122
AP1G1,130,138,86,136,88,211,191,112,123,145,131,143,206,95,305,177,158,90,226
TLE5,1,7,5,5,3,1,10,3,6,3,0,0,0,0,0,0,0,0,0
AFG3L1P,65,44,38,33,43,60,71,38,51,44,66,46,84,36,78,70,76,50,78
AGA,9,15,8,11,9,16,26,10,5,14,20,18,27,14,29,20,18,18,35
AGER,10,12,8,9,9,14,8,13,16,5,7,15,10,2,8,10,11,8,9
AGL,9,10,2,12,6,13,11,4,9,11,5,7,16,7,25,6,4,17,16
JAG1,2,2,1,4,2,6,2,3,1,1,1,0,2,0,15,8,9,10,12
AGT,0,2,0,2,0,2,1,0,0,3,1,0,2,3,6,1,0,2,1
AHCY,38,41,54,48,40,36,62,22,38,45,66,35,57,51,34,32,27,38,34
AHR,57,55,29,50,22,105,79,37,43,51,51,74,114,40,211,111,85,58,134
AIF1,30,21,31,27,14,40,37,32,14,14,12,24,35,14,46,18,20,30,35
CRYBG1,28,12,17,13,15,26,24,16,12,24,23,19,47,16,43,12,28,11,26
AK1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK2,218,242,119,235,154,263,343,204,203,185,239,227,354,228,364,218,130,125,257
AK4,1,4,0,1,0,7,3,0,0,4,6,5,11,4,21,9,8,6,19
AKT1,17,8,13,12,13,9,19,21,11,11,14,13,17,18,38,13,16,13,28
AKT2,29,16,13,20,11,34,23,20,18,28,19,20,27,33,34,21,11,21,30
ALAD,20,18,20,34,10,20,31,21,30,23,35,33,42,20,48,36,21,23,40
ALAS1,5,5,4,2,4,12,9,5,2,10,7,7,6,1,14,15,10,24,10
ALAS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCAM,15,5,15,21,12,17,20,15,10,7,19,20,27,19,20,6,10,4,5
ABCD1,11,3,4,1,3,1,4,6,4,7,7,1,0,0,4,5,2,4,4
ALDH2,0,3,3,0,0,3,3,0,1,1,1,2,4,0,2,1,6,2,4
ALDH1B1,76,64,41,58,21,68,82,40,52,54,65,36,71,31,82,53,33,44,66
ALDH1A3,0,1,2,3,1,0,1,1,1,4,0,0,0,0,3,0,0,1,0
ALDH3B1,8,3,7,7,9,12,15,13,9,4,2,8,6,8,13,4,1,9,12
ALDH9A1,41,36,42,62,34,79,47,40,39,42,65,43,65,38,83,66,43,61,65
ALDH3A2,10,6,3,7,1,6,7,4,1,7,12,6,8,4,6,9,8,6,7
ABCD2,4,11,4,6,3,20,12,6,6,6,4,8,5,1,35,12,21,14,26
ALDOA,89,66,75,77,51,49,85,51,63,73,74,44,76,36,67,58,32,62,58
ALDOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDOC,2,3,7,4,3,4,2,6,4,3,8,2,1,3,3,1,8,7,3
AKR1B1,9,6,9,8,0,5,7,1,2,5,11,2,5,2,7,7,0,5,14
ALOX12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALOX5AP,10,3,7,11,7,59,17,10,10,8,27,13,18,18,116,89,78,133,112
ALOX15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
ALX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD1,480,485,223,504,265,571,545,277,398,405,409,421,677,257,820,411,369,366,536
AMFR,13,13,19,13,16,17,15,7,13,14,11,17,12,4,19,19,12,30,13
AMH,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0
AMPD2,13,12,17,3,1,8,10,15,13,9,11,6,4,3,13,12,8,15,7
AMPD3,6,5,5,8,1,3,5,2,5,5,8,5,7,1,22,14,10,19,20
AMPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN1,0,2,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,1
AMT,1,0,1,1,3,3,2,0,0,1,2,1,2,3,5,2,1,1,4
AMY1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2B,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ANG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANGPT1,0,2,0,2,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0
ANGPT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANK2,5,10,1,12,6,11,17,4,1,15,10,9,16,8,12,3,8,6,6
ANK3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
SLC25A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLC25A5,66,42,48,74,38,71,79,25,51,57,81,58,77,49,90,69,21,126,87
SLC25A6,85,65,100,94,42,102,133,87,59,86,138,66,110,81,119,96,49,114,99
ANXA1,16,20,12,17,9,27,14,2,19,14,11,11,9,7,49,26,34,30,38
ANXA2,12,14,14,15,14,19,16,12,12,11,30,16,16,15,34,21,5,34,19
303,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
ANXA4,2,12,5,8,4,8,8,2,5,6,12,7,5,3,15,8,2,7,4
ANXA5,1,12,14,9,3,10,13,5,6,2,5,3,5,4,14,13,5,12,7
ANXA6,0,4,5,5,3,1,7,2,0,3,0,0,1,0,6,0,0,0,0
ANXA7,8,5,11,7,2,8,13,7,5,11,10,15,9,2,11,7,5,6,4
ANXA11,13,10,9,9,11,15,21,5,9,15,15,11,10,9,16,13,6,3,15
AOAH,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AOC2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOX1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
APAF1,44,37,24,44,16,70,51,19,39,39,48,53,66,32,100,53,50,47,85
NUDT2,12,3,8,7,3,3,8,2,2,3,5,7,3,5,7,8,4,10,8
APBA1,31,16,6,18,9,20,30,10,14,18,22,30,31,8,26,19,14,5,14
APBA2,0,0,0,0,1,2,0,0,0,0,3,0,0,0,1,1,0,1,1
APBB1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
APBB2,2,1,2,2,5,6,3,3,3,5,2,4,3,4,15,5,4,3,9
APC,29,30,22,29,13,49,29,15,32,36,23,29,33,20,50,23,29,22,31
APEH,3,1,8,9,1,3,7,1,5,5,3,2,7,2,2,9,4,7,7
APEX1,73,64,72,92,61,83,95,66,78,71,102,74,108,80,105,62,27,96,86
BIRC2,8,4,6,11,1,10,11,2,5,6,7,5,19,3,18,5,9,11,4
BIRC3,0,0,0,1,0,0,1,0,2,0,4,0,0,0,5,1,0,3,0
XIAP,59,37,39,55,27,70,73,31,47,42,62,44,90,35,127,62,57,72,89
BIRC5,72,64,68,56,27,92,60,31,56,53,71,48,80,45,122,93,77,102,119
APLP1,0,0,2,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,1
APLP2,54,51,45,51,33,40,70,26,53,59,53,32,60,26,49,27,24,24,55
APOA1,1,0,1,1,0,1,1,3,0,2,2,0,0,2,2,0,0,0,1
APOC1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
APOC2,24,28,35,26,24,33,47,25,17,26,44,43,26,46,54,44,15,41,43
APOC4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
APOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APP,28,20,22,19,13,31,36,13,26,16,32,16,27,14,43,15,13,18,11
APRT,13,8,15,9,2,12,10,17,16,4,13,9,12,4,5,12,9,6,9
FAS,1,0,0,0,0,5,2,0,0,0,2,7,8,10,13,10,7,12,10
SHROOM2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,3,2,0,1,2
AQP1,1,1,1,1,1,1,0,0,4,1,2,1,3,0,3,2,1,4,0
AQP3,0,3,1,0,0,1,2,7,1,1,5,4,2,1,1,6,0,2,2
AQP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,3,2
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAF,10,10,12,14,9,13,13,17,9,4,19,19,9,14,23,12,13,14,17
ARCN1,134,134,75,180,83,228,222,117,133,137,162,117,184,110,288,182,109,117,269
TRIM23,7,8,9,10,9,14,16,5,7,8,13,17,13,11,32,15,17,12,11
ARF1,166,127,92,151,85,167,200,80,123,122,158,114,144,101,169,158,125,125,158
ARF3,32,36,31,26,21,54,59,32,33,51,41,46,54,35,62,68,42,22,61
ARF4,98,103,71,87,41,102,101,65,61,88,91,81,101,60,151,101,57,88,96
ARL4D,0,2,1,2,0,1,2,1,1,1,0,1,0,0,1,0,0,0,0
ARF5,2,5,5,4,0,12,3,3,6,3,3,2,7,4,2,4,2,6,9
ARF6,337,297,167,296,167,455,425,202,231,280,348,292,385,246,705,414,341,349,533
ARG2,2,2,0,1,0,3,0,1,0,1,0,0,2,1,2,1,0,1,0
RHOA,282,235,163,265,162,368,396,193,232,211,263,196,290,167,422,305,191,272,340
RHOB,62,76,32,50,32,73,56,47,64,60,7,10,9,6,49,32,21,20,19
RHOC,0,3,5,2,1,3,0,0,2,3,1,2,0,4,3,1,1,6,3
RHOG,36,37,41,31,25,37,39,35,25,40,24,27,40,34,33,41,22,34,38
ARHGAP1,5,22,13,23,15,25,23,24,16,21,19,18,35,20,36,19,30,16,29
ARHGAP4,0,2,0,0,0,1,1,0,4,2,1,1,5,0,0,1,1,0,0
ARHGAP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARHGDIA,78,93,78,100,69,108,146,114,101,121,118,73,125,87,112,86,54,53,89
ARHGDIB,265,265,230,287,201,283,415,244,282,284,385,264,348,207,332,232,171,225,258
RHOH,9,6,7,15,7,29,18,9,10,8,38,14,34,14,33,15,23,34,36
ARL1,20,31,11,26,15,40,42,15,25,13,21,21,46,26,53,32,18,21,27
PHOX2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL2,2,2,3,2,0,5,2,0,2,6,0,1,1,2,4,3,4,1,1
ARL3,6,2,3,3,1,5,4,1,1,5,5,6,7,3,17,12,2,19,11
ARNT,24,24,16,32,17,45,31,20,21,28,25,30,33,27,49,46,33,20,48
ARNTL,16,7,9,9,2,14,16,11,12,9,18,18,11,4,22,15,12,23,13
ARRB1,64,96,48,73,58,124,124,65,68,73,86,82,111,85,122,90,59,49,75
ARRB2,19,20,31,25,11,43,36,17,24,28,16,22,18,14,52,25,21,30,27
ARSA,3,2,3,0,1,1,5,0,1,2,1,0,3,3,3,3,4,2,6
ARSB,21,22,9,25,21,36,48,27,24,29,42,39,55,21,64,32,31,21,56
STS,6,4,4,13,0,9,11,4,4,9,29,24,35,15,22,29,11,4,15
ARSD,14,27,12,16,10,15,10,11,13,11,17,8,22,6,30,21,13,21,16
ARVCF,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0
ASAH1,20,15,12,15,3,19,22,6,4,15,16,14,34,16,34,16,14,18,24
ASGR1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ASGR2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0
ASL,4,0,0,2,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
GET3,8,5,7,2,2,4,4,1,2,8,7,0,5,0,4,5,1,5,2
ASNS,2,3,5,3,3,2,8,2,4,4,2,3,4,2,4,1,1,7,1
ASPH,93,76,38,100,52,108,86,49,66,87,47,52,99,41,143,76,70,51,85
ASS1,15,22,14,16,14,15,23,10,14,6,14,12,13,6,10,3,3,6,9
ZFHX3,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,3,1
ATF1,34,53,18,41,29,38,35,23,29,35,31,22,65,13,73,30,25,28,30
ATF3,33,84,25,50,23,64,81,32,49,41,50,37,66,28,82,73,61,41,83
ATF4,175,90,226,185,131,174,210,132,128,140,161,126,144,94,220,141,70,171,149
ATIC,9,5,10,5,3,3,10,2,10,8,7,5,10,2,6,6,1,11,7
ATM,64,57,33,92,37,115,100,62,63,74,88,83,121,35,177,107,82,84,135
RERE,15,8,13,11,12,30,39,14,23,4,34,22,43,19,55,28,33,31,46
ATOX1,6,5,7,4,0,7,5,6,2,5,7,6,7,7,7,8,2,4,12
ATP1A1,35,15,16,23,14,20,21,12,16,22,23,13,12,9,24,16,17,18,16
ATP1A2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
ATP1A3,3,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1
ATP1B1,0,1,0,6,2,5,2,1,2,3,1,1,1,1,4,0,3,1,1
ATP1B3,61,61,45,49,52,63,73,22,41,45,55,38,51,33,58,63,45,72,39
FXYD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP2A1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1
ATP2A2,104,142,58,157,93,180,169,92,121,129,146,133,211,110,266,173,143,94,220
ATP2A3,10,9,9,14,11,23,13,11,7,8,15,11,18,6,10,11,2,15,14
ATP2B1,68,51,35,72,34,59,61,42,49,45,56,44,68,36,81,61,72,34,68
ATP2B2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
ATP2B3,0,0,0,0,1,0,7,4,0,1,4,5,2,1,0,0,0,0,2
ATP2B4,33,52,7,53,40,53,77,31,29,42,77,75,116,60,71,33,29,17,78
ATP5F1A,26,18,20,35,19,21,23,10,13,18,39,19,29,12,30,25,16,45,22
ATP5F1B,33,23,55,65,29,44,73,35,35,45,51,35,41,47,41,19,18,71,35
ATP5F1C,12,10,14,9,15,15,19,6,15,16,18,11,24,11,22,14,9,19,13
ATP5F1D,6,3,6,6,5,6,7,3,3,3,5,1,7,3,1,2,0,3,3
ATP5F1E,23,15,52,30,20,24,42,23,27,23,33,43,32,11,37,24,11,52,33
ATP5PB,53,32,50,51,38,43,42,16,35,35,37,21,38,36,78,31,32,80,52
ATP5MC1,4,1,2,2,3,4,6,3,1,3,2,4,3,2,2,1,4,1,3
ATP5MC2,19,12,22,26,10,20,20,10,28,16,32,18,25,10,22,12,16,38,19
ATP5MC3,93,80,56,110,58,133,121,54,88,81,104,90,144,60,196,103,91,73,119
ATP5ME,14,10,25,13,8,13,10,11,9,14,17,11,12,11,6,15,6,15,10
ATP5PF,16,13,11,6,8,12,11,2,2,13,5,16,10,1,23,10,4,12,5
ATP6V1A,36,30,14,38,14,43,41,34,28,30,50,39,43,17,81,42,37,38,77
ATP6V1B2,151,124,110,176,109,136,189,109,137,126,154,130,150,78,213,140,102,137,175
ATP6V0C,29,23,19,17,10,8,17,15,3,14,24,34,17,15,30,19,9,9,13
ATP6V1C1,70,75,51,91,48,119,131,40,68,91,98,69,161,77,182,107,99,46,165
ATP6V1E1,37,35,40,51,19,35,36,29,39,46,35,31,49,23,57,53,29,71,57
ATP6V0B,29,21,35,29,18,50,58,21,33,33,36,26,30,35,51,31,28,70,64
ATP6V1G2,0,0,1,1,0,2,1,2,0,0,2,4,2,3,4,1,2,0,4
ATP6V0A1,3,11,15,2,5,20,9,8,6,5,4,8,8,3,21,24,14,15,22
ATP6AP1,4,2,3,6,3,5,13,1,5,4,3,7,4,3,3,3,6,5,8
ATP7A,3,1,2,1,4,8,4,1,4,5,3,3,4,0,8,7,2,0,7
ATP5PO,17,5,7,6,4,16,9,5,6,13,11,7,6,8,12,9,12,14,14
ATP7B,1,1,0,0,1,1,2,1,0,1,0,1,2,0,5,2,0,2,1
ATR,5,1,0,5,0,1,3,0,2,1,6,1,3,1,4,6,4,3,2
ATRX,80,62,54,56,37,72,60,22,54,44,68,77,104,31,122,87,75,60,87
AUH,4,9,1,4,1,3,6,3,5,8,7,1,6,3,5,0,2,6,3
AUP1,164,176,145,156,97,207,248,164,163,193,208,138,186,141,224,171,110,127,225
AVPR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXL,2,2,0,0,1,5,4,3,1,1,2,0,1,0,3,3,4,0,1
AZU1,0,0,1,1,4,0,4,0,4,1,1,7,2,0,0,1,0,0,1
B2M,182,140,128,180,114,242,158,59,143,132,157,126,191,55,296,161,209,263,228
BAAT,0,0,1,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,1
BACH1,145,220,64,169,89,217,232,115,149,159,141,152,271,115,289,153,127,98,257
BAD,2,3,6,4,0,1,9,1,1,6,8,1,3,3,4,3,1,1,5
BAG1,79,61,73,76,59,72,69,60,56,54,82,51,68,39,64,44,34,67,46
ADGRB1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
BAK1,16,17,14,23,10,17,31,9,24,17,21,18,13,10,36,25,11,20,23
NKX3-2,4,4,0,1,0,1,5,0,0,1,0,1,0,2,6,0,9,2,1
BARD1,84,93,36,90,60,110,139,80,73,79,99,108,182,103,234,124,122,61,169
BAX,2,6,13,7,5,10,12,1,4,7,9,5,5,20,3,13,3,11,4
BBS1,4,1,6,4,7,3,6,4,3,1,2,1,3,3,4,0,1,5,4
BBS2,5,6,0,3,0,5,5,3,3,5,1,3,9,0,9,4,1,9,1
BBS4,6,5,6,19,3,4,14,6,8,8,10,11,8,5,15,10,7,5,10
BCAT1,217,207,130,253,121,228,262,153,168,172,221,232,354,138,389,183,181,124,261
BCAT2,7,2,10,6,7,11,11,5,9,17,12,7,9,4,4,5,4,6,0
BCKDHA,1,9,3,1,0,2,4,1,8,3,5,10,6,3,3,6,2,3,2
BCKDHB,10,3,6,7,2,4,6,3,1,1,3,3,10,7,9,5,3,9,12
CCND1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2,202,166,100,184,149,161,258,159,174,188,259,301,456,221,249,156,107,99,155
BCL2A1,2,2,0,1,1,5,3,0,2,1,0,0,0,0,3,1,6,7,1
BCL2L1,13,15,12,16,13,18,28,17,14,23,36,16,30,25,32,32,26,16,29
BCL2L2,48,25,12,43,20,41,48,21,17,44,41,23,58,24,68,36,19,29,51
BCL3,0,1,1,5,3,5,6,1,1,0,3,2,4,6,5,7,3,8,5
BCL6,0,0,0,2,1,2,0,0,0,0,0,0,1,0,2,0,5,1,4
