chr	start	end	interval_id	num_peaks	num_samples	MV411_1_357_R1.bool	MV411_2_358_R1.bool	MV411_1_357_R1.fc	MV411_2_358_R1.fc	MV411_1_357_R1.qval	MV411_2_358_R1.qval	MV411_1_357_R1.pval	MV411_2_358_R1.pval	MV411_1_357_R1.start	MV411_2_358_R1.start	MV411_1_357_R1.end	MV411_2_358_R1.end	MV411_1_357_R1.summit	MV411_2_358_R1.summit
chr1	1374945	1375671	Interval_25	2	2	TRUE	TRUE	29.11969	4.28643	127.92188	3.14055	133.23053	6.33601	1374945	1375347	1375671	1375538	452	55
chr1	1398998	1399208	Interval_26	1	1	FALSE	TRUE	NA	6.88377	NA	9.51675	NA	13.57285	NA	1398998	NA	1399208	NA	120
chr1	1399310	1399621	Interval_27	1	1	TRUE	FALSE	6.64173	NA	11.78646	NA	14.81577	NA	1399310	NA	1399621	NA	169	NA
chr1	1407051	1407588	Interval_28	2	2	TRUE	TRUE	16.7967	8.11493	53.09996	11.87126	57.10087	16.14867	1407051	1407192	1407588	1407588	279	145
chr1	1471419	1471917	Interval_29	1	1	TRUE	FALSE	6.65347	NA	17.9365	NA	21.16345	NA	1471419	NA	1471917	NA	257	NA
chr1	1511516	1512305	Interval_30	2	2	TRUE	TRUE	12.97412	6.00907	39.3986	6.75193	43.13457	10.4655	1511704	1511516	1512305	1512174	348	510
chr1	1574137	1575080	Interval_31	2	2	TRUE	TRUE	19.76762	13.14485	70.59993	27.64411	74.91272	32.98786	1574251	1574137	1575080	1575070	662	703
chr1	1587164	1587344	Interval_32	1	1	TRUE	FALSE	2.99425	NA	2.16852	NA	4.70182	NA	1587164	NA	1587344	NA	111	NA
chr1	1609841	1610158	Interval_33	1	1	TRUE	FALSE	6.18782	NA	12.96721	NA	16.03933	NA	1609841	NA	1610158	NA	150	NA
chr1	1615257	1616122	Interval_34	2	2	TRUE	TRUE	4.86536	4.04122	12.50237	3.01328	15.55945	6.18858	1615257	1615524	1616122	1615974	80	82
chr1	1658849	1659377	Interval_35	2	2	TRUE	TRUE	31.68606	16.52495	146.90179	39.63504	152.55037	45.41522	1658849	1658856	1659377	1659374	211	183
chr1	1692740	1693208	Interval_36	2	2	TRUE	TRUE	5.73884	5.5239	8.87893	5.12694	11.79668	8.62964	1692740	1692839	1693208	1693059	103	150
chr1	1724164	1724691	Interval_37	2	2	TRUE	TRUE	23.95169	11.19106	121.62199	24.8576	126.82353	30.05998	1724212	1724164	1724691	1724593	209	255
chr1	1746074	1746368	Interval_38	2	2	TRUE	TRUE	6.26471	7.22356	8.62541	8.88873	11.53004	12.87075	1746074	1746161	1746368	1746358	158	50
chr1	1778296	1779201	Interval_39	1	1	TRUE	FALSE	9.03186	NA	23.54872	NA	26.92913	NA	1778296	NA	1779201	NA	660	NA
chr1	1780423	1780669	Interval_40	1	1	TRUE	FALSE	7.3303	NA	19.64468	NA	22.91864	NA	1780423	NA	1780669	NA	144	NA
chr1	1889859	1890211	Interval_41	1	1	FALSE	TRUE	NA	5.61271	NA	5.85338	NA	9.44474	NA	1889859	NA	1890211	NA	115
chr1	1890376	1890800	Interval_42	1	1	FALSE	TRUE	NA	7.09043	NA	9.85433	NA	13.93286	NA	1890376	NA	1890800	NA	210
chr1	1890903	1891630	Interval_43	2	2	TRUE	TRUE	10.20521	6.98557	26.59429	9.68341	30.0453	13.75061	1890903	1891030	1891630	1891386	256	166
chr1	1908973	1909411	Interval_44	1	1	TRUE	FALSE	11.10506	NA	28.39552	NA	31.8924	NA	1908973	NA	1909411	NA	282	NA
chr1	1919272	1919728	Interval_45	1	1	TRUE	FALSE	5.13271	NA	12.26027	NA	15.30598	NA	1919272	NA	1919728	NA	133	NA
chr1	1996224	1996468	Interval_46	1	1	TRUE	FALSE	8.54847	NA	18.27763	NA	21.51395	NA	1996224	NA	1996468	NA	113	NA
chr1	2112508	2112740	Interval_47	1	1	TRUE	FALSE	4.99036	NA	6.44365	NA	9.25272	NA	2112508	NA	2112740	NA	143	NA
chr1	2133096	2133727	Interval_48	1	1	TRUE	FALSE	11.90161	NA	33.82244	NA	37.43776	NA	2133096	NA	2133727	NA	274	NA
chr1	2148684	2148921	Interval_49	1	1	TRUE	FALSE	4.49752	NA	6.4485	NA	9.25801	NA	2148684	NA	2148921	NA	136	NA
chr1	2151213	2151625	Interval_50	1	1	TRUE	FALSE	7.37049	NA	15.46905	NA	18.62017	NA	2151213	NA	2151625	NA	250	NA
chr1	2151823	2152014	Interval_51	1	1	FALSE	TRUE	NA	4.31716	NA	3.42041	NA	6.65614	NA	2151823	NA	2152014	NA	141
chr1	2189516	2189757	Interval_52	1	1	TRUE	FALSE	7.09739	NA	13.99469	NA	17.10085	NA	2189516	NA	2189757	NA	98	NA
chr1	2194743	2195292	Interval_53	1	1	TRUE	FALSE	5.87922	NA	8.36457	NA	11.26214	NA	2194743	NA	2195292	NA	430	NA
chr1	2205188	2205451	Interval_54	1	1	TRUE	FALSE	3.77033	NA	7.63366	NA	10.4957	NA	2205188	NA	2205451	NA	133	NA
chr1	2212698	2212996	Interval_55	1	1	TRUE	FALSE	4.22817	NA	4.4734	NA	7.17695	NA	2212698	NA	2212996	NA	202	NA
chr1	2227273	2228011	Interval_56	2	2	TRUE	TRUE	9.38132	6.21726	28.25027	8.45862	31.74444	12.38597	2227487	2227273	2228011	2227516	222	156
chr1	2234250	2235035	Interval_57	1	1	TRUE	FALSE	9.32899	NA	22.50858	NA	25.86168	NA	2234250	NA	2235035	NA	410	NA
chr1	2255464	2256343	Interval_58	1	1	TRUE	FALSE	9.62532	NA	24.24204	NA	27.6354	NA	2255464	NA	2256343	NA	452	NA
chr1	2290486	2291154	Interval_59	1	1	TRUE	FALSE	26.82081	NA	114.0014	NA	119.06482	NA	2290486	NA	2291154	NA	366	NA
chr1	2301078	2301465	Interval_60	1	1	TRUE	FALSE	6.9862	NA	16.50056	NA	19.68479	NA	2301078	NA	2301465	NA	149	NA
chr1	2391534	2392107	Interval_61	2	2	TRUE	TRUE	18.64701	2.76055	67.40671	1.37578	71.66381	4.20302	2391534	2391619	2392107	2392011	220	1
chr1	2412336	2412952	Interval_62	1	1	TRUE	FALSE	16.60355	NA	56.61961	NA	60.68557	NA	2412336	NA	2412952	NA	284	NA
chr1	2526110	2526695	Interval_63	2	2	TRUE	TRUE	7.40803	5.78082	14.59895	6.41032	17.72448	10.08216	2526110	2526360	2526695	2526603	314	144
chr1	2546018	2547097	Interval_64	1	1	TRUE	FALSE	6.64818	NA	11.36948	NA	14.38221	NA	2546018	NA	2547097	NA	353	NA
chr1	2548625	2549073	Interval_65	1	1	TRUE	FALSE	7.98417	NA	21.20192	NA	24.5208	NA	2548625	NA	2549073	NA	249	NA
chr1	2555634	2555805	Interval_66	1	1	TRUE	FALSE	5.37087	NA	6.76104	NA	9.58523	NA	2555634	NA	2555805	NA	65	NA
chr1	2585892	2586966	Interval_67	2	2	TRUE	TRUE	9.18173	5.84419	27.21289	6.17443	30.68286	9.82785	2586136	2585892	2586966	2586242	463	264
chr1	2643059	2643358	Interval_68	1	1	TRUE	FALSE	6.15449	NA	15.36698	NA	18.51631	NA	2643059	NA	2643358	NA	166	NA
chr1	2845867	2846154	Interval_69	1	1	TRUE	FALSE	4.79066	NA	7.37022	NA	10.22378	NA	2845867	NA	2846154	NA	167	NA
chr1	3312954	3313525	Interval_70	2	2	TRUE	TRUE	10.36333	4.66217	34.14611	4.97398	37.76726	8.44691	3312954	3313096	3313525	3313414	293	165
chr1	3322498	3322873	Interval_71	1	1	TRUE	FALSE	4.39147	NA	5.93257	NA	8.71601	NA	3322498	NA	3322873	NA	240	NA
chr1	3531368	3531622	Interval_72	1	1	TRUE	FALSE	5.58735	NA	7.12354	NA	9.96376	NA	3531368	NA	3531622	NA	156	NA
chr1	3624717	3625056	Interval_73	1	1	TRUE	FALSE	4.4912	NA	7.65102	NA	10.5157	NA	3624717	NA	3625056	NA	188	NA
chr1	3650043	3650234	Interval_74	1	1	TRUE	FALSE	4.89658	NA	5.95007	NA	8.73396	NA	3650043	NA	3650234	NA	159	NA
chr1	3666009	3666906	Interval_75	2	2	TRUE	TRUE	8.93574	5.99248	18.47512	6.40042	21.71646	10.07175	3666009	3666614	3666837	3666906	563	160
chr1	3677563	3677881	Interval_76	1	1	TRUE	FALSE	6.61803	NA	11.31496	NA	14.32477	NA	3677563	NA	3677881	NA	82	NA
chr1	3796374	3796671	Interval_77	1	1	TRUE	FALSE	8.23376	NA	18.18075	NA	21.41391	NA	3796374	NA	3796671	NA	164	NA
chr1	3843098	3843398	Interval_78	1	1	TRUE	FALSE	3.82589	NA	5.00735	NA	7.73977	NA	3843098	NA	3843398	NA	120	NA
chr1	3857038	3857588	Interval_79	1	1	TRUE	FALSE	12.47513	NA	36.99528	NA	40.68121	NA	3857038	NA	3857588	NA	216	NA
chr1	3890895	3891316	Interval_80	1	1	TRUE	FALSE	11.97615	NA	34.62828	NA	38.26286	NA	3890895	NA	3891316	NA	228	NA
chr1	3899993	3901487	Interval_81	3	2	TRUE	TRUE	8.26919	4.08364;6.83898	31.25104	2.65854;10.23744	34.81156	5.75436;14.36351	3900169	3899993;3900499	3901487	3900279;3900891	343	75;142
chr1	4006985	4007349	Interval_82	1	1	TRUE	FALSE	9.48122	NA	23.37534	NA	26.7525	NA	4006985	NA	4007349	NA	169	NA
chr1	4007535	4008121	Interval_83	1	1	TRUE	FALSE	14.62811	NA	42.03219	NA	45.82008	NA	4007535	NA	4008121	NA	198	NA
chr1	4171073	4171244	Interval_84	1	1	TRUE	FALSE	5.16324	NA	6.06898	NA	8.85991	NA	4171073	NA	4171244	NA	64	NA
chr1	4312074	4312369	Interval_85	1	1	TRUE	FALSE	10.96277	NA	24.44048	NA	27.8414	NA	4312074	NA	4312369	NA	159	NA
chr1	4736328	4736610	Interval_86	1	1	TRUE	FALSE	8.31676	NA	27.1936	NA	30.66039	NA	4736328	NA	4736610	NA	148	NA
chr1	5295129	5295300	Interval_87	1	1	TRUE	FALSE	3.94229	NA	2.6969	NA	5.27139	NA	5295129	NA	5295300	NA	85	NA
chr1	5329139	5329373	Interval_88	1	1	TRUE	FALSE	4.6987	NA	4.36982	NA	7.06625	NA	5329139	NA	5329373	NA	77	NA
chr1	5992060	5992550	Interval_89	1	1	FALSE	TRUE	NA	5.16283	NA	5.16916	NA	8.68964	NA	5992060	NA	5992550	NA	357
chr1	6026099	6026407	Interval_90	1	1	TRUE	FALSE	5.48917	NA	12.11592	NA	15.15365	NA	6026099	NA	6026407	NA	141	NA
chr1	6028073	6028505	Interval_91	1	1	TRUE	FALSE	4.13474	NA	7.35255	NA	10.20195	NA	6028073	NA	6028505	NA	171	NA
chr1	6198858	6199939	Interval_92	2	2	TRUE	TRUE	16.0279	8.26248	51.54664	12.52741	55.52015	16.8828	6199340	6198858	6199939	6199565	268	525
chr1	6235647	6236246	Interval_93	2	2	TRUE	TRUE	15.21955	5.02353	50.61701	4.41551	54.5739	7.82162	6235716	6235647	6236233	6236246	310	447
chr1	6260003	6260220	Interval_94	1	1	TRUE	FALSE	5.09688	NA	6.97387	NA	9.8073	NA	6260003	NA	6260220	NA	93	NA
chr1	6393177	6393888	Interval_95	1	1	TRUE	FALSE	6.08863	NA	9.52268	NA	12.4632	NA	6393177	NA	6393888	NA	198	NA
chr1	6507143	6507314	Interval_96	1	1	TRUE	FALSE	4.99026	NA	8.11744	NA	11.00531	NA	6507143	NA	6507314	NA	58	NA
chr1	6554319	6554686	Interval_97	2	2	TRUE	TRUE	9.61696	4.64363	22.51517	3.88507	25.86915	7.19959	6554330	6554319	6554686	6554572	211	175
chr1	6602259	6604627	Interval_98	3	2	TRUE	TRUE	11.47716;4.59107	8.84028	32.2962;6.64339	14.37531	35.88099;9.46042	18.88527	6602259;6603445	6603063	6603372;6604393	6604627	785;621	458
chr1	6613156	6613865	Interval_99	1	1	TRUE	FALSE	25.64431	NA	102.78825	NA	107.66375	NA	6613156	NA	6613865	NA	391	NA
chr1	6624891	6625272	Interval_100	1	1	TRUE	FALSE	7.90567	NA	16.03728	NA	19.20452	NA	6624891	NA	6625272	NA	236	NA
chr1	6701338	6702223	Interval_101	2	2	TRUE	TRUE	28.58266	13.46979	119.73399	28.19568	124.90197	33.55966	6701562	6701338	6702201	6702223	416	709
chr1	6743798	6744140	Interval_102	1	1	TRUE	FALSE	6.23782	NA	10.59989	NA	13.58947	NA	6743798	NA	6744140	NA	288	NA
chr1	6784183	6785062	Interval_103	2	2	TRUE	TRUE	13.51964	7.22602	40.53546	10.06502	44.29077	14.1673	6784292	6784183	6785062	6784953	370	583
chr1	6785219	6785537	Interval_104	1	1	TRUE	FALSE	4.74087	NA	5.67621	NA	8.44714	NA	6785219	NA	6785537	NA	137	NA
chr1	7108328	7108601	Interval_105	1	1	TRUE	FALSE	12.5746	NA	43.96965	NA	47.79804	NA	7108328	NA	7108601	NA	151	NA
chr1	7108878	7109060	Interval_106	1	1	TRUE	FALSE	3.99239	NA	3.53283	NA	6.17368	NA	7108878	NA	7109060	NA	21	NA
chr1	7112567	7112889	Interval_107	2	2	TRUE	TRUE	5.07587	5.19736	6.26365	4.94958	9.05955	8.42073	7112567	7112668	7112889	7112862	163	50
chr1	7112956	7113550	Interval_108	2	2	TRUE	TRUE	7.97987	9.05708	14.69471	13.77131	17.82173	18.23264	7112956	7113178	7113474	7113550	306	170
chr1	7113728	7114307	Interval_109	1	1	TRUE	FALSE	14.04924	NA	43.75468	NA	47.57622	NA	7113728	NA	7114307	NA	224	NA
chr1	7127781	7128013	Interval_110	1	1	TRUE	FALSE	4.04651	NA	4.68633	NA	7.39951	NA	7127781	NA	7128013	NA	140	NA
chr1	7771085	7771593	Interval_111	2	2	TRUE	TRUE	14.97006	5.64069	49.34008	5.5823	53.2725	9.14742	7771085	7771204	7771593	7771553	176	228
chr1	7783913	7784084	Interval_112	1	1	TRUE	FALSE	4.49137	NA	4.93609	NA	7.66459	NA	7783913	NA	7784084	NA	74	NA
chr1	7941661	7942048	Interval_113	1	1	TRUE	FALSE	5.62001	NA	8.28419	NA	11.17737	NA	7941661	NA	7942048	NA	264	NA
chr1	7942358	7942705	Interval_114	2	2	TRUE	TRUE	4.74195	4.81864	6.31228	4.39433	9.11441	7.7897	7942358	7942359	7942705	7942606	260	149
chr1	7953943	7954607	Interval_115	2	2	TRUE	TRUE	12.26122	5.23778	35.22083	4.72	38.86615	8.16879	7953943	7954338	7954607	7954529	260	95
chr1	7961319	7962085	Interval_116	2	2	TRUE	TRUE	8.98199	3.89385	41.15717	4.1477	44.92341	7.4907	7961319	7961509	7962085	7961982	304	134
chr1	8025747	8026632	Interval_117	1	1	TRUE	FALSE	9.75085	NA	22.77702	NA	26.13525	NA	8025747	NA	8026632	NA	508	NA
chr1	8182848	8183044	Interval_118	1	1	TRUE	FALSE	3.56311	NA	3.03315	NA	5.64093	NA	8182848	NA	8183044	NA	64	NA
chr1	8211487	8211670	Interval_119	1	1	TRUE	FALSE	4.13057	NA	4.57628	NA	7.28216	NA	8211487	NA	8211670	NA	51	NA
chr1	8211801	8212236	Interval_120	1	1	TRUE	FALSE	8.89225	NA	27.06914	NA	30.53279	NA	8211801	NA	8212236	NA	306	NA
chr1	8218745	8218954	Interval_121	1	1	TRUE	FALSE	3.82589	NA	5.00735	NA	7.73977	NA	8218745	NA	8218954	NA	120	NA
chr1	8224739	8225220	Interval_122	1	1	TRUE	FALSE	5.87724	NA	8.7485	NA	11.65983	NA	8224739	NA	8225220	NA	351	NA
chr1	8395537	8395851	Interval_123	1	1	TRUE	FALSE	4.79066	NA	7.37022	NA	10.22378	NA	8395537	NA	8395851	NA	164	NA
chr1	8427446	8427905	Interval_124	1	1	TRUE	FALSE	22.97309	NA	87.85673	NA	92.46913	NA	8427446	NA	8427905	NA	292	NA
chr1	8525834	8526204	Interval_125	2	2	TRUE	TRUE	12.51665	4.64363	36.41308	3.88507	40.08451	7.19959	8525834	8525934	8526204	8526134	180	69
chr1	8703154	8703575	Interval_126	1	1	TRUE	FALSE	5.18203	NA	5.76436	NA	8.53695	NA	8703154	NA	8703575	NA	256	NA
chr1	8817354	8818177	Interval_127	3	2	TRUE	TRUE	5.95151;5.62907	6.79864	7.71939;8.67533	7.9005	10.58824;11.58364	11.76967	8817515;8817857	8817354	8817802;8818105	8818177	141;139	154
chr1	8858117	8858520	Interval_128	1	1	TRUE	FALSE	5.78863	NA	11.29008	NA	14.29954	NA	8858117	NA	8858520	NA	132	NA
chr1	8877877	8879894	Interval_129	3	2	TRUE	TRUE	20.28932	7.95633;9.65224	67.38232	11.18394;16.65486	71.63839	15.41022;21.36352	8877933	8877877;8878967	8879561	8878591;8879894	1221	543;147
chr1	8938342	8938837	Interval_130	2	2	TRUE	TRUE	17.36509	14.58473	75.91882	44.03608	80.32389	49.93954	8938342	8938428	8938837	8938815	282	181
chr1	8939832	8940205	Interval_131	2	2	TRUE	TRUE	9.1484	6.09907	32.16974	9.35168	35.74909	13.38208	8939858	8939832	8940178	8940205	166	200
chr1	9067158	9067503	Interval_132	1	1	TRUE	FALSE	4.40547	NA	4.78916	NA	7.50675	NA	9067158	NA	9067503	NA	137	NA
chr1	9069423	9069967	Interval_133	2	2	TRUE	TRUE	6.98613	3.97765	19.70677	3.37766	22.98327	6.59873	9069423	9069608	9069967	9069859	277	63
chr1	9078097	9078657	Interval_134	2	2	TRUE	TRUE	23.47698	17.00301	109.24532	47.2774	114.2255	53.26877	9078097	9078252	9078626	9078657	350	165
chr1	9094180	9094378	Interval_135	1	1	TRUE	FALSE	7.45137	NA	16.58251	NA	19.76928	NA	9094180	NA	9094378	NA	75	NA
chr1	9097736	9097907	Interval_136	1	1	TRUE	FALSE	5.36458	NA	7.45866	NA	10.3155	NA	9097736	NA	9097907	NA	120	NA
chr1	9129125	9129357	Interval_137	1	1	TRUE	FALSE	5.62001	NA	8.28419	NA	11.17737	NA	9129125	NA	9129357	NA	147	NA
chr1	9135505	9135698	Interval_138	1	1	TRUE	FALSE	3.3935	NA	2.7292	NA	5.31046	NA	9135505	NA	9135698	NA	88	NA
chr1	9164011	9164334	Interval_139	1	1	TRUE	FALSE	10.36333	NA	34.14611	NA	37.76726	NA	9164011	NA	9164334	NA	174	NA
chr1	9233399	9233602	Interval_140	1	1	TRUE	FALSE	5.36458	NA	7.45866	NA	10.3155	NA	9233399	NA	9233602	NA	116	NA
chr1	9234463	9235114	Interval_141	1	1	TRUE	FALSE	9.22397	NA	19.54551	NA	22.81763	NA	9234463	NA	9235114	NA	400	NA
chr1	9239622	9240121	Interval_142	1	1	TRUE	FALSE	9.23173	NA	22.31074	NA	25.66042	NA	9239622	NA	9240121	NA	189	NA
chr1	9275600	9275829	Interval_143	1	1	TRUE	FALSE	6.61279	NA	11.73115	NA	14.7592	NA	9275600	NA	9275829	NA	100	NA
chr1	9290429	9290732	Interval_144	1	1	TRUE	FALSE	3.52355	NA	2.51875	NA	5.08285	NA	9290429	NA	9290732	NA	23	NA
chr1	9410889	9411061	Interval_145	1	1	TRUE	FALSE	3.75603	NA	5.34625	NA	8.09744	NA	9410889	NA	9411061	NA	51	NA
chr1	9428756	9429229	Interval_146	2	2	TRUE	TRUE	17.40574	9.87284	80.07495	22.40926	84.55175	27.47226	9428756	9428807	9429229	9429168	241	190
chr1	9539188	9539936	Interval_147	1	1	TRUE	FALSE	6.48714	NA	17.0701	NA	20.26978	NA	9539188	NA	9539936	NA	197	NA
chr1	9588563	9588979	Interval_148	1	1	TRUE	FALSE	7.97771	NA	16.17641	NA	19.34569	NA	9588563	NA	9588979	NA	146	NA
chr1	9627047	9627357	Interval_149	1	1	TRUE	FALSE	7.04243	NA	12.52874	NA	15.58708	NA	9627047	NA	9627357	NA	140	NA
chr1	9629643	9630033	Interval_150	1	1	TRUE	FALSE	9.78233	NA	28.03113	NA	31.51863	NA	9629643	NA	9630033	NA	271	NA
chr1	9644809	9645157	Interval_151	1	1	TRUE	FALSE	6.79776	NA	10.76927	NA	13.76366	NA	9644809	NA	9645157	NA	139	NA
chr1	9652162	9652353	Interval_152	1	1	FALSE	TRUE	NA	4.82612	NA	4.1505	NA	7.49957	NA	9652162	NA	9652353	NA	35
chr1	9704763	9705013	Interval_153	1	1	TRUE	FALSE	5.38944	NA	9.6706	NA	12.62006	NA	9704763	NA	9705013	NA	92	NA
chr1	9717361	9717906	Interval_154	2	2	TRUE	TRUE	6.48731	4.13236	11.48975	2.71249	14.51252	5.83229	9717620	9717361	9717906	9717650	134	165
chr1	9893209	9893486	Interval_155	1	1	TRUE	FALSE	7.01076	NA	11.14034	NA	14.14283	NA	9893209	NA	9893486	NA	149	NA
chr1	9900472	9900770	Interval_156	1	1	TRUE	FALSE	5.21745	NA	8.24191	NA	11.13222	NA	9900472	NA	9900770	NA	153	NA
chr1	9910148	9910854	Interval_157	1	1	TRUE	FALSE	6.65347	NA	17.9365	NA	21.16345	NA	9910148	NA	9910854	NA	206	NA
chr1	9943059	9943575	Interval_158	1	1	TRUE	FALSE	9.11582	NA	18.80422	NA	22.05483	NA	9943059	NA	9943575	NA	336	NA
chr1	9950433	9950897	Interval_159	1	1	TRUE	FALSE	5.40253	NA	8.24615	NA	11.13763	NA	9950433	NA	9950897	NA	316	NA
chr1	9950960	9951225	Interval_160	1	1	TRUE	FALSE	8.23376	NA	18.18075	NA	21.41391	NA	9950960	NA	9951225	NA	139	NA
chr1	10032582	10033083	Interval_161	1	1	TRUE	FALSE	4.49112	NA	10.40853	NA	13.38262	NA	10032582	NA	10033083	NA	316	NA
chr1	10074341	10074714	Interval_162	1	1	TRUE	FALSE	7.78457	NA	20.2361	NA	23.53056	NA	10074341	NA	10074714	NA	218	NA
chr1	10210287	10210592	Interval_163	1	1	TRUE	FALSE	5.32285	NA	11.33271	NA	14.34508	NA	10210287	NA	10210592	NA	158	NA
chr1	10378631	10378834	Interval_164	1	1	TRUE	FALSE	4.51616	NA	5.58177	NA	8.34329	NA	10378631	NA	10378834	NA	85	NA
chr1	10398733	10399134	Interval_165	1	1	TRUE	FALSE	6.9862	NA	16.50056	NA	19.68479	NA	10398733	NA	10399134	NA	106	NA
chr1	10399183	10399376	Interval_166	1	1	FALSE	TRUE	NA	4.24283	NA	4.0294	NA	7.36533	NA	10399183	NA	10399376	NA	46
chr1	10400557	10400898	Interval_167	1	1	TRUE	FALSE	9.05516	NA	21.95691	NA	25.292	NA	10400557	NA	10400898	NA	144	NA
chr1	10415144	10415585	Interval_168	1	1	TRUE	FALSE	5.90755	NA	8.4151	NA	11.31321	NA	10415144	NA	10415585	NA	344	NA
chr1	10430236	10431026	Interval_169	2	2	TRUE	TRUE	20.7158	6.23381	72.53864	7.07065	76.88559	10.83971	10430236	10430404	10431026	10430721	438	134
chr1	10472269	10472753	Interval_170	2	2	TRUE	TRUE	6.9862	4.35208	16.50056	3.70055	19.68479	6.99419	10472468	10472269	10472753	10472532	133	75
chr1	10475133	10475332	Interval_171	1	1	TRUE	FALSE	3.3935	NA	2.7292	NA	5.31046	NA	10475133	NA	10475332	NA	94	NA
chr1	10484501	10484985	Interval_172	1	1	TRUE	FALSE	10.55886	NA	35.2333	NA	38.879	NA	10484501	NA	10484985	NA	170	NA
chr1	10940186	10940397	Interval_173	1	1	TRUE	FALSE	3.99229	NA	4.57714	NA	7.28745	NA	10940186	NA	10940397	NA	59	NA
chr1	10965048	10965958	Interval_174	1	1	TRUE	FALSE	10.56971	NA	29.75931	NA	33.28615	NA	10965048	NA	10965958	NA	134	NA
chr1	11012310	11013029	Interval_175	2	2	TRUE	TRUE	3.43768	5.83389	5.89954	8.52396	8.67725	12.46057	11012310	11012345	11012818	11013029	311	76
