GENE,VHL_3h,DMSO_3h,VHL_6h,DMSO_6h
ATP6V1A,1338.0,1718.5,1506.0,1965.0
ATP6V1B2,6540.0,7688.5,5966.5,7653.0
ATP6V0C,1284.5,1775.5,1266.5,1487.5
ATP6V1C1,3032.5,4044.0,2710.0,3317.5
ATP6V1E1,1078.0,1300.0,1011.0,1364.0
ATP6V0B,450.5,481.5,466.5,556.0
ATP6V0A1,209.5,290.5,239.0,266.0
ATP6AP1,856.0,1067.5,915.5,1046.5
ATP7A,121.5,157.0,69.5,103.0
ATP5PO,529.5,685.5,556.5,637.0
ATP7B,9.5,12.0,4.5,2.5
ATR,21.5,28.5,21.5,29.0
ATRX,868.0,1277.0,871.5,1075.0
KIF1A,1.5,0.5,0.5,0.5
AUH,45.5,52.0,54.5,40.5
AUP1,3870.5,4748.0,3554.0,4304.5
AVPR2,18.0,25.0,1.5,3.0
AXL,12.5,19.5,21.5,23.5
B2M,3633.5,3590.0,3637.5,3968.0
BACH1,609.0,811.0,443.5,781.5
BAD,132.5,153.0,151.5,181.0
BAG1,928.0,1170.5,799.5,837.0
ADGRB1,7.5,12.5,5.0,6.0
BAK1,327.5,509.5,370.5,464.0
NKX3-2,15.0,23.5,17.5,27.0
BARD1,1493.5,1981.0,838.0,1299.5
BAX,352.0,504.5,366.5,419.0
BBS1,149.5,175.0,93.0,112.0
BBS2,24.0,28.0,14.0,19.5
BBS4,157.0,172.5,187.5,195.5
BCAT1,10421.0,13739.0,3941.0,3965.5
BCAT2,266.0,298.5,244.0,281.5
BCKDHA,488.5,510.5,247.5,269.0
BCKDHB,253.0,287.0,160.0,228.0
CCND1,1716.5,1645.0,1949.5,1230.5
BCL2,6475.0,8374.0,5608.5,6713.0
BCL2A1,3.0,7.0,1.5,4.0
BCL2L1,888.5,1301.5,621.0,871.0
BCL2L2,339.5,597.0,253.0,453.0
BCL3,246.0,271.5,168.5,131.5
BCL6,37.0,42.0,43.5,79.5
BCL7A,1750.5,2419.0,1034.5,1795.0
BCL9,56.0,97.5,51.5,67.0
OPN1SW,32.0,37.5,23.5,41.0
BCR,31.0,37.5,30.0,41.0
BCS1L,49.5,68.0,72.5,66.0
BDH1,3.0,3.0,1.5,2.0
BDNF,6.5,15.0,4.0,17.5
BFSP1,6.0,6.0,3.0,4.5
BGLAP,26.5,50.5,17.5,21.5
CEACAM1,7.0,4.5,2.0,4.0
BICD1,3.0,5.0,13.0,9.0
BID,1215.0,1455.5,1188.5,1499.5
BIK,64.0,96.0,51.5,89.0
PRDM1,125.5,65.5,262.5,123.0
BLM,59.0,95.0,67.5,90.5
BLMH,568.5,700.0,719.5,781.5
CXCR5,17.5,24.0,12.5,13.5
BLVRA,2.5,8.0,7.5,8.5
BLVRB,84.5,89.5,54.5,73.0
BMI1,497.0,767.5,443.0,489.0
BMP1,296.0,462.0,387.5,417.0
BMP2,97.5,171.5,32.5,158.0
BMP6,664.5,706.5,705.0,791.5
BMP8B,146.5,225.0,72.0,85.5
BMPR1A,93.5,120.5,107.5,153.5
BMPR2,188.0,269.5,234.5,250.5
POLR3D,339.5,446.0,365.5,413.0
BNIP1,70.5,109.0,81.0,95.5
BNIP2,3683.5,4623.0,2615.5,3371.5
BNIP3,359.0,413.5,33.5,46.5
BNIP3L,6316.5,7823.0,2331.0,2482.5
BOK,7.0,8.5,1.5,1.0
DST,53.5,71.5,72.0,105.0
BPGM,219.5,282.0,280.0,382.5
BPHL,46.0,55.5,45.0,40.5
BRCA1,6331.5,7588.0,5607.0,6847.5
BRAF,10.5,16.0,8.0,8.5
BRCA2,1082.5,1231.0,1106.5,1513.5
ZFP36L1,511.0,581.0,395.0,360.5
ZFP36L2,2416.5,4661.0,1830.0,3967.0
BSG,5594.5,7380.0,5884.0,6935.0
BST1,1.0,0.5,1.0,3.0
BST2,1006.5,1463.0,985.0,1080.0
BTD,69.5,77.0,41.0,48.5
KLF9,641.5,482.5,399.0,421.5
KLF5,31.5,52.0,10.0,36.5
BTF3,3027.0,4063.5,2538.5,3040.0
BTG1,717.5,806.5,522.0,921.5
BTK,681.0,940.5,727.0,819.5
BUB1,230.0,283.0,183.0,282.0
BUB1B,418.5,543.0,384.5,574.0
BYSL,380.5,507.0,380.5,466.5
TSPO,406.0,403.0,358.5,404.0
C1QBP,2540.0,2760.5,2214.5,2759.5
C1R,3.5,7.5,1.0,4.5
C3,4.0,2.5,9.5,7.5
C3AR1,5.0,4.5,24.5,6.5
CAPN5,17.0,17.0,7.5,12.5
C5,65.5,77.5,57.0,65.5
C5AR1,41.5,45.5,7.5,5.5
OSGIN2,624.0,833.0,508.5,684.5
VPS51,112.0,142.0,93.5,101.0
MRPL49,1263.0,1594.0,1115.5,1520.5
ZNHIT2,8.5,13.5,8.5,16.5
MYRF,22.0,44.5,14.5,14.5
TMEM258,436.0,468.5,429.5,481.0
DAGLA,13.0,35.0,7.0,16.0
GAS8-AS1,1.5,3.0,1.0,1.5
FMNL1,585.0,809.5,547.0,545.0
LDLRAD4,947.0,1306.5,663.0,1146.0
PTTG1IP,4153.0,5171.0,2830.5,3427.5
CFAP410,254.0,369.5,135.5,159.5
TMEM50B,44.5,44.5,46.5,50.0
MPPED1,0.5,3.5,0.0,4.0
CA3,3.5,1.5,0.0,0.5
CA7,7.0,7.0,1.5,6.5
CA11,49.5,52.5,31.0,38.5
CACNA1A,25.5,27.5,10.0,7.0
CACNA1E,215.5,287.0,75.0,128.5
CACNB1,2.0,4.0,0.0,0.5
CACNB2,28.5,33.0,23.5,25.5
CACNB3,54.5,96.5,62.5,83.0
CACNB4,7.5,10.0,3.0,8.0
SLC25A20,50.5,77.5,79.5,99.5
CAD,170.0,202.5,214.5,257.5
CALM1,6659.5,7070.5,6937.5,6174.0
CALM2,7941.0,9111.0,6368.5,8240.5
CALM3,9846.0,14567.0,7419.0,9649.0
CALR,9648.5,12115.5,18135.0,19425.0
CALU,5096.5,6269.0,3836.0,4515.0
CAMK2A,1.0,1.0,1.0,3.0
CAMK2D,269.5,390.5,197.0,243.5
CAMK2G,678.0,905.5,672.0,818.0
CAMLG,190.5,239.0,212.5,251.5
CANX,19368.0,23850.0,18323.0,21101.5
CAPG,350.5,416.5,308.5,336.0
CAPN1,692.5,962.5,684.5,743.5
CAPN2,2534.5,3213.0,3847.0,4606.5
CAPN3,32.0,40.0,25.5,42.0
CAPNS1,2592.0,3459.5,2362.0,2712.0
CAPS,53.5,92.0,62.5,60.5
CAPZA1,10849.5,13808.0,9746.0,11227.0
CAPZA2,1399.5,1664.0,1391.5,1689.0
CAST,381.5,495.0,276.5,313.5
CAPZB,3842.0,4804.0,3555.0,3876.5
CARS1,284.5,351.0,188.0,190.5
CASP1,71.0,80.0,55.0,78.0
CASP2,4143.5,6155.5,3190.0,4674.5
CASP3,2178.0,2365.5,2020.0,2466.0
CASP4,63.0,83.0,35.5,48.5
CASP6,310.0,372.5,260.5,321.5
CASP7,647.5,722.0,575.0,495.0
CASP8,479.5,523.0,416.0,426.0
CASP9,352.5,424.5,286.5,333.5
CASP10,234.0,339.0,303.0,348.0
CAT,1750.5,1974.0,2039.0,1823.0
CAV1,11.5,21.5,8.0,10.5
RUNX2,5470.5,7204.0,3849.5,4640.0
RUNX1,6504.0,8344.0,5051.5,6749.0
CBFA2T3,3503.0,5685.5,3631.5,4900.0
RUNX3,5944.0,8016.0,6748.0,6558.5
CBFB,4632.0,6391.0,4053.0,5212.5
CBL,1750.0,2743.5,1048.0,1551.0
CBLB,208.5,306.0,152.0,254.5
CBLN1,3.0,8.0,8.5,5.5
SERPINH1,469.0,611.5,515.5,651.0
CBR1,501.0,617.5,657.0,651.0
CBR3,1.5,6.5,4.0,4.0
CBS,3.5,4.5,1.0,1.5
KYAT1,83.5,135.0,53.5,84.5
KRIT1,414.5,517.5,415.0,510.0
CCNA2,2456.5,3627.5,2277.0,3012.0
CCNB1,858.0,1054.0,732.0,1046.0
CCNC,1664.0,1937.0,1543.0,1759.5
CCND2,6620.5,8640.5,4992.5,4498.5
CCND3,5391.0,7218.5,3871.0,5110.0
CCNE1,101.5,213.5,98.0,155.0
CCNF,985.5,1573.5,1084.0,1601.0
CCNG1,2820.0,3464.0,1889.0,2372.5
CCNG2,264.0,418.5,207.5,425.0
CCNH,85.5,90.0,59.0,66.5
CCNT1,2072.5,3417.0,1609.5,2576.5
CCNT2,396.0,536.0,423.0,711.0
CCT6A,3894.0,4827.0,5051.5,6058.0
CD1A,18.0,36.5,27.0,45.5
CD1B,3.0,2.0,1.5,1.5
CD1C,4.5,12.0,3.0,4.5
CD1D,268.5,372.0,109.5,228.0
CD1E,30.0,40.5,10.0,10.5
CD3E,0.5,0.5,0.0,0.0
CD4,928.0,1138.5,947.5,1258.5
CD5,3.5,5.5,1.0,4.0
CD6,5.0,8.0,4.0,3.5
CD8A,5.0,4.0,0.0,0.5
CD9,1.0,2.5,1.0,1.5
CD19,5.5,4.5,1.5,3.0
MS4A3,1495.0,1721.5,1959.0,3069.0
CD27,10.0,17.0,6.5,4.5
CD28,59.0,64.0,8.0,11.0
CD80,6.0,5.0,9.5,2.0
CD86,258.0,307.0,140.5,148.0
TNFRSF8,7.5,8.5,4.5,6.0
CD33,605.0,776.5,438.5,637.0
SIGLEC6,248.5,381.0,183.5,394.0
CD36,97.0,109.0,207.0,202.0
SCARB1,569.5,706.0,770.5,733.0
SCARB2,201.5,262.0,172.0,244.5
CD37,91.5,92.0,57.5,68.0
CD38,3163.5,3991.5,1092.5,1877.0
ENTPD1,1007.5,1373.0,1191.5,1471.0
ENTPD6,245.0,338.0,283.0,291.5
ENTPD5,366.0,488.0,269.0,368.0
CD40,2.5,4.0,3.0,4.5
CD44,12110.5,12784.5,12458.5,11088.0
CD47,2099.5,3010.5,1663.5,2310.0
CD48,4.0,8.5,4.5,14.0
CD53,4250.0,4763.5,2693.5,3511.5
CD58,795.0,911.5,571.0,714.0
CD59,4.0,10.0,23.0,30.0
CD63,484.0,572.0,586.0,546.0
CD68,2133.0,2233.0,2022.0,2229.0
CD70,4.0,5.0,6.5,3.5
CD72,101.5,164.5,39.0,49.0
CD74,14636.0,18123.5,13186.5,14736.0
CD79A,98.5,140.0,53.5,58.5
CD81,1213.0,1698.0,1374.5,1597.0
ADGRE5,1703.5,1969.5,1271.5,1302.5
CD151,654.5,813.0,735.5,732.0
CDA,1.0,1.0,0.5,3.5
CDK1,1105.5,1609.5,1200.5,1484.0
LRBA,264.0,334.5,234.5,282.5
CDC5L,1437.0,2014.5,1500.0,1794.0
SEPTIN7,2027.0,2916.5,1634.5,1904.0
CDC6,708.5,994.5,513.0,817.5
CDC20,163.5,185.5,162.0,208.5
CDC25A,995.0,1703.5,715.5,1296.0
CDC25B,650.5,904.0,827.0,933.0
CDC25C,79.0,97.0,74.5,96.5
CDC27,1888.5,2600.0,1553.5,2262.0
CDC34,285.5,420.5,313.0,379.0
CDC42,9879.0,11154.5,8266.0,9231.5
CDH15,8.5,16.5,6.5,5.5
CDH17,3.0,4.5,4.0,1.5
CDK2,2223.5,2816.5,1726.5,2383.0
CDK3,36.0,59.0,37.0,39.0
CDK4,1690.5,1942.0,1270.0,1486.5
CDK5,36.5,52.0,46.5,48.5
CDK6,5883.0,7515.5,5000.0,4726.0
CDK8,285.0,374.5,421.0,555.5
CDK9,429.0,689.5,334.5,462.0
CDKN1A,826.0,508.0,477.5,259.5
CDKN1B,566.5,1143.5,427.5,909.0
CDKN1C,1.0,3.0,2.0,2.0
CDKN2A,1244.0,1390.5,988.0,1129.0
CDKN2B,45.5,52.5,49.5,47.5
CDKN2C,269.5,348.5,210.0,313.0
CDKN2D,686.0,898.0,219.0,389.5
CDKN3,139.0,214.5,107.5,117.0
CDR2,177.5,295.0,160.5,281.0
CDS1,2.0,4.5,2.5,2.0
CD52,135.0,185.5,125.0,145.5
CDX1,3.5,3.0,2.0,0.5
CDX2,11.5,15.5,7.5,15.0
CEBPA,7419.5,13146.0,5421.0,8777.0
CEBPB,274.5,320.0,213.0,272.0
CEBPD,105.5,140.0,61.0,121.0
CEBPG,4641.5,6157.0,3058.0,3642.0
CEL,1.5,4.0,3.0,2.0
CENPA,1141.0,1352.0,977.0,1508.0
CENPB,1008.0,1551.5,817.5,1030.0
CENPC,10.0,21.5,6.5,8.5
CENPE,108.5,162.5,79.0,137.0
CENPF,951.5,1285.5,952.0,1261.0
CETN2,373.5,380.0,489.0,588.5
CETN3,88.5,157.5,67.5,95.5
CFL1,11648.5,14329.5,12196.5,12786.0
CFL2,141.0,233.5,94.5,186.0
CTSC,2623.5,3411.5,1873.5,2180.0
CHAD,5.0,9.5,3.0,8.5
RCBTB2,127.0,143.5,163.5,150.5
RCC1,2061.0,2744.0,2373.0,2872.5
CHD1,519.5,844.5,419.0,629.0
CHD2,698.5,959.0,544.5,852.0
CHD3,317.5,488.0,476.5,434.5
CHD4,1465.5,1824.5,1472.0,1317.0
CHEK1,1493.5,1974.0,1339.5,1743.0
FOXN3,5995.0,7958.5,2668.5,3627.5
CHGB,2.0,5.0,0.5,2.0
CHI3L1,6436.0,7823.0,7524.0,10239.0
CHIT1,0.5,1.0,4.0,1.5
CHKA,514.5,738.5,480.5,622.5
CHKB,129.0,143.5,136.0,136.5
CHM,453.5,577.0,359.5,468.5
CHML,11313.0,14631.5,7077.0,10165.5
CHN1,1.5,4.0,7.0,7.5
LYST,3602.5,4238.5,2700.0,3985.0
CHRM4,3.5,6.5,2.0,2.5
CHRM5,6.5,7.5,1.0,3.0
CHRNA3,4.0,6.0,6.5,6.0
CHRNA5,7.5,10.0,9.5,8.0
CHRNB1,143.0,183.0,138.5,161.0
CHRNB2,2.5,5.0,1.5,2.0
CHRND,2.5,5.5,1.0,0.0
CHRNE,125.5,179.0,162.0,165.0
CHRNG,5.0,9.5,8.0,10.5
CHUK,841.5,1073.0,893.0,1121.0
CKB,79.5,89.0,106.5,136.0
CIRBP,6092.0,7624.5,4817.5,5756.0
CISH,820.5,1450.5,232.5,494.5
TBCB,748.5,909.0,692.5,828.0
CKM,0.5,1.0,0.0,0.5
ERCC8,138.5,156.0,134.5,142.5
CKS1B,107.5,142.5,108.5,119.5
CKS2,136.5,209.5,119.0,179.0
AP2M1,1580.5,1901.5,1782.0,2032.5
AP1S1,696.0,911.0,734.5,860.5
AP2S1,1252.0,1402.5,1352.5,1417.5
AP3S1,783.5,1008.0,663.5,735.0
CLCN2,26.0,42.0,33.0,33.5
CLCN3,662.0,877.0,690.5,879.5
CLCN4,987.5,1002.5,673.5,736.5
CLCN5,423.5,525.5,431.0,578.0
CLCN6,243.5,328.0,208.5,241.0
CLCN7,549.0,768.0,531.0,602.5
CLCNKA,3.0,3.0,0.0,0.5
CLU,171.0,202.0,412.0,539.0
CLIC2,19.0,21.0,14.0,18.5
CLK1,843.5,1379.5,630.5,1083.0
CLK2,0.5,3.0,1.0,1.5
1197,267.5,308.5,427.5,617.0
CLK3,100.5,131.0,93.0,107.0
TPP1,9198.0,11631.5,5137.5,5772.0
CLN3,93.0,117.5,135.5,126.0
CLN5,198.5,244.5,166.5,219.5
CLNS1A,4137.5,4582.0,2445.0,3311.0
CLPTM1,486.0,688.5,546.5,624.5
CLTA,1846.0,1943.0,1675.5,2025.5
CLTB,726.5,959.5,762.5,968.0
CLTC,4541.0,5351.5,5230.5,6461.5
CCR1,3372.0,2107.5,2929.0,1701.0
CCR3,10.5,9.0,2.5,2.5
CCR5,774.5,459.5,818.5,227.0
CCR6,539.0,850.0,560.0,512.5
CCR7,13.5,21.0,51.0,36.0
ACKR2,6.0,9.5,2.0,1.0
LTB4R,216.5,309.5,191.0,281.0
ABCC2,22.0,26.5,15.0,27.5
CNGA4,1.5,2.0,0.5,2.5
PLK3,16.5,20.0,16.0,22.0
CNN2,8449.0,11276.5,5840.5,6496.5
CNP,2381.5,3114.0,2407.5,2674.5
CNR2,14.0,21.5,18.5,38.5
CNTF,65.5,105.0,43.5,43.0
COL1A1,0.5,3.0,1.5,5.0
COL4A2,29.5,35.5,58.5,59.0
COL4A4,9.0,14.5,7.0,11.0
COL5A1,5.5,5.5,6.0,8.0
COL5A2,3.0,5.5,3.0,1.5
COL6A1,59.0,99.5,191.5,179.0
COL6A2,4.0,6.0,19.5,18.0
COL6A3,0.5,1.5,3.0,3.0
COL7A1,45.5,61.0,49.5,39.5
COL8A2,7.0,22.0,7.5,8.5
COL9A2,105.5,153.5,47.0,68.5
COL9A3,85.5,93.5,46.0,66.0
COL15A1,46.5,63.0,33.0,31.5
COMT,1249.5,1273.0,854.5,1026.0
COPA,1883.0,2390.0,1398.0,1676.0
COPB1,246.5,370.0,245.5,289.0
KLF6,329.5,311.5,361.0,505.0
SLC31A1,2539.0,2930.5,1093.0,1281.0
SLC31A2,144.5,198.0,133.0,235.5
