GENE,VHL_3h,DMSO_3h,VHL_6h,DMSO_6h
ARF3,61.0,220.5,22.0,25.0
ARF4,20.5,100.0,13.0,10.5
ARL4D,1.0,2.0,0.5,1.5
ARF5,2.5,12.0,2.5,2.5
ARF6,214.5,568.0,114.5,128.0
ARG2,0.0,0.0,0.0,0.0
RHOA,137.5,338.0,62.0,77.5
RHOB,19.0,39.5,7.5,17.0
RHOC,3.0,5.5,1.5,0.5
RND3,0.0,1.0,0.0,0.0
RHOG,59.5,156.5,34.0,28.0
ARHGAP1,33.5,104.0,25.0,30.0
ARHGAP4,1.0,5.5,2.0,1.5
ARHGAP5,1.5,9.0,0.0,1.0
ARHGDIA,177.0,391.0,70.5,69.0
ARHGDIB,73.5,237.0,54.5,79.0
RHOH,13.0,37.5,8.0,9.5
ARL1,10.0,36.5,6.5,5.0
PHOX2A,0.0,0.0,0.0,0.0
ARL2,1.0,2.0,1.5,2.0
ARL3,0.0,7.0,0.5,2.0
ARNT,9.5,44.0,7.5,10.0
ARNTL,2.0,7.5,2.5,3.0
ARRB1,49.5,172.0,23.0,20.0
ARRB2,16.0,66.5,11.5,10.5
ARSA,1.0,7.5,1.0,1.0
ARSB,18.0,65.0,14.5,22.0
STS,5.5,17.0,3.5,3.0
ARSD,0.5,0.0,0.5,0.5
ARVCF,0.0,0.0,0.0,0.0
ASAH1,2.0,9.5,1.0,3.5
ASCL2,2.5,3.5,3.0,2.0
ASGR2,0.0,2.0,0.0,0.0
ASIP,0.0,0.0,0.0,0.0
ASL,0.0,1.0,0.0,0.0
GET3,2.5,10.0,3.5,2.5
ASNS,1.0,2.5,0.5,0.5
ASPH,15.5,61.0,9.5,9.5
ASS1,1.0,2.5,3.5,1.0
ZFHX3,0.5,2.5,1.5,1.5
ATF1,9.0,29.0,6.5,6.5
ATF3,43.0,53.5,85.0,46.0
ATF4,45.0,101.0,32.0,43.0
ATIC,4.0,11.0,2.0,2.5
ATM,16.5,76.5,16.0,19.5
RERE,26.0,114.5,11.0,14.5
ATOX1,3.0,4.5,0.0,1.0
ATP1A1,12.5,26.5,7.5,8.5
ATP1A2,0.0,0.0,0.0,0.0
ATP1A3,2.0,9.5,2.0,4.0
ATP1B1,0.0,0.0,0.0,0.0
ATP1B3,27.5,85.5,10.0,19.0
ATP2A1,0.5,1.0,0.0,0.0
ATP2A2,99.0,317.5,34.0,47.5
ATP2A3,23.0,77.5,12.5,8.0
ATP2B1,14.5,52.0,13.0,11.5
ATP2B2,2.0,4.5,0.0,1.0
ATP2B3,0.0,3.0,0.0,0.0
ATP2B4,79.0,301.5,39.5,42.0
ATP5F1A,2.0,16.0,2.0,3.0
ATP5F1B,9.0,24.5,9.5,12.0
ATP5F1C,0.0,2.5,0.5,1.0
ATP5F1D,6.5,8.0,2.5,6.0
ATP5F1E,8.0,16.0,2.0,4.5
ATP5PB,7.0,28.0,8.0,7.5
ATP5MC1,2.0,4.0,1.0,0.5
ATP5MC2,8.0,28.0,6.5,7.0
ATP5MC3,14.5,61.0,9.5,16.5
ATP5ME,4.5,11.0,6.5,3.0
ATP5PF,0.0,3.5,1.5,0.0
ATP6V1A,8.0,26.5,7.0,8.0
ATP6V1B2,37.5,151.5,44.5,45.0
ATP6V0C,15.0,44.0,11.0,13.5
ATP6V1C1,25.5,127.0,21.0,19.5
ATP6V1E1,14.5,37.0,8.0,9.0
ATP6V0B,18.0,50.5,9.0,16.0
ATP6V0A1,8.0,23.0,5.0,5.5
ATP6AP1,4.0,19.5,4.0,5.0
ATP7A,1.0,3.0,0.0,0.0
ATP5PO,1.5,3.5,1.0,0.5
ATP7B,0.0,0.0,0.0,0.0
ATR,0.0,3.0,0.5,0.5
ATRX,12.5,47.0,7.5,7.5
KIF1A,0.0,0.0,0.0,0.0
AUH,0.5,2.0,0.0,0.0
AUP1,116.5,308.0,59.0,80.0
AVPR2,0.0,0.0,0.0,0.0
AXL,0.0,0.5,0.0,0.0
B2M,7.5,21.0,15.0,5.0
BACH1,52.5,154.5,21.5,25.0
BAD,2.0,4.0,1.5,0.0
BAG1,39.0,101.5,20.5,12.0
ADGRB1,0.0,0.5,0.0,0.0
BAK1,10.0,37.0,7.5,8.5
NKX3-2,1.0,3.5,0.5,0.0
BARD1,26.5,151.0,17.0,21.5
BAX,5.5,22.0,6.5,2.0
BBS1,3.0,10.0,1.5,0.5
BBS2,0.0,0.0,0.0,0.0
BBS4,2.0,10.5,4.0,1.5
BCAT1,26.0,106.5,15.0,16.0
BCAT2,2.0,4.0,2.5,2.0
BCKDHA,2.5,8.5,3.0,3.5
BCKDHB,0.0,5.5,0.5,2.0
CCND1,59.0,155.0,37.5,15.5
BCL2,258.0,792.0,104.0,114.5
BCL2A1,0.0,1.0,0.0,0.0
BCL2L1,23.5,91.5,14.0,13.0
BCL2L2,24.0,103.5,10.5,19.0
BCL3,22.0,30.0,6.5,4.0
BCL6,0.5,9.0,1.5,3.0
BCL7A,147.0,357.5,56.0,81.5
BCL9,2.5,12.0,2.0,1.0
OPN1SW,0.0,0.0,0.0,0.0
BCR,2.5,3.5,0.0,0.5
BCS1L,0.5,3.5,0.0,0.0
BDH1,0.0,0.0,0.0,0.0
BDNF,0.5,5.5,0.0,1.5
BFSP1,0.0,0.0,0.0,0.0
BGLAP,0.0,2.5,0.0,0.0
CEACAM1,0.0,0.0,0.0,0.0
BICD1,0.0,0.0,0.0,0.0
BID,24.5,75.0,12.5,13.0
BIK,6.0,8.5,1.5,1.0
PRDM1,44.5,34.0,43.5,15.5
BLM,1.5,9.5,0.0,2.5
BLMH,8.0,23.0,3.5,7.5
CXCR5,0.0,1.5,0.0,0.5
BLVRA,0.0,0.0,0.0,0.0
BLVRB,0.0,0.0,0.0,0.0
BMI1,2.5,26.5,2.0,1.5
BMP1,11.0,32.0,6.0,7.5
BMP2,9.0,50.0,4.0,5.5
BMP6,0.0,0.0,0.0,0.0
BMP8B,2.0,8.0,0.5,0.0
BMPR1A,2.0,12.5,6.0,2.0
BMPR2,1.5,11.5,0.0,1.0
POLR3D,23.5,56.0,9.0,8.0
BNIP1,3.5,17.5,3.0,5.5
BNIP2,61.5,245.0,32.0,50.5
BNIP3,0.5,0.5,0.0,0.0
BNIP3L,8.5,34.5,9.0,6.5
BOK,0.0,0.0,0.0,0.0
DST,0.5,4.0,2.0,2.5
BPGM,2.0,11.5,3.5,6.0
BPHL,0.0,0.0,0.5,0.0
BRCA1,43.0,160.0,30.0,25.5
BRAF,0.0,0.0,0.0,0.0
BRCA2,18.0,70.0,13.5,18.5
ZFP36L1,148.5,245.0,110.0,71.5
ZFP36L2,855.0,2370.5,435.5,519.0
BSG,34.5,92.5,14.0,17.5
BST1,0.0,0.0,0.0,0.0
BST2,1.5,6.0,5.5,1.0
BTD,0.0,2.5,0.0,0.0
KLF9,26.0,59.5,31.5,18.0
KLF5,0.0,8.5,0.5,1.0
BTF3,14.0,54.5,8.0,12.5
BTG1,18.5,66.5,10.0,22.5
BTK,6.0,26.0,7.0,4.5
BUB1,1.0,6.5,0.0,0.0
BUB1B,3.0,20.5,3.5,7.5
BYSL,34.0,83.0,19.0,22.0
TSPO,3.0,4.5,0.5,1.0
C1QBP,21.5,54.5,17.5,20.5
C1R,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0
C3AR1,0.0,0.0,1.0,0.5
CAPN5,0.0,0.0,0.0,0.0
C5,0.0,2.0,0.0,0.0
C5AR1,0.0,0.5,0.0,0.0
OSGIN2,15.0,50.0,7.5,8.5
VPS51,0.5,0.5,0.0,0.0
MRPL49,36.5,113.0,20.5,23.0
ZNHIT2,0.5,2.0,1.0,1.0
MYRF,0.0,0.0,0.0,0.0
TMEM258,0.5,8.0,0.0,2.0
DAGLA,0.5,3.5,0.0,0.5
GAS8-AS1,0.0,0.0,0.0,0.0
FMNL1,13.5,35.0,8.5,9.5
LDLRAD4,41.5,142.0,21.5,30.0
PTTG1IP,44.0,128.5,20.5,31.5
CFAP410,1.0,3.0,2.0,0.5
TMEM50B,0.5,1.0,0.0,0.0
MPPED1,0.0,0.0,0.0,0.5
CA3,0.0,0.0,0.0,0.0
CA7,0.0,0.0,0.0,0.0
CA11,0.0,1.0,0.0,0.0
CACNA1A,0.0,2.5,0.5,0.0
CACNA1E,3.5,12.5,0.0,0.5
CACNB1,0.0,0.5,0.0,0.0
CACNB2,0.0,0.0,0.0,0.0
CACNB3,2.5,7.0,0.5,1.0
CACNB4,0.0,0.0,0.0,0.0
SLC25A20,0.5,2.0,1.0,1.5
CAD,5.0,8.5,4.0,2.5
CALM1,57.5,154.5,37.5,22.0
CALM2,35.5,188.5,24.0,29.5
CALM3,73.0,248.5,29.5,36.0
CALR,140.0,455.0,97.0,106.5
CALU,49.0,276.5,26.0,28.0
CAMK2A,0.0,0.0,0.0,0.0
CAMK2D,1.5,13.0,1.5,2.0
CAMK2G,37.5,107.0,17.5,18.5
CAMLG,1.5,9.0,1.0,2.0
CANX,70.0,351.5,52.0,46.0
CAPG,1.5,6.0,1.0,0.5
CAPN1,4.5,10.5,3.5,2.0
CAPN2,29.0,106.0,14.5,12.0
CAPN3,0.0,3.0,0.5,0.0
CAPNS1,24.0,54.5,7.0,9.0
CAPS,0.0,1.0,0.0,0.0
CAPZA1,47.5,274.5,31.0,34.5
CAPZA2,9.0,37.0,7.5,8.0
CAST,0.5,6.0,0.0,1.5
CAPZB,19.0,55.5,10.5,11.5
CARS1,2.0,5.0,3.0,1.5
CASP1,0.0,4.0,0.5,1.5
CASP2,117.0,465.5,50.0,65.0
CASP3,37.5,129.0,24.0,14.0
CASP4,0.0,2.5,1.5,0.0
CASP6,1.0,7.5,1.5,2.5
CASP7,11.0,41.0,7.5,7.0
CASP8,6.5,26.0,7.5,6.0
CASP9,1.5,2.0,3.0,3.0
CASP10,6.0,15.5,5.5,4.0
CAT,9.5,14.0,9.0,7.0
CAV1,0.0,0.0,0.0,0.0
RUNX2,429.0,1505.0,226.0,192.0
RUNX1,272.0,1025.0,136.5,139.5
CBFA2T3,167.5,717.5,83.5,65.0
RUNX3,645.5,1415.5,325.0,271.5
CBFB,47.5,191.0,19.5,20.5
CBL,54.0,223.0,15.5,29.5
CBLB,5.0,21.5,3.0,6.5
CBLN1,0.0,0.0,0.0,0.0
SERPINH1,1.5,14.0,4.5,4.5
CBR1,13.5,36.5,6.5,7.0
CBR3,0.0,1.0,0.0,0.0
CBS,0.0,0.0,0.0,0.0
KYAT1,3.0,9.0,2.5,3.5
KRIT1,3.0,18.0,2.5,4.0
CCNA2,22.0,89.5,10.0,18.0
CCNB1,8.5,47.5,7.5,7.5
CCNC,7.5,32.0,4.0,9.0
CCND2,338.5,914.5,105.0,74.0
CCND3,159.5,516.5,71.5,65.5
CCNE1,10.0,36.0,6.0,7.0
CCNF,60.0,246.0,37.0,44.0
CCNG1,16.0,91.0,11.0,16.5
CCNG2,4.5,34.5,4.0,7.5
CCNH,1.5,3.5,0.5,1.5
CCNT1,174.5,714.0,64.0,101.0
CCNT2,33.0,139.5,26.5,35.0
CCT6A,31.5,165.0,29.0,29.0
CD1A,0.0,1.0,0.0,0.0
CD1B,0.0,0.0,0.0,0.0
CD1C,0.0,1.0,0.0,0.0
CD1D,7.0,37.0,3.5,4.0
CD1E,0.0,0.0,0.0,0.0
CD3E,0.0,0.0,0.0,0.0
CD4,7.0,21.0,6.5,6.5
CD5,0.0,0.0,0.0,0.0
CD6,0.0,0.5,0.0,0.0
CD8A,0.0,0.0,0.0,0.0
CD9,0.0,0.0,0.0,0.0
CD19,0.0,0.0,0.0,0.0
MS4A3,0.5,14.5,2.0,8.0
CD27,0.5,0.0,0.0,0.0
CD28,0.0,1.0,0.0,0.0
CD80,1.0,0.0,0.0,0.0
CD86,1.0,7.0,1.5,1.0
TNFRSF8,0.0,0.0,0.0,0.0
CD33,10.5,52.0,10.0,7.5
SIGLEC6,4.5,34.5,2.0,4.5
CD36,1.0,2.0,0.5,0.5
SCARB1,12.0,20.0,8.0,4.0
SCARB2,1.0,8.5,0.5,2.0
CD37,0.0,1.0,0.0,0.0
CD38,13.0,115.0,6.0,12.0
ENTPD1,0.0,0.0,1.0,0.0
ENTPD6,5.5,18.5,4.0,2.0
ENTPD5,2.0,19.5,2.0,2.5
CD40,0.0,0.0,0.0,0.0
CD44,126.5,311.0,52.0,51.0
CD47,15.0,67.0,9.0,16.0
CD48,0.0,0.0,0.5,0.0
CD53,36.5,115.0,16.0,21.0
CD58,5.5,28.0,4.0,3.5
CD59,0.0,1.0,0.0,0.0
CD63,1.0,6.5,1.5,0.5
CD68,8.5,18.0,7.0,6.5
CD70,0.0,0.0,0.0,0.0
CD72,0.5,3.0,0.0,0.0
CD74,115.0,183.5,76.5,75.5
CD79A,0.0,1.0,0.5,1.0
CD81,8.0,24.0,6.5,7.5
ADGRE5,40.0,66.5,29.0,20.0
CD151,7.0,23.0,5.0,1.5
CDA,0.0,0.0,0.0,0.0
CDK1,5.5,31.0,3.0,9.0
LRBA,1.5,6.0,0.5,0.5
CDC5L,23.0,102.0,10.0,12.5
SEPTIN7,8.0,42.5,6.0,7.5
CDC6,13.0,95.5,11.0,13.5
CDC20,2.0,6.5,1.5,2.0
CDC25A,90.5,327.5,52.5,71.5
CDC25B,6.5,32.5,8.0,8.0
CDC25C,1.0,3.0,3.0,2.5
CDC27,26.5,152.0,13.0,19.0
CDC34,5.0,23.5,4.5,1.0
CDC42,48.5,150.5,21.5,28.5
CDH15,0.0,0.0,0.0,0.0
CDH17,0.0,0.0,0.0,0.0
CDK2,27.0,102.5,14.0,27.0
CDK3,1.0,3.5,0.0,0.5
CDK4,24.5,58.0,14.0,15.5
CDK5,0.0,0.0,0.0,0.0
CDK6,153.0,353.5,49.5,59.0
CDK8,7.5,52.5,10.0,10.5
CDK9,28.0,99.0,15.5,17.5
CDKN1A,39.0,36.5,16.5,4.5
CDKN1B,164.5,530.5,91.5,109.5
CDKN1C,0.0,0.0,0.0,0.0
CDKN2A,19.0,36.0,10.5,14.0
CDKN2B,1.5,3.5,0.5,0.5
CDKN2C,2.5,10.5,1.5,2.0
CDKN2D,21.0,63.5,10.5,10.5
CDKN3,2.0,4.5,0.5,1.0
CDR2,8.5,47.5,4.5,11.0
CDS1,0.0,0.0,0.0,0.0
CD52,1.0,3.0,1.0,0.0
CDX1,0.0,0.0,0.0,0.0
CDX2,1.0,3.0,0.5,1.0
CEBPA,933.5,2700.5,388.0,504.5
CEBPB,29.0,75.0,14.0,11.5
CEBPD,6.0,23.0,7.5,9.0
CEBPG,135.0,488.0,55.0,71.5
CEL,0.0,0.0,0.0,0.0
CENPA,24.0,88.5,11.0,18.0
CENPB,42.5,112.5,17.5,27.0
CENPC,0.5,2.0,0.0,0.0
CENPE,1.5,10.5,1.0,1.0
CENPF,11.5,52.0,7.5,13.5
CETN2,2.5,5.0,3.0,4.0
CETN3,0.5,3.0,0.0,0.0
CFL1,100.0,219.5,52.5,55.0
CFL2,9.0,50.0,5.0,11.5
CTSC,40.5,167.5,14.5,22.5
CHAD,0.0,0.0,0.0,0.0
RCBTB2,1.0,8.0,2.5,1.5
RCC1,39.5,142.0,27.0,20.0
CHD1,19.5,82.0,7.5,12.5
CHD2,87.5,221.5,47.0,72.5
CHD3,9.5,20.5,5.0,5.0
CHD4,20.5,55.5,10.5,10.0
CHEK1,19.0,77.5,15.5,20.5
FOXN3,104.5,332.0,29.5,39.0
CHGB,0.0,0.0,0.0,0.0
CHI3L1,77.5,317.5,41.0,46.0
CHIT1,0.0,0.0,0.0,0.0
CHKA,13.0,51.5,7.5,11.5
CHKB,2.0,8.0,3.5,3.0
CHM,8.0,42.0,6.5,7.0
CHML,182.0,837.0,73.5,79.5
CHN1,0.0,0.5,0.0,0.0
LYST,150.5,491.0,76.0,117.0
CHRM4,0.5,1.5,0.0,0.5
CHRM5,0.0,0.0,0.0,0.0
CHRNA3,0.0,0.0,0.0,0.0
CHRNA5,0.0,0.5,0.0,0.0
CHRNB1,4.0,13.5,3.0,3.5
CHRNB2,0.0,0.0,0.0,0.0
CHRND,0.0,0.0,0.0,0.0
CHRNE,0.0,0.5,0.0,0.0
CHRNG,0.0,0.0,0.0,0.0
CHUK,11.5,67.5,10.5,10.5
CKB,1.0,3.5,1.5,3.0
CIRBP,92.0,272.0,69.0,104.5
CISH,360.0,748.5,83.0,109.5
TBCB,7.5,27.5,7.0,3.5
CKM,0.0,0.0,0.0,0.0
ERCC8,0.5,3.5,1.0,0.5
CKS1B,1.5,5.5,0.5,0.0
CKS2,2.0,20.5,0.5,4.5
AP2M1,12.5,24.0,5.0,4.5
AP1S1,5.5,9.5,2.5,3.0
AP2S1,8.0,18.5,6.5,3.5
AP3S1,1.5,17.5,2.5,2.0
CLCN2,1.5,3.5,0.5,0.5
CLCN3,8.0,31.0,5.0,6.5
CLCN4,29.5,54.0,19.5,12.5
CLCN5,4.5,29.0,4.0,2.5
CLCN6,16.0,51.0,12.5,6.5
CLCN7,10.0,14.5,4.0,3.0
CLCNKA,0.0,0.0,0.0,0.0
CLU,0.5,2.0,0.5,1.5
CLIC2,0.0,1.5,1.5,0.0
CLK1,134.0,448.0,63.5,98.5
CLK2,0.5,0.5,0.0,0.0
1197,13.5,44.5,13.0,8.5
CLK3,9.0,18.5,3.5,5.0
TPP1,34.0,154.5,24.5,19.5
CLN3,3.5,6.5,1.5,1.0
CLN5,1.5,8.0,2.5,0.0
CLNS1A,15.5,54.5,7.5,12.0
CLPTM1,8.5,19.5,5.5,4.5
CLTA,20.5,52.5,12.0,15.0
CLTB,9.0,21.0,2.5,3.0
CLTC,47.0,147.5,29.5,39.5
CCR1,317.5,406.5,212.0,79.5
CCR3,0.0,0.0,0.0,0.0
CCR5,61.5,63.0,25.0,5.0
CCR6,14.0,95.5,13.5,10.5
CCR7,0.5,2.0,3.0,0.0
ACKR2,0.0,0.5,0.0,0.0
LTB4R,8.0,47.5,7.5,5.5
ABCC2,0.0,0.0,0.0,0.5
CNGA4,0.0,0.0,0.0,0.0
PLK3,5.5,8.5,3.0,4.5
CNN2,75.5,225.5,44.5,51.5
CNP,22.0,81.0,12.5,12.5
CNR2,0.5,4.5,2.5,3.0
CNTF,5.5,15.0,0.5,2.0
COL1A1,0.0,0.0,0.0,0.0
COL4A2,0.0,1.0,0.5,0.5
COL4A4,0.0,0.0,0.0,0.0
COL5A1,0.0,0.0,0.0,0.0
COL5A2,0.0,0.0,0.0,0.0
COL6A1,0.0,1.5,0.0,0.0
COL6A2,0.0,0.0,0.0,0.0
COL6A3,0.0,0.0,0.0,0.0
COL7A1,1.5,7.0,2.5,1.0
COL8A2,0.0,0.0,0.0,0.0
COL9A2,0.5,0.0,0.5,1.0
COL9A3,1.5,0.5,1.0,0.5
COL15A1,0.0,0.0,0.0,0.5
COMT,8.5,20.0,6.0,2.5
COPA,13.5,65.0,7.0,7.5
COPB1,1.5,11.5,1.5,2.0
KLF6,62.5,99.5,71.5,109.0
SLC31A1,12.0,55.0,14.0,14.0
SLC31A2,3.5,25.0,3.0,9.5
CORT,0.0,0.0,0.0,0.0
MAP3K8,1.5,2.0,1.0,0.0
COX4I1,20.0,61.5,13.5,16.0
COX5B,1.5,7.5,0.5,2.0
COX6A1,1.0,8.5,2.0,3.5
COX6B1,5.5,14.0,7.0,4.0
COX6C,1.5,7.0,1.0,2.5
COX7A1,0.0,0.0,0.0,0.0
COX7A2,8.5,25.5,5.5,7.5
COX7B,3.5,13.5,2.0,1.5
COX7C,5.5,12.0,8.5,3.0
COX8A,14.0,25.0,8.5,7.0
COX10,18.5,56.0,10.5,16.0
COX11,7.0,31.0,4.0,4.5
COX15,9.5,45.0,7.0,8.0
CP,0.0,0.0,0.0,0.0
CPD,29.5,143.0,15.5,25.5
CLDN7,0.0,0.0,0.0,0.0
CPM,5.5,25.5,4.0,9.5
CPOX,1.5,6.5,0.5,0.5
CPS1,0.0,1.0,0.0,0.0
CPT1A,51.5,194.0,39.0,36.5
CPT1B,0.5,3.0,1.0,0.0
CPT2,3.5,12.5,4.0,3.5
CR1,0.0,0.0,0.0,0.0
CRABP2,0.0,1.0,0.0,0.0
CRAT,1.0,3.5,0.5,0.5
CREB1,47.5,181.5,22.0,33.5
ATF2,21.5,87.5,10.0,10.0
CREBBP,11.5,54.5,6.0,11.5
CREBL2,5.0,16.0,3.0,2.5
CREM,0.0,2.0,0.5,0.0
CRIP1,0.5,7.0,2.5,6.5
