,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2
AHCY,9,11,8,10,3,10,4,3,28,0,0,17,8,0
AHR,6,5,9,3,7,4,0,2,1,0,0,0,2,4
AIF1,13,12,3,3,2,0,0,4,0,0,0,0,0,0
CRYBG1,36,33,30,13,0,7,5,9,26,15,8,7,5,8
AK1,4,0,0,0,0,1,0,4,0,0,0,0,0,0
AK2,62,35,42,53,26,25,14,24,18,10,5,27,0,20
AK4,21,17,18,1,6,5,0,2,11,9,5,11,3,0
AKT1,7,4,0,7,4,8,4,0,9,0,2,4,5,0
AKT2,64,62,85,20,6,23,24,18,75,4,18,9,6,2
ALAD,12,10,9,0,0,1,5,2,0,0,1,0,0,0
ALAS1,27,22,6,48,8,29,8,7,15,1,0,0,2,0
ALCAM,11,5,6,14,19,11,0,9,22,0,1,0,8,1
ALDH2,8,0,5,2,0,0,0,0,5,0,0,0,5,0
ALDH1B1,25,10,14,13,1,4,1,8,10,0,0,0,0,0
ALDH1A3,0,0,7,0,0,0,0,0,3,3,0,0,0,0
ALDH3B1,4,7,20,23,1,2,8,7,6,0,6,0,0,6
ALDH9A1,54,48,17,44,53,51,24,26,12,0,8,3,16,2
ALDH3A2,2,0,3,5,1,3,2,0,0,1,0,0,0,0
ALDOA,67,45,47,85,68,124,40,69,68,6,5,42,32,27
ALDOC,0,3,0,5,2,2,1,5,0,0,0,0,0,8
AKR1B1,0,8,0,0,1,0,0,2,9,0,0,0,0,0
ALOX12,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOX5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ALOX5AP,33,46,44,10,0,12,21,11,30,1,6,0,0,1
AMD1,170,118,146,201,108,222,78,28,120,0,6,32,26,17
AMFR,2,3,9,14,8,3,10,1,10,0,2,0,2,0
AMPD2,16,21,23,1,5,4,2,5,7,0,0,0,3,1
AMPD3,0,1,18,8,0,0,5,4,7,3,0,1,2,0
AMT,0,6,0,0,3,0,0,0,0,0,1,0,0,0
ANGPT1,0,0,0,0,4,0,0,3,3,0,2,0,2,0
ANK2,0,0,0,0,1,0,0,0,9,0,0,0,0,0
SLC25A4,0,1,0,0,1,4,0,0,0,0,0,0,2,0
SLC25A5,150,72,52,149,94,145,34,14,85,1,8,40,20,17
SLC25A6,243,169,132,124,89,120,77,63,88,3,1,13,1,4
ANXA1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ANXA2,17,7,6,1,3,10,0,5,0,1,2,0,0,0
ANXA4,2,0,0,4,10,7,0,5,0,0,3,0,3,0
ANXA5,5,7,9,7,4,3,0,1,2,0,0,2,0,0
ANXA6,3,0,5,0,0,0,0,0,0,0,0,0,0,0
ANXA7,14,2,0,12,2,6,4,0,15,0,0,0,4,0
ANXA11,13,8,3,14,1,14,10,11,6,6,0,10,9,0
AOAH,0,0,0,0,0,0,8,0,0,0,0,0,0,0
APAF1,8,2,6,3,7,1,1,1,5,3,2,5,0,4
NUDT2,6,0,5,8,4,7,5,5,8,0,2,3,0,1
APBA2,4,0,0,0,1,0,0,0,0,0,0,0,0,0
APBB2,9,3,2,5,0,5,4,3,20,0,0,0,0,0
APC,32,42,16,23,2,12,6,5,35,2,0,5,16,0
APEH,16,3,4,7,3,20,16,6,24,0,2,6,14,2
APEX1,35,6,10,21,3,7,3,6,16,0,0,6,4,3
BIRC2,49,24,33,26,11,24,38,5,34,1,6,3,20,0
XIAP,32,22,24,22,10,24,13,6,23,2,5,5,11,2
BIRC5,70,50,34,27,28,34,11,18,18,3,0,14,24,4
APLP2,39,30,43,72,53,58,42,13,42,18,3,28,30,6
APOC1,2,2,1,0,0,0,0,0,5,0,0,0,0,0
APOC2,27,31,45,9,1,9,23,2,35,0,0,0,9,1
APP,0,2,4,0,0,0,0,4,0,0,0,0,0,6
APRT,9,12,3,0,2,12,6,6,5,0,0,0,0,0
FAS,4,0,3,3,0,0,0,0,1,0,0,0,0,0
AQP3,5,0,12,3,1,5,0,0,8,0,0,0,1,0
ABCC6,9,2,0,2,0,0,0,6,0,0,0,0,0,0
ARAF,4,0,2,7,7,13,10,1,3,0,0,14,2,1
ARCN1,21,8,6,18,10,10,3,1,3,0,0,0,13,0
TRIM23,0,6,6,8,4,12,0,2,5,0,0,0,0,3
ARF1,124,70,81,119,81,118,50,33,53,2,13,80,47,26
ARF3,4,8,3,15,2,3,1,4,10,6,0,6,1,0
ARF4,61,23,20,44,36,29,12,13,26,0,3,27,1,3
ARL4D,16,16,17,12,13,29,10,0,3,0,0,0,3,0
ARF5,18,31,21,15,9,27,9,19,25,4,0,18,13,3
ARF6,181,133,137,178,114,181,151,60,127,9,20,66,41,15
ARG2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RHOA,157,104,102,119,73,122,148,93,157,39,25,69,95,69
RHOB,5,14,4,7,8,15,6,5,0,0,0,0,4,4
RHOC,2,0,0,0,0,4,0,0,0,0,0,0,0,0
RHOG,42,29,6,22,17,18,23,13,34,0,2,22,13,2
ARHGAP1,28,12,8,12,18,8,11,12,20,4,12,15,21,10
ARHGAP4,8,4,13,1,2,6,14,14,6,3,1,6,2,1
ARHGDIA,11,5,7,15,1,16,3,9,14,1,6,7,9,0
ARHGDIB,53,37,60,35,19,33,14,16,50,4,3,9,5,9
ARL1,32,28,10,10,3,18,8,3,3,0,0,5,8,6
ARL2,6,15,7,11,1,10,0,13,2,0,3,1,3,1
ARL3,8,0,3,13,1,9,12,5,13,1,1,0,4,0
ARNT,20,20,18,12,6,9,0,1,14,10,3,10,0,0
ARNTL,1,0,6,3,1,0,0,3,4,0,5,3,4,0
ARRB1,8,2,7,5,10,13,7,0,8,0,5,8,14,4
ARRB2,4,0,4,0,1,1,2,2,0,0,1,0,20,2
ARSB,6,1,0,22,4,4,0,1,4,0,0,0,11,0
STS,4,0,1,0,4,0,0,0,3,0,0,8,0,11
ARSD,15,22,21,39,21,43,31,18,5,0,10,32,26,6
ARVCF,0,1,0,2,0,0,0,2,0,0,3,0,0,2
ASAH1,6,2,11,8,8,1,0,4,0,0,0,1,0,1
ASCL2,9,5,6,1,1,2,10,0,0,0,0,6,0,0
ASGR1,2,1,0,0,0,0,0,0,0,4,2,0,0,0
ASL,0,1,0,0,0,0,3,0,0,0,0,0,0,0
GET3,9,10,3,15,12,8,2,0,11,0,1,7,3,2
ASNS,12,12,13,27,4,11,9,6,11,5,3,1,5,8
ASPH,33,7,20,18,24,17,17,6,50,4,10,0,7,9
ASS1,1,3,3,0,1,1,10,9,3,0,0,2,3,0
ZFHX3,0,0,1,2,0,0,4,0,4,0,0,0,0,5
ATF1,35,7,10,11,7,11,9,5,3,1,0,0,1,0
ATF3,1,4,5,7,7,0,0,5,5,0,0,7,5,0
ATF4,531,622,421,647,268,675,427,451,527,4,11,348,333,157
ATIC,39,15,10,10,4,2,18,6,12,10,0,0,4,3
ATM,24,9,10,20,12,31,15,0,26,18,6,28,22,8
RERE,10,16,17,12,35,22,2,4,16,8,26,18,26,4
ATOX1,1,4,2,16,0,3,0,4,11,2,0,0,0,0
ATP1A1,122,40,63,114,33,94,41,24,77,6,1,17,18,16
ATP1B1,5,0,0,0,0,3,0,0,5,0,0,0,0,0
ATP1B3,18,18,31,47,36,65,14,4,25,2,1,7,13,0
ATP2A2,85,47,29,31,55,69,21,9,23,19,17,10,11,18
ATP2A3,5,0,0,15,9,11,0,13,4,0,2,15,0,0
ATP2B1,27,14,18,15,23,35,15,16,31,16,14,8,30,11
ATP2B4,18,12,22,1,5,0,22,3,10,1,13,6,10,11
ATP5F1A,48,39,19,43,10,36,10,6,7,0,4,16,16,2
ATP5F1B,56,36,52,60,33,60,28,21,52,1,0,29,16,4
ATP5F1C,17,12,15,14,7,32,10,9,29,0,9,11,14,2
ATP5F1D,0,0,2,1,0,0,2,0,0,0,0,0,1,0
ATP5F1E,57,31,46,34,17,53,48,28,30,0,0,18,14,12
ATP5PB,103,46,62,44,28,44,49,6,80,0,1,28,23,11
ATP5MC1,68,53,35,28,8,15,39,26,63,0,1,5,10,1
ATP5MC2,101,59,48,49,25,57,55,49,52,16,14,14,28,16
ATP5MC3,274,112,144,236,226,214,89,48,283,203,163,181,160,50
ATP5ME,10,37,13,19,1,26,7,13,24,0,0,6,1,0
ATP5PF,24,35,11,8,19,13,23,5,13,0,0,4,14,0
ATP6V1A,6,5,0,10,4,13,4,1,1,6,2,0,4,0
ATP6V1B2,316,168,175,339,155,256,92,50,142,1,3,40,60,13
ATP6V0C,51,49,38,81,46,71,30,38,23,2,4,17,28,16
ATP6V1C1,15,11,12,20,12,21,4,12,11,1,0,0,0,4
ATP6V1E1,51,28,25,40,22,57,32,9,39,0,7,21,10,14
ATP6V0B,27,53,22,29,26,44,9,33,9,0,0,14,12,2
ATP6V1G2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V0A1,3,4,1,5,0,1,4,2,11,0,4,16,9,15
ATP6AP1,8,9,6,12,2,12,10,8,7,0,0,2,7,7
ATP7A,0,0,0,0,0,2,0,0,1,0,0,8,4,0
ATP5PO,137,66,77,98,39,112,39,36,72,0,3,47,25,3
ATR,7,5,1,17,15,8,0,0,5,4,1,29,4,6
ATRX,24,20,43,28,27,36,25,23,13,20,18,7,14,0
AUP1,99,108,64,78,29,96,37,71,68,0,5,38,28,18
AXL,0,4,0,0,0,0,0,0,0,0,0,0,0,0
AZU1,10,7,4,10,5,22,12,6,3,0,0,2,5,7
B2M,192,122,130,152,96,229,25,43,94,2,9,28,13,11
BACH1,10,9,3,10,10,10,10,0,0,0,2,0,5,0
BAD,3,5,0,2,0,0,0,2,0,0,0,0,0,0
BAG1,49,69,30,58,27,32,56,31,17,0,4,13,12,17
BAK1,14,10,0,7,1,21,7,7,5,1,0,0,0,0
BARD1,92,92,62,81,58,129,71,67,116,16,40,59,44,47
BAX,0,3,0,1,2,1,0,5,2,0,0,7,7,0
BBS1,0,0,0,0,0,2,3,1,0,0,0,0,3,0
BBS2,3,0,0,0,2,6,0,0,1,0,0,0,0,0
BBS4,5,1,3,7,0,15,0,2,0,0,0,0,0,0
BCAT1,38,46,33,55,19,53,39,21,65,33,31,27,34,39
BCAT2,16,4,12,14,2,8,4,0,7,0,3,0,0,4
BCKDHA,46,43,28,50,26,38,57,27,37,0,6,9,10,0
BCKDHB,3,4,0,7,6,0,0,0,0,0,5,0,0,0
CCND1,6,7,13,0,0,3,4,2,0,0,0,0,0,0
BCL2,63,69,47,135,55,82,38,17,33,8,1,39,28,3
BCL2A1,0,6,0,0,0,1,0,0,0,0,0,4,0,0
BCL2L1,0,1,3,0,0,1,0,2,0,0,0,0,0,0
BCL2L2,10,2,5,0,1,5,0,1,4,0,0,0,0,0
BCL3,22,27,16,21,7,18,9,19,23,4,8,5,2,1
BCL6,0,8,0,0,1,4,0,0,9,0,0,0,0,0
BCL7A,51,34,25,21,17,48,13,14,25,9,20,15,9,9
BCL9,1,0,0,5,0,0,0,0,1,0,0,0,0,0
BCR,11,3,0,4,4,1,0,3,0,0,1,0,0,7
BCS1L,1,1,0,3,1,1,0,0,6,0,0,0,0,0
BDH1,28,11,11,22,12,3,8,11,9,0,0,10,3,1
BDNF,6,2,1,0,0,0,0,0,10,1,0,0,0,0
BFSP1,0,0,7,0,0,0,4,0,0,0,0,0,0,0
BICD1,2,0,0,0,0,13,3,0,0,5,0,0,0,3
BID,32,17,14,22,4,20,8,8,23,0,7,17,11,13
BIK,11,9,10,2,5,21,0,8,13,0,0,5,0,0
PRDM1,0,8,3,0,0,0,0,0,8,0,1,0,0,0
BLM,3,17,6,6,4,15,3,0,7,5,4,2,3,3
BLMH,119,133,65,94,38,69,80,50,101,9,13,52,22,23
BLVRA,4,2,0,0,0,1,0,0,0,0,0,6,0,0
BLVRB,0,3,1,2,1,6,2,1,0,0,0,0,0,0
BMI1,197,150,124,178,186,224,118,105,230,41,25,174,147,94
BMP1,7,10,5,9,1,0,0,7,23,0,1,5,2,1
BMP2,5,1,13,5,0,3,0,0,11,0,0,0,0,0
BMP4,3,4,0,0,0,0,0,0,0,0,0,0,0,0
BMP8B,0,0,0,3,0,0,0,0,0,0,0,0,0,0
BMPR2,15,5,10,6,4,9,0,0,12,2,2,7,13,4
POLR3D,8,1,2,0,0,3,0,7,0,0,0,0,0,0
BNIP1,33,30,9,21,2,16,11,13,32,0,5,5,8,7
BNIP2,83,53,53,29,23,47,66,35,71,16,36,48,28,11
BNIP3,15,12,2,17,3,4,3,3,5,1,0,9,3,0
BNIP3L,7,7,14,12,14,26,11,5,16,0,0,12,0,2
DST,3,4,5,1,0,0,0,0,6,0,0,0,0,0
BPGM,1,2,0,6,0,3,3,1,4,0,1,0,0,4
BPHL,0,0,0,4,0,1,0,0,0,0,0,0,0,0
BPI,8,4,1,0,5,0,0,3,3,0,0,0,0,0
BRCA1,43,50,35,34,14,39,9,13,6,14,23,6,1,13
BRAF,0,5,0,0,0,0,0,0,0,0,0,0,0,0
BRCA2,2,4,2,0,6,1,5,7,1,0,6,0,2,0
ZFP36L1,266,182,143,48,41,55,52,60,190,1,0,0,1,15
ZFP36L2,1168,709,694,674,389,545,495,259,870,56,38,79,56,32
BSG,7,9,2,12,3,12,1,0,6,0,0,2,1,1
BST1,0,1,0,2,0,3,0,0,0,0,0,0,0,0
BST2,19,6,3,4,6,5,2,1,11,0,0,4,2,0
BTD,13,2,6,4,0,6,6,0,10,0,5,0,0,6
KLF9,53,16,19,20,7,14,9,22,27,3,0,5,7,7
KLF5,3,4,1,6,4,9,0,4,4,0,3,0,0,0
BTF3,79,48,55,61,31,55,30,35,96,3,6,28,22,5
BTG1,592,667,383,788,286,801,264,318,407,5,27,71,103,31
BTK,6,2,0,4,3,0,0,1,3,0,4,0,0,0
BUB1,1,6,2,8,4,9,0,1,2,0,2,5,8,6
BUB1B,28,17,17,22,13,20,6,5,23,1,0,25,8,0
BYSL,71,65,45,62,17,48,47,50,67,0,14,26,7,3
TSPO,25,15,4,2,10,10,10,22,25,6,0,4,1,1
C1QBP,111,58,82,63,55,67,30,20,66,22,23,49,68,28
C1S,0,0,4,0,0,2,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
C3AR1,0,0,3,0,0,8,0,0,3,0,0,0,5,0
C4B,0,0,0,0,1,3,0,0,0,0,0,0,0,0
C5,0,2,0,0,1,0,0,0,0,0,0,0,0,0
C8G,0,1,1,0,1,0,0,0,0,0,0,0,0,0
OSGIN2,38,33,22,46,28,67,12,9,25,1,0,2,5,12
VPS51,0,0,0,0,0,3,0,0,0,0,0,0,0,0
MRPL49,26,9,17,13,6,20,6,9,2,1,0,6,4,6
ZNHIT2,5,6,3,3,1,0,3,7,3,0,0,4,3,0
TMEM258,16,7,15,24,0,12,15,8,16,0,0,2,0,0
DAGLA,0,0,0,6,0,0,0,0,0,0,0,0,0,0
FMNL1,0,1,0,1,2,2,3,1,2,0,3,0,0,0
LDLRAD4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PTTG1IP,5,5,10,17,21,23,23,0,0,0,0,0,2,1
CFAP410,2,4,7,26,8,11,20,13,10,0,0,7,8,0
TMEM50B,8,2,3,11,4,12,4,3,0,3,0,5,0,1
MPPED1,0,5,3,0,0,0,0,3,5,0,0,0,0,3
CA2,62,64,47,3,0,18,24,16,58,1,14,5,0,0
CA3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CA11,0,1,0,0,0,2,0,0,2,0,0,0,0,0
CACNA1A,24,9,11,2,2,1,2,6,3,0,0,0,0,0
CACNB1,0,3,0,4,0,0,0,0,0,0,0,0,0,0
CACNB3,3,0,2,0,0,0,0,0,0,0,0,0,0,0
SLC25A20,5,2,2,0,2,5,0,0,5,1,0,0,3,0
CAD,27,17,20,24,8,14,3,27,15,0,0,0,9,0
CALM1,118,90,66,239,116,179,31,38,67,0,4,4,31,16
CALM2,103,46,96,89,85,145,82,27,100,4,7,42,26,15
CALM3,436,281,254,358,235,313,169,124,235,9,22,65,32,60
CALR,876,729,486,932,319,844,368,294,544,20,43,167,221,150
CALU,38,32,31,27,42,58,20,22,14,2,13,13,20,1
CAMK2D,5,0,3,2,1,2,15,0,0,1,0,0,0,0
CAMK2G,13,19,2,25,9,5,2,4,13,0,2,16,4,3
CAMLG,8,4,2,17,4,8,0,4,2,0,0,0,0,3
CANX,156,106,85,182,83,151,86,69,115,25,20,81,54,30
CAPG,1,15,2,0,1,3,0,0,0,1,1,0,0,4
CAPN1,6,0,7,1,2,2,7,0,4,0,0,0,0,0
CAPN2,0,4,0,0,0,0,0,6,0,0,0,4,0,0
CAPN3,23,8,18,55,17,40,5,30,7,5,1,6,0,3
CAPNS1,15,5,12,17,13,6,12,20,7,0,0,0,0,7
CAPS,1,2,2,3,0,2,0,0,0,0,0,0,2,0
CAPZA1,98,58,38,39,37,44,40,26,32,1,14,8,33,24
CAPZA2,19,5,4,0,9,10,6,0,1,0,0,0,11,1
CAST,11,7,9,0,0,9,0,4,2,10,2,3,8,0
CAPZB,59,28,40,46,35,74,59,33,75,15,12,55,32,38
CARS1,18,34,16,18,15,19,25,28,44,6,2,0,6,5
CASP1,7,12,5,7,0,7,0,0,6,0,0,0,0,0
CASP2,86,41,46,77,44,63,39,34,81,2,3,43,19,13
CASP3,25,14,6,52,36,38,15,9,14,0,1,3,2,0
CASP4,6,4,3,0,3,3,0,9,0,0,0,0,0,0
CASP6,17,5,0,0,2,9,0,3,6,1,0,0,2,0
CASP7,15,10,10,6,0,8,1,8,10,1,0,5,0,0
CASP8,22,8,19,7,15,9,4,0,43,0,0,3,2,3
CASP9,4,6,4,3,1,0,0,0,10,0,3,0,0,0
CASP10,23,16,15,14,2,5,2,1,1,2,4,3,0,0
CAT,122,42,63,57,19,71,40,35,71,31,39,19,3,6
RUNX2,82,54,38,38,39,62,42,27,62,17,17,29,56,23
RUNX1,145,102,78,85,81,114,55,29,98,28,36,52,56,42
CBFA2T3,32,15,29,35,8,17,12,6,10,0,0,13,11,9
RUNX3,42,53,37,57,17,45,31,13,30,12,17,29,14,7
CBFB,32,26,28,18,10,29,15,12,14,10,7,0,3,10
CBL,122,123,74,84,58,116,56,71,114,48,43,75,44,19
CBLB,4,4,8,5,4,10,5,0,12,2,0,28,0,2
SERPINH1,26,25,18,13,1,10,19,8,28,0,0,0,2,1
CBR1,30,21,8,13,4,35,0,6,10,0,0,0,0,1
CBR3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CBS,10,3,7,5,3,0,7,0,9,0,1,0,8,1
KYAT1,0,5,2,0,4,0,0,2,0,0,0,8,0,0
KRIT1,39,43,20,20,12,15,4,14,21,6,10,7,3,0
CCNA2,113,90,16,82,53,81,30,38,141,1,5,24,20,12
CCNB1,35,40,13,29,32,24,2,15,30,2,8,28,14,7
CCNC,15,23,23,15,15,39,22,14,16,0,5,13,4,3
CCND2,80,45,49,12,19,28,15,12,15,9,13,1,5,0
CCND3,93,87,45,76,37,59,40,42,76,2,14,21,19,16
CCNE1,50,37,15,29,19,36,14,28,26,5,2,33,3,10
CCNF,80,54,20,40,25,42,12,25,32,3,8,13,4,1
CCNG1,20,3,4,16,22,13,8,3,8,0,0,0,1,0
CCNG2,15,9,13,8,20,13,6,0,1,0,0,4,0,0
CCNH,6,1,3,10,1,0,4,0,6,0,0,0,0,0
CCNT1,88,91,95,111,99,113,52,48,73,17,17,57,74,19
CCNT2,28,41,16,33,16,24,12,3,8,0,0,8,11,5
CCT6A,78,61,63,72,46,73,48,20,66,0,0,20,16,15
CD1D,2,7,7,0,1,4,0,0,0,1,0,0,0,0
CD4,3,6,7,0,3,6,0,0,6,0,1,5,1,0
CD9,3,0,1,1,0,0,0,0,3,0,0,0,0,0
CD19,0,0,0,8,0,0,0,0,0,0,0,0,0,0
MS4A3,48,18,29,7,0,1,29,15,22,1,4,0,0,0
CD86,0,0,0,0,0,0,0,0,0,0,3,0,0,0
TNFRSF8,4,1,8,0,0,0,0,0,0,0,0,0,0,0
CD33,36,16,38,9,6,9,23,10,16,0,0,2,7,1
SIGLEC6,0,0,0,10,0,0,0,1,0,0,0,0,0,0
CD36,0,9,4,0,0,0,0,0,0,0,0,0,0,0
SCARB1,12,23,4,9,6,3,6,0,12,4,4,3,6,0
SCARB2,3,6,1,14,2,2,4,0,7,0,2,0,0,0
CD37,0,8,12,4,1,1,2,0,0,0,0,0,0,1
CD38,36,7,22,12,2,9,29,3,2,1,11,14,0,6
ENTPD6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ENTPD5,3,0,0,0,0,1,7,0,4,4,0,7,0,0
CD44,26,20,25,7,10,13,13,10,27,8,18,26,16,7
CD47,14,16,26,11,26,20,13,4,31,26,15,16,8,3
CD48,0,1,0,8,0,0,0,0,0,0,0,0,0,0
CD53,13,6,1,3,0,9,3,0,0,0,0,0,0,0
CD58,1,13,2,5,3,9,16,6,0,0,3,0,0,4
CD59,0,0,8,8,1,3,0,5,0,0,0,0,0,0
CD63,96,63,38,12,8,35,40,61,51,0,2,17,10,4
