,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
ASCL2,6.0,0.0,0.0,0.0,1.0
ASGR1,1.0,0.0,0.0,3.0,0.0
ASL,0.0,0.0,0.0,0.0,0.0
GET3,9.0,3.0,2.0,0.5,7.5
ASNS,12.0,5.0,9.0,4.0,6.5
ASPH,20.0,7.0,17.0,7.0,13.0
ASS1,3.0,2.0,9.0,0.0,1.0
ZFHX3,0.0,0.0,4.0,0.0,0.0
ATF1,10.0,0.0,5.0,0.5,4.0
ATF3,4.0,5.0,5.0,0.0,6.0
ATF4,531.0,333.0,451.0,7.5,340.5
ATIC,15.0,3.0,12.0,5.0,3.5
ATM,10.0,22.0,15.0,12.0,21.0
RERE,16.0,18.0,4.0,17.0,20.0
ATOX1,2.0,0.0,4.0,1.0,0.0
ATP1A1,63.0,17.0,41.0,3.5,25.5
ATP1B1,0.0,0.0,0.0,0.0,0.0
ATP1B3,18.0,7.0,14.0,1.5,24.5
ATP2A2,47.0,11.0,21.0,18.0,24.5
ATP2A3,0.0,0.0,4.0,1.0,10.0
ATP2B1,18.0,11.0,16.0,15.0,19.0
ATP2B4,18.0,10.0,10.0,7.0,5.5
ATP5F1A,39.0,16.0,7.0,2.0,16.0
ATP5F1B,52.0,16.0,28.0,0.5,31.0
ATP5F1C,15.0,11.0,10.0,4.5,12.5
ATP5F1D,0.0,0.0,0.0,0.0,0.0
ATP5F1E,46.0,14.0,30.0,0.0,17.5
ATP5PB,62.0,23.0,49.0,0.5,28.0
ATP5MC1,53.0,5.0,39.0,0.5,9.0
ATP5MC2,59.0,16.0,52.0,15.0,26.5
ATP5MC3,144.0,160.0,89.0,183.0,197.5
ATP5ME,13.0,1.0,13.0,0.0,3.5
ATP5PF,24.0,4.0,13.0,0.0,10.5
ATP6V1A,5.0,0.0,1.0,4.0,4.0
ATP6V1B2,175.0,40.0,92.0,2.0,107.5
ATP6V0C,49.0,17.0,30.0,3.0,37.0
ATP6V1C1,12.0,0.0,11.0,0.5,8.0
ATP6V1E1,28.0,14.0,32.0,3.5,21.5
ATP6V0B,27.0,12.0,9.0,0.0,20.0
ATP6V1G2,0.0,0.0,0.0,0.0,0.0
ATP6V0A1,3.0,15.0,4.0,2.0,7.0
ATP6AP1,8.0,7.0,8.0,0.0,7.0
ATP7A,0.0,4.0,0.0,0.0,1.0
ATP5PO,77.0,25.0,39.0,1.5,43.0
ATR,5.0,6.0,0.0,2.5,11.5
ATRX,24.0,7.0,23.0,19.0,20.5
AUP1,99.0,28.0,68.0,2.5,33.5
AXL,0.0,0.0,0.0,0.0,0.0
AZU1,7.0,5.0,6.0,0.0,6.0
B2M,130.0,13.0,43.0,5.5,62.0
BACH1,9.0,0.0,0.0,1.0,7.5
BAD,3.0,0.0,0.0,0.0,0.0
BAG1,49.0,13.0,31.0,2.0,22.0
BAK1,10.0,0.0,7.0,0.5,0.5
BARD1,92.0,47.0,71.0,28.0,58.5
BAX,0.0,7.0,2.0,0.0,1.5
BBS1,0.0,0.0,1.0,0.0,0.0
BBS2,0.0,0.0,0.0,0.0,0.0
BBS4,3.0,0.0,0.0,0.0,0.0
BCAT1,38.0,34.0,39.0,32.0,36.5
BCAT2,12.0,0.0,4.0,1.5,3.0
BCKDHA,43.0,9.0,37.0,3.0,18.0
BCKDHB,3.0,0.0,0.0,2.5,0.0
CCND1,7.0,0.0,2.0,0.0,0.0
BCL2,63.0,28.0,33.0,4.5,47.0
BCL2A1,0.0,0.0,0.0,0.0,0.0
BCL2L1,1.0,0.0,0.0,0.0,0.0
BCL2L2,5.0,0.0,1.0,0.0,0.0
BCL3,22.0,2.0,19.0,6.0,6.0
BCL6,0.0,0.0,0.0,0.0,0.0
BCL7A,34.0,9.0,14.0,14.5,16.0
BCL9,0.0,0.0,0.0,0.0,0.0
BCR,3.0,0.0,0.0,0.5,2.5
BCS1L,1.0,0.0,0.0,0.0,0.5
BDH1,11.0,3.0,9.0,0.0,6.5
BDNF,2.0,0.0,0.0,0.5,0.0
BFSP1,0.0,0.0,0.0,0.0,0.0
BICD1,0.0,0.0,0.0,2.5,0.0
BID,17.0,13.0,8.0,3.5,15.0
BIK,10.0,0.0,8.0,0.0,3.5
PRDM1,3.0,0.0,0.0,0.5,0.0
BLM,6.0,3.0,3.0,4.5,3.5
BLMH,119.0,23.0,80.0,11.0,45.0
BLVRA,2.0,0.0,0.0,0.0,0.0
BLVRB,1.0,0.0,1.0,0.0,0.5
BMI1,150.0,147.0,118.0,33.0,176.0
BMP1,7.0,2.0,7.0,0.5,1.5
BMP2,5.0,0.0,0.0,0.0,0.0
BMP4,3.0,0.0,0.0,0.0,0.0
BMP8B,0.0,0.0,0.0,0.0,0.0
BMPR2,10.0,7.0,0.0,2.0,6.5
POLR3D,2.0,0.0,0.0,0.0,0.0
BNIP1,30.0,7.0,13.0,2.5,7.5
BNIP2,53.0,28.0,66.0,26.0,28.5
BNIP3,12.0,3.0,3.0,0.5,3.5
BNIP3L,7.0,2.0,11.0,0.0,12.0
DST,4.0,0.0,0.0,0.0,0.0
BPGM,1.0,0.0,3.0,0.5,1.5
BPHL,0.0,0.0,0.0,0.0,0.0
BPI,4.0,0.0,3.0,0.0,0.0
BRCA1,43.0,6.0,9.0,18.5,13.5
BRAF,0.0,0.0,0.0,0.0,0.0
BRCA2,2.0,0.0,5.0,3.0,0.5
ZFP36L1,182.0,1.0,60.0,0.5,28.0
ZFP36L2,709.0,56.0,495.0,47.0,234.0
BSG,7.0,1.0,1.0,0.0,2.5
BST1,0.0,0.0,0.0,0.0,0.0
BST2,6.0,2.0,2.0,0.0,4.0
BTD,6.0,0.0,6.0,2.5,2.0
KLF9,19.0,7.0,22.0,1.5,7.0
KLF5,3.0,0.0,4.0,1.5,2.0
BTF3,55.0,22.0,35.0,4.5,29.5
BTG1,592.0,71.0,318.0,16.0,194.5
BTK,2.0,0.0,1.0,2.0,0.0
BUB1,2.0,6.0,1.0,1.0,7.0
BUB1B,17.0,8.0,6.0,0.5,16.5
BYSL,65.0,7.0,50.0,7.0,21.5
TSPO,15.0,1.0,22.0,3.0,3.0
C1QBP,82.0,49.0,30.0,22.5,59.0
C1S,0.0,0.0,0.0,0.0,0.0
C2,0.0,0.0,0.0,0.0,0.0
C3AR1,0.0,0.0,0.0,0.0,0.0
C4B,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.0
C8G,1.0,0.0,0.0,0.0,0.0
OSGIN2,33.0,5.0,12.0,0.5,20.0
VPS51,0.0,0.0,0.0,0.0,0.0
MRPL49,17.0,6.0,6.0,0.5,6.0
ZNHIT2,5.0,3.0,3.0,0.0,2.0
TMEM258,15.0,0.0,15.0,0.0,1.0
DAGLA,0.0,0.0,0.0,0.0,0.0
FMNL1,0.0,0.0,2.0,1.5,0.5
LDLRAD4,0.0,0.0,0.0,0.0,0.0
PTTG1IP,5.0,1.0,0.0,0.0,9.5
CFAP410,4.0,7.0,13.0,0.0,8.0
TMEM50B,3.0,1.0,3.0,1.5,4.5
MPPED1,3.0,0.0,3.0,0.0,0.0
CA2,62.0,0.0,24.0,7.5,1.5
CA3,0.0,0.0,0.0,0.0,0.0
CA11,0.0,0.0,0.0,0.0,0.0
CACNA1A,11.0,0.0,3.0,0.0,0.5
CACNB1,0.0,0.0,0.0,0.0,0.0
CACNB3,2.0,0.0,0.0,0.0,0.0
SLC25A20,2.0,0.0,0.0,0.5,1.0
CAD,20.0,0.0,15.0,0.0,8.5
CALM1,90.0,16.0,38.0,2.0,73.5
CALM2,96.0,26.0,82.0,5.5,63.5
CALM3,281.0,60.0,169.0,15.5,150.0
CALR,729.0,167.0,368.0,31.5,270.0
CALU,32.0,13.0,20.0,7.5,23.5
CAMK2D,3.0,0.0,0.0,0.5,0.5
CAMK2G,13.0,4.0,4.0,1.0,7.0
CAMLG,4.0,0.0,2.0,0.0,3.5
CANX,106.0,54.0,86.0,22.5,82.0
CAPG,2.0,0.0,0.0,1.0,0.5
CAPN1,6.0,0.0,4.0,0.0,0.5
CAPN2,0.0,0.0,0.0,0.0,0.0
CAPN3,18.0,3.0,7.0,3.0,11.5
CAPNS1,12.0,0.0,12.0,0.0,6.5
CAPS,2.0,0.0,0.0,0.0,1.0
CAPZA1,58.0,24.0,32.0,7.5,35.0
CAPZA2,5.0,1.0,1.0,0.0,5.0
CAST,9.0,3.0,2.0,6.0,1.5
CAPZB,40.0,38.0,59.0,13.5,42.0
CARS1,18.0,5.0,28.0,4.0,10.5
CASP1,7.0,0.0,0.0,0.0,0.0
CASP2,46.0,19.0,39.0,2.5,43.5
CASP3,14.0,2.0,14.0,0.5,19.5
CASP4,4.0,0.0,0.0,0.0,0.0
CASP6,5.0,0.0,3.0,0.5,1.0
CASP7,10.0,0.0,8.0,0.5,2.5
CASP8,19.0,3.0,4.0,0.0,5.0
CASP9,4.0,0.0,0.0,1.5,0.0
CASP10,16.0,0.0,1.0,3.0,2.5
CAT,63.0,6.0,40.0,35.0,19.0
RUNX2,54.0,29.0,42.0,17.0,38.5
RUNX1,102.0,52.0,55.0,32.0,68.5
CBFA2T3,29.0,11.0,10.0,0.0,12.0
RUNX3,42.0,14.0,30.0,14.5,23.0
CBFB,28.0,3.0,14.0,8.5,10.0
CBL,122.0,44.0,71.0,45.5,66.5
CBLB,4.0,2.0,5.0,1.0,4.5
SERPINH1,25.0,1.0,19.0,0.0,1.5
CBR1,21.0,0.0,6.0,0.0,2.5
CBR3,0.0,0.0,0.0,0.0,0.0
CBS,7.0,1.0,7.0,0.5,2.0
KYAT1,2.0,0.0,0.0,0.0,0.0
KRIT1,39.0,3.0,14.0,8.0,9.5
CCNA2,90.0,20.0,38.0,3.0,38.5
CCNB1,35.0,14.0,15.0,5.0,26.0
CCNC,23.0,4.0,16.0,2.5,14.0
CCND2,49.0,1.0,15.0,11.0,8.5
CCND3,87.0,19.0,42.0,8.0,29.0
CCNE1,37.0,10.0,26.0,3.5,24.0
CCNF,54.0,4.0,25.0,5.5,19.0
CCNG1,4.0,0.0,8.0,0.0,7.0
CCNG2,13.0,0.0,1.0,0.0,6.0
CCNH,3.0,0.0,4.0,0.0,0.0
CCNT1,91.0,57.0,52.0,17.0,86.5
CCNT2,28.0,8.0,8.0,0.0,13.5
CCT6A,63.0,16.0,48.0,0.0,33.0
CD1D,7.0,0.0,0.0,0.5,0.0
CD4,6.0,1.0,0.0,0.5,2.0
CD9,1.0,0.0,0.0,0.0,0.0
CD19,0.0,0.0,0.0,0.0,0.0
MS4A3,29.0,0.0,22.0,2.5,0.0
CD86,0.0,0.0,0.0,1.5,0.0
TNFRSF8,4.0,0.0,0.0,0.0,0.0
CD33,36.0,2.0,16.0,0.0,6.5
SIGLEC6,0.0,0.0,0.0,0.0,0.0
CD36,4.0,0.0,0.0,0.0,0.0
SCARB1,12.0,3.0,6.0,4.0,4.5
SCARB2,3.0,0.0,4.0,1.0,1.0
CD37,8.0,0.0,0.0,0.0,1.0
CD38,22.0,6.0,3.0,6.0,7.5
ENTPD6,0.0,0.0,0.0,0.0,0.0
ENTPD5,0.0,0.0,4.0,2.0,0.0
CD44,25.0,16.0,13.0,13.0,11.5
CD47,16.0,8.0,13.0,20.5,13.5
CD48,0.0,0.0,0.0,0.0,0.0
CD53,6.0,0.0,0.0,0.0,0.0
CD58,2.0,0.0,6.0,1.5,3.5
CD59,0.0,0.0,0.0,0.0,0.5
CD63,63.0,10.0,51.0,1.0,11.0
CD68,0.0,0.0,0.0,0.0,0.0
CD70,53.0,11.0,49.0,12.5,15.5
CD74,2.0,0.0,0.0,0.0,1.0
CD81,11.0,5.0,12.0,1.5,9.0
ADGRE5,98.0,31.0,76.0,17.0,33.0
CD151,0.0,0.0,0.0,0.0,0.0
CDA,0.0,0.0,0.0,0.0,0.0
CDK1,51.0,8.0,24.0,3.5,47.5
LRBA,7.0,1.0,4.0,1.0,3.0
CDC5L,7.0,4.0,1.0,2.0,5.0
SEPTIN7,16.0,3.0,24.0,6.0,12.0
CDC6,32.0,8.0,12.0,1.0,21.5
CDC20,20.0,6.0,14.0,1.0,9.0
CDC25A,108.0,21.0,97.0,25.5,36.0
CDC25B,41.0,3.0,18.0,0.5,19.5
CDC25C,11.0,0.0,14.0,3.5,2.0
CDC27,43.0,22.0,50.0,14.5,27.0
CDC34,5.0,5.0,6.0,0.0,11.0
CDC42,24.0,12.0,8.0,5.5,27.0
CDK2,60.0,8.0,48.0,0.0,17.5
CDK3,13.0,1.0,4.0,0.0,6.5
CDK4,19.0,2.0,21.0,1.0,10.0
CDK5,2.0,0.0,0.0,0.0,0.0
CDK6,457.0,379.0,251.0,238.0,417.0
CDK7,3.0,0.0,1.0,0.0,2.0
CDK8,12.0,13.0,3.0,4.5,12.0
CDK9,10.0,2.0,4.0,0.0,6.0
CDKN1A,72.0,20.0,51.0,0.0,71.0
CDKN1B,273.0,127.0,177.0,81.0,196.0
CDKN1C,1.0,0.0,0.0,0.0,0.0
CDKN2C,80.0,54.0,79.0,17.5,112.5
CDKN2D,94.0,17.0,79.0,1.5,61.5
CDKN3,5.0,3.0,1.0,0.0,4.0
CDR2,8.0,1.0,2.0,0.0,6.5
CEACAM5,0.0,0.0,0.0,0.5,0.0
CEBPA,1923.0,185.0,1160.0,70.5,544.0
CEBPB,65.0,4.0,31.0,0.0,26.0
CEBPD,168.0,9.0,79.0,0.5,37.5
CEBPE,27.0,0.0,7.0,0.0,1.5
CEBPG,45.0,13.0,37.0,1.5,19.5
CEL,0.0,0.0,0.0,1.5,0.0
CENPA,18.0,0.0,1.0,0.0,6.5
CENPB,47.0,8.0,27.0,0.0,15.5
CENPC,2.0,0.0,0.0,0.0,0.0
CENPE,6.0,2.0,5.0,2.5,2.5
CENPF,42.0,0.0,20.0,8.5,26.0
CES1,38.0,6.0,43.0,11.5,6.5
CETN2,0.0,0.0,0.0,0.0,0.0
CETN3,3.0,0.0,0.0,0.0,1.0
CFL1,78.0,35.0,64.0,6.0,117.0
CFL2,10.0,0.0,1.0,0.0,3.0
CTSC,46.0,1.0,9.0,2.5,7.5
RCBTB2,4.0,0.0,3.0,0.5,1.0
RCC1,39.0,7.0,10.0,1.5,14.5
CHD1,31.0,10.0,22.0,2.5,11.0
CHD2,24.0,22.0,16.0,21.5,23.5
CHD3,13.0,0.0,21.0,3.0,0.5
CHD4,61.0,15.0,46.0,26.5,40.0
CHEK1,13.0,1.0,4.0,1.0,1.0
FOXN3,101.0,64.0,67.0,28.0,76.5
CHI3L1,2.0,0.0,0.0,0.0,0.0
CHKA,33.0,27.0,21.0,11.5,39.5
CHKB,4.0,0.0,7.0,0.0,0.0
CHM,3.0,1.0,1.0,8.0,5.0
CHML,23.0,0.0,11.0,4.0,7.0
CHN2,0.0,0.0,0.0,0.0,0.0
LYST,125.0,129.0,111.0,82.5,144.5
CHRNA5,0.0,0.0,0.0,0.0,0.0
CHRNA7,10.0,18.0,5.0,2.0,14.0
CHRNB1,6.0,1.0,5.0,0.0,5.5
CHUK,21.0,11.0,2.0,1.5,13.0
CKB,0.0,0.0,0.0,0.0,0.0
CIRBP,107.0,103.0,142.0,11.5,121.5
CISH,112.0,17.0,83.0,21.0,37.5
TBCB,17.0,8.0,15.0,0.0,14.5
ERCC8,0.0,0.0,1.0,0.0,0.0
CKS1B,165.0,87.0,92.0,1.5,133.0
CKS2,54.0,15.0,27.0,9.5,37.5
AP2M1,4.0,0.0,3.0,0.0,7.0
AP1S1,3.0,1.0,7.0,0.0,1.0
AP2S1,12.0,4.0,5.0,5.5,4.5
AP3S1,3.0,2.0,9.0,0.0,2.5
CLC,5.0,0.0,0.0,0.0,0.0
CLCN2,0.0,0.0,0.0,0.0,0.0
CLCN3,4.0,0.0,3.0,1.0,1.5
CLCN5,4.0,4.0,1.0,2.5,3.5
CLCN6,8.0,4.0,4.0,2.0,3.0
CLCN7,9.0,12.0,10.0,3.5,10.5
CLU,0.0,0.0,0.0,0.0,0.0
CLIC1,108.0,5.0,70.0,7.0,30.5
CLK1,162.0,83.0,95.0,7.5,117.0
CLK2,13.0,8.0,9.0,3.5,11.5
CLK2P1,0.0,5.0,0.0,0.0,3.0
CLK3,26.0,12.0,22.0,9.5,15.5
TPP1,6.0,0.0,10.0,0.0,1.5
CLN3,10.0,0.0,10.0,2.0,3.0
CLN5,3.0,0.0,3.0,0.0,2.0
CLNS1A,48.0,8.0,24.0,2.0,20.5
CLPTM1,2.0,0.0,3.0,0.0,0.5
CLTA,148.0,69.0,120.0,14.5,73.0
CLTB,1.0,0.0,3.0,0.0,0.0
CLTC,51.0,35.0,18.0,23.0,44.5
CCR1,53.0,2.0,18.0,1.5,2.0
CCR6,0.0,0.0,0.0,0.0,0.0
LTB4R,12.0,0.0,5.0,0.5,2.5
PLK3,17.0,4.0,7.0,0.0,12.5
CNN2,2.0,0.0,2.0,0.0,0.5
CNP,3.0,0.0,14.0,0.0,8.0
COL4A1,0.0,0.0,0.0,0.0,0.0
COL8A2,7.0,0.0,0.0,0.0,0.0
COL9A3,4.0,0.0,0.0,0.0,0.0
COMT,15.0,2.0,3.0,0.0,3.5
COPA,33.0,26.0,22.0,8.5,26.0
COPB1,9.0,2.0,16.0,1.5,4.5
KLF6,180.0,59.0,69.0,12.0,107.5
SLC31A1,3.0,0.0,0.0,1.5,0.0
SLC31A2,1.0,0.0,0.0,0.0,1.0
CORT,3.0,0.0,0.0,0.0,0.0
MAP3K8,0.0,1.0,0.0,3.0,3.0
COX4I1,44.0,12.0,41.0,1.5,30.0
COX5B,16.0,0.0,2.0,2.0,6.5
COX6A1,14.0,4.0,10.0,0.0,33.5
COX6B1,12.0,13.0,3.0,0.0,16.0
COX6C,23.0,8.0,13.0,1.0,12.5
COX7A2,65.0,20.0,47.0,0.5,40.0
COX7B,20.0,6.0,13.0,0.0,18.5
COX7C,35.0,11.0,11.0,2.0,10.0
COX8A,47.0,17.0,38.0,2.5,37.0
COX10,7.0,4.0,15.0,6.0,5.0
COX11,21.0,0.0,2.0,0.0,2.5
COX15,1.0,1.0,0.0,0.0,3.0
CP,0.0,0.0,0.0,0.0,0.0
CPD,12.0,0.0,5.0,6.5,7.0
CLDN7,0.0,0.0,0.0,0.0,0.0
CPM,16.0,0.0,0.0,3.5,4.0
CPOX,11.0,1.0,7.0,0.5,3.0
CPS1,0.0,0.0,0.0,0.0,0.0
CPT1A,40.0,26.0,24.0,24.0,27.0
CPT1B,3.0,4.0,2.0,0.0,3.0
CPT2,11.0,3.0,2.0,0.5,5.5
CRABP2,0.0,0.0,0.0,0.0,0.0
CREB1,38.0,15.0,10.0,18.5,19.5
ATF2,16.0,1.0,8.0,1.5,4.0
CREBBP,16.0,18.0,23.0,8.0,14.0
ATF6B,9.0,0.0,10.0,0.0,2.5
CREBL2,7.0,0.0,0.0,0.0,1.0
CREM,3.0,1.0,0.0,1.0,3.0
