GENE,mr371-MV411-IRF2BP2-dTAG-DMSO_3h-r1_tcount,mr372-MV411-IRF2BP2-dTAG-DMSO_3h-r2_tcount,mr373-MV411-IRF2BP2-dTAG-DMSO_3h-r3_tcount,mr374-MV411-IRF2BP2-dTAG-DMSO_3h-r4_tcount,mr375-MV411-IRF2BP2-dTAG-VHL_3h-r1_tcount,mr376-MV411-IRF2BP2-dTAG-VHL_3h-r2_tcount,mr377-MV411-IRF2BP2-dTAG-VHL_3h-r3_tcount,mr378-MV411-IRF2BP2-dTAG-VHL_3h-r4_tcount,mr379-MV411-IRF2BP2-dTAG-DMSO_6h-r1_tcount,mr380-MV411-IRF2BP2-dTAG-DMSO_6h-r2_tcount,mr381-MV411-IRF2BP2-dTAG-DMSO_6h-r3_tcount,mr382-MV411-IRF2BP2-dTAG-DMSO_6h-r4_tcount,mr383-MV411-IRF2BP2-dTAG-VHL_6h-r1_tcount,mr384-MV411-IRF2BP2-dTAG-VHL_6h-r2_tcount,mr385-MV411-IRF2BP2-dTAG-VHL_6h-r3_tcount,mr386-MV411-IRF2BP2-dTAG-VHL_6h-r4_tcount
ACADSB,37,26,11,7,4,5,6,6,6,2,3,3,0,4,9,5
ACADVL,9,4,7,4,5,1,2,4,3,3,1,0,3,2,2,4
ACAT1,14,8,8,0,2,1,1,1,2,6,2,1,1,2,5,0
ACAT2,6,7,2,3,5,2,2,1,2,1,3,1,6,4,2,0
ASIC1,1,2,4,2,2,3,3,2,1,0,0,0,5,1,5,0
ACLY,213,169,46,37,25,33,39,25,18,34,9,16,25,14,32,5
ACO1,8,4,2,2,1,2,2,2,1,2,1,3,0,0,5,0
ACO2,26,11,4,6,3,3,2,3,2,2,2,2,2,2,5,3
ACOX1,76,58,19,16,10,8,8,4,9,10,12,10,6,8,15,4
ACP1,226,165,65,33,35,43,38,15,18,43,9,18,22,18,25,14
ACP2,16,17,6,4,2,6,6,1,4,5,2,4,0,0,0,0
ACP3,57,63,20,17,12,18,16,8,17,15,4,6,6,3,10,4
ACRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACTB,3988,2553,1095,675,476,662,686,313,525,756,315,329,275,298,486,260
ACTG1,5993,4198,2175,1443,1045,1735,1805,853,1048,1402,505,667,640,505,1134,382
ACTN4,331,247,84,66,61,91,69,43,30,50,20,14,29,29,49,30
ACTL6A,73,56,21,13,5,7,7,11,6,5,1,1,4,4,18,3
ACTN1,195,138,55,36,19,26,31,18,12,25,10,17,12,2,14,5
ACTN2,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
ACVR1,13,14,3,7,2,3,2,2,3,1,3,1,3,2,7,1
ACVR1B,124,92,40,33,13,21,20,14,9,15,8,11,5,1,19,1
ACVR2A,8,8,3,3,1,1,2,0,1,3,1,2,2,0,0,1
ACVR2B,108,71,32,18,17,21,12,9,18,13,6,6,5,11,17,10
ACVRL1,5,4,1,0,0,1,0,0,0,2,1,0,0,1,1,0
ACY1,1,3,1,0,1,0,0,0,0,1,1,0,1,0,2,0
ACYP1,46,29,22,13,6,11,5,1,8,3,6,1,5,3,5,2
ACYP2,2,3,0,1,0,2,1,0,0,0,1,0,0,2,1,0
ADA,75,53,21,18,21,23,28,13,6,12,7,8,4,7,17,6
ADAM8,13,3,5,4,2,5,1,3,3,3,2,0,0,3,4,3
ADAM10,315,209,86,34,25,50,40,24,24,30,19,20,31,23,35,4
ADAR,524,393,161,88,57,98,94,64,56,68,23,40,43,58,105,23
ADARB1,62,48,25,15,4,10,7,6,6,7,0,4,1,3,5,2
ADCY1,2,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0
ADCY3,130,75,38,28,15,20,27,13,16,26,6,9,5,8,11,9
ADCY5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADCY6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADCY7,363,258,105,71,43,43,51,33,20,18,11,12,15,13,19,4
ADCY9,293,235,102,67,62,140,100,50,47,81,29,30,42,34,73,22
ADD1,184,147,55,35,26,34,41,27,22,27,16,10,13,11,21,15
ADD2,143,107,61,37,25,31,29,25,17,14,6,7,18,14,20,5
ADD3,41,63,18,11,5,21,11,3,5,3,1,3,9,6,7,4
PLIN2,9,7,7,4,3,4,4,7,3,3,0,0,1,2,6,0
ADH5,53,55,17,13,8,10,4,6,6,7,6,2,5,7,7,8
ADH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADK,7,4,5,1,2,2,0,1,2,2,0,2,0,0,1,2
ADM,1,0,1,0,1,1,0,3,0,2,0,1,0,2,1,0
ADORA2A,3,6,1,1,1,1,0,1,0,1,0,0,0,0,0,0
ADORA2B,81,54,25,11,16,24,24,13,19,19,5,7,23,15,23,13
ADORA3,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
ADPRH,10,11,0,0,0,1,2,0,0,1,0,2,5,0,3,0
PARP1,103,59,34,26,8,13,19,8,6,17,13,7,9,11,9,3
PARP4,13,6,5,0,2,0,3,2,3,4,3,3,2,1,0,4
ADRA1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRA2C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRB1,5,6,0,0,0,0,1,2,0,0,0,0,0,0,0,1
ADRB2,15,10,2,4,8,15,12,8,11,6,1,6,11,8,26,8
GRK2,250,210,87,63,62,61,71,28,33,26,15,9,11,19,52,22
GRK3,432,356,142,82,45,63,60,35,40,60,29,25,24,28,60,11
ADSL,18,16,10,2,0,1,0,1,1,1,0,0,3,1,4,1
ADSS2,67,44,19,8,6,11,5,5,4,7,3,1,5,2,4,5
AP2A1,15,12,7,1,1,7,4,4,1,0,6,0,4,3,1,2
AP2A2,13,14,12,3,2,6,14,3,3,2,0,1,0,1,6,3
AP1B1,54,44,12,12,8,10,15,5,6,8,1,5,2,3,10,6
AP2B1,241,181,67,50,49,55,43,23,45,46,10,22,26,28,34,8
AP1G1,545,401,148,101,63,80,87,55,36,60,25,40,29,28,60,26
AEBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLE5,3,6,1,0,1,0,2,1,0,3,0,0,1,0,1,0
AFG3L1P,148,103,61,48,23,39,34,18,16,23,11,7,13,19,24,17
AGA,12,18,9,9,2,4,4,0,2,7,1,0,2,3,10,2
AGER,42,26,22,12,4,11,4,4,16,10,3,1,5,3,8,5
AGL,13,13,3,3,2,5,1,0,0,3,1,3,2,0,0,0
JAG1,5,2,2,0,1,0,0,1,0,1,1,2,3,2,2,0
AGT,8,0,6,1,0,1,1,1,3,2,0,0,1,0,4,3
AHCY,88,81,40,32,16,20,27,7,15,22,10,8,14,14,15,12
AHR,357,228,79,55,57,67,40,24,36,37,34,22,44,35,45,27
AIF1,71,55,24,31,16,23,27,6,10,6,6,10,9,5,17,8
CRYBG1,127,68,38,21,17,20,18,18,11,13,7,12,12,3,16,15
AK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK2,830,576,268,196,96,131,130,69,73,77,36,33,52,47,93,25
AK4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
AKT1,163,94,56,24,11,34,33,16,11,10,5,14,6,10,21,13
AKT2,116,83,55,31,15,23,24,20,7,18,7,8,14,8,21,3
ALAD,108,76,33,22,15,17,9,11,11,11,10,9,7,9,20,6
ALAS1,22,8,4,4,1,3,2,3,1,2,3,2,1,0,1,1
ALCAM,82,59,16,17,8,6,12,4,15,15,14,11,5,1,8,3
ABCD1,19,15,15,7,4,5,9,5,1,0,1,0,1,0,5,1
ALDH2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ALDH1B1,193,139,40,39,31,35,40,14,32,46,16,17,24,12,24,11
ALDH1A3,327,229,100,79,34,39,42,13,30,48,16,22,22,15,29,7
ALDH3B1,16,10,4,2,6,5,3,3,3,6,0,2,0,3,8,3
ALDH9A1,105,74,31,20,9,14,20,7,15,19,14,8,4,2,10,2
ALDH3A2,49,30,10,6,2,10,3,6,4,5,1,2,3,2,6,3
ABCD2,22,10,0,2,3,3,2,1,1,1,0,0,0,2,3,3
ALDOA,201,152,111,71,47,53,74,26,56,69,33,40,46,20,85,32
ALDOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDOC,4,4,3,3,0,2,2,1,2,1,0,0,0,1,3,0
AKR1B1,11,14,4,3,4,1,2,2,4,2,3,3,4,3,3,1
ALOX12,23,7,1,3,2,4,0,3,1,1,3,2,2,0,0,1
ALOX5AP,69,43,20,12,6,3,10,2,12,13,9,2,10,3,11,6
ALOX15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD1,798,534,179,99,122,121,111,55,64,62,57,58,81,41,75,30
AMFR,56,48,25,17,11,9,10,12,14,16,4,4,7,6,8,7
AMH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AMPD2,33,34,23,13,9,11,12,9,5,7,1,10,3,5,10,1
AMPD3,8,4,1,1,0,0,2,0,2,0,0,0,0,0,0,0
BIN1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AMT,5,1,3,0,0,1,1,0,0,0,2,0,0,0,1,0
ANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT1,9,5,3,1,5,1,5,1,2,0,0,0,0,0,0,1
ANGPT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANK2,9,8,4,5,3,4,3,2,0,2,2,2,1,0,0,2
ANK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SLC25A5,164,111,39,20,15,30,24,7,26,18,18,22,15,8,19,13
SLC25A6,393,319,160,120,81,144,110,69,89,111,37,30,49,47,107,48
ANXA1,1,3,0,1,1,2,3,0,1,2,1,1,0,2,5,0
ANXA2,32,14,11,7,6,14,8,5,2,5,1,0,3,2,4,1
303,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0
ANXA4,7,2,2,0,0,1,0,0,0,1,0,1,3,1,1,0
ANXA5,6,5,1,0,1,0,1,1,0,0,2,0,1,0,1,0
ANXA6,4,8,2,0,1,6,1,0,2,4,1,1,0,0,2,1
ANXA7,22,22,5,6,2,2,3,2,7,2,4,2,5,1,5,2
ANXA11,70,51,25,12,5,14,23,14,11,9,8,6,10,2,16,5
AOAH,3,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0
AOC2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
APAF1,180,126,44,21,21,17,16,7,21,17,7,13,9,3,13,3
NUDT2,10,8,11,3,3,3,1,1,1,2,0,1,1,1,0,1
APBA1,3,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0
APBA2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
APBB1,23,17,11,8,3,2,3,7,5,2,1,4,3,0,4,0
APBB2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
APC,56,35,23,6,5,2,3,5,2,6,2,6,3,1,5,5
APEH,12,9,10,3,0,6,1,2,2,3,0,0,1,0,1,3
APEX1,215,125,70,45,31,41,33,11,25,46,12,21,17,25,31,14
BIRC2,11,9,5,0,2,2,2,1,2,1,0,5,1,1,3,1
BIRC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIAP,259,168,56,45,33,40,28,18,17,23,7,19,24,9,20,10
BIRC5,385,238,101,72,21,57,72,38,41,64,25,30,19,26,45,23
APLP1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
APLP2,113,70,32,26,14,24,22,11,15,15,5,5,9,5,15,2
APOA1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1
APOC1,1,8,0,1,4,2,1,1,4,1,2,2,1,0,0,2
APOC2,118,75,45,45,16,35,33,12,15,30,7,12,10,12,30,13
APP,36,25,7,10,2,1,3,1,2,4,0,1,1,2,3,1
APRT,28,22,15,13,5,10,12,0,1,8,6,1,2,5,11,8
FAS,9,4,2,1,2,0,1,0,0,0,1,0,0,2,2,0
AQP1,34,24,7,6,2,3,5,4,2,3,0,0,4,2,4,0
AQP3,21,25,5,10,2,3,2,0,4,6,0,2,2,1,1,0
AQP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAF,62,32,26,10,9,15,17,8,18,4,2,6,10,5,13,7
ARCN1,666,504,199,130,87,97,114,53,82,73,33,32,42,33,89,21
TRIM23,38,15,16,5,10,5,6,4,6,1,1,0,3,3,2,3
ARF1,989,680,296,209,163,262,255,123,133,170,64,82,96,78,193,58
ARF3,403,321,120,61,48,83,73,50,44,39,11,6,26,18,57,4
ARF4,222,148,53,34,22,27,20,19,11,21,10,6,16,13,13,12
ARL4D,4,1,2,2,1,1,2,0,2,2,0,1,4,0,1,0
ARF5,19,16,8,4,2,3,8,2,6,1,0,4,2,4,1,3
ARF6,1192,803,348,223,191,244,261,120,134,175,122,104,128,103,207,96
ARG2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
RHOA,685,456,224,142,126,164,150,68,92,123,58,64,78,43,92,46
RHOB,70,49,31,10,7,23,23,15,16,22,18,5,13,5,10,5
RHOC,12,6,5,0,1,4,5,2,0,2,1,0,1,1,3,2
RND3,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
RHOG,301,210,103,78,52,67,70,31,38,60,19,17,35,33,61,17
ARHGAP1,186,154,55,41,14,50,58,18,50,40,12,20,26,24,31,13
ARHGAP4,6,10,2,5,1,1,3,1,2,2,0,1,2,3,2,1
ARHGAP5,15,19,3,0,4,2,1,0,1,3,1,0,0,0,0,1
ARHGAP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGDIA,595,505,278,207,135,223,221,102,92,120,36,47,75,66,177,43
ARHGDIB,441,329,146,114,44,94,109,53,108,143,51,51,56,53,123,38
RHOH,75,47,28,17,14,12,22,4,14,11,7,8,15,5,10,6
ARL1,109,47,24,26,10,10,15,5,5,11,5,4,6,5,11,7
PHOX2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL2,8,4,0,0,0,1,3,1,2,2,7,0,3,0,1,2
ARL3,13,10,2,4,3,0,0,0,3,1,0,3,3,0,0,1
ARNT,112,56,32,19,11,8,17,6,5,19,7,13,9,6,13,3
ARNTL,27,10,5,3,4,0,1,3,3,2,5,3,4,3,2,0
ARRB1,326,236,109,81,39,57,82,42,27,29,11,14,28,18,49,12
ARRB2,134,93,40,29,14,18,24,9,10,15,6,11,7,13,18,10
ARSA,15,8,7,0,2,1,1,0,1,1,3,0,0,2,1,1
ARSB,138,77,53,23,19,16,23,17,31,33,13,13,20,7,17,12
STS,40,25,8,9,7,4,7,4,6,4,2,2,1,4,5,3
ARSD,2,0,0,0,1,0,1,0,1,2,0,0,0,1,2,0
ARVCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAH1,16,11,8,2,1,1,3,3,4,3,4,1,1,0,5,1
ASCL2,5,7,2,2,3,0,3,2,0,4,3,1,0,1,5,5
ASGR2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0
ASIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASL,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0
GET3,10,11,5,10,2,3,6,2,0,4,2,3,0,1,6,6
ASNS,7,3,1,2,1,1,1,0,4,1,0,0,1,0,3,0
ASPH,108,85,37,12,23,16,15,9,8,12,2,11,11,8,19,6
ASS1,3,3,1,2,2,1,1,0,2,3,0,0,5,2,7,1
ZFHX3,4,4,0,1,0,0,1,1,2,1,5,1,2,0,3,1
ATF1,63,43,14,15,7,11,13,3,1,6,10,7,7,6,7,6
ATF3,122,68,39,25,38,48,59,27,60,66,28,32,90,80,155,60
ATF4,183,134,79,75,49,46,67,22,51,84,37,27,26,37,68,29
ATIC,15,14,8,3,5,3,4,4,5,2,3,1,2,1,4,2
ATM,152,109,45,26,14,19,21,8,25,21,18,12,19,15,17,7
RERE,208,164,66,37,16,28,34,24,18,18,9,11,11,8,15,11
ATOX1,5,3,4,6,3,8,3,1,2,0,1,1,0,0,1,0
ATP1A1,48,35,18,9,22,11,14,7,9,16,3,8,5,2,10,17
ATP1A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP1A3,16,14,3,5,0,10,6,0,9,7,0,1,1,4,3,0
ATP1B1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B3,163,128,44,32,28,32,27,25,17,28,14,21,7,13,15,7
ATP2A1,2,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0
ATP2A2,618,457,180,113,88,126,110,61,61,83,30,34,46,13,68,22
ATP2A3,133,102,54,47,18,28,31,7,6,13,2,10,11,14,23,5
ATP2B1,98,81,23,21,21,11,18,11,11,12,12,4,17,6,12,14
ATP2B2,13,4,2,5,1,2,2,2,0,2,0,3,0,2,0,0
ATP2B3,2,3,6,3,0,0,1,0,0,0,1,0,0,0,1,0
ATP2B4,537,435,171,104,65,105,93,54,75,55,29,20,48,31,76,12
ATP5F1A,56,23,10,6,2,2,5,0,2,3,3,4,2,0,2,4
ATP5F1B,64,36,9,13,9,14,7,9,10,16,14,6,14,9,10,8
ATP5F1C,3,4,2,1,2,0,0,0,1,1,2,0,2,0,1,0
ATP5F1D,17,8,8,8,6,7,10,1,0,7,7,5,3,0,8,2
ATP5F1E,47,18,15,11,7,9,13,4,5,6,2,4,1,2,3,2
ATP5PB,84,44,23,19,9,10,11,3,9,9,11,5,6,2,11,11
ATP5MC1,7,4,4,0,2,2,0,2,0,0,1,1,5,0,1,1
ATP5MC2,62,33,23,10,6,10,11,4,9,8,0,6,9,0,8,5
ATP5MC3,154,93,29,28,6,18,18,11,17,19,8,16,10,9,15,5
ATP5ME,33,14,8,4,6,2,15,3,3,3,3,2,5,7,7,6
ATP5PF,18,5,2,0,0,0,0,2,0,0,2,0,2,0,3,1
ATP6V1A,81,37,17,12,5,12,11,5,8,11,5,8,8,6,8,3
ATP6V1B2,323,230,74,60,29,46,47,24,60,59,28,31,45,15,55,44
ATP6V0C,96,53,36,25,9,21,23,9,16,18,9,11,10,6,21,12
ATP6V1C1,280,187,69,55,28,32,23,19,22,37,17,10,21,21,31,6
ATP6V1E1,79,52,22,21,13,16,25,8,7,18,8,10,14,6,9,7
ATP6V0B,109,69,33,19,14,22,25,14,23,34,9,9,11,7,16,6
ATP6V1G2,4,5,1,0,1,1,1,1,0,1,0,0,0,0,0,0
ATP6V0A1,42,32,14,14,11,5,16,4,5,8,4,6,5,8,5,5
ATP6AP1,38,27,12,10,3,6,4,4,7,8,3,2,5,1,6,3
ATP7A,6,4,2,2,1,1,0,1,0,2,0,0,0,0,3,0
ATP5PO,7,5,2,1,2,1,0,2,0,3,1,0,0,3,2,0
ATP7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATR,8,6,0,0,2,0,0,0,1,0,1,0,0,0,1,1
ATRX,116,66,29,14,15,13,12,1,5,10,13,5,8,7,8,4
KIF1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUH,2,3,2,1,0,1,1,0,0,1,0,0,0,2,0,0
AUP1,542,409,207,184,93,176,140,78,110,145,50,41,62,59,134,48
AVPR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZU1,9,7,4,4,0,2,0,1,6,9,2,0,0,2,5,3
B2M,145,93,30,18,23,32,28,19,21,21,17,15,35,23,42,33
BAAT,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
BACH1,362,218,92,44,53,58,52,26,31,46,19,16,25,18,41,8
BAD,6,3,5,2,0,4,3,1,1,0,0,0,1,2,2,0
BAG1,152,134,69,36,34,44,52,30,14,35,10,9,8,20,25,22
ADGRB1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BAK1,104,72,16,19,6,18,22,10,12,25,10,7,11,7,35,7
NKX3-2,5,5,2,1,1,0,2,1,0,0,0,0,1,0,3,0
BARD1,306,211,93,55,25,35,25,28,26,28,17,8,18,16,25,4
BAX,37,29,14,15,5,4,6,11,2,3,0,2,5,8,12,2
BBS1,13,16,7,4,5,4,2,0,0,1,2,0,2,1,3,1
BBS2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BBS4,22,14,1,7,2,2,2,1,0,5,1,2,2,4,6,4
BCAT1,173,154,60,20,29,33,23,14,18,31,13,14,16,13,33,14
BCAT2,5,2,7,3,1,3,6,0,5,2,2,2,2,3,6,1
BCKDHA,12,11,0,6,1,3,7,2,2,6,4,3,2,3,8,3
BCKDHB,8,5,6,0,1,0,0,0,3,4,1,1,1,0,3,0
CCND1,331,233,79,44,50,77,68,36,14,25,17,13,38,37,50,25
BCL2,1525,1099,493,290,217,307,299,161,152,138,76,91,120,88,213,58
BCL2A1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BCL2L1,190,120,63,54,16,31,40,16,18,29,5,8,12,16,41,8
BCL2L2,192,138,69,34,18,38,30,15,18,31,14,20,9,9,29,12
BCL3,69,40,20,16,23,21,34,16,4,9,3,4,6,7,17,4
BCL6,14,11,1,7,3,0,0,1,3,3,3,1,3,2,1,1
BCL7A,727,507,211,186,138,158,172,105,114,113,50,50,49,63,141,26
BCL9,29,16,8,3,4,3,2,2,0,5,1,1,2,2,2,3
OPN1SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCR,6,3,2,4,4,4,4,1,2,2,0,0,0,0,0,0
BCS1L,1,3,4,4,1,0,1,0,1,0,0,0,0,3,0,0
BDH1,19,11,7,6,1,2,3,3,5,5,1,1,2,3,5,1
BDNF,6,6,5,3,1,0,3,0,2,2,1,0,0,0,0,0
CFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFSP1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BGLAP,0,4,1,6,0,1,0,0,0,0,0,0,0,0,0,2
CEACAM1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BICD1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BID,136,110,39,40,26,28,23,16,16,17,7,10,13,7,23,12
BIK,20,12,5,1,6,6,6,3,4,2,0,0,2,1,7,0
PRDM1,80,54,14,9,42,47,65,25,21,29,11,10,48,39,73,33
BLM,16,18,3,2,1,2,2,0,3,2,4,0,0,0,0,3
BLMH,57,33,13,10,8,11,8,3,8,17,7,3,3,3,12,4
CXCR5,6,1,2,1,0,0,0,0,0,0,1,1,0,0,2,0
BLVRA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BLVRB,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
BMI1,49,35,18,6,5,2,3,2,0,2,3,1,3,4,1,0
BMP1,40,67,24,13,4,14,16,9,6,9,9,6,5,7,17,5
BMP2,83,71,29,23,11,7,12,1,4,4,7,8,4,1,4,4
BMP6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BMP8B,10,15,3,6,2,3,0,2,1,0,0,0,0,2,1,0
BMPR1A,34,22,5,12,5,1,5,1,3,7,5,2,5,9,9,2
BMPR2,23,17,6,3,0,3,2,1,1,1,3,1,0,0,1,0
POLR3D,79,85,33,12,12,36,35,12,10,15,6,6,13,4,22,5
BNIP1,38,22,13,8,3,8,4,0,5,6,8,2,3,1,9,3
BNIP2,495,340,151,91,62,67,61,38,51,76,36,52,37,27,54,14
BNIP3,0,1,4,0,0,1,1,0,1,0,0,0,0,0,0,0
BNIP3L,75,47,22,7,8,10,9,5,4,7,6,7,12,8,10,4
BOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DST,13,4,4,1,0,1,0,1,5,1,3,2,3,0,4,1
BPGM,15,20,8,5,2,3,2,2,8,6,6,0,6,1,6,0
BPHL,0,0,2,0,0,1,0,0,0,0,0,0,0,3,1,0
BRCA1,263,217,106,65,40,47,51,27,29,32,22,20,33,27,47,21
BRAF,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BRCA2,165,106,35,20,17,30,19,11,16,22,9,21,13,19,14,9
ZFP36L1,494,355,141,75,134,215,166,88,89,105,42,54,131,90,151,81
ZFP36L2,5024,3387,1369,820,725,1010,990,522,608,733,433,405,459,415,722,293
BSG,178,125,60,31,27,42,45,14,19,25,16,9,10,13,39,15
BST1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BST2,19,7,5,5,1,1,4,2,1,1,0,2,6,5,4,6
BTD,2,3,4,0,0,1,0,0,0,1,0,0,0,2,0,0
KLF9,112,82,37,30,25,31,27,21,43,20,14,16,32,31,39,7
KLF5,19,11,6,0,0,0,0,0,1,2,1,0,0,2,0,1
BTF3,124,84,32,15,16,19,13,6,19,17,10,8,3,5,12,17
BTG1,135,99,35,33,22,14,20,17,24,39,21,13,8,9,16,11
BTK,51,36,16,9,8,6,6,3,7,8,2,2,8,1,12,6
