GENE,VHL_6h,VHL_3h,DMSO_3h,DMSO_6h
ADORA2A,0.0,1.0,2.0,0.0
ADORA2B,19.0,20.0,39.5,13.0
ADORA3,0.0,0.0,0.0,0.0
ADPRH,1.5,0.5,5.0,0.5
PARP1,9.0,10.5,46.5,10.0
PARP4,1.5,2.0,5.5,3.0
ADRA1D,0.0,0.0,0.0,0.0
ADRA2C,0.0,0.0,0.5,0.0
ADRB1,0.0,0.5,2.5,0.0
ADRB2,9.5,10.0,7.0,6.0
GRK2,20.5,61.5,148.5,20.5
GRK3,26.0,52.5,249.0,34.5
ADSL,2.0,0.5,13.0,0.5
ADSS2,4.5,5.5,31.5,3.5
AP2A1,2.5,4.0,9.5,0.5
AP2A2,2.0,4.5,12.5,1.5
AP1B1,4.5,9.0,28.0,5.5
AP2B1,27.0,46.0,124.0,33.5
AP1G1,28.5,71.5,274.5,38.0
AEBP1,0.0,0.0,0.0,0.0
TLE5,0.5,1.0,2.0,0.0
AFG3L1P,18.0,28.5,82.0,13.5
AGA,2.5,3.0,10.5,1.5
AGER,5.0,4.0,24.0,6.5
AGL,0.0,1.5,8.0,2.0
JAG1,2.0,0.5,2.0,1.0
AGT,2.0,1.0,3.5,1.0
AHCY,14.0,18.0,60.5,12.5
AHR,39.5,48.5,153.5,35.0
AIF1,8.5,19.5,43.0,8.0
CRYBG1,13.5,18.0,53.0,11.5
AK1,0.0,0.0,0.0,0.0
AK2,49.5,113.0,422.0,54.5
AK4,0.0,0.0,0.0,0.0
AKT1,11.5,24.5,75.0,10.5
AKT2,11.0,21.5,69.0,7.5
ALAD,8.0,13.0,54.5,10.5
ALAS1,1.0,2.5,6.0,2.0
ALCAM,4.0,7.0,38.0,14.5
ABCD1,1.0,5.0,15.0,0.5
ALDH2,0.0,0.0,1.0,0.0
ALDH1B1,18.0,33.0,89.5,24.5
ALDH1A3,18.5,36.5,164.5,26.0
ALDH3B1,3.0,4.0,7.0,2.5
ALDH9A1,3.0,11.5,52.5,14.5
ALDH3A2,3.0,4.5,20.0,3.0
ABCD2,2.5,2.5,6.0,0.5
ALDOA,39.0,50.0,131.5,48.0
ALDOB,0.0,0.0,0.0,0.0
ALDOC,0.5,1.5,3.5,0.5
AKR1B1,3.0,2.0,7.5,3.0
ALOX12,0.5,2.5,5.0,1.5
ALOX5AP,8.0,4.5,31.5,10.5
ALOX15,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0
AMD1,58.0,116.0,356.5,60.0
AMFR,7.0,10.5,36.5,9.0
AMH,0.0,0.0,0.0,0.0
AMPD2,4.0,10.0,28.0,6.0
AMPD3,0.0,0.0,2.5,0.0
BIN1,0.0,0.0,0.0,0.0
AMT,0.0,0.5,2.0,0.0
ANG,0.0,0.0,0.0,0.0
ANGPT1,0.0,3.0,4.0,0.0
ANGPT2,0.0,0.0,0.0,0.0
ANK2,0.5,3.0,6.5,2.0
ANK3,0.0,0.0,0.0,0.0
SLC25A4,0.0,0.0,0.0,0.0
SLC25A5,14.0,19.5,75.0,20.0
SLC25A6,48.5,95.5,239.5,63.0
ANXA1,1.0,1.5,1.0,1.0
ANXA2,2.5,7.0,12.5,1.5
303,0.0,0.0,0.5,0.0
ANXA4,1.0,0.0,2.0,0.5
ANXA5,0.5,1.0,3.0,0.0
ANXA6,0.5,1.0,3.0,1.5
ANXA7,3.5,2.0,14.0,3.0
ANXA11,7.5,14.0,38.0,8.5
AOAH,0.0,0.5,1.5,0.0
AOC2,0.0,0.0,1.0,0.0
APAF1,6.0,16.5,85.0,15.0
NUDT2,1.0,2.0,9.0,1.0
APBA1,0.0,0.0,0.5,0.5
APBA2,0.0,0.0,0.0,0.0
APBB1,1.5,3.0,14.0,3.0
APBB2,0.0,0.0,0.5,0.0
APC,4.0,4.0,29.0,4.0
APEH,1.0,1.5,9.5,1.0
APEX1,21.0,32.0,97.5,23.0
BIRC2,1.0,2.0,7.0,1.5
BIRC3,0.0,0.0,0.0,0.0
XIAP,15.0,30.5,112.0,18.0
BIRC5,24.5,47.5,169.5,35.5
APLP1,0.0,0.0,0.0,0.0
APLP2,7.0,18.0,51.0,10.0
APOA1,0.5,0.0,0.0,0.0
APOC1,0.5,1.5,1.0,2.0
APOC2,12.5,24.5,60.0,13.5
APP,1.5,1.5,17.5,1.5
APRT,6.5,7.5,18.5,3.5
FAS,1.0,0.5,3.0,0.0
AQP1,3.0,3.5,15.5,1.0
AQP3,1.0,2.0,15.5,3.0
AQP6,0.0,0.0,0.0,0.0
AR,0.0,1.0,0.5,0.0
ABCC6,0.0,0.0,0.0,0.0
ARAF,8.5,12.0,29.0,5.0
ARCN1,37.5,92.0,351.5,53.0
TRIM23,3.0,5.5,15.5,1.0
ARF1,87.0,209.0,488.0,107.5
ARF3,22.0,61.5,220.5,25.0
ARF4,13.0,21.0,100.5,10.5
ARL4D,0.5,1.0,2.0,1.5
ARF5,2.5,2.5,12.0,2.5
ARF6,115.5,217.5,575.5,128.0
ARG2,0.0,0.0,0.0,0.0
RHOA,62.0,138.0,340.0,78.0
RHOB,7.5,19.0,40.0,17.0
RHOC,1.5,3.0,5.5,0.5
RND3,0.0,0.0,1.0,0.0
RHOG,34.0,59.5,156.5,28.5
ARHGAP1,25.0,34.0,104.5,30.0
ARHGAP4,2.0,1.0,5.5,1.5
ARHGAP5,0.0,1.5,9.0,1.0
ARHGAP6,0.0,0.0,0.0,0.0
ARHGDIA,70.5,178.0,391.5,69.5
ARHGDIB,54.5,73.5,237.5,79.5
RHOH,8.0,13.0,37.5,9.5
ARL1,6.5,10.0,36.5,5.0
PHOX2A,0.0,0.0,0.0,0.0
ARL2,1.5,1.0,2.0,2.0
ARL3,0.5,0.0,7.0,2.0
ARNT,7.5,9.5,44.0,10.0
ARNTL,2.5,2.0,7.5,3.0
ARRB1,23.0,49.5,172.5,20.5
ARRB2,11.5,16.0,66.5,10.5
ARSA,1.0,1.0,7.5,1.0
ARSB,14.5,18.0,65.0,22.0
STS,3.5,5.5,17.0,3.0
ARSD,0.5,0.5,0.0,0.5
ARVCF,0.0,0.0,0.0,0.0
ASAH1,1.0,2.0,9.5,3.5
ASCL2,3.0,2.5,3.5,2.0
ASGR2,0.0,0.0,2.0,0.0
ASIP,0.0,0.0,0.0,0.0
ASL,0.0,0.0,1.0,0.0
GET3,3.5,2.5,10.0,2.5
ASNS,0.5,1.0,2.5,0.5
ASPH,9.5,15.5,61.0,9.5
ASS1,3.5,1.0,2.5,1.0
ZFHX3,1.5,0.5,2.5,1.5
ATF1,6.5,9.0,29.0,6.5
ATF3,85.0,43.0,53.5,46.0
ATF4,33.0,47.5,106.5,44.0
ATIC,2.0,4.0,11.0,2.5
ATM,16.0,16.5,77.0,19.5
RERE,11.0,26.0,115.0,14.5
ATOX1,0.0,3.0,4.5,1.0
ATP1A1,7.5,12.5,26.5,8.5
ATP1A2,0.0,0.0,0.0,0.0
ATP1A3,2.0,3.0,9.5,4.0
ATP1B1,0.0,0.0,0.0,0.0
ATP1B3,10.0,27.5,86.0,19.0
ATP2A1,0.0,0.5,1.0,0.0
ATP2A2,34.0,99.0,318.5,47.5
ATP2A3,12.5,23.0,78.0,8.0
ATP2B1,13.0,14.5,52.0,11.5
ATP2B2,0.0,2.0,4.5,1.0
ATP2B3,0.0,0.0,3.0,0.0
ATP2B4,39.5,79.0,303.0,42.0
ATP5F1A,2.0,2.0,16.5,3.0
ATP5F1B,9.5,9.0,24.5,12.0
ATP5F1C,0.5,0.0,2.5,1.0
ATP5F1D,2.5,6.5,8.0,6.0
ATP5F1E,2.0,8.0,16.5,4.5
ATP5PB,8.5,9.5,33.5,9.0
ATP5MC1,1.0,2.0,4.0,0.5
ATP5MC2,6.5,8.0,28.0,7.0
ATP5MC3,9.5,14.5,61.0,16.5
ATP5ME,6.5,4.5,11.0,3.0
ATP5PF,1.5,0.0,3.5,0.0
ATP6V1A,7.0,8.0,27.0,8.0
ATP6V1B2,44.5,37.5,152.0,45.0
ATP6V0C,11.0,15.0,44.5,13.5
ATP6V1C1,21.0,25.5,128.0,19.5
ATP6V1E1,8.0,14.5,37.0,9.0
ATP6V0B,9.0,18.0,51.0,16.0
ATP6V1G2,0.0,1.0,2.5,0.0
ATP6V0A1,5.0,8.0,23.0,5.5
ATP6AP1,4.0,4.0,19.5,5.0
ATP7A,0.0,1.0,3.0,0.0
ATP5PO,1.0,1.5,3.5,0.5
ATP7B,0.0,0.0,0.0,0.0
ATR,0.5,0.0,3.0,0.5
ATRX,7.5,12.5,47.5,7.5
KIF1A,0.0,0.0,0.0,0.0
AUH,0.0,0.5,2.0,0.0
AUP1,60.5,116.5,308.0,80.0
AVPR2,0.0,0.0,0.0,0.0
AXL,0.0,0.0,0.5,0.0
AZU1,2.5,0.5,5.5,4.0
B2M,34.0,25.5,61.5,19.0
BAAT,0.0,0.0,1.0,0.0
BACH1,21.5,52.5,155.0,25.0
BAD,1.5,2.0,4.0,0.0
BAG1,21.0,39.0,101.5,12.0
ADGRB1,0.0,0.0,0.5,0.0
BAK1,9.0,14.0,45.5,11.0
NKX3-2,0.5,1.0,3.5,0.0
BARD1,17.0,26.5,152.0,21.5
BAX,6.5,5.5,22.0,2.0
BBS1,1.5,3.0,10.0,0.5
BBS2,0.0,0.0,0.0,0.0
BBS4,4.0,2.0,10.5,1.5
BCAT1,15.0,26.0,107.0,16.0
BCAT2,2.5,2.0,4.0,2.0
BCKDHA,3.0,2.5,8.5,3.5
BCKDHB,0.5,0.0,5.5,2.0
CCND1,37.5,59.0,156.0,15.5
BCL2,104.0,258.0,796.0,114.5
BCL2A1,0.0,0.0,1.0,0.0
BCL2L1,14.0,23.5,91.5,13.0
BCL2L2,10.5,24.0,103.5,19.0
BCL3,6.5,22.0,30.0,4.0
BCL6,1.5,0.5,9.0,3.0
BCL7A,56.0,148.0,359.0,81.5
BCL9,2.0,2.5,12.0,1.0
OPN1SW,0.0,0.0,0.0,0.0
BCR,0.0,4.0,3.5,1.0
BCS1L,0.0,0.5,3.5,0.0
BDH1,2.5,2.5,9.0,3.0
BDNF,0.0,0.5,5.5,1.5
CFB,0.0,0.0,0.0,0.0
BFSP1,0.0,0.0,0.0,0.0
BGLAP,0.0,0.0,2.5,0.0
CEACAM1,0.0,0.0,0.0,0.0
BICD1,0.0,0.0,0.0,0.0
BID,12.5,24.5,75.0,13.0
BIK,1.5,6.0,8.5,1.0
PRDM1,43.5,44.5,34.0,16.0
BLM,0.0,1.5,9.5,2.5
BLMH,3.5,8.0,23.0,7.5
CXCR5,0.0,0.0,1.5,0.5
BLVRA,0.0,0.0,0.0,0.0
BLVRB,0.0,0.0,0.0,0.0
BMI1,2.0,2.5,26.5,1.5
BMP1,6.0,11.5,32.0,7.5
BMP2,4.0,9.0,50.0,5.5
BMP6,0.5,0.0,0.0,0.0
BMP8B,0.5,2.0,8.0,0.0
BMPR1A,7.0,3.0,17.0,4.0
BMPR2,0.0,1.5,11.5,1.0
POLR3D,9.0,23.5,56.0,8.0
BNIP1,3.0,3.5,17.5,5.5
BNIP2,32.0,61.5,245.5,51.5
BNIP3,0.0,0.5,0.5,0.0
BNIP3L,9.0,8.5,34.5,6.5
BOK,0.0,0.0,0.0,0.0
DST,2.0,0.5,4.0,2.5
BPGM,3.5,2.0,11.5,6.0
BPHL,0.5,0.0,0.0,0.0
BRCA1,30.0,43.5,161.5,25.5
BRAF,0.0,0.0,0.0,0.0
BRCA2,13.5,18.0,70.5,18.5
ZFP36L1,110.5,150.0,248.0,71.5
ZFP36L2,437.0,857.5,2378.0,520.5
BSG,14.0,34.5,92.5,17.5
BST1,0.0,0.0,0.0,0.0
BST2,5.5,1.5,6.0,1.0
BTD,0.0,0.0,2.5,0.0
KLF9,31.5,26.0,59.5,18.0
KLF5,0.5,0.0,8.5,1.0
BTF3,8.5,14.5,58.0,13.5
BTG1,10.0,18.5,67.0,22.5
BTK,7.0,6.0,26.0,4.5
BUB1,0.0,1.0,6.5,0.0
BUB1B,3.5,3.0,20.5,7.5
BYSL,19.0,34.0,83.0,22.0
TSPO,0.5,3.0,4.5,1.0
C1QBP,17.5,21.5,55.0,20.5
C1R,0.0,0.0,0.0,0.0
C2,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0
C3AR1,1.0,0.0,0.0,0.5
CAPN5,0.0,0.0,0.0,0.0
C5,0.0,0.0,2.0,0.0
C5AR1,0.0,0.0,0.5,0.0
OSGIN2,7.5,15.0,50.0,8.5
VPS51,0.0,0.5,0.5,0.0
MRPL49,20.5,36.5,113.0,23.0
ZNHIT2,1.0,0.5,2.0,1.0
MYRF,0.0,0.0,0.0,0.0
TMEM258,0.0,0.5,8.0,2.0
DAGLA,0.0,0.5,3.5,0.5
GAS8-AS1,0.0,0.0,0.0,0.0
FMNL1,8.5,13.5,35.0,9.5
LDLRAD4,21.5,41.5,142.5,30.5
PTTG1IP,20.5,44.0,128.5,31.5
CFAP410,2.0,1.0,3.5,0.5
TMEM50B,7.5,12.5,33.0,6.5
MPPED1,0.0,0.0,0.0,0.5
CA3,0.0,0.0,0.0,0.0
CA7,0.0,0.0,0.0,0.0
CA11,0.0,0.0,1.0,0.0
CACNA1A,0.5,0.0,2.5,0.0
CACNA1E,0.0,3.5,12.5,0.5
CACNB1,0.0,0.0,0.5,0.0
CACNB2,0.0,0.0,0.0,0.0
CACNB3,0.5,2.5,7.0,1.0
CACNB4,0.0,0.0,0.0,0.0
SLC25A20,1.0,0.5,2.0,1.5
CAD,4.0,5.0,8.5,2.5
CALM1,37.5,58.0,156.5,22.0
CALM2,25.5,37.0,192.5,29.5
CALM3,29.5,73.0,248.5,36.0
CALR,97.0,140.5,458.5,106.5
CALU,26.0,49.0,277.0,28.0
CAMK2A,0.0,0.0,0.0,0.0
CAMK2B,0.0,0.0,0.0,0.0
CAMK2D,1.5,1.5,13.0,2.0
CAMK2G,17.5,37.5,108.5,18.5
CAMLG,1.0,1.5,9.0,2.0
CANX,52.0,70.5,353.0,46.0
CAPG,1.0,1.5,6.0,0.5
CAPN1,3.5,4.5,10.5,2.0
CAPN2,14.5,29.5,106.0,12.0
CAPN3,0.5,0.0,3.0,0.0
CAPNS1,7.0,24.0,54.5,9.0
CAPS,0.0,0.0,1.0,0.0
CAPZA1,31.0,48.5,276.0,35.0
CAPZA2,7.5,9.0,37.5,8.0
CAST,0.0,0.5,6.0,1.5
CAPZB,10.5,19.0,55.5,11.5
CARS1,33.0,29.0,53.0,25.0
CASP1,0.5,0.0,4.0,1.5
CASP2,50.5,118.0,467.0,64.5
CASP3,24.0,37.5,129.0,14.0
CASP4,1.5,0.0,2.5,0.0
CASP6,1.5,1.0,7.5,2.5
CASP7,7.5,11.0,41.0,7.0
CASP8,7.5,6.5,26.0,6.0
CASP9,3.0,1.5,2.0,3.0
CASP10,5.5,6.0,15.5,4.0
CAT,9.0,9.5,14.0,7.0
CAV1,0.0,0.0,0.0,0.0
RUNX2,227.0,429.0,1507.0,192.0
RUNX1,136.5,272.0,1028.0,140.0
CBFA2T3,83.5,167.5,720.0,65.5
RUNX3,325.0,648.5,1416.0,271.5
CBFB,19.5,47.5,192.0,20.5
CBL,15.5,55.0,223.0,29.5
CBLB,3.0,5.0,21.5,6.5
CBLN1,0.0,0.0,0.0,0.0
SERPINH1,4.5,1.5,14.0,4.5
CBR1,6.5,14.0,36.5,7.0
CBR3,0.0,0.0,1.0,0.0
CBS,0.0,0.0,0.5,0.0
KYAT1,2.5,3.0,9.0,3.5
KRIT1,2.5,3.0,18.0,4.0
CCNA2,10.0,22.0,89.5,18.0
CCNB1,7.5,8.5,47.5,7.5
CCNC,4.0,7.5,32.0,9.0
CCND2,105.0,339.5,916.0,74.0
CCND3,71.5,159.5,517.0,65.5
CCNE1,6.0,10.0,36.0,7.0
CCNF,37.0,60.0,246.5,44.0
CCNG1,11.0,16.0,91.0,16.5
CCNG2,4.0,4.5,34.5,7.5
CCNH,0.5,1.5,3.5,1.5
CCNT1,64.0,175.5,717.0,101.0
CCNT2,26.5,33.0,139.5,35.0
CCT6A,29.0,31.5,165.0,29.0
CD1A,0.0,0.0,1.0,0.0
CD1B,0.0,0.0,0.0,0.0
CD1C,0.0,0.0,1.0,0.0
CD1D,3.5,7.0,37.0,4.0
CD1E,0.0,0.0,0.0,0.0
CD3E,0.0,0.0,0.0,0.0
CD4,6.5,7.0,21.0,6.5
CD5,0.0,0.0,0.0,0.0
CD6,0.0,0.0,0.5,0.0
CD8A,0.0,0.0,0.0,0.0
CD9,0.0,0.0,0.0,0.0
CD19,0.0,0.0,0.0,0.0
MS4A3,2.0,0.5,15.0,8.0
CD27,0.0,0.5,0.0,0.0
CD28,0.0,0.0,1.0,0.0
CD80,0.0,1.0,0.0,0.0
CD86,1.5,1.0,7.0,1.0
TNFRSF8,0.0,0.0,0.0,0.0
CD33,10.0,10.5,52.5,7.5
SIGLEC6,2.0,4.5,34.5,4.5
CD36,0.5,1.0,2.0,0.5
SCARB1,8.0,12.0,20.5,4.0
SCARB2,0.5,1.0,8.5,2.0
CD37,0.0,0.0,1.0,0.0
CD38,6.0,13.0,115.5,12.0
ENTPD1,1.0,0.0,0.0,0.0
ENTPD6,4.0,5.5,18.5,2.0
ENTPD5,2.0,2.0,19.5,2.5
CD40,0.0,0.0,0.0,0.0
CD44,52.0,126.5,311.0,52.0
CD47,9.0,15.0,67.0,16.0
CD48,0.5,0.0,0.0,0.0
CD53,16.0,36.5,115.0,21.0
CD58,4.0,5.5,28.0,3.5
CD59,0.0,0.0,1.0,0.0
CD63,1.5,1.0,6.5,0.5
CD68,7.0,8.5,18.0,6.5
CD70,0.0,0.0,0.0,0.0
CD72,0.0,0.5,3.0,0.0
CD74,77.0,116.0,184.0,75.5
CD79A,0.5,0.0,1.0,1.0
CD81,6.5,8.0,24.0,7.5
ADGRE5,29.0,40.0,66.5,20.0
CD151,5.0,7.0,23.0,1.5
CDA,0.0,0.0,0.0,0.0
CDK1,3.0,5.5,32.0,9.0
CDK11B,0.0,1.5,3.5,0.0
LRBA,0.5,1.5,6.0,0.5
CDC5L,10.0,23.0,102.5,12.5
SEPTIN7,6.0,8.0,42.5,7.5
CDC6,11.0,13.0,95.5,13.5
CDC20,1.5,2.0,6.5,2.0
CDC25A,52.5,90.5,329.0,71.5
CDC25B,8.0,6.5,32.5,8.0
CDC25C,3.0,1.0,3.0,2.5
CDC27,13.0,26.5,152.5,19.0
CDC34,4.5,5.0,23.5,1.0
CDC42,24.5,59.5,171.0,33.0
CDH4,0.0,0.0,0.0,0.0
CDH15,0.0,0.0,0.0,0.0
CDH17,0.0,0.0,0.0,0.0
CDK2,14.0,27.0,103.0,27.0
CDK3,0.0,1.0,3.5,0.5
CDK4,14.0,24.5,59.0,15.5
CDK5,0.0,0.0,0.0,0.0
CDK6,49.5,153.0,353.5,59.0
CDK7,0.0,1.0,5.0,0.0
CDK8,10.0,7.5,52.5,10.5
CDK9,16.0,28.0,99.5,17.5
CDKN1A,16.5,39.0,36.5,4.5
CDKN1B,91.5,164.5,531.5,110.0
CDKN1C,1.0,0.5,1.0,0.0
CDKN2A,10.5,19.0,36.5,14.0
CDKN2B,0.5,1.5,4.0,0.5
CDKN2C,1.5,2.5,10.5,2.0
CDKN2D,11.0,21.0,63.5,10.5
CDKN3,0.5,2.0,4.5,1.0
CDR2,4.5,8.5,48.0,11.0
CDS1,0.0,0.0,0.0,0.0
CD52,1.0,1.0,3.0,0.0
CDX1,0.0,0.0,0.0,0.0
CDX2,0.5,1.0,3.0,1.0
CEBPA,390.0,936.5,2704.5,505.0
CEBPB,14.0,29.0,75.0,11.5
CEBPD,7.5,6.0,23.0,9.0
CEBPG,55.0,135.0,489.0,71.5
CEL,0.0,0.0,0.0,0.0
CENPA,11.0,24.0,88.5,18.0
CENPB,17.5,42.5,112.5,27.0
CENPC,0.0,0.5,2.0,0.0
CENPE,1.0,1.5,10.5,1.0
CENPF,7.5,11.5,52.0,13.5
CES1,0.5,0.0,0.0,0.0
CETN2,3.0,2.5,5.0,4.0
CETN3,0.0,0.5,3.0,0.0
CFL1,53.0,100.0,220.5,56.0
CFL2,5.0,9.0,50.5,11.5
CTSC,14.5,40.5,168.5,22.5
CEACAM4,0.0,0.0,0.0,0.0
CHAD,0.0,0.0,0.0,0.0
RCBTB2,2.5,1.0,8.0,1.5
RCC1,27.0,39.5,142.0,20.0
CHD1,7.5,19.5,82.0,12.5
CHD2,47.0,87.5,221.5,73.0
CHD3,5.0,9.5,20.5,5.0
CHD4,10.5,20.5,57.0,10.0
CHEK1,15.5,19.0,77.5,20.5
FOXN3,30.0,105.5,344.5,40.5
CHGB,0.0,0.0,0.0,0.0
CHI3L1,41.0,77.5,318.0,46.0
CHIT1,0.0,0.0,0.0,0.0
CHKA,7.5,13.0,51.5,12.0
CHKB,3.5,2.0,8.0,3.0
CHM,6.5,8.0,42.0,7.0
CHML,73.5,183.0,839.5,79.5
CHN1,0.0,0.0,0.5,0.0
LYST,76.0,150.5,492.5,117.5
CHRM4,0.0,0.5,1.5,0.5
CHRM5,0.0,0.0,0.0,0.0
CHRNA3,0.0,0.0,0.0,0.0
CHRNA5,0.0,0.0,0.5,0.0
CHRNB1,3.0,4.0,14.0,3.5
CHRNB2,0.0,0.0,0.0,0.0
CHRND,0.0,0.0,0.0,0.0
CHRNE,0.0,0.0,0.5,0.0
CHRNG,0.0,0.0,0.0,0.0
CHUK,10.5,11.5,68.0,10.5
CKB,1.5,1.0,3.5,3.0
CIRBP,69.0,92.0,273.5,104.5
CISH,83.0,360.0,749.5,109.5
TBCB,7.0,7.5,27.5,3.5
CKM,0.0,0.0,0.0,0.0
ERCC8,1.0,0.5,3.5,0.5
CKS1B,1.5,3.5,8.5,3.0
CKS2,1.5,3.5,26.0,5.5
AP2M1,5.0,13.0,24.0,4.5
AP1S1,2.5,5.5,9.5,3.0
AP2S1,6.5,8.0,18.5,3.5
AP3S1,2.5,2.0,18.0,2.5
CLCN2,0.5,1.5,3.5,0.5
CLCN3,5.0,8.0,31.0,6.5
CLCN4,19.5,29.5,54.0,12.5
CLCN5,4.0,4.5,29.0,2.5
CLCN6,12.5,16.0,51.0,6.5
CLCN7,4.0,10.0,14.5,3.0
CLCNKA,0.0,0.0,0.0,0.0
CLU,0.5,0.5,2.0,1.5
CLIC1,25.5,54.5,107.0,26.0
CLIC2,1.5,0.0,1.5,0.0
CLK1,64.0,134.0,449.0,98.5
CLK2,9.5,11.0,44.0,11.5
1197,13.0,14.0,46.5,8.5
CLK3,3.5,9.0,18.5,5.0
TPP1,24.5,34.0,154.5,19.5
CLN3,1.5,3.5,6.5,1.0
CLN5,2.5,1.5,8.0,0.0
CLNS1A,7.5,15.5,55.5,12.5
CLPTM1,5.5,8.5,19.5,4.5
CLTA,12.0,20.5,52.5,15.0
CLTB,2.5,9.0,21.0,3.0
CLTC,29.5,47.0,147.5,39.5
CCR1,212.5,318.0,408.0,79.5
CCR3,0.0,0.0,0.0,0.0
CCR5,25.0,62.0,63.0,5.0
CCR6,13.5,14.0,95.5,10.5
CCR7,3.0,0.5,2.0,0.0
ACKR2,0.0,0.0,0.5,0.0
LTB4R,8.0,8.0,47.5,5.5
ABCC2,0.0,0.0,0.0,0.5
CNGA4,0.0,0.0,0.0,0.0
PLK3,3.0,5.5,8.5,4.5
CNN2,44.5,76.0,226.0,51.5
CNP,12.5,22.0,81.0,12.5
CNR2,2.5,0.5,4.5,3.0
CNTF,0.5,5.5,15.0,2.0
COL1A1,0.0,0.0,0.0,0.0
COL4A2,0.5,0.0,1.0,0.5
COL4A4,0.0,0.0,0.0,0.0
COL5A1,0.0,0.0,0.0,0.0
COL5A2,0.0,0.0,0.0,0.0
COL6A1,0.0,0.0,1.5,0.0
COL6A2,0.0,0.0,0.0,0.0
COL6A3,0.0,0.0,0.0,0.0
COL7A1,2.5,1.5,7.0,1.0
COL8A2,0.0,0.0,0.0,0.0
COL9A2,0.5,0.5,0.0,1.0
COL9A3,1.0,1.5,0.5,0.5
COL11A2,0.0,0.0,0.5,0.0
COL15A1,0.0,0.0,0.0,0.5
COMT,6.0,8.5,20.0,2.5
COPA,7.0,14.0,65.0,7.5
COPB1,1.5,1.5,11.5,2.0
KLF6,72.0,62.5,102.0,109.5
SLC31A1,14.0,12.0,55.0,14.0
SLC31A2,3.0,3.5,25.0,9.5
CORT,0.0,0.0,0.0,0.0
MAP3K8,1.0,1.5,2.0,0.0
COX4I1,13.5,20.5,61.5,16.0
COX5B,0.5,1.5,7.5,2.0
COX6A1,5.5,7.5,30.0,8.0
COX6B1,7.0,5.5,14.0,4.0
COX6C,1.0,1.5,7.0,2.5
COX7A1,0.0,0.0,0.0,0.0
COX7A2,5.5,8.5,25.5,7.5
COX7B,2.0,3.5,13.5,1.5
COX7C,8.5,5.5,13.0,3.0
COX8A,8.5,14.0,26.0,7.0
COX10,10.5,18.5,56.0,16.0
