chr	start	end	interval_id	num_peaks	num_samples	MV411_1_320_R1.bool	MV411_3_568_R1.bool	MV411_7_714_R1.bool	MV411_8_715_R1.bool	MV411_1_320_R1.fc	MV411_3_568_R1.fc	MV411_7_714_R1.fc	MV411_8_715_R1.fc	MV411_1_320_R1.qval	MV411_3_568_R1.qval	MV411_7_714_R1.qval	MV411_8_715_R1.qval	MV411_1_320_R1.pval	MV411_3_568_R1.pval	MV411_7_714_R1.pval	MV411_8_715_R1.pval	MV411_1_320_R1.start	MV411_3_568_R1.start	MV411_7_714_R1.start	MV411_8_715_R1.start	MV411_1_320_R1.end	MV411_3_568_R1.end	MV411_7_714_R1.end	MV411_8_715_R1.end	MV411_1_320_R1.summit	MV411_3_568_R1.summit	MV411_7_714_R1.summit	MV411_8_715_R1.summit
chr1	1033159	1033352	Interval_11	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.02889	NA	NA	NA	4.30829	NA	NA	NA	7.53186	NA	NA	NA	1033159	NA	NA	NA	1033352	NA	NA	NA	125
chr1	1038791	1039034	Interval_12	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	8.53436	NA	NA	NA	13.11132	NA	NA	NA	16.85754	NA	NA	NA	1038791	NA	NA	NA	1039034	NA	NA	NA	127
chr1	1063997	1064530	Interval_13	2	2	TRUE	FALSE	FALSE	TRUE	7.33175	NA	NA	9.0732	9.53391	NA	NA	15.97426	13.47188	NA	NA	19.81352	1063997	NA	NA	1064064	1064530	NA	NA	1064430	225	NA	NA	141
chr1	1067850	1068155	Interval_14	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.10371	NA	NA	NA	1.86573	NA	NA	NA	4.71607	NA	NA	NA	1067850	NA	NA	NA	1068155	NA	NA	NA	152
chr1	1115990	1116469	Interval_15	2	2	TRUE	FALSE	FALSE	TRUE	22.30485	NA	NA	24.91409	55.66478	NA	NA	71.00782	60.31141	NA	NA	75.42263	1115990	NA	NA	1116017	1116469	NA	NA	1116395	212	NA	NA	157
chr1	1122248	1122438	Interval_16	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.3643	NA	NA	NA	5.07127	NA	NA	NA	8.3729	NA	NA	NA	1122248	NA	NA	NA	1122438	NA	NA	NA	143
chr1	1122744	1124751	Interval_17	3	3	TRUE	FALSE	TRUE	TRUE	91.67545	NA	46.95425	109.41419	523.18988	NA	214.3252	557.02948	529.55835	NA	220.5405	563.21582	1123147	NA	1123213	1122744	1124534	NA	1124569	1124751	612	NA	831	1355
chr1	1144475	1144769	Interval_18	2	2	TRUE	FALSE	FALSE	TRUE	5.29515	NA	NA	4.191	4.65756	NA	NA	3.5756	8.26142	NA	NA	6.71379	1144488	NA	NA	1144475	1144660	NA	NA	1144769	102	NA	NA	157
chr1	1159859	1160019	Interval_19	1	1	TRUE	FALSE	FALSE	FALSE	6.92443	NA	NA	NA	8.4998	NA	NA	NA	12.37751	NA	NA	NA	1159859	NA	NA	NA	1160019	NA	NA	NA	103	NA	NA	NA
chr1	1175857	1176081	Interval_20	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.81038	NA	NA	NA	6.37016	NA	NA	NA	9.77208	NA	NA	NA	1175857	NA	NA	NA	1176081	NA	NA	NA	123
chr1	1176158	1176698	Interval_21	2	2	TRUE	FALSE	FALSE	TRUE	5.10187	NA	NA	8.38201	4.95814	NA	NA	16.27439	8.58604	NA	NA	20.12358	1176455	NA	NA	1176158	1176634	NA	NA	1176698	128	NA	NA	411
chr1	1208980	1209139	Interval_22	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.69712	NA	NA	NA	4.09476	NA	NA	NA	7.28776	NA	NA	NA	1208980	NA	NA	NA	1209139	NA	NA	NA	49
chr1	1231792	1232136	Interval_23	1	1	TRUE	FALSE	FALSE	FALSE	5.48611	NA	NA	NA	4.65756	NA	NA	NA	8.25979	NA	NA	NA	1231792	NA	NA	NA	1232136	NA	NA	NA	135	NA	NA	NA
chr1	1260192	1260560	Interval_24	2	2	TRUE	FALSE	FALSE	TRUE	7.03229	NA	NA	5.00936	7.91574	NA	NA	4.2852	11.76325	NA	NA	7.5007	1260192	NA	NA	1260281	1260560	NA	NA	1260546	123	NA	NA	147
chr1	1272510	1272791	Interval_25	2	2	TRUE	FALSE	FALSE	TRUE	7.92699	NA	NA	10.84969	10.90318	NA	NA	20.05361	14.90244	NA	NA	23.99515	1272521	NA	NA	1272510	1272767	NA	NA	1272791	133	NA	NA	127
chr1	1300125	1300353	Interval_26	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.98442	NA	NA	NA	12.66816	NA	NA	NA	16.40266	NA	NA	NA	1300125	NA	NA	NA	1300353	NA	NA	NA	142
chr1	1309263	1309453	Interval_27	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.54992	NA	NA	NA	3.62339	NA	NA	NA	6.76373	NA	NA	NA	1309263	NA	NA	NA	1309453	NA	NA	NA	100
chr1	1324654	1324835	Interval_28	1	1	TRUE	FALSE	FALSE	FALSE	5.09388	NA	NA	NA	4.37458	NA	NA	NA	7.93586	NA	NA	NA	1324654	NA	NA	NA	1324835	NA	NA	NA	114	NA	NA	NA
chr1	1340557	1341394	Interval_29	3	3	TRUE	FALSE	TRUE	TRUE	21.11274	NA	11.24652	34.54385	51.15665	NA	23.02965	110.52826	55.77249	NA	27.54741	115.09052	1340557	NA	1340758	1340595	1341339	NA	1341323	1341394	580	NA	388	464
chr1	1368016	1368245	Interval_30	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.60222	NA	NA	NA	7.93731	NA	NA	NA	11.44766	NA	NA	NA	1368016	NA	NA	NA	1368245	NA	NA	NA	124
chr1	1371895	1372243	Interval_31	1	1	TRUE	FALSE	FALSE	FALSE	5.70411	NA	NA	NA	5.88611	NA	NA	NA	9.59637	NA	NA	NA	1371895	NA	NA	NA	1372243	NA	NA	NA	74	NA	NA	NA
chr1	1375282	1375578	Interval_32	2	2	TRUE	FALSE	FALSE	TRUE	9.91692	NA	NA	6.19774	16.02333	NA	NA	7.31089	20.19328	NA	NA	10.77985	1375282	NA	NA	1375310	1375573	NA	NA	1375578	103	NA	NA	89
chr1	1435853	1436081	Interval_33	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.8605	NA	NA	NA	4.32968	NA	NA	NA	7.55583	NA	NA	NA	1435853	NA	NA	NA	1436081	NA	NA	NA	91
chr1	1511093	1511309	Interval_34	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.08099	NA	NA	NA	4.94817	NA	NA	NA	8.22801	NA	NA	NA	1511093	NA	NA	NA	1511309	NA	NA	NA	99
chr1	1605260	1605860	Interval_35	2	2	TRUE	FALSE	FALSE	TRUE	7.27426	NA	NA	7.89686	9.45271	NA	NA	16.831	13.37628	NA	NA	20.69137	1605457	NA	NA	1605260	1605732	NA	NA	1605860	67	NA	NA	380
chr1	1606041	1606582	Interval_36	2	2	TRUE	FALSE	FALSE	TRUE	8.55371	NA	NA	15.24298	12.8146	NA	NA	37.43388	16.89005	NA	NA	41.62849	1606041	NA	NA	1606059	1606582	NA	NA	1606581	242	NA	NA	298
chr1	1615640	1615901	Interval_37	2	2	TRUE	FALSE	FALSE	TRUE	6.51711	NA	NA	5.46929	7.48883	NA	NA	5.23094	11.30773	NA	NA	8.54187	1615640	NA	NA	1615737	1615845	NA	NA	1615901	65	NA	NA	90
chr1	1764319	1764516	Interval_38	1	1	TRUE	FALSE	FALSE	FALSE	6.27934	NA	NA	NA	7.48883	NA	NA	NA	11.30028	NA	NA	NA	1764319	NA	NA	NA	1764516	NA	NA	NA	159	NA	NA	NA
chr1	1764878	1765351	Interval_39	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.48393	NA	NA	NA	13.18306	NA	NA	NA	16.93363	NA	NA	NA	1764878	NA	NA	NA	1765351	NA	NA	NA	270
chr1	1778764	1779238	Interval_40	3	3	TRUE	FALSE	TRUE	TRUE	9.12657	NA	6.06499	9.75555	15.23429	NA	7.88789	18.20281	19.38079	NA	12.08117	22.09668	1778764	NA	1778881	1778800	1779213	NA	1779126	1779238	259	NA	81	118
chr1	1779965	1780124	Interval_41	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.61317	NA	NA	NA	1.92052	NA	NA	NA	4.77864	NA	NA	NA	1779965	NA	NA	NA	1780124	NA	NA	NA	158
chr1	1780433	1780592	Interval_42	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.89165	NA	NA	NA	2.89087	NA	NA	NA	5.93141	NA	NA	NA	1780433	NA	NA	NA	1780592	NA	NA	NA	34
chr1	1782450	1782846	Interval_43	3	3	TRUE	FALSE	TRUE	TRUE	11.6416	NA	6.56311	13.94492	21.05936	NA	7.96569	30.94922	25.34001	NA	12.16635	35.07112	1782450	NA	1782592	1782466	1782773	NA	1782771	1782846	156	NA	64	152
chr1	1934099	1935063	Interval_44	3	3	TRUE	FALSE	TRUE	TRUE	7.52933	NA	7.03464	15.52869	8.67664	NA	7.93449	32.27064	12.57067	NA	12.13224	36.40942	1934338	NA	1934279	1934099	1934634	NA	1934658	1935063	144	NA	223	380
chr1	1935333	1935556	Interval_45	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.02399	NA	NA	NA	4.0543	NA	NA	NA	7.24381	NA	NA	NA	1935333	NA	NA	NA	1935556	NA	NA	NA	85
chr1	1960157	1960324	Interval_46	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.22392	NA	NA	NA	4.88366	NA	NA	NA	8.1464	NA	NA	NA	1960157	NA	NA	NA	1960324	NA	NA	NA	81
chr1	1968457	1968688	Interval_47	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.71117	NA	NA	NA	5.89587	NA	NA	NA	9.26207	NA	NA	NA	1968457	NA	NA	NA	1968688	NA	NA	NA	111
chr1	1970925	1971442	Interval_48	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.60422	NA	NA	NA	8.46631	NA	NA	NA	12.00587	NA	NA	NA	1970925	NA	NA	NA	1971442	NA	NA	NA	157
chr1	1996195	1996514	Interval_49	2	2	TRUE	FALSE	FALSE	TRUE	8.02975	NA	NA	8.90925	10.63388	NA	NA	14.69244	14.62426	NA	NA	18.49071	1996195	NA	NA	1996212	1996450	NA	NA	1996514	129	NA	NA	158
chr1	2046558	2046853	Interval_50	2	2	TRUE	FALSE	FALSE	TRUE	7.73907	NA	NA	10.52491	10.60129	NA	NA	20.64072	14.58952	NA	NA	24.59608	2046617	NA	NA	2046558	2046843	NA	NA	2046853	76	NA	NA	121
chr1	2112409	2112586	Interval_51	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.85257	NA	NA	NA	6.43728	NA	NA	NA	9.84165	NA	NA	NA	2112409	NA	NA	NA	2112586	NA	NA	NA	55
chr1	2142962	2143408	Interval_52	3	3	TRUE	FALSE	TRUE	TRUE	7.8556	NA	14.5047	29.79992	9.94835	NA	33.4192	87.06969	13.9061	NA	38.04917	91.55511	2142962	NA	2143046	2142977	2143129	NA	2143338	2143408	47	NA	113	170
chr1	2148744	2148962	Interval_53	2	2	TRUE	FALSE	FALSE	TRUE	5.3862	NA	NA	5.5797	5.40822	NA	NA	6.68386	9.06651	NA	NA	10.09978	2148796	NA	NA	2148744	2148962	NA	NA	2148913	114	NA	NA	107
chr1	2151374	2151631	Interval_54	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.09267	NA	NA	NA	4.96079	NA	NA	NA	8.2474	NA	NA	NA	2151374	NA	NA	NA	2151631	NA	NA	NA	137
chr1	2219935	2220158	Interval_55	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.31159	NA	NA	NA	2.01386	NA	NA	NA	4.90411	NA	NA	NA	2219935	NA	NA	NA	2220158	NA	NA	NA	70
chr1	2234580	2235099	Interval_56	2	2	TRUE	FALSE	FALSE	TRUE	6.44599	NA	NA	5.32704	7.02456	NA	NA	5.31664	10.81222	NA	NA	8.63443	2234580	NA	NA	2234709	2234862	NA	NA	2235099	132	NA	NA	194
chr1	2290608	2290960	Interval_57	2	2	FALSE	TRUE	FALSE	TRUE	NA	5.96391	NA	5.23439	NA	4.09374	NA	5.17312	NA	8.52195	NA	8.48186	NA	2290725	NA	2290608	NA	2290949	NA	2290960	NA	173	NA	114
chr1	2348569	2348912	Interval_58	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	10.25774	NA	NA	NA	17.42242	NA	NA	NA	21.30251	NA	NA	NA	2348569	NA	NA	NA	2348912	NA	NA	NA	195
chr1	2391662	2391858	Interval_59	1	1	TRUE	FALSE	FALSE	FALSE	6.51711	NA	NA	NA	7.48883	NA	NA	NA	11.30773	NA	NA	NA	2391662	NA	NA	NA	2391858	NA	NA	NA	48	NA	NA	NA
chr1	2412559	2412726	Interval_60	1	1	TRUE	FALSE	FALSE	FALSE	6.03639	NA	NA	NA	6.06886	NA	NA	NA	9.78896	NA	NA	NA	2412559	NA	NA	NA	2412726	NA	NA	NA	98	NA	NA	NA
chr1	2526057	2526460	Interval_61	2	2	TRUE	FALSE	FALSE	TRUE	17.80956	NA	NA	19.86951	56.6211	NA	NA	75.50667	61.27261	NA	NA	79.94331	2526111	NA	NA	2526057	2526460	NA	NA	2526449	190	NA	NA	216
chr1	2547657	2547905	Interval_62	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.42024	NA	NA	NA	3.20336	NA	NA	NA	6.29035	NA	NA	NA	2547657	NA	NA	NA	2547905	NA	NA	NA	207
chr1	2547944	2548330	Interval_63	3	3	TRUE	FALSE	TRUE	TRUE	5.78211	NA	5.62584	6.20742	6.6801	NA	7.61369	11.97892	10.45143	NA	11.79668	15.68192	2547944	NA	2548062	2548022	2548330	NA	2548250	2548313	186	NA	102	147
chr1	2648558	2648734	Interval_64	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.54436	NA	NA	NA	3.87444	NA	NA	NA	7.03533	NA	NA	NA	2648558	NA	NA	NA	2648734	NA	NA	NA	65
chr1	2651130	2651303	Interval_65	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.25456	NA	NA	NA	4.4413	NA	NA	NA	7.67341	NA	NA	NA	2651130	NA	NA	NA	2651303	NA	NA	NA	94
chr1	2652153	2652632	Interval_66	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.73193	NA	NA	NA	24.61879	NA	NA	NA	28.64644	NA	NA	NA	2652153	NA	NA	NA	2652632	NA	NA	NA	136
chr1	2652884	2653604	Interval_67	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.68899	NA	NA	NA	17.34454	NA	NA	NA	21.22332	NA	NA	NA	2652884	NA	NA	NA	2653604	NA	NA	NA	381
chr1	2653709	2654334	Interval_68	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.13499	NA	NA	NA	10.48656	NA	NA	NA	14.1292	NA	NA	NA	2653709	NA	NA	NA	2654334	NA	NA	NA	450
chr1	2654455	2655060	Interval_69	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.21281	NA	NA	NA	8.99514	NA	NA	NA	12.56209	NA	NA	NA	2654455	NA	NA	NA	2655060	NA	NA	NA	157
chr1	2655632	2655953	Interval_70	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.06848	NA	NA	NA	4.55555	NA	NA	NA	7.7927	NA	NA	NA	2655632	NA	NA	NA	2655953	NA	NA	NA	45
chr1	2656112	2656393	Interval_71	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.90479	NA	NA	NA	14.85586	NA	NA	NA	18.66617	NA	NA	NA	2656112	NA	NA	NA	2656393	NA	NA	NA	151
chr1	2677580	2677794	Interval_72	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.76435	NA	NA	NA	10.13167	NA	NA	NA	13.75691	NA	NA	NA	2677580	NA	NA	NA	2677794	NA	NA	NA	88
chr1	2683335	2683500	Interval_73	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.33054	NA	NA	NA	4.5788	NA	NA	NA	7.81976	NA	NA	NA	2683335	NA	NA	NA	2683500	NA	NA	NA	131
chr1	2683977	2684357	Interval_74	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.86195	NA	NA	NA	12.538	NA	NA	NA	16.26492	NA	NA	NA	2683977	NA	NA	NA	2684357	NA	NA	NA	228
chr1	2687373	2687605	Interval_75	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.93148	NA	NA	NA	11.23387	NA	NA	NA	14.9099	NA	NA	NA	2687373	NA	NA	NA	2687605	NA	NA	NA	102
chr1	2687805	2688250	Interval_76	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	5.10559	9.08872	NA	NA	5.97475	16.51708	NA	NA	10.08017	20.37126	NA	NA	2688065	2687805	NA	NA	2688193	2688250	NA	NA	45	307
chr1	2747595	2747754	Interval_77	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.44392	NA	NA	NA	5.80854	NA	NA	NA	9.16324	NA	NA	NA	2747595	NA	NA	NA	2747754	NA	NA	NA	96
chr1	2748402	2748561	Interval_78	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.08039	NA	NA	NA	6.45367	NA	NA	NA	9.86005	NA	NA	NA	2748402	NA	NA	NA	2748561	NA	NA	NA	98
chr1	2748848	2749028	Interval_79	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.94357	NA	NA	NA	1.74576	NA	NA	NA	4.58449	NA	NA	NA	2748848	NA	NA	NA	2749028	NA	NA	NA	1
chr1	2752326	2752486	Interval_80	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.08099	NA	NA	NA	4.94817	NA	NA	NA	8.22801	NA	NA	NA	2752326	NA	NA	NA	2752486	NA	NA	NA	125
chr1	2753258	2753417	Interval_81	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.48071	NA	NA	NA	4.96079	NA	NA	NA	8.25121	NA	NA	NA	2753258	NA	NA	NA	2753417	NA	NA	NA	103
chr1	2767775	2767934	Interval_82	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.11054	NA	NA	NA	2.38071	NA	NA	NA	5.34378	NA	NA	NA	2767775	NA	NA	NA	2767934	NA	NA	NA	31
chr1	2768028	2768317	Interval_83	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.93744	NA	NA	NA	5.91654	NA	NA	NA	9.29284	NA	NA	NA	2768028	NA	NA	NA	2768317	NA	NA	NA	217
chr1	2775241	2775582	Interval_84	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	9.59125	NA	NA	NA	14.81376	NA	NA	NA	18.61824	NA	NA	NA	2775241	NA	NA	NA	2775582	NA	NA	NA	97
chr1	2776038	2776391	Interval_85	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.02399	NA	NA	NA	4.0543	NA	NA	NA	7.24381	NA	NA	NA	2776038	NA	NA	NA	2776391	NA	NA	NA	195
chr1	2819333	2819895	Interval_86	2	2	TRUE	FALSE	FALSE	TRUE	6.92443	NA	NA	10.16199	8.4998	NA	NA	19.45144	12.37751	NA	NA	23.37713	2819414	NA	NA	2819333	2819844	NA	NA	2819895	140	NA	NA	206
chr1	2974511	2974854	Interval_87	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	10.47685	NA	NA	NA	18.32308	NA	NA	NA	22.22317	NA	NA	NA	2974511	NA	NA	NA	2974854	NA	NA	NA	236
chr1	3164872	3166465	Interval_88	5	3	TRUE	FALSE	TRUE	TRUE	18.41848;9.38562	NA	16.04735;6.90012	44.24862	38.91166;13.22475	NA	37.49622;7.72916	142.68811	43.42357;17.30849	NA	42.16441;11.91667	147.34492	3165025;3165836	NA	3165081;3165882	3164872	3165599;3166057	NA	3165786;3166091	3166465	366;143	NA	521;107	653
chr1	3319906	3320173	Interval_89	2	2	TRUE	FALSE	FALSE	TRUE	9.01225	NA	NA	6.094	14.54252	NA	NA	7.86553	18.66657	NA	NA	11.37245	3319906	NA	NA	3319969	3320173	NA	NA	3320151	134	NA	NA	50
chr1	3383716	3384251	Interval_90	2	2	TRUE	FALSE	FALSE	TRUE	8.46684	NA	NA	8.66107	16.62119	NA	NA	19.91317	20.80596	NA	NA	23.85156	3383737	NA	NA	3383716	3384251	NA	NA	3384237	169	NA	NA	169
chr1	3453242	3453531	Interval_91	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.121	NA	NA	NA	5.22905	NA	NA	NA	8.53939	NA	NA	NA	3453242	NA	NA	NA	3453531	NA	NA	NA	126
chr1	3454326	3455144	Interval_92	3	3	TRUE	FALSE	TRUE	TRUE	10.55248	NA	5.88258	16.69786	17.05961	NA	6.13428	38.50811	21.2532	NA	10.25134	42.71328	3454494	NA	3454673	3454326	3454978	NA	3454968	3455144	325	NA	108	394
chr1	3455935	3456206	Interval_93	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.71806	NA	NA	NA	4.11755	NA	NA	NA	7.32223	NA	NA	NA	3455935	NA	NA	NA	3456206	NA	NA	NA	123
chr1	3456634	3456936	Interval_94	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.71806	NA	NA	NA	4.11755	NA	NA	NA	7.32223	NA	NA	NA	3456634	NA	NA	NA	3456936	NA	NA	NA	250
chr1	3492954	3493515	Interval_95	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	14.30429	NA	NA	NA	30.21618	NA	NA	NA	34.32795	NA	NA	NA	3492954	NA	NA	NA	3493515	NA	NA	NA	373
chr1	3513420	3513601	Interval_96	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.72993	NA	NA	NA	8.89854	NA	NA	NA	12.46325	NA	NA	NA	3513420	NA	NA	NA	3513601	NA	NA	NA	125
chr1	3516349	3516508	Interval_97	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.4268	NA	NA	NA	5.16682	NA	NA	NA	8.47353	NA	NA	NA	3516349	NA	NA	NA	3516508	NA	NA	NA	74
chr1	3576818	3576985	Interval_98	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.71806	NA	NA	NA	4.11755	NA	NA	NA	7.32223	NA	NA	NA	3576818	NA	NA	NA	3576985	NA	NA	NA	80
chr1	3649487	3650245	Interval_99	3	3	TRUE	FALSE	TRUE	TRUE	9.77567	NA	7.03868	12.82907	16.31209	NA	9.94457	27.04752	20.4894	NA	14.2141	31.11548	3649487	NA	3649561	3649505	3650231	NA	3649900	3650245	363	NA	117	200
chr1	3668886	3669082	Interval_100	1	1	TRUE	FALSE	FALSE	FALSE	4.90707	NA	NA	NA	3.58204	NA	NA	NA	7.05935	NA	NA	NA	3668886	NA	NA	NA	3669082	NA	NA	NA	97	NA	NA	NA
chr1	3722606	3722765	Interval_101	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.8163	NA	NA	NA	2.00431	NA	NA	NA	4.89022	NA	NA	NA	3722606	NA	NA	NA	3722765	NA	NA	NA	146
chr1	3796508	3796716	Interval_102	1	1	TRUE	FALSE	FALSE	FALSE	5.35316	NA	NA	NA	4.4694	NA	NA	NA	8.04827	NA	NA	NA	3796508	NA	NA	NA	3796716	NA	NA	NA	87	NA	NA	NA
chr1	3816045	3816217	Interval_103	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.59505	NA	NA	NA	4.20205	NA	NA	NA	7.41131	NA	NA	NA	3816045	NA	NA	NA	3816217	NA	NA	NA	22
chr1	3844870	3845029	Interval_104	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.35514	NA	NA	NA	3.3366	NA	NA	NA	6.44799	NA	NA	NA	3844870	NA	NA	NA	3845029	NA	NA	NA	21
chr1	3857177	3857633	Interval_105	3	3	TRUE	FALSE	TRUE	TRUE	12.24448	NA	7.8695	15.53662	27.63887	NA	12.48209	38.6867	32.02808	NA	16.82502	42.89295	3857186	NA	3857241	3857177	3857591	NA	3857451	3857633	156	NA	109	194
chr1	3900221	3900932	Interval_106	2	2	TRUE	FALSE	FALSE	TRUE	8.48664	NA	NA	8.13453	12.70903	NA	NA	12.45591	16.77727	NA	NA	16.18198	3900373	NA	NA	3900221	3900932	NA	NA	3900912	476	NA	NA	519
