track name="Conventional SE with ABC gene assignments"
1_merged_PDX_cell_lines_AML_44_lociStitched chr18 25320994 25377091 22900958 22957055 ,
1_merged_PDX_cell_lines_AML_45_lociStitched chr7 92611715 92667795 92241029 92297109 ,
1_merged_PDX_cell_lines_AML_46_lociStitched chr2 66401277 66456645 66628409 66683777 MEIS1,
1_merged_PDX_cell_lines_AML_47_lociStitched chr19 21577491 21632557 21760293 21815359 ZNF43,
1_merged_PDX_cell_lines_AML_48_lociStitched chr1 198633190 198688122 198602320 198657251 PTPRC,NEK7,
1_merged_PDX_cell_lines_AML_49_lociStitched chr9 111893224 111948056 114655504 114710336 UGCG,
1_merged_PDX_cell_lines_AML_50_lociStitched chr11 78302971 78357531 78014017 78068577 GAB2,
1_merged_PDX_cell_lines_AML_51_lociStitched chr11 94533195 94587746 94266361 94320912 FUT4,PIWIL4,ANKRD49,SRSF8,
1_merged_PDX_cell_lines_AML_52_lociStitched chr6 7122409 7176917 7122642 7177150 RREB1,BMP6,SERPINB9,
1_merged_PDX_cell_lines_AML_53_lociStitched chr11 114058276 114112607 113928998 113983329 ZBTB16,ZPR1,
1_merged_PDX_cell_lines_AML_54_lociStitched chr3 169102081 169156349 168819869 168874137 ,
1_merged_PDX_cell_lines_AML_55_lociStitched chr17 77418693 77472789 75414775 75468871 CDC42EP4,
1_merged_PDX_cell_lines_AML_56_lociStitched chr7 5347415 5400939 5387046 5440570 SLC29A4,TNRC18,
1_merged_PDX_cell_lines_AML_57_lociStitched chr3 71382572 71434988 71431723 71484139 ,
1_merged_PDX_cell_lines_AML_58_lociStitched chr19 38647002 38699406 39137642 39190046 EIF3K,CAPN12,CATSPERG,KCNK6,LGALS4,PSMD8,RASGRP4,THAP8,TIMM50,WDR62,FAM98C,MRPS12,PDCD2L,ACTN4,RYR1,ZNF850,GPI,NFKBIB,DPF1,PAK4,SARS2,ZNF146,
1_merged_PDX_cell_lines_AML_59_lociStitched chr5 88796447 88848789 88092264 88144606 ,
1_merged_PDX_cell_lines_AML_60_lociStitched chr21 15047161 15099422 16419482 16471743 NRIP1,HSPA13,USP25,
1_merged_PDX_cell_lines_AML_61_lociStitched chr20 9473884 9526141 9454531 9506788 GPCPD1,TMX4,PCNA,SLC23A2,ANKEF1,
1_merged_PDX_cell_lines_AML_62_lociStitched chr8 141108667 141160894 142118766 142170993 DENND3,C8orf33,ZNF696,GPR20,LY6K,ZNF251,
1_merged_PDX_cell_lines_AML_63_lociStitched chr10 11138181 11190305 11180144 11232268 CELF2,PROSER2,TAF3,UPF2,PRKCQ,USP6NL,
1_merged_PDX_cell_lines_AML_64_lociStitched chr17 78713649 78765553 76709731 76761635 CYTH1,
1_merged_PDX_cell_lines_AML_65_lociStitched chr9 77941208 77991750 80556124 80606666 ,
1_merged_PDX_cell_lines_AML_66_lociStitched chr4 89858746 89909224 90779897 90830375 ,
1_merged_PDX_cell_lines_AML_67_lociStitched chr6 2107490 2157903 2107724 2158137 ,
1_merged_PDX_cell_lines_AML_68_lociStitched chr4 16190469 16240611 16192092 16242234 ,
1_merged_PDX_cell_lines_AML_69_lociStitched chr2 144500021 144550147 145257588 145307714 ZEB2,
1_merged_PDX_cell_lines_AML_70_lociStitched chr16 17335814 17385635 17429671 17479492 XYLT1,
1_merged_PDX_cell_lines_AML_71_lociStitched chr5 72809260 72858961 72105087 72154788 MAP1B,
1_merged_PDX_cell_lines_AML_72_lociStitched chr4 77814733 77864131 78735887 78785285 ,
1_merged_PDX_cell_lines_AML_73_lociStitched chr6 142297026 142346231 142618163 142667368 ,
1_merged_PDX_cell_lines_AML_74_lociStitched chr21 38974787 39023768 40346713 40395694 ERG,
1_merged_PDX_cell_lines_AML_75_lociStitched chr8 27348373 27397032 27205890 27254549 PTK2B,TRIM35,EPHX2,ESCO2,
1_merged_PDX_cell_lines_AML_76_lociStitched chr3 152792996 152841210 152510785 152558999 ,
1_merged_PDX_cell_lines_AML_77_lociStitched chr16 16057648 16105616 16151505 16199473 ABCC1,
1_merged_PDX_cell_lines_AML_78_lociStitched chr10 79121599 79169428 80881356 80929185 ZMIZ1,
1_merged_PDX_cell_lines_AML_79_lociStitched chr3 127746874 127794695 127465717 127513538 MGLL,MCM2,TPRA1,
1_merged_PDX_cell_lines_AML_80_lociStitched chr5 119299817 119347190 118635512 118682885 ,
1_merged_PDX_cell_lines_AML_81_lociStitched chr1 2226767 2274021 2158206 2205460 MMP23B,MRPL20,PEX10,DVL1,PANK4,RER1,CCNL2,LRRC47,NADK,SLC35E2B,THAP3,TNFRSF14,VWA1,
1_merged_PDX_cell_lines_AML_82_lociStitched chr3 196607851 196655092 196334722 196381963 NRROS,PIGX,RNF168,FBXO45,WDR53,CEP19,MUC20,SLC51A,TNK2,PCYT1A,PAK2,DLG1,NCBP2,UBXN7,
1_merged_PDX_cell_lines_AML_83_lociStitched chr14 99227866 99275033 99694203 99741370 ,
1_merged_PDX_cell_lines_AML_84_lociStitched chr19 12994167 13041291 13104981 13152105 FARSA,GCDH,NACC1,ZSWIM4,GADD45GIP1,ZNF44,NFIX,LYL1,TRMT1,
1_merged_PDX_cell_lines_AML_85_lociStitched chr2 161225210 161272161 162081721 162128672 ,
1_merged_PDX_cell_lines_AML_86_lociStitched chr3 4975517 5022418 5017202 5064103 BHLHE40,
1_merged_PDX_cell_lines_AML_87_lociStitched chr2 43183069 43229782 43410208 43456921 ,
1_merged_PDX_cell_lines_AML_88_lociStitched chr10 63453865 63500380 65213625 65260140 JMJD1C,REEP3,
1_merged_PDX_cell_lines_AML_89_lociStitched chr2 190640439 190686801 191505165 191551527 HIBCH,INPP1,STAT1,
1_merged_PDX_cell_lines_AML_90_lociStitched chr4 155614850 155661146 156536002 156582298 ,
1_merged_PDX_cell_lines_AML_91_lociStitched chr8 133051163 133097322 134063408 134109566 PHF20L1,SLA,
1_merged_PDX_cell_lines_AML_92_lociStitched chr1 207882906 207928875 208056251 208102220 CD34,
1_merged_PDX_cell_lines_AML_93_lociStitched chr5 88915821 88961766 88211638 88257583 ,
1_merged_PDX_cell_lines_AML_94_lociStitched chr10 27722117 27767813 28011046 28056742 ,
1_merged_PDX_cell_lines_AML_95_lociStitched chr3 17954147 17999620 17995639 18041112 ,
1_merged_PDX_cell_lines_AML_96_lociStitched chr13 71906263 71951626 72480401 72525764 ,
1_merged_PDX_cell_lines_AML_97_lociStitched chr17 81419332 81471461 79393132 79438487 AATK,CSNK1D,
1_merged_PDX_cell_lines_AML_98_lociStitched chr4 132960005 133005234 133881160 133926389 ,
1_merged_PDX_cell_lines_AML_99_lociStitched chr12 9855934 9900899 10008533 10053498 KLRF1,
1_merged_PDX_cell_lines_AML_100_lociStitched chr5 178472942 178517873 177899943 177944874 ZNF879,
1_merged_PDX_cell_lines_AML_101_lociStitched chr8 129653637 129698490 130665883 130710736 ,
1_merged_PDX_cell_lines_AML_102_lociStitched chr1 198895697 198940363 198864826 198909492 ,
1_merged_PDX_cell_lines_AML_103_lociStitched chr10 21491507 21536154 21780436 21825083 MLLT10,
1_merged_PDX_cell_lines_AML_104_lociStitched chr12 104455467 104500053 104849245 104893831 CHST11,
1_merged_PDX_cell_lines_AML_105_lociStitched chr3 152071172 152115069 151788961 151832858 ,
1_merged_PDX_cell_lines_AML_106_lociStitched chr7 39809024 39852853 39848623 39892452 ,
1_merged_PDX_cell_lines_AML_107_lociStitched chr1 44396234 44440030 44861906 44905702 ,
1_merged_PDX_cell_lines_AML_108_lociStitched chr10 79066394 79110078 80826151 80869835 ,
1_merged_PDX_cell_lines_AML_109_lociStitched chr14 75223475 75266649 75690178 75733352 TMED10,FOS,
1_merged_PDX_cell_lines_AML_110_lociStitched chr15 22698514 22741473 23131632 23174581 ,
1_merged_PDX_cell_lines_AML_111_lociStitched chr1 230184031 230226921 230319777 230362667 ,
1_merged_PDX_cell_lines_AML_112_lociStitched chr10 14547904 14590775 14589903 14632774 ,
1_merged_PDX_cell_lines_AML_113_lociStitched chr16 88766014 88808597 88832422 88875005 ZNF778,PIEZO1,ZNF276,CTU2,CHMP1A,SPATA33,
1_merged_PDX_cell_lines_AML_114_lociStitched chr11 33859525 33901933 33881071 33923480 LMO2,
1_merged_PDX_cell_lines_AML_115_lociStitched chr18 77093450 77135736 74805406 74847692 MBP,
1_merged_PDX_cell_lines_AML_116_lociStitched chrX 37779283 37821441 37638536 37680694 ,
1_merged_PDX_cell_lines_AML_117_lociStitched chr3 128583100 128625230 128301943 128344073 GATA2,
1_merged_PDX_cell_lines_AML_118_lociStitched chr21 38465042 38506969 39836965 39878893 ,
1_merged_PDX_cell_lines_AML_119_lociStitched chr1 221702466 221744384 221875808 221917726 DUSP10,
1_merged_PDX_cell_lines_AML_120_lociStitched chr9 133108478 133150368 135983865 136025755 ,
1_merged_PDX_cell_lines_AML_121_lociStitched chr3 168212669 168254559 167930457 167972347 ,
1_merged_PDX_cell_lines_AML_122_lociStitched chr20 10481551 10523235 10462199 10503883 MKKS,
1_merged_PDX_cell_lines_AML_123_lociStitched chr7 38242487 38284170 38282088 38323771 STARD3NL,
1_merged_PDX_cell_lines_AML_124_lociStitched chr1 39167369 39209011 39633041 39674683 OXCT2,MACF1,
1_merged_PDX_cell_lines_AML_125_lociStitched chr15 50044196 50085709 50336393 50377906 ATP8B4,FAM227B,HDC,
1_merged_PDX_cell_lines_AML_126_lociStitched chrX 65984270 66025739 65204112 65245581 ,
1_merged_PDX_cell_lines_AML_127_lociStitched chr8 52142417 52183650 53054977 53096210 ,
1_merged_PDX_cell_lines_AML_128_lociStitched chr10 48444608 48485840 49652651 49693883 ARHGAP22,
1_merged_PDX_cell_lines_AML_129_lociStitched chr2 66547331 66588458 66774463 66815590 ,
1_merged_PDX_cell_lines_AML_130_lociStitched chr7 92822329 92863348 92451643 92492662 CDK6,
1_merged_PDX_cell_lines_AML_131_lociStitched chr3 155077789 155118719 154795578 154836508 ,
1_merged_PDX_cell_lines_AML_132_lociStitched chr16 303960 344834 353960 394834 HBA2,HBQ1,NME4,RHBDL1,RNPS1,TPSD1,
1_merged_PDX_cell_lines_AML_133_lociStitched chr1 13698918 13739752 14025413 14066247 ,
1_merged_PDX_cell_lines_AML_134_lociStitched chr2 88831252 88872064 89130765 89171580 RPIA,
1_merged_PDX_cell_lines_AML_135_lociStitched chr11 65469076 65509618 65236547 65277089 CDC42EP2,FRMD8,MAP3K11,CAPN1,ESRRA,
1_merged_PDX_cell_lines_AML_136_lociStitched chr18 13431977 13472391 13431976 13472390 ,
1_merged_PDX_cell_lines_AML_137_lociStitched chr22 28789167 28829534 29185155 29225522 EMID1,KREMEN1,TTC28,CCDC117,XBP1,
1_merged_PDX_cell_lines_AML_138_lociStitched chr7_KI270803v1_alt 433218 473482 142142060 142182324 ,
1_merged_PDX_cell_lines_AML_139_lociStitched chr9 125880388 125920538 128642667 128682817 PBX3,ZBTB34,
1_merged_PDX_cell_lines_AML_140_lociStitched chr4 116318508 116358644 117239664 117279800 ,
1_merged_PDX_cell_lines_AML_141_lociStitched chr7 27141707 27181639 27181326 27221258 HOXA5,HOXA4,HOXA6,HOXA11,SNX10,
1_merged_PDX_cell_lines_AML_142_lociStitched chr16 54048059 54087959 54081971 54121871 ,
1_merged_PDX_cell_lines_AML_143_lociStitched chr1 42928235 42968059 43393906 43433730 PPIH,ZNF691,SLC2A1,CDC20,HEYL,PTPRF,TRIT1,YBX1,CCDC30,ERMAP,PIK3R3,RIMS3,
1_merged_PDX_cell_lines_AML_144_lociStitched chr15 67072362 67112096 67364700 67404434 SMAD3,AAGAB,IQCH,
1_merged_PDX_cell_lines_AML_145_lociStitched chr6 49630841 49670464 49598554 49638177 ,
1_merged_PDX_cell_lines_AML_146_lociStitched chr2 77486526 77526133 77713652 77753259 ,
1_merged_PDX_cell_lines_AML_147_lociStitched chr6 25024330 25063885 25024558 25064113 C6orf62,GMNN,
1_merged_PDX_cell_lines_AML_148_lociStitched chr22 36349628 36389026 36745673 36785071 RBFOX2,
1_merged_PDX_cell_lines_AML_149_lociStitched chr10 126422 165664 172362 211604 ZMYND11,
1_merged_PDX_cell_lines_AML_150_lociStitched chr13 88916602 88955807 89568856 89608061 ,
1_merged_PDX_cell_lines_AML_151_lociStitched chr6 135082949 135121935 135404087 135443073 ,
1_merged_PDX_cell_lines_AML_152_lociStitched chr4 142811913 142850890 143733066 143772043 ,
1_merged_PDX_cell_lines_AML_153_lociStitched chr2 174312856 174351672 175177584 175216400 OLA1,
1_merged_PDX_cell_lines_AML_154_lociStitched chr21 14571143 14609829 15943464 15982150 ,
1_merged_PDX_cell_lines_AML_155_lociStitched chr2 223884505 223923121 224749222 224787838 ,
1_merged_PDX_cell_lines_AML_156_lociStitched chr6 64780743 64819211 65490636 65529104 ,
1_merged_PDX_cell_lines_AML_157_lociStitched chr10 61749528 61787793 63509286 63547551 ,
1_merged_PDX_cell_lines_AML_158_lociStitched chr4 16025887 16064127 16027510 16065750 ,
1_merged_PDX_cell_lines_AML_159_lociStitched chr1 234509463 234547541 234645209 234683287 TARBP1,COA6,
1_merged_PDX_cell_lines_AML_160_lociStitched chr2 163704761 163742736 164561271 164599246 ,
1_merged_PDX_cell_lines_AML_161_lociStitched chr10 22226293 22264169 22515222 22553098 BMI1,COMMD3,DNAJC1,SPAG6,
1_merged_PDX_cell_lines_AML_162_lociStitched chr12 26178524 26216355 26331457 26369288 ,
1_merged_PDX_cell_lines_AML_163_lociStitched chr5 170266801 170304631 169693805 169731635 LCP2,
1_merged_PDX_cell_lines_AML_164_lociStitched chr10 63399975 63437759 65159735 65197519 ,
1_merged_PDX_cell_lines_AML_165_lociStitched chr7 93913286 93951040 93542598 93580352 ,
1_merged_PDX_cell_lines_AML_166_lociStitched chr1 206070005 206107702 206233628 206271326 ,
1_merged_PDX_cell_lines_AML_167_lociStitched chr13 28237282 28274968 28811419 28849105 PAN3,
1_merged_PDX_cell_lines_AML_168_lociStitched chr17 30705699 30743316 29032717 29070334 CRLF3,ATAD5,CPD,SSH2,
1_merged_PDX_cell_lines_AML_169_lociStitched chr22 41910551 41948121 42306555 42344125 MEI1,CENPM,CYP2D6,NAGA,C22orf46,
1_merged_PDX_cell_lines_AML_170_lociStitched chr1 198156022 198193501 198125152 198162631 ,
1_merged_PDX_cell_lines_AML_171_lociStitched chr10 96279548 96316970 98039305 98076727 ,
1_merged_PDX_cell_lines_AML_172_lociStitched chr4 80250665 80288041 81171819 81209195 ,
1_merged_PDX_cell_lines_AML_173_lociStitched chr5 88864824 88902001 88160641 88197818 MEF2C,
1_merged_PDX_cell_lines_AML_174_lociStitched chr4 78636577 78673695 79557731 79594849 ,
1_merged_PDX_cell_lines_AML_175_lociStitched chr7 26717993 26755067 26757612 26794686 ,
1_merged_PDX_cell_lines_AML_176_lociStitched chr20 4050325 4087381 4030972 4068028 C20orf27,ATRN,RNF24,PANK2,C20orf194,
1_merged_PDX_cell_lines_AML_177_lociStitched chr2 64633497 64670495 64860631 64897629 SERTAD2,
1_merged_PDX_cell_lines_AML_178_lociStitched chr2 58753941 58790897 58981076 59018032 ,
1_merged_PDX_cell_lines_AML_179_lociStitched chr12 123101478 123138417 123586025 123622964 ABCB9,ARL6IP4,RILPL1,
1_merged_PDX_cell_lines_AML_180_lociStitched chr10 21961213 21998138 22250142 22287067 NSUN6,
1_merged_PDX_cell_lines_AML_181_lociStitched chr2 160384480 160421329 161240991 161277840 ,
1_merged_PDX_cell_lines_AML_182_lociStitched chr2 239248965 239285717 240170661 240207412 HDAC4,
1_merged_PDX_cell_lines_AML_183_lociStitched chr1 234860118 234896801 234995865 235032548 ,
1_merged_PDX_cell_lines_AML_184_lociStitched chr7 41857771 41894354 41897369 41933952 ,
1_merged_PDX_cell_lines_AML_185_lociStitched chr3 2509529 2546074 2551213 2587758 ,
1_merged_PDX_cell_lines_AML_186_lociStitched chr12 68357343 68393824 68751123 68787604 MDM1,
1_merged_PDX_cell_lines_AML_187_lociStitched chr12 69320526 69356863 69714306 69750643 LYZ,CCT2,
1_merged_PDX_cell_lines_AML_188_lociStitched chr2 136110064 136146388 136867634 136903958 CXCR4,
1_merged_PDX_cell_lines_AML_189_lociStitched chr21 44848519 44884819 46268434 46304734 ,
1_merged_PDX_cell_lines_AML_190_lociStitched chr8 107299856 107336144 108312084 108348372 ANGPT1,EMC2,ENY2,NUDCD1,
1_merged_PDX_cell_lines_AML_191_lociStitched chr10 17651356 17687540 17693355 17729539 ARL5B,NSUN6,
1_merged_PDX_cell_lines_AML_192_lociStitched chr3 193828874 193865019 193546663 193582808 ,
1_merged_PDX_cell_lines_AML_193_lociStitched chr3 191244747 191280890 190962536 190998679 ,
1_merged_PDX_cell_lines_AML_194_lociStitched chr9 125815054 125851157 128577333 128613436 ,
1_merged_PDX_cell_lines_AML_195_lociStitched chr4 143387623 143423710 144308776 144344863 ,
1_merged_PDX_cell_lines_AML_196_lociStitched chr14 88290949 88327023 88757293 88793367 ,
1_merged_PDX_cell_lines_AML_197_lociStitched chr15 78041976 78078043 78334318 78370385 TBC1D2B,GOLGA6L10,
1_merged_PDX_cell_lines_AML_198_lociStitched chr7 15208130 15244188 15247755 15283813 ,
1_merged_PDX_cell_lines_AML_199_lociStitched chr6 6693211 6729183 6693444 6729416 ,
1_merged_PDX_cell_lines_AML_200_lociStitched chr2 144557678 144593539 145315245 145351106 ,
1_merged_PDX_cell_lines_AML_201_lociStitched chr1 66723843 66759599 67189526 67225282 TCTEX1D1,PDE4B,SERBP1,CACHD1,
1_merged_PDX_cell_lines_AML_202_lociStitched chr6 135021439 135057094 135342577 135378232 ,
1_merged_PDX_cell_lines_AML_203_lociStitched chr12 14383681 14419333 14536615 14572267 C12orf60,WBP11,
1_merged_PDX_cell_lines_AML_204_lociStitched chr13 99353426 99388906 100005680 100041160 ,
1_merged_PDX_cell_lines_AML_205_lociStitched chr1 207819744 207855163 207993089 208028508 CD34,CD46,
1_merged_PDX_cell_lines_AML_206_lociStitched chr2 108608957 108644375 109225413 109260831 LIMS1,
1_merged_PDX_cell_lines_AML_207_lociStitched chr10 63501513 63536844 65261273 65296604 JMJD1C,REEP3,
1_merged_PDX_cell_lines_AML_208_lociStitched chr11 75318415 75353705 75029459 75064749 ARRB1,NEU3,RNF121,RNF169,SPCS2,UCP3,XRRA1,SERPINH1,
1_merged_PDX_cell_lines_AML_209_lociStitched chr5 150757786 150793046 150137348 150172608 RPS14,ZNF300,RBM22,SMIM3,DCTN4,CCDC69,
1_merged_PDX_cell_lines_AML_210_lociStitched chr10 22264919 22300167 22553848 22589096 ,
1_merged_PDX_cell_lines_AML_211_lociStitched chr19 3128129 3163258 3128127 3163256 GNA15,S1PR4,EEF2,MRPL54,TLE6,NCLN,DAPK3,TMPRSS9,TBXA2R,CLPP,HMG20B,MFSD12,
1_merged_PDX_cell_lines_AML_212_lociStitched chr6 45414179 45449279 45381916 45417016 SUPT3H,
1_merged_PDX_cell_lines_AML_213_lociStitched chr5 139644730 139679817 139024315 139059402 ,
1_merged_PDX_cell_lines_AML_214_lociStitched chr17 58313801 58348858 56391162 56426219 RNF43,MTMR4,CUEDC1,NOG,
1_merged_PDX_cell_lines_AML_215_lociStitched chr6 142353726 142388727 142674863 142709864 ,
1_merged_PDX_cell_lines_AML_216_lociStitched chr14 75268859 75303770 75735562 75770473 FOS,TMED10,NEK9,
1_merged_PDX_cell_lines_AML_217_lociStitched chr1 72258912 72293815 72724595 72759498 ,
1_merged_PDX_cell_lines_AML_218_lociStitched chr8 61680867 61715723 62593426 62628282 ASPH,
1_merged_PDX_cell_lines_AML_219_lociStitched chr16 75056619 75091278 75090517 75125176 ZNRF1,ZFP1,RFWD3,WDR59,
1_merged_PDX_cell_lines_AML_220_lociStitched chr3 87778240 87812866 87827390 87862016 ,
1_merged_PDX_cell_lines_AML_221_lociStitched chr6 21586691 21621241 21586922 21621472 SOX4,
1_merged_PDX_cell_lines_AML_222_lociStitched chr2 6862901 6897281 7003032 7037412 CMPK2,RSAD2,
1_merged_PDX_cell_lines_AML_223_lociStitched chr11 64517381 64551726 64284853 64319198 DNAJC4,
1_merged_PDX_cell_lines_AML_224_lociStitched chr1 169677880 169712176 169647021 169681317 SELL,
1_merged_PDX_cell_lines_AML_225_lociStitched chr5 392142 426261 392257 426376 AHRR,PDCD6,EXOC3,SLC9A3,CEP72,LPCAT1,
1_merged_PDX_cell_lines_AML_226_lociStitched chr15 50087503 50121590 50379700 50413787 ARPP19,FAM227B,USP8,ATP8B4,COPS2,GABPB1,GALK2,SLC27A2,
1_merged_PDX_cell_lines_AML_227_lociStitched chr14 46310434 46344502 46779637 46813705 ,
1_merged_PDX_cell_lines_AML_228_lociStitched chr11 73126707 73160738 72837752 72871783 FCHSD2,
1_merged_PDX_cell_lines_AML_229_lociStitched chr4 80215812 80249831 81136966 81170985 ,
1_merged_PDX_cell_lines_AML_230_lociStitched chr5 132407208 132441172 131742900 131776864 SLC22A5,
1_merged_PDX_cell_lines_AML_231_lociStitched chr3 71435984 71469946 71485135 71519097 FOXP1,
1_merged_PDX_cell_lines_AML_232_lociStitched chr6 15397906 15431840 15398137 15432071 ,
1_merged_PDX_cell_lines_AML_233_lociStitched chr11 131630597 131664405 131500491 131534299 ,
1_merged_PDX_cell_lines_AML_234_lociStitched chr17 81385403 81419190 79359203 79392990 BAHCC1,AATK,BIRC5,RPTOR,MAFG,RNF213,NPLOC4,
1_merged_PDX_cell_lines_AML_235_lociStitched chr2 98537180 98570964 99153643 99187427 ,
1_merged_PDX_cell_lines_AML_236_lociStitched chr11 3132584 3166332 3153814 3187562 OSBPL5,FAM160A2,SLC22A18,
1_merged_PDX_cell_lines_AML_237_lociStitched chr19 39733143 39766874 40223783 40257514 ,
1_merged_PDX_cell_lines_AML_238_lociStitched chr18 74387027 74420722 72054262 72087957 CYB5A,
1_merged_PDX_cell_lines_AML_239_lociStitched chr12 11646396 11680082 11799330 11833016 TAS2R20,TMEM52B,PHC1,
1_merged_PDX_cell_lines_AML_240_lociStitched chr21 33360720 33394401 34733026 34766707 ,
1_merged_PDX_cell_lines_AML_241_lociStitched chr6 1596105 1629741 1596340 1629976 ,
1_merged_PDX_cell_lines_AML_242_lociStitched chr15 65760743 65794189 66053081 66086527 DENND4A,RAB11A,
1_merged_PDX_cell_lines_AML_243_lociStitched chr3 191283204 191316594 191000993 191034383 ,
1_merged_PDX_cell_lines_AML_244_lociStitched chrX 129763333 129796653 128897309 128930629 ,
1_merged_PDX_cell_lines_AML_245_lociStitched chr8 81124211 81157457 82036446 82069692 IMPA1,PAG1,
1_merged_PDX_cell_lines_AML_246_lociStitched chr11 126379546 126412744 126249441 126282639 ST3GAL4,TIRAP,
1_merged_PDX_cell_lines_AML_247_lociStitched chr1 167610132 167643305 167579369 167612542 GPR161,
1_merged_PDX_cell_lines_AML_248_lociStitched chr11 33917815 33950986 33939362 33972533 ,
