GENE,MV411-DMSO,MV411-Naphthol,MV411-Plumbagin,MV411-Celastrol,MV411-TM1-001,MV411-Tretinoin
AMY1A,0.0,0.0,0.0,0.0,0.0,0.0
AMY1B,0.0,0.0,0.0,0.0,0.0,0.0
AMY1C,0.0,0.0,0.0,0.0,0.0,0.0
AMY2B,0.0,0.0,0.0,0.0,0.2,0.0
ANG,0.4,0.2,0.0,0.8,3.0,1.0
ANGPT1,0.2,0.6,0.6,2.6,4.4,6.6
ANGPT2,0.0,0.0,0.0,0.0,0.0,0.0
ANK1,0.0,0.0,0.0,0.0,0.0,0.2
ANK2,0.8,1.0,1.2,3.2,8.0,9.4
ANK3,0.0,0.0,0.0,0.0,0.0,0.0
ANPEP,0.0,0.2,0.0,0.0,0.0,0.0
SLC25A4,0.0,0.0,0.0,0.0,0.0,0.4
SLC25A5,5.8,10.6,6.4,23.4,18.2,51.2
SLC25A6,16.6,35.8,27.8,52.8,74.2,214.4
ANXA1,3.6,7.0,8.0,18.6,51.2,75.0
ANXA2,13.0,14.4,14.2,30.4,58.4,58.8
303,0.0,0.4,0.4,0.8,1.0,1.0
ANXA4,0.4,1.0,1.0,1.4,1.2,1.6
ANXA5,5.4,10.2,9.8,16.0,41.4,36.4
ANXA6,1.0,0.2,0.2,2.6,3.0,1.4
ANXA7,2.0,3.8,2.8,9.6,9.2,15.8
ANXA11,2.8,4.4,4.2,9.0,7.6,13.2
AOAH,0.0,0.0,0.0,0.0,0.0,0.0
AOC2,0.0,0.0,0.0,0.2,1.2,1.2
AOX1,0.0,0.0,0.0,0.2,0.0,0.2
APAF1,4.4,5.4,4.2,16.8,11.2,18.2
NUDT2,0.6,1.6,1.0,2.2,1.8,7.6
APBA1,1.4,3.0,1.8,4.0,10.8,13.6
APBA2,0.2,0.0,0.2,0.2,0.0,1.4
APBB1,0.4,0.0,0.0,1.0,2.2,17.6
APBB2,0.4,0.2,0.6,0.8,3.4,3.4
APC,2.6,5.2,1.8,15.2,11.4,20.6
APEH,1.2,1.8,1.2,1.8,2.0,6.0
APEX1,10.4,19.0,13.2,46.4,47.6,97.8
BIRC2,1.6,2.4,2.6,8.8,11.0,14.2
BIRC3,1.4,0.8,1.4,0.8,10.6,15.4
XIAP,15.6,26.0,14.2,43.0,83.0,159.8
BIRC5,16.2,20.2,14.6,42.4,19.6,129.6
APLP1,0.2,0.0,0.0,0.2,0.0,0.0
APLP2,6.8,10.8,11.2,34.4,41.6,263.4
APOA1,0.0,0.0,0.0,0.2,0.0,0.0
APOC1,0.0,0.4,0.0,1.0,0.8,17.8
APOC2,12.4,15.6,7.8,25.2,36.4,185.2
APOC4,0.0,0.0,0.0,0.4,0.0,1.6
APOD,0.0,0.2,0.0,0.6,0.2,0.2
APOE,0.0,0.0,0.2,0.0,0.2,0.0
APP,1.8,5.0,3.4,11.4,11.8,19.6
APRT,3.2,2.6,1.8,4.4,9.0,13.4
FAS,0.0,0.0,0.0,1.0,0.2,0.0
SHROOM2,0.0,0.0,0.0,0.4,0.0,0.0
AQP1,1.4,1.0,0.0,1.8,19.8,14.2
AQP3,0.4,0.6,0.8,0.8,0.8,1.0
AQP6,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.2,0.4,0.4,0.4,0.8,1.0
ARAF,4.0,5.4,4.8,10.4,13.8,38.8
ARCN1,43.2,69.8,48.8,153.0,272.0,477.6
TRIM23,0.8,3.2,2.6,10.4,9.4,13.2
ARF1,47.0,72.2,59.2,170.8,334.4,621.8
ARF3,11.2,23.0,17.4,32.0,56.0,127.2
ARF4,24.6,38.6,26.6,90.8,185.2,245.2
ARL4D,0.2,0.0,0.6,1.2,1.8,3.6
ARF5,0.8,1.4,2.0,3.8,5.2,10.0
ARF6,56.8,98.4,68.0,168.8,238.4,399.0
ARG2,0.4,0.0,0.4,0.2,3.2,2.2
RHOA,50.2,92.8,57.4,152.8,237.2,545.0
RHOB,10.2,10.8,10.8,13.2,72.8,84.0
RHOC,2.0,2.4,0.4,1.4,4.6,8.4
RND3,0.0,0.0,0.0,0.0,0.2,0.0
RHOG,10.2,17.8,12.8,25.8,37.6,81.6
ARHGAP1,3.4,10.0,6.8,12.4,19.6,34.8
ARHGAP4,0.0,0.4,0.8,1.2,1.2,5.6
ARHGAP6,0.0,0.2,0.0,0.2,1.0,0.0
ARHGDIA,23.6,36.4,27.0,55.2,88.4,218.8
ARHGDIB,35.0,64.2,47.8,160.4,120.6,167.0
RHOH,2.8,3.0,3.0,9.6,19.0,16.0
ARL1,7.8,9.0,11.6,35.2,68.2,79.4
PHOX2A,0.0,0.0,0.0,0.0,0.0,0.0
ARL2,1.4,0.8,0.8,2.2,2.2,4.6
ARL3,0.6,1.8,1.0,1.8,2.4,2.8
ARNT,4.6,4.8,4.8,20.6,15.8,30.6
ARNTL,1.2,1.4,1.6,5.4,5.2,7.0
ARRB1,8.6,13.6,11.0,18.0,13.0,115.2
ARRB2,6.0,4.2,7.0,7.8,15.6,41.0
ARSA,0.6,1.0,0.8,1.4,1.2,5.4
ARSB,2.8,8.4,5.2,13.6,20.0,35.8
STS,1.8,2.8,2.0,7.0,10.6,22.0
ARSD,1.6,3.8,1.8,7.6,13.2,24.2
ART3,0.0,0.0,0.0,0.0,0.0,0.0
ARVCF,0.0,0.0,0.2,0.0,0.6,0.6
ASAH1,2.2,2.4,2.2,11.6,14.0,27.6
ASGR1,0.2,0.2,0.0,0.0,0.0,0.6
ASGR2,0.2,0.0,0.0,0.0,0.0,0.2
ASL,0.0,0.8,0.0,0.2,0.4,0.8
GET3,1.4,2.0,2.4,4.8,9.4,9.4
ASNS,1.8,2.4,2.4,13.6,34.6,8.2
ASPH,8.0,9.0,7.8,23.4,34.4,31.2
ASS1,1.2,1.4,0.4,1.0,4.6,2.8
ZFHX3,0.0,0.6,0.2,1.2,6.6,1.2
ATF1,8.6,9.4,7.0,30.8,29.4,64.6
ATF3,29.2,45.0,45.8,196.4,516.8,336.8
ATF4,27.0,39.0,33.4,87.4,168.6,193.0
ATIC,0.6,1.2,1.6,3.0,5.6,9.2
ATM,5.2,8.8,7.4,23.8,28.6,49.2
RERE,2.0,3.2,2.6,7.6,11.4,20.4
ATOX1,0.4,2.2,2.2,2.8,3.4,6.6
ATP1A1,3.2,4.4,3.4,8.8,17.6,26.0
ATP1A3,0.4,0.6,0.4,1.8,0.8,0.6
ATP1B1,0.2,0.2,0.4,1.6,0.4,0.2
ATP1B3,10.0,13.8,8.2,27.8,41.4,219.6
FXYD2,0.0,0.0,0.0,0.0,0.2,0.0
ATP2A1,0.0,0.2,0.2,0.0,0.0,1.6
ATP2A2,25.0,41.4,40.6,92.4,291.0,311.4
ATP2A3,1.4,2.8,2.8,3.2,4.4,40.8
ATP2B1,27.0,28.4,34.0,146.4,195.4,129.6
ATP2B2,0.0,0.6,0.0,0.2,0.2,2.0
ATP2B3,0.2,0.0,0.0,0.0,0.0,5.6
ATP2B4,8.0,8.2,9.2,22.8,44.0,114.2
ATP5F1A,2.0,5.8,2.6,10.2,8.6,22.8
ATP5F1B,11.0,11.6,9.4,23.2,26.4,65.8
ATP5F1C,0.8,2.4,1.0,4.6,7.2,6.8
ATP5F1D,2.0,2.4,1.2,2.0,2.6,8.8
ATP5F1E,4.8,7.0,4.8,15.4,20.2,49.2
ATP5PB,5.8,13.0,4.8,21.6,30.8,50.4
ATP5MC1,0.2,0.6,0.8,1.2,3.8,3.6
ATP5MC2,4.0,7.0,4.0,15.0,11.0,33.0
ATP5MC3,15.2,24.4,16.0,52.8,60.4,158.4
ATP5ME,3.2,5.0,2.6,8.6,12.2,27.4
ATP5PF,0.6,1.4,0.8,4.2,4.0,5.0
ATP6V1A,5.2,8.8,7.6,34.8,29.4,22.4
ATP6V1B2,35.8,61.4,57.0,231.4,319.0,209.6
ATP6V0C,3.2,6.0,5.4,11.6,29.6,45.8
ATP6V1C1,12.8,27.6,21.2,70.8,61.8,130.2
ATP6V1E1,13.8,11.6,9.0,29.8,43.2,86.0
ATP6V0B,9.6,12.6,7.6,30.8,44.2,73.8
ATP6V1G2,0.2,0.4,0.2,1.4,0.4,1.0
ATP6V0A1,3.8,2.0,2.6,9.0,13.8,33.2
ATP6AP1,1.0,3.2,2.2,6.2,9.4,14.2
ATP7A,0.8,1.0,0.4,2.4,0.6,4.8
ATP5PO,2.4,2.2,1.2,7.6,6.8,15.0
ATP7B,0.0,0.0,0.2,0.2,0.0,0.2
ATR,0.2,0.4,0.0,0.8,1.8,1.2
ATRX,4.6,6.4,5.4,15.6,20.8,25.6
AUH,0.2,0.6,0.0,0.2,0.8,2.2
AUP1,35.0,59.2,50.0,88.0,133.4,361.2
AVPR2,0.0,0.0,0.0,0.0,0.0,0.2
AXL,0.6,0.6,0.8,1.2,4.8,2.6
AZU1,1.8,0.8,0.6,0.4,0.2,4.8
B2M,38.2,61.2,48.4,149.2,258.6,359.8
BAAT,0.0,0.0,0.0,1.2,0.8,1.4
BACH1,25.6,46.6,41.4,176.2,211.6,284.4
BAD,0.2,0.8,1.2,1.8,3.4,8.8
BAG1,13.0,17.0,8.0,28.6,37.2,79.4
ADGRB1,0.0,0.0,0.0,0.0,0.0,0.0
BAK1,2.4,4.8,4.4,9.0,15.8,41.6
NKX3-2,0.6,1.2,1.0,3.8,4.8,5.2
BARD1,13.2,27.8,20.6,67.4,66.2,153.8
BAX,1.6,2.0,1.2,2.6,4.2,18.0
BBS1,0.6,2.6,1.0,2.2,5.4,5.8
BBS2,0.6,0.4,0.4,1.8,2.4,3.2
BBS4,1.4,1.8,1.8,3.6,6.4,11.4
BCAT1,33.6,48.2,42.0,154.0,197.2,255.6
BCAT2,1.4,0.8,1.8,1.6,3.2,6.4
BCKDHA,0.4,1.0,1.6,4.0,5.4,17.4
BCKDHB,1.4,1.8,1.0,1.6,2.6,2.2
CCND1,0.2,0.0,0.0,0.6,0.6,0.0
BCL2,25.0,36.4,32.6,86.4,131.6,250.8
BCL2A1,1.0,3.2,2.4,4.0,9.2,26.0
BCL2L1,4.4,5.2,4.8,14.6,17.6,32.4
BCL2L2,5.6,11.4,5.4,24.4,20.8,51.0
BCL3,2.8,4.8,4.2,2.8,12.6,121.4
BCL6,0.6,0.2,0.0,1.2,1.6,0.8
BCL7A,10.2,21.0,18.2,51.8,51.6,114.4
BCL9,0.2,0.2,0.0,1.2,0.0,0.4
OPN1SW,0.0,0.0,0.0,0.0,0.0,0.0
BCR,0.2,0.2,0.4,1.2,0.8,4.4
BCS1L,0.8,0.2,0.6,1.4,1.2,4.4
BDH1,0.8,2.8,1.8,7.0,8.2,13.2
BDNF,0.0,0.2,0.0,0.6,1.0,2.2
CFB,0.0,0.0,0.0,0.0,0.0,0.2
BFSP1,0.0,0.2,0.2,0.2,1.0,0.8
BGLAP,0.2,0.2,0.0,0.2,0.8,4.8
CEACAM1,0.0,0.0,0.0,0.0,0.0,0.0
BICD1,0.0,0.0,0.0,0.2,0.0,0.4
BID,18.2,26.4,24.2,46.2,49.0,224.0
BIK,0.4,1.0,0.2,1.4,1.0,18.0
PRDM1,1.4,5.2,5.4,40.8,19.0,25.2
BLK,0.0,0.0,0.0,0.2,0.0,0.0
BLM,0.8,1.8,1.2,5.6,5.2,8.8
BLMH,5.6,6.2,4.6,17.0,17.0,35.2
CXCR5,0.0,0.6,0.0,0.0,0.2,21.2
BLVRB,0.4,0.2,0.0,0.6,0.6,1.0
BMI1,5.6,12.0,6.4,28.6,28.0,41.8
BMP1,1.6,3.8,1.6,5.6,3.0,16.2
BMP2,0.4,0.0,0.0,0.2,0.2,1.4
BMP6,0.0,0.2,0.2,0.0,0.8,0.0
BMP8B,0.4,0.6,0.2,1.0,1.4,3.4
BMPR1A,2.0,3.4,1.6,10.8,10.0,19.2
BMPR1B,0.0,0.0,0.0,0.0,0.0,0.0
BMPR2,0.2,1.2,0.6,3.8,3.6,13.0
POLR3D,3.2,9.8,7.0,14.4,28.6,50.0
BNIP1,6.2,6.4,6.0,13.6,28.0,46.8
BNIP2,25.8,38.8,31.4,113.0,150.8,235.2
BNIP3,0.0,0.2,0.4,0.6,0.2,0.0
BNIP3L,3.0,8.2,7.2,25.4,28.2,32.8
BOK,0.0,0.0,0.0,0.0,0.0,0.0
DST,1.4,1.6,1.0,2.6,1.2,4.4
BPGM,1.2,1.4,2.8,4.2,4.8,8.8
BPHL,0.4,0.0,0.4,0.4,1.4,2.0
BPI,0.0,0.0,0.0,0.2,0.0,1.6
BRCA1,13.4,20.8,12.0,56.4,67.6,113.4
BRAF,0.6,0.0,0.0,0.4,1.2,0.4
BRCA2,10.8,13.2,12.0,48.2,66.0,55.2
ZFP36L1,6.0,11.6,5.6,34.0,203.0,42.0
ZFP36L2,73.0,106.2,68.0,309.6,237.2,1139.8
BSG,5.2,11.4,8.2,17.0,25.2,71.0
BST1,0.0,0.0,0.0,0.0,0.0,0.0
BST2,0.2,0.4,0.4,7.4,1.0,1.0
BTD,0.4,0.2,0.6,1.2,1.8,2.4
KLF9,23.8,47.0,39.6,117.0,253.2,261.4
KLF5,1.6,0.8,2.0,4.2,4.6,6.2
BTF3,9.8,16.4,9.0,26.0,35.2,72.6
BTG1,20.0,27.2,20.0,121.6,131.4,161.6
BTK,2.8,3.6,2.4,6.0,5.6,15.2
BUB1,0.2,1.0,0.8,2.8,3.0,3.0
BUB1B,2.6,3.0,2.2,13.0,6.2,24.2
BYSL,5.0,9.0,4.8,11.2,25.2,56.2
TSPO,1.6,0.6,0.4,1.2,1.8,3.8
C1QBP,12.2,13.4,7.8,25.0,30.8,75.0
C1QA,0.0,0.0,0.0,0.0,0.0,0.0
C1R,0.0,0.0,0.2,0.2,0.0,0.6
C1S,0.0,0.2,0.0,0.4,0.0,0.2
C2,0.4,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.6,0.2,0.0,1.8,0.4
C3AR1,3.8,2.6,1.4,4.8,131.4,10.8
CAPN5,0.0,1.0,0.0,0.0,0.0,0.6
C5,0.2,0.2,0.4,0.4,0.2,1.2
C5AR1,0.2,0.4,0.4,2.2,1.6,3.0
C8G,0.0,0.0,0.2,0.2,0.0,0.4
OSGIN2,7.4,13.2,12.0,44.4,54.2,89.8
VPS51,0.0,0.0,0.0,0.6,1.2,0.4
MRPL49,10.6,14.0,9.8,25.4,59.0,97.6
ZNHIT2,0.4,0.6,0.4,0.6,2.4,1.8
MYRF,0.2,0.0,0.0,0.2,0.0,1.0
TMEM258,3.0,3.0,3.0,11.0,13.8,17.6
DAGLA,0.4,1.0,0.8,1.8,1.6,11.0
GAS8-AS1,0.0,0.0,0.0,0.0,0.0,0.0
FMNL1,1.8,2.0,2.2,1.8,2.8,6.8
LDLRAD4,3.0,5.4,2.6,7.8,24.4,33.2
PTTG1IP,12.8,24.0,16.4,29.4,69.6,94.2
CFAP410,0.6,1.0,0.4,1.2,2.2,5.8
TMEM50B,2.4,5.0,2.6,11.2,62.8,26.6
MPPED1,0.0,0.2,0.4,0.0,0.0,1.6
CA7,0.0,0.0,0.0,0.2,0.2,0.0
CA11,0.2,0.2,0.4,1.2,0.4,1.0
CA12,0.2,0.0,0.0,0.2,0.0,0.0
CACNA1A,0.2,0.0,0.2,1.2,1.2,3.6
CACNA1D,0.0,0.0,0.0,0.0,0.0,0.0
CACNA1E,0.0,0.0,0.0,0.0,0.6,1.0
CACNB1,0.0,0.0,0.0,0.0,0.0,2.0
CACNB2,0.0,0.0,0.0,0.0,0.2,0.0
CACNB3,0.6,0.2,0.4,0.4,0.4,4.0
CACNB4,0.0,0.2,0.4,0.2,1.0,2.6
SLC25A20,0.6,0.8,1.4,2.6,2.0,14.0
CAD,0.8,2.6,0.0,2.0,4.4,8.0
CALB1,0.0,0.0,0.0,0.0,0.0,0.0
CALCB,0.0,0.0,0.0,0.0,0.2,0.4
CALM1,36.0,59.4,48.8,114.6,184.0,246.4
CALM2,32.2,59.2,36.4,112.0,104.0,252.0
CALM3,11.0,13.6,12.0,41.0,31.4,97.4
CALR,56.0,96.2,73.6,142.0,919.0,536.4
CALU,45.2,82.2,61.2,158.4,387.0,449.6
CAMK2A,0.0,0.0,0.0,0.0,0.0,0.4
CAMK2B,0.0,0.2,0.0,0.4,0.2,1.8
CAMK2D,1.4,3.4,4.0,13.0,13.0,24.4
CAMK2G,5.2,6.8,7.2,13.0,16.2,43.8
CAMLG,1.6,2.2,2.2,7.2,5.2,9.4
CANX,67.4,120.2,78.4,326.4,567.2,636.0
CAPG,0.4,0.6,0.2,3.4,2.4,2.2
CAPN1,0.6,1.4,0.4,2.4,1.6,6.8
CAPN2,6.2,9.6,6.2,14.2,13.6,23.0
CAPN3,0.2,0.6,1.4,1.6,1.8,3.6
CAPNS1,4.8,8.8,5.0,13.0,15.8,53.0
CAPN6,0.0,0.0,0.0,0.2,0.2,0.0
CAPS,0.0,0.2,0.0,0.8,0.6,1.2
CAPZA1,40.4,64.2,44.6,180.8,177.2,430.6
CAPZA2,9.6,18.6,7.8,37.6,48.6,76.0
CAST,0.8,1.4,0.8,2.4,2.8,3.0
CAPZB,5.2,7.6,8.0,20.4,26.8,105.2
CARS1,11.0,17.2,17.2,73.6,139.2,97.0
CASP1,1.0,1.6,2.2,12.4,9.0,8.8
CASP2,17.2,31.4,27.4,78.8,65.6,174.6
CASP3,24.0,34.8,31.6,85.4,105.0,251.8
CASP4,1.0,3.2,0.8,10.2,8.0,6.0
CASP5,0.0,0.0,0.0,0.0,0.4,0.0
CASP6,0.8,1.2,2.2,4.0,2.6,4.8
CASP7,4.0,9.0,5.0,22.8,23.0,106.8
CASP8,3.0,4.8,3.6,18.2,15.4,26.2
CASP9,0.6,0.4,0.6,2.4,4.8,23.2
CASP10,2.4,4.0,6.4,21.8,33.8,40.4
CASQ1,0.0,0.0,0.0,0.0,0.0,0.2
CAT,3.8,3.6,5.0,43.8,19.6,12.0
CAV1,0.0,0.0,0.0,0.2,0.0,0.0
RUNX2,30.0,52.6,37.6,152.0,163.4,527.8
RUNX1,49.4,81.8,59.6,212.6,289.6,449.4
CBFA2T3,4.6,8.2,6.2,15.4,7.6,27.4
RUNX3,24.6,51.4,26.2,62.4,81.6,354.8
CBFB,21.2,41.0,30.0,80.8,51.6,178.0
CBL,12.8,22.0,21.8,72.6,69.2,132.2
CBLB,1.6,2.2,2.8,6.4,12.2,16.0
CBLN1,0.0,0.0,0.4,0.0,0.0,0.2
SERPINH1,1.2,2.0,1.8,46.2,7.8,8.0
CBR1,0.4,2.6,1.4,4.6,2.0,5.6
CBR3,0.0,0.0,0.4,0.6,0.2,0.0
CBS,0.2,0.4,0.4,1.4,2.8,0.6
KYAT1,0.2,0.4,0.2,1.4,1.6,4.0
KRIT1,2.2,3.0,1.4,5.6,4.8,7.0
CCNA2,10.8,11.6,8.0,32.0,21.8,53.2
CCNB1,7.8,8.8,6.4,21.4,12.0,36.2
CCNC,7.2,10.2,6.6,21.4,31.0,56.6
CCND2,10.8,18.0,14.4,47.2,70.0,84.6
CCND3,15.2,17.4,16.0,37.6,41.8,49.0
CCNE1,5.0,7.8,6.0,11.4,6.8,47.8
CCNF,7.4,13.2,6.0,21.8,10.0,56.6
CCNG1,15.2,31.4,15.4,73.0,82.0,182.6
CCNG2,6.0,8.8,7.8,31.2,37.8,41.0
CCNH,0.6,1.0,1.0,2.4,2.2,9.4
CCNT1,80.4,126.6,105.0,292.4,447.2,1107.0
CCNT2,25.8,41.6,32.4,106.8,137.2,252.0
CCT6A,23.2,33.8,22.0,106.4,71.6,174.8
CD1A,0.0,0.0,0.0,0.0,0.2,0.0
CD1D,1.0,0.2,0.6,1.4,0.4,132.4
CD4,3.4,8.2,6.6,12.2,14.6,53.4
CD5,0.0,0.0,0.0,0.0,0.0,0.2
CD6,0.0,0.0,0.0,0.0,0.0,0.0
CD8A,0.0,0.0,0.0,0.0,0.0,0.8
CD9,0.0,0.4,0.0,0.2,0.2,0.4
CD14,0.0,0.0,0.0,0.0,0.0,0.4
CD19,0.0,0.0,0.0,0.0,0.0,0.2
