GENE,MV411-DMSO,MV411-Naphthol,MV411-Plumbagin,MV411-Celastrol,MV411-TM1-001,MV411-Tretinoin
ADD2,113.6,159.4,174.8,425.4,656.4,1081.4
ADD3,187.4,273.0,222.8,704.8,726.6,1432.6
PLIN2,468.2,567.6,566.2,1957.0,2905.0,4559.6
ADH5,211.6,272.4,248.2,701.0,847.8,1662.6
ADK,194.2,256.0,231.6,642.0,805.6,1441.4
ADM,2.4,1.8,6.0,21.8,7.0,13.2
ADORA1,0.4,0.8,0.4,1.4,2.6,6.8
ADORA2A,4.0,3.8,4.8,15.2,31.2,86.8
ADORA2B,59.8,77.4,66.6,203.8,244.2,346.8
ADORA3,1.6,3.0,2.0,7.0,6.6,12.8
ADPRH,0.2,0.2,0.0,0.6,2.2,2.4
PARP1,270.0,330.0,269.0,651.6,959.6,1653.4
PARP4,19.4,17.6,16.2,47.8,76.0,93.6
ADRA1D,0.2,0.2,0.2,0.4,1.2,7.2
ADRA2C,1.4,1.8,2.2,4.0,5.0,11.8
ADRB1,0.6,0.8,0.6,2.8,3.6,4.8
ADRB2,5.0,6.0,7.4,23.0,25.0,12.8
GRK2,171.6,203.6,212.2,439.4,861.8,1385.6
GRK3,63.6,85.8,94.0,223.6,350.4,531.6
ADSL,72.0,87.8,79.8,210.0,275.6,392.6
ADSS2,193.2,225.0,208.0,567.0,715.8,1213.4
AP2A1,41.0,44.2,46.6,122.6,152.8,200.6
AP2A2,30.0,37.8,32.6,91.8,184.6,288.4
AP1B1,64.4,87.0,77.0,168.4,303.2,524.0
AP2B1,514.4,704.4,728.8,1694.0,2439.0,4527.0
AP1G1,508.4,740.6,754.2,1871.8,2404.2,4314.8
TLE5,63.0,73.2,72.8,167.0,242.0,472.4
AFG3L1P,56.0,79.2,75.4,171.2,412.6,482.8
AGA,152.2,223.4,202.0,530.2,724.0,1295.0
AGER,16.4,22.8,21.8,48.8,78.2,128.0
AGL,46.0,58.0,51.4,174.8,173.2,255.0
JAG1,4.0,1.6,5.2,27.6,31.2,13.8
AGT,7.2,12.4,12.2,26.4,39.2,82.0
AHCY,517.0,606.4,574.4,1432.4,2033.8,3837.0
AHR,140.4,148.0,167.2,539.8,1109.0,849.0
AIF1,416.4,509.0,470.0,1115.8,1583.6,2577.2
CRYBG1,65.6,99.6,95.2,276.0,316.4,547.8
AK1,7.8,8.6,8.8,20.4,40.0,59.4
AK2,3157.8,4180.0,4015.0,9934.8,13041.6,25302.4
AK4,20.0,20.6,21.8,61.4,89.8,159.8
AKT1,205.8,265.4,255.0,575.8,881.6,1658.0
AKT2,185.6,265.4,268.0,580.4,853.8,1781.4
ALAD,91.4,144.2,131.6,318.8,503.4,969.4
ALAS1,18.4,17.2,14.6,34.4,118.2,317.8
ALAS2,0.0,0.0,0.6,0.0,1.0,1.8
ALCAM,90.6,128.6,115.6,346.6,364.4,624.6
ABCD1,28.4,33.0,33.2,81.4,137.0,304.2
ALDH2,2.6,2.8,2.0,5.8,13.2,13.2
ALDH1B1,145.0,176.6,154.2,350.8,522.4,1044.4
ALDH1A3,6.4,4.6,7.6,16.0,26.8,38.0
ALDH3B1,48.2,65.2,61.0,144.4,238.2,428.0
ALDH9A1,250.2,342.2,309.0,801.8,799.4,1768.8
ALDH3A2,29.0,38.0,36.6,91.6,114.0,226.6
ABCD2,22.4,27.0,27.4,86.4,89.2,147.8
ALDOA,989.6,1189.8,1143.0,2820.2,4469.2,7285.2
ALDOB,0.2,0.8,1.2,2.2,2.8,6.0
ALDOC,256.2,278.4,291.2,678.8,1094.0,1667.4
AKR1B1,149.6,173.4,149.6,366.8,614.2,1014.0
ALOX12,2.6,4.4,4.2,13.2,21.8,50.4
ALOX5AP,427.0,531.8,445.8,1132.4,1569.0,3626.6
ALOX12B,1.0,0.4,0.4,0.4,1.0,0.6
ALOX15,0.4,0.4,0.6,1.8,2.2,3.0
ALX3,1.2,2.4,4.2,4.8,9.2,12.2
AMD1,807.0,1129.8,1077.2,2883.2,2444.4,5760.0
AMFR,64.8,79.0,82.8,198.4,271.8,478.2
AMH,0.6,2.2,0.6,2.4,6.6,4.8
AMPD2,22.4,24.2,30.6,50.8,125.6,176.4
AMPD3,17.8,18.6,22.6,57.2,93.8,137.0
AMPH,0.6,0.0,0.4,1.6,0.6,2.4
BIN1,3.6,4.4,5.6,10.4,18.4,35.0
AMT,10.2,19.6,18.2,34.4,63.2,115.0
AMY1A,1.4,2.0,1.2,4.2,5.4,13.8
AMY1B,1.4,2.0,1.2,4.2,5.4,13.8
AMY1C,1.4,2.0,1.2,4.2,5.4,13.8
AMY2B,0.4,1.4,0.4,2.0,1.6,3.2
ANG,1.8,2.0,1.6,5.8,13.2,12.4
ANGPT1,20.8,25.4,26.2,90.6,103.6,146.2
ANGPT2,3.4,4.4,4.6,13.6,22.4,34.6
ANK1,0.6,0.4,0.8,0.8,2.0,2.8
ANK2,12.6,17.4,20.8,58.8,76.6,118.4
ANK3,0.6,0.8,0.8,1.4,1.8,2.6
ANPEP,0.4,0.4,0.8,2.2,4.4,5.0
SLC25A4,7.6,5.6,10.4,14.4,19.8,52.8
SLC25A5,694.2,941.4,813.4,2061.8,2559.2,5170.4
SLC25A6,1016.4,1314.4,1243.4,3120.0,5021.2,8359.4
ANXA1,97.0,143.6,133.6,353.2,581.0,933.0
ANXA2,243.8,279.0,256.2,579.2,938.2,1595.8
303,3.6,2.6,2.8,7.0,7.8,15.0
ANXA4,71.8,110.4,90.4,279.8,289.8,489.8
ANXA5,145.6,186.4,184.8,441.8,629.0,956.6
ANXA6,80.6,85.8,75.8,193.4,283.4,509.0
ANXA7,92.8,114.6,95.4,302.6,394.4,624.0
ANXA11,100.0,118.6,110.6,275.0,475.4,720.0
AOAH,1.0,0.6,1.0,1.8,5.0,6.8
AOC2,1.4,1.6,1.0,1.6,3.6,7.8
AOX1,0.4,0.0,0.2,2.0,0.8,3.0
APAF1,94.4,111.6,110.2,319.0,438.0,554.0
NUDT2,33.6,32.6,31.0,81.2,140.6,200.6
APBA1,30.4,38.4,44.4,97.0,179.8,252.0
APBA2,3.6,5.4,2.4,9.0,20.4,39.2
APBB1,26.4,38.8,33.4,85.2,155.8,387.0
APBB2,7.2,7.6,8.4,19.8,41.2,45.0
APC,34.2,41.6,27.0,84.6,153.4,189.6
APEH,38.0,34.0,33.6,81.2,157.4,214.6
APEX1,599.2,723.0,648.6,1556.0,2416.8,3806.4
BIRC2,37.4,42.4,42.0,119.0,166.8,210.8
BIRC3,4.4,2.6,3.0,6.6,32.8,41.4
XIAP,203.6,257.0,233.0,614.8,1060.2,1479.2
BIRC5,449.8,579.0,519.6,1305.8,1840.4,3414.2
APLP1,4.6,8.2,7.6,15.0,25.8,37.8
APLP2,555.8,765.2,710.6,1831.8,2488.6,5266.8
APOA1,1.6,0.6,1.0,3.8,4.6,7.0
APOC1,15.8,20.0,15.2,46.4,71.0,165.2
APOC2,1239.4,1435.4,1261.0,3006.4,4283.6,7654.0
APOC4,2.4,0.8,1.2,3.0,4.2,11.2
APOD,1.2,2.6,3.0,9.2,11.2,12.4
APOE,0.4,0.8,1.0,0.8,0.6,4.6
APP,196.4,284.4,266.6,671.6,820.6,1532.2
APRT,225.6,247.8,237.0,547.0,921.0,1441.8
FAS,0.8,1.2,1.2,6.8,4.0,6.2
SHROOM2,0.4,0.6,0.8,2.0,1.4,2.2
AQP1,13.2,14.6,13.6,34.6,119.8,127.8
AQP3,23.0,29.6,28.4,55.2,84.0,156.0
AQP6,0.2,0.6,0.2,1.2,1.4,1.6
AR,4.2,5.4,3.6,12.6,19.4,24.8
ARAF,44.4,52.2,60.6,122.4,238.0,354.8
ARCN1,866.0,1164.8,1117.8,2792.2,4668.8,7535.2
TRIM23,13.4,13.8,15.2,45.8,76.6,69.8
ARF1,1043.2,1453.8,1417.2,3346.0,5615.2,10239.8
ARF3,1058.8,1575.2,1546.0,3723.2,5050.4,10075.6
ARF4,714.8,980.0,881.0,2485.6,2919.6,4768.8
ARL4D,0.8,0.8,1.6,4.4,8.0,8.4
ARF5,87.2,112.2,108.2,246.2,348.4,679.4
ARF6,709.0,893.6,817.4,2292.0,3073.0,3771.8
ARG2,163.8,190.8,161.0,416.8,640.6,1174.8
RHOA,3567.0,4766.8,4334.4,10807.6,15299.4,28579.2
RHOB,51.8,53.2,54.0,73.0,403.6,379.2
RHOC,44.4,51.4,42.2,102.8,179.6,329.8
RND3,0.0,0.4,0.0,0.6,0.8,2.4
RHOG,144.2,179.0,156.2,361.8,649.4,996.4
ARHGAP1,64.2,96.8,96.4,208.0,382.0,664.2
ARHGAP4,37.4,45.8,41.2,106.8,186.8,306.6
ARHGAP6,3.4,5.6,4.6,11.0,20.2,26.0
ARHGDIA,480.2,712.6,690.0,1542.4,2792.4,5084.4
ARHGDIB,3929.4,5223.6,4946.8,11388.8,16877.2,32940.2
RHOH,6.4,8.8,6.4,27.2,78.2,43.2
ARL1,301.8,372.2,346.8,922.2,1264.8,2122.4
PHOX2A,0.6,0.0,0.0,0.0,1.2,1.8
ARL2,55.2,73.4,71.2,149.4,243.8,413.8
ARL3,35.6,43.4,34.6,81.8,118.0,250.8
ARNT,124.2,156.4,161.0,405.0,615.2,958.8
ARNTL,11.4,13.8,14.0,38.0,58.8,77.4
ARRB1,277.6,361.2,390.6,852.0,1556.8,2853.6
ARRB2,205.4,248.6,248.0,565.6,942.2,1396.6
ARSA,5.0,8.6,11.0,23.4,34.2,53.4
ARSB,104.2,165.0,149.0,401.2,599.4,981.6
STS,47.4,78.4,73.2,198.4,226.8,450.4
ARSD,86.6,93.8,77.4,226.4,377.8,602.6
ART3,0.0,0.0,0.0,1.2,1.6,1.4
ARVCF,3.2,2.8,1.2,5.0,11.6,13.6
ASAH1,199.2,290.2,262.2,751.8,832.6,1620.8
ASGR1,1.0,1.6,1.8,1.6,4.2,7.2
ASGR2,6.6,7.8,7.6,15.2,29.4,47.2
ASL,4.2,3.2,4.2,11.2,22.4,26.2
GET3,63.2,80.4,67.2,167.0,269.8,394.0
ASNS,117.0,128.0,118.0,281.8,502.0,616.4
ASPH,223.0,304.0,281.0,811.6,966.8,1526.8
ASS1,229.8,283.6,257.0,597.2,1053.0,1793.6
ZFHX3,8.8,9.4,12.6,30.6,46.8,38.6
ATF1,136.8,172.6,145.2,523.6,550.2,861.8
ATF3,146.6,206.0,206.6,675.0,2423.2,1310.8
ATF4,382.2,406.8,400.4,1039.4,1903.6,1822.2
ATIC,78.8,77.4,67.6,169.2,298.2,366.8
ATM,237.6,336.2,333.2,891.4,1153.0,1756.4
RERE,18.6,22.4,22.0,53.2,110.8,132.0
ATOX1,93.0,108.2,104.6,224.2,393.0,590.0
ATP1A1,139.2,151.2,154.2,365.2,533.8,818.2
ATP1A3,11.2,11.8,15.8,41.6,62.4,73.8
ATP1B1,26.6,31.4,28.4,68.0,106.6,171.0
ATP1B3,612.6,734.0,653.2,1622.4,2290.4,4728.8
FXYD2,0.2,0.4,0.4,2.0,2.0,2.0
ATP2A1,2.4,1.6,1.6,5.4,10.8,23.6
ATP2A2,282.4,362.4,379.0,862.0,1706.0,2283.4
ATP2A3,74.8,92.6,101.2,233.0,451.6,791.4
ATP2B1,287.6,345.0,327.6,1103.6,1612.6,1663.6
ATP2B2,1.6,2.4,2.4,4.4,6.4,20.0
ATP2B3,14.8,17.0,18.6,43.4,91.0,152.0
ATP2B4,263.6,373.8,395.4,1064.0,1507.4,2432.4
ATP5F1A,272.2,398.4,334.0,813.6,1163.0,2027.2
ATP5F1B,488.8,590.0,526.2,1186.4,1816.8,2921.4
ATP5F1C,104.2,159.6,141.8,349.8,337.2,660.2
ATP5F1D,155.2,166.8,166.8,396.8,724.0,1009.2
ATP5F1E,364.0,454.2,374.6,957.2,1507.0,2849.8
ATP5PB,709.8,846.4,709.8,1905.4,2432.6,4410.6
ATP5MC1,110.6,119.4,108.8,237.0,357.8,563.0
ATP5MC2,581.8,725.4,685.4,1657.2,2370.6,4072.4
ATP5MC3,672.2,927.0,808.4,2073.2,2371.6,5185.4
ATP5ME,514.2,607.0,546.8,1211.4,1733.2,2916.4
ATP5PF,123.2,189.2,162.8,440.4,410.8,930.8
ATP6V1A,265.4,385.2,350.6,1035.4,1114.8,1871.0
ATP6V1B2,1182.2,1471.6,1356.6,3789.2,5229.0,7639.8
ATP6V0C,127.8,172.6,167.2,382.4,673.2,1096.4
ATP6V1C1,501.2,729.8,692.8,1894.8,2253.6,3972.8
ATP6V1E1,308.4,354.4,306.6,714.8,1303.0,2333.6
ATP6V0B,177.8,194.2,157.4,407.4,693.2,1076.0
ATP6V1G2,10.6,17.6,16.0,46.6,53.6,95.8
ATP6V0A1,38.6,40.6,38.4,104.0,193.4,284.6
ATP6AP1,86.2,97.8,85.6,219.0,426.2,630.8
ATP7A,17.6,30.2,25.2,69.8,83.4,153.0
ATP5PO,316.6,326.0,293.0,715.8,1041.0,1597.0
ATP7B,2.0,1.6,2.2,5.6,12.4,19.0
ATR,2.2,5.8,3.8,11.6,15.4,30.8
ATRX,230.8,287.0,266.6,791.0,980.4,1400.8
AUH,23.4,21.4,21.6,62.4,81.0,156.2
AUP1,647.4,827.6,805.2,1779.8,3133.4,5448.8
AVPR2,1.2,2.2,3.8,5.8,8.6,44.2
AXL,27.4,32.8,30.6,85.8,119.4,198.6
AZU1,88.0,102.8,102.8,240.2,416.4,520.2
B2M,4391.6,5873.8,5131.2,13184.2,16879.2,31801.2
BAAT,0.8,1.0,0.4,3.2,2.4,5.6
BACH1,161.0,213.6,243.2,778.8,1227.0,1253.8
BAD,32.4,37.0,35.8,85.2,143.2,249.0
BAG1,171.2,197.2,169.4,404.6,702.2,1168.6
ADGRB1,1.2,1.2,1.0,3.6,4.8,6.0
BAK1,47.8,56.8,55.8,122.0,214.2,392.6
NKX3-2,3.6,4.8,5.0,11.4,28.0,27.4
BARD1,192.2,249.6,237.6,771.4,1253.4,1517.8
BAX,56.8,70.6,67.4,147.2,211.0,458.8
BBS1,16.8,20.0,20.4,50.4,74.6,121.4
BBS2,18.8,21.8,20.2,48.8,81.2,147.6
BBS4,40.2,49.0,44.4,118.0,136.0,270.0
BCAT1,2422.6,3522.8,3228.2,9518.4,9625.4,17730.8
BCAT2,34.2,49.4,40.0,83.6,180.4,297.4
BCKDHA,68.4,98.6,81.4,217.6,345.0,540.6
BCKDHB,30.0,38.0,40.6,109.8,139.4,250.0
CCND1,3.2,2.0,1.4,6.4,8.0,16.6
BCL2,323.4,423.0,445.2,1043.6,1802.2,2737.0
BCL2A1,19.4,27.0,24.2,59.2,111.6,181.4
BCL2L1,62.2,86.0,83.0,178.4,346.8,559.0
BCL2L2,68.6,83.8,82.6,195.8,381.0,543.6
BCL3,10.0,18.8,11.0,18.0,57.2,307.6
BCL6,1.4,2.6,0.4,4.6,7.8,5.4
BCL7A,73.4,101.6,101.2,248.6,421.0,664.2
BCL9,3.0,2.4,2.8,8.8,4.8,13.0
OPN1SW,9.8,12.8,9.8,26.2,44.6,74.0
BCR,3.6,4.0,3.0,9.2,23.4,41.2
BCS1L,10.2,9.8,14.8,24.2,38.6,49.8
BDH1,71.0,82.6,73.8,173.6,261.4,437.6
BDNF,0.0,0.6,0.0,1.2,7.0,3.6
CFB,0.4,0.0,0.4,0.0,0.8,2.8
BFSP1,1.8,1.6,2.0,1.2,10.4,8.6
BGLAP,3.4,4.8,5.6,12.0,20.4,36.8
CEACAM1,0.4,0.4,0.2,0.8,0.4,2.6
BICD1,1.4,1.2,2.6,6.6,11.4,11.8
BID,321.8,408.2,373.4,952.6,1238.6,2502.6
BIK,19.4,20.8,19.8,41.8,67.0,200.6
PRDM1,4.2,13.8,11.8,77.4,39.4,48.8
BLK,0.0,0.0,0.2,1.0,0.4,2.0
BLM,22.6,23.8,21.0,59.2,98.2,128.8
BLMH,145.4,164.4,151.0,363.2,458.6,1015.4
CXCR5,0.4,1.6,0.4,1.2,2.4,68.6
BLVRB,54.2,62.8,56.2,127.8,217.0,290.8
BMI1,181.4,278.6,228.6,769.6,767.2,1237.0
BMP1,28.4,32.2,32.4,63.8,126.6,201.4
BMP2,0.8,0.0,0.0,1.8,3.8,3.2
BMP6,274.8,312.6,283.4,689.6,1020.2,1820.2
BMP8B,12.4,17.0,19.2,50.2,91.6,144.6
BMPR1A,31.6,46.2,45.8,118.0,185.8,239.8
BMPR1B,0.4,0.0,0.4,1.6,0.8,0.8
BMPR2,31.8,48.2,44.4,138.6,162.6,251.8
POLR3D,45.4,67.0,62.2,139.8,325.8,387.0
BNIP1,40.4,41.0,43.8,86.4,212.0,288.0
BNIP2,519.2,684.6,629.8,1720.0,2250.6,3575.2
BNIP3,72.0,93.2,84.0,268.8,284.8,550.8
BNIP3L,993.0,1412.2,1290.6,3837.6,4046.0,7269.2
BOK,0.2,1.0,1.0,2.4,3.4,9.4
DST,9.6,14.4,9.6,34.2,44.2,82.4
BPGM,39.6,42.4,45.6,94.6,160.8,233.2
BPHL,20.6,22.4,25.4,55.4,81.8,158.0
BPI,0.6,0.4,0.2,1.2,1.2,3.2
BRCA1,721.8,995.8,994.6,2702.8,4172.4,6120.0
BRAF,2.4,5.2,4.8,8.2,14.6,16.6
BRCA2,85.0,104.8,96.8,327.0,473.4,443.4
ZFP36L1,24.6,37.4,22.8,95.4,567.4,146.2
ZFP36L2,182.0,219.6,184.2,700.4,1022.8,2376.2
BSG,631.2,843.8,821.4,1914.8,3483.6,5542.6
BST1,5.2,7.8,6.0,20.8,24.0,39.0
BST2,259.8,325.2,319.4,682.4,1032.8,2046.0
BTD,19.4,25.2,18.0,50.0,75.2,125.0
KLF9,204.6,285.0,297.6,674.6,1560.0,1711.0
KLF5,6.0,7.8,9.6,23.2,40.0,39.6
BTF3,1239.8,1747.6,1488.0,3617.8,4554.2,8512.8
BTG1,262.8,280.6,322.2,1025.6,1684.0,1942.4
BTK,200.0,244.6,218.2,488.4,750.2,1468.0
BUB1,51.0,60.0,56.4,175.6,195.4,313.4
BUB1B,85.8,103.4,83.0,247.2,347.6,550.8
BYSL,41.2,42.4,36.0,76.8,163.2,274.2
TSPO,202.4,193.6,189.6,420.6,756.4,1157.4
C1QBP,617.2,731.8,617.2,1478.2,2502.4,4279.6
C1QA,0.4,0.2,0.2,0.4,0.6,2.0
C1R,0.4,1.4,2.2,4.0,5.2,7.8
C1S,1.6,1.2,1.0,1.8,3.6,4.0
C2,0.6,0.8,0.2,1.6,2.0,4.2
C3,15.6,16.6,15.2,37.2,50.2,77.4
C3AR1,30.2,26.6,24.2,78.8,585.6,141.0
CAPN5,1.4,3.6,3.8,7.0,14.8,24.0
C5,22.8,25.8,23.4,67.8,113.2,133.8
C5AR1,3.0,5.6,4.2,15.8,19.2,24.4
C8G,0.6,0.2,0.6,2.0,2.0,3.2
OSGIN2,146.2,175.6,168.2,458.0,860.8,1082.0
VPS51,15.2,9.4,12.6,36.8,59.4,76.6
MRPL49,138.4,176.2,163.8,405.6,736.8,1175.4
ZNHIT2,1.0,2.0,1.4,4.0,8.0,6.6
MYRF,4.2,5.8,8.0,17.8,24.2,38.6
TMEM258,259.8,286.6,272.8,679.4,989.6,1346.0
DAGLA,2.0,4.8,3.4,6.8,18.0,35.2
GAS8-AS1,0.0,0.2,0.2,1.6,1.6,2.4
FMNL1,24.4,38.6,34.0,78.8,140.2,231.8
LDLRAD4,37.6,58.8,57.8,141.0,334.0,383.8
PTTG1IP,520.8,718.8,653.0,1643.6,2655.8,4609.4
CFAP410,26.0,33.8,32.8,78.0,118.4,228.6
TMEM50B,278.8,369.4,364.4,913.8,1536.8,2446.0
MPPED1,0.0,0.2,0.6,1.2,2.4,13.0
CA7,1.4,2.4,1.8,3.0,6.8,14.8
CA11,27.0,36.0,37.8,91.0,140.2,244.6
CA12,0.4,0.8,0.8,1.6,1.8,3.0
CACNA1A,3.4,3.8,5.0,11.4,18.6,25.2
CACNA1D,0.6,0.0,0.0,0.4,1.0,2.6
CACNA1E,1.2,3.0,2.6,4.8,8.8,18.0
CACNB1,3.4,1.4,4.0,8.4,14.0,21.8
CACNB2,8.4,15.2,16.2,37.2,54.6,76.0
CACNB3,7.6,8.6,10.4,28.0,49.2,82.2
CACNB4,4.6,6.4,5.2,17.4,23.8,25.6
SLC25A20,24.2,28.2,28.2,72.2,60.0,227.4
CAD,8.2,11.8,9.2,23.2,46.2,64.0
CALB1,0.2,0.4,0.2,0.6,0.6,2.6
CALCB,0.2,0.2,0.2,0.4,1.0,3.0
CALM1,1585.6,2014.0,1841.2,4628.8,6217.8,10488.8
CALM2,1976.8,2670.4,2231.6,5918.6,6898.6,13195.0
CALM3,795.2,1081.6,1075.4,2451.2,3582.0,7201.8
CALR,1919.0,2274.8,2204.6,5703.0,10916.4,11714.4
CALU,1059.4,1567.2,1467.4,3215.0,4915.8,8874.0
CAMK2A,0.6,0.4,1.0,1.4,1.4,3.0
CAMK2B,12.0,11.6,13.6,26.4,48.0,79.4
CAMK2D,69.2,104.4,102.2,293.4,345.8,580.4
CAMK2G,64.6,84.8,86.6,183.0,343.6,516.2
CAMLG,67.8,81.4,78.4,251.6,315.2,424.2
CANX,4797.4,6877.4,6284.2,18756.8,20541.0,36072.8
CAPG,72.4,79.0,77.4,183.2,306.8,451.8
CAPN1,72.0,102.4,96.0,218.0,399.0,671.6
CAPN2,295.2,366.6,326.4,889.6,1149.0,2019.2
CAPN3,8.0,9.8,11.0,28.6,63.8,68.6
CAPNS1,419.4,474.6,443.8,985.8,1836.4,3546.2
CAPN6,0.4,0.8,0.8,1.6,3.8,7.8
CAPS,6.0,8.6,6.8,14.4,31.2,44.8
CAPZA1,2777.6,3980.2,3522.4,10396.4,10567.0,20606.2
CAPZA2,461.0,588.4,477.2,1545.0,1972.6,2907.8
CAST,96.2,129.4,131.8,404.4,394.0,678.8
CAPZB,482.0,597.4,554.0,1408.0,2127.2,3845.4
CARS1,519.8,721.8,695.0,1799.0,3394.4,4718.4
CASP1,54.2,61.2,61.6,171.6,226.4,348.0
CASP2,172.0,256.0,265.0,683.4,1037.8,1443.6
CASP3,326.8,430.2,389.0,1109.2,1433.4,2557.8
CASP4,57.2,69.8,64.4,171.8,234.2,329.8
CASP5,0.2,0.0,0.2,1.2,1.4,1.4
CASP6,76.6,99.6,87.0,240.4,316.8,584.0
CASP7,81.8,112.4,112.4,279.8,374.6,1053.4
CASP8,68.8,98.4,90.6,248.6,319.2,526.2
CASP9,39.0,48.8,44.4,103.6,192.2,430.0
CASP10,68.0,90.8,101.0,272.6,522.0,604.2
CASQ1,1.6,1.8,1.8,4.0,6.4,11.4
CAT,491.2,631.0,584.6,1668.8,1879.8,3553.4
CAV1,0.6,1.0,1.0,1.8,0.2,2.0
RUNX2,248.0,341.2,339.6,905.6,1509.6,2731.4
RUNX1,391.2,479.0,480.6,1303.4,2627.8,3114.8
CBFA2T3,41.0,51.8,47.6,135.0,209.4,254.0
RUNX3,183.2,264.6,194.2,487.4,970.8,1794.0
CBFB,637.2,924.0,825.4,2350.4,2441.2,4793.8
CBL,150.6,222.6,258.8,691.8,1037.6,1500.8
CBLB,26.0,36.4,40.8,121.2,208.8,259.0
CBLN1,0.8,1.4,1.4,2.0,2.8,5.4
SERPINH1,67.6,86.0,88.2,293.2,332.6,504.0
CBR1,27.8,41.8,33.0,87.8,130.0,214.6
CBR3,1.6,0.6,1.2,3.0,4.0,2.2
CBS,11.0,14.4,14.0,40.4,50.8,70.0
KYAT1,20.6,28.8,27.8,56.6,114.6,195.8
KRIT1,52.8,65.4,56.4,169.0,219.8,334.6
CCNA2,474.0,628.8,560.6,1639.8,1809.2,2987.6
CCNB1,193.6,224.8,195.6,509.6,647.4,1078.8
CCNC,442.8,600.6,513.4,1553.2,1741.6,3116.4
CCND2,208.6,263.2,248.4,595.4,824.4,1467.6
CCND3,286.4,326.6,321.4,750.6,1311.8,2019.8
CCNE1,27.8,24.0,23.0,56.0,55.6,182.2
CCNF,47.6,57.2,45.6,139.6,229.8,326.6
CCNG1,1040.0,1411.6,1235.2,4247.2,4107.6,7397.4
