REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp183-MV411_DMSO-H3K27ac-r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam
20_MV411-DMSO_1_183_R1_peak_59839_lociStitched	chr9	111958374	112036969	20	15111	24906.7555	8158.161
25_MV411-DMSO_1_183_R1_peak_19060_lociStitched	chr15	65763398	65841467	25	21704	40158.6936	7533.6585
32_MV411-DMSO_1_183_R1_peak_54185_lociStitched	chr7	92706283	92784120	32	18277	25779.6144	6896.3582
31_MV411-DMSO_1_183_R1_peak_8026_lociStitched	chr10	96643694	96721459	31	25605	38423.6865	8593.0325
25_MV411-DMSO_1_183_R1_peak_9584_lociStitched	chr11	33865025	33942347	25	31870	56816.2056	9131.7282
34_MV411-DMSO_1_183_R1_peak_53396_lociStitched	chr7	41756787	41833488	34	29583	41004.3546	8628.8625
22_MV411-DMSO_1_183_R1_peak_51143_lociStitched	chr6	106107037	106183729	22	19152	33514.404	8903.9412
19_MV411-DMSO_1_183_R1_peak_61337_lociStitched	chrX	30566916	30643588	19	36176	41096.192	3105.216
25_MV411-DMSO_1_183_R1_peak_44782_lociStitched	chr4	86907523	86983299	25	25704	33780.9408	8017.1008
16_MV411-DMSO_1_183_R1_peak_37100_lociStitched	chr20	53578241	53653861	16	28197	48442.172	6919.23
22_MV411-DMSO_1_183_R1_peak_47409_lociStitched	chr5	131205995	131281334	22	17973	26097.4296	6592.1625
23_MV411-DMSO_1_183_R1_peak_31176_lociStitched	chr2	38593456	38668644	23	39692	59270.7004	7992.4844
21_MV411-DMSO_1_183_R1_peak_2279_lociStitched	chr1	66371233	66446131	21	19988	32430.834	7639.596
24_MV411-DMSO_1_183_R1_peak_18760_lociStitched	chr15	55216273	55291147	24	51250	63882.4968	7345.1394
33_MV411-DMSO_1_183_R1_peak_23418_lociStitched	chr17	12792896	12867556	33	31767	35799.47	7421.204
19_MV411-DMSO_1_183_R1_peak_23807_lociStitched	chr17	27508083	27582142	19	24181	44924.1894	8731.5561
12_MV411-DMSO_1_183_R1_peak_46406_lociStitched	chr5	50630237	50703823	12	50165	68847.0616	5724.9908
16_MV411-DMSO_1_183_R1_peak_31944_lociStitched	chr2	66435195	66508717	16	27765	54082.7832	6300.8354
18_MV411-DMSO_1_183_R1_peak_33486_lociStitched	chr2	144644237	144717462	18	52042	72646.5225	7168.7275
28_MV411-DMSO_1_183_R1_peak_40222_lociStitched	chr3	14362157	14435095	28	22185	34105.8088	8891.1422
22_MV411-DMSO_1_183_R1_peak_22344_lociStitched	chr16	81447768	81520558	22	17330	27310.808	8443.64
23_MV411-DMSO_1_183_R1_peak_32829_lociStitched	chr2	105750390	105822467	23	24426	38078.2791	7697.8236
19_MV411-DMSO_1_183_R1_peak_60977_lociStitched	chrX	1466713	1538534	19	16746	23550.1059	6377.7048
24_MV411-DMSO_1_183_R1_peak_19292_lociStitched	chr15	70438837	70510436	24	26709	43582.3113	9035.7938
23_MV411-DMSO_1_183_R1_peak_25123_lociStitched	chr17	59776963	59847962	23	25547	30749.6669	6411.2097
13_MV411-DMSO_1_183_R1_peak_35141_lociStitched	chr2	237662081	237732984	13	21871	29970.6981	7522.8083
23_MV411-DMSO_1_183_R1_peak_26420_lociStitched	chr18	9734028	9804811	23	30225	34697.8266	7623.3291
17_MV411-DMSO_1_183_R1_peak_57808_lociStitched	chr8	129625775	129696461	17	34244	59765.013	11528.8866
34_MV411-DMSO_1_183_R1_peak_43403_lociStitched	chr3	190555275	190625494	34	35586	45642.35	7021.9
18_MV411-DMSO_1_183_R1_peak_40400_lociStitched	chr3	18387788	18457879	18	41119	69628.3994	6840.8816
28_MV411-DMSO_1_183_R1_peak_61127_lociStitched	chrX	12947043	13016937	28	25822	29795.8122	3361.9014
25_MV411-DMSO_1_183_R1_peak_35748_lociStitched	chr20	10446710	10516181	25	26071	29302.8678	6398.2791
17_MV411-DMSO_1_183_R1_peak_33605_lociStitched	chr2	157411887	157481357	17	22929	30809.945	6085.572
17_MV411-DMSO_1_183_R1_peak_59049_lociStitched	chr9	77848470	77916958	17	10812	13814.0296	2992.9256
18_MV411-DMSO_1_183_R1_peak_9036_lociStitched	chr11	2982777	3051261	18	16466	27640.1424	7293.546
20_MV411-DMSO_1_183_R1_peak_37124_lociStitched	chr20	53692211	53760692	20	25330	30316.5387	6930.2772
25_MV411-DMSO_1_183_R1_peak_25650_lociStitched	chr17	75292411	75360772	25	30937	43265.6769	7184.7411
20_MV411-DMSO_1_183_R1_peak_57086_lociStitched	chr8	96842990	96911315	20	17824	33096.63	10932.0
20_MV411-DMSO_1_183_R1_peak_45264_lociStitched	chr4	139167357	139235327	20	21645	39925.578	6402.774
9_MV411-DMSO_1_183_R1_peak_37742_lociStitched	chr21	33060549	33128462	9	10574	18343.3013	7130.865
25_MV411-DMSO_1_183_R1_peak_20962_lociStitched	chr16	17403487	17471252	25	27644	35468.201	7169.537
15_MV411-DMSO_1_183_R1_peak_47883_lociStitched	chr5	143162194	143229862	15	9320	18026.7552	7693.8516
22_MV411-DMSO_1_183_R1_peak_27158_lociStitched	chr18	59855444	59922564	22	37246	61387.952	7926.872
16_MV411-DMSO_1_183_R1_peak_52505_lociStitched	chr7	85982	152952	16	18754	38594.811	7353.306
15_MV411-DMSO_1_183_R1_peak_2744_lociStitched	chr1	94702246	94769061	15	12058	18521.118	7142.5235
26_MV411-DMSO_1_183_R1_peak_60579_lociStitched	chr9	131620301	131686754	26	15626	23225.3235	7562.3514
18_MV411-DMSO_1_183_R1_peak_27939_lociStitched	chr19	4050016	4116218	18	26884	62057.7548	11360.2632
23_MV411-DMSO_1_183_R1_peak_11817_lociStitched	chr11	122690844	122756984	23	19808	27930.922	7110.05
20_MV411-DMSO_1_183_R1_peak_54640_lociStitched	chr7	114046475	114112602	20	24844	48074.329	6017.557
16_MV411-DMSO_1_183_R1_peak_39902_lociStitched	chr3	4973057	5038959	16	15135	29550.4568	7209.6788
12_MV411-DMSO_1_183_R1_peak_19801_lociStitched	chr15	84685582	84751339	12	13093	25270.4151	6424.4589
20_MV411-DMSO_1_183_R1_peak_46589_lociStitched	chr5	67157350	67222942	20	37730	46517.8464	7031.4624
16_MV411-DMSO_1_183_R1_peak_11952_lociStitched	chr11	128692768	128758352	16	17502	35487.5024	7522.4848
20_MV411-DMSO_1_183_R1_peak_43011_lociStitched	chr3	172043147	172108110	20	14448	19755.2483	6567.7593
22_MV411-DMSO_1_183_R1_peak_44722_lociStitched	chr4	83217095	83281898	22	13057	17665.2978	6467.3394
28_MV411-DMSO_1_183_R1_peak_14726_lociStitched	chr12	118304070	118368785	28	27574	32027.4535	5222.5005
24_MV411-DMSO_1_183_R1_peak_9296_lociStitched	chr11	12123669	12188031	24	26469	37368.5772	7427.3748
14_MV411-DMSO_1_183_R1_peak_7191_lociStitched	chr10	69037972	69101933	14	51597	89961.1465	6818.2426
19_MV411-DMSO_1_183_R1_peak_6843_lociStitched	chr10	44912841	44976552	19	23832	32639.1453	7320.3939
24_MV411-DMSO_1_183_R1_peak_6194_lociStitched	chr10	7457579	7521075	24	26568	25195.2128	5371.7616
19_MV411-DMSO_1_183_R1_peak_7336_lociStitched	chr10	71692283	71755779	19	24333	41062.8632	7994.1464
11_MV411-DMSO_1_183_R1_peak_37981_lociStitched	chr21	36149921	36213017	11	7787	14190.2904	7338.0648
24_MV411-DMSO_1_183_R1_peak_17095_lociStitched	chr14	75135829	75198885	24	16244	25316.984	6406.4896
23_MV411-DMSO_1_183_R1_peak_29096_lociStitched	chr19	33241323	33304207	23	33887	78806.2288	11941.6716
12_MV411-DMSO_1_183_R1_peak_60295_lociStitched	chr9	127545979	127608861	12	9821	15909.146	6860.4262
23_MV411-DMSO_1_183_R1_peak_37848_lociStitched	chr21	34517329	34580191	23	21602	33015.1224	6889.6752
12_MV411-DMSO_1_183_R1_peak_6805_lociStitched	chr10	43394021	43456598	12	23953	53384.4387	6245.1846
11_MV411-DMSO_1_183_R1_peak_49468_lociStitched	chr6	16669539	16732043	11	12376	17688.632	6106.6408
12_MV411-DMSO_1_183_R1_peak_60060_lociStitched	chr9	121071063	121133442	12	14234	24140.673	4971.6063
19_MV411-DMSO_1_183_R1_peak_5963_lociStitched	chr1	246058068	246119808	19	42106	51262.722	5791.212
19_MV411-DMSO_1_183_R1_peak_38052_lociStitched	chr21	38979376	39041037	19	37464	50820.9962	7454.8149
17_MV411-DMSO_1_183_R1_peak_39674_lociStitched	chr22	46561242	46622641	17	32604	49162.1793	6612.6723
12_MV411-DMSO_1_183_R1_peak_16223_lociStitched	chr14	22509686	22570963	12	12632	25840.5109	6752.7254
23_MV411-DMSO_1_183_R1_peak_57942_lociStitched	chr8	133486239	133547489	23	22140	44332.75	10339.0
20_MV411-DMSO_1_183_R1_peak_911_lociStitched	chr1	25079708	25140910	20	15767	24199.2708	6977.028
18_MV411-DMSO_1_183_R1_peak_39881_lociStitched	chr3	4716942	4778109	18	23274	34748.9727	6826.2372
23_MV411-DMSO_1_183_R1_peak_29598_lociStitched	chr19	43724286	43785358	23	28285	63649.2384	11182.2832
22_MV411-DMSO_1_183_R1_peak_41659_lociStitched	chr3	75132152	75193061	22	23282	33573.0408	5859.4458
15_MV411-DMSO_1_183_R1_peak_17025_lociStitched	chr14	73724203	73784976	15	22957	36737.2785	7487.2336
16_MV411-DMSO_1_183_R1_peak_34983_lociStitched	chr2	231661045	231721712	16	21053	51391.0157	6709.7702
23_MV411-DMSO_1_183_R1_peak_36040_lociStitched	chr20	23102332	23162694	23	34584	44420.3958	7859.1324
22_MV411-DMSO_1_183_R1_peak_48981_lociStitched	chr6	6840633	6900984	22	16965	23422.2231	6252.3636
10_MV411-DMSO_1_183_R1_peak_18689_lociStitched	chr15	51994963	52055302	10	8668	18439.5984	5870.9847
16_MV411-DMSO_1_183_R1_peak_48479_lociStitched	chr5	175637956	175697900	16	25871	41325.3936	7169.3024
17_MV411-DMSO_1_183_R1_peak_51784_lociStitched	chr6	139589561	139649380	17	14864	21869.8264	6017.7914
19_MV411-DMSO_1_183_R1_peak_43575_lociStitched	chr3	196604123	196663906	19	29904	64673.2494	6211.4537
13_MV411-DMSO_1_183_R1_peak_20551_lociStitched	chr16	4005791	4065559	13	9536	16651.3648	5881.1712
12_MV411-DMSO_1_183_R1_peak_49597_lociStitched	chr6	25123906	25183651	12	20818	26245.9785	5108.1975
16_MV411-DMSO_1_183_R1_peak_31680_lociStitched	chr2	55099646	55159345	16	10690	20787.1918	6674.3482
16_MV411-DMSO_1_183_R1_peak_14833_lociStitched	chr12	121412367	121471814	16	16308	25811.8874	6652.1193
13_MV411-DMSO_1_183_R1_peak_27850_lociStitched	chr19	2517987	2577164	13	16190	43418.1649	9030.4102
11_MV411-DMSO_1_183_R1_peak_41184_lociStitched	chr3	50573966	50633082	11	28939	56172.0232	7294.9144
22_MV411-DMSO_1_183_R1_peak_22548_lociStitched	chr16	85898380	85957222	22	31516	38417.9418	6819.7878
20_MV411-DMSO_1_183_R1_peak_37224_lociStitched	chr20	57415046	57473817	20	16779	25870.9942	7170.062
20_MV411-DMSO_1_183_R1_peak_36864_lociStitched	chr20	48816880	48875546	20	24496	34120.1456	6922.588
16_MV411-DMSO_1_183_R1_peak_50570_lociStitched	chr6	44006817	44065352	16	11148	17021.978	6708.111
21_MV411-DMSO_1_183_R1_peak_5577_lociStitched	chr1	234487329	234545600	21	25570	35848.3192	6602.1043
12_MV411-DMSO_1_183_R1_peak_11294_lociStitched	chr11	94528174	94586438	12	45322	76017.0408	5756.4832
14_MV411-DMSO_1_183_R1_peak_6776_lociStitched	chr10	42956469	43014620	14	16183	27301.8945	6664.1046
20_MV411-DMSO_1_183_R1_peak_27491_lociStitched	chr18	76449215	76507139	20	40096	72399.2076	7837.1172
18_MV411-DMSO_1_183_R1_peak_20760_lociStitched	chr16	11180758	11238563	18	14665	22804.0725	6699.5995
18_MV411-DMSO_1_183_R1_peak_13659_lociStitched	chr12	66351805	66409458	18	24828	30267.825	6001.6773
22_MV411-DMSO_1_183_R1_peak_56342_lociStitched	chr8	47349397	47406998	22	14030	24267.3013	7747.3345
19_MV411-DMSO_1_183_R1_peak_14344_lociStitched	chr12	108819142	108876397	19	19799	27276.282	5702.598
11_MV411-DMSO_1_183_R1_peak_18984_lociStitched	chr15	63969488	64026728	11	7429	13153.752	6851.628
21_MV411-DMSO_1_183_R1_peak_4048_lociStitched	chr1	165827259	165884465	21	14362	26343.363	6058.1154
13_MV411-DMSO_1_183_R1_peak_36936_lociStitched	chr20	49747874	49805072	13	26919	33775.419	6411.8958
19_MV411-DMSO_1_183_R1_peak_7392_lociStitched	chr10	72282430	72339349	19	24785	41613.4809	6579.8364
16_MV411-DMSO_1_183_R1_peak_49144_lociStitched	chr6	11518775	11575504	16	15255	23514.1705	5196.3764
16_MV411-DMSO_1_183_R1_peak_22498_lociStitched	chr16	85523413	85579780	16	24257	61118.7381	6921.8676
14_MV411-DMSO_1_183_R1_peak_2661_lociStitched	chr1	92446477	92502795	14	27941	60874.1262	5361.4736
23_MV411-DMSO_1_183_R1_peak_48636_lociStitched	chr5	178450193	178506392	23	26028	30521.6769	5558.0811
16_MV411-DMSO_1_183_R1_peak_55507_lociStitched	chr8	8330885	8386944	16	24151	47874.386	8543.3916
25_MV411-DMSO_1_183_R1_peak_15581_lociStitched	chr13	40960788	41016842	25	28331	24759.0518	2152.4736
16_MV411-DMSO_1_183_R1_peak_23190_lociStitched	chr17	7083399	7139437	16	17730	23698.4702	5558.9696
16_MV411-DMSO_1_183_R1_peak_5766_lociStitched	chr1	235916950	235972803	16	27968	50714.524	6032.124
13_MV411-DMSO_1_183_R1_peak_43165_lociStitched	chr3	183258567	183314266	13	9748	16275.2478	6266.1375
12_MV411-DMSO_1_183_R1_peak_25208_lociStitched	chr17	62608232	62663915	12	15607	29417.3289	5724.2124
11_MV411-DMSO_1_183_R1_peak_35614_lociStitched	chr20	5046622	5102010	11	12576	19911.986	5632.9596
22_MV411-DMSO_1_183_R1_peak_40933_lociStitched	chr3	46277120	46332407	22	23397	32453.469	5749.848
13_MV411-DMSO_1_183_R1_peak_36198_lociStitched	chr20	32498074	32553297	13	15457	18681.9409	6328.5558
12_MV411-DMSO_1_183_R1_peak_41093_lociStitched	chr3	49331761	49386945	12	25897	50200.8848	5545.992
17_MV411-DMSO_1_183_R1_peak_4740_lociStitched	chr1	202576025	202631014	17	14952	23364.8261	6015.7966
13_MV411-DMSO_1_183_R1_peak_53881_lociStitched	chr7	74606077	74660995	13	12058	22790.97	5349.0132
15_MV411-DMSO_1_183_R1_peak_57817_lociStitched	chr8	129956781	130011358	15	26285	40501.5917	8699.5738
21_MV411-DMSO_1_183_R1_peak_36409_lociStitched	chr20	36929929	36984449	21	14177	22914.756	5435.644
14_MV411-DMSO_1_183_R1_peak_59968_lociStitched	chr9	114363399	114417903	14	26181	39853.3248	6682.1904
13_MV411-DMSO_1_183_R1_peak_40326_lociStitched	chr3	17937032	17991416	13	17920	31363.2528	6134.5152
9_MV411-DMSO_1_183_R1_peak_42536_lociStitched	chr3	138861852	138916198	9	9465	15070.1458	5532.4228
15_MV411-DMSO_1_183_R1_peak_28847_lociStitched	chr19	18467995	18522170	15	15204	33160.5175	9908.6075
20_MV411-DMSO_1_183_R1_peak_4341_lociStitched	chr1	181100004	181154076	20	12186	20839.3488	6158.8008
22_MV411-DMSO_1_183_R1_peak_40917_lociStitched	chr3	46183073	46236898	22	21288	29921.3175	6146.815
15_MV411-DMSO_1_183_R1_peak_45869_lociStitched	chr5	951814	1005543	15	15523	25118.3075	5937.0545
15_MV411-DMSO_1_183_R1_peak_19503_lociStitched	chr15	75151330	75204893	15	18862	36294.2888	6320.434
14_MV411-DMSO_1_183_R1_peak_15478_lociStitched	chr13	32022339	32075897	14	10881	24658.1032	11091.8618
8_MV411-DMSO_1_183_R1_peak_20004_lociStitched	chr15	90685041	90738569	8	11437	21288.0856	5358.1528
23_MV411-DMSO_1_183_R1_peak_19143_lociStitched	chr15	67068143	67121611	23	22402	28990.3496	6196.9412
10_MV411-DMSO_1_183_R1_peak_4661_lociStitched	chr1	200852346	200905678	10	6975	15423.6144	6266.51
11_MV411-DMSO_1_183_R1_peak_3041_lociStitched	chr1	111463022	111516276	11	15251	21732.9574	6054.9798
15_MV411-DMSO_1_183_R1_peak_30784_lociStitched	chr2	25263803	25316798	15	11372	17085.588	6105.024
13_MV411-DMSO_1_183_R1_peak_20065_lociStitched	chr15	92801571	92854475	13	16060	28959.6496	5671.3088
20_MV411-DMSO_1_183_R1_peak_9985_lociStitched	chr11	47982857	48035311	20	17461	23410.2202	6095.1548
11_MV411-DMSO_1_183_R1_peak_17595_lociStitched	chr14	93033412	93085750	11	7300	14356.3134	6045.039
7_MV411-DMSO_1_183_R1_peak_3741_lociStitched	chr1	156078185	156130442	7	24420	44690.1864	6349.2255
11_MV411-DMSO_1_183_R1_peak_29409_lociStitched	chr19	40792561	40844711	11	19946	39675.72	7712.985
9_MV411-DMSO_1_183_R1_peak_10464_lociStitched	chr11	65403121	65455228	9	19136	42342.1482	5940.198
23_MV411-DMSO_1_183_R1_peak_8834_lociStitched	chr10	132544224	132596317	23	24328	37496.5414	5745.8579
14_MV411-DMSO_1_183_R1_peak_25953_lociStitched	chr17	79800801	79852886	14	15770	25115.387	6073.111
13_MV411-DMSO_1_183_R1_peak_35496_lociStitched	chr20	3400801	3452776	13	16189	25270.245	5280.66
14_MV411-DMSO_1_183_R1_peak_903_lociStitched	chr1	24996084	25047883	14	13405	23154.153	6013.8639
20_MV411-DMSO_1_183_R1_peak_59020_lociStitched	chr9	76558765	76610446	20	16690	15493.9638	2589.2181
15_MV411-DMSO_1_183_R1_peak_10945_lociStitched	chr11	75337066	75388680	15	14398	21275.2908	5987.224
24_MV411-DMSO_1_183_R1_peak_45642_lociStitched	chr4	180050756	180102066	24	23686	30852.703	3863.643
14_MV411-DMSO_1_183_R1_peak_19442_lociStitched	chr15	74529918	74581185	14	15080	20983.5831	5531.7093
21_MV411-DMSO_1_183_R1_peak_4081_lociStitched	chr1	167600606	167651682	21	23727	37019.8848	5827.7716
16_MV411-DMSO_1_183_R1_peak_37153_lociStitched	chr20	53899191	53950049	16	16927	21472.2476	5457.0634
15_MV411-DMSO_1_183_R1_peak_60536_lociStitched	chr9	131228083	131278920	15	23053	46043.0709	5098.9511
19_MV411-DMSO_1_183_R1_peak_29287_lociStitched	chr19	38647611	38698304	19	23509	38704.1055	8516.424
18_MV411-DMSO_1_183_R1_peak_33385_lociStitched	chr2	136206722	136257370	18	10950	16187.1008	5434.5304
23_MV411-DMSO_1_183_R1_peak_50605_lociStitched	chr6	44592776	44643419	23	14843	18251.7372	5768.2377
8_MV411-DMSO_1_183_R1_peak_34974_lociStitched	chr2	231596736	231647065	8	12092	25577.1978	5475.7952
15_MV411-DMSO_1_183_R1_peak_32621_lociStitched	chr2	98438590	98488870	15	11846	23219.304	5671.584
16_MV411-DMSO_1_183_R1_peak_18178_lociStitched	chr15	31316477	31366667	16	16963	33757.794	6123.18
20_MV411-DMSO_1_183_R1_peak_19615_lociStitched	chr15	78034335	78084479	20	23334	24550.5024	5881.8912
13_MV411-DMSO_1_183_R1_peak_57853_lociStitched	chr8	130309115	130359219	13	7083	17020.3288	8046.7024
14_MV411-DMSO_1_183_R1_peak_57743_lociStitched	chr8	129411743	129461804	14	16467	26842.7082	7779.4794
16_MV411-DMSO_1_183_R1_peak_13811_lociStitched	chr12	77999078	78049121	16	13259	17019.6243	4764.0936
16_MV411-DMSO_1_183_R1_peak_23935_lociStitched	chr17	29677429	29727389	16	17150	20953.224	4551.356
18_MV411-DMSO_1_183_R1_peak_4979_lociStitched	chr1	207823622	207873547	18	13369	18607.0475	5526.6975
20_MV411-DMSO_1_183_R1_peak_50258_lociStitched	chr6	37160445	37210239	20	21811	30200.061	5059.0704
11_MV411-DMSO_1_183_R1_peak_11678_lociStitched	chr11	118838729	118888430	11	7248	12897.4095	5233.5153
15_MV411-DMSO_1_183_R1_peak_35422_lociStitched	chr20	1802612	1852242	15	12773	20268.892	6367.529
13_MV411-DMSO_1_183_R1_peak_61927_lociStitched	chrX	107673139	107722473	13	21916	31420.8246	2604.8352
6_MV411-DMSO_1_183_R1_peak_12252_lociStitched	chr12	6323532	6372835	6	12688	29172.5851	5876.9176
12_MV411-DMSO_1_183_R1_peak_11918_lociStitched	chr11	126310737	126359966	12	13328	25165.8648	5612.106
13_MV411-DMSO_1_183_R1_peak_4770_lociStitched	chr1	203166926	203216141	13	22748	30085.1295	6028.8375
16_MV411-DMSO_1_183_R1_peak_50653_lociStitched	chr6	45665592	45714773	16	20047	24339.6769	4436.1262
14_MV411-DMSO_1_183_R1_peak_48582_lociStitched	chr5	177454000	177503156	14	17236	30801.1496	5987.2008
18_MV411-DMSO_1_183_R1_peak_22271_lociStitched	chr16	75062205	75111337	18	14122	20031.1164	5817.2288
15_MV411-DMSO_1_183_R1_peak_21817_lociStitched	chr16	56941179	56990276	15	11652	17670.0103	5729.6199
13_MV411-DMSO_1_183_R1_peak_14674_lociStitched	chr12	117042144	117091228	13	13320	18701.004	5767.37
12_MV411-DMSO_1_183_R1_peak_17474_lociStitched	chr14	90627244	90676293	12	15446	22528.2057	5056.9519
17_MV411-DMSO_1_183_R1_peak_39135_lociStitched	chr22	37265026	37314018	17	29100	39002.5312	6016.2176
14_MV411-DMSO_1_183_R1_peak_42247_lociStitched	chr3	127729834	127778765	14	9651	14733.1241	5984.2613
9_MV411-DMSO_1_183_R1_peak_40953_lociStitched	chr3	46348061	46396930	9	24033	31398.3325	5668.804
13_MV411-DMSO_1_183_R1_peak_47823_lociStitched	chr5	142712745	142761595	13	11657	18255.245	5632.405
9_MV411-DMSO_1_183_R1_peak_3765_lociStitched	chr1	156480065	156528801	9	27541	67855.1328	5321.9712
9_MV411-DMSO_1_183_R1_peak_38073_lociStitched	chr21	39077858	39126559	9	11809	19270.9857	5532.4336
12_MV411-DMSO_1_183_R1_peak_9682_lociStitched	chr11	35138586	35187275	12	12586	19850.5053	5102.6072
16_MV411-DMSO_1_183_R1_peak_51599_lociStitched	chr6	135167272	135215861	16	24126	36398.0199	5135.8573
19_MV411-DMSO_1_183_R1_peak_56464_lociStitched	chr8	54230065	54278627	19	13258	26699.3876	7119.1892
15_MV411-DMSO_1_183_R1_peak_17519_lociStitched	chr14	91340439	91388985	15	14763	22389.4152	5592.4992
10_MV411-DMSO_1_183_R1_peak_15036_lociStitched	chr12	124712755	124761207	10	11333	22442.9664	6109.7972
10_MV411-DMSO_1_183_R1_peak_52261_lociStitched	chr6	159794981	159843408	10	10869	16566.8767	5724.0714
15_MV411-DMSO_1_183_R1_peak_9864_lociStitched	chr11	46316092	46364488	15	21367	31428.3624	5642.9736
17_MV411-DMSO_1_183_R1_peak_10859_lociStitched	chr11	73176972	73225317	17	26628	52294.7865	5690.2065
15_MV411-DMSO_1_183_R1_peak_37174_lociStitched	chr20	56418401	56466676	15	7008	11518.415	4774.3975
