,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
KLHL13,72.0,90.0,100.0,80.0,61.0,53.0,49.0,96.0
CYP26B1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ICA1,24.0,60.0,70.0,36.0,34.0,35.0,33.0,61.0
DBNDD1,50.0,98.0,86.0,71.0,45.0,56.0,50.0,96.0
ALS2,357.0,486.0,530.0,348.0,249.0,267.0,269.0,529.0
CASP10,257.0,390.0,427.0,301.0,228.0,186.0,208.0,376.0
CFLAR,2081.3,2886.3,3055.9,2240.1,1743.4,1554.4,1605.1,3351.7
TFPI,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
NDUFAF7,230.0,358.12,367.73,297.43,248.72,259.32,214.08,501.52
RBM5,1848.8,2908.0,2858.1,2211.2,1899.8,1878.6,1828.3,3677.9
MTMR7,8.38,25.01,24.33,25.27,17.5,20.0,21.61,50.0
ARF5,648.15,1007.0,940.76,711.76,567.52,541.0,517.0,1034.1
SARM1,16.62,24.54,8.22,27.33,10.1,3.62,2.66,33.7
POLDIP2,1321.0,2463.0,2171.0,1472.0,1316.0,1035.0,1073.0,2212.0
PLXND1,2049.0,3659.0,3374.0,2339.0,2086.0,1820.0,1782.0,3792.0
AK2,11084.0,17913.0,18818.0,13544.0,9244.9,9555.0,8585.0,18368.0
CD38,134.0,217.0,200.0,166.0,53.0,55.0,39.0,61.0
FKBP4,3419.0,5909.0,5394.0,3739.0,3345.0,2959.0,2686.0,6367.0
KDM1A,1866.0,2598.0,2526.0,1865.0,1332.0,1227.0,1280.0,2477.0
RBM6,2085.0,3263.0,3417.0,2610.0,2154.0,2140.0,1882.0,4430.3
CAMKK1,221.0,426.0,370.0,283.0,160.0,174.0,161.0,391.0
RECQL,1004.7,1665.9,1712.0,1197.2,1139.9,1138.0,1131.0,2133.6
VPS50,202.0,326.0,368.0,228.0,244.0,231.0,186.0,448.0
HSPB6,6.0,11.84,10.0,5.26,6.0,6.0,5.81,8.0
ARHGAP33,352.0,642.0,519.0,403.0,287.0,228.0,288.88,497.0
NDUFAB1,498.0,1213.0,1033.0,598.0,645.0,513.0,563.0,1263.0
PDK4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SLC22A16,41.0,50.0,47.0,28.0,33.0,25.0,20.0,52.0
ZMYND10,11.0,42.0,15.0,18.0,15.0,11.0,19.0,32.0
ARX,3.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0
SLC25A13,443.0,699.0,650.0,478.0,450.0,399.0,373.0,873.0
ST7,216.0,392.44,377.86,264.8,250.48,235.88,202.48,416.88
CDC27,2096.0,2570.0,2975.0,2241.0,1754.0,1888.0,1770.0,3598.0
SLC4A1,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
HCCS,433.0,705.0,703.0,470.0,410.0,391.0,382.0,914.0
DVL2,561.0,1035.0,865.0,621.0,460.0,355.0,381.0,788.0
UPF1,2926.0,5300.0,4716.0,3147.0,2810.0,2199.0,2168.0,4902.0
SKAP2,2100.0,2998.0,3474.0,2489.0,2107.0,2241.0,2148.0,3897.0
SLC25A5,4127.0,8403.0,7918.0,5081.0,4934.0,3946.0,3934.0,8976.0
MCUB,42.0,52.0,80.0,46.0,56.0,63.0,38.0,114.0
HOXA11,73.63,99.25,110.35,86.5,54.68,57.0,55.0,128.0
POLR2J,531.64,1010.5,935.12,610.65,512.42,443.03,453.98,1026.2
DHX33,913.0,1392.0,1210.0,905.0,768.0,667.0,638.0,1438.0
THSD7A,230.0,317.0,278.0,246.0,263.0,254.0,253.0,478.0
LIG3,888.73,1272.7,1162.6,864.43,781.31,668.25,640.93,1344.8
RPAP3,686.0,842.0,1006.0,747.0,597.0,625.0,606.0,1174.0
ACSM3,496.7,704.39,803.52,598.62,724.63,631.15,657.99,1377.6
REXO5,332.87,650.47,670.0,404.66,344.0,357.65,341.9,661.0
CIAPIN1,392.0,896.0,751.0,472.0,523.0,375.0,402.0,961.0
SPPL2B,734.0,1508.0,1310.0,825.0,787.0,617.0,629.0,1314.0
FAM214B,235.0,443.0,407.0,310.0,202.0,197.0,211.0,344.0
COPZ2,22.0,38.0,35.0,31.0,30.0,22.0,22.0,25.0
PRKAR2B,121.0,161.0,192.0,154.0,131.0,151.0,123.0,231.0
MSL3,695.0,979.0,1201.0,893.0,562.0,567.0,602.0,1230.0
CREBBP,1302.0,1765.0,1593.0,1238.0,814.0,789.0,766.0,1531.0
TSPOAP1,479.0,829.0,676.0,559.0,680.0,494.0,493.0,1196.0
MPO,88.0,173.0,142.0,89.0,127.0,105.0,135.0,245.0
GCFC2,210.0,245.94,299.0,250.0,169.0,215.0,190.0,375.0
WDR54,185.0,450.0,432.0,260.0,194.0,182.0,206.0,431.0
CROT,39.0,60.0,64.0,38.0,52.0,49.0,42.0,79.0
ABCB4,7.0,8.0,9.0,6.0,2.0,3.0,0.0,9.0
KMT2E,2692.0,3789.0,4130.0,3253.0,2212.0,2407.0,2288.0,4289.0
RHBDD2,172.0,359.0,330.0,187.0,135.0,140.0,140.0,308.0
IBTK,1538.0,2074.0,2290.0,1589.0,1196.0,1247.0,1150.0,2265.0
ZNF195,818.0,1261.0,1382.0,1053.0,911.0,950.0,882.0,1659.0
MYCBP2,3767.5,4778.1,4391.9,3196.7,2606.8,2369.8,2417.3,4820.5
FBXL3,698.46,904.27,1119.8,809.8,696.22,810.37,734.13,1280.2
ITGAL,22483.0,39909.0,36292.0,25388.0,18873.0,16173.0,15489.0,33910.0
PDK2,211.0,438.0,341.0,196.0,213.0,204.0,174.0,358.0
ITGA3,53.0,110.0,89.0,59.0,58.0,59.0,47.0,89.0
ZFX,931.0,1312.0,1208.0,1015.0,820.0,883.0,834.0,1655.0
LAMP2,4964.0,6308.0,7368.0,5633.0,4650.0,5047.0,4627.0,9584.0
ITGA2B,89.0,169.0,163.0,97.0,73.0,73.0,75.0,134.0
GDE1,753.65,1181.0,1195.0,875.3,946.91,917.0,838.0,1843.3
REX1BD,261.0,597.0,486.0,264.0,355.0,245.0,254.0,636.0
CRLF1,54.78,68.7,68.82,41.98,63.05,54.02,37.74,116.68
OSBPL7,186.0,347.0,274.0,184.0,215.0,148.0,177.0,351.0
YBX2,4.0,13.0,10.0,15.0,5.0,1.0,3.0,10.0
MAP3K14,67.5,123.05,132.3,83.0,80.97,92.73,71.68,157.97
TMEM132A,1.0,1.0,3.0,3.0,0.0,2.0,1.0,3.0
AP2B1,3159.0,5200.0,5168.0,3591.0,2990.0,2693.0,2693.0,5390.0
ZNF263,776.15,1293.3,1328.0,965.94,826.93,730.2,669.79,1484.3
SPATA20,320.0,637.0,566.0,339.0,376.0,309.0,283.0,601.0
CACNA1G,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0
TNFRSF12A,52.0,98.0,79.0,56.0,52.0,28.0,41.0,60.0
MAP3K9,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0
RALA,635.0,905.0,1036.0,718.0,541.0,586.0,571.0,1148.0
BAIAP2L1,2.0,2.0,3.08,1.0,0.0,0.0,1.17,1.0
KDM7A,22.0,16.0,34.0,29.0,8.0,22.0,6.0,23.0
ETV1,10.0,19.0,27.0,7.0,12.0,14.0,5.0,26.0
AGK,177.35,296.03,268.46,201.82,167.86,172.63,161.19,371.48
ALDH3B1,400.0,752.0,654.0,441.0,376.0,332.0,328.0,653.0
TTC22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PHTF2,649.0,738.0,881.0,744.0,553.0,592.0,518.0,983.0
FARP2,921.03,1421.3,1290.2,867.87,729.4,674.48,652.14,1282.9
GGCT,1285.0,2008.3,2355.0,1684.3,1447.3,1457.7,1312.0,2963.0
DBF4,1199.0,1467.5,1757.3,1371.9,1133.0,1266.0,1138.0,2315.8
TBXA2R,15.0,23.0,21.0,14.0,4.0,9.0,6.0,23.0
IFRD1,302.0,444.0,525.0,383.0,280.0,328.0,327.0,668.0
COX10,412.0,711.94,646.88,456.89,357.95,293.0,327.0,660.0
GTF2IRD1,319.0,620.0,524.0,438.0,323.0,256.0,269.0,555.0
PAF1,1392.0,1964.0,2054.0,1739.0,1220.0,1207.0,1129.0,2524.0
VPS41,992.0,1308.0,1442.0,1055.0,790.0,805.0,787.0,1689.0
ARHGAP44,1559.0,2812.7,2534.8,1863.0,840.0,878.94,801.0,1763.0
ELAC2,1482.0,2634.0,2273.0,1518.0,1427.0,1195.0,1176.0,2639.0
SCIN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ARSD,770.2,1298.1,1197.6,906.88,718.04,646.27,613.59,1265.6
PNPLA4,43.0,94.0,79.0,44.0,58.0,48.0,40.0,114.0
MYH13,2.0,3.0,9.0,4.0,1.0,0.0,0.0,1.0
ADIPOR2,3090.0,5471.0,5593.0,3973.0,2825.0,2406.0,2487.0,5128.0
CDKL3,12.78,17.39,31.49,16.61,9.35,10.4,10.1,16.13
MARK4,579.0,842.0,874.0,663.0,411.0,393.0,371.0,715.0
PROM1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCDC124,1364.0,2001.0,2007.0,1439.0,1051.0,1063.0,955.0,2393.0
CEACAM21,67.0,97.0,123.0,61.0,60.0,46.0,57.0,106.0
PAFAH1B1,2515.0,3975.0,3938.0,2802.0,2537.0,2439.0,2291.0,4617.0
NOS2,58.0,97.0,90.0,62.0,40.0,43.0,39.0,55.0
KIAA0100,7565.2,12101.0,11002.0,7685.9,7292.6,6004.0,6126.7,13459.0
GAS7,327.0,581.0,535.0,359.0,173.0,165.0,198.0,318.0
TRAPPC6A,489.0,1134.0,1043.0,631.0,491.0,406.0,452.0,870.0
MATK,1208.0,2383.0,2066.0,1413.0,958.0,893.0,849.0,1693.0
CD79B,8.0,11.0,14.0,6.0,8.0,9.0,7.0,24.0
SCN4A,10.0,25.0,25.0,12.0,1.0,4.0,6.0,4.0
ST7L,95.44,160.24,140.62,118.88,96.54,93.62,90.39,208.68
TKTL1,141.0,217.0,209.0,135.0,82.0,80.0,88.0,169.0
PAX6,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
RPUSD1,326.0,725.0,532.0,363.0,336.0,285.0,261.0,594.0
RHBDF1,32.0,66.0,80.0,57.0,48.0,28.0,45.0,75.0
LUC7L,495.0,753.0,805.0,599.0,565.0,511.0,447.0,1203.0
CACNA2D2,2.0,4.0,4.0,5.0,2.0,2.0,2.0,8.0
BAIAP3,2.0,2.0,3.0,2.0,0.0,3.0,0.0,3.0
TSR3,182.0,399.0,363.0,234.0,199.0,173.0,185.0,391.0
PIGQ,182.0,443.53,355.0,237.45,239.8,203.0,196.1,355.0
CRAMP1,827.09,1485.3,1267.6,842.68,742.7,648.19,644.58,1344.7
TEAD3,259.0,544.0,461.0,314.0,285.0,218.0,223.0,470.0
DNAJC11,1219.6,1820.2,1781.5,1271.6,1074.8,846.81,930.17,2065.7
MYLIP,762.0,1314.0,1602.0,1096.0,628.0,633.0,697.0,1409.0
NOX1,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
E2F2,325.0,522.0,460.0,321.0,331.0,249.0,253.0,524.0
PSMB1,1642.0,2987.0,3256.0,2001.0,2147.0,1768.0,1742.0,4054.0
SYN1,2.0,3.0,2.0,4.0,2.0,0.0,0.0,3.0
JARID2,1955.0,2806.0,2816.0,2074.0,1489.0,1443.0,1470.0,2865.0
CDKL5,29.0,41.0,40.0,51.0,32.0,17.0,17.0,40.0
CDK11A,664.91,946.13,996.89,835.05,634.82,661.12,560.86,1466.7
NADK,994.0,1860.0,1699.0,1165.0,1064.0,946.0,889.0,1995.0
DLEC1,0.0,3.68,3.85,4.96,0.0,0.0,2.0,2.0
CYTH3,359.0,556.0,589.0,352.0,318.0,271.0,259.0,676.0
ADAM22,20.0,28.0,25.0,23.0,18.0,37.0,16.0,38.0
SYPL1,1683.0,2685.0,2895.0,2076.0,1775.0,1969.0,1892.0,3307.0
CYB561,148.0,281.0,260.0,146.0,156.0,124.0,141.0,239.0
SPAG9,1775.0,2513.0,2656.0,1948.0,1290.0,1378.0,1364.0,2703.0
CELSR3,156.0,279.0,257.0,187.0,131.0,99.0,108.0,214.0
PLEKHG6,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0
SS18L2,264.0,512.0,541.0,350.0,395.0,321.0,310.0,669.0
MPND,40.0,65.0,57.0,28.0,26.0,24.0,24.0,69.0
MGST1,545.0,947.0,1121.0,762.0,766.0,797.0,763.0,1555.0
CRY1,169.0,275.0,267.0,205.0,170.0,192.0,185.0,346.0
PGLYRP1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
NFIX,613.0,932.0,832.0,653.0,418.0,428.0,331.0,743.0
ST3GAL1,1963.0,3279.0,3287.0,2329.0,1172.0,1150.0,1152.0,2168.0
MMP25,68.28,109.86,92.14,73.86,116.49,109.99,117.72,203.83
IL32,3.0,9.0,3.0,0.0,4.0,5.0,1.0,2.0
PKD1,900.18,1791.3,1418.3,956.02,821.22,572.41,627.07,1266.3
MAPK8IP2,4.0,10.0,9.0,3.0,6.0,2.0,4.0,9.0
MED24,819.0,1531.0,1356.0,909.0,829.0,643.0,658.0,1457.0
RHOBTB2,1638.6,2886.9,2628.0,1849.3,1204.7,1027.9,1020.8,2237.0
HEATR5B,706.0,1183.0,1167.0,819.0,661.0,701.0,650.0,1343.0
SEC62,2588.0,3486.0,3954.0,3087.0,2874.0,3237.0,2784.0,5914.0
RPS20,10819.0,22103.0,23582.0,14041.0,12872.0,10750.0,11277.0,24902.0
CSDE1,14190.0,19642.0,22217.0,16611.0,12608.0,13007.0,12149.0,25376.0
UBE3C,1956.0,3001.0,2977.0,2059.0,1720.0,1503.0,1559.0,3237.0
REV3L,969.94,1226.4,1229.5,869.68,725.77,762.78,749.75,1422.7
MASP2,13.0,33.0,24.0,21.0,20.0,15.0,9.0,39.0
FAM76A,112.0,195.0,178.0,124.0,129.0,109.0,119.0,215.0
TRAF3IP3,1248.3,1995.9,2220.1,1647.7,1105.8,1072.0,1038.4,2100.2
POMT2,287.0,469.0,436.0,276.0,316.0,273.0,257.0,509.0
VTA1,1375.0,1682.0,2060.0,1532.0,1282.0,1379.0,1286.0,2490.0
MLXIPL,4.0,15.0,17.0,11.0,1.0,2.0,0.0,6.0
BAZ1B,5189.0,7605.0,7365.0,5559.0,3793.0,3619.0,3441.0,7548.0
RANBP9,1885.6,2841.3,3393.3,2650.6,1985.2,2258.5,2102.7,3817.8
ETV7,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
SPRTN,218.9,281.48,295.51,254.0,201.31,225.52,181.86,387.5
EEF1AKNMT,832.0,1349.0,1349.0,889.0,778.0,674.0,662.0,1516.0
DYRK4,100.0,181.0,176.0,109.0,104.0,68.0,79.0,205.0
ZNF207,5231.0,7271.0,7723.0,5736.0,4686.0,4660.0,4408.0,8967.0
UQCRC1,1940.0,3691.0,3572.0,2333.0,2133.0,1829.0,1800.0,3932.0
STARD3NL,580.0,948.0,970.0,606.0,550.0,548.0,526.0,1053.0
CD9,11.0,18.0,24.0,12.0,6.0,14.0,16.0,15.0
NCAPD2,5362.7,9246.0,8704.0,5575.3,4770.6,3957.6,4029.3,8709.1
IFFO1,197.0,385.0,326.0,213.0,230.0,193.0,199.0,445.0
GIPR,242.0,398.0,453.0,388.0,164.0,190.0,153.0,397.0
PHF7,248.0,404.0,355.0,276.0,213.0,182.0,164.0,415.0
SEMA3G,75.0,111.0,95.0,64.0,63.0,66.0,58.0,154.0
NISCH,1226.0,2200.0,1914.0,1259.0,1276.0,1038.0,1064.0,2172.0
STAB1,8.0,5.0,11.0,4.0,4.0,7.0,3.0,16.0
FUZ,136.9,332.03,280.1,185.75,154.26,164.25,127.01,291.66
SLC6A13,7.0,4.0,8.0,3.0,2.0,1.0,1.0,6.0
IDS,706.58,1128.8,1215.3,916.8,795.07,838.72,800.58,1538.7
ZNF200,425.0,778.0,794.0,604.0,530.0,450.0,478.0,928.0
CD4,4188.0,7171.0,6568.0,4483.0,4257.0,3763.0,3785.0,7700.0
LRRC23,137.0,216.21,228.53,159.0,123.27,125.0,84.48,249.0
BTK,2023.0,3553.0,3538.0,2516.0,1884.0,1793.0,1790.0,3851.0
HFE,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SCMH1,715.0,1130.0,967.0,751.0,620.0,489.0,532.0,1091.0
FYN,87.0,143.0,175.0,146.0,55.0,70.0,87.0,118.0
HIVEP2,8.0,9.0,4.0,3.0,1.0,1.0,1.0,1.0
FMO1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ELOA,1039.9,1674.3,1538.7,1066.5,944.1,872.48,753.26,1744.9
LYPLA2,617.0,1242.0,1160.0,807.0,586.0,495.0,488.0,1245.0
CLCN6,885.26,1465.8,1569.1,1086.0,636.95,624.0,667.0,1323.0
MRC2,3488.9,6522.7,5582.8,3679.9,2944.0,2348.0,2402.9,5010.7
NME1-NME2,160.22,178.02,299.29,188.8,223.0,128.03,154.11,337.27
TSPAN9,14.0,22.0,30.0,12.0,16.0,11.0,11.0,26.0
BTBD7,1476.0,2167.0,2043.0,1566.0,1374.0,1362.0,1245.0,2636.0
APBA3,170.0,348.0,300.0,194.0,128.0,96.0,106.0,197.0
MKS1,138.0,290.0,293.0,181.0,169.0,128.0,146.0,255.0
ABHD5,230.0,298.0,316.0,246.0,238.0,211.0,181.0,407.0
ANOS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AKAP8L,1285.5,1927.1,1896.2,1452.9,1013.5,915.54,969.33,2051.6
MBTD1,1413.0,2000.0,2109.0,1582.0,1167.0,1296.0,1188.0,2389.0
UTP18,1216.0,2002.0,1966.0,1418.0,1249.0,1195.0,1070.0,2408.0
RNF216,1066.0,1948.0,1690.0,1208.0,939.0,779.0,789.0,1674.0
TTC19,546.37,1004.1,978.66,786.92,648.77,617.57,622.21,1346.0
PTBP1,9715.0,16601.0,14159.0,10286.0,8026.0,6667.0,6672.0,14029.0
DPF1,5.0,9.0,14.0,8.0,4.0,3.0,8.0,12.0
SYT7,5.0,9.0,3.0,8.0,6.0,4.0,5.0,4.0
LARS2,470.0,787.0,644.0,477.0,440.0,325.0,381.0,758.0
PIK3C2A,958.0,1051.0,1155.0,918.0,689.0,728.0,666.0,1183.0
PLAUR,1118.0,2280.0,2424.0,1576.0,972.0,919.0,997.0,1833.0
ANLN,1920.0,2563.0,2735.0,2019.0,1868.0,1832.0,1844.0,3494.0
WIZ,1188.0,1868.0,1599.0,1200.0,947.0,738.0,782.0,1548.0
RABGAP1,439.0,653.0,680.0,469.0,308.0,360.0,325.0,723.0
QPCTL,396.0,913.0,860.0,432.0,363.0,314.0,320.0,686.0
PPP5C,1263.0,2300.0,2241.0,1547.0,1357.0,1113.0,1104.0,2570.0
CEP68,336.0,497.01,532.0,355.0,267.0,221.0,241.0,522.0
MAP4K3,213.0,245.0,291.0,235.0,169.0,197.0,205.0,309.0
ZBTB32,1.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0
TYROBP,532.0,1005.0,1044.0,648.0,647.0,591.0,602.0,1240.0
TMEM159,122.0,276.0,299.0,182.0,125.0,111.0,126.0,260.0
BRCA1,2139.0,3040.0,3138.0,2216.0,1942.0,1772.0,1742.0,3447.0
ERCC1,1896.1,3214.1,3119.2,2105.2,1719.7,1407.7,1477.3,3069.5
CD22,4.0,7.0,9.0,1.0,4.0,5.0,3.0,5.0
SEMA3B,5.0,16.0,15.0,18.0,11.0,9.0,11.0,14.0
MBTPS2,442.1,620.78,655.15,413.85,324.76,393.0,359.06,724.6
PRICKLE3,190.0,327.0,298.0,207.0,159.0,135.0,126.0,245.0
LTF,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
EXTL3,502.0,964.0,752.0,533.0,476.0,364.0,384.0,831.0
ELOVL5,2210.0,3112.0,3416.0,2758.0,1712.0,1875.0,1692.0,3583.0
ALOX5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
KDM5D,634.0,1037.0,989.0,678.0,646.0,517.0,516.0,1106.0
CALCOCO1,436.0,666.0,718.0,465.0,346.0,316.0,336.0,721.0
UBR7,1623.0,2441.0,2503.4,1808.9,1550.9,1454.0,1359.0,2997.9
MAP4K5,622.0,800.0,892.0,715.0,527.0,585.0,525.0,1093.0
PSMC4,1214.0,2162.0,2085.0,1377.0,1326.0,994.0,1117.0,2453.0
MAN2B2,804.0,1357.0,1225.0,906.0,804.0,747.0,783.0,1475.0
CLDN11,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
SLC25A39,1114.0,2323.0,1827.0,1224.0,1225.0,875.0,955.0,1855.0
MVP,554.0,921.0,763.0,531.0,523.0,409.0,454.0,828.0
NUB1,1059.0,1618.0,1749.0,1252.0,874.0,902.0,805.98,1777.0
PGM3,491.95,723.53,841.46,574.86,462.43,452.48,427.65,787.41
RWDD2A,66.0,96.0,100.0,74.0,44.0,45.0,47.0,78.0
CLK1,1008.0,1677.0,2123.0,1557.0,1369.0,1497.0,1342.0,2922.0
POLR3B,368.0,540.0,550.0,407.0,380.0,312.0,281.0,650.0
ANGEL1,436.59,787.68,650.63,431.15,343.24,311.22,318.03,498.95
RNF14,528.0,754.0,789.0,587.0,475.0,484.0,428.0,906.0
DNASE1L1,163.06,314.54,307.09,175.96,157.66,156.82,123.14,304.19
DDX11,802.34,1401.0,1162.5,923.78,870.83,731.86,665.88,1588.9
HEBP1,197.0,353.0,338.0,219.0,241.0,198.0,217.0,423.0
GPRC5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MAMLD1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
CD6,2.0,3.0,1.0,3.0,2.0,2.0,0.0,1.0
TACC3,2539.0,4153.0,3713.0,2869.0,2311.0,1959.0,1957.0,4558.0
UFL1,767.0,1036.0,1238.0,906.0,711.0,812.0,796.0,1374.0
POLA2,798.56,1452.3,1271.9,799.44,796.42,660.74,681.29,1462.1
ZC3H3,774.0,1271.0,1072.0,806.0,520.0,514.0,488.0,994.0
CAPN1,2227.0,4069.0,3571.1,2437.0,1956.0,1625.0,1767.0,3393.0
ACP3,492.0,788.0,687.0,475.0,589.0,530.0,489.0,1028.0
MDH1,1949.0,3648.0,3759.0,2474.0,2581.0,2185.0,2226.0,4756.0
SLC30A9,1742.0,2352.0,2607.0,2031.0,1505.0,1584.0,1458.0,3059.0
MTMR11,331.0,582.0,608.0,383.0,266.0,244.0,250.0,524.0
COX15,926.7,1432.5,1409.9,975.04,868.73,867.92,794.43,1597.1
CCDC88C,847.0,1219.0,1109.0,877.0,493.0,510.0,430.0,990.0
YAF2,343.0,414.0,463.0,384.0,291.0,373.0,277.0,635.0
ZMYND11,757.0,939.0,1047.0,884.0,743.0,744.0,723.0,1419.0
WAS,2571.0,3966.0,3627.0,2813.0,1923.0,1734.0,1684.0,3633.0
BID,890.0,1464.0,1461.0,982.0,909.0,788.0,728.0,1650.0
MATR3,7591.5,10558.0,11777.0,9155.0,6855.3,7234.9,7003.5,13749.0
NPC1L1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
XYLT2,272.0,408.0,427.0,313.0,238.0,235.0,200.0,437.0
RGPD5,0.0,1.87,0.0,1.0,3.78,3.56,0.0,0.0
STMN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NUDCD3,880.0,1631.0,1594.0,1014.0,863.0,720.0,731.0,1560.0
CHDH,1.09,0.0,1.05,0.0,6.26,4.58,5.76,1.12
GLT8D1,406.89,672.28,739.01,483.0,598.16,470.42,493.61,1129.3
ATP2C1,817.0,1232.7,1345.7,1011.0,869.05,813.0,785.62,1595.0
IGF1,225.88,265.71,265.78,182.62,258.85,311.79,312.81,569.55
SLC38A5,612.0,1135.0,1027.0,710.0,529.0,413.0,397.0,1005.0
RALBP1,2235.0,3641.0,3897.0,2788.0,2214.0,2120.0,1943.0,4162.0
RUFY3,17.0,23.0,21.0,13.0,19.0,11.0,10.0,31.0
SLC11A1,15.0,37.0,36.0,15.0,18.0,9.0,12.0,38.0
WWTR1,1.04,0.0,1.01,1.04,0.0,1.03,1.03,2.12
AGPS,1959.0,2639.0,2826.0,2204.0,1847.0,1931.0,1759.0,3492.3
STEEP1,345.0,626.0,675.0,383.01,379.0,312.0,311.0,731.0
ATP1A2,0.0,5.0,5.0,4.0,5.0,6.0,3.0,8.0
TTC27,507.0,798.0,842.0,567.0,527.0,448.0,434.0,901.0
ZNF582,61.0,87.0,97.0,74.0,62.0,77.0,68.0,130.0
VSIG2,4.0,4.0,2.0,5.0,1.0,1.0,8.0,7.0
PHLDB1,139.0,201.0,182.0,129.0,111.0,90.0,118.0,209.0
MARCO,33.0,42.0,39.0,37.0,35.0,47.0,37.0,108.0
PRDM11,54.0,89.0,76.0,58.0,33.0,41.0,38.0,76.0
CD74,4876.0,8263.0,7711.0,5397.0,4294.0,3888.0,4151.0,8563.0
ZRANB1,480.28,736.88,799.24,615.92,468.58,459.79,381.15,914.86
NCDN,448.0,875.0,645.0,414.0,453.0,327.0,360.0,758.0
