KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
P4HB,22527,43072,41359,28052,23458,20197,21065,42771
P4HTM,118,256,262,156,143,115,113,239
PA2G4,7390,11674,11307,8666.9,6706.6,6573.6,6128,13669
PA2G4P1,0,3,2,1,2,3,1.02,1.98
PA2G4P2,2,7,4,0,3,2,0,6
PA2G4P4,17,15,26,11.01,16,16,15,30.43
PA2G4P5,1,5,3,2.99,3,5,8,3.02
PA2G4P6,8,7,8,4,5,6,2.98,12
PAAF1,342,486,558,379,349,283,310,645
PABIR1,413,615,660,522,366,396,393,740
PABIR2,1130,1704,1808,1433,1122,1227,1102,2200
PABIR3,82,107,117.52,83,50,75,67,111
PABPC1,93381,132650,140440,110210,79996,81688,78262,164540
PABPC1L,122,172,197,151,140,102,97,261
PABPC1P1,1,1,3,1,2,1,3,1
PABPC1P3,2,3,0,0,3,1.91,4,4
PABPC1P4,16,19,24.01,22.06,13,14,23.03,41.52
PABPC1P7,0,3,2,2,1,1,1,2
PABPC3,93.04,131.03,137.03,100.96,73.01,90.1,87.1,191.5
PABPC4,6107,10066,9928,7021,5583,5029,4976,11219
PABPC4-AS1,0,0,1.01,0,0,0,0,0
PABPN1,3745.6,6338,6257,4553,3800,3292.6,2956.6,7441.6
PABPN1L,1,5,0,0,3,1,1,1
PABPN1P1,1,0,3,4,0,0,1,1
PABPN1P2,0,1,0,0,0,0,0,0
PACC1,283,599,548,335,349,325,295,617
PACERR,1,0,2,0,1,0,0,0
PACRG,1,0,0,0,0,0,0,0
PACRGL,122,188,173,129,107,126,133,260
PACS1,112,180,174,127,81,86,107,172
PACS2,560,1036.4,892.96,624.9,559.56,454.93,451.56,935.26
PACSIN1,6,6,5,1,1,0,3,0
PACSIN2,1121,1957,2012,1240,1063,924,928,2185
PACSIN3,35,63,67,43,35,18,21,57
PADI2,51,72,60,51,57,48,52,95
PADI4,0,0,0,0,1,1,0,1
PAF1,1392,1964,2054,1739,1220,1207,1129,2524
PAFAH1B1,2515,3975,3938,2802,2537,2439,2291,4617
PAFAH1B1P1,0,1,0,0,0,0,0,1
PAFAH1B1P2,0,0,1,2,1,3,0,2
PAFAH1B2,2135,3096,3221,2515,1951,2021,1910,3923
PAFAH1B3,306.17,645.37,581.71,333.73,331.52,262.62,270.42,592.75
PAFAH2,248,412,397,254,214,222,222,431
PAG1,3408,4596,4738,3582,2268,2593,2453,4243
PAGR1,784,1188.9,1063,792,663.43,552,558,1250.4
PAICS,7451,11732,12489,9240,7385,7231,6690,14334
PAICSP1,0,7,2,2,4,2,1,7
PAICSP4,9,14.01,14,5,6,3,5,15.01
PAIP1,740.9,1205.3,1309.6,996.73,813.83,853.44,809.89,1612.1
PAIP1P1,1,1,1,0,1,1,1,3
PAIP2,2038.1,2983.2,3532.2,2410.3,2027.7,2044.4,2050.5,4428
PAIP2B,9,26,22,8,12,9,6,18
PAK1,1490.8,2441,2384,1755,1441,1276.8,1273,2699
PAK1IP1,461,767,797,591,606,559,526,1129
PAK2,9610,12724,13621,11122,8064,9214,8122,15482
PAK3,2,20,9,9,11,11,5,17
PAK4,366,653,545,406,270,243,266,544
PAK5,8,5,11,8,5,6,7,4
PAK6,4,10,9,11,1,4,2,13
PALB2,590,787,770,625,527,463,467,950
PALD1,219,459,376,252,435,286,303,652
PALLD,2,1,3,3,2,4,1,1
PALM,16,53,49,37,24,17,22,30
PALM2AKAP2,0,0,0,0,0,0,6.85,0
PAM,201,327,355,261,158,144,152,271
PAM16,146.9,288.68,246.77,168.77,157.39,135.79,124,272.82
PAN2,535,849,939,602,552,485,378,976
PAN3,2372,3480,4028,3193,2348,2537,2303,4576
PAN3-AS1,228,306,367,288,217,218,190,416
PANDAR,0,0,0,0,2,0,0,0
PANK1,460,548,663.97,471,361,369,334,707
PANK2,601,938,977.03,738.48,608.32,549.46,502.99,1074
PANK2-AS1,1,3,3,1,0,0,2,4
PANK3,5097,6019.6,7008.8,5190,3399,3929,3820,6818
PANK4,212,394,357,251,228,148,194,369
PANO1,13.72,28,30,19,19,13,17,27.71
PANX1,406,610,635,409,333,326,340,556
PANX2,24,46,50,37,25,15,27,35
PAOX,25,58,47,33,32,15,21,37
PAPLN,130,285.67,270.84,192,169.78,146,135.94,300.97
PAPLN-AS1,57,112,111,90,50,47,52,97
PAPOLA,6925,8884,10316,8389,6407,7197,6540,12863
PAPOLA-DT,9,30,23,20,17,6,16,40
PAPOLB,0,2,2,0,0,1,1,0
PAPOLG,433,572,638,483,379,433,359,719
PAPPA2,12,15,32,15,6,5,4,8
PAPSS1,577,813,920,571,552,569,548,1043
PAPSS2,10,7,10,15,6,6,3,8
PAQR3,286.78,317.65,386.47,359.06,277.7,387.78,332.13,569.53
PAQR4,737.3,1203.8,1000.2,842.9,605.88,553.66,555.46,1289.2
PAQR5,6,5,3,2,1,0,1,0
PAQR5-DT,0,0,1,0,0,0,0,1
PAQR6,16,44,57,24,35,25,30,35
PAQR7,139,225,205,135,131,84,100,220
PAQR8,362,567,572,378,387,386,343,772
PARAL1,0,2,0,0,0,0,0,0
PARD6A,19,42,21,19,23,22,11,41
PARD6B,41,37,54,44,22,33,26,56
PARD6BP1,1,1,0,1,0,0,0,2
PARD6G,52,58,94,68.96,59,57,40,124
PARD6G-AS1,10,12,18,15,8,4,11,15
PARG,486.13,812.71,750.11,566.19,450.2,448.36,438.13,874.57
PARGP1,29.87,28.29,34.89,16.81,17.8,16.64,17.87,36.43
PARK7,2117,4029,4145,2531,2609,2158,2146,5393
PARK7P1,0,1,1,0,0,0,1,2
PARL,977.83,1800.4,1992.8,1223.3,1288.7,1147.3,1103,2515.1
PARN,929,1532,1597,1156,942,862,884,1862
PARP1,6000,9296,8907,6628,5085,4399,4311,10070
PARP10,366.39,768,735.69,459,317.07,272,242,585.03
PARP11,422,494,591,476,387,391,349,640
PARP11-AS1,4,3,1,1,0,0,0,0
PARP12,2,12,8,3,4,6,7,10
PARP14,869,1308,1271,971,658,696,639,1292
PARP15,115,150,169,141,101,95,94,191
PARP16,99,170,175,141,96,99,84,148
PARP1P1,1,2,1,0,1,0,1,2
PARP2,309,556,532,411,365,315,315,661
PARP3,85,203,159,113,82,77,63,199
PARP4,3184,4428.2,4191,2949,2078.5,1909.4,1833.8,3698.3
PARP4P1,5,10,9,10,4,7,6,11
PARP4P2,0,0,1,0,0,0,0,0
PARP6,361,685,702,487,483,418,416,886
PARP8,5770,7817,8854,6513,5228,5347,5316,10280
PARP9,136,199,176,133,95,115,123.06,184
PARPBP,499.97,571,691,527.58,499,490.82,429,958
PARS2,138,253,207,147,145,112,107,231
PART1,0,0,3,0,0,0,1,0
PARVB,752,1390,1338,983,644,588,623,1350
PARVG,4156,7339.1,6923.2,4859.9,3974.4,3211.3,3374.1,7049.2
PASK,549,972,854,576,588,481,473.13,1015
PATE2,0,1,1,0,2,2,0,0
PATE3,0,0,1,0,0,0,0,2
PATE4,2,1,0,2,0,0,2,1
PATL1,1287,1905,1838,1461,1189,1140,1081,2101
PATL2,10,26,21,16,8,14,10,13
PATZ1,1038,1920,1764,1214,1126,889,885,2120
PAX2,0,0,0,0,0,1,0,0
PAX5,6,15,11,6,6,3,5,9
PAX6,1,0,1,0,0,2,0,1
PAX8,5,7,9,7,7,4,7,12
PAX8-AS1,0,0,4,0,3,1,0,2
PAXBP1,1036,1385,1590,1299,1141,1142,1103,2239
PAXBP1-AS1,44,69,50,51,37,27,34,58
PAXIP1,750,1114,1131.1,832.22,703.91,679.91,666.45,1298
PAXIP1-AS2,133.62,181.38,207.33,129.96,93.99,109.69,103.14,198.23
PAXIP1-DT,75,153,152,115,102,108,82,209
PAXX,114,287,221,124,144,116,131,221
PBDC1,490,779,746,571,444,475,427,994
PBK,624,1002,1142,799,693,718,727,1446
PBLD,42,73,69,43,39,33,58,96
PBRM1,2627.8,3230.4,3246,2655.2,2008,2029.3,1886.6,3672
PBX1,2,4,2,0,0,4,2,3
PBX2,1964,3071,3063.9,2340,1681.7,1734,1485.4,3408.9
PBX2P1,1.02,1.01,5.07,1.01,1.01,1.01,1,7.07
PBX3,1599,2325,2698,1953,1536,1700,1576,3033
PBX4,16,19,35,20,10,10,9,43
PBXIP1,657,1064,1164,778,520,512,450,1083
PC,76.85,180.43,128.31,102.68,71,54.67,58.55,124.1
PCA3,0,0,1,0,0,0,0,0
PCAT14,0,0,1,0,0,0,0,0
PCAT19,0,0,2,0,0,0,0,0
PCAT4,0,0,0,0,0,1,0,0
PCAT6,4,4,11,2,1,2,2,12
PCAT7,0,2,2,0,0,0,0,0
PCBD1,413,739,684,491,408,389,369,776
PCBD2,128,243.36,253,171.87,147,120.6,136,287
PCBP1,6205.8,11711,10869,7397.2,6012,5245.3,5009,10586
PCBP1-AS1,140.21,188,242.98,187.76,108,130.72,94,300.52
PCBP2,7453.5,12834,13238,9724.4,7275.9,6829.4,6629.4,14340
PCBP2-OT1,1,2,2,2,1,2,2,1
PCBP2P1,0,0,0,1,1,0,0,0
PCBP2P2,6.01,10.02,13.03,12.04,11.01,10.02,10.02,14.02
PCBP3,19,32,32,19,31,34,25,68
PCBP4,85,135,125,88,62,73,66,116
PCCA,253.92,411.42,461.35,286.78,277.54,268.49,258.7,528.81
PCCA-DT,18,38,37,15,17,22,19,42
PCCB,975.06,1775.9,1672.1,1025.6,1072.4,851.69,920.81,1946.6
PCDH12,15,21,21,13,13,8,9,17
PCDH17,0,0,1,0,0,0,0,0
PCDH18,0,1,0,0,0,0,0,0
PCDH7,0,2,4,2,0,1,0,1
PCDH9,21,28,22,26,11,10,5,19
PCDHA1,5,7,4,4,1,4,3,6
PCDHA10,1,0,0,1,1,0,0,0
PCDHA2,0,2,0,0,0,0,0,0
PCDHA3,1,1,0,0,1,0,0,0
PCDHA5,1,0,0,0,0,0,0,0
PCDHA6,0,0,1,0,0,0,0,0
PCDHB10,3.31,7.61,3,7.47,3.32,2,0,7.44
PCDHB11,1,2,3,1,0,0,1,0
PCDHB12,1,1,0,0,0,0,0,0
PCDHB13,4,6,2,2,1,5,3,9
PCDHB14,3,2,5,3,2,3,0,4
PCDHB15,0,0,4,1,0,1.15,0,0
PCDHB16,0,1.08,0,0,0,0,0,0
PCDHB18P,2,1,0,1,3,1,1,2
PCDHB19P,1,0,1,0,1,1,0,1
PCDHB2,2,0,0,0,0,0,0,0
PCDHB3,1,0,1,2,0,0,1,1
PCDHB5,0,0,0,0,1,0,0,0
PCDHB9,8.69,19.31,17,10.53,10.68,8,12,12.56
PCDHGA1,7.31,5,2,9,1.56,9,6,9
PCDHGA10,7.51,10.41,15.76,9.37,8.51,9.45,7,16.96
PCDHGA11,25.73,44.34,43.43,34.44,44.13,28.67,31.08,41.4
PCDHGA12,0,2,4,3,3,6,1,2
PCDHGA2,1.51,1.52,5,2,1,0,2,3
PCDHGA3,1.01,1.01,0,0,0,0,0,0
PCDHGA4,2,5.62,10.47,5,0,3,2.98,2
PCDHGA5,19,27.93,44,17.39,11.34,19,7,18
PCDHGA6,52.29,56.54,91.11,40,35,39.97,28.86,54
PCDHGA7,7.55,13,25.97,6,7.8,6,6,12
PCDHGA8,2.35,7.46,10.5,5.33,2,7.56,0,1.56
PCDHGA9,4,2,5,2,4.64,3.16,1,3
PCDHGB1,4.33,3.25,0,0,3.24,1,1.78,3.11
PCDHGB2,181.39,266.72,251.73,163.19,116.24,100.57,133.08,231.39
PCDHGB3,27.36,29.13,32.94,15.71,30.37,8,9,25.15
PCDHGB4,0,4.26,14.15,1.6,0,3.6,5,8.21
PCDHGB5,0,1.21,1.36,1.59,0,0,1,6
PCDHGB6,2,10,12.04,4.69,9.28,2,8,10.86
PCDHGB7,9.16,2,11,7.64,1,0,1,2
PCDHGB8P,2.31,3,6,0,1,0,1,1.18
PCDHGB9P,0,1,2,4,2,1,0,2
PCDHGC3,778.99,1310,1106.5,776.41,633.94,583.56,596.21,1078.1
PCDHGC4,1.5,7.56,5,7.87,5.95,7.47,4,9.31
PCDHGC5,3,9,6,13.77,5,3,4,3
PCED1A,222,428,376,258,207,159,198,355
PCED1B,0,1,0,1,0,0,0,0
PCED1B-AS1,2,4,4,3,0,1,0,4
PCF11,2213.9,2937.8,3191.5,2448.3,1916.9,2021.9,1901.9,3824.7
PCGF1,197,316,305,229,199,191,162,394
PCGF2,5.43,8.56,2.43,2.41,2.33,3.67,3.44,3.73
PCGF3,980.24,1470,1567.1,1119.5,949.4,920.78,854,1793
PCGF5,294,395,399,335,261,265,315,486
PCGF6,341,535,544,392,362,320,328,660
PCGF7P,0,0,2,2,1,0,0,2
PCID2,592,1043,1024,647,673,613,626,1269.1
PCIF1,555,998,897.91,586,536,367.95,408,829
PCK2,317,735,643,392,236,211,197,428
PCLAF,1599.9,3024.6,3327,1996.3,2065.7,2103,1861.1,3664.2
PCLO,169,245,204,199,117,133,139,219
PCM1,8358,11007,11952,9106,6562,6786,6681,12988
PCMT1,751,1242,1490,959,900,862,823,1804
PCMTD1,577,735,917,712,542,630,541,1199
PCMTD2,860,1247,1469,1035,823,910,811,1727
PCNA,3435,6514,6659,4129,4506,4144,4015,8973
PCNP,2466,3086,3738,2907,2272,2628,2314,4846
PCNPP1,0,5,2,2,1,4,1,7
PCNPP5,0,0,3,0,2,1,0,0
PCNT,1738,2395,2144,1545,1352,1144,1156,2580
PCNX1,1165,1449,1449,1127,952,965,896,1790
PCNX2,52,72.11,82.01,76.29,61.84,33,47.12,108.69
PCNX3,662,1149,845,574,554,407,386,914
PCNX4,1039.1,1458.6,1718.2,1361.7,1077.1,1127.8,1011.2,2186.1
PCOLCE,53,93,69,68.94,36,30,48,93
PCOLCE-AS1,0,2,2,1.06,2,0,1,3
PCOTH,6,5.87,3,2,2,0,5,0
PCP2,15.02,15.01,14,26,7,6,7,13
PCP4L1,1,1,3,0,1,2,4,5
PCSK1,0,0,1,0,0,0,0,0
PCSK4,91,162,116,88,70,54,65,118
PCSK5,3,6,3,0,1,2,1,3
PCSK6,7.8,17.93,14,7.43,9,8.42,13,13.73
PCSK6-AS1,1,2,0,0,0,0,0,0
PCSK7,678.98,1183.5,1033.9,779.96,714.24,653.8,579.57,1389.2
PCTP,489,886,890,571,483,415,419,913
PCYOX1,1302,1664,2058,1442,1162,1172,1160,2315
PCYOX1L,611,1150,1087,834,610,575,598,1200
PCYT1A,983,1464,1454,1079.9,884,848,845,1651.8
PCYT1B,0,2,2,0,0,0,0,0
PCYT2,768.88,1536.3,1468.8,874.73,753.66,657.75,639,1267.3
PDAP1,2597.7,3970,4004.1,3031.5,1979.6,1929.2,1681.1,4780.2
PDC,0,0,1,1,0,1,2,0
PDC-AS1,0,0,1,0,0,3,1,2
PDCD1,4,0,1,2,0,0,0,0
PDCD10,794,985,1224,901,702,779,662,1455
PDCD11,2900,4734,4192,3150,2498,2067,1999,4577
PDCD1LG2,1,1,1,1,0,0,0,0
PDCD2,1214,1825,2075,1394,1253,1161,1118,2493
PDCD2L,99,186,173,120,120.84,111,86,165
PDCD4,3818.2,4808.1,5651.1,4370.2,3428.7,3821,3476.8,7422.7
PDCD4-AS1,20,53,33,21,28,20,30,41
PDCD5,1092,1904,1843,1265,1030,983,888,2353
PDCD6,978.5,1913.6,1773.6,1231,1222,1007.9,986.84,2186.3
PDCD6IP,2492.7,3781.8,4111.6,2951.6,2503.5,2518.6,2423.4,4833
PDCD6IP-DT,11,21,21,21,15,15,8,40
PDCD6IPP2,374.15,498.03,624.28,431.18,325.46,318.16,292.35,607.74
PDCD7,588,1004,1021,717,547,524,510,1134
PDCL,422,611,697,508,383,408,416,808
PDCL3,549,843,965,707.99,562.99,495.06,477.99,1195
PDCL3P2,0,0,0,1,1,0,0,4
PDCL3P3,1,0,0,0,0,0,0,0
PDCL3P4,1,1,3,1,0,1.94,0,1
PDCL3P5,0,0,1,1.01,2.01,2.01,1.01,5
PDCL3P7,0,0,0,0,1,0,0,0
PDE12,986,1305,1251,1024,835,820,796,1515
PDE1B,227,437.98,415,262,222,194,195,382
PDE1C,0,0,0,0,1,0,1,0
PDE2A,0,3,0,0,0,1,0,0
PDE3A,9,8,14.78,5,0,3,0,3
PDE3B,4222,5794,6230,4719,4114,4292,4244,8061
PDE4A,243,399,371,271,146,141,144,254
PDE4B,15,21,18,13,20,19,18,47
PDE4C,2.12,3.46,1,7,0,4.76,1,6.58
PDE4D,64,70,83,72,70,55,57,135
PDE4DIP,1302.1,1898.3,1946.6,1356.4,1068.2,1009.4,922.77,2064.2
PDE4DIPP2,284.69,391.65,415.12,289.63,224.81,226.63,194.23,404.78
PDE4DIPP3,0,0,0,0,0,0,0,1
PDE4DIPP4,0,0,0,3,0,0,0,0
PDE4DIPP6,31,31,16,23,17,15,22.28,32
PDE4DIPP7,50.58,87.6,66.84,51.34,36.09,36.24,43.87,102.04
PDE5A,6.1,13,19,18,8,1,11,12
PDE6A,0,3,1,5,4,5,4,2
PDE6B,1,4,1,0,0,5,1,7
PDE6C,0,1,0,0,2,0,0,0
PDE6D,325,512,547,406,327,305,263,588
PDE6G,10,29,32,13,19,4,7,15
PDE6H,0,0,2,0,1,1,1,2
PDE7A,2402.9,3717,4190,3151,2160,2369,2091,4278
PDE7A-DT,0,1,2,1,1,0,1,1
PDE7B,1,1,1,0,2,2,1,0
PDE8A,58,79,102,70,56,74,55,120
PDE8B,42,45.53,73.42,67.22,32.65,61,54,106
PDE9A,6,6,9,5,3,5,8,8
PDF,63.02,170.82,116.35,74.47,86.78,64.54,87.09,122.42
PDGFA,309,685,654,370,260,309,251,494
PDGFB,2,10,7,4,0,4,0,0
PDGFC,31,47,62,53,28,34,25,41
PDGFD,3,6,2,2,5,1,1,4
PDGFRA,2,3,1,1,0,2,1,2
PDGFRB,14,19,16,16,3,4,6,12
PDHA1,1854,2796,3006.6,2239.9,1766.9,1770.9,1515,3693.8
PDHB,1157.4,1678.3,1895.1,1376.1,1140.9,1031.2,1122.4,2354.3
PDHX,578.11,760,847,672.03,517.04,533.03,489,969.03
PDIA2,0,1,0,0,0,0,0,0
PDIA3,7943,12476,13891,9659.9,8317.6,8234.7,7800.4,16948
PDIA3P1,108.82,168.77,139.64,127.2,120.78,108.39,116.39,201.01
PDIA4,3271,5445,5329,3707,2976,2610,2604,5674
PDIA5,310,538,534,366,333,308.46,290,553
PDIA6,6613.6,10455,10865,7670.5,5800.7,5384.6,5232.9,11428
PDIK1L,284,389,410,332,221,247,228,516
PDK1,1010,1533.6,1906.9,1391.7,787.82,940.9,995.82,1773.9
PDK2,211,438,341,196,213,204,174,358
PDK3,162,224,205,151,89,100,110,202
PDK4,0,0,0,0,1,0,0,0
PDLIM1,1868,3269,3436,2283,1436,1325,1308,2662
PDLIM1P1,0,0,0,0,1,1,0,0
PDLIM1P4,0,2,3,0,1,1,0,3
PDLIM2,311.78,697.79,556,353,319,265,264,600.73
PDLIM4,0,1,0,0,0,0,0,0
PDLIM5,238,301,293,226,163,157,145,295
PDLIM7,707,1296,1160,821,492,406,441,859
PDP1,673,905,949,677,659,807,745,1517
PDP2,880,1269,1348,1023,633,624,543,1194
PDPK1,1202.2,1893.3,1679.3,1225.8,995.26,845.61,857.16,1622.7
PDPK2P,68.31,70.16,99.14,45.7,46.81,60.18,36.36,113.8
PDPN,7,20,18,14,16,12,19,19
PDPR,1600.5,2570.9,2320.7,1738.7,1429.1,1396.7,1257.6,2681.9
PDPR2P,81.96,111.02,102.02,61.34,65.93,43.33,58.35,100.08
PDRG1,223,544,466.99,303.98,268,215,209.99,515
PDS5A,5127,6949,7341,5567,4395,4550,4454,8634
PDS5B,1927,2204,2486,2095,1686,1757,1593,3377
PDSS1,240,424.5,398.14,306,304,283,236,560.38
PDSS1P1,1,1,0,0,1,2,0,2
PDSS1P2,0,0,0,0,0,1,0,0
PDSS2,315,566,568,361,339,284,302,644
PDX1,0,0,0,0,2,0,0,0
PDXDC1,1961.1,3093.6,3039.8,2239.9,1791.9,1649.4,1648.9,3624.3
PDXDC2P,2.48,8.67,5.16,4.08,0,3.18,7.29,8.16
PDXK,1708,3236,3003,1844,1579,1388,1379,2768
PDXP,596.24,1167.6,893.82,656.25,627.33,447,488.95,937.78
PDXP-DT,4.02,4.02,3.03,2.01,4,3,0,9.07
PDYN,1,0,0,0,0,0,0,0
PDYN-AS1,0,0,0,0,1,0,0,0
PDZD11,179,320,316,205,216,196,170,425
PDZD2,12,8,11,15,7,4,5,21
PDZD3,0,1,1,0,0,1,0,0
PDZD4,0,0,0,0,0,0,0,1
PDZD7,308.06,484.05,414,377,295,235,237,524.54
PDZD8,885,1149.4,1194,938,879,819,805,1479.7
PDZD9,2,2,3,2,1,0,0,6
PDZK1,2.77,0,7.59,2.38,4,3.73,4.36,2
PDZK1P1,6.23,6,10.41,7.62,4,3.57,4.16,5.16
PDZRN3,0,0,1,0,0,0,0,0
PEA15,2463,3873,3692,2833,2324,2294,2217,4198
PEAK1,345,495,504,352,237,238,256,482
PEAK3,157,208,221,165,98,114,115,206
PEAR1,12,22,15,16,7,6,8,13
PEBP1,3123,6028,5627,3760,3724,3252,2992,6729
PEBP1P2,0,1,0,2,2,0,1,5
PEBP4,1,1,0,1,0,2,0,0
PECAM1,3352,4916,5363,3799,2516,2399,2567,4884
PECR,104,178,217,98,89,98,80,188
PEDS1,552,961,843.68,667,448,376,408.36,812.4
PEDS1-UBE2V1,0,0,8.2,0,0,0,4.31,3.97
PEF1,346,782,654,435,402,327,311,737
PEG10,0,3,0,2,1,1,0,3
PEG13,1,5,5,5,6,5,5,9
PEG3,98,135,145,99,75.9,68,60,117
PELATON,18,26,11,22,9,9,10,22
PELI1,61,89,106,55,56,67,49,99
PELI2,269,442,454,360,236,282,224,531
PELI3,113.77,281.44,233.56,153,99.1,111,114,207.35
PELO,188,362,374,240.99,175.99,149,144,344
PELP1,1107,1846,1808,1286,999,870,810,1974
PEMT,98,185.83,159,105,50,53,66,114
PENK,0,0,0,0,0,0,0,1
PEPD,461,840,747,501,554,392,455,951
PER1,243,455,378,285,185,169,162,298
PER2,615,892.99,836.99,627,442.99,425,369.99,978.99
PER3,191,251,273,206,174,196,150,385
PERCC1,0,0,0,0,0,0,0,1
PERM1,2,16,7,11,2,2,2,9
PERP,2,5,4,3,3,0,1,1
PES1,2356,3857,3813,2711,2188,1932,1770,4283
PES1P2,0,1,0,0,0,1,0,0
PET100,643.98,1253,1265,880,733,584,636,1644
PET117,116.74,218.84,228.81,148.7,145.34,124.41,126.25,283.1
PEX1,245.79,355.48,451.22,302.77,229.88,267.08,233.74,469.71
PEX10,147.93,288.44,287.62,174.31,153.34,148.89,126.38,289.71
PEX11A,57,91,115,72,50,47,55,87
PEX11B,233,452,477,303,270,255,227,520
PEX11G,9,10,17,11,6,8,9,1
PEX12,71,142,136,97,81,77,84,138
PEX13,302,498.74,468.26,381,273,250.62,240,485
PEX14,220.18,429.63,388.84,251.16,204.36,171,199.13,386.43
PEX16,192,441,385,205,240,182,191,437
PEX19,1059,1818.7,1706.3,1187,993,885,896,1787.4
PEX2,810,1219,1450,960,734,698,615,1472
PEX26,977.89,1821.3,1681.7,1160.2,934.91,849.73,756.56,1753.6
PEX3,89,139,201,123,116,131,122,216
PEX5,417,854,824,515,431,360,386,771
PEX5L,4,7,11,11,5,7,5,7
PEX5L-AS1,1,0,0,0,0,1,0,1
PEX6,746,1512,1318,793,742,555,622,1286
PEX7,98,152,156,96,84,82,92,184
PFAS,1626,2955,2337,1592,1298,1064,1020,2353
PFDN1,879,1448,1510,1111,699,693,626,1438
PFDN2,658,1105,1178,855,640,613,526,1344
PFDN4,258,360,469,352,249,320,275,664
PFDN5,1551,2749,2993,2009,1818,1551,1469,3570
PFDN6,1094.1,1775.2,1770.2,1304.7,975.29,903,817,2282.3
PFKFB1,1,8,3,1,0,1,1,1
PFKFB2,111,214,181,119,100,70,83,200
PFKFB3,324,610,642,405,362,302,281,636
PFKFB4,801,1592,1913,1178,621,601,624,1098
PFKL,2911,5250,4321,2896,2567,1969,2045,4503
PFKM,18,51,41.16,29,21,19,20.38,49
PFKP,2257,3835,3962,2699,2041,1729,1770,3823
PFKP-DT,2,3,7,8,2,0,3,5
PFN1,13139,24087,21657,15853,12942,11595,11785,23507
PFN1P1,4,4,1,1,2,1,3,1
PFN1P10,0,0,0,0,0,0,0,1
PFN1P11,0,1,0,0,0,0,0,0
PFN1P2,24,29.83,47,28.8,32,32.26,33,55
PFN1P3,0,0,0,0,0,0,0,1
PFN1P4,0,3,0,1.2,1,2.74,0,1
PFN1P6,0,0,0,0,1.93,0,0,0
PFN1P8,1,1.17,3,1,1,0,1,2
PFN2,3,0,0,4,2,2,0,2
PFN4,2,2,2,0,1,0,0,4
PGA5,0,0,0,0,0,0,0,1
PGAM1,10079,20913,20065,12474,11079,9236.2,9617.2,19726
PGAM1P11,0,0,0,0,1,0,0,0
PGAM1P3,0,0,0,0,0,0,1,0
PGAM1P4,0,0,1,0,0,0,0,0
PGAM1P7,0,0,0,1,0,0,0,0
PGAM1P8,7,14,9,10,5,4,4,10
PGAM4,1.1,1.97,0,1.07,0,1.09,0,0
PGAM5,926,1714,1450,1145,1006,827,770,1781
PGAP1,56,64,78,45,22,29,35,72
PGAP2,197,378,329,223,164,137,148,326
PGAP3,152,327,293,146,202,144,135,298.97
PGAP4,157,175,191,148,113,107,130,206
PGAP6,436,903.68,655.75,440,471.34,348.78,357,719.41
PGBD1,61,118,136,92,82,50,62,164
PGBD2,182,273,306,245,225,199,174,421
PGBD4,148,255,275,186,165,138,157,303
PGBD5,36,68,58,44,57,42,43,95
PGD,4756,7285,7650,5677,4479,4088,4107,8582
PGDP1,2,5,2,3,1,2,3,4
PGF,21,51,54,27,13,17,15,37
PGGHG,354,750,593,436,372,315,327,645
PGGT1B,626.53,755.74,908.47,760.93,538,630.91,543,1119.8
PGGT1BP2,1,0,0,1,1,0,0,0
PGK1,12578,22500,24517,15299,11330,10292,10619,21650
PGK1P1,5,6,10,1,3,3,2,9.05
PGK1P2,4,3,7,2,3,4,4,2.95
PGLS,1217,2477.9,1989.9,1256.9,1223,988.94,1007,1915.8
PGLS-DT,24.03,30.07,29.06,24.11,20.04,20.06,19.04,47.15
PGLYRP1,0,0,1,1,0,0,0,0
PGLYRP2,0,0,0,1,0,0,1,3
PGM1,261.8,492.98,540.89,318,263,216.97,265.87,463
PGM2,997,1355,1612,1160,935,968,884,1964
PGM2L1,87,119,145,99,65,89,73,136
PGM3,491.95,723.53,841.46,574.86,462.43,452.48,427.65,787.41
PGM5,1,1,0,0,0,0,0,0
PGM5P2,0,1,2,2,2,0,0,1
PGP,282.42,571,468.95,309.68,359.88,290.68,292.1,585.47
PGPEP1,1422,2672,2601,1885,1011,900,869,1924
PGRMC1,510,785,881,626,567,573,589,1107
PGRMC2,889,1311,1456,1055,896,964,803,1770
PGS1,351,595,533,360,324,294,270,574
PHACTR1,206.94,379.91,391.84,313.47,148.97,143.75,164.13,322.01
PHACTR2,260,295,327,280.82,172,182,181,337
PHACTR2-AS1,0,0,2,1,0,0,0,2
PHACTR2P1,2,4,4,2,4,4,0,1
PHACTR3,170,253,284,188,175,158,150,298
PHACTR4,731,1096,1043,862,541,521,475,991
PHAX,826,1188,1230,955,793,807,753,1486
PHB,1620.6,3173,3144.7,1998.7,1803.3,1528,1507,3874
PHB2,3737.7,7356.1,6965.1,4397,3717.8,3068,3119,6908.1
PHBP11,0,0,0,0,0,1,0,0
PHBP12,1,0,0,0,1,0,0,0
PHBP15,0,0,0,0,0,1,1,0
