,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
SLC27A5,31.95,36.13,34.83,31.68,38.79,35.99,36.73,36.63
ZNF324,6.09,7.31,6.14,5.34,6.46,3.66,5.23,4.36
ZNF671,4.24,5.09,5.6,5.23,5.38,4.97,5.72,4.56
ZNF416,3.35,4.09,3.8,3.39,4.38,4.59,4.41,3.52
ZNF586,7.69,7.31,7.94,7.57,6.17,7.19,6.84,6.21
ZNF446,3.45,5.06,3.18,2.75,3.21,2.46,2.33,2.61
ZNF264,1.34,1.51,1.44,1.43,2.08,1.69,3.16,1.28
RPS5,1213.9,1532.3,1435.6,1070.4,1363.1,1076.4,1223.7,1076.1
FAT1,0.14,0.26,0.05,0.11,0.01,0.05,0.15,0.01
YTHDC1,47.73,40.21,43.19,47.53,43.2,46.69,43.54,44.29
CHMP2B,9.0,7.86,7.95,10.26,8.15,10.02,8.96,7.27
SMAP2,68.84,73.14,65.9,67.01,57.31,56.85,62.27,53.6
PPIE,33.57,35.76,33.25,34.19,33.31,34.82,35.2,32.21
ZMPSTE24,28.25,21.24,21.42,24.5,22.92,28.68,26.37,21.63
STARD7,83.71,93.86,85.54,85.79,87.46,87.05,86.46,74.2
NOA1,8.93,10.84,9.62,9.27,9.03,8.42,9.73,7.33
REST,15.38,11.19,11.53,12.65,11.85,13.81,13.58,10.6
HAL,10.01,11.98,11.24,10.73,11.19,11.12,11.43,9.65
SSH1,4.77,4.93,3.34,3.22,2.63,2.42,2.61,2.04
GSTP1,469.6,572.66,487.45,439.96,467.51,396.25,437.65,368.74
APLP2,185.66,174.11,156.87,155.17,147.9,137.06,145.81,124.23
FAM234B,2.27,2.88,2.41,2.66,2.58,2.41,2.13,2.19
WBP11,37.25,35.21,31.79,37.17,30.94,33.72,34.42,29.59
EIF3I,132.95,169.49,152.27,141.79,161.08,146.42,156.19,145.89
NKAIN1,0.03,0.02,0.0,0.0,0.0,0.24,0.0,0.03
TXLNA,32.5,31.53,25.53,26.26,26.43,23.66,24.65,22.63
NCOA1,4.38,4.48,3.69,4.04,3.56,4.42,4.4,3.54
AGBL5,8.91,12.91,10.33,12.09,10.52,7.44,9.44,8.45
EFR3B,0.06,0.06,0.07,0.04,0.04,0.11,0.06,0.05
KIF3C,2.18,1.74,2.28,1.64,1.44,1.14,2.32,2.64
RAB10,69.12,55.36,60.16,62.88,61.83,59.62,56.71,55.63
HADHA,95.82,99.2,93.97,92.62,95.59,90.76,98.12,87.67
MAPRE3,2.44,2.34,2.19,1.53,1.97,2.15,2.59,1.76
CAD,28.61,37.59,25.25,23.82,32.56,26.18,26.59,23.99
CD59,0.87,0.6,0.38,0.58,0.91,0.69,1.32,1.04
CD82,47.36,52.52,42.86,49.05,29.13,26.6,27.42,27.03
BCORL1,1.08,1.57,1.18,1.2,1.05,1.18,1.17,1.0
ATRX,16.3,16.91,17.68,17.74,17.1,22.31,19.64,17.79
AK6,30.94,41.33,47.52,37.53,39.02,37.25,36.68,35.31
FCN1,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0
MYNN,9.38,8.15,9.12,10.03,10.31,9.78,11.25,8.66
SCAMP1,13.23,11.18,9.6,12.47,11.42,13.36,14.5,10.99
PREP,33.29,33.91,30.13,29.97,33.33,31.07,34.07,29.52
HACE1,4.45,4.24,4.91,3.75,4.31,4.91,5.72,3.38
SEH1L,40.1,39.1,40.25,41.77,43.62,46.6,46.2,39.6
WDR47,4.89,4.6,4.5,4.57,4.02,4.24,4.59,4.13
WDFY1,46.76,35.29,35.89,40.67,50.37,54.06,52.34,43.76
OVGP1,0.06,0.35,0.6,0.27,0.23,0.63,0.87,0.51
SLC25A24,12.66,9.72,11.09,13.02,13.47,18.01,17.03,13.39
MAP3K4,13.09,12.09,12.16,13.24,13.04,11.85,14.6,12.15
PILRA,3.25,3.42,3.09,2.82,2.41,1.78,2.58,1.88
IGSF9,0.05,0.05,0.09,0.1,0.0,0.06,0.04,0.03
ABCB1,0.13,0.32,0.07,0.1,0.0,0.0,0.0,0.06
ZNF213,3.83,4.59,3.45,3.96,3.43,2.35,3.58,2.44
AKR1B1,44.71,64.61,51.03,44.49,60.48,49.6,53.75,44.18
CPNE3,22.71,20.64,22.25,21.73,16.6,19.11,19.71,15.26
RRN3,21.23,19.12,20.03,20.31,21.23,22.63,21.06,19.14
CTTN,0.73,0.42,0.57,0.56,0.48,0.67,0.36,0.28
WNT11,0.0,0.0,0.02,0.03,0.04,0.0,0.0,0.09
MTIF2,36.67,34.04,35.97,36.4,39.06,37.42,37.53,32.96
DDHD2,16.71,14.46,12.96,14.13,14.04,13.88,13.8,14.73
TTC39A,0.04,0.06,0.14,0.16,0.03,0.11,0.05,0.04
EPS15,10.99,10.65,11.19,12.13,10.71,11.77,11.78,9.9
ORC1,20.02,21.56,18.77,17.48,16.89,14.27,17.12,14.49
MGST2,100.15,113.36,103.22,97.9,93.02,100.93,96.64,89.77
CHERP,47.7,46.83,37.06,43.96,45.24,35.4,40.45,40.37
ATG16L1,10.26,10.83,10.87,10.88,12.1,9.33,11.21,8.38
USP40,7.09,8.04,7.02,6.71,6.84,4.97,7.89,5.69
POMGNT1,6.68,8.21,6.7,6.13,5.81,6.11,7.33,5.93
RAD54L,12.97,13.41,11.54,10.57,14.15,9.94,12.2,11.55
MAST2,3.3,2.93,2.88,2.62,2.31,1.8,3.65,2.23
DNAJA1,153.89,141.93,136.18,146.57,156.52,157.77,152.55,149.74
B4GALT1,9.57,9.11,8.57,9.24,8.01,7.43,7.96,7.28
CHMP5,30.01,30.98,33.92,31.02,27.14,29.54,32.39,26.47
NFX1,31.09,28.36,25.59,26.1,21.5,22.14,23.06,20.5
AQP6,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0
DIMT1,20.08,19.86,18.5,18.81,21.4,23.91,22.27,20.67
IPO11,14.61,14.03,13.37,13.4,17.04,15.06,13.45,14.73
EIF2AK1,47.31,48.56,48.58,52.89,53.27,52.19,59.76,50.33
NME8,0.0,0.03,0.0,0.03,0.03,0.33,0.31,0.22
EPDR1,7.89,7.97,8.23,8.28,8.75,7.49,8.56,8.04
SNX10,2.84,2.1,2.42,2.52,2.95,4.33,3.23,2.16
SEPHS1,42.26,36.26,36.05,40.29,40.34,38.96,38.67,32.2
MRPL28,61.06,71.83,59.09,62.44,61.12,52.32,60.09,54.55
ITPKC,2.45,3.69,2.54,2.66,2.52,2.1,2.37,1.97
CEACAM6,0.0,0.0,0.02,0.02,0.05,0.05,0.09,0.07
FAT2,0.06,0.06,0.04,0.08,0.05,0.09,0.04,0.04
RBM22,55.34,56.44,49.42,52.43,47.04,47.4,50.87,44.27
TMED2,133.62,118.18,121.43,129.48,106.87,126.31,125.46,110.04
ERO1B,0.87,0.9,1.11,1.19,1.09,1.41,1.17,0.91
ZFAND6,42.58,35.92,40.57,36.11,35.71,37.59,42.0,34.72
TXLNG,14.31,12.28,11.61,13.62,13.26,15.39,14.76,13.22
PPEF1,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0
LAT2,163.09,200.68,170.59,155.31,135.95,118.42,132.05,115.12
HUWE1,65.74,67.14,55.72,56.12,51.97,48.89,57.45,47.31
ZW10,12.58,11.45,11.64,11.77,12.33,11.94,12.84,10.45
ALG9,11.55,14.46,10.69,9.85,13.27,10.31,15.19,10.15
MYBPC2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
ACOX3,8.36,11.03,9.91,7.63,10.34,8.07,9.44,7.75
MTMR2,13.91,13.99,12.62,13.57,15.83,13.22,14.23,11.59
PPP1R15A,47.98,46.93,47.66,50.58,25.32,27.54,29.22,24.47
HSD17B14,0.18,0.28,0.31,0.4,0.17,0.55,0.0,0.13
TRIP6,60.28,70.29,53.76,55.99,49.08,42.69,50.14,42.43
ACHE,0.02,0.03,0.03,0.0,0.0,0.0,0.0,0.03
FTL,3989.9,5287.0,4539.0,4166.6,4316.1,3954.7,4532.4,3710.2
SRRT,141.13,138.89,125.2,143.7,127.38,121.3,127.48,113.14
BAX,246.92,309.33,264.73,234.51,277.22,217.55,251.53,243.07
NLK,4.84,3.95,4.14,5.23,4.91,5.27,6.65,3.92
PIGS,30.97,34.36,29.67,29.21,30.26,24.59,28.35,24.97
ADAMTS2,0.0,0.01,0.06,0.06,0.04,0.0,0.0,0.02
ATXN7L3,35.57,37.23,31.75,32.49,29.25,25.73,32.2,25.58
PGS1,13.36,13.89,10.23,10.12,9.96,11.16,9.43,8.86
PSMC5,105.95,114.38,108.62,109.23,112.48,108.71,106.8,116.55
UIMC1,22.74,20.78,19.47,19.95,21.58,18.05,17.09,16.52
CETP,0.0,0.1,0.11,0.11,0.14,0.0,0.21,0.2
MMP2,5.74,5.22,4.88,5.0,6.95,8.89,7.16,6.83
LPCAT2,6.66,8.79,6.34,7.53,8.21,9.24,8.71,7.62
GNAO1,0.3,0.14,0.11,0.12,0.0,0.01,0.02,0.05
OGFOD1,36.71,42.22,29.03,31.55,32.08,36.03,39.07,30.59
SH3BP2,34.23,37.36,28.96,32.07,22.2,20.14,23.49,16.04
NOP14,49.41,48.43,43.01,46.33,43.03,40.12,39.98,42.3
ADD1,62.26,71.56,62.71,63.39,59.45,60.8,59.88,48.88
L2HGDH,7.86,5.74,5.19,5.96,4.44,4.42,4.31,4.06
TXNDC16,2.98,2.17,3.44,2.68,2.89,3.38,2.77,2.46
RTRAF,103.75,110.88,105.99,111.06,122.27,133.56,128.01,107.01
NID2,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
GMCL1,7.6,7.03,7.41,7.68,8.54,9.7,10.14,7.48
SF3B2,141.84,140.1,130.46,137.37,122.32,118.76,122.41,120.01
KLHL42,6.22,5.93,5.21,6.07,6.76,6.59,6.6,6.68
GNAS,137.53,157.22,156.69,146.73,119.55,109.0,129.94,101.37
DNM1L,26.29,23.43,23.6,24.99,25.39,26.12,26.84,25.44
PHACTR3,5.41,5.1,5.25,4.91,5.66,5.27,5.54,4.49
ERGIC2,70.42,57.79,66.22,70.0,60.25,63.69,68.55,52.55
TFAP2C,0.0,0.02,0.01,0.0,0.02,0.03,0.03,0.0
AURKA,38.04,42.45,38.37,38.73,35.14,37.54,40.72,36.18
CASS4,1.44,1.35,1.1,1.37,1.34,1.54,2.16,1.67
PIR,0.67,0.74,1.06,0.9,1.51,1.35,1.72,0.76
AAMDC,17.06,17.04,17.81,15.9,17.89,15.24,16.18,15.76
RFX2,9.92,10.78,10.12,7.82,11.75,8.07,6.97,6.33
METTL2A,12.74,11.85,11.6,12.34,12.87,11.71,13.15,11.2
SULT2B1,0.17,0.5,0.38,0.5,0.25,0.2,0.32,0.49
ALG6,10.58,9.19,9.3,9.58,9.34,11.78,9.59,9.59
CNOT3,43.99,49.27,39.82,43.25,36.81,36.35,36.18,32.58
GP6,0.27,0.39,0.18,0.11,0.22,0.46,0.11,0.14
PTPN4,2.12,1.02,1.07,1.41,2.46,1.73,1.33,1.98
DDX18,64.13,68.21,58.77,60.74,65.91,69.04,67.03,61.7
KHSRP,322.7,339.54,268.17,279.35,277.51,232.78,237.09,236.75
GNA11,0.03,0.07,0.04,0.03,0.04,0.04,0.08,0.1
ASAP3,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02
EDEM2,15.0,17.31,15.87,14.19,16.3,15.44,14.92,13.07
DNMT3B,4.96,5.03,5.08,5.25,3.3,3.09,3.16,2.61
TPX2,75.35,73.85,67.46,69.62,65.93,62.93,65.76,57.8
FER1L4,0.55,0.15,0.48,0.24,0.15,0.11,0.56,0.26
PDRG1,8.27,12.77,10.05,9.32,9.92,8.34,8.89,8.96
EPB41L1,0.82,0.53,0.52,0.76,0.21,0.13,0.46,0.06
DOCK9,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.04
ANKRD10,23.31,26.96,29.32,28.5,30.5,27.29,27.94,24.65
TGDS,9.71,10.5,9.99,12.45,10.26,11.27,13.21,9.99
DOCK3,0.06,0.06,0.07,0.04,0.03,0.02,0.06,0.07
C3orf18,1.41,1.76,1.2,1.0,0.3,0.67,0.55,0.78
COQ9,18.34,21.41,17.15,19.43,19.21,19.56,18.99,17.1
KIF9,7.47,5.75,5.29,8.11,7.04,6.07,7.93,6.69
CRLS1,22.62,22.22,24.58,24.45,27.69,27.65,25.19,28.68
PPP1R13B,0.59,1.58,0.76,1.27,0.83,0.72,1.13,0.9
ATRN,57.57,46.94,44.3,46.44,34.74,35.46,36.15,32.09
SMOX,8.04,10.72,9.57,8.09,4.68,5.31,4.85,3.91
SIGLEC1,0.02,0.07,0.06,0.0,0.25,0.27,0.25,0.17
FKBP1A,180.71,200.68,191.26,191.01,194.99,200.04,201.89,173.68
NSFL1C,42.25,44.87,41.33,43.82,37.21,35.91,32.61,37.17
SLC4A11,2.33,4.27,3.31,2.48,3.13,2.03,2.25,2.63
C20orf194,13.24,13.2,12.15,11.53,9.42,9.9,9.3,8.64
ZNF343,4.51,3.92,3.69,3.2,3.31,2.84,4.57,3.6
EBF4,0.04,0.03,0.05,0.04,0.0,0.0,0.0,0.0
CPXM1,0.51,0.63,0.84,0.77,0.3,0.38,0.58,0.52
MAVS,14.95,15.19,13.04,13.6,13.84,11.66,12.38,11.65
LZTS3,0.48,0.49,0.48,0.33,0.35,0.23,0.23,0.3
XRN2,62.21,59.8,55.39,52.76,53.64,53.45,56.07,47.14
KIZ,7.68,8.47,8.08,8.49,5.86,6.34,6.53,5.46
DYNLL1,264.68,312.72,289.67,257.52,329.72,315.71,324.18,288.3
TESC,52.27,64.13,54.99,49.7,66.79,59.66,65.51,55.16
SNX5,89.01,83.87,92.38,85.71,90.74,88.9,98.94,83.71
RPL6,2296.3,2448.2,2310.9,2418.8,2113.0,2347.9,2323.3,2089.1
SIRPG,0.75,1.17,0.66,0.77,0.68,0.59,0.69,0.74
MAPKAPK5,17.78,22.19,19.11,22.13,20.37,19.16,20.22,16.39
P2RX7,6.87,7.38,8.78,7.05,3.88,4.51,5.59,3.92
ESF1,28.14,22.87,26.38,30.04,27.74,33.01,30.96,29.2
RBBP9,3.86,3.11,3.48,2.92,2.92,3.33,2.93,2.6
ANAPC5,109.12,101.4,91.12,97.89,112.97,105.26,112.33,94.68
SLC23A2,17.8,17.67,16.62,15.44,13.14,11.61,14.32,10.61
SLC8B1,15.02,13.62,10.94,11.7,11.18,12.02,12.18,9.54
TMEM230,76.46,80.69,75.51,74.37,80.9,84.8,84.68,74.43
DZANK1,1.07,0.88,1.39,1.2,1.46,1.63,1.24,1.25
KDM2B,54.24,58.85,48.91,48.4,55.23,51.17,58.66,50.51
CFAP61,0.14,0.61,0.01,0.06,0.0,0.38,0.08,0.07
TASP1,5.0,5.77,4.23,5.46,4.09,4.56,5.01,3.89
OAS1,1.95,1.42,1.72,1.48,0.69,1.58,1.43,0.56
GCN1,23.62,24.69,22.85,19.79,23.59,17.19,21.03,17.15
RPLP0,2409.5,2945.9,2850.8,2436.8,2765.7,2573.8,2767.0,2407.6
PXN,1.7,1.53,1.56,1.16,0.74,0.96,0.87,0.8
SIRT4,0.64,0.35,0.32,0.45,0.34,0.23,0.4,0.35
KIF16B,2.91,3.54,2.56,2.51,3.24,2.2,2.73,2.54
TRMT6,24.48,21.58,20.7,23.57,24.99,27.65,26.2,23.25
CHGB,0.28,0.25,0.24,0.21,0.22,0.2,0.29,0.29
PEBP1,151.58,205.47,149.7,148.53,175.19,153.82,160.26,142.36
TBX5,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
BRAP,10.25,10.03,9.55,9.73,10.08,10.8,9.95,9.91
ERP29,220.65,240.52,226.87,232.67,242.13,228.8,234.89,227.23
FUS,561.62,613.27,713.15,634.44,605.0,572.49,627.38,650.89
IGBP1,39.87,45.48,42.97,36.86,39.31,38.34,42.91,32.49
FXYD5,69.67,76.35,64.54,74.12,71.33,74.96,79.41,63.44
ZNF302,9.02,8.07,8.29,8.89,10.12,9.67,13.36,8.05
GRAMD1A,23.33,27.54,21.89,22.5,21.63,17.17,19.65,16.4
FXYD3,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
HEPH,0.13,0.1,0.09,0.09,0.23,0.1,0.05,0.05
CDIP1,12.82,17.71,14.48,13.54,16.29,13.35,12.92,12.18
CMTM1,1.15,1.1,0.82,0.77,0.2,0.84,0.8,0.4
KCNH4,0.4,0.54,0.33,0.29,0.38,0.2,0.2,0.24
GANAB,152.57,175.91,146.6,141.11,145.95,132.64,137.37,118.15
GMIP,46.84,55.94,45.64,43.23,40.31,34.2,39.28,33.11
RBM41,7.54,5.76,6.5,7.34,5.9,6.64,7.04,5.08
BIRC5,43.3,48.92,43.3,42.59,41.93,41.99,42.5,40.52
LAG3,0.06,0.0,0.13,0.02,0.0,0.0,0.06,0.0
MLF2,88.91,90.84,84.26,91.29,73.47,72.77,78.39,62.64
OTUB2,0.54,0.69,0.62,0.69,0.67,0.62,0.67,0.64
DDX24,141.39,129.03,116.81,125.17,121.03,132.03,131.57,119.14
ZBTB25,2.1,2.1,2.5,2.78,1.94,2.37,3.35,2.29
NECAP1,7.66,6.96,6.47,7.99,6.95,6.52,6.64,5.23
ARHGAP4,72.85,88.07,73.62,71.37,64.7,60.81,62.15,56.93
ANKRD24,0.68,0.88,0.5,0.63,0.91,0.96,0.75,0.73
DHX32,11.31,13.48,12.43,12.59,13.71,12.8,14.01,12.14
RCOR1,25.62,21.85,21.45,22.3,22.37,23.99,24.13,19.81
GPATCH2L,15.41,12.54,10.87,13.87,11.21,12.01,11.63,9.18
LTBP4,25.32,26.48,23.13,24.13,22.53,23.33,22.5,20.41
BLVRB,32.15,41.57,40.88,35.29,44.49,40.48,39.43,35.99
SLC9A1,8.86,7.93,6.89,7.63,5.7,7.35,6.39,5.74
SPTLC1,36.98,35.14,32.94,35.48,33.5,32.27,32.39,29.2
PAPOLA,122.73,98.36,105.58,120.28,109.54,123.94,125.87,104.96
CCNK,44.63,35.93,36.4,34.92,33.01,34.19,37.13,30.71
PCBP4,3.99,3.49,2.75,2.98,2.61,3.01,3.07,2.03
RGS1,5.28,4.48,8.73,5.55,1.09,2.13,2.07,1.29
YPEL3,0.86,1.47,1.63,2.43,0.69,0.96,0.84,1.07
MRPS33,61.91,78.17,64.75,61.66,76.35,67.31,79.87,65.4
NDUFB2,76.28,120.49,95.05,71.15,119.53,86.95,100.21,96.8
NUDC,105.3,106.31,92.29,100.77,92.91,88.06,88.61,89.83
MAEA,31.78,35.52,30.61,28.22,35.0,28.12,30.08,29.34
ICAM1,12.09,14.57,16.54,17.07,5.89,5.81,6.85,5.15
STRN4,33.77,33.93,29.07,29.43,28.81,26.24,29.99,26.27
IRAK3,25.27,22.1,20.5,22.65,21.92,23.4,24.56,20.48
LYZ,849.95,818.25,680.94,704.67,2867.1,2677.7,2783.4,2804.6
MUL1,9.43,10.71,8.5,7.83,9.04,7.87,7.96,8.52
TFAP4,18.87,21.61,16.05,18.43,19.04,16.08,17.24,15.05
PDCD7,14.53,19.79,14.78,16.37,15.87,13.48,15.97,15.41
SPG21,25.57,27.67,25.94,26.87,33.29,32.04,34.02,31.37
DNAJB11,61.76,59.69,56.59,63.33,59.09,56.95,58.93,53.52
P3H2,0.0,0.0,0.06,0.25,0.0,0.0,0.26,0.01
FLT3LG,3.74,3.03,2.44,2.82,2.74,2.71,2.8,1.63
RAB11FIP3,4.5,4.34,3.78,3.8,3.58,4.38,5.09,4.04
GNPTG,13.0,12.18,11.64,8.17,14.35,9.48,13.53,11.13
ZNF268,10.02,6.74,9.1,7.19,8.3,10.29,10.7,7.03
GOLGA3,12.32,10.47,9.02,9.38,9.58,10.43,8.88,8.9
PABPC4,238.91,223.37,219.03,224.06,203.19,198.25,213.91,212.39
CD209,0.92,0.96,0.77,0.93,1.45,1.22,1.76,1.39
MCOLN1,7.89,8.49,6.68,7.74,6.47,6.21,9.81,7.06
USP48,59.35,56.47,56.81,58.87,74.74,78.39,78.94,67.48
EFNB1,2.09,2.2,1.73,1.8,2.39,1.83,2.04,1.75
PDPR,14.27,12.24,10.04,10.55,10.5,10.57,10.39,9.18
AARS1,87.57,96.41,90.11,82.22,70.14,66.15,72.79,65.53
GLG1,23.13,23.75,20.4,20.3,21.91,18.87,21.14,18.69
KIF4A,13.23,12.27,10.54,10.32,9.57,8.45,9.05,7.66
TNRC6A,10.68,9.71,10.18,9.42,8.62,10.17,12.71,8.84
PLEKHG2,14.33,14.51,19.85,16.24,9.52,13.09,13.34,9.07
DLL3,0.18,0.04,0.1,0.03,0.0,0.04,0.04,0.08
NAT14,11.8,17.08,11.05,14.04,13.42,11.63,10.05,9.41
PITPNM2,1.01,1.24,1.22,1.06,0.88,0.69,1.23,0.59
EXOC1,16.87,15.78,17.91,18.18,18.93,21.62,22.01,17.06
RBM27,18.28,14.48,13.29,14.44,13.06,15.59,15.3,12.75
POU4F3,0.03,0.08,0.04,0.0,0.03,0.06,0.1,0.07
OSBPL8,31.42,23.33,23.09,24.64,20.92,24.96,26.33,17.64
DTX2,16.24,17.67,14.29,14.32,13.99,13.06,16.64,12.92
NLRC4,2.09,2.47,2.26,1.92,1.7,1.53,1.96,1.65
PUS7,20.49,17.49,18.51,17.55,16.45,18.59,18.01,16.19
NRCAM,0.07,0.26,0.11,0.0,0.26,0.03,0.0,0.01
LAMB1,0.24,0.0,0.03,0.0,0.1,0.15,0.0,0.09
SLC26A4,0.17,0.18,0.07,0.02,0.12,0.0,0.02,0.08
DLD,93.38,84.37,88.04,86.84,82.68,96.0,90.93,97.75
WDR7,4.33,3.85,3.77,3.72,3.49,3.5,3.62,2.84
TXNL1,56.57,52.07,57.87,60.47,63.75,64.26,73.29,58.61
ABCC6,0.06,0.04,0.1,0.07,0.14,0.06,0.08,0.1
CMTM6,32.17,29.92,30.62,32.21,30.12,33.66,33.97,29.04
ITGA6,2.51,2.86,1.66,2.55,0.68,0.66,0.67,0.76
RAPGEF4,0.02,0.01,0.29,0.02,0.06,0.46,0.12,0.08
MAP3K20,38.26,35.0,33.1,37.2,32.04,34.06,34.41,30.03
FH,46.89,52.53,52.47,46.18,62.34,53.58,53.79,51.29
SEL1L3,22.0,23.03,19.27,19.98,6.3,6.33,7.02,5.4
TF,0.02,0.05,0.04,0.02,0.01,0.01,0.24,0.09
CDV3,139.02,121.04,119.92,137.88,116.53,117.69,115.15,112.48
MYO15A,0.36,0.25,0.34,0.26,0.23,0.67,0.31,0.13
ALKBH5,52.57,52.75,47.38,53.89,39.81,40.45,39.11,41.31
NLRP1,3.69,5.0,4.44,4.17,4.6,4.32,4.39,4.14
PITPNM3,0.1,0.06,0.08,0.13,0.09,0.13,0.09,0.06
SPAG7,52.07,57.3,55.01,56.54,51.2,46.97,45.03,44.43
ORC6,25.8,26.37,24.59,23.93,27.18,27.37,28.13,27.51
ZFHX4,0.0,0.01,0.0,0.16,0.01,0.01,0.03,0.0
ZC3HC1,15.1,20.35,14.45,12.45,13.72,13.3,12.82,13.45
ESR1,0.0,0.0,0.01,0.01,0.0,0.16,0.01,0.01
RGS17,0.19,0.13,0.24,0.15,0.15,0.11,0.23,0.19
ANGPT2,0.07,0.02,0.06,0.07,0.01,0.06,0.06,0.03
TMEM101,19.63,23.63,20.05,20.53,19.53,18.8,19.3,17.26
CCDC80,0.14,0.78,0.39,0.25,0.04,0.2,0.07,0.03
CMA1,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.09
PSME1,178.02,198.96,179.4,163.28,160.55,150.43,157.78,141.74
PPP2R3C,42.5,43.55,37.94,40.6,40.71,42.12,43.87,42.14
HAUS4,45.45,62.74,59.78,52.46,55.21,58.1,57.38,46.82
JPH4,0.02,0.04,0.03,0.0,0.04,0.02,0.0,0.02
CEBPE,0.85,1.05,1.02,1.03,0.9,0.9,0.52,0.52
SLC7A8,0.04,0.13,0.02,0.27,0.0,0.0,0.03,0.0
OSGEP,30.42,30.16,29.78,30.74,42.1,31.97,41.17,34.62
RNF31,14.93,20.72,18.28,14.26,21.91,14.54,13.22,14.61
SCFD1,37.05,29.32,32.77,34.12,26.27,31.58,29.45,28.73
G2E3,10.67,9.06,9.56,8.15,7.16,8.84,8.45,7.89
HECTD1,38.22,32.32,32.05,33.52,34.94,36.89,36.86,28.34
HNRNPC,751.35,785.95,788.17,802.27,727.38,759.68,769.36,728.1
RPGRIP1,0.0,0.04,0.28,0.03,0.07,0.0,0.04,0.02
SUPT16H,134.25,131.55,115.24,125.52,128.11,124.97,131.04,117.96
TOX4,26.45,27.32,22.86,24.12,18.78,19.49,20.91,15.8
GEMIN2,14.62,12.72,13.65,11.92,16.5,15.15,14.44,13.23
TGM1,0.87,1.28,1.0,1.02,1.23,1.38,0.93,0.8
TINF2,27.6,34.66,34.09,24.73,31.41,29.66,28.95,24.25
TBL1Y,0.03,0.1,0.14,0.05,0.03,0.03,0.07,0.04
SEMA6A,0.43,0.42,0.28,0.64,0.26,0.21,0.21,0.66
TRPM7,18.44,15.16,15.17,16.91,16.93,15.52,18.3,15.07
TYRO3,2.73,4.17,2.7,1.56,1.59,1.97,2.27,2.09
WDR76,28.53,23.56,23.56,23.19,21.82,22.4,21.92,19.82
CAPN3,3.55,4.57,3.86,3.72,4.33,4.55,3.93,3.81
SNAP23,97.29,72.2,64.48,106.19,69.34,63.44,72.0,51.1
TBX15,0.08,0.12,0.07,0.02,0.0,0.06,0.09,0.02
PHGDH,44.03,52.55,51.25,48.05,34.64,33.67,33.88,27.91
COL9A3,10.52,10.72,11.42,10.95,8.76,9.53,9.31,9.22
EZR,54.03,52.34,47.86,50.25,42.56,44.72,47.37,41.72
MYL6,816.8,909.63,903.66,867.38,919.22,911.79,916.03,879.1
AGO1,7.02,6.11,5.23,5.88,5.25,4.98,5.03,4.74
TEKT2,0.0,0.09,0.08,0.0,0.0,0.0,0.12,0.07
CLSPN,29.56,25.09,22.24,24.24,27.87,28.83,29.89,26.48
RFFL,6.05,5.79,5.23,5.12,4.66,4.93,5.37,4.59
UNC13D,30.32,42.23,30.12,25.08,32.33,18.01,27.76,22.48
MFSD11,6.64,6.93,7.62,6.31,7.73,5.4,6.83,6.19
DPYSL2,80.12,83.5,84.14,86.08,72.72,79.38,80.48,71.17
TGFB2,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.01
GPATCH2,5.56,4.7,4.28,4.9,4.43,4.74,5.1,4.54
NUP50,43.28,44.03,39.12,39.0,39.0,40.88,40.86,37.69
CDC45,27.56,30.8,28.19,27.61,25.35,27.58,28.98,24.96
COMT,129.48,175.36,135.68,125.23,153.1,139.04,145.56,121.65
ADA2,10.81,9.85,8.68,9.54,13.04,13.33,14.4,12.21
AC016026.1,0.99,1.51,1.05,1.18,1.41,1.08,1.21,0.85
ECHDC1,69.4,65.87,64.43,71.04,67.46,69.76,69.73,61.64
LRRFIP2,15.22,11.17,12.8,12.6,7.86,8.92,9.76,8.66
SEC22C,13.77,14.72,13.09,11.82,13.89,12.0,11.79,10.74
XYLB,3.83,3.28,2.41,3.41,3.26,2.93,3.27,2.73
HDAC6,38.08,41.31,31.95,34.42,39.28,31.26,34.66,26.36
CDC6,37.07,30.18,30.1,31.13,31.99,31.02,30.31,26.44
UPRT,8.64,7.61,8.44,8.08,8.61,7.66,9.37,7.0
CDC23,22.82,23.34,19.9,19.6,20.42,19.44,21.69,17.34
AAAS,38.99,44.68,37.03,35.1,39.89,36.78,38.05,34.41
CBX5,61.33,50.82,45.04,47.71,42.06,44.94,46.95,39.86
SUCO,5.46,5.68,4.7,5.2,5.38,5.39,5.73,4.95
